id,x0,x1,x2,fitness-2,fitness-1,fitness0,fitness-0.5,fitness-1.5,fitness0.5,fitness1.5,fitness4,fitness3,fitness4.5,fitness5,fitness3.5,fitness2.5,fitness2,fitness1,fitness-2.5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-5
9824,-2.18803,-0.920623,-2.10058,NA,NA,NA,NA,NA,NA,NA,NA,409.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,-3.69591,-1.50804,-1.33712,NA,NA,NA,NA,NA,NA,NA,NA,253.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10241,-4.86823,-0.88686,-2.00125,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10498,-4.62527,0.954187,-1.11809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10693,-4.44469,0.487921,-1.27592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10986,-4.36281,0.398873,-1.58128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11095,-2.36769,-1.91313,-0.38825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11291,-1.94651,-1.18262,-0.685061,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11510,-1.03921,-0.511427,-0.927388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2233.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11604,-1.46426,-0.416234,-1.89669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1663.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11869,-1.70254,-0.733988,-2.31607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12186,-1.5378,0.734249,-2.0229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.621,NA,NA,NA,NA,NA,NA,NA,NA,NA
12338,-0.0249954,0.805928,-1.37927,NA,NA,NA,NA,NA,NA,NA,1265.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12421,0.194949,-0.197095,-0.964462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
12794,-1.23647,0.256558,-1.04933,NA,NA,NA,NA,NA,NA,NA,410.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12806,-0.356626,-1.5283,-1.58538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1522.518,NA,NA,NA,NA,NA,NA,NA,NA
13118,-1.16531,0.0276439,-1.82484,NA,NA,NA,NA,NA,NA,NA,NA,59.687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13234,-3.18682,0.161606,-0.602255,NA,NA,NA,NA,NA,NA,NA,59.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13582,-3.20549,-0.647677,-1.00647,NA,NA,NA,NA,NA,NA,NA,NA,227.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13664,-2.7788,-0.516563,-1.23059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.038,NA,NA,NA,NA,NA,NA,NA
13896,-3.10874,-1.26662,-0.793041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.17,NA,NA,NA,NA,NA,NA,NA
14069,-1.97483,-1.19024,0.477868,NA,NA,NA,NA,NA,232.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14378,-1.2489,-0.693694,0.333914,NA,NA,NA,3572.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14401,-0.931081,0.186413,-0.991052,NA,NA,NA,NA,2259.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14639,-0.840931,-0.676196,0.0760108,NA,1587.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14942,-0.741299,-0.573573,-1.1029,NA,NA,NA,NA,NA,NA,NA,NA,276.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15193,-0.612219,-0.938753,-1.3322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
15252,-2.66852,-1.28919,-0.581369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1638.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15455,-2.48291,-0.798604,1.00279,NA,NA,NA,NA,NA,NA,NA,252.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15746,-1.59132,-0.576132,-0.0515703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.338,NA,NA,NA,NA,NA,NA,NA,NA
15862,-3.33119,-1.65246,0.251418,NA,NA,NA,NA,NA,NA,NA,NA,56.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16039,-1.48204,-2.4911,0.852671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.116,NA,NA,NA,NA,NA,NA,NA
16255,-2.61495,-1.41396,2.6772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.141,NA,NA,NA,NA,NA,NA,NA
16476,-1.96909,-2.63867,1.94921,NA,NA,NA,NA,NA,NA,NA,10.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16637,-2.06328,-2.89836,0.704942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.836,NA,NA,NA,NA,NA,NA,NA,NA,NA
16864,-2.87639,-2.06797,-0.0958169,NA,NA,NA,NA,NA,NA,NA,646.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17187,-3.223,-1.29296,0.280872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
17304,-0.98216,-3.33189,0.977942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17538,-1.65765,-3.11399,0.962034,NA,NA,NA,NA,NA,NA,NA,139.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17630,-1.65119,-3.55096,0.78443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.289,NA,NA,NA,NA,NA,NA,NA,NA,NA
17837,-2.2828,-4.02276,0.403166,NA,NA,NA,NA,NA,NA,NA,7.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18005,-1.3136,-4.15491,0.918312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.183,NA,NA,NA,NA,NA,NA,NA,NA
18353,1.34348,-4.0291,1.26133,NA,NA,NA,NA,NA,NA,NA,NA,20.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18498,1.30963,-4.48162,0.463757,NA,NA,NA,NA,NA,NA,NA,78.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18673,1.3749,-4.11019,0.0641206,NA,NA,NA,NA,NA,NA,NA,NA,-27.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18908,1.71547,-4.6846,1.4579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.083,NA,NA,NA,NA,NA,NA,NA,NA
19187,1.70809,-3.6121,3.50322,NA,NA,NA,NA,NA,NA,NA,NA,2.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19399,1.38498,-2.6435,1.19271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.107,NA,NA,NA,NA,NA,NA,NA,NA,NA
19598,1.0319,-3.03844,1.28147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
19698,0.903284,-1.45733,0.657934,NA,NA,NA,NA,NA,NA,NA,NA,204.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19999,-0.0313054,-0.165921,-0.857119,NA,NA,NA,NA,NA,NA,NA,420.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20020,-0.199397,0.621901,-0.414749,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20307,-0.63966,-1.16328,-0.244816,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20564,-0.0975847,-1.79829,-0.736613,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20780,-2.17044,0.968505,-0.351907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20950,-3.18064,1.77251,0.662357,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21125,-2.70749,0.890829,0.240796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21358,-3.12145,-0.560165,-1.55013,NA,NA,NA,NA,NA,NA,NA,60.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21565,-3.77783,0.928555,-1.50837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21735,-2.8312,0.0087067,-2.77691,NA,NA,NA,NA,NA,NA,NA,8.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21842,-1.85632,0.63889,-1.30106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
22096,-2.33046,-0.660661,-1.40215,NA,NA,NA,NA,NA,NA,NA,NA,164.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22203,-0.480863,-1.61411,-0.749174,NA,NA,NA,NA,NA,NA,NA,NA,46.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22500,0.262937,-1.51907,-0.208686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.887,NA,NA,NA,NA,NA,NA,NA,NA,NA
22607,0.454858,-1.91993,-2.1258,NA,NA,NA,NA,NA,NA,NA,74.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22820,0.236045,-1.41233,-1.15822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1127.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23018,-1.71252,-1.29506,-0.575496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23262,-2.4558,-1.58285,-1.22348,NA,NA,NA,NA,NA,NA,NA,1060.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23454,-1.36427,-1.33748,-0.650679,NA,NA,NA,NA,NA,NA,NA,NA,NA,9159.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23627,-1.76302,-2.19528,-0.859845,NA,NA,NA,NA,NA,NA,NA,2.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23910,-1.89701,-1.81298,-0.905823,NA,NA,NA,NA,NA,NA,NA,246.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24159,-0.00580946,0.202067,0.663198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.617,NA,NA,NA,NA,NA,NA,NA,NA,NA
24330,-1.05029,-0.0163654,1.14766,NA,NA,NA,NA,NA,NA,NA,132.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24423,-0.0766213,-0.960397,2.55113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.728,NA,NA,NA,NA,NA,NA,NA,NA,NA
24681,-1.92471,-1.67805,3.34568,NA,NA,NA,NA,NA,NA,NA,NA,221.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24946,-0.123362,-2.62628,3.16196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.795,NA,NA,NA,NA,NA,NA,NA
25063,-0.900193,0.0527122,3.95034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.252,NA,NA,NA,NA,NA,NA
25272,-1.01112,-1.90048,3.43934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.732,NA,NA,NA,NA,NA,NA,NA
25533,-1.04434,-2.89444,4.6315,NA,NA,NA,NA,NA,224.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25759,0.46176,-1.31272,4.56754,NA,NA,143.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25990,0.0325544,-0.509714,4.53221,NA,NA,39.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26069,-0.733246,-1.27626,4.46169,NA,NA,669.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26233,-0.492661,-0.600344,3.12542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.905,NA,NA,NA,NA,NA,NA,NA
26465,-2.6445,-2.24133,2.23161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.413,NA,NA,NA,NA,NA,NA,NA
26693,-1.73238,-1.55172,1.54797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.69,NA,NA,NA,NA,NA,NA,NA
26900,-2.4201,-1.0584,2.11272,NA,NA,NA,NA,NA,NA,NA,NA,35.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27158,-1.57692,-1.4344,1.46675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.633,NA,NA,NA,NA,NA,NA,NA,NA,NA
27250,0.270635,-1.47538,2.36428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.145,NA,NA,NA,NA,NA,NA,NA,NA
27482,0.323878,-1.06943,2.93849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.551,NA,NA,NA,NA,NA,NA,NA,NA
27693,-1.1141,-2.25778,1.3884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.859,NA,NA,NA,NA,NA,NA,NA,NA
27943,-1.57281,-1.44023,0.0284534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210.965,NA,NA,NA,NA,NA,NA,NA,NA
28067,-1.88552,-0.998936,-0.279783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.207,NA,NA,NA,NA,NA,NA
28354,-0.868442,-0.586504,-0.267549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115.639,NA,NA,NA,NA,NA,NA
28420,-1.06999,-0.999241,-0.0869473,NA,NA,NA,1647.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28692,-1.83525,0.476436,-1.17415,NA,311.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28950,-2.13342,0.469893,-1.09265,NA,NA,NA,NA,223.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29074,-0.940559,0.458287,-1.39306,1313.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29301,-2.16471,-0.601791,-0.950419,NA,NA,NA,NA,4460.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29503,-1.45476,-0.941292,0.0830477,NA,NA,NA,1400.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29707,-0.871834,-1.38818,-0.602915,NA,20056.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29903,-0.0450616,-1.45329,-1.87102,NA,NA,NA,NA,3888.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30098,0.0343436,-1.50706,-2.24095,NA,NA,NA,318.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30245,-0.773388,-3.36751,-1.3749,NA,2243.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30492,-0.958167,-3.53521,-1.55092,NA,NA,NA,1422.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30635,-0.676379,-3.44916,-1.68377,NA,NA,NA,NA,1717.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30938,-0.375619,-1.39529,-0.842825,NA,NA,NA,NA,9540.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31134,-1.55204,-1.70855,-1.9881,NA,NA,NA,NA,2616.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31379,-3.38387,-2.84627,-2.86835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.054,NA,NA,NA,NA,NA
31445,-3.07522,-2.39142,-3.3986,NA,NA,NA,NA,211.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31692,-2.35528,-2.0267,-4.04731,NA,394.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31827,-2.91704,-1.21759,-3.03501,225.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32033,-3.4695,-1.03386,-2.3518,NA,NA,NA,NA,311.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
