id,x0,x1,x2,fitness-2,fitness-2.5,fitness-3,fitness-1.5,fitness-3.5,fitness-4,fitness-4.5,fitness-1,fitness-0.5,fitness-5
9414,2.14378,2.28521,-4.23998,NA,NA,NA,-28.334,NA,NA,NA,NA,NA,NA
9758,0.966379,1.92711,-3.6444,-40.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
9967,1.00528,1.78282,-3.16056,NA,NA,-57.315,NA,NA,NA,NA,NA,NA,NA
10135,2.01234,1.61782,-3.19614,NA,NA,NA,NA,NA,-81.872,NA,NA,NA,NA
10346,2.70772,1.71514,-4.61994,NA,NA,NA,NA,NA,-64.299,NA,NA,NA,NA
10427,1.4628,1.18886,-4.09087,NA,NA,NA,NA,-31.534,NA,NA,NA,NA,NA
10717,2.19548,2.14244,-3.49967,NA,NA,NA,-48.554,NA,NA,NA,NA,NA,NA
10842,2.28976,1.13779,-4.21563,NA,NA,NA,-58.62,NA,NA,NA,NA,NA,NA
11004,1.99876,1.28795,-4.14691,NA,NA,NA,-48.406,NA,NA,NA,NA,NA,NA
11236,1.35722,2.22289,-4.54297,NA,NA,-18.575,NA,NA,NA,NA,NA,NA,NA
11470,1.66837,2.00698,-4.81193,NA,NA,-19.044,NA,NA,NA,NA,NA,NA,NA
11740,1.78257,1.15526,-3.85426,NA,NA,NA,NA,-42.361,NA,NA,NA,NA,NA
11882,1.03639,1.32115,-4.62637,NA,NA,NA,NA,NA,-63.768,NA,NA,NA,NA
12057,1.73233,2.43747,-4.53831,NA,NA,-21.113,NA,NA,NA,NA,NA,NA,NA
12218,1.5216,1.19996,-4.5809,NA,NA,-26.915,NA,NA,NA,NA,NA,NA,NA
12446,1.16507,1.74773,-4.76618,-22.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
12660,1.90695,1.54117,-4.49184,NA,NA,NA,NA,-27.733,NA,NA,NA,NA,NA
12895,2.07281,0.927545,-4.91771,NA,NA,NA,NA,NA,-79.069,NA,NA,NA,NA
13107,1.53509,1.94616,-4.29777,NA,NA,NA,NA,NA,-54.736,NA,NA,NA,NA
13271,1.52085,2.26933,-4.50863,-26.847,NA,NA,NA,NA,NA,NA,NA,NA,NA
13446,-0.0284212,2.57548,-3.32426,-147.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
13784,1.23727,1.82199,-4.66596,NA,NA,NA,-41.311,NA,NA,NA,NA,NA,NA
13822,1.02803,2.43428,-4.41816,NA,NA,-34.538,NA,NA,NA,NA,NA,NA,NA
14120,2.16087,1.61596,-4.81834,NA,NA,NA,NA,-28.492,NA,NA,NA,NA,NA
14226,2.77161,1.54104,-4.47924,-32.092,NA,NA,NA,NA,NA,NA,NA,NA,NA
14546,0.94397,2.68138,-4.09881,-49.088,NA,NA,NA,NA,NA,NA,NA,NA,NA
14688,1.54369,1.54036,-3.87335,NA,NA,-12.85,NA,NA,NA,NA,NA,NA,NA
14835,0.875998,1.64381,-3.56885,NA,-47.74,NA,NA,NA,NA,NA,NA,NA,NA
15184,1.92176,1.91584,-4.36562,-10.964,NA,NA,NA,NA,NA,NA,NA,NA,NA
15285,1.19749,2.53281,-4.40093,NA,NA,NA,-44.311,NA,NA,NA,NA,NA,NA
15437,2.33533,1.53489,-4.89377,NA,-18.72,NA,NA,NA,NA,NA,NA,NA,NA
15784,1.72792,1.86706,-3.92474,NA,NA,-9.56,NA,NA,NA,NA,NA,NA,NA
15801,2.68145,1.50348,-3.71296,NA,NA,NA,NA,NA,-77.708,NA,NA,NA,NA
16181,1.43598,0.888807,-4.51837,-48.477,NA,NA,NA,NA,NA,NA,NA,NA,NA
16282,0.68454,1.14034,-3.83218,NA,-65.343,NA,NA,NA,NA,NA,NA,NA,NA
16404,1.59845,2.16112,-3.25468,-54.819,NA,NA,NA,NA,NA,NA,NA,NA,NA
16634,1.46514,1.37061,-3.31274,-45.928,NA,NA,NA,NA,NA,NA,NA,NA,NA
16978,3.14105,0.789185,-4.73094,-77.832,NA,NA,NA,NA,NA,NA,NA,NA,NA
17195,2.41824,1.30937,-4.17306,NA,NA,NA,NA,NA,NA,NA,-63.666,NA,NA
17219,1.16607,1.03645,-4.2797,NA,NA,-38.13,NA,NA,NA,NA,NA,NA,NA
17409,2.06062,1.73621,-4.23376,NA,-3.868,NA,NA,NA,NA,NA,NA,NA,NA
17677,1.6546,1.71494,-4.01071,NA,NA,NA,NA,NA,NA,-79.275,NA,NA,NA
17891,2.53935,1.69781,-4.81035,-32.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
18123,2.45296,0.729751,-4.38794,NA,NA,NA,-67.316,NA,NA,NA,NA,NA,NA
18381,1.53283,2.61186,-4.16189,NA,NA,NA,-59.14,NA,NA,NA,NA,NA,NA
18509,1.90989,3.05762,-4.98507,NA,-54.071,NA,NA,NA,NA,NA,NA,NA,NA
18675,0.811338,2.37844,-4.62339,NA,-38.537,NA,NA,NA,NA,NA,NA,NA,NA
18907,0.620721,1.82924,-4.51251,-49.358,NA,NA,NA,NA,NA,NA,NA,NA,NA
19152,1.70082,1.20564,-4.15857,-18.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
19203,2.53835,1.84256,-4.5193,NA,NA,-24.703,NA,NA,NA,NA,NA,NA,NA
19405,1.62085,0.59722,-3.9573,NA,-66.996,NA,NA,NA,NA,NA,NA,NA,NA
19774,1.24514,1.27687,-4.33727,NA,-15.747,NA,NA,NA,NA,NA,NA,NA,NA
19947,-0.351735,1.44175,-4.17788,NA,NA,NA,NA,-135.968,NA,NA,NA,NA,NA
20071,1.49692,2.85575,-3.7973,NA,NA,NA,NA,NA,-77.525,NA,NA,NA,NA
20300,1.59276,2.75925,-3.94226,-38.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
20587,1.93834,1.3351,-4.59342,NA,NA,NA,-24.284,NA,NA,NA,NA,NA,NA
20657,2.23962,2.13641,-4.22792,NA,-14.231,NA,NA,NA,NA,NA,NA,NA,NA
20872,3.02534,0.893473,-3.66042,NA,-72.781,NA,NA,NA,NA,NA,NA,NA,NA
21081,2.39164,1.9754,-4.53513,NA,NA,-20.508,NA,NA,NA,NA,NA,NA,NA
21322,2.34618,2.98013,-4.30932,-59.131,NA,NA,NA,NA,NA,NA,NA,NA,NA
21514,3.5395,2.8521,-3.92126,NA,NA,NA,NA,NA,NA,NA,-134.706,NA,NA
21617,2.45606,2.41912,-4.33344,NA,NA,NA,-56.571,NA,NA,NA,NA,NA,NA
21925,1.30006,2.69921,-4.41105,NA,NA,NA,NA,NA,NA,NA,-68.035,NA,NA
22034,0.999998,2.14114,-4.76577,NA,NA,NA,-61.754,NA,NA,NA,NA,NA,NA
22386,1.1605,1.32196,-4.35686,NA,-19.902,NA,NA,NA,NA,NA,NA,NA,NA
22453,1.56102,0.589836,-4.59742,NA,NA,-65.107,NA,NA,NA,NA,NA,NA,NA
22770,1.66037,0.803597,-4.39763,NA,NA,-40.07,NA,NA,NA,NA,NA,NA,NA
22987,2.20095,1.35002,-3.99821,-20.703,NA,NA,NA,NA,NA,NA,NA,NA,NA
23178,1.08705,1.09969,-3.54628,NA,NA,NA,NA,-65.114,NA,NA,NA,NA,NA
23275,1.47134,2.09269,-4.33406,NA,NA,NA,NA,-36.739,NA,NA,NA,NA,NA
23454,1.47502,1.7818,-4.01733,NA,NA,NA,NA,-38.413,NA,NA,NA,NA,NA
23668,1.6571,1.97562,-4.22427,NA,NA,-13.207,NA,NA,NA,NA,NA,NA,NA
23989,1.80799,1.44255,-4.46374,NA,NA,-14.303,NA,NA,NA,NA,NA,NA,NA
24159,0.738032,1.71991,-4.63433,NA,NA,-39.839,NA,NA,NA,NA,NA,NA,NA
24334,0.723687,2.54071,-4.84493,NA,-50.626,NA,NA,NA,NA,NA,NA,NA,NA
24438,0.349515,3.01379,-4.70123,NA,NA,-95.377,NA,NA,NA,NA,NA,NA,NA
24716,1.71623,3.2291,-4.37358,NA,NA,-59.144,NA,NA,NA,NA,NA,NA,NA
24870,1.03349,2.58981,-4.27636,NA,-35.507,NA,NA,NA,NA,NA,NA,NA,NA
25195,1.23933,1.99604,-4.70731,NA,NA,-18.78,NA,NA,NA,NA,NA,NA,NA
25388,2.39215,1.81092,-4.53739,NA,-13.311,NA,NA,NA,NA,NA,NA,NA,NA
25432,2.173,2.29695,-3.98399,NA,-19.031,NA,NA,NA,NA,NA,NA,NA,NA
25627,1.17995,1.38874,-4.71661,NA,NA,NA,-38.285,NA,NA,NA,NA,NA,NA
25900,1.37874,1.25954,-4.28765,NA,-11.665,NA,NA,NA,NA,NA,NA,NA,NA
26077,1.4947,2.33032,-4.44591,NA,NA,-23.804,NA,NA,NA,NA,NA,NA,NA
26289,1.10597,2.26563,-4.27143,NA,NA,NA,NA,NA,-54.544,NA,NA,NA,NA
26556,1.43994,1.26181,-3.10414,NA,NA,NA,NA,-73.887,NA,NA,NA,NA,NA
26708,2.56469,1.22798,-4.51187,NA,NA,-30.844,NA,NA,NA,NA,NA,NA,NA
26934,1.5115,2.0348,-4.525,-10.508,NA,NA,NA,NA,NA,NA,NA,NA,NA
27078,1.94721,1.95322,-4.78116,NA,NA,NA,NA,-27.198,NA,NA,NA,NA,NA
27202,1.73207,3.14349,-4.90676,NA,-57.262,NA,NA,NA,NA,NA,NA,NA,NA
27462,2.22987,2.71811,-4.68541,NA,NA,NA,NA,NA,NA,NA,-82.08,NA,NA
27634,2.18618,2.61474,-4.67634,-38.676,NA,NA,NA,NA,NA,NA,NA,NA,NA
27927,2.0995,1.44059,-4.45707,NA,NA,NA,NA,NA,-47.038,NA,NA,NA,NA
28144,1.82563,2.51737,-4.18115,NA,NA,-23.449,NA,NA,NA,NA,NA,NA,NA
28273,1.97098,2.70987,-4.86191,NA,-34.068,NA,NA,NA,NA,NA,NA,NA,NA
28457,1.76088,1.64741,-4.85054,-18.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
28764,1.68744,1.91584,-4.16324,NA,NA,-11.118,NA,NA,NA,NA,NA,NA,NA
28941,2.70713,1.61405,-4.88371,NA,NA,-40.464,NA,NA,NA,NA,NA,NA,NA
29117,2.42578,1.2866,-4.74289,NA,NA,NA,NA,-47.874,NA,NA,NA,NA,NA
29335,0.147913,2.37721,-4.34104,NA,NA,NA,NA,-93.576,NA,NA,NA,NA,NA
29598,1.31034,2.55497,-4.25734,NA,-26.4,NA,NA,NA,NA,NA,NA,NA,NA
29643,1.86992,1.71353,-4.24518,NA,-1.343,NA,NA,NA,NA,NA,NA,NA,NA
29936,0.992271,2.21693,-3.93707,NA,NA,-32.357,NA,NA,NA,NA,NA,NA,NA
30011,0.781984,2.62828,-3.84728,-61.098,NA,NA,NA,NA,NA,NA,NA,NA,NA
30259,1.25613,1.65041,-4.1624,-14.306,NA,NA,NA,NA,NA,NA,NA,NA,NA
30407,1.32551,1.6646,-4.73826,-18.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
30797,0.400342,1.98032,-3.78521,-68.253,NA,NA,NA,NA,NA,NA,NA,NA,NA
30884,1.10045,2.72562,-4.536,-44.476,NA,NA,NA,NA,NA,NA,NA,NA,NA
31018,1.53285,1.62262,-3.52786,NA,-23.036,NA,NA,NA,NA,NA,NA,NA,NA
31334,1.06241,2.54635,-4.30342,NA,NA,NA,-66.594,NA,NA,NA,NA,NA,NA
31560,0.983051,1.20055,-4.6543,NA,-36.593,NA,NA,NA,NA,NA,NA,NA,NA
31614,1.62212,3.02663,-4.32112,NA,NA,-47.267,NA,NA,NA,NA,NA,NA,NA
31928,2.59476,3.26928,-3.96545,NA,-77.807,NA,NA,NA,NA,NA,NA,NA,NA
32041,2.19251,2.34269,-4.41779,NA,NA,-21.802,NA,NA,NA,NA,NA,NA,NA
32269,0.924129,1.28592,-4.99612,NA,-45.638,NA,NA,NA,NA,NA,NA,NA,NA
32472,0.722991,1.61628,-4.58967,NA,-37.035,NA,NA,NA,NA,NA,NA,NA,NA
32690,0.449626,2.53162,-4.80981,NA,NA,NA,NA,-76.603,NA,NA,NA,NA,NA
32858,1.56445,1.32005,-4.32843,NA,NA,NA,NA,-33.788,NA,NA,NA,NA,NA
33130,1.9334,1.13486,-4.63415,-26.454,NA,NA,NA,NA,NA,NA,NA,NA,NA
33353,2.6049,0.742659,-4.65958,NA,-53.872,NA,NA,NA,NA,NA,NA,NA,NA
33567,1.9631,0.450865,-4.9351,-86.513,NA,NA,NA,NA,NA,NA,NA,NA,NA
33683,1.17668,2.14643,-3.53378,NA,NA,NA,NA,NA,NA,NA,NA,-171.15,NA
33853,1.34366,2.0652,-4.18816,NA,NA,NA,-45.843,NA,NA,NA,NA,NA,NA
34067,2.48918,0.966554,-3.26174,-79.959,NA,NA,NA,NA,NA,NA,NA,NA,NA
34338,2.10518,1.1829,-3.58028,-37.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
34577,1.49068,1.52331,-3.70344,-26.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
34797,2.30493,3.13711,-3.91548,-66.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
34995,1.54077,2.73996,-4.85103,NA,NA,NA,-48.266,NA,NA,NA,NA,NA,NA
35136,1.9481,1.46316,-4.5442,NA,NA,-8.437,NA,NA,NA,NA,NA,NA,NA
35377,2.28494,2.20771,-4.12681,NA,-18.153,NA,NA,NA,NA,NA,NA,NA,NA
35403,1.96808,2.65655,-4.6461,NA,NA,NA,-48.868,NA,NA,NA,NA,NA,NA
35664,1.92553,2.1259,-4.25675,NA,-9.797,NA,NA,NA,NA,NA,NA,NA,NA
35826,2.31246,3.11323,-4.41141,NA,NA,NA,-67.013,NA,NA,NA,NA,NA,NA
36023,2.60661,2.49505,-3.7902,NA,NA,NA,-63.8,NA,NA,NA,NA,NA,NA
36320,1.54182,1.83278,-4.03412,-10.239,NA,NA,NA,NA,NA,NA,NA,NA,NA
36477,1.80722,2.71482,-4.49124,-30.151,NA,NA,NA,NA,NA,NA,NA,NA,NA
36605,1.45278,1.92305,-4.44375,NA,-6.631,NA,NA,NA,NA,NA,NA,NA,NA
36991,0.979318,2.13415,-3.96817,NA,-28.451,NA,NA,NA,NA,NA,NA,NA,NA
37044,1.80713,2.6303,-3.56581,NA,-39.115,NA,NA,NA,NA,NA,NA,NA,NA
37246,1.94495,1.9632,-4.30634,NA,-4.992,NA,NA,NA,NA,NA,NA,NA,NA
37506,1.65093,2.37654,-3.82401,NA,-21.942,NA,NA,NA,NA,NA,NA,NA,NA
37775,1.68147,0.513766,-4.74456,NA,NA,-74.475,NA,NA,NA,NA,NA,NA,NA
37881,3.25797,1.60061,-4.94819,NA,NA,-69.757,NA,NA,NA,NA,NA,NA,NA
38144,3.15718,1.19813,-4.99096,NA,NA,NA,NA,-81.045,NA,NA,NA,NA,NA
38350,2.01608,2.55006,-4.76946,NA,NA,-28.692,NA,NA,NA,NA,NA,NA,NA
38544,2.55636,1.67819,-4.72836,NA,NA,NA,NA,NA,-63.151,NA,NA,NA,NA
38636,2.03454,1.79237,-4.11833,NA,-5.673,NA,NA,NA,NA,NA,NA,NA,NA
38990,2.6304,1.3321,-4.44545,NA,-25.023,NA,NA,NA,NA,NA,NA,NA,NA
39117,2.0624,0.655274,-4.06635,-57.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
39258,1.80173,0.891215,-4.98138,NA,-44.421,NA,NA,NA,NA,NA,NA,NA,NA
39443,1.95096,1.92967,-4.88097,NA,NA,-17.419,NA,NA,NA,NA,NA,NA,NA
39691,2.77271,1.45029,-4.92303,-40.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
39860,2.26877,1.29307,-4.43632,-24.626,NA,NA,NA,NA,NA,NA,NA,NA,NA
40069,1.35734,1.16821,-4.94194,NA,NA,NA,NA,NA,NA,NA,-80.455,NA,NA
40306,1.00789,2.06276,-4.20394,NA,NA,NA,NA,NA,NA,NA,NA,-104.053,NA
40547,1.37758,1.7094,-3.95136,-15.161,NA,NA,NA,NA,NA,NA,NA,NA,NA
40765,2.02351,1.85073,-3.83476,NA,NA,NA,-48.692,NA,NA,NA,NA,NA,NA
40895,2.6895,1.40297,-4.43983,NA,NA,NA,-56.542,NA,NA,NA,NA,NA,NA
41125,1.65001,2.51953,-4.80039,NA,NA,-34.385,NA,NA,NA,NA,NA,NA,NA
41350,1.85336,2.10092,-4.60241,NA,NA,NA,NA,NA,-47.608,NA,NA,NA,NA
41477,1.7562,2.09475,-4.50498,NA,NA,-12.854,NA,NA,NA,NA,NA,NA,NA
41715,3.11641,1.97588,-4.72564,NA,NA,-49.65,NA,NA,NA,NA,NA,NA,NA
41992,3.12518,2.61252,-4.01445,NA,NA,-71.744,NA,NA,NA,NA,NA,NA,NA
42128,1.50257,2.78871,-4.58601,NA,-34.932,NA,NA,NA,NA,NA,NA,NA,NA
42307,2.68236,2.48981,-3.63539,-52.776,NA,NA,NA,NA,NA,NA,NA,NA,NA
42459,1.31065,2.85505,-4.21668,NA,NA,-44.21,NA,NA,NA,NA,NA,NA,NA
42767,1.12213,2.51581,-4.40899,NA,NA,NA,NA,-50.421,NA,NA,NA,NA,NA
42857,1.08094,2.31063,-4.61663,NA,NA,NA,NA,-39.002,NA,NA,NA,NA,NA
43012,2.14462,1.46644,-4.12704,NA,NA,NA,NA,NA,NA,-80.136,NA,NA,NA
43287,1.31837,2.42168,-4.961,NA,NA,NA,NA,-52.638,NA,NA,NA,NA,NA
43417,1.81172,1.08871,-4.25283,NA,NA,-18.01,NA,NA,NA,NA,NA,NA,NA
43752,1.96667,1.2318,-4.53795,NA,NA,NA,-46.293,NA,NA,NA,NA,NA,NA
43932,2.08704,2.63042,-4.34253,NA,NA,NA,-53.746,NA,NA,NA,NA,NA,NA
44084,1.43121,1.98197,-4.25383,NA,NA,-16.448,NA,NA,NA,NA,NA,NA,NA
44353,1.29925,1.64681,-4.70145,NA,NA,NA,NA,-30.265,NA,NA,NA,NA,NA
44436,1.29691,1.2042,-4.7867,NA,-23.632,NA,NA,NA,NA,NA,NA,NA,NA
44648,0.868367,2.38371,-4.94429,NA,-42.898,NA,NA,NA,NA,NA,NA,NA,NA
44879,1.63558,1.34318,-4.82181,NA,NA,NA,NA,-30.937,NA,NA,NA,NA,NA
45120,2.54316,1.23126,-4.7816,NA,NA,-29.057,NA,NA,NA,NA,NA,NA,NA
45343,1.83751,2.25454,-4.9548,-26.138,NA,NA,NA,NA,NA,NA,NA,NA,NA
45404,1.44295,1.529,-4.72285,NA,NA,NA,-46.287,NA,NA,NA,NA,NA,NA
45620,0.964532,1.89651,-4.64099,-33.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
46000,1.89916,1.56207,-3.88248,NA,-6.917,NA,NA,NA,NA,NA,NA,NA,NA
46115,1.00189,1.01385,-4.23691,NA,NA,NA,-69.494,NA,NA,NA,NA,NA,NA
46327,1.21728,1.15019,-4.40129,-29.527,NA,NA,NA,NA,NA,NA,NA,NA,NA
46566,2.53736,1.96487,-4.04709,NA,NA,-27.369,NA,NA,NA,NA,NA,NA,NA
46629,3.71435,0.877321,-4.97202,-111.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
46939,3.37375,0.376172,-4.11431,-121.553,NA,NA,NA,NA,NA,NA,NA,NA,NA
47049,2.33281,1.9652,-4.29844,-16.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
47256,3.54287,2.15549,-4.6759,NA,-77.048,NA,NA,NA,NA,NA,NA,NA,NA
47550,2.68265,3.30482,-4.6505,NA,NA,NA,-101.043,NA,NA,NA,NA,NA,NA
47788,2.16281,2.28853,-4.21077,-17.761,NA,NA,NA,NA,NA,NA,NA,NA,NA
47805,2.34635,2.54808,-4.60525,-32.241,NA,NA,NA,NA,NA,NA,NA,NA,NA
48113,1.75556,3.09558,-4.39356,NA,NA,NA,-71.341,NA,NA,NA,NA,NA,NA
48326,0.871559,1.82833,-4.61617,-44.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
48518,1.81006,1.64549,-3.63054,NA,NA,-29.269,NA,NA,NA,NA,NA,NA,NA
48754,2.28154,1.46315,-4.77257,NA,NA,-16.095,NA,NA,NA,NA,NA,NA,NA
48897,2.81304,1.2678,-4.39057,NA,-35.416,NA,NA,NA,NA,NA,NA,NA,NA
49110,1.67978,1.8665,-3.79113,NA,NA,NA,NA,NA,-57.493,NA,NA,NA,NA
49231,2.14083,1.95903,-3.69843,NA,-18.769,NA,NA,NA,NA,NA,NA,NA,NA
49568,3.3199,0.958391,-4.58229,-78.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
49784,2.94408,1.8039,-4.74675,NA,-39.276,NA,NA,NA,NA,NA,NA,NA,NA
49817,2.26355,1.17383,-4.57147,-25.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
50091,1.31862,1.20226,-4.33696,NA,-16.362,NA,NA,NA,NA,NA,NA,NA,NA
50262,1.83064,1.75655,-4.62895,NA,-4.116,NA,NA,NA,NA,NA,NA,NA,NA
50469,2.50473,1.68783,-4.46665,NA,NA,-23.225,NA,NA,NA,NA,NA,NA,NA
50775,2.25425,1.11522,-3.43234,-45.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
50977,1.59915,1.89792,-4.29545,NA,-3.698,NA,NA,NA,NA,NA,NA,NA,NA
51176,0.829376,1.61027,-2.86851,NA,-86.915,NA,NA,NA,NA,NA,NA,NA,NA
51225,0.649241,1.7448,-4.59302,-51.893,NA,NA,NA,NA,NA,NA,NA,NA,NA
51464,1.227,1.9624,-4.7519,NA,-17.196,NA,NA,NA,NA,NA,NA,NA,NA
51755,1.01433,1.88466,-4.25316,NA,-19.777,NA,NA,NA,NA,NA,NA,NA,NA
51880,1.96795,0.654393,-4.82976,NA,NA,NA,-82.496,NA,NA,NA,NA,NA,NA
52046,1.72718,1.14526,-4.02018,NA,NA,NA,NA,NA,NA,NA,-76.12,NA,NA
52292,1.49753,1.84499,-4.32449,NA,-4.184,NA,NA,NA,NA,NA,NA,NA,NA
52432,2.43953,3.26654,-4.89774,NA,-74.411,NA,NA,NA,NA,NA,NA,NA,NA
52768,1.64154,3.54024,-4.83495,NA,NA,NA,-94.414,NA,NA,NA,NA,NA,NA
52946,0.887928,2.7974,-4.05045,-58.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
53187,1.00319,1.15714,-4.86291,NA,-44.128,NA,NA,NA,NA,NA,NA,NA,NA
53361,0.900264,1.81333,-4.34677,NA,NA,-36.804,NA,NA,NA,NA,NA,NA,NA
53425,1.39863,2.13764,-3.9547,NA,NA,NA,NA,-39.81,NA,NA,NA,NA,NA
53609,1.21586,1.31488,-3.69416,NA,-29.12,NA,NA,NA,NA,NA,NA,NA,NA
53810,1.18481,0.645002,-3.31973,NA,NA,NA,NA,-105.17,NA,NA,NA,NA,NA
54200,1.759,1.20251,-4.38577,NA,NA,NA,NA,-38.131,NA,NA,NA,NA,NA
