id,x0,x1,x2,fitness8.5,fitness9,fitness8,fitness7.5,fitness7,fitness6.5,fitness6,fitness5,fitness3,fitness4.5,fitness9.5,fitness10.5,fitness10,fitness5.5,fitness4,fitness3.5
2841,8.34598,7.81883,8.0162,NA,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3159,8.38462,7.53938,8.09622,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3303,8.39299,7.62623,7.22862,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3582,9.7478,8.16127,7.14379,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3611,7.93615,8.53695,5.24787,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3803,9.18453,8.0506,3.95219,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4029,7.82122,7.26498,4.04278,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4214,7.05334,7.1433,3.89999,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4503,7.51481,8.36884,5.74424,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4643,7.24482,7.61795,6.60008,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4854,7.77751,8.21846,7.08826,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5167,8.64451,8.35565,6.65362,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5205,8.16371,6.72815,6.10095,NA,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5481,8.73625,7.43932,6.60187,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5613,8.14248,7.45791,7.11601,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5910,6.3514,7.80813,7.23278,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6191,7.43575,7.5714,7.54425,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6364,6.77274,7.97674,8.7872,NA,NA,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,7.47112,8.37153,8.45109,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6791,7.7749,7.91385,8.49261,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6944,7.60526,8.78945,7.58562,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7070,8.62937,8.29756,7.41839,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7237,8.478,7.4958,7.41343,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7460,7.54038,8.50491,7.85225,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7672,6.89211,8.31129,7.85962,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7981,6.46632,8.39088,7.24602,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8124,6.72203,8.6404,6.98045,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8329,7.63141,8.52511,7.40887,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8490,6.78645,7.35259,7.75769,NA,NA,NA,NA,0.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8729,8.08396,7.8452,8.17355,NA,NA,NA,NA,NA,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8834,7.91701,7.13189,6.5267,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9131,7.42952,7.96706,7.48087,NA,NA,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9215,7.77913,7.27508,9.14034,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9549,8.00634,8.62964,8.35316,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9744,8.34902,7.11751,8.51975,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9938,7.33096,7.59568,7.97504,NA,NA,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,7.73245,7.71951,7.42532,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,7.96218,7.03075,7.14539,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10524,7.41421,7.55051,6.64757,NA,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA
10749,6.86296,7.96976,7.02716,NA,NA,NA,NA,NA,NA,NA,NA,0.311,NA,NA,NA,NA,NA,NA,NA
10829,7.25061,6.57399,7.03582,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA
11085,7.98675,7.83938,7.88465,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867,NA,NA,NA,NA,NA,NA
11250,7.11039,7.62741,8.31312,NA,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA
11439,7.61242,8.29466,8.66854,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11698,7.27965,7.26938,7.53588,NA,NA,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11936,7.66726,7.55615,7.29587,NA,NA,NA,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12084,7.75245,7.78311,7.74847,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12277,6.89684,7.38382,8.13636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,NA,NA,NA,NA,NA
12524,6.82385,8.11701,8.11512,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12788,8.55086,9.33423,7.45053,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12892,8.45916,8.67167,8.01524,NA,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13076,7.49149,8.17743,8.68443,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13338,6.4676,6.98698,8.1989,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13494,7.62232,8.48561,6.11711,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13701,6.50778,9.22995,6.71971,NA,NA,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13975,6.9061,8.78892,7.13594,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14044,7.83153,7.06448,6.04537,NA,NA,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14316,8.43011,6.79558,5.74914,NA,NA,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14582,7.61776,7.27248,6.56578,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14700,8.08132,7.691,4.63567,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14808,7.93631,5.31678,7.46004,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15051,8.08704,4.74081,7.65622,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15302,7.76188,6.75615,9.10116,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15573,6.7091,7.03878,7.76255,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15669,7.89654,8.64402,6.57603,NA,NA,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15806,7.64224,6.8318,7.34272,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16110,7.82475,7.54229,7.765,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16259,7.52233,6.6385,7.81874,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16510,6.83386,7.19885,7.59375,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16704,7.98458,7.54391,7.19146,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16856,8.92223,8.14281,7.43316,NA,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17002,9.56897,8.097,7.92586,NA,NA,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17362,9.21622,8.47186,7.14803,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17433,8.26434,7.92366,9.75831,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17764,7.8182,9.20282,8.49984,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17824,7.84275,9.30424,8.43083,NA,NA,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18182,7.47176,9.27549,8.32207,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18278,6.96587,9.19301,7.20968,NA,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18569,8.14298,8.36258,7.39903,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18622,7.46667,7.87732,8.59121,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18821,8.19306,7.51291,8.43641,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19071,9.30567,7.71741,8.65573,NA,NA,NA,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19383,8.72536,7.99053,10.0835,NA,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19580,8.37747,9.67303,8.80488,NA,NA,NA,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19758,8.04126,8.82471,7.46517,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19827,8.9279,7.82694,7.83146,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20196,8.37586,6.57543,7.9577,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20398,7.63854,6.7587,8.29579,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20598,7.35519,6.06223,7.50586,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20696,7.25851,6.39205,7.82237,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20808,8.24606,6.76545,7.92195,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21093,8.40084,7.39838,7.36459,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21302,7.16773,7.06934,7.73559,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21563,7.53061,7.49902,8.22684,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21617,8.71998,7.89426,8.20279,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21834,7.58139,8.74589,8.55081,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22106,8.20423,7.22599,8.08939,NA,NA,NA,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22239,8.93425,7.53331,9.22937,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22486,8.15877,8.02577,7.00842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA
22758,7.76332,8.36794,8.06987,NA,NA,NA,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22835,7.53789,8.21726,7.78894,NA,NA,NA,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23176,7.84059,8.8221,8.72832,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23331,7.68004,8.46349,9.48488,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23562,7.83675,7.77685,9.62497,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23695,7.24588,8.67264,9.24331,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23947,7.85145,8.05418,8.68379,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24057,7.34732,7.77885,8.49755,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24400,8.38246,8.03876,7.55205,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24454,7.55818,8.51856,7.65608,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24799,6.66716,8.84866,7.74799,NA,NA,NA,NA,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24892,7.84334,8.36873,7.75223,NA,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25187,7.11194,8.94799,8.01505,NA,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25230,7.79467,7.28637,8.44781,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25588,7.58786,6.74693,8.85066,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25747,7.12949,7.52831,7.76614,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25886,7.77323,7.73065,8.89044,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26123,8.16054,7.83895,9.93248,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26397,7.63796,8.35039,8.941,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26509,7.45666,7.74575,8.36538,NA,NA,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26675,8.4736,6.73883,7.72473,NA,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26819,8.06616,6.87656,7.48878,NA,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27085,7.49441,6.98645,8.08796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA
27342,8.01642,7.50133,7.7861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621,NA,NA,NA,NA,NA
27579,8.50348,7.71461,8.60082,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27624,8.25567,8.96215,8.12318,NA,NA,NA,NA,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27907,7.95504,8.73717,6.90594,NA,NA,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28020,7.32641,7.35775,7.60439,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28270,7.70828,7.301,7.90275,NA,NA,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28401,6.87412,6.98808,7.76628,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28620,7.71565,7.15096,7.31551,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28887,6.79054,7.45532,7.39633,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29177,8.04911,8.42467,7.28082,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29322,8.07077,7.47983,8.77471,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29442,9.05555,8.57376,7.4635,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29636,8.24617,6.53276,8.40074,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29965,9.1579,8.52912,8.37436,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30091,8.79817,7.86239,8.60219,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30216,8.65634,7.88294,7.29171,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30539,8.54164,7.40913,8.46201,NA,NA,NA,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30794,7.85113,7.65372,8.29666,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30942,8.5341,8.39836,7.5876,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31010,6.40476,7.73242,7.85712,NA,NA,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31286,8.18793,8.6335,7.66571,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31575,7.93153,8.31068,6.83627,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31732,8.84245,7.79125,8.17139,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31878,8.87832,8.66628,7.17693,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32116,7.07925,7.86396,7.21058,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32321,7.1878,9.07216,8.35684,NA,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32574,7.2191,7.65781,8.37279,NA,NA,NA,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32709,7.3352,7.24609,8.08481,NA,NA,NA,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32811,7.8513,7.75509,6.48259,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33166,8.31307,7.60653,7.72946,NA,NA,NA,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33270,8.20317,7.40181,8.41659,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33508,8.70427,7.05081,6.93286,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33733,7.3464,6.75305,7.01972,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33994,7.09476,7.15326,7.32226,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34007,6.62419,6.59454,7.17649,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34213,7.28479,6.47249,6.85936,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34574,8.44834,7.06684,8.05868,NA,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34769,7.96428,7.2028,6.76144,NA,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34885,7.9097,7.39051,5.95679,NA,NA,NA,NA,NA,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35158,7.01955,6.77694,6.0431,NA,NA,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35378,7.46505,6.81861,5.78059,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35493,7.51572,8.01184,4.85761,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35615,8.15609,7.56519,4.63862,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35936,7.95025,7.79747,3.75902,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36097,7.8561,7.55644,4.21484,NA,NA,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36329,7.94485,7.05295,4.28583,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36416,8.28529,7.48352,3.68015,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36685,8.66357,8.55341,4.26256,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36828,8.63837,8.43745,4.40554,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37009,8.56574,7.74951,4.11654,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37320,8.00203,7.91433,4.05126,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37401,8.61864,8.05463,5.23452,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37681,7.75142,7.67389,4.97146,NA,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37982,7.34773,6.18873,5.85966,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38038,7.88002,7.09517,7.64945,NA,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38238,7.52864,6.48192,8.10828,NA,NA,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38515,7.10809,7.88839,8.10819,NA,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38758,6.47666,6.84839,7.70532,NA,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38863,6.90445,8.03566,7.85612,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39023,7.85675,7.88851,8.06082,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39332,7.70006,7.7828,7.57018,NA,NA,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39479,7.73956,7.11103,8.49283,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39698,7.61896,8.10509,7.67038,NA,NA,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39986,8.18124,9.57766,8.14939,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40048,8.52528,8.15209,9.20166,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40316,7.76984,8.59311,9.02686,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40514,6.63969,8.00074,8.41479,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40792,7.58176,8.31804,7.44921,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40863,7.7651,8.56647,7.64108,NA,NA,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
