id,x0,x1,x2,fitness-3.5,fitness-2,fitness-3,fitness-2.5,fitness-1.5,fitness-1,fitness-4,fitness-0.5
28596,2.06999,2.40665,-4.70449,NA,-23.402,NA,NA,NA,NA,NA,NA
28769,1.03501,1.22385,-4.98655,NA,-55.832,NA,NA,NA,NA,NA,NA
28981,1.47358,1.16548,-4.17914,NA,NA,NA,NA,-55.982,NA,NA,NA
29023,2.12,0.956799,-4.16383,NA,NA,NA,NA,-60.996,NA,NA,NA
29254,2.48667,1.3025,-4.6859,NA,NA,NA,NA,NA,-65.681,NA,NA
29512,2.22083,0.949449,-4.32286,NA,-33.986,NA,NA,NA,NA,NA,NA
29714,1.98905,2.15172,-4.63754,NA,-14.918,NA,NA,NA,NA,NA,NA
29923,2.10189,2.32512,-4.27418,NA,-26.452,NA,NA,NA,NA,NA,NA
30070,1.42037,1.3107,-4.91731,-46.145,NA,NA,NA,NA,NA,NA,NA
30345,2.15104,1.48883,-4.76917,NA,NA,-14.75,NA,NA,NA,NA,NA
30591,2.38623,1.12847,-3.85485,NA,-38.044,NA,NA,NA,NA,NA,NA
30653,2.4603,2.04659,-3.87893,NA,NA,NA,-23.047,NA,NA,NA,NA
30890,2.19328,2.1069,-4.44574,NA,NA,NA,-13.059,NA,NA,NA,NA
31002,2.5199,2.00637,-4.83792,NA,NA,NA,NA,NA,-61.917,NA,NA
31303,1.5908,1.52824,-3.94079,NA,-13.768,NA,NA,NA,NA,NA,NA
31472,1.75298,1.75757,-3.61209,NA,-32.702,NA,NA,NA,NA,NA,NA
31745,1.41839,2.42402,-3.60892,NA,NA,-33.651,NA,NA,NA,NA,NA
31844,2.22736,1.95294,-4.86091,NA,NA,NA,-16.205,NA,NA,NA,NA
32007,2.25768,2.48254,-4.19047,NA,-26.857,NA,NA,NA,NA,NA,NA
32294,1.88711,1.42456,-3.41033,NA,NA,NA,-30.872,NA,NA,NA,NA
32463,2.91464,1.268,-3.81453,-67.054,NA,NA,NA,NA,NA,NA,NA
32754,2.38742,1.61649,-4.04929,NA,NA,-20.915,NA,NA,NA,NA,NA
32887,1.83055,1.09402,-3.49678,NA,NA,NA,-36.404,NA,NA,NA,NA
33109,1.94195,2.04296,-3.88212,NA,NA,-14.468,NA,NA,NA,NA,NA
33359,1.71615,2.46873,-4.81918,-37.105,NA,NA,NA,NA,NA,NA,NA
33523,1.9422,1.93517,-4.11984,-21.961,NA,NA,NA,NA,NA,NA,NA
33643,2.86975,2.07905,-4.13082,-52.591,NA,NA,NA,NA,NA,NA,NA
33967,2.4856,2.19157,-4.11639,NA,NA,NA,-23.117,NA,NA,NA,NA
34174,2.05913,1.52326,-3.56101,NA,NA,NA,-21.48,NA,NA,NA,NA
34210,2.66821,2.14725,-3.99193,NA,NA,NA,NA,-53.185,NA,NA,NA
34519,1.72157,2.22036,-4.6457,NA,NA,NA,NA,-25.946,NA,NA,NA
34706,2.67863,1.44421,-4.40673,NA,-34.6,NA,NA,NA,NA,NA,NA
34934,2.19168,1.98006,-4.69639,NA,NA,NA,NA,NA,-76.154,NA,NA
35132,1.18251,1.77574,-4.69725,NA,NA,-19.146,NA,NA,NA,NA,NA
35255,1.37152,1.96343,-4.94132,NA,NA,NA,-18.414,NA,NA,NA,NA
35576,2.4241,2.41196,-4.42836,NA,NA,NA,-26.833,NA,NA,NA,NA
35713,2.67322,1.42004,-4.57389,NA,NA,NA,-26.889,NA,NA,NA,NA
35939,2.25465,1.90897,-4.77977,-36.539,NA,NA,NA,NA,NA,NA,NA
36185,1.54833,1.83821,-4.94586,NA,NA,-18.169,NA,NA,NA,NA,NA
36279,2.6592,2.26582,-4.6692,NA,-32.953,NA,NA,NA,NA,NA,NA
36566,2.68652,1.54923,-4.54868,NA,NA,-27.282,NA,NA,NA,NA,NA
36794,1.80539,1.78466,-3.17033,NA,NA,-43.458,NA,NA,NA,NA,NA
37000,2.01033,1.56086,-4.20786,NA,-4.797,NA,NA,NA,NA,NA,NA
37050,1.38311,1.64383,-4.55906,NA,-18.909,NA,NA,NA,NA,NA,NA
37397,2.08715,1.54868,-4.06616,NA,NA,-16.35,NA,NA,NA,NA,NA
37410,2.15786,1.45419,-4.46631,NA,NA,-9.278,NA,NA,NA,NA,NA
37757,1.26004,1.70951,-4.17742,NA,NA,NA,-10.899,NA,NA,NA,NA
37880,1.53121,1.63676,-4.74686,NA,NA,NA,-8.335,NA,NA,NA,NA
38045,1.73112,1.53412,-4.6402,NA,NA,NA,-4.023,NA,NA,NA,NA
38268,1.99697,2.76454,-4.73145,NA,-40.09,NA,NA,NA,NA,NA,NA
38458,1.31787,1.52561,-4.4945,NA,NA,-14.619,NA,NA,NA,NA,NA
38686,2.02637,1.4447,-3.36301,NA,-43.992,NA,NA,NA,NA,NA,NA
38942,1.65183,1.85573,-4.20284,NA,NA,NA,-2.878,NA,NA,NA,NA
39076,2.13282,2.15723,-4.25931,NA,NA,-13.846,NA,NA,NA,NA,NA
39357,1.71395,2.53116,-4.28616,NA,NA,NA,-21.894,NA,NA,NA,NA
39476,2.46639,1.68697,-4.8057,NA,NA,-24.784,NA,NA,NA,NA,NA
39760,2.75902,1.24821,-3.96414,NA,-37.582,NA,NA,NA,NA,NA,NA
39954,2.8163,1.2208,-3.46631,NA,NA,NA,-57.095,NA,NA,NA,NA
40176,1.82061,0.780132,-3.78907,NA,-55.944,NA,NA,NA,NA,NA,NA
40230,1.26174,1.36051,-4.3904,NA,NA,NA,NA,-50.441,NA,NA,NA
40556,1.34295,1.54312,-4.14069,NA,NA,NA,NA,-31.368,NA,NA,NA
40621,2.21015,1.15893,-3.7822,NA,NA,NA,-24.568,NA,NA,NA,NA
40937,2.78231,2.44166,-4.25176,NA,-41.312,NA,NA,NA,NA,NA,NA
41123,2.89341,2.39414,-4.7206,NA,NA,NA,-45.526,NA,NA,NA,NA
41234,1.40983,2.00863,-4.71187,-27.09,NA,NA,NA,NA,NA,NA,NA
41488,1.68084,1.71358,-4.35184,NA,NA,-5.692,NA,NA,NA,NA,NA
41639,1.55023,2.47632,-3.93402,NA,NA,-28.864,NA,NA,NA,NA,NA
42000,1.888,2.35556,-3.93522,NA,NA,-24.294,NA,NA,NA,NA,NA
42052,1.67859,2.53726,-4.01088,NA,NA,NA,-24.423,NA,NA,NA,NA
42206,1.78782,1.34277,-4.23406,NA,NA,-15.308,NA,NA,NA,NA,NA
42489,1.58546,1.77012,-4.78981,NA,-11.29,NA,NA,NA,NA,NA,NA
42775,1.88041,2.54913,-4.45829,NA,-31.323,NA,NA,NA,NA,NA,NA
42892,0.525754,2.1864,-4.35009,NA,-58.935,NA,NA,NA,NA,NA,NA
43006,0.532635,1.57316,-3.99293,NA,NA,NA,-50.963,NA,NA,NA,NA
43360,1.01336,2.19714,-4.28052,NA,NA,NA,-24.69,NA,NA,NA,NA
43560,1.78551,2.23137,-4.29203,NA,NA,-19.398,NA,NA,NA,NA,NA
43767,1.58504,2.7121,-4.82285,NA,NA,-42.578,NA,NA,NA,NA,NA
43986,1.43364,2.27368,-4.85447,NA,-26.798,NA,NA,NA,NA,NA,NA
44096,1.66381,1.40825,-4.35783,NA,NA,-10.566,NA,NA,NA,NA,NA
44249,1.09048,1.70557,-4.38045,NA,NA,NA,-16.055,NA,NA,NA,NA
44432,1.84327,1.51632,-4.19478,-37.133,NA,NA,NA,NA,NA,NA,NA
44779,2.0018,1.30477,-4.93221,NA,NA,NA,NA,NA,NA,-60.115,NA
44881,1.78591,1.713,-4.07952,NA,NA,NA,-3.406,NA,NA,NA,NA
45192,2.21582,1.71908,-4.23965,NA,-12.195,NA,NA,NA,NA,NA,NA
45278,2.13859,1.58511,-4.89275,NA,NA,-20.539,NA,NA,NA,NA,NA
45551,1.63191,1.16665,-4.66292,NA,NA,NA,-15.44,NA,NA,NA,NA
45629,2.12128,1.32563,-4.81103,NA,NA,NA,-14.162,NA,NA,NA,NA
45809,1.69316,1.80409,-4.74846,NA,NA,-9.22,NA,NA,NA,NA,NA
46066,1.98083,1.81923,-4.89038,NA,NA,-16.793,NA,NA,NA,NA,NA
46400,1.41906,2.17716,-4.71245,NA,NA,NA,-16.156,NA,NA,NA,NA
46460,1.73881,1.78615,-3.34691,NA,-36.138,NA,NA,NA,NA,NA,NA
46654,1.53713,1.01501,-4.59697,NA,NA,NA,-22.07,NA,NA,NA,NA
46821,2.08558,1.09511,-4.56298,NA,NA,NA,-17.891,NA,NA,NA,NA
47043,1.7036,1.99592,-4.24478,NA,NA,NA,-5.749,NA,NA,NA,NA
47283,2.80935,1.6658,-4.22956,NA,NA,-31.673,NA,NA,NA,NA,NA
47504,1.95174,1.79118,-3.9681,NA,NA,-9.202,NA,NA,NA,NA,NA
47691,2.09198,1.91721,-4.05975,NA,NA,-15.231,NA,NA,NA,NA,NA
47978,1.68876,1.33776,-4.74984,NA,NA,-15.845,NA,NA,NA,NA,NA
48191,2.66173,1.88605,-4.24996,NA,NA,NA,-23.588,NA,NA,NA,NA
48303,1.98519,1.83057,-4.39697,NA,NA,NA,-3.693,NA,NA,NA,NA
48427,1.58505,1.57521,-4.35902,NA,NA,NA,-2.357,NA,NA,NA,NA
48746,2.00148,1.06254,-3.86151,-42.444,NA,NA,NA,NA,NA,NA,NA
48825,1.29046,1.01,-3.71982,NA,-60.96,NA,NA,NA,NA,NA,NA
49062,1.94907,2.06513,-3.8337,NA,NA,NA,NA,-33.503,NA,NA,NA
49257,1.82643,1.73717,-4.76035,NA,NA,NA,-8.405,NA,NA,NA,NA
49571,2.36299,1.91775,-4.55405,NA,NA,-25.115,NA,NA,NA,NA,NA
49606,2.40247,1.23462,-4.40169,NA,NA,NA,-20.453,NA,NA,NA,NA
49919,2.04511,1.78141,-4.92217,NA,NA,-15.505,NA,NA,NA,NA,NA
50127,0.843113,1.20059,-4.96786,NA,NA,NA,-59.416,NA,NA,NA,NA
50398,1.89579,2.26392,-4.51498,NA,NA,-14.599,NA,NA,NA,NA,NA
50565,2.30158,1.44213,-4.48712,NA,NA,NA,-11.029,NA,NA,NA,NA
50795,2.67636,1.91641,-4.24064,NA,-26.877,NA,NA,NA,NA,NA,NA
50919,2.40708,2.36991,-3.61524,NA,NA,NA,NA,-51.519,NA,NA,NA
51064,1.81526,2.20464,-3.67607,NA,-30.95,NA,NA,NA,NA,NA,NA
51220,1.80938,2.08607,-3.42926,NA,-31.562,NA,NA,NA,NA,NA,NA
51482,1.91437,0.931386,-4.11592,NA,NA,-35.711,NA,NA,NA,NA,NA
51748,1.93052,1.96301,-4.79855,NA,NA,-21.193,NA,NA,NA,NA,NA
51988,2.90588,1.72676,-4.79506,-53.725,NA,NA,NA,NA,NA,NA,NA
52071,1.88091,1.7803,-4.52466,-34.159,NA,NA,NA,NA,NA,NA,NA
52335,2.23003,1.32103,-4.46598,NA,NA,-23.288,NA,NA,NA,NA,NA
52515,2.69865,2.61602,-4.07516,NA,NA,-46.551,NA,NA,NA,NA,NA
52616,2.31109,3.04416,-4.74256,NA,-56.575,NA,NA,NA,NA,NA,NA
52878,2.00179,2.00475,-4.68425,NA,-12.781,NA,NA,NA,NA,NA,NA
53021,2.04129,2.22804,-4.99739,NA,NA,NA,-22.904,NA,NA,NA,NA
53237,1.44306,2.13435,-4.56069,NA,NA,NA,NA,-30.852,NA,NA,NA
53564,1.90924,1.75451,-3.89197,NA,-11.724,NA,NA,NA,NA,NA,NA
53674,1.9056,0.498003,-4.25853,NA,NA,NA,-63.126,NA,NA,NA,NA
53982,0.462495,1.66216,-4.2634,NA,NA,-51.009,NA,NA,NA,NA,NA
54138,1.20559,1.89244,-4.40319,NA,NA,-13.944,NA,NA,NA,NA,NA
54356,3.12549,1.43389,-3.94894,NA,-52.581,NA,NA,NA,NA,NA,NA
54524,1.73735,1.96524,-3.85163,NA,NA,-12.128,NA,NA,NA,NA,NA
54792,1.19205,1.40059,-4.50209,NA,NA,-18.646,NA,NA,NA,NA,NA
54930,2.79463,2.07818,-4.20268,NA,-32.786,NA,NA,NA,NA,NA,NA
55189,2.53554,1.47766,-4.03579,NA,NA,NA,-21.159,NA,NA,NA,NA
55311,2.43533,1.80921,-4.42587,NA,NA,-15.947,NA,NA,NA,NA,NA
55520,2.5204,1.81765,-4.46224,NA,NA,-24.952,NA,NA,NA,NA,NA
55604,0.916417,2.82977,-4.30311,NA,NA,-51.756,NA,NA,NA,NA,NA
55896,1.65579,1.79138,-4.49259,NA,NA,-5.072,NA,NA,NA,NA,NA
56087,1.74182,1.78263,-3.39387,NA,NA,-29.163,NA,NA,NA,NA,NA
56243,0.929304,1.16594,-4.55501,NA,NA,-45.611,NA,NA,NA,NA,NA
56528,2.54126,1.21589,-4.29,NA,NA,-27.45,NA,NA,NA,NA,NA
56657,2.31959,0.957233,-4.84942,NA,NA,NA,-35.805,NA,NA,NA,NA
56875,2.03244,2.02377,-4.05018,NA,NA,-15.539,NA,NA,NA,NA,NA
57014,2.29481,1.51912,-3.79501,NA,NA,NA,-17.603,NA,NA,NA,NA
57379,1.07257,2.27262,-3.876,-52.162,NA,NA,NA,NA,NA,NA,NA
57473,1.59421,2.1222,-3.85563,-37.122,NA,NA,NA,NA,NA,NA,NA
57678,1.75472,1.18749,-4.31034,NA,NA,NA,-7.666,NA,NA,NA,NA
57859,2.63194,2.05189,-4.41223,NA,NA,-29.372,NA,NA,NA,NA,NA
58065,1.48027,1.55669,-3.65411,-32.532,NA,NA,NA,NA,NA,NA,NA
58319,2.22073,1.70272,-4.96038,-33.384,NA,NA,NA,NA,NA,NA,NA
58574,1.15506,1.24033,-4.5323,NA,NA,NA,-23.372,NA,NA,NA,NA
58726,1.45776,1.71934,-3.86692,NA,NA,NA,-11.663,NA,NA,NA,NA
58995,1.84747,1.03912,-4.7793,NA,NA,NA,-22.008,NA,NA,NA,NA
59125,2.37712,1.84615,-4.73849,NA,NA,-17.566,NA,NA,NA,NA,NA
59342,3.17481,2.28123,-4.33532,NA,NA,-58.458,NA,NA,NA,NA,NA
59429,2.16202,2.28013,-4.05743,NA,NA,NA,-17.305,NA,NA,NA,NA
59683,2.49024,1.78846,-4.77059,-37.094,NA,NA,NA,NA,NA,NA,NA
59961,1.15025,1.46075,-4.64042,NA,NA,NA,-21.193,NA,NA,NA,NA
60188,1.24484,1.9536,-4.98184,NA,NA,NA,NA,-36.519,NA,NA,NA
60356,2.22412,1.35938,-3.77134,NA,NA,NA,NA,-51.056,NA,NA,NA
60467,1.13094,1.36736,-4.0472,NA,NA,NA,-22.884,NA,NA,NA,NA
60697,2.89161,1.42404,-3.71994,NA,NA,NA,NA,-61.874,NA,NA,NA
60835,2.86699,1.28612,-4.23663,NA,-38.244,NA,NA,NA,NA,NA,NA
61133,2.38745,1.86659,-4.28846,NA,NA,-24.955,NA,NA,NA,NA,NA
61296,1.84233,1.16948,-4.90773,-35.242,NA,NA,NA,NA,NA,NA,NA
61425,1.83726,2.20601,-3.9396,NA,NA,NA,NA,NA,NA,-51.199,NA
