id,x0,x1,x2,fitness-0.5,fitness-1,fitness-1.5,fitness-2,fitness-2.5,fitness0,fitness-3,fitness-3.5,fitness-4,fitness-5,fitness-4.5
6914,-3.12176,5,5,NA,NA,NA,-118.808,NA,NA,NA,NA,NA,NA,NA
7079,-0.989176,5,5,NA,NA,-88.367,NA,NA,NA,NA,NA,NA,NA,NA
7337,-1.13969,5,3.22751,NA,NA,-43.671,NA,NA,NA,NA,NA,NA,NA,NA
7477,-1.07569,3.96385,2.38867,NA,NA,NA,-66.097,NA,NA,NA,NA,NA,NA,NA
7634,-3.24088,5,1.79918,NA,NA,-165.724,NA,NA,NA,NA,NA,NA,NA,NA
7944,-3.55341,5,2.06329,NA,NA,-172.526,NA,NA,NA,NA,NA,NA,NA,NA
8142,-4.23927,4.99712,2.92473,NA,-250.732,NA,NA,NA,NA,NA,NA,NA,NA,NA
8208,-2.47612,5,3.84224,NA,NA,NA,-41.712,NA,NA,NA,NA,NA,NA,NA
8578,-1.93926,5,3.31156,NA,NA,NA,NA,-22.616,NA,NA,NA,NA,NA,NA
8740,-2.27216,5,3.95605,NA,NA,NA,NA,NA,NA,NA,-84.011,NA,NA,NA
8905,-2.43563,5,5,NA,NA,NA,NA,-86.419,NA,NA,NA,NA,NA,NA
9115,-0.52347,5,5,NA,NA,NA,NA,NA,NA,-124.514,NA,NA,NA,NA
9210,-1.12079,5,4.41638,NA,NA,-62.59,NA,NA,NA,NA,NA,NA,NA,NA
9592,-1.41954,5,3.82722,NA,-86.796,NA,NA,NA,NA,NA,NA,NA,NA,NA
9780,-0.692519,5,3.04928,NA,NA,NA,NA,-53.998,NA,NA,NA,NA,NA,NA
9874,-1.8531,5,3.07604,NA,NA,NA,NA,-23.268,NA,NA,NA,NA,NA,NA
10137,-1.03846,4.36974,2.49885,NA,NA,NA,NA,-51.845,NA,NA,NA,NA,NA,NA
10248,-1.3149,5,2.67546,NA,NA,NA,-30.051,NA,NA,NA,NA,NA,NA,NA
10476,-1.45059,4.55959,2.83562,NA,NA,NA,NA,NA,NA,NA,NA,-84.741,NA,NA
10730,-2.40286,4.27613,2.86344,NA,NA,NA,NA,NA,NA,NA,-73.818,NA,NA,NA
10949,-3.67938,4.49999,3.3883,NA,NA,NA,NA,NA,NA,NA,-122.317,NA,NA,NA
11060,-2.36714,4.66051,3.84293,NA,NA,NA,NA,-28.203,NA,NA,NA,NA,NA,NA
11308,-4.72418,5,2.65462,NA,NA,NA,-242.974,NA,NA,NA,NA,NA,NA,NA
11529,-2.53725,5,4.01511,NA,NA,NA,NA,NA,NA,-55.703,NA,NA,NA,NA
11784,-2.1435,3.75349,3.4144,NA,NA,NA,NA,NA,NA,-41.209,NA,NA,NA,NA
11950,-2.13062,3.62999,1.72453,NA,NA,NA,NA,NA,NA,NA,-117.767,NA,NA,NA
12168,-2.39572,3.36246,1.20164,NA,NA,NA,NA,NA,NA,-169.11,NA,NA,NA,NA
12219,-0.403194,3.08476,1.62096,NA,NA,-356.317,NA,NA,NA,NA,NA,NA,NA,NA
12423,-1.45615,4.78049,1.76024,NA,NA,-142.181,NA,NA,NA,NA,NA,NA,NA,NA
12666,-0.625076,5,2.05897,NA,-154.971,NA,NA,NA,NA,NA,NA,NA,NA,NA
12921,-0.972563,4.41295,3.45005,NA,NA,-34.099,NA,NA,NA,NA,NA,NA,NA,NA
13114,-0.998288,5,3.52924,NA,NA,NA,-30.544,NA,NA,NA,NA,NA,NA,NA
13238,-2.34405,5,3.68418,NA,-85.856,NA,NA,NA,NA,NA,NA,NA,NA,NA
13581,-3.99015,4.92704,4.26894,NA,NA,NA,NA,NA,NA,-157.075,NA,NA,NA,NA
13637,-2.13191,4.81486,4.57064,NA,NA,NA,NA,-55.116,NA,NA,NA,NA,NA,NA
13867,-1.21958,5,5,NA,NA,NA,-78.697,NA,NA,NA,NA,NA,NA,NA
14178,-0.915247,4.8553,5,NA,-105.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
14230,-0.240786,5,4.16147,NA,NA,-102.119,NA,NA,NA,NA,NA,NA,NA,NA
14556,-0.435005,5,4.45699,NA,NA,NA,NA,NA,-194.364,NA,NA,NA,NA,NA
14645,-1.79909,3.8226,4.23067,NA,-100.634,NA,NA,NA,NA,NA,NA,NA,NA,NA
14999,-2.45812,5,5,NA,-128.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
15075,-1.53372,4.84537,4.41264,NA,NA,-52.151,NA,NA,NA,NA,NA,NA,NA,NA
15357,-2.2148,5,5,NA,NA,NA,-79.251,NA,NA,NA,NA,NA,NA,NA
15467,-1.82431,3.88859,4.76533,NA,NA,NA,-63.644,NA,NA,NA,NA,NA,NA,NA
15722,-1.79355,4.68218,5,NA,NA,NA,-70.363,NA,NA,NA,NA,NA,NA,NA
15940,-1.83058,4.91038,3.6033,NA,NA,NA,-13.938,NA,NA,NA,NA,NA,NA,NA
16170,-1.85618,3.80387,3.01079,NA,NA,NA,-34.673,NA,NA,NA,NA,NA,NA,NA
16224,-2.67576,5,2.85604,NA,NA,NA,-48.461,NA,NA,NA,NA,NA,NA,NA
16510,-3.26299,4.59478,4.12515,NA,NA,NA,-83.656,NA,NA,NA,NA,NA,NA,NA
16687,-1.56325,3.48898,4.51586,NA,NA,NA,-66.119,NA,NA,NA,NA,NA,NA,NA
16923,-2.17212,4.28512,4.36912,NA,NA,NA,-39.289,NA,NA,NA,NA,NA,NA,NA
17113,-2.10677,3.32332,4.23833,NA,NA,NA,NA,-64.873,NA,NA,NA,NA,NA,NA
17305,-1.10843,3.86881,4.85334,NA,NA,NA,-81.981,NA,NA,NA,NA,NA,NA,NA
17453,-1.21217,4.4256,3.92273,NA,NA,NA,NA,NA,NA,-53.559,NA,NA,NA,NA
17684,-1.91505,3.83592,4.60901,NA,NA,NA,NA,-56.276,NA,NA,NA,NA,NA,NA
17896,-1.88071,3.15213,4.46092,NA,NA,NA,NA,NA,NA,NA,NA,-128.125,NA,NA
18200,-2.22134,4.18042,3.67955,NA,NA,NA,NA,NA,NA,-30.662,NA,NA,NA,NA
18231,-2.31295,3.28892,3.53723,NA,NA,NA,NA,-55.138,NA,NA,NA,NA,NA,NA
18441,-1.53509,3.31744,3.24447,NA,NA,NA,NA,-48.141,NA,NA,NA,NA,NA,NA
18791,-2.3995,3.99094,1.74953,NA,NA,NA,-115.111,NA,NA,NA,NA,NA,NA,NA
18907,-1.64886,3.12029,2.67275,NA,NA,NA,NA,-76.592,NA,NA,NA,NA,NA,NA
19051,-1.99408,1.59055,3.22136,NA,NA,NA,NA,NA,NA,NA,-224.441,NA,NA,NA
19380,-2.35139,2.05532,3.17313,NA,NA,NA,NA,NA,NA,NA,NA,-183.635,NA,NA
19488,-1.67732,2.72526,3.73013,NA,NA,NA,NA,NA,NA,NA,-107.257,NA,NA,NA
19771,-1.58315,2.4502,3.22223,NA,NA,NA,NA,-113.221,NA,NA,NA,NA,NA,NA
19849,-1.65322,3.54392,4.32137,NA,NA,-90.925,NA,NA,NA,NA,NA,NA,NA,NA
20166,-2.61696,4.27065,3.96371,NA,NA,NA,NA,-41.345,NA,NA,NA,NA,NA,NA
20272,-2.39376,5,4.99822,NA,NA,NA,NA,NA,NA,NA,NA,-139.838,NA,NA
20413,-2.22661,5,3.14724,NA,NA,NA,-25.466,NA,NA,NA,NA,NA,NA,NA
20779,-1.98493,5,3.43423,NA,NA,NA,NA,NA,NA,-26.472,NA,NA,NA,NA
20831,-1.93903,4.93689,2.37607,NA,NA,NA,NA,-39.748,NA,NA,NA,NA,NA,NA
21189,-2.08481,5,2.53703,NA,NA,NA,-37.344,NA,NA,NA,NA,NA,NA,NA
21235,-2.42149,4.62576,3.69505,NA,-98.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
21471,-1.46106,5,2.69592,NA,NA,NA,-27.939,NA,NA,NA,NA,NA,NA,NA
21780,-2.14319,4.81133,2.91243,NA,NA,NA,NA,-22.244,NA,NA,NA,NA,NA,NA
21909,-2.10142,4.06058,2.89522,NA,-128.837,NA,NA,NA,NA,NA,NA,NA,NA,NA
22035,-2.92815,2.68583,5,NA,NA,NA,-183.888,NA,NA,NA,NA,NA,NA,NA
22222,-2.54166,3.36401,5,NA,NA,NA,NA,-110.995,NA,NA,NA,NA,NA,NA
22437,-2.77584,3.95148,5,NA,NA,-112.694,NA,NA,NA,NA,NA,NA,NA,NA
22752,-2.43841,4.70993,4.78543,NA,NA,-92.715,NA,NA,NA,NA,NA,NA,NA,NA
22940,-1.17948,5,5,NA,NA,NA,-79.749,NA,NA,NA,NA,NA,NA,NA
23178,-1.0072,3.29008,4.29803,NA,NA,NA,NA,NA,NA,-97.235,NA,NA,NA,NA
23308,-1.96612,4.55793,4.56326,NA,NA,NA,NA,NA,NA,-58.743,NA,NA,NA,NA
23492,-1.69366,5,4.60952,NA,-79.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
23734,-2.39806,5,4.02619,NA,NA,-45.931,NA,NA,NA,NA,NA,NA,NA,NA
23893,-1.34247,5,2.71897,NA,NA,NA,NA,NA,NA,-45.385,NA,NA,NA,NA
24175,-1.25448,4.68654,1.74788,NA,NA,NA,NA,NA,NA,-107.355,NA,NA,NA,NA
24349,-0.935091,5,2.11036,NA,NA,NA,-79.667,NA,NA,NA,NA,NA,NA,NA
24436,-1.38972,4.49883,3.23844,NA,NA,NA,-2.024,NA,NA,NA,NA,NA,NA,NA
24601,-2.41328,3.87954,4.19701,NA,NA,NA,NA,NA,NA,-52.796,NA,NA,NA,NA
24973,-3.03357,5,4.62823,NA,NA,NA,NA,NA,NA,NA,-132.6,NA,NA,NA
25123,-1.09179,4.34453,5,NA,NA,NA,NA,-81.282,NA,NA,NA,NA,NA,NA
25327,-0.212189,3.8292,5,NA,NA,NA,-157.803,NA,NA,NA,NA,NA,NA,NA
25567,-0.0800507,4.75596,4.59882,NA,NA,NA,-125.295,NA,NA,NA,NA,NA,NA,NA
25707,0.501281,2.97784,5,NA,NA,-335.527,NA,NA,NA,NA,NA,NA,NA,NA
25981,-1.36088,3.47878,4.86845,NA,-122.131,NA,NA,NA,NA,NA,NA,NA,NA,NA
26181,-1.38381,3.51132,4.5336,NA,NA,NA,-69.117,NA,NA,NA,NA,NA,NA,NA
26352,-2.85563,4.80295,4.74826,NA,NA,-92.634,NA,NA,NA,NA,NA,NA,NA,NA
26541,-2.78116,5,4.95388,NA,-139.063,NA,NA,NA,NA,NA,NA,NA,NA,NA
26732,-2.73713,5,5,-169.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26810,-2.3674,5,5,-164.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27034,-2.43751,3.88014,4.51148,NA,-118.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
27371,-0.905406,4.34474,5,NA,NA,NA,-88.413,NA,NA,NA,NA,NA,NA,NA
27437,-0.0600427,4.76293,3.75958,NA,NA,NA,NA,NA,NA,-157.551,NA,NA,NA,NA
27668,-0.865598,5,4.27515,NA,NA,NA,-53.927,NA,NA,NA,NA,NA,NA,NA
27868,-0.995524,4.27775,4.9109,NA,NA,-90.176,NA,NA,NA,NA,NA,NA,NA,NA
28113,-0.371798,5,4.37557,-149.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28318,-1.41416,4.50918,3.69278,NA,NA,NA,-8.203,NA,NA,NA,NA,NA,NA,NA
28550,-1.85564,4.06968,3.93353,NA,NA,NA,-22.143,NA,NA,NA,NA,NA,NA,NA
28621,-1.1653,2.77157,4.36491,NA,NA,-132.989,NA,NA,NA,NA,NA,NA,NA,NA
28978,-1.13648,4.10871,5,NA,NA,NA,NA,NA,NA,NA,-117.621,NA,NA,NA
29055,0.147646,4.49283,5,NA,NA,NA,NA,NA,NA,-222.491,NA,NA,NA,NA
29347,-0.524187,3.71839,5,NA,NA,-130.928,NA,NA,NA,NA,NA,NA,NA,NA
29526,-0.463756,3.64303,3.93868,NA,NA,NA,-102.747,NA,NA,NA,NA,NA,NA,NA
29608,-0.925226,4.9579,5,NA,NA,-96.815,NA,NA,NA,NA,NA,NA,NA,NA
29915,-0.434978,4.73995,3.6957,NA,-93.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
30110,-1.6513,5,2.63034,NA,NA,-56.945,NA,NA,NA,NA,NA,NA,NA,NA
30335,-2.54295,5,3.21573,NA,NA,-49.796,NA,NA,NA,NA,NA,NA,NA,NA
30447,-3.14459,5,5,NA,-173.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
30758,-2.88923,5,4.06935,NA,-127.468,NA,NA,NA,NA,NA,NA,NA,NA,NA
30892,-3.6901,2.8123,2.54363,NA,NA,NA,-223.818,NA,NA,NA,NA,NA,NA,NA
31030,-3.73365,3.64224,3.86163,NA,NA,NA,NA,NA,NA,-134.274,NA,NA,NA,NA
31391,-2.90285,4.47674,3.70893,NA,NA,NA,NA,NA,NA,NA,-77.19,NA,NA,NA
31587,-3.39808,4.67148,3.46354,NA,NA,NA,NA,NA,NA,-84.285,NA,NA,NA,NA
31632,-3.158,4.33793,3.05522,NA,NA,NA,NA,NA,NA,-71.141,NA,NA,NA,NA
31944,-2.74939,5,3.10069,NA,NA,NA,NA,NA,NA,NA,-69.571,NA,NA,NA
32105,-3.02261,5,3.13355,NA,NA,NA,NA,NA,NA,NA,-86.747,NA,NA,NA
32304,-1.82302,5,1.94648,NA,NA,NA,NA,-66.501,NA,NA,NA,NA,NA,NA
32544,-1.56928,4.26701,3.38657,NA,NA,NA,NA,NA,NA,NA,-51.06,NA,NA,NA
32650,-2.04492,3.46216,4.73836,NA,NA,NA,NA,NA,NA,-83.595,NA,NA,NA,NA
32813,-2.63224,3.41911,4.51031,NA,NA,NA,NA,NA,NA,NA,-112.267,NA,NA,NA
33185,-2.80002,3.30306,3.4775,NA,NA,NA,NA,NA,NA,NA,-111.923,NA,NA,NA
33274,-4.06737,4.26949,3.49106,NA,NA,NA,NA,NA,NA,NA,NA,-183.468,NA,NA
33403,-2.741,4.35197,3.06475,NA,NA,NA,NA,NA,NA,NA,NA,-102.215,NA,NA
33790,-3.24579,3.20255,2.00575,NA,NA,NA,NA,NA,NA,NA,-175.07,NA,NA,NA
33987,-2.83766,4.07088,3.14809,NA,NA,NA,NA,NA,NA,NA,-67.813,NA,NA,NA
34133,-2.34454,3.09852,2.61627,NA,NA,NA,-106.958,NA,NA,NA,NA,NA,NA,NA
34329,-2.37174,3.5953,1.59551,NA,NA,NA,-178.632,NA,NA,NA,NA,NA,NA,NA
34496,-1.3562,5,4.17025,NA,NA,-46.999,NA,NA,NA,NA,NA,NA,NA,NA
34736,-1.79893,4.89461,2.921,NA,NA,NA,NA,NA,NA,-24.9,NA,NA,NA,NA
34962,-1.1011,4.75145,3.08518,NA,NA,NA,NA,-17.47,NA,NA,NA,NA,NA,NA
35051,-1.90795,5,4.06916,NA,NA,NA,NA,-31.294,NA,NA,NA,NA,NA,NA
35206,-0.978197,4.5462,2.98807,NA,NA,NA,-22.696,NA,NA,NA,NA,NA,NA,NA
35401,-0.924517,4.23,3.0879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.069
35790,-2.58612,4.74907,2.82813,NA,NA,NA,NA,NA,NA,NA,-83.969,NA,NA,NA
35977,-2.18669,3.80969,2.79856,NA,NA,NA,NA,-37.449,NA,NA,NA,NA,NA,NA
36073,-2.34737,4.41494,3.96283,NA,NA,NA,NA,-31.375,NA,NA,NA,NA,NA,NA
36394,-2.69961,5,2.82872,NA,NA,NA,NA,NA,NA,-53.89,NA,NA,NA,NA
36576,-2.25386,5,2.60935,NA,NA,NA,NA,NA,NA,NA,-61.21,NA,NA,NA
36674,-1.02225,5,3.49313,NA,NA,NA,-29.129,NA,NA,NA,NA,NA,NA,NA
36910,0.0177317,5,3.20913,NA,NA,NA,NA,-124.025,NA,NA,NA,NA,NA,NA
37168,-0.790523,5,3.63317,NA,-72.126,NA,NA,NA,NA,NA,NA,NA,NA,NA
37262,-1.41831,4.33423,3.75111,NA,NA,NA,NA,-18.438,NA,NA,NA,NA,NA,NA
37577,-0.853083,5,4.05541,NA,NA,NA,NA,NA,NA,-67.975,NA,NA,NA,NA
37736,-0.0954397,4.52807,2.8336,NA,NA,NA,NA,NA,NA,NA,-234.036,NA,NA,NA
37928,-1.91538,4.01938,2.16485,NA,NA,-105.524,NA,NA,NA,NA,NA,NA,NA,NA
38172,-2.03515,4.32073,1.80824,NA,NA,NA,NA,NA,NA,NA,-97.374,NA,NA,NA
38223,-1.41508,4.30096,3.87032,NA,NA,NA,NA,NA,NA,-26.687,NA,NA,NA,NA
38431,-0.965768,5,3.56768,NA,NA,NA,NA,NA,NA,-52.885,NA,NA,NA,NA
38730,0.0464646,5,3.75156,NA,NA,NA,NA,NA,NA,-176.879,NA,NA,NA,NA
38961,-1.24749,5,4.28656,NA,NA,NA,NA,-47.373,NA,NA,NA,NA,NA,NA
39053,0.206665,5,4.68263,NA,NA,NA,NA,NA,NA,-204.83,NA,NA,NA,NA
39226,0.237455,4.79515,3.40552,NA,NA,NA,NA,-179.663,NA,NA,NA,NA,NA,NA
39484,-1.0106,5,2.72985,NA,NA,NA,NA,NA,NA,NA,-84.774,NA,NA,NA
39654,-2.05236,4.22604,2.65957,NA,NA,NA,NA,-25.408,NA,NA,NA,NA,NA,NA
39801,-2.49745,4.97838,2.67397,NA,NA,NA,NA,NA,NA,-56.596,NA,NA,NA,NA
40073,-3.02734,5,2.9826,NA,NA,NA,-64.2,NA,NA,NA,NA,NA,NA,NA
40243,-2.11463,5,1.92579,NA,NA,NA,-84.762,NA,NA,NA,NA,NA,NA,NA
40434,-2.42453,5,2.24805,NA,NA,NA,NA,-59.695,NA,NA,NA,NA,NA,NA
40613,-2.60817,5,3.23565,NA,NA,NA,NA,NA,NA,-47.09,NA,NA,NA,NA
40803,-2.04378,5,3.87021,NA,NA,NA,NA,NA,NA,NA,-73.89,NA,NA,NA
41085,-1.0213,5,3.62686,NA,NA,NA,NA,NA,NA,NA,-71.184,NA,NA,NA
41284,-1.90495,5,3.9025,NA,NA,NA,NA,-25.395,NA,NA,NA,NA,NA,NA
41455,-2.38386,4.09603,3.81778,NA,NA,NA,NA,-30.385,NA,NA,NA,NA,NA,NA
41606,-1.31406,3.68166,3.08831,NA,NA,NA,NA,NA,NA,NA,-63.365,NA,NA,NA
41925,-0.845146,4.91609,1.93155,NA,NA,NA,-97.631,NA,NA,NA,NA,NA,NA,NA
42097,-1.44656,4.69048,2.17946,NA,NA,NA,NA,NA,NA,NA,-84.708,NA,NA,NA
42249,-3.16624,4.98213,2.3934,NA,NA,NA,NA,NA,NA,NA,-108.476,NA,NA,NA
42593,-2.48058,5,3.70925,NA,NA,NA,NA,-39.694,NA,NA,NA,NA,NA,NA
42759,-2.92155,5,4.33227,NA,NA,NA,NA,-77.114,NA,NA,NA,NA,NA,NA
42984,-2.79618,4.21973,3.30258,NA,NA,NA,NA,-42.895,NA,NA,NA,NA,NA,NA
43143,-2.11185,3.66349,3.75274,NA,NA,NA,NA,NA,NA,NA,-54.816,NA,NA,NA
43337,-1.54652,4.31823,3.50879,NA,NA,NA,NA,NA,NA,-35.571,NA,NA,NA,NA
43475,-2.60794,5,3.74554,NA,NA,NA,NA,NA,NA,NA,-84.783,NA,NA,NA
43672,-1.74011,4.4623,3.97541,NA,NA,NA,NA,NA,NA,-35.925,NA,NA,NA,NA
43975,-0.781435,5,3.09977,NA,NA,NA,-41.328,NA,NA,NA,NA,NA,NA,NA
44174,-0.288879,5,3.17592,NA,NA,NA,NA,-81.973,NA,NA,NA,NA,NA,NA
44374,-0.816286,5,4.45807,NA,NA,NA,NA,NA,NA,NA,-127.015,NA,NA,NA
44580,-1.22556,5,2.7876,NA,NA,NA,NA,NA,NA,NA,-66.995,NA,NA,NA
44657,-2.73797,5,3.59846,NA,NA,NA,NA,-47.146,NA,NA,NA,NA,NA,NA
44824,-3.55208,5,4.22048,NA,NA,NA,-112.074,NA,NA,NA,NA,NA,NA,NA
45140,-2.84471,4.86634,4.65054,NA,NA,NA,-81.353,NA,NA,NA,NA,NA,NA,NA
45287,-2.21602,3.82934,5,NA,NA,-92.177,NA,NA,NA,NA,NA,NA,NA,NA
45582,-1.83302,5,5,NA,NA,NA,NA,NA,NA,-95.576,NA,NA,NA,NA
45626,-1.12283,4.54568,4.42859,NA,NA,NA,-46.528,NA,NA,NA,NA,NA,NA,NA
45949,-0.558897,5,4.40047,NA,NA,NA,-76.355,NA,NA,NA,NA,NA,NA,NA
46178,-0.477812,5,4.96008,NA,NA,NA,NA,-114.252,NA,NA,NA,NA,NA,NA
46392,-0.528853,4.83252,5,NA,NA,NA,NA,-118.262,NA,NA,NA,NA,NA,NA
46526,-1.60215,5,4.3715,NA,NA,NA,NA,NA,NA,NA,-80.276,NA,NA,NA
46765,-1.34938,4.05999,5,NA,NA,NA,NA,NA,NA,-93.413,NA,NA,NA,NA
46809,-2.08024,3.41751,4.24746,NA,NA,NA,NA,-60.446,NA,NA,NA,NA,NA,NA
47093,-3.20567,2.92156,5,NA,NA,NA,NA,NA,NA,NA,-191.643,NA,NA,NA
47230,-3.61834,4.10013,5,NA,NA,NA,-154.141,NA,NA,NA,NA,NA,NA,NA
47462,-3.08725,4.45393,5,NA,NA,NA,NA,NA,NA,-127.007,NA,NA,NA,NA
47681,-3.28597,4.71862,5,NA,NA,-132.403,NA,NA,NA,NA,NA,NA,NA,NA
47994,-1.66935,3.67219,5,NA,NA,NA,-83.745,NA,NA,NA,NA,NA,NA,NA
48044,-1.28851,4.1652,5,NA,NA,NA,NA,NA,NA,-103.698,NA,NA,NA,NA
48281,-2.02955,3.96529,4.66684,NA,NA,NA,NA,-56.654,NA,NA,NA,NA,NA,NA
48581,-1.93636,4.99414,4.99933,NA,NA,-94.1,NA,NA,NA,NA,NA,NA,NA,NA
48732,-2.5603,4.35252,4.76593,NA,-105.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
48990,-2.5212,5,4.09781,NA,NA,NA,-51.982,NA,NA,NA,NA,NA,NA,NA
49127,-2.27033,4.68954,4.26755,NA,NA,NA,NA,-39.172,NA,NA,NA,NA,NA,NA
49289,-0.510849,5,3.65682,NA,-83.984,NA,NA,NA,NA,NA,NA,NA,NA,NA
49547,0.317393,5,4.16061,NA,-177.594,NA,NA,NA,NA,NA,NA,NA,NA,NA
49628,-0.0935452,4.43268,3.21945,NA,NA,-121.841,NA,NA,NA,NA,NA,NA,NA,NA
49889,-0.017738,4.87046,3.32839,NA,NA,NA,NA,-126.039,NA,NA,NA,NA,NA,NA
50110,-0.729717,5,4.40873,NA,NA,NA,NA,NA,NA,NA,-127.611,NA,NA,NA
50381,-1.10686,4.56227,4.5256,NA,NA,NA,NA,NA,NA,-77.642,NA,NA,NA,NA
50446,-1.01257,5,4.67176,NA,NA,NA,NA,NA,NA,-86.749,NA,NA,NA,NA
50649,-1.50345,5,3.37831,NA,NA,NA,-13.399,NA,NA,NA,NA,NA,NA,NA
50801,-0.294176,5,2.75624,NA,NA,NA,NA,-94.747,NA,NA,NA,NA,NA,NA
51043,-2.06331,5,1.75073,NA,NA,NA,NA,NA,NA,-93.302,NA,NA,NA,NA
51248,-2.41963,5,2.02201,NA,NA,NA,-82.087,NA,NA,NA,NA,NA,NA,NA
51469,-0.710913,4.10884,1.44208,NA,NA,NA,NA,-160.415,NA,NA,NA,NA,NA,NA
51768,-1.82542,4.74674,2.66834,NA,NA,NA,NA,NA,NA,-34.847,NA,NA,NA,NA
51813,-1.17836,3.69358,2.81916,NA,NA,NA,NA,NA,NA,NA,-88.847,NA,NA,NA
52125,-2.42111,4.76759,3.85305,NA,NA,NA,-32.157,NA,NA,NA,NA,NA,NA,NA
52275,-2.72963,5,3.9019,NA,NA,NA,-51.738,NA,NA,NA,NA,NA,NA,NA
52518,-3.09562,5,3.2724,NA,NA,NA,NA,NA,NA,-73.024,NA,NA,NA,NA
52667,-2.50931,3.84499,4.17788,NA,NA,-64.33,NA,NA,NA,NA,NA,NA,NA,NA
