id,x0,x1,x2,fitness-4.5,fitness-4,fitness-3.5,fitness-2.5,fitness-1.5,fitness-2,fitness-3,fitness-0.5,fitness-1,fitness-5,fitness0,fitness0.5
3882,1.32663,1.45821,-3.06215,NA,NA,NA,NA,NA,NA,-59.101,NA,NA,NA,NA,NA
4178,1.27452,1.92617,-3.49306,-94.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4275,1.34029,2.1045,-3.20897,-113.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4519,2.04498,2.25268,-4.87199,NA,-75.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4796,1.74414,2.62105,-4.96376,NA,-65.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4984,1.81156,3.01748,-3.48832,NA,NA,-85.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
5040,1.88882,2.33385,-2.45911,NA,NA,NA,NA,NA,NA,-115.066,NA,NA,NA,NA,NA
5264,1.20556,1.61187,-3.09269,NA,NA,NA,NA,NA,NA,-52.605,NA,NA,NA,NA,NA
5504,0.676031,1.17968,-4.97947,NA,NA,NA,NA,NA,NA,-71.037,NA,NA,NA,NA,NA
5635,2.59034,0.421779,-4.62876,NA,-127.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5899,2.10862,1.46186,-4.99317,NA,NA,NA,-17.988,NA,NA,NA,NA,NA,NA,NA,NA
6083,1.6777,1.16798,-4.19858,NA,NA,NA,NA,-31.685,NA,NA,NA,NA,NA,NA,NA
6251,1.06766,2.26976,-4.54658,NA,NA,NA,NA,NA,-29.294,NA,NA,NA,NA,NA,NA
6432,0.583409,1.65494,-3.544,NA,NA,NA,-63.948,NA,NA,NA,NA,NA,NA,NA,NA
6748,1.50345,3.18379,-3.75573,NA,NA,NA,NA,NA,-65.849,NA,NA,NA,NA,NA,NA
6841,2.43746,2.28256,-2.84187,NA,NA,NA,NA,NA,NA,NA,NA,-118.61,NA,NA,NA
7130,1.81978,2.86979,-2.2382,NA,NA,NA,NA,NA,-163.977,NA,NA,NA,NA,NA,NA
7326,1.83527,2.21874,-2.54896,NA,NA,NA,NA,-116.475,NA,NA,NA,NA,NA,NA,NA
7402,1.87209,1.49524,-2.9309,NA,NA,NA,NA,NA,NA,NA,NA,-100.437,NA,NA,NA
7719,0.699131,3.08371,-2.57374,NA,NA,NA,-155.236,NA,NA,NA,NA,NA,NA,NA,NA
7848,0.700821,2.23,-3.87631,NA,NA,NA,NA,NA,-57.65,NA,NA,NA,NA,NA,NA
8090,1.0333,2.94395,-3.89233,NA,NA,NA,NA,NA,NA,NA,-131.632,NA,NA,NA,NA
8269,0.41307,2.57246,-2.70496,NA,NA,NA,NA,NA,-141.813,NA,NA,NA,NA,NA,NA
8496,1.06113,1.28914,-1.69239,NA,NA,-229.314,NA,NA,NA,NA,NA,NA,NA,NA,NA
8737,2.15256,0.603845,-2.78024,NA,NA,NA,NA,NA,NA,-116.862,NA,NA,NA,NA,NA
8874,1.53349,0.873908,-3.81074,NA,NA,NA,NA,NA,-48.079,NA,NA,NA,NA,NA,NA
9187,1.52831,0.449993,-3.47795,NA,NA,NA,NA,NA,NA,NA,NA,-171.735,NA,NA,NA
9305,0.600148,3.42315,-4.81949,NA,NA,NA,NA,NA,NA,NA,NA,-157.804,NA,NA,NA
9404,0.924478,3.40964,-4.35869,NA,NA,NA,NA,NA,NA,NA,-168.891,NA,NA,NA,NA
9741,0.990065,3.76959,-3.82219,NA,NA,NA,-116.499,NA,NA,NA,NA,NA,NA,NA,NA
9893,2.30929,2.67283,-3.45688,NA,NA,NA,-54.591,NA,NA,NA,NA,NA,NA,NA,NA
10055,1.52213,2.28685,-4.02405,NA,NA,NA,-16.209,NA,NA,NA,NA,NA,NA,NA,NA
10362,1.15014,3.16771,-3.99183,NA,NA,NA,NA,NA,-73.805,NA,NA,NA,NA,NA,NA
10592,1.80702,2.33256,-4.4995,NA,NA,NA,NA,NA,-20.128,NA,NA,NA,NA,NA,NA
10727,-0.354208,4.23492,-3.46948,NA,NA,NA,NA,NA,NA,-262.086,NA,NA,NA,NA,NA
10898,0.346199,4.69493,-4.63445,NA,NA,-257.727,NA,NA,NA,NA,NA,NA,NA,NA,NA
11041,0.696188,4.49542,-3.44576,NA,NA,-238.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
11372,0.679453,2.819,-2.76252,NA,-168.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11412,0.0938327,2.25523,-3.93709,NA,NA,NA,NA,NA,NA,-80.214,NA,NA,NA,NA,NA
11653,1.06591,2.66592,-3.28324,NA,NA,-76.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
11899,0.429254,2.95974,-2.01764,NA,NA,NA,-229.724,NA,NA,NA,NA,NA,NA,NA,NA
12061,1.31682,2.9375,-2.70059,NA,NA,NA,NA,NA,-118.504,NA,NA,NA,NA,NA,NA
12236,1.94487,1.78572,-2.4252,NA,NA,NA,NA,NA,-109.165,NA,NA,NA,NA,NA,NA
12590,2.06204,2.30239,-2.84296,NA,NA,NA,NA,-94.129,NA,NA,NA,NA,NA,NA,NA
12614,1.81284,2.49611,-4.13524,NA,NA,NA,-21.133,NA,NA,NA,NA,NA,NA,NA,NA
12851,1.58865,1.6908,-4.1568,NA,NA,NA,-3.045,NA,NA,NA,NA,NA,NA,NA,NA
13010,2.0334,3.45647,-4.0879,-140.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13364,1.54741,2.92992,-4.65948,-118.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13509,2.3342,3.44074,-4.61586,NA,NA,NA,NA,NA,NA,-80.87,NA,NA,NA,NA,NA
13670,1.65665,3.77331,-4.39868,NA,NA,NA,NA,NA,-102.3,NA,NA,NA,NA,NA,NA
13980,2.53661,2.57985,-4.8655,NA,NA,NA,NA,NA,NA,NA,NA,-75.015,NA,NA,NA
14004,1.6448,0.899978,-4.41052,NA,NA,NA,NA,NA,-40.266,NA,NA,NA,NA,NA,NA
14377,1.86986,1.59475,-4.81133,NA,NA,NA,-8.339,NA,NA,NA,NA,NA,NA,NA,NA
14587,3.03996,0.843018,-4.64694,NA,NA,NA,-64.373,NA,NA,NA,NA,NA,NA,NA,NA
14651,2.17866,0.788967,-4.59739,NA,NA,NA,NA,NA,-45.882,NA,NA,NA,NA,NA,NA
14913,2.03941,1.51473,-4.46515,NA,NA,NA,NA,NA,-7.842,NA,NA,NA,NA,NA,NA
15049,0.115995,1.84199,-3.66019,NA,NA,NA,-84.916,NA,NA,NA,NA,NA,NA,NA,NA
15215,0.806577,1.42984,-4.10839,NA,NA,NA,NA,NA,NA,-46.161,NA,NA,NA,NA,NA
15540,0.967111,1.16978,-4.12646,NA,NA,-64.873,NA,NA,NA,NA,NA,NA,NA,NA,NA
15702,-1.24171,0.0375179,-4.7303,NA,NA,-526.208,NA,NA,NA,NA,NA,NA,NA,NA,NA
15807,0.123615,1.39243,-4.80942,NA,NA,NA,NA,NA,-100.195,NA,NA,NA,NA,NA,NA
16186,-0.0903163,0.742077,-4.64345,NA,NA,NA,NA,NA,-182.536,NA,NA,NA,NA,NA,NA
16322,0.287052,2.06643,-4.78038,NA,NA,-73.434,NA,NA,NA,NA,NA,NA,NA,NA,NA
16464,0.488275,1.88025,-4.27947,NA,NA,-56.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
16619,0.949706,1.48955,-4.55732,NA,NA,NA,NA,NA,NA,-27.769,NA,NA,NA,NA,NA
16953,-0.160892,1.82263,-4.73647,NA,NA,NA,-98.109,NA,NA,NA,NA,NA,NA,NA,NA
17021,0.398355,1.54952,-4.11501,NA,NA,NA,-57.281,NA,NA,NA,NA,NA,NA,NA,NA
17218,0.308262,1.02378,-3.92333,NA,NA,NA,NA,NA,NA,NA,NA,-162.19,NA,NA,NA
17568,1.00428,1.3278,-2.82798,NA,NA,NA,NA,NA,-104.352,NA,NA,NA,NA,NA,NA
17758,0.7615,0.548171,-3.29236,NA,NA,NA,NA,NA,-168.863,NA,NA,NA,NA,NA,NA
17978,-0.450031,2.49277,-4.38493,NA,NA,NA,NA,NA,NA,-125.249,NA,NA,NA,NA,NA
18081,0.895005,1.42656,-4.85217,NA,NA,NA,NA,NA,-46.184,NA,NA,NA,NA,NA,NA
18400,1.11603,0.94885,-4.64824,NA,NA,NA,NA,NA,NA,NA,NA,-119.364,NA,NA,NA
18535,2.17219,1.67022,-3.87551,NA,NA,NA,NA,NA,NA,-19.952,NA,NA,NA,NA,NA
18771,2.22113,0.730209,-4.8228,NA,NA,NA,-48.325,NA,NA,NA,NA,NA,NA,NA,NA
18893,1.91543,-0.918011,-4.84686,NA,NA,NA,NA,NA,-400.937,NA,NA,NA,NA,NA,NA
19093,3.3973,-0.101302,-3.68449,NA,NA,NA,NA,NA,-195.234,NA,NA,NA,NA,NA,NA
19309,3.90949,0.229292,-3.68198,NA,NA,NA,NA,NA,-177.849,NA,NA,NA,NA,NA,NA
19492,2.19222,0.989538,-4.19272,NA,NA,NA,NA,NA,-32.924,NA,NA,NA,NA,NA,NA
19758,0.951805,0.952979,-4.33096,NA,NA,NA,NA,-94.351,NA,NA,NA,NA,NA,NA,NA
19938,3.03302,1.0197,-2.75908,NA,NA,NA,-130.55,NA,NA,NA,NA,NA,NA,NA,NA
20143,1.44578,2.13386,-2.75912,NA,NA,NA,NA,NA,NA,-73.822,NA,NA,NA,NA,NA
20283,1.91977,1.8054,-4.15175,NA,NA,NA,NA,NA,NA,-15.503,NA,NA,NA,NA,NA
20548,2.23168,2.05171,-4.7371,-99.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20670,-0.0108736,2.14087,-3.77098,-146.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20845,0.498052,2.93999,-2.85862,NA,NA,NA,NA,NA,NA,-128.64,NA,NA,NA,NA,NA
21148,0.297669,1.44919,-3.48356,NA,NA,NA,-87.204,NA,NA,NA,NA,NA,NA,NA,NA
21214,1.51476,3.23173,-3.37299,NA,NA,NA,NA,NA,NA,-84.202,NA,NA,NA,NA,NA
21594,2.30389,2.02537,-3.24981,NA,NA,NA,NA,NA,NA,-47.486,NA,NA,NA,NA,NA
21748,1.69827,3.08204,-2.47887,NA,NA,NA,NA,NA,-149.173,NA,NA,NA,NA,NA,NA
21873,3.14447,3.70476,-3.49139,NA,NA,NA,-156.946,NA,NA,NA,NA,NA,NA,NA,NA
22077,2.54563,1.55421,-4.74496,NA,NA,NA,NA,NA,NA,-22.983,NA,NA,NA,NA,NA
22297,1.97413,2.02609,-4.66797,NA,NA,-24.768,NA,NA,NA,NA,NA,NA,NA,NA,NA
22457,1.6931,2.9242,-3.13925,NA,-104.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22621,1.34293,2.21913,-3.79363,NA,NA,NA,-22.863,NA,NA,NA,NA,NA,NA,NA,NA
22878,0.96893,2.93831,-4.33634,NA,NA,NA,-53.051,NA,NA,NA,NA,NA,NA,NA,NA
23004,1.38671,1.50882,-4.65413,NA,NA,NA,NA,-35.766,NA,NA,NA,NA,NA,NA,NA
23262,1.93797,2.31765,-4.61467,NA,NA,NA,-16.108,NA,NA,NA,NA,NA,NA,NA,NA
23492,1.55096,2.68719,-4.9284,NA,NA,NA,NA,NA,NA,-40.563,NA,NA,NA,NA,NA
23772,1.25683,4.07301,-4.76836,NA,NA,NA,NA,NA,-138.086,NA,NA,NA,NA,NA,NA
23871,0.982404,3.86333,-4.02253,NA,NA,NA,NA,NA,-123.485,NA,NA,NA,NA,NA,NA
24118,0.0557652,3.75363,-3.90997,NA,NA,NA,NA,NA,NA,-162.321,NA,NA,NA,NA,NA
24332,0.114487,3.14075,-4.75787,NA,NA,NA,NA,NA,-113.754,NA,NA,NA,NA,NA,NA
24448,-0.0411847,2.62053,-3.95926,NA,NA,NA,NA,-118.087,NA,NA,NA,NA,NA,NA,NA
24701,0.329879,1.39002,-4.23434,NA,NA,NA,-67.412,NA,NA,NA,NA,NA,NA,NA,NA
24861,0.464334,1.02657,-4.27029,NA,NA,NA,-78.432,NA,NA,NA,NA,NA,NA,NA,NA
25032,1.20886,1.03311,-3.01981,NA,NA,NA,-84.533,NA,NA,NA,NA,NA,NA,NA,NA
25215,1.77454,3.08238,-3.82767,NA,NA,NA,NA,NA,NA,-54.924,NA,NA,NA,NA,NA
25568,2.3594,2.29651,-4.52886,NA,NA,-39.733,NA,NA,NA,NA,NA,NA,NA,NA,NA
25639,2.71483,1.60642,-4.48272,NA,NA,NA,NA,NA,-33.347,NA,NA,NA,NA,NA,NA
25993,2.9034,2.02675,-3.80834,NA,NA,NA,-43.87,NA,NA,NA,NA,NA,NA,NA,NA
26054,3.07491,1.55693,-3.00063,NA,NA,NA,NA,NA,NA,NA,NA,-127.104,NA,NA,NA
26328,0.919855,2.30421,-4.09101,NA,NA,NA,NA,-47.876,NA,NA,NA,NA,NA,NA,NA
26489,-0.0688058,1.77713,-3.56381,NA,NA,NA,-105.984,NA,NA,NA,NA,NA,NA,NA,NA
26663,0.292052,2.15781,-2.20673,-261.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26856,1.38417,2.28518,-4.77507,NA,-56.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27130,1.00923,2.72387,-4.49893,NA,-81.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27273,1.05717,2.18347,-4.45092,NA,-72.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27525,0.898893,1.92821,-4.87472,NA,NA,-52.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
27756,0.207929,2.57807,-3.94948,NA,NA,NA,-79.296,NA,NA,NA,NA,NA,NA,NA,NA
27952,1.13191,2.04153,-3.86003,NA,NA,NA,-23.123,NA,NA,NA,NA,NA,NA,NA,NA
28190,1.01899,2.42423,-3.39801,NA,NA,NA,-51.263,NA,NA,NA,NA,NA,NA,NA,NA
28386,2.31156,1.87805,-3.62509,NA,NA,-58.194,NA,NA,NA,NA,NA,NA,NA,NA,NA
28473,2.06177,2.2018,-2.25856,NA,-182.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28714,2.19544,2.27448,-4.29177,NA,-72.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28931,1.86166,2.956,-4.10669,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.16,NA,NA
29040,0.182655,2.78163,-3.64111,-165.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29386,0.654913,2.70148,-3.31947,-161.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29598,1.14637,2.45598,-3.85569,NA,NA,NA,NA,NA,NA,-34.162,NA,NA,NA,NA,NA
29651,1.82318,1.44253,-2.87697,NA,NA,-79.584,NA,NA,NA,NA,NA,NA,NA,NA,NA
29964,1.65449,1.86499,-3.17893,NA,NA,NA,NA,-78.705,NA,NA,NA,NA,NA,NA,NA
30083,0.933226,2.90155,-4.08663,NA,NA,NA,-53.803,NA,NA,NA,NA,NA,NA,NA,NA
30325,1.75046,2.58517,-4.13402,NA,NA,NA,-23.913,NA,NA,NA,NA,NA,NA,NA,NA
30513,2.03256,2.81178,-4.82371,NA,NA,NA,-38.537,NA,NA,NA,NA,NA,NA,NA,NA
30651,2.72133,1.39318,-4.97425,NA,NA,NA,NA,NA,-47.715,NA,NA,NA,NA,NA,NA
30931,3.02669,1.90646,-3.68297,NA,NA,NA,NA,-66.088,NA,NA,NA,NA,NA,NA,NA
31101,3.29454,1.80518,-3.65166,NA,NA,NA,NA,NA,NA,NA,-159.312,NA,NA,NA,NA
31396,2.30483,0.795769,-4.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207.555,NA
31485,2.5075,0.610802,-4.48095,NA,NA,NA,NA,NA,-70.071,NA,NA,NA,NA,NA,NA
31800,1.05365,0.937294,-3.72242,NA,NA,NA,NA,-92.834,NA,NA,NA,NA,NA,NA,NA
31842,1.39272,1.74671,-4.694,NA,NA,NA,NA,NA,NA,-15.572,NA,NA,NA,NA,NA
32114,1.81802,1.6229,-3.44259,NA,NA,NA,-25.421,NA,NA,NA,NA,NA,NA,NA,NA
32250,1.50115,1.21957,-4.33515,NA,NA,NA,NA,NA,-15.415,NA,NA,NA,NA,NA,NA
32401,2.20315,1.27037,-4.60522,NA,NA,NA,-13.453,NA,NA,NA,NA,NA,NA,NA,NA
32736,2.25207,1.48433,-3.99847,NA,NA,NA,NA,-43.259,NA,NA,NA,NA,NA,NA,NA
32847,1.76604,1.75939,-4.12137,NA,NA,NA,NA,NA,-9.789,NA,NA,NA,NA,NA,NA
33001,1.66677,3.20543,-3.8436,NA,NA,NA,NA,NA,NA,-65.046,NA,NA,NA,NA,NA
33384,2.66158,4.41609,-3.54378,NA,NA,-221.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
33494,0.990566,3.46212,-3.3535,NA,NA,NA,NA,NA,NA,-115.682,NA,NA,NA,NA,NA
33639,1.31132,2.80928,-2.60274,NA,NA,-125.439,NA,NA,NA,NA,NA,NA,NA,NA,NA
33883,1.07465,2.7385,-3.48072,NA,NA,NA,NA,NA,NA,-66.588,NA,NA,NA,NA,NA
34063,1.17895,-0.221444,-3.72006,NA,-252.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34244,2.4319,0.391067,-4.00622,NA,NA,-96.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
34547,1.22139,1.14656,-4.82183,NA,NA,-55.964,NA,NA,NA,NA,NA,NA,NA,NA,NA
34622,2.01254,0.671426,-4.08896,NA,-77.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34811,1.17563,0.147228,-4.24642,NA,-178.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35090,1.14544,1.284,-4.28281,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.107,NA,NA
35318,2.42354,1.68111,-3.86931,NA,-63.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35420,1.45734,1.00619,-4.61036,NA,NA,NA,NA,NA,NA,-30.494,NA,NA,NA,NA,NA
35664,1.45849,1.51627,-4.79776,NA,NA,-28.856,NA,NA,NA,NA,NA,NA,NA,NA,NA
35892,2.7943,1.41069,-4.99197,-120.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36171,2.97808,2.72258,-3.66956,NA,-144.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36293,2.81723,3.23146,-4.59683,NA,NA,NA,NA,NA,NA,-85.641,NA,NA,NA,NA,NA
36468,2.38509,1.98199,-4.84914,NA,NA,-39.396,NA,NA,NA,NA,NA,NA,NA,NA,NA
36634,2.66826,2.31037,-4.29329,NA,NA,-59.966,NA,NA,NA,NA,NA,NA,NA,NA,NA
36832,1.70801,2.65684,-3.49649,NA,NA,NA,-43.616,NA,NA,NA,NA,NA,NA,NA,NA
37113,1.45849,2.86051,-3.94959,NA,NA,NA,-40.652,NA,NA,NA,NA,NA,NA,NA,NA
37377,0.0509335,2.13635,-4.82587,NA,NA,NA,NA,NA,-85.407,NA,NA,NA,NA,NA,NA
37429,0.436805,1.63946,-4.81747,NA,NA,NA,NA,-85.711,NA,NA,NA,NA,NA,NA,NA
37690,-0.249807,1.21798,-4.89753,NA,NA,NA,NA,NA,-142.614,NA,NA,NA,NA,NA,NA
37972,0.795619,2.45995,-4.9151,NA,NA,NA,-47.707,NA,NA,NA,NA,NA,NA,NA,NA
38182,1.38223,1.1534,-3.7127,NA,NA,NA,NA,NA,NA,-34.486,NA,NA,NA,NA,NA
38220,3.58228,1.51144,-3.55731,NA,NA,-138.086,NA,NA,NA,NA,NA,NA,NA,NA,NA
38472,2.85036,2.52048,-3.01597,NA,-174.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38621,3.03575,2.14426,-3.78404,NA,NA,-70.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
38875,3.00171,2.39829,-4.90004,NA,NA,NA,-53.617,NA,NA,NA,NA,NA,NA,NA,NA
39120,1.68821,1.78405,-4.52407,NA,NA,NA,NA,NA,NA,-11.617,NA,NA,NA,NA,NA
39378,0.700723,2.77598,-3.98107,NA,NA,NA,NA,NA,NA,-61.894,NA,NA,NA,NA,NA
39576,1.66133,1.61264,-4.8693,NA,NA,NA,NA,NA,-12.176,NA,NA,NA,NA,NA,NA
39711,1.55271,2.3762,-4.77753,NA,NA,NA,NA,NA,NA,NA,NA,-73.05,NA,NA,NA
39928,1.68803,2.42352,-4.88926,NA,NA,NA,NA,NA,-26.926,NA,NA,NA,NA,NA,NA
40009,3.14302,3.07988,-4.12561,NA,NA,NA,NA,NA,NA,NA,NA,-138.623,NA,NA,NA
40288,2.0344,3.012,-4.91131,NA,NA,NA,NA,NA,NA,NA,-117.795,NA,NA,NA,NA
40507,2.46797,3.06584,-4.94317,NA,NA,NA,NA,NA,-69.549,NA,NA,NA,NA,NA,NA
40627,2.33297,3.43249,-4.41933,NA,NA,-104.924,NA,NA,NA,NA,NA,NA,NA,NA,NA
40879,2.3264,2.951,-4.91091,NA,-86.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41105,1.54339,1.79038,-3.89226,NA,NA,NA,-8.873,NA,NA,NA,NA,NA,NA,NA,NA
41368,0.90554,1.90651,-4.4235,NA,NA,-39.121,NA,NA,NA,NA,NA,NA,NA,NA,NA
41522,1.3096,2.57344,-4.22331,NA,NA,NA,NA,NA,-36.351,NA,NA,NA,NA,NA,NA
41770,2.49267,1.26842,-4.4352,NA,NA,NA,NA,NA,-26.478,NA,NA,NA,NA,NA,NA
41865,2.55232,-0.113315,-4.20251,NA,NA,NA,-169.014,NA,NA,NA,NA,NA,NA,NA,NA
42098,2.94975,1.40773,-4.76966,NA,NA,NA,NA,NA,-43.627,NA,NA,NA,NA,NA,NA
42337,2.18606,1.0896,-4.09507,NA,NA,NA,-20.223,NA,NA,NA,NA,NA,NA,NA,NA
42402,2.35465,1.21995,-4.83388,NA,NA,NA,NA,NA,NA,-31.967,NA,NA,NA,NA,NA
42774,2.35785,1.64659,-4.35976,NA,NA,NA,NA,NA,-16.151,NA,NA,NA,NA,NA,NA
42870,2.16313,1.06523,-4.38246,NA,NA,NA,NA,NA,NA,-24.863,NA,NA,NA,NA,NA
43066,2.64478,2.15993,-4.2604,NA,NA,NA,NA,NA,NA,-35.902,NA,NA,NA,NA,NA
43289,1.2461,0.724977,-3.69085,NA,-100.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43556,1.45577,1.37307,-1.93648,NA,NA,-194.502,NA,NA,NA,NA,NA,NA,NA,NA,NA
43667,1.69507,1.07881,-2.12822,NA,NA,NA,-153.451,NA,NA,NA,NA,NA,NA,NA,NA
43941,1.32671,1.85625,-2.93992,NA,NA,NA,NA,NA,-69.348,NA,NA,NA,NA,NA,NA
44052,0.092661,1.57015,-3.98769,NA,NA,NA,NA,NA,NA,NA,NA,-143.377,NA,NA,NA
44259,0.448124,0.648901,-2.97238,NA,NA,NA,NA,NA,NA,NA,NA,-259.445,NA,NA,NA
44499,1.70987,1.29197,-2.08585,NA,NA,NA,NA,NA,NA,NA,NA,-245.045,NA,NA,NA
44627,0.987476,1.53687,-2.82836,NA,NA,NA,NA,-107.45,NA,NA,NA,NA,NA,NA,NA
44833,1.88812,2.19449,-2.54752,NA,NA,NA,NA,NA,NA,-95.552,NA,NA,NA,NA,NA
45116,2.49134,1.41503,-3.43193,NA,NA,NA,NA,NA,-44.103,NA,NA,NA,NA,NA,NA
45256,2.39035,0.466228,-3.86508,NA,NA,NA,NA,NA,NA,NA,NA,-129.965,NA,NA,NA
45566,1.97141,2.08843,-4.43556,NA,NA,NA,NA,NA,NA,NA,NA,-50.673,NA,NA,NA
45636,2.28555,3.06943,-3.39282,NA,NA,NA,NA,NA,-79.488,NA,NA,NA,NA,NA,NA
45993,3.55233,2.98839,-4.28033,NA,NA,NA,NA,NA,-115.662,NA,NA,NA,NA,NA,NA
46015,2.00699,2.63419,-4.82593,NA,NA,NA,NA,NA,-40.497,NA,NA,NA,NA,NA,NA
46315,2.62716,2.30782,-2.39382,NA,NA,-193.629,NA,NA,NA,NA,NA,NA,NA,NA,NA
46445,2.39744,3.28378,-3.20141,NA,NA,NA,NA,NA,NA,-114.699,NA,NA,NA,NA,NA
46739,2.0086,2.47611,-3.84802,NA,NA,NA,-26.5,NA,NA,NA,NA,NA,NA,NA,NA
46838,1.72324,1.65163,-4.73677,NA,NA,NA,NA,NA,NA,-20.395,NA,NA,NA,NA,NA
47073,2.64399,1.98021,-3.58226,NA,NA,NA,NA,NA,NA,-51.299,NA,NA,NA,NA,NA
47207,2.23954,1.24301,-4.94647,NA,NA,NA,NA,NA,NA,-26.853,NA,NA,NA,NA,NA
47448,3.1338,0.0387974,-4.31082,NA,NA,NA,-149.058,NA,NA,NA,NA,NA,NA,NA,NA
47767,1.93038,1.68405,-3.5767,NA,NA,NA,NA,NA,NA,NA,-130.785,NA,NA,NA,NA
47931,1.5137,2.35069,-3.56673,NA,NA,NA,-30.401,NA,NA,NA,NA,NA,NA,NA,NA
48170,1.97098,3.44251,-3.60679,NA,NA,NA,NA,NA,-90.234,NA,NA,NA,NA,NA,NA
48242,2.29768,3.0353,-4.77087,-131.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
