id,x0,x1,x2,fitness-0.5,fitness0,fitness-2,fitness-3.5,fitness-3,fitness-1.5,fitness-2.5,fitness-1,fitness0.5,fitness1,fitness5,fitness4,fitness4.5,fitness3.5,fitness3,fitness2
4383,-0.814918,-0.571616,4.74776,NA,NA,NA,NA,NA,NA,NA,NA,3621.479,NA,NA,NA,NA,NA,NA,NA
4548,-1.61528,-0.854755,5,NA,NA,NA,NA,NA,11031.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4634,-1.52213,-0.290712,5,5351.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4911,-1.27753,-0.639944,4.44015,1866.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5064,-1.55032,0.828277,5,2465.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5350,-1.30894,-0.725604,5,NA,NA,NA,NA,NA,17207.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5401,0.6837,-0.540522,5,NA,NA,NA,NA,NA,1360.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5620,0.391157,-0.708383,4.86215,NA,NA,2742.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5894,-0.736381,-0.760979,5,26152.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6029,-0.704702,-1.41445,5,NA,NA,NA,NA,NA,20585.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6242,-2.13105,-0.356896,5,NA,NA,NA,NA,NA,2888.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6561,-1.00197,-1.25029,4.70856,NA,NA,NA,NA,NA,NA,NA,2318.67,NA,NA,NA,NA,NA,NA,NA,NA
6646,-1.29472,-0.847817,5,NA,8010.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6913,-0.675407,-0.218268,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2808.76,NA,NA,NA,NA,NA,NA
7045,-1.88867,-0.120673,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4198.724,NA,NA,NA,NA,NA
7354,-0.874354,-1.21274,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.263,NA,NA,NA,NA
7497,-0.769666,-2.56501,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4514.976,NA,NA,NA
7723,-0.238671,-0.855573,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10778.453,NA,NA,NA,NA,NA
7849,-0.6769,-1.22898,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8261.848,NA,NA,NA
8199,-0.0609946,-0.650676,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6550.8,NA,NA,NA,NA,NA
8201,-1.20164,-0.956393,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5153.583,NA,NA,NA,NA,NA
8506,-1.19687,-0.92846,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3759.935,NA,NA,NA
8625,-0.739962,-1.03717,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2812.647,NA,NA,NA
8867,-0.640899,-1.63881,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8744.421,NA,NA,NA,NA,NA
9192,-2.0163,-1.61945,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4828.586,NA,NA,NA
9370,-1.60071,-0.638894,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10180.862,NA,NA,NA,NA,NA
9447,-0.645252,-0.201459,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10288.684,NA,NA,NA,NA,NA
9723,-2.53396,-0.635507,4.97016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3800.762,NA,NA,NA,NA,NA
9814,-1.34125,-1.29674,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3058.188,NA,NA,NA,NA
10113,-0.231688,-1.06028,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,891.777,NA,NA,NA,NA
10392,-0.808148,-1.36895,4.90196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21725.953,NA,NA,NA,NA,NA
10500,-0.870499,-1.4001,4.88025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21548.825,NA,NA,NA,NA,NA
10601,-1.53077,-1.06877,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3850.989,NA,NA,NA,NA,NA
10915,-0.928163,0.0306613,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3680.784,NA,NA,NA,NA,NA
11032,-1.35916,-0.878323,4.96922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17208.237,NA,NA,NA,NA,NA
11277,-0.569849,-0.189258,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5349.823,NA,NA,NA,NA,NA
11493,-2.2095,-1.44244,4.72009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123.206,NA,NA,NA,NA,NA
11728,-1.74451,-0.691857,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1559.604,NA,NA,NA,NA,NA
11900,-0.947782,-0.104922,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9424.895,NA,NA,NA,NA,NA
12151,-1.44739,-0.586957,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9195.863,NA,NA,NA,NA,NA
12232,-2.38067,-0.87573,4.99232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.488,NA,NA,NA
12565,-1.21214,-1.92135,4.91712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3732.978,NA,NA,NA,NA,NA
12644,-1.5611,-0.867,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13001.604,NA,NA,NA,NA,NA
12884,-0.625558,-1.34435,4.93827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15548.191,NA,NA,NA,NA,NA
13176,-0.925921,-0.54145,4.29724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3551.389,NA,NA,NA,NA,NA
13219,-0.0986174,-0.807616,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9979.574,NA,NA,NA,NA,NA
13401,-0.0654774,-2.0663,4.78271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5614.662,NA,NA,NA,NA,NA
13643,-0.580462,-1.50677,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111.359,NA,NA,NA,NA,NA
13822,-0.92287,-1.55464,4.92749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14515.819,NA,NA,NA,NA,NA
14005,-0.897106,-1.57381,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11622.428,NA,NA,NA,NA,NA
14201,-2.37965,-0.750153,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2879.59,NA,NA,NA,NA,NA
14540,-2.1024,-1.58696,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4694.147,NA,NA,NA,NA,NA
14748,-0.691977,-1.25941,4.87712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13279.898,NA,NA,NA,NA,NA
14945,-0.24188,-0.572966,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4015.483,NA,NA,NA
15038,-0.727344,-0.220417,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11462.359,NA,NA,NA,NA,NA
15268,-1.83137,-0.235047,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089.877,NA,NA,NA
15469,-2.58888,-0.985201,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3062.761,NA,NA,NA,NA,NA
15769,-1.57745,-0.0822317,4.78013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4390.193,NA,NA,NA
15883,-1.98236,-0.680712,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2908.455,NA,NA,NA,NA
16185,-1.79758,-1.47271,4.83121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280.59,NA,NA,NA
16208,-1.35863,-0.810654,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16416.698,NA,NA,NA,NA,NA
16401,-0.785086,-0.273075,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3629.83,NA,NA
16720,-0.714689,-0.255297,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3609.58,NA,NA
16994,-1.03057,-0.657842,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146.319,NA,NA,NA
17090,-1.88576,-0.306123,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2848.835,NA,NA,NA,NA,NA
17324,-0.339323,-0.855103,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7503.675,NA,NA,NA,NA,NA
17442,-0.781067,-0.364625,4.68964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5819.75,NA,NA,NA,NA,NA
17610,-2.19472,-2.19352,4.35153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.538,NA,NA,NA,NA,NA
17884,-0.242828,-2.16517,4.72255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3037.933,NA,NA,NA,NA,NA
18121,-1.50033,-0.538838,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7195.278,NA,NA,NA,NA,NA
18343,-0.898532,-0.263078,3.89509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2520.521,NA,NA,NA,NA,NA
18480,0.761836,-0.780424,4.87661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6242.312,NA,NA,NA,NA,NA
18729,4.49282,-1.28802,4.82667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214.326,NA,NA,NA,NA,NA
18855,5,-2.01728,4.78501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6913.883,NA,NA,NA,NA,NA
19158,5,-0.605621,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7855.887,NA,NA,NA,NA,NA
19223,4.2989,-0.359264,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2821.69,NA,NA,NA,NA,NA
19427,3.72524,-0.84758,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5986.855,NA,NA,NA,NA,NA
19707,4.74659,-1.28091,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5067.637,NA,NA,NA
19935,5,-1.64234,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2207.453,NA,NA
20068,5,-1.03298,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5462.027,NA,NA,NA,NA,NA
20244,4.99684,-0.944308,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10087.231,NA,NA,NA,NA,NA
20413,5,-0.522001,4.83054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4641.739,NA,NA,NA,NA,NA
20760,5,0.42352,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856.004,NA,NA,NA,NA,NA
20939,5,-0.525842,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3723.172,NA,NA,NA,NA,NA
21183,5,-1.42695,4.89312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662.246,NA,NA,NA
21290,5,-0.311343,4.23371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3738.926,NA,NA,NA,NA,NA
21458,5,-0.875684,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12182.717,NA,NA,NA,NA,NA
21637,5,-2.06307,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5247.407,NA,NA,NA,NA,NA
21858,5,-0.986083,4.91976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10172.365,NA,NA,NA,NA,NA
22043,5,0.341221,4.78676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4944.028,NA,NA,NA,NA,NA
22400,5,-0.875374,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12189.846,NA,NA,NA,NA,NA
22557,5,-0.557612,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844.979,NA,NA,NA,NA,NA
22718,5,-0.62638,4.64868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6334.622,NA,NA,NA,NA,NA
22892,4.39732,-1.44567,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5310.635,NA,NA,NA,NA,NA
23021,4.99935,-0.812848,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13072.291,NA,NA,NA,NA,NA
23317,5,-0.913837,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11095.281,NA,NA,NA,NA,NA
23563,5,-1.04804,4.81024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6810.222,NA,NA,NA
23623,5,-2.05247,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5350.561,NA,NA,NA,NA,NA
23982,4.96376,-1.0402,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5778.865,NA,NA,NA,NA,NA
24082,3.88593,-0.907448,4.68711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074.035,NA,NA,NA
24352,5,-0.704898,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11699.848,NA,NA,NA,NA,NA
24574,5,-0.748568,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12649.785,NA,NA,NA,NA,NA
24605,5,-0.611346,4.67976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7067.218,NA,NA,NA,NA,NA
24858,4.83541,-1.29712,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7789.977,NA,NA,NA
25069,5,-0.499399,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2288.038,NA,NA,NA,NA,NA
25210,4.25836,-0.204327,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4865.398,NA,NA,NA,NA,NA
25481,4.17413,-1.26147,4.73422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4496.047,NA,NA,NA,NA,NA
25642,4.30833,-1.37498,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7369.998,NA,NA,NA,NA,NA
25994,5,-1.87983,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3848.06,NA,NA,NA,NA,NA
26085,5,-2.06561,4.77308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6357.719,NA,NA,NA,NA,NA
26209,4.4413,-1.23288,4.97499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1804.361,NA,NA,NA
26523,5,-0.880931,3.8231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4214.744,NA,NA,NA,NA,NA
26688,5,-0.632612,4.61153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4776.727,NA,NA,NA,NA,NA
26905,4.83756,-0.626593,4.89889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15274.928,NA,NA,NA,NA,NA
27096,4.41593,-1.47345,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4531.471,NA,NA,NA,NA,NA
27202,4.70729,-1.06496,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2538.282,NA,NA,NA
27499,5,-0.619701,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8514.582,NA,NA,NA,NA,NA
27750,5,-0.92497,4.55577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2434.341,NA,NA,NA,NA,NA
27970,5,-0.622152,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10416.305,NA,NA,NA,NA,NA
28014,5,-0.825291,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12961.455,NA,NA,NA,NA,NA
28320,5,-0.59237,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7210.69,NA,NA,NA,NA,NA
28474,5,-0.790266,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13042.41,NA,NA,NA,NA,NA
28719,5,-0.593447,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6640.114,NA,NA,NA
28989,5,0.19416,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2468.537,NA,NA,NA,NA,NA
29138,5,-0.69197,4.96893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12768.351,NA,NA,NA,NA,NA
29277,5,-0.540703,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5562.091,NA,NA,NA,NA,NA
29403,4.8295,-0.837393,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20430.023,NA,NA,NA,NA,NA
29732,5,-1.00838,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844.416,NA,NA,NA,NA,NA
29924,4.66444,-0.913854,4.94668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10618.619,NA,NA,NA,NA,NA
30130,4.74407,-0.884183,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13542.159,NA,NA,NA,NA,NA
30354,4.58177,-0.771255,4.81541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7383.066,NA,NA,NA,NA,NA
30405,5,-0.825683,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16649.672,NA,NA,NA,NA,NA
30793,5,-0.362802,4.39944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965.44,NA,NA,NA,NA,NA
30889,5,-0.743171,4.67151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10434.729,NA,NA,NA,NA,NA
31123,5,-0.162356,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3239.16,NA,NA,NA,NA
31296,5,-0.0757136,4.21736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3688.935,NA,NA,NA,NA,NA
31441,5,-0.847572,3.85704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3946.161,NA,NA,NA,NA,NA
31647,5,-0.0963367,4.14985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3122.142,NA,NA,NA,NA,NA
31892,5,-1.9888,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5518.243,NA,NA,NA,NA,NA
32038,4.86529,-1.53217,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7527.485,NA,NA,NA,NA
32252,5,-1.01012,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6749.534,NA,NA,NA,NA,NA
32487,5,-1.35932,4.81392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8884.228,NA,NA,NA
32681,5,-0.874737,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12204.404,NA,NA,NA,NA,NA
32898,4.84013,-0.80631,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17330.444,NA,NA,NA,NA,NA
33147,5,-0.538152,4.9295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5473.895,NA,NA,NA,NA,NA
33303,4.81096,-0.717782,4.75247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10855.572,NA,NA,NA
33442,5,-0.266418,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4502.188,NA,NA,NA
33762,4.67207,-1.00917,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5668.109,NA,NA,NA,NA,NA
33826,5,0.372701,4.95175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3967.257,NA,NA,NA,NA,NA
34064,4.88013,-0.886306,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15795,NA,NA,NA,NA,NA
34287,5,-0.826558,4.64414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9007.832,NA,NA,NA,NA,NA
34439,4.91892,-0.748791,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21041.274,NA,NA,NA,NA,NA
34708,5,-0.598201,4.97865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8178.9,NA,NA,NA,NA,NA
34882,5,-0.610629,4.81519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10546.053,NA,NA,NA,NA,NA
35075,4.72377,-0.731487,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13049.755,NA,NA,NA,NA,NA
35239,5,-0.685859,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11127.668,NA,NA,NA,NA,NA
35432,4.74949,-0.930683,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12048.038,NA,NA,NA,NA,NA
35756,4.09571,-1.38291,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3810.585,NA,NA,NA
35845,5,-1.56192,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5506.585,NA,NA,NA
36163,4.61357,-2.12337,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2313.613,NA,NA,NA,NA,NA
36369,5,-1.90868,4.63468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2931.655,NA,NA,NA,NA,NA
36552,4.78226,-1.31339,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7656.942,NA,NA,NA
36693,5,-2.17646,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.891,NA,NA,NA,NA,NA
36920,4.9575,-1.41601,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5726.425,NA,NA,NA
37098,5,-0.624815,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8746.226,NA,NA,NA,NA,NA
37254,5,-0.898678,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11576.372,NA,NA,NA,NA,NA
37586,5,-1.04788,4.95071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5455.486,NA,NA,NA,NA,NA
37786,5,-0.870594,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12296.169,NA,NA,NA,NA,NA
37914,5,-0.839197,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12823.996,NA,NA,NA,NA,NA
38185,5,-1.29415,4.12542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3739.194,NA,NA,NA,NA,NA
38370,4.76549,-0.887639,4.87601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18895.098,NA,NA,NA,NA,NA
38497,4.78818,-0.618308,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10601.177,NA,NA,NA,NA,NA
38722,4.25439,-1.49921,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6855.038,NA,NA,NA,NA,NA
38884,5,-0.821032,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12991.593,NA,NA,NA,NA,NA
39179,5,-0.935199,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13259.055,NA,NA,NA,NA,NA
39226,4.29159,-1.34267,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6738.705,NA,NA,NA,NA,NA
39410,5,-1.51507,4.07582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2784.438,NA,NA,NA,NA,NA
39759,4.92161,-0.748795,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16009.426,NA,NA,NA,NA,NA
39864,4.68112,-2.13942,4.76653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4185.573,NA,NA,NA,NA,NA
40190,5,-0.651458,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9878.796,NA,NA,NA,NA,NA
40381,5,-1.0631,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3671.369,NA,NA,NA,NA,NA
40534,5,-1.31777,4.18916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5516.56,NA,NA,NA,NA,NA
40770,5,-0.735391,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16481.565,NA,NA,NA,NA,NA
40882,4.88845,-0.616119,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11001.677,NA,NA,NA,NA,NA
41144,5,-0.855321,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16214.735,NA,NA,NA,NA,NA
41352,5,-0.876702,4.88205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16091.766,NA,NA,NA,NA,NA
