id,x0,x1,x2,fitness5,fitness4.5,fitness3.5,fitness4,fitness3
29283,-1.47691,4.86064,5,NA,NA,NA,8445.272,NA
29576,-1.91488,4.76937,4.837,7457.48,NA,NA,NA,NA
29642,-0.605899,5,5,10167.178,NA,NA,NA,NA
29980,-0.673208,5,5,14260.033,NA,NA,NA,NA
30085,-0.572804,5,4.78836,7805.795,NA,NA,NA,NA
30326,-1.52379,5,5,NA,1877.264,NA,NA,NA
30597,-1.08106,5,5,3169.786,NA,NA,NA,NA
30766,-0.942008,5,4.93348,16181.244,NA,NA,NA,NA
30827,-0.996955,5,5,9863.257,NA,NA,NA,NA
31069,-0.710256,4.8333,5,15669.512,NA,NA,NA,NA
31259,-1.28507,4.3624,5,4808.429,NA,NA,NA,NA
31513,-1.37641,4.18002,5,6061.519,NA,NA,NA,NA
31647,-2.17766,5,5,3082.875,NA,NA,NA,NA
31944,-1.00935,5,5,6791.58,NA,NA,NA,NA
32015,-1.98593,5,5,7272.372,NA,NA,NA,NA
32341,-0.82905,4.6785,5,11167.773,NA,NA,NA,NA
32587,-0.13085,4.85609,5,NA,NA,NA,5659.248,NA
32741,-1.37072,5,4.29202,7092.699,NA,NA,NA,NA
32951,-2.07037,5,4.9921,5346.511,NA,NA,NA,NA
33030,-2.51079,5,5,NA,NA,NA,1937.283,NA
33231,-1.89451,5,5,4216.606,NA,NA,NA,NA
33487,-1.09285,5,4.70075,1769.235,NA,NA,NA,NA
33751,-1.07383,5,5,3903.605,NA,NA,NA,NA
33908,-1.89736,4.94726,5,5138.453,NA,NA,NA,NA
34197,-1.51263,5,4.26288,6705.481,NA,NA,NA,NA
34347,-1.30653,4.21707,4.83204,7572.955,NA,NA,NA,NA
34561,0.167381,5,5,1569.715,NA,NA,NA,NA
34601,-0.537517,5,5,4354.167,NA,NA,NA,NA
34953,-0.674467,5,5,10743.329,NA,NA,NA,NA
35080,-0.638902,5,5,9361.321,NA,NA,NA,NA
35221,-0.867646,5,5,12358.367,NA,NA,NA,NA
35547,-0.967603,5,5,9189.39,NA,NA,NA,NA
35693,-0.261661,4.452,5,NA,1893.523,NA,NA,NA
35957,-1.08659,4.79294,5,2814.543,NA,NA,NA,NA
36002,-0.63772,4.68259,4.72218,8640.066,NA,NA,NA,NA
36367,-1.87381,5,5,3684.796,NA,NA,NA,NA
36527,-1.29651,4.2236,5,5591.422,NA,NA,NA,NA
36690,-0.947132,4.73382,5,10759.569,NA,NA,NA,NA
36975,-0.914235,4.95542,4.60779,6579.1,NA,NA,NA,NA
37158,-1.08897,4.84167,5,NA,2628.824,NA,NA,NA
37314,-0.628512,5,5,8910.993,NA,NA,NA,NA
37574,-0.894953,4.64575,5,8222.534,NA,NA,NA,NA
37794,-0.706815,5,5,11752.381,NA,NA,NA,NA
37957,-0.792181,5,5,13047.782,NA,NA,NA,NA
38055,-0.788702,4.8869,5,NA,9161.417,NA,NA,NA
38338,-0.803631,3.81199,5,6097.522,NA,NA,NA,NA
38457,-0.940233,4.95504,5,11888.126,NA,NA,NA,NA
38713,-0.776521,5,4.74614,14756.698,NA,NA,NA,NA
38846,-0.572062,4.86321,5,8238.473,NA,NA,NA,NA
39010,-0.590474,5,5,7116.569,NA,NA,NA,NA
39363,-0.80153,5,5,15280.763,NA,NA,NA,NA
39426,-1.49723,4.67054,5,NA,5127.997,NA,NA,NA
39608,-1.29629,5,5,NA,5473.549,NA,NA,NA
39875,-0.573577,5,4.7004,7904.936,NA,NA,NA,NA
40161,-1.29869,5,4.65541,NA,NA,NA,4094.365,NA
40346,-1.27647,4.44465,5,NA,1675.317,NA,NA,NA
40587,-0.164564,5,4.6233,NA,2252.161,NA,NA,NA
40637,-0.880516,4.97975,5,13112.314,NA,NA,NA,NA
40860,-0.986138,4.62469,5,4766.802,NA,NA,NA,NA
41177,-0.92487,4.1019,4.29794,NA,2515.398,NA,NA,NA
41383,-2.03155,4.86343,5,7320.68,NA,NA,NA,NA
41514,-0.718069,4.91981,4.83332,20216.026,NA,NA,NA,NA
41694,-0.670321,5,4.24051,NA,NA,NA,4075.021,NA
41833,-1.56762,5,4.31682,5515.132,NA,NA,NA,NA
42185,-1.97324,4.75402,4.71508,6466.601,NA,NA,NA,NA
42218,-0.7826,5,4.73367,NA,9830.284,NA,NA,NA
42424,-0.611812,5,5,8149.151,NA,NA,NA,NA
42666,0.338487,4.8158,5,4513.116,NA,NA,NA,NA
42999,-1.53823,5,4.41428,4020.958,NA,NA,NA,NA
43027,-1.52698,4.54836,5,NA,NA,NA,1115.141,NA
43204,-0.204582,5,4.72737,NA,NA,NA,3239.441,NA
43515,-0.735439,5,4.62729,7557.946,NA,NA,NA,NA
43726,0.35888,5,5,3414.029,NA,NA,NA,NA
43887,-0.841677,5,5,12793.218,NA,NA,NA,NA
44192,-0.586054,5,5,6895.53,NA,NA,NA,NA
44359,-1.28044,5,5,NA,4660.841,NA,NA,NA
44458,-2.40515,5,4.89706,NA,NA,NA,1213.603,NA
44783,-4.10831,4.55461,5,462.003,NA,NA,NA,NA
44873,-1.54748,4.6749,4.91219,NA,6611.505,NA,NA,NA
45081,-1.29413,5,5,NA,3128.978,NA,NA,NA
45356,-0.927906,5,4.88702,13973.21,NA,NA,NA,NA
45431,-1.2238,4.8926,4.35885,4340.756,NA,NA,NA,NA
45796,-0.699123,4.86887,4.79425,25673.981,NA,NA,NA,NA
45887,0.530982,4.88541,4.99028,1496.974,NA,NA,NA,NA
46139,-0.657512,4.71566,5,11954.855,NA,NA,NA,NA
46219,-0.849251,5,4.78874,15931.652,NA,NA,NA,NA
46411,-0.680333,4.61923,5,7592.9,NA,NA,NA,NA
46722,-0.688935,4.99919,5,12441.847,NA,NA,NA,NA
46883,-0.8673,5,5,12365.498,NA,NA,NA,NA
47181,-0.534524,5,5,4192.792,NA,NA,NA,NA
47377,-0.386991,5,4.22621,2036.477,NA,NA,NA,NA
47426,-0.16315,5,4.11155,2807.362,NA,NA,NA,NA
47663,-1.4889,4.23993,5,6873.692,NA,NA,NA,NA
47852,-0.87847,5,5,12117.389,NA,NA,NA,NA
48136,-0.774062,5,5,12952.026,NA,NA,NA,NA
48227,-0.903992,4.87786,5,15141.982,NA,NA,NA,NA
48599,-1.02464,4.75277,5,6885.632,NA,NA,NA,NA
48785,-0.875903,5,4.76487,14558.945,NA,NA,NA,NA
48940,-0.396068,4.99162,4.40983,1286.707,NA,NA,NA,NA
49060,-1.52067,5,4.32828,6261.703,NA,NA,NA,NA
49271,-2.8992,5,4.75913,3074.898,NA,NA,NA,NA
49454,-1.44762,4.34372,5,6718.847,NA,NA,NA,NA
49796,-1.98204,5,5,5487.666,NA,NA,NA,NA
49810,-1.40794,4.93461,4.2769,NA,6628.208,NA,NA,NA
50112,-0.644596,5,4.61701,5322.868,NA,NA,NA,NA
50308,-1.02277,4.91572,5,7722.138,NA,NA,NA,NA
50520,-0.807699,5,5,13049.588,NA,NA,NA,NA
50600,-0.811964,5,5,NA,NA,4496.945,NA,NA
50951,-2.05906,5,5,5288.781,NA,NA,NA,NA
51089,-1.92613,5,4.96027,5631.992,NA,NA,NA,NA
51371,-2.0786,5,5,5061.087,NA,NA,NA,NA
51546,-0.524237,5,5,3636.165,NA,NA,NA,NA
51727,-0.855705,5,5,NA,9841.677,NA,NA,NA
51904,-1.9045,4.99658,5,4511.393,NA,NA,NA,NA
52067,-1.5616,5,4.32183,5595.222,NA,NA,NA,NA
52235,-0.697066,5,5,11475.432,NA,NA,NA,NA
52422,-0.872625,5,5,12251.818,NA,NA,NA,NA
52615,-0.930751,5,4.80385,17453.604,NA,NA,NA,NA
52951,-0.587262,4.80523,5,8957.305,NA,NA,NA,NA
53090,-1.27622,5,4.31732,5200.88,NA,NA,NA,NA
53214,-0.827796,5,3.88448,3432.086,NA,NA,NA,NA
53504,-1.36834,5,4.37131,5878.813,NA,NA,NA,NA
53683,-0.697108,5,5,11476.677,NA,NA,NA,NA
53915,-0.838713,4.65131,4.732,10216.933,NA,NA,NA,NA
54036,-0.505496,5,5,2618.666,NA,NA,NA,NA
54332,-0.731906,5,4.67871,10678.517,NA,NA,NA,NA
54459,-0.953277,5,5,9563.229,NA,NA,NA,NA
54759,-0.628288,5,5,8901.076,NA,NA,NA,NA
54994,-0.779863,5,5,12993.585,NA,NA,NA,NA
55000,-1.19233,5,5,NA,NA,NA,2259.492,NA
55238,-0.507945,5,5,2751.61,NA,NA,NA,NA
55469,-0.685544,5,5,11117.452,NA,NA,NA,NA
55799,-0.9932,5,5,7651.029,NA,NA,NA,NA
55839,-2.12259,5,4.82581,7591.422,NA,NA,NA,NA
56059,-1.42742,4.25379,5,7336.176,NA,NA,NA,NA
56354,-0.936368,4.80513,4.86689,17605.206,NA,NA,NA,NA
56577,-0.693597,5,4.71549,11654.225,NA,NA,NA,NA
56608,-0.770268,5,5,12919.335,NA,NA,NA,NA
56939,-1.62168,5,4.25458,4308.258,NA,NA,NA,NA
57001,-1.49279,4.85946,5,NA,8639.07,NA,NA,NA
57208,-1.61764,4.37332,4.90604,4729.673,NA,NA,NA,NA
57574,-0.92654,5,5,14169.151,NA,NA,NA,NA
57679,-0.619013,5,4.69218,7856.233,NA,NA,NA,NA
57952,-0.764197,5,5,12858.016,NA,NA,NA,NA
58134,-0.529023,3.78204,5,1444.368,NA,NA,NA,NA
58382,-0.534813,4.91264,5,5399.519,NA,NA,NA,NA
58477,-0.585129,5,5,6848.994,NA,NA,NA,NA
58777,0.213398,5,4.77508,2760.486,NA,NA,NA,NA
58932,1.23257,5,4.66855,1806.551,NA,NA,NA,NA
59076,-0.589631,5,5,7074.584,NA,NA,NA,NA
59269,-0.935265,5,5,10310.988,NA,NA,NA,NA
59453,-0.497234,5,5,2170.803,NA,NA,NA,NA
59666,-0.954113,5,5,9526.668,NA,NA,NA,NA
59989,-1.27889,5,5,NA,3539.499,NA,NA,NA
60126,-0.862477,5,5,12461.167,NA,NA,NA,NA
60209,-0.665172,5,5,12429.767,NA,NA,NA,NA
60504,-1.40091,5,3.45425,2608.125,NA,NA,NA,NA
60791,-0.574836,4.64587,5,4454.774,NA,NA,NA,NA
60977,-0.753482,4.66605,4.74684,11668.081,NA,NA,NA,NA
61062,-1.01441,5,5,6513.599,NA,NA,NA,NA
61326,-0.711028,4.7557,5,13861.656,NA,NA,NA,NA
61589,-0.765997,5,5,12877.348,NA,NA,NA,NA
61786,-0.528269,5,5,3854.641,NA,NA,NA,NA
61931,-0.889533,5,5,15776.902,NA,NA,NA,NA
62169,-0.542237,5,5,6136.44,NA,NA,NA,NA
62234,-1.00994,5,5,8966.637,NA,NA,NA,NA
62535,-0.931856,5,4.94993,12444.901,NA,NA,NA,NA
62748,-0.784098,5,5,13017.457,NA,NA,NA,NA
62998,-0.735204,5,5,NA,NA,NA,3886.134,NA
63186,-0.870407,5,5,12300.191,NA,NA,NA,NA
63358,0.355167,5,5,3427.544,NA,NA,NA,NA
63429,-0.863576,5,4.62183,7213.963,NA,NA,NA,NA
63607,-0.841388,4.85361,4.74596,NA,NA,NA,5664.953,NA
63835,-0.759676,5,5,12805.198,NA,NA,NA,NA
64074,-0.958252,4.96218,5,10761.529,NA,NA,NA,NA
64226,-1.40008,4.26688,5,7333.296,NA,NA,NA,NA
64402,-0.931546,5,5,NA,10697.824,NA,NA,NA
64605,-0.306313,4.10736,5,2225.391,NA,NA,NA,NA
64853,-0.750562,4.38499,5,NA,2149.718,NA,NA,NA
65018,-2.02436,5,5,7226.121,NA,NA,NA,NA
65394,-0.7084,5,5,11795.096,NA,NA,NA,NA
65421,-1.88979,5,5,4819.287,NA,NA,NA,NA
65765,-0.637913,5,4.6262,6860.937,NA,NA,NA,NA
65951,-0.766958,4.97544,5,14219.961,NA,NA,NA,NA
66108,-0.719193,5,5,12068.33,NA,NA,NA,NA
66265,-1.00459,5,5,7049.415,NA,NA,NA,NA
66456,-2.19341,4.82518,5,4584.358,NA,NA,NA,NA
66703,-1.0535,4.95034,5,6634.302,NA,NA,NA,NA
66960,-0.787201,5,5,15462.314,NA,NA,NA,NA
67080,-0.799186,5,5,13057.809,NA,NA,NA,NA
67226,-1.45117,5,4.30846,7195.987,NA,NA,NA,NA
67476,-0.987682,4.8873,5,NA,5212.068,NA,NA,NA
67658,-1.02409,5,5,5971.289,NA,NA,NA,NA
67961,-0.84169,4.8729,5,17006.916,NA,NA,NA,NA
68045,-0.831536,4.2892,4.19717,4690.537,NA,NA,NA,NA
68217,-0.968982,5,5,8850.385,NA,NA,NA,NA
68565,-0.640328,5,5,9421.604,NA,NA,NA,NA
68718,-1.01146,4.84263,5,8873.447,NA,NA,NA,NA
68831,-2.04511,4.93538,5,8248.815,NA,NA,NA,NA
69118,-0.846618,5,4.63329,NA,8612.431,NA,NA,NA
69366,-0.687851,4.67807,4.86955,NA,5715.504,NA,NA,NA
69423,-0.866715,5,5,12377.473,NA,NA,NA,NA
69641,-2.04305,4.71454,5,5539.481,NA,NA,NA,NA
69883,-0.849116,5,4.8648,21553.662,NA,NA,NA,NA
70098,-1.00974,5,5,6982.714,NA,NA,NA,NA
70271,-0.809276,5,5,13045.602,NA,NA,NA,NA
70472,-1.03513,5,5,5337.376,NA,NA,NA,NA
70778,-0.231808,5,5,NA,3576.848,NA,NA,NA
70995,-0.702845,5,5,11642.535,NA,NA,NA,NA
71070,-0.621558,5,4.83907,11412.055,NA,NA,NA,NA
71396,-0.65715,4.83209,5,13355.855,NA,NA,NA,NA
71476,-0.678369,4.87479,5,14450.708,NA,NA,NA,NA
71739,-1.84296,5,5,2743.191,NA,NA,NA,NA
71904,-2.1164,5,4.9863,4715.323,NA,NA,NA,NA
72045,-0.848397,4.75626,5,14860.132,NA,NA,NA,NA
72369,-1.38684,4.38734,4.97032,7244.427,NA,NA,NA,NA
72589,0.297493,5,4.90765,NA,4717.522,NA,NA,NA
72710,-0.797075,5,4.7887,16393.649,NA,NA,NA,NA
72885,-1.05895,5,4.97868,4279.234,NA,NA,NA,NA
73131,-0.83587,5,4.87329,17096.467,NA,NA,NA,NA
73198,-1.00103,4.79608,4.81378,11971.212,NA,NA,NA,NA
73407,-1.04575,5,5,4713.902,NA,NA,NA,NA
73765,-0.908599,5,5,11268.62,NA,NA,NA,NA
73907,-0.671144,5,5,10625.586,NA,NA,NA,NA
74100,-1.38391,5,4.85853,NA,NA,NA,8225.831,NA
74358,-0.768047,5,4.69653,12192.644,NA,NA,NA,NA
74537,-0.802972,5,4.96497,14911.762,NA,NA,NA,NA
74761,-0.893699,5,5,11720.491,NA,NA,NA,NA
74914,-0.848591,5,5,12697.455,NA,NA,NA,NA
75090,-0.616056,4.66819,5,6801.035,NA,NA,NA,NA
75390,-0.541847,5,5,4587.028,NA,NA,NA,NA
75416,-0.55336,5,5,5201.841,NA,NA,NA,NA
75782,-0.607841,5,5,NA,3721.929,NA,NA,NA
75876,-0.835247,5,5,12869.11,NA,NA,NA,NA
76134,-0.59519,5,5,7349.879,NA,NA,NA,NA
76226,-0.841814,5,5,NA,13411.24,NA,NA,NA
76462,-1.4346,4.42007,5,4497.906,NA,NA,NA,NA
76688,-1.01869,5,5,6275.468,NA,NA,NA,NA
76918,-0.919764,4.62152,5,6297.529,NA,NA,NA,NA
77006,-2.17121,5,5,3243.207,NA,NA,NA,NA
77379,-0.804494,5,5,13055.315,NA,NA,NA,NA
77397,-1.09334,5,5,1805.524,NA,NA,NA,NA
77651,-0.52249,5,5,3541.412,NA,NA,NA,NA
77994,-0.899485,4.65243,4.63803,7318.355,NA,NA,NA,NA
78094,-0.598137,5,4.98457,7996.52,NA,NA,NA,NA
78386,0.470179,5,5,2838.915,NA,NA,NA,NA
78551,0.23827,5,5,2698.517,NA,NA,NA,NA
78769,-0.859251,4.7817,5,15521.498,NA,NA,NA,NA
78933,-0.610704,5,4.87711,10744.796,NA,NA,NA,NA
79059,-0.862775,5,4.93019,18935.789,NA,NA,NA,NA
79339,-0.963698,5,5,9096.256,NA,NA,NA,NA
79550,-1.05002,4.7491,5,5117.307,NA,NA,NA,NA
79708,-3.00434,5,4.85396,4334.801,NA,NA,NA,NA
79797,-0.857547,5,5,12551.739,NA,NA,NA,NA
80179,-0.897978,5,5,11597.055,NA,NA,NA,NA
80224,-0.708337,5,5,11793.411,NA,NA,NA,NA
80446,-0.74326,5,4.7465,14307.456,NA,NA,NA,NA
80657,-0.589124,4.60104,5,3309.731,NA,NA,NA,NA
80849,-0.928314,5,5,10578.349,NA,NA,NA,NA
81011,-0.802149,4.66392,5,13724.79,NA,NA,NA,NA
81199,-0.227759,4.91765,5,NA,NA,NA,5838.828,NA
81421,0.71649,3.25267,5,987.194,NA,NA,NA,NA
81739,-0.653262,4.76875,5,12004.316,NA,NA,NA,NA
81950,-0.759773,5,5,12806.395,NA,NA,NA,NA
82172,-0.619052,5,5,NA,6928.956,NA,NA,NA
82245,-0.733078,5,5,12373.393,NA,NA,NA,NA
82406,-0.732425,5,4.8116,16041.661,NA,NA,NA,NA
82713,-0.744321,5,4.75525,14681.119,NA,NA,NA,NA
82856,-0.759519,5,5,12803.254,NA,NA,NA,NA
83107,-0.732719,5,5,12366.179,NA,NA,NA,NA
83220,-0.827564,5,5,12943.072,NA,NA,NA,NA
83484,-0.8412,5,5,12799.285,NA,NA,NA,NA
83616,-1.27463,4.33669,5,6131.65,NA,NA,NA,NA
83805,-0.799469,4.72049,5,13641.699,NA,NA,NA,NA
84026,-0.675624,4.84529,4.92643,17998.378,NA,NA,NA,NA
84206,-0.845811,5,4.92107,NA,12307.671,NA,NA,NA
84565,-0.989335,5,5,NA,8276.55,NA,NA,NA
84714,-1.01194,5,5,6649.784,NA,NA,NA,NA
84825,0.246994,5,5,2830.687,NA,NA,NA,NA
85089,-0.627336,4.95903,5,10298.244,NA,NA,NA,NA
85294,-0.790134,5,5,13041.998,NA,NA,NA,NA
85430,-0.805548,4.94976,5,15562.007,NA,NA,NA,NA
85653,-0.999368,4.75942,5,8644.375,NA,NA,NA,NA
85871,-0.934102,5,5,10356.566,NA,NA,NA,NA
86163,-0.952639,5,4.88938,12627.798,NA,NA,NA,NA
86372,-0.622215,4.89973,5,14649.422,NA,NA,NA,NA
86553,-0.881937,5,5,12032.923,NA,NA,NA,NA
86681,0.29668,5,5,4430.298,NA,NA,NA,NA
86990,-0.768111,5,5,12898.815,NA,NA,NA,NA
87166,-0.851058,5,4.96636,14395.66,NA,NA,NA,NA
87350,-0.842185,5,5,12786.681,NA,NA,NA,NA
