id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-3,fitness-2.5,fitness-2
29179,-2.97721,2.90954,-4.78653,NA,NA,-120.917,NA,NA,NA,NA
29226,-2.33527,3.98223,-4.02514,-77.875,NA,NA,NA,NA,NA,NA
29426,-1.52394,3.78974,-5,NA,NA,NA,NA,-167.517,NA,NA
29610,-1.92084,4.46031,-5,NA,-47,NA,NA,NA,NA,NA
29925,-3.10401,5,-5,NA,NA,NA,-127.067,NA,NA,NA
30035,-2.93685,5,-5,NA,NA,-99.498,NA,NA,NA,NA
30343,-3.55965,4.83778,-5,NA,-125.975,NA,NA,NA,NA,NA
30585,-2.50995,5,-5,NA,NA,-86.271,NA,NA,NA,NA
30676,-2.80096,5,-5,NA,NA,-95.607,NA,NA,NA,NA
30802,-3.1789,5,-5,-120.449,NA,NA,NA,NA,NA,NA
31066,-2.96221,5,-5,-100.83,NA,NA,NA,NA,NA,NA
31266,-2.97187,5,-5,NA,-98.623,NA,NA,NA,NA,NA
31565,-2.41153,4.61727,-5,NA,-58.694,NA,NA,NA,NA,NA
31728,-3.22157,4.42669,-5,NA,NA,-98.856,NA,NA,NA,NA
31858,-3.34941,4.80729,-5,NA,NA,-115.169,NA,NA,NA,NA
32016,-2.39247,4.36117,-5,NA,NA,-55.559,NA,NA,NA,NA
32302,-3.33718,3.52163,-5,-97.344,NA,NA,NA,NA,NA,NA
32582,-3.20521,5,-4.84249,NA,NA,-118.758,NA,NA,NA,NA
32662,-3.4541,4.24327,-5,NA,NA,-106.992,NA,NA,NA,NA
32803,-3.24344,5,-5,NA,NA,-116.954,NA,NA,NA,NA
33007,-1.90892,5,-5,NA,NA,-79.549,NA,NA,NA,NA
33270,-2.36407,4.9176,-4.43968,NA,-79.147,NA,NA,NA,NA,NA
33546,-2.63415,4.69332,-4.96606,NA,-83.357,NA,NA,NA,NA,NA
33684,-1.91649,4.91469,-4.91262,NA,NA,NA,-102.191,NA,NA,NA
33981,-1.62999,4.58177,-4.99115,-50.323,NA,NA,NA,NA,NA,NA
34139,-3.19398,4.80736,-5,-106.754,NA,NA,NA,NA,NA,NA
34359,-2.26041,5,-3.49192,-131.762,NA,NA,NA,NA,NA,NA
34491,-2.45028,4.29207,-3.50449,NA,-105.152,NA,NA,NA,NA,NA
34744,-2.86455,3.17114,-5,NA,NA,-85.204,NA,NA,NA,NA
34823,-2.69882,2.06625,-5,NA,NA,-131.938,NA,NA,NA,NA
35166,-2.81251,1.87851,-4.22473,NA,NA,-183.296,NA,NA,NA,NA
35298,-1.44682,2.58129,-3.78747,NA,-126.352,NA,NA,NA,NA,NA
35569,-2.31641,3.00775,-4.33738,NA,-91.548,NA,NA,NA,NA,NA
35795,-0.52448,2.78897,-4.29908,NA,NA,-173.755,NA,NA,NA,NA
35893,-1.26287,3.37009,-4.13212,NA,NA,NA,-160.884,NA,NA,NA
36075,-0.973609,4.52163,-5,NA,NA,NA,NA,-171.151,NA,NA
36218,-0.992373,5,-4.35199,NA,NA,NA,NA,-166.152,NA,NA
36421,-1.86877,5,-4.26223,NA,NA,NA,-117.647,NA,NA,NA
36657,-2.04382,5,-4.69342,NA,NA,-81.325,NA,NA,NA,NA
36994,-2.94881,3.92324,-4.88159,NA,NA,-85.636,NA,NA,NA,NA
37096,-3.80159,5,-4.38105,NA,NA,NA,-166.84,NA,NA,NA
37290,-3.5182,5,-3.84702,NA,NA,NA,NA,-194.199,NA,NA
37512,-3.29096,4.60043,-5,NA,NA,NA,NA,-156.535,NA,NA
37686,-2.83411,3.45272,-5,NA,NA,NA,NA,NA,-166.077,NA
37874,-2.68373,5,-5,NA,NA,NA,NA,NA,-186.069,NA
38093,-1.6528,3.23082,-5,NA,NA,-51.243,NA,NA,NA,NA
38391,-1.96545,4.44522,-5,NA,NA,-58.964,NA,NA,NA,NA
38547,-2.14878,4.68379,-3.42315,NA,-114.621,NA,NA,NA,NA,NA
38643,-2.48434,5,-4.37966,NA,-86.416,NA,NA,NA,NA,NA
38950,-2.22249,5,-5,NA,NA,-77.06,NA,NA,NA,NA
39107,-1.24872,4.7942,-5,NA,NA,-78.317,NA,NA,NA,NA
39268,-1.89292,4.74685,-3.97997,NA,NA,-85.864,NA,NA,NA,NA
39497,-1.78319,4.88966,-5,NA,NA,-74.745,NA,NA,NA,NA
39612,-0.404518,4.61579,-3.49762,NA,NA,-200.166,NA,NA,NA,NA
39994,-1.56103,5,-3.37641,-161.201,NA,NA,NA,NA,NA,NA
40028,-2.63047,5,-4.02653,NA,-101.067,NA,NA,NA,NA,NA
40261,-2.70173,5,-3.7,-116.243,NA,NA,NA,NA,NA,NA
40485,-2.80015,5,-4.19304,-106.7,NA,NA,NA,NA,NA,NA
40729,-1.62768,4.64705,-4.83175,NA,-45.072,NA,NA,NA,NA,NA
40962,-1.4329,4.6099,-4.63012,NA,NA,NA,-102.74,NA,NA,NA
41162,-1.0939,5,-4.56455,-110.554,NA,NA,NA,NA,NA,NA
41273,-2.20232,5,-4.36309,NA,-79.586,NA,NA,NA,NA,NA
41522,-2.89901,5,-4.88049,NA,NA,-96.746,NA,NA,NA,NA
41618,-3.13951,4.41026,-4.65975,NA,NA,-93.675,NA,NA,NA,NA
41887,-3.34182,4.55407,-4.26121,NA,NA,NA,NA,-140.431,NA,NA
42141,-3.04433,4.26378,-4.55684,NA,NA,NA,NA,NA,-157.141,NA
42203,-1.47152,4.65522,-5,NA,NA,NA,-75.419,NA,NA,NA
42441,-1.43775,4.48975,-5,-55.369,NA,NA,NA,NA,NA,NA
42658,-1.96883,3.74804,-4.7807,NA,NA,-31.607,NA,NA,NA,NA
42995,-1.60152,4.25109,-5,NA,NA,-42.878,NA,NA,NA,NA
43055,-2.58196,4.90138,-5,NA,NA,-82.232,NA,NA,NA,NA
43341,-2.48986,4.6164,-5,NA,NA,-66.803,NA,NA,NA,NA
43413,-1.65148,4.54986,-4.83813,NA,NA,-69.303,NA,NA,NA,NA
43747,-2.08649,4.76398,-4.64538,NA,NA,-65.8,NA,NA,NA,NA
43911,-2.4556,5,-5,NA,NA,-82.97,NA,NA,NA,NA
44125,-2.62459,4.50936,-4.23091,NA,NA,-83.938,NA,NA,NA,NA
44275,-2.53582,4.26425,-4.5147,NA,NA,-64.584,NA,NA,NA,NA
44471,-1.62062,4.9864,-3.25055,NA,-146.442,NA,NA,NA,NA,NA
44618,-1.6268,5,-5,-83.779,NA,NA,NA,NA,NA,NA
44833,-1.64964,5,-5,NA,NA,-73.371,NA,NA,NA,NA
45126,-1.6637,5,-4.52136,NA,NA,-86.144,NA,NA,NA,NA
45258,-1.75175,4.30447,-4.03461,NA,-71.623,NA,NA,NA,NA,NA
45559,-0.852824,4.18007,-4.11368,NA,NA,-105.211,NA,NA,NA,NA
45778,-1.26678,3.05799,-3.75462,NA,NA,-133.583,NA,NA,NA,NA
45807,-1.38585,4.38735,-4.70987,NA,NA,-73.373,NA,NA,NA,NA
46190,-2.24309,3.70249,-5,NA,NA,-58.572,NA,NA,NA,NA
46290,-3.34738,3.8778,-5,NA,NA,-94.172,NA,NA,NA,NA
46530,-2.7638,3.78172,-5,NA,-64.257,NA,NA,NA,NA,NA
46719,-1.65773,3.13674,-4.63592,NA,-49.255,NA,NA,NA,NA,NA
46866,-0.654259,3.81491,-5,NA,NA,-90.343,NA,NA,NA,NA
47047,-2.0223,3.44366,-4.95465,NA,NA,-68.992,NA,NA,NA,NA
47215,-1.75474,4.42419,-4.89041,NA,NA,-47.939,NA,NA,NA,NA
47512,-2.17044,4.15957,-5,NA,NA,-52.274,NA,NA,NA,NA
47607,-1.63171,2.67977,-4.44039,NA,NA,NA,-189.772,NA,NA,NA
47838,-2.61816,4.19991,-5,NA,NA,NA,-89.442,NA,NA,NA
48159,-3.18522,4.61054,-5,NA,NA,NA,NA,NA,-158.519,NA
48370,-1.40746,4.84282,-5,NA,NA,NA,NA,-165.78,NA,NA
48425,-1.16443,4.6205,-3.8537,-130.412,NA,NA,NA,NA,NA,NA
48750,-1.31198,5,-5,-107.355,NA,NA,NA,NA,NA,NA
48906,-1.55649,5,-4.23556,NA,NA,-94.19,NA,NA,NA,NA
49126,-1.97696,5,-2.98341,NA,NA,-160.437,NA,NA,NA,NA
49265,-1.21848,4.49851,-3.20172,NA,-162.966,NA,NA,NA,NA,NA
49561,-2.94604,4.75423,-3.0121,NA,NA,-166.869,NA,NA,NA,NA
49647,-2.57748,4.82851,-5,NA,NA,-76.567,NA,NA,NA,NA
49865,-2.67266,4.95402,-5,NA,NA,-89.675,NA,NA,NA,NA
50111,-3.30158,5,-5,-119.149,NA,NA,NA,NA,NA,NA
50212,-1.66047,3.87737,-5,-8.892,NA,NA,NA,NA,NA,NA
50401,-1.72401,2.81084,-4.71925,-72.221,NA,NA,NA,NA,NA,NA
50768,-2.85134,3.4157,-3.10087,NA,NA,NA,NA,-242.532,NA,NA
50921,-1.7702,2.98399,-4.22517,NA,NA,NA,NA,NA,-260.599,NA
51152,-2.9333,3.99804,-4.45172,-81.931,NA,NA,NA,NA,NA,NA
51299,-2.43978,4.9262,-5,NA,NA,NA,NA,NA,-149.753,NA
51458,-1.9903,4.13077,-5,NA,NA,-55.338,NA,NA,NA,NA
51730,-2.90578,5,-5,NA,NA,-98.207,NA,NA,NA,NA
51990,-0.503808,5,-5,NA,NA,NA,NA,-258.266,NA,NA
52044,-3.08939,5,-4.27294,NA,NA,NA,NA,-164.754,NA,NA
52351,-2.18134,5,-5,NA,NA,NA,NA,NA,-172.53,NA
52465,-1.92367,3.74435,-5,-25.11,NA,NA,NA,NA,NA,NA
52601,-2.67955,4.02385,-5,NA,NA,-63.106,NA,NA,NA,NA
52802,-1.90397,4.81094,-4.88427,-69.506,NA,NA,NA,NA,NA,NA
53147,-2.80251,4.6134,-5,NA,-75.794,NA,NA,NA,NA,NA
53252,-0.729695,4.3137,-4.60252,NA,NA,-114.205,NA,NA,NA,NA
53478,-0.0169309,5,-4.38818,NA,-219.3,NA,NA,NA,NA,NA
53693,0.0174173,5,-5,NA,NA,-195.886,NA,NA,NA,NA
53859,-0.189863,5,-4.90603,-175.566,NA,NA,NA,NA,NA,NA
54110,-0.276244,4.60225,-5,NA,NA,NA,NA,NA,NA,-373.89
54229,-0.771578,5,-5,NA,NA,NA,-170.733,NA,NA,NA
54478,-1.0248,4.9561,-4.62599,NA,NA,-99.433,NA,NA,NA,NA
54745,-1.45233,4.32728,-4.40519,NA,NA,-50.216,NA,NA,NA,NA
54815,-1.88907,5,-4.86534,NA,NA,-77.746,NA,NA,NA,NA
55181,-1.14371,4.62222,-5,NA,-60.764,NA,NA,NA,NA,NA
55208,-1.01623,3.29355,-5,NA,NA,-66.626,NA,NA,NA,NA
55473,-1.38311,4.45435,-5,NA,NA,-66.741,NA,NA,NA,NA
55713,-1.90724,5,-4.69131,NA,-74.148,NA,NA,NA,NA,NA
55994,-1.58972,5,-4.64234,NA,NA,-80.476,NA,NA,NA,NA
56111,-2.79874,4.91383,-5,NA,NA,-91.78,NA,NA,NA,NA
56324,-2.4538,4.51979,-4.50626,NA,NA,-70.074,NA,NA,NA,NA
56454,-1.65036,5,-5,-82.547,NA,NA,NA,NA,NA,NA
56782,-2.97294,5,-4.6755,-106.612,NA,NA,NA,NA,NA,NA
56900,-3.47001,5,-4.72156,-129.985,NA,NA,NA,NA,NA,NA
57165,-3.79042,3.67143,-4.06749,NA,NA,-145.748,NA,NA,NA,NA
57320,-2.81104,3.40861,-5,NA,NA,-73.375,NA,NA,NA,NA
57471,-2.52633,3.84269,-4.07029,NA,NA,-80.229,NA,NA,NA,NA
57690,-1.14629,3.44462,-5,NA,NA,-53.474,NA,NA,NA,NA
57895,-1.95039,3.096,-5,NA,NA,-63.574,NA,NA,NA,NA
58184,-0.788222,3.27739,-4.41075,NA,NA,-86.783,NA,NA,NA,NA
58324,-1.31764,3.00592,-4.89892,NA,NA,-59.515,NA,NA,NA,NA
58564,-1.42766,3.01313,-5,-77.14,NA,NA,NA,NA,NA,NA
58720,-1.50949,3.68608,-5,NA,NA,-40.79,NA,NA,NA,NA
58827,-1.75654,2.39018,-5,NA,-156.83,NA,NA,NA,NA,NA
59130,-1.42421,4.2392,-5,-74.262,NA,NA,NA,NA,NA,NA
59326,-1.45596,5,-5,NA,-73.986,NA,NA,NA,NA,NA
59441,-1.35488,5,-5,NA,-75.935,NA,NA,NA,NA,NA
59682,-2.2007,4.08357,-5,NA,NA,-50.936,NA,NA,NA,NA
59962,-2.42969,4.81467,-5,NA,NA,-75.557,NA,NA,NA,NA
60023,-1.1094,4.64587,-5,NA,NA,-101.011,NA,NA,NA,NA
60372,-2.4692,3.72565,-5,NA,NA,-60.747,NA,NA,NA,NA
60454,-1.76959,5,-4.42132,NA,NA,-88.588,NA,NA,NA,NA
60701,-2.49031,5,-5,NA,NA,-81.737,NA,NA,NA,NA
60808,-3.93767,2.53457,-5,NA,NA,-184.874,NA,NA,NA,NA
61166,-3.53593,2.54491,-5,NA,NA,-139.611,NA,NA,NA,NA
61276,-2.69346,3.45414,-5,NA,-59.796,NA,NA,NA,NA,NA
61542,-2.23392,2.56525,-5,NA,NA,-96.146,NA,NA,NA,NA
61769,-1.74454,2.87423,-5,-69.961,NA,NA,NA,NA,NA,NA
61845,-2.60907,3.88136,-4.17717,NA,NA,NA,NA,-130.02,NA,NA
62082,-3.1095,4.70541,-3.35052,NA,NA,NA,NA,-212.459,NA,NA
62339,-2.83311,3.51042,-4.00741,-103.424,NA,NA,NA,NA,NA,NA
62540,-3.0504,4.9784,-4.94658,-106.803,NA,NA,NA,NA,NA,NA
62684,-2.11675,4.95506,-5,-77.915,NA,NA,NA,NA,NA,NA
62818,-1.5547,3.83251,-5,NA,NA,-29.338,NA,NA,NA,NA
63001,-1.02413,2.4433,-5,-146.576,NA,NA,NA,NA,NA,NA
63292,-0.7048,3.07199,-5,NA,NA,-129.755,NA,NA,NA,NA
63479,-1.06259,3.55513,-3.44719,NA,-166.96,NA,NA,NA,NA,NA
63618,-2.68027,2.82327,-3.94702,-138.073,NA,NA,NA,NA,NA,NA
63962,-1.49741,2.47441,-3.63163,NA,NA,-222.99,NA,NA,NA,NA
64017,-2.05492,4.51178,-5,NA,NA,-57.04,NA,NA,NA,NA
64335,-3.43803,4.018,-3.84634,NA,NA,-128.361,NA,NA,NA,NA
64575,-3.17223,4.72512,-3.9689,NA,-119.084,NA,NA,NA,NA,NA
64798,-2.74026,5,-3.84912,NA,-110.97,NA,NA,NA,NA,NA
64822,-3.03909,5,-5,NA,NA,-105.568,NA,NA,NA,NA
65082,-2.98681,4.58398,-4.96465,NA,NA,-92.676,NA,NA,NA,NA
65309,-2.98982,4.14917,-5,NA,NA,-73.556,NA,NA,NA,NA
65552,-2.66185,5,-4.45985,NA,NA,-91.499,NA,NA,NA,NA
65647,-2.80442,4.57236,-5,NA,NA,-80.124,NA,NA,NA,NA
65988,-3.00653,3.75855,-4.687,NA,NA,-87.189,NA,NA,NA,NA
66159,-2.55398,3.63737,-5,NA,NA,-61.109,NA,NA,NA,NA
66376,-1.81935,4.13504,-4.10528,NA,NA,-72.245,NA,NA,NA,NA
66521,-2.1116,3.78114,-4.85162,NA,NA,-38.612,NA,NA,NA,NA
66652,-3.01894,4.48648,-5,NA,NA,-87.471,NA,NA,NA,NA
66959,-2.04229,5,-5,NA,NA,-81.249,NA,NA,NA,NA
67145,-2.8912,5,-5,NA,-94.782,NA,NA,NA,NA,NA
67309,-2.85675,2.90725,-5,NA,NA,-105.448,NA,NA,NA,NA
67575,-2.75333,3.07288,-4.26061,NA,NA,-102.681,NA,NA,NA,NA
67623,-2.94845,4.50022,-3.719,NA,NA,-115.744,NA,NA,NA,NA
67932,-2.86495,5,-3.06396,NA,NA,-174.269,NA,NA,NA,NA
68058,-3.83094,5,-4.92161,NA,NA,-164.327,NA,NA,NA,NA
