id,x0,x1,x2,fitness5,fitness3.5,fitness4.5,fitness3,fitness2,fitness1.5,fitness0.5,fitness1,fitness0,fitness-1.5,fitness-0.5,fitness-4,fitness-3,fitness-2.5,fitness-3.5,fitness-5,fitness-4.5,fitness-1,fitness-2,fitness2.5,fitness4
5859,-0.778957,1.99308,3.92273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.62,NA,NA,NA,NA,NA,NA,NA
6199,0.0324073,1.14911,3.2331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.952,NA,NA,NA,NA,NA,NA,NA,NA
6370,0.385,0.426702,3.40303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.674,NA,NA,NA,NA,NA,NA,NA
6593,1.97084,0.12695,3.51617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.089,NA,NA,NA,NA,NA,NA
6747,2.03457,-1.31071,3.18962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
6991,2.44537,0.126598,2.76295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.001,NA,NA,NA,NA,NA
7104,3.06946,0.948971,3.15333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.704,NA,NA,NA,NA,NA
7213,3.69887,0.761451,2.52436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.703,NA,NA,NA,NA,NA
7434,4.57178,1.45243,3.02143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.192,NA,NA,NA,NA,NA
7719,4.51013,1.28577,2.86553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.198,NA,NA,NA,NA,NA
7821,5,0.862413,3.61553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.81,NA,NA,NA,NA,NA
8197,5,1.04653,2.71116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.424,NA,NA,NA,NA,NA,NA,NA,NA,NA
8271,4.94717,2.69303,3.96415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.918,NA,NA,NA,NA,NA,NA,NA,NA,NA
8581,5,3.15494,3.7539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.93,NA,NA,NA,NA
8747,5,2.45463,3.2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.493,NA,NA,NA,NA,NA
8825,4.96493,2.1567,2.20125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.804,NA,NA,NA,NA,NA
9160,5,2.51075,2.90459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.662,NA,NA,NA,NA
9376,5,2.67016,3.93962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.52,NA,NA,NA,NA,NA
9504,5,2.67977,4.03117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.219,NA,NA,NA,NA
9787,5,2.89427,4.67751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.562,NA,NA,NA,NA,NA
9932,2.19528,2.6943,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.966,NA,NA,NA,NA,NA
10171,3.10604,2.08785,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.952,NA,NA,NA,NA,NA
10315,1.91738,0.433312,4.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.854,NA,NA,NA,NA,NA
10472,1.61117,-0.777021,3.94648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.106,NA,NA,NA,NA
10627,0.856466,-1.28856,2.43857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.091,NA,NA,NA,NA
10992,1.72504,-2.45799,1.82865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.816,NA,NA,NA,NA,NA
11027,0.525517,-2.37446,2.30207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.043,NA,NA,NA,NA,NA
11235,-0.846014,-0.692786,1.9462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.298,NA,NA,NA,NA,NA,NA,NA,NA,NA
11577,0.544853,-2.41804,1.1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
11626,-0.253372,-3.84266,2.36796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.729,NA,NA,NA,NA,NA,NA
11877,1.38805,-3.12423,2.13246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.127,NA,NA,NA,NA,NA,NA,NA,NA
12078,1.70522,-3.12111,3.66919,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12340,0.294823,-4.04137,1.67116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.929,NA,NA,NA
12489,1.1358,-1.64128,1.58756,NA,NA,NA,NA,NA,NA,NA,3.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12750,0.587644,0.0116115,1.598,NA,NA,NA,NA,NA,NA,-0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12925,0.878477,0.392894,2.10455,NA,NA,NA,NA,NA,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13051,0.917641,2.17056,3.54701,NA,NA,NA,NA,NA,NA,NA,NA,8.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13309,1.71684,0.957767,2.89986,NA,NA,NA,NA,NA,NA,33.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13491,-0.205397,2.09253,0.953543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13769,0.916022,1.75706,-1.60271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.552,NA,NA,NA
13902,0.863053,1.78956,-1.08639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.518,NA,NA,NA,NA,NA,NA,NA
14129,1.65155,2.34204,-0.351872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.792,NA,NA,NA,NA,NA,NA,NA
14232,2.86788,3.31622,-0.308797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.112,NA,NA,NA,NA,NA,NA
14517,3.1276,2.64781,-1.62529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.902,NA,NA,NA,NA,NA,NA,NA,NA
14603,3.54198,3.5814,-2.16316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.807,NA,NA,NA,NA,NA,NA
14887,4.02455,4.41469,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.629,NA,NA,NA,NA,NA,NA,NA,NA
15014,3.81063,5,-4.64197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-107.814,NA,NA,NA,NA,NA,NA,NA
15274,3.14667,4.34487,-3.51333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15470,3.45804,3.66879,-4.53622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.749,NA,NA,NA
15625,5,1.56184,-3.5982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.11,NA,NA,NA
15991,5,-0.213498,-2.29272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.978,NA,NA
16060,5,-0.47647,-1.24178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16249,5,-1.41725,-1.44224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3250.641,NA,NA,NA
16531,5,-1.44662,-0.685849,NA,NA,NA,NA,NA,NA,4204.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16660,5,-1.45258,-1.66419,NA,NA,NA,NA,NA,498.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16849,4.53862,-1.129,-1.15862,NA,NA,NA,NA,NA,-2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17098,4.893,-1.41369,-2.66322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.159,NA
17302,4.61087,-1.88488,-1.40525,NA,NA,NA,753.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17449,4.057,-1.55919,-2.21627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.454,NA
17645,4.90423,-3.09974,-2.74099,NA,NA,NA,19.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17905,4.87043,-2.92023,-3.88086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.322,NA
18151,4.66656,-3.37866,-4.45098,-488.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18245,3.49102,-1.79157,-3.45091,NA,NA,NA,-3.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18571,2.01074,-0.748197,-3.03876,NA,103.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18711,3.27621,-1.29824,-3.70288,NA,NA,NA,NA,50.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18921,3.31274,-2.11226,-5,NA,NA,NA,NA,NA,NA,NA,NA,-156.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19076,4.51408,-1.90104,-4.11612,NA,NA,NA,NA,NA,NA,NA,-3.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19365,4.761,-1.39124,-4.05172,NA,NA,NA,NA,NA,411.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19423,3.67886,-1.16168,-3.20586,NA,NA,NA,NA,NA,NA,NA,24.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19769,4.65098,-1.93242,-2.16528,NA,NA,NA,NA,NA,345.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19872,4.62231,-1.59539,-2.4673,NA,NA,NA,NA,-447.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20076,5,-1.04971,-2.55488,NA,NA,NA,NA,NA,174.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20314,4.90564,-1.11992,-2.13984,NA,NA,NA,NA,NA,-2.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20496,4.02963,-1.19295,-3.67764,NA,NA,NA,NA,NA,NA,NA,NA,40.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20688,4.47004,-1.89883,-2.27565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20858,2.44637,-2.90899,-3.24457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.813,NA,NA,NA
21174,3.72293,-1.33545,-3.90993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21224,2.52399,0.417927,-5,NA,NA,NA,NA,NA,NA,NA,5.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21527,0.894727,-0.424594,-5,NA,NA,NA,NA,NA,NA,NA,47.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21743,1.72698,-0.798495,-4.35,NA,NA,NA,NA,NA,123.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21813,2.66861,-0.636997,-5,NA,NA,NA,NA,NA,NA,NA,96.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22089,4.6239,-2.1626,-4.72177,NA,NA,NA,NA,NA,NA,NA,-6.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22233,4.158,-5,-4.99753,NA,NA,NA,NA,NA,7.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22436,3.71142,-4.99349,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.661,NA
22683,4.84133,-5,-3.79167,NA,NA,NA,NA,54.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22935,3.14157,-5,-3.22149,NA,NA,NA,NA,16.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23120,3.22262,-5,-1.83232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.699,NA
23363,4.06891,-5,-3.19894,NA,NA,86.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23512,5,-5,-4.61131,NA,136.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23666,4.56529,-4.69522,-5,NA,10.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23939,5,-5,-5,NA,NA,NA,82.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24060,3.80889,-5,-4.72686,NA,6.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24377,5,-5,-4.7237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.621
24488,4.61322,-4.22407,-4.44225,32.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24620,4.07536,-4.58671,-2.66432,96.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24869,3.81691,-4.61914,-3.96543,NA,57.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25058,3.86556,-5,-3.61106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.717
25329,5,-3.71876,-3.72918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.072
25481,2.07791,-3.285,-2.5528,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25673,1.58878,-3.286,-2.30769,-0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25929,1.15262,-3.10604,-2.10292,192.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26034,1.44981,-5,-0.946974,588.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26344,-0.501514,-5,-0.972238,NA,NA,571.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26563,0.0774069,-5,-1.21311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.688
26699,-1.03618,-3.69055,-1.15378,87.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26932,-2.33237,-3.22939,0.065912,NA,NA,-11.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27166,-3.15346,-2.67342,0.715754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.618
27201,-4.62359,-4.67504,1.54931,NA,NA,-2.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27544,-4.56599,-5,1.01506,115.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27665,-5,-5,0.639435,-120.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27820,-4.99822,-4.93471,1.00006,NA,52.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28167,-5,-3.74235,0.560273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228,NA
28384,-5,-3.88061,1.0036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.553,NA
28465,-4.45815,-3.17996,1.20906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.216,NA
28633,-4.29983,-3.06477,1.34622,NA,38.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28973,-4.45189,-4.097,0.0150511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.146
29127,-2.30303,-4.79643,0.0430586,11.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29300,-1.52668,-4.86912,-0.288915,2488.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29400,-0.289425,-5,-0.308459,1369.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29798,-0.574784,-5,0.338197,741.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29905,-1.33589,-3.93724,2.8175,808.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30147,-0.910899,-4.41417,4.69278,2692.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30213,-0.669624,-3.09294,5,NA,NA,2164.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30484,-0.845775,-4.38955,5,NA,1019.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30621,0.247955,-5,4.23543,NA,NA,NA,141.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30808,-0.823283,-5,3.73515,NA,212.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31081,1.13866,-5,2.56523,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31260,-0.375799,-5,2.20621,NA,102.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31460,0.10371,-4.00994,1.94865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.998
31668,1.14156,-3.59774,1.15935,NA,NA,19.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31880,1.48665,-4.16665,-0.214672,NA,NA,29.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32022,1.73529,-2.34693,-0.893172,448.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32349,0.604642,-1.8813,-1.44693,494.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32406,1.3205,-2.61904,-1.67877,359.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32642,-0.0179371,-3.6405,-0.677868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.225
32986,-0.62179,-4.63721,-2.02876,NA,286.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33150,1.28112,-4.51594,-0.826255,NA,NA,NA,NA,193.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
