id,x0,x1,x2,fitness-0.5,fitness-2.5,fitness-3,fitness-4.5,fitness-5,fitness-4,fitness-3.5,fitness-2
19723,-1.95017,4.98062,-4.67027,NA,NA,NA,-72.137,NA,NA,NA,NA
19964,-2.30647,4.59137,-4.40281,NA,NA,NA,-65.288,NA,NA,NA,NA
20174,-3.08271,4.02922,-3.16326,NA,NA,NA,-145.435,NA,NA,NA,NA
20237,-3.00572,3.51338,-4.40049,NA,NA,NA,-78.034,NA,NA,NA,NA
20532,-3.61344,4.67433,-4.50926,NA,NA,NA,-129.589,NA,NA,NA,NA
20660,-2.05212,3.97984,-4.8439,NA,NA,NA,-36.225,NA,NA,NA,NA
20909,-2.0735,4.58125,-3.7679,NA,NA,NA,NA,NA,NA,-98.372,NA
21139,-2.06527,3.57755,-4.48362,NA,NA,NA,NA,NA,NA,-67.574,NA
21243,-3.08807,4.9454,-4.01606,NA,NA,NA,NA,NA,-120.587,NA,NA
21574,-2.13693,3.19159,-3.93378,NA,NA,NA,-96.073,NA,NA,NA,NA
21688,-1.7747,4.13161,-4.16056,NA,NA,NA,-59.376,NA,NA,NA,NA
21833,-1.2088,4.47461,-4.76376,NA,NA,NA,-61.921,NA,NA,NA,NA
22089,-1.85571,4.67717,-4.68942,NA,NA,NA,NA,NA,-63.128,NA,NA
22276,-3.26371,4.71637,-4.9938,NA,NA,NA,NA,-102.347,NA,NA,NA
22571,-2.20369,4.83247,-4.50986,NA,NA,NA,NA,NA,-80.019,NA,NA
22754,-1.62181,4.03206,-4.98515,NA,NA,NA,NA,NA,-18.94,NA,NA
22983,-1.62697,4.03933,-4.91805,NA,NA,NA,NA,-30.854,NA,NA,NA
23182,-0.860197,3.40408,-4.43309,NA,NA,NA,NA,-90.435,NA,NA,NA
23281,-1.83311,4.46259,-4.20852,NA,NA,NA,-66.741,NA,NA,NA,NA
23581,-1.57626,4.82565,-4.7214,NA,NA,NA,NA,-72.024,NA,NA,NA
23717,-1.36522,3.84835,-4.4959,NA,NA,NA,-38.393,NA,NA,NA,NA
23870,-2.01241,4.9629,-4.8526,NA,NA,NA,NA,NA,-72.547,NA,NA
24042,-0.692703,4.22753,-4.25474,NA,NA,NA,NA,-79.388,NA,NA,NA
24290,-1.33936,4.06001,-4.24462,NA,NA,NA,-60.7,NA,NA,NA,NA
24437,-2.4276,4.96683,-4.86467,NA,NA,NA,NA,-78.43,NA,NA,NA
24749,-1.57,4.97076,-4.43936,NA,NA,NA,NA,NA,-100.516,NA,NA
24916,-1.71833,4.19603,-3.21147,NA,NA,NA,NA,-157.029,NA,NA,NA
25051,-1.58105,3.36916,-4.98914,NA,NA,NA,NA,-37.778,NA,NA,NA
25305,-1.93863,4.96606,-4.44177,NA,NA,NA,-79.725,NA,NA,NA,NA
25556,-3.01576,3.68781,-3.3473,NA,NA,NA,-134.261,NA,NA,NA,NA
25661,-2.61546,3.5168,-4.44858,NA,NA,NA,NA,NA,-76.574,NA,NA
25839,-1.14857,3.41199,-4.01485,NA,NA,NA,NA,-108.784,NA,NA,NA
26194,-3.03808,3.93164,-4.27145,NA,NA,NA,NA,NA,-93.209,NA,NA
26227,-2.8936,4.44008,-4.97306,NA,NA,NA,-77.043,NA,NA,NA,NA
26587,-1.93527,4.1564,-3.83813,NA,NA,NA,-84.411,NA,NA,NA,NA
26730,-2.29518,4.11596,-4.09014,NA,NA,NA,-66.958,NA,NA,NA,NA
26976,-2.7983,4.66617,-3.89285,NA,NA,NA,NA,NA,NA,-115.235,NA
27183,-2.57045,4.0165,-4.81519,NA,NA,NA,-59.091,NA,NA,NA,NA
27243,-3.38119,2.80942,-4.95544,NA,NA,NA,NA,-119.998,NA,NA,NA
27462,-2.88758,2.51231,-4.35877,NA,NA,NA,-126.602,NA,NA,NA,NA
27674,-3.42213,3.21444,-3.62224,NA,NA,NA,NA,NA,-155.338,NA,NA
27823,-3.49269,3.39379,-4.97938,NA,NA,NA,-113.784,NA,NA,NA,NA
28008,-2.71928,3.3553,-4.82551,NA,NA,NA,-56.076,NA,NA,NA,NA
28212,-1.8638,3.30321,-4.51801,NA,NA,NA,NA,NA,NA,-111.991,NA
28534,-2.39904,4.63574,-3.56233,NA,NA,NA,NA,NA,-107.909,NA,NA
28617,-2.75068,3.99435,-4.83476,NA,NA,NA,NA,-66.479,NA,NA,NA
28871,-3.0287,4.86691,-4.95544,NA,NA,NA,NA,-98.972,NA,NA,NA
29017,-1.93516,4.81325,-4.47648,NA,NA,NA,NA,NA,NA,-107.36,NA
29377,-0.72281,3.9735,-4.95093,NA,NA,NA,NA,NA,-96.201,NA,NA
29409,-0.963429,4.79952,-4.59632,NA,NA,NA,-98.67,NA,NA,NA,NA
29639,-1.39977,4.7533,-4.66909,NA,NA,NA,-75.612,NA,NA,NA,NA
29970,-3.26089,4.32655,-3.71073,NA,NA,NA,NA,-134.577,NA,NA,NA
30190,-3.0673,3.81592,-4.49746,NA,NA,NA,-83.688,NA,NA,NA,NA
30353,-2.39131,4.15412,-4.31957,NA,NA,NA,NA,NA,-67.45,NA,NA
30579,-2.58333,3.18869,-4.23979,NA,-188.057,NA,NA,NA,NA,NA,NA
30680,-2.16428,4.6867,-3.88469,NA,NA,NA,-90.718,NA,NA,NA,NA
30936,-2.64924,4.58534,-4.86762,NA,NA,NA,NA,NA,-69.472,NA,NA
31178,-2.29104,4.98062,-3.93457,NA,NA,NA,NA,NA,NA,-133.6,NA
31306,-1.61888,4.797,-4.86289,NA,NA,NA,NA,NA,NA,-107.65,NA
31553,-2.82842,4.06983,-4.30025,NA,NA,NA,NA,NA,-81.685,NA,NA
31796,-1.46664,4.57025,-4.84924,NA,NA,NA,-56.693,NA,NA,NA,NA
31867,-2.06682,3.93319,-4.76006,NA,NA,NA,-37.534,NA,NA,NA,NA
32121,-2.00232,4.53933,-4.95369,NA,NA,NA,NA,NA,-60.791,NA,NA
32280,-1.9622,3.20698,-4.59911,NA,NA,NA,NA,NA,-81.917,NA,NA
32426,-2.64166,4.13637,-4.07835,NA,NA,NA,NA,NA,-86.453,NA,NA
32613,-1.33689,4.46172,-3.25902,NA,NA,NA,-155.8,NA,NA,NA,NA
32965,-2.49668,4.17392,-4.19117,NA,NA,NA,-71.635,NA,NA,NA,NA
33047,-3.31055,4.45969,-4.69617,NA,NA,NA,NA,-102.26,NA,NA,NA
33287,-2.3799,4.15688,-4.46405,NA,NA,NA,-50.171,NA,NA,NA,NA
33417,-1.87699,3.51118,-4.87955,NA,NA,NA,NA,-35.16,NA,NA,NA
33748,-1.89635,4.48131,-4.63502,NA,NA,NA,-51.249,NA,NA,NA,NA
33903,-1.24013,3.77954,-4.46754,NA,NA,NA,-37.544,NA,NA,NA,NA
34058,-1.85207,3.74027,-4.68335,NA,NA,NA,NA,NA,NA,-81.587,NA
34363,-1.70594,4.59218,-4.90702,NA,NA,NA,NA,NA,-75.647,NA,NA
34405,-2.0056,4.89784,-4.44372,NA,NA,NA,-74.362,NA,NA,NA,NA
34604,-2.05051,4.26632,-3.54319,NA,NA,NA,NA,-105.029,NA,NA,NA
34890,-2.55147,3.23157,-4.85862,NA,NA,NA,NA,NA,-83.056,NA,NA
35030,-1.76096,3.14996,-4.63835,NA,NA,NA,-48.094,NA,NA,NA,NA
35284,-1.75165,4.87148,-3.68008,NA,NA,NA,NA,NA,-124.335,NA,NA
35403,-2.34911,4.93103,-4.48922,NA,NA,NA,-78.05,NA,NA,NA,NA
35782,-2.70035,4.12816,-4.49433,NA,NA,NA,NA,NA,-74,NA,NA
35923,-2.42603,3.50627,-4.59678,NA,NA,NA,NA,-61.935,NA,NA,NA
36047,-1.5013,3.35764,-4.12447,NA,NA,NA,NA,-77.461,NA,NA,NA
36389,-1.66226,3.49911,-4.42368,NA,NA,NA,-44.871,NA,NA,NA,NA
36478,-0.967431,4.23413,-4.88863,NA,NA,NA,NA,-59.369,NA,NA,NA
36612,-1.61791,4.72687,-4.61754,NA,NA,NA,NA,-71.3,NA,NA,NA
36910,-2.722,4.70475,-4.25821,NA,NA,NA,NA,NA,NA,-114.216,NA
37019,-2.80484,3.85815,-4.87882,NA,NA,NA,NA,NA,-71.913,NA,NA
37350,-1.46774,3.82087,-4.99078,NA,NA,NA,-12.769,NA,NA,NA,NA
37489,-1.29091,3.46974,-4.91105,NA,NA,NA,NA,-45.083,NA,NA,NA
37765,-1.28895,4.04648,-4.97991,NA,NA,NA,-30.721,NA,NA,NA,NA
37858,-1.34103,3.52294,-4.72434,NA,NA,NA,NA,NA,NA,-103.892,NA
38078,-1.59992,4.06791,-4.44766,NA,NA,NA,NA,NA,-42.282,NA,NA
38223,-2.14259,3.35938,-4.09578,NA,NA,NA,NA,NA,-85.164,NA,NA
38585,-1.82816,4.48637,-4.60935,NA,NA,NA,-51.255,NA,NA,NA,NA
38632,-2.19551,4.87235,-4.60237,NA,NA,NA,-71.103,NA,NA,NA,NA
38863,-2.59835,4.3032,-4.2407,NA,NA,NA,NA,NA,-83.834,NA,NA
39191,-2.49941,4.57486,-3.64913,NA,NA,NA,-106.351,NA,NA,NA,NA
39266,-2.41908,4.53395,-4.08242,NA,NA,NA,NA,NA,-91.157,NA,NA
39489,-1.41427,4.14355,-4.39025,NA,NA,NA,-54.099,NA,NA,NA,NA
39747,-1.06333,3.68928,-4.11732,NA,NA,NA,NA,-86.837,NA,NA,NA
39817,-2.139,4.15982,-4.54717,NA,NA,NA,NA,-54.029,NA,NA,NA
40062,-3.66647,4.81349,-4.60788,NA,NA,NA,-135.863,NA,NA,NA,NA
40374,-2.75983,4.92879,-4.12973,NA,NA,NA,NA,NA,-101.83,NA,NA
40449,-1.66722,4.91396,-3.70852,NA,NA,NA,NA,-109.663,NA,NA,NA
40748,-1.64447,3.47401,-3.59789,NA,NA,NA,-121.098,NA,NA,NA,NA
40835,-1.77501,4.99943,-3.89412,NA,NA,NA,NA,NA,-110.169,NA,NA
41102,-1.32693,3.96631,-4.80414,NA,NA,NA,-18.722,NA,NA,NA,NA
41382,-2.11322,3.58159,-4.84009,NA,NA,NA,-33.235,NA,NA,NA,NA
41466,-2.06882,4.78257,-4.97882,NA,NA,NA,NA,NA,-64.821,NA,NA
41784,-2.30698,4.62941,-4.56529,NA,NA,NA,NA,NA,-77.106,NA,NA
41813,-2.6557,4.69883,-4.72599,NA,NA,NA,NA,NA,NA,-82.075,NA
42067,-1.89991,4.60373,-4.62662,NA,NA,NA,NA,NA,NA,-78.336,NA
42228,-1.88468,4.53894,-4.38555,NA,NA,NA,-59.744,NA,NA,NA,NA
42421,-2.50363,3.84154,-4.55106,NA,NA,NA,NA,-61.511,NA,NA,NA
42629,-2.45377,4.19104,-4.27765,NA,NA,NA,-62.619,NA,NA,NA,NA
42958,-2.42747,3.9198,-4.78872,NA,NA,NA,-43.075,NA,NA,NA,NA
43114,-3.0245,3.32748,-4.68738,NA,NA,NA,-88.057,NA,NA,NA,NA
43357,-3.46707,4.25232,-4.59725,NA,NA,NA,NA,NA,-115.258,NA,NA
43568,-2.74342,4.46076,-4.02367,NA,NA,NA,-88.488,NA,NA,NA,NA
43720,-1.43565,4.61659,-4.89266,NA,NA,NA,-76.724,NA,NA,NA,NA
43945,-3.3812,4.30059,-4.80447,NA,NA,NA,NA,-102.037,NA,NA,NA
44025,-2.42485,4.57519,-4.04769,NA,NA,NA,NA,NA,NA,-99.032,NA
44297,-2.3868,4.42089,-4.39765,NA,NA,NA,-65.421,NA,NA,NA,NA
44520,-2.52745,3.65278,-4.46583,NA,NA,NA,-60.86,NA,NA,NA,NA
44713,-2.2661,3.46219,-4.99465,NA,NA,NA,-51.993,NA,NA,NA,NA
44847,-2.44077,3.69099,-4.99349,NA,NA,NA,NA,NA,-68.705,NA,NA
45117,-1.84065,4.66279,-3.99982,NA,NA,NA,NA,NA,-87.119,NA,NA
45344,-2.2588,3.72401,-4.89872,NA,NA,NA,NA,NA,-40.513,NA,NA
45413,-1.21376,3.83779,-4.48906,NA,NA,NA,NA,-51.265,NA,NA,NA
45688,-2.10479,3.77607,-4.61726,NA,NA,NA,NA,-43.066,NA,NA,NA
45829,-3.16585,4.39307,-4.18492,NA,NA,NA,-101.044,NA,NA,NA,NA
46097,-2.68625,3.75302,-3.65557,NA,NA,NA,NA,NA,NA,-106.638,NA
46377,-1.93676,4.36976,-3.94635,NA,NA,NA,NA,NA,NA,-119.598,NA
46568,-1.59695,4.3477,-4.47992,NA,NA,NA,NA,NA,-51.788,NA,NA
46688,-3.05134,4.29423,-4.46146,NA,NA,NA,NA,NA,NA,-113.992,NA
46991,-2.24641,3.9053,-4.98596,NA,NA,NA,-37.037,NA,NA,NA,NA
47038,-3.16704,4.44277,-4.45516,NA,NA,NA,-93.827,NA,NA,NA,NA
47312,-3.01536,3.10476,-4.76282,NA,NA,NA,-92.754,NA,NA,NA,NA
47505,-3.79233,4.0605,-4.4217,NA,NA,NA,-131.313,NA,NA,NA,NA
47620,-2.79124,4.12499,-3.2193,NA,NA,NA,NA,NA,NA,-167.148,NA
47936,-2.14084,4.61164,-4.35331,NA,NA,NA,-63.432,NA,NA,NA,NA
48169,-1.96534,3.84505,-4.28519,NA,NA,NA,NA,-67.606,NA,NA,NA
48376,-2.25715,3.57746,-4.89819,NA,NA,NA,-45.116,NA,NA,NA,NA
48410,-2.21858,4.46752,-4.69233,NA,NA,NA,-56.374,NA,NA,NA,NA
48721,-3.28762,4.83269,-4.50954,NA,NA,NA,NA,-113.475,NA,NA,NA
48853,-2.66292,4.37986,-3.76718,NA,NA,NA,-93.68,NA,NA,NA,NA
49132,-1.94082,4.29321,-3.9987,NA,NA,NA,-69.886,NA,NA,NA,NA
49356,-1.63443,3.99895,-4.99481,NA,NA,NA,NA,-38.223,NA,NA,NA
49563,-1.91325,3.47844,-3.68558,NA,NA,NA,NA,NA,-152.748,NA,NA
49688,-2.38331,4.04821,-3.49894,NA,NA,NA,NA,-104.628,NA,NA,NA
49891,-1.3423,4.93698,-4.62906,NA,NA,NA,-83.158,NA,NA,NA,NA
50170,-1.49992,4.77907,-4.87647,NA,NA,NA,-72.544,NA,NA,NA,NA
50304,-1.81291,4.6965,-4.96487,NA,NA,NA,-51.762,NA,NA,NA,NA
50548,-2.0279,4.50111,-4.39684,NA,NA,NA,NA,NA,-60.678,NA,NA
50652,-2.44502,3.51376,-4.25423,NA,NA,NA,-68.135,NA,NA,NA,NA
50848,-2.70887,4.39088,-4.63396,NA,NA,NA,NA,NA,-72.019,NA,NA
51047,-1.10681,4.52822,-4.92485,NA,NA,NA,NA,NA,NA,-115.137,NA
51206,-2.00106,3.82361,-4.58513,NA,NA,NA,NA,-47.618,NA,NA,NA
51452,-2.01772,3.95945,-4.97071,NA,NA,NA,-34.821,NA,NA,NA,NA
51755,-1.5478,3.75251,-4.60149,NA,NA,NA,NA,-37.785,NA,NA,NA
51809,-2.52887,3.22747,-4.84457,NA,NA,NA,NA,NA,NA,-104.71,NA
52071,-2.6151,3.67135,-4.96881,NA,NA,NA,NA,NA,NA,-82.549,NA
52257,-2.48918,3.28672,-4.82343,NA,NA,NA,NA,NA,-87.762,NA,NA
52438,-2.30443,3.90633,-4.60161,NA,NA,-113.49,NA,NA,NA,NA,NA
52665,-1.42678,4.22486,-4.97006,NA,NA,-90.217,NA,NA,NA,NA,NA
52859,-2.94867,3.77031,-4.60149,NA,NA,NA,-73.516,NA,NA,NA,NA
53134,-2.43104,3.14238,-4.18157,NA,NA,NA,-88.329,NA,NA,NA,NA
53392,-2.35021,4.20759,-4.54986,NA,NA,NA,-51.384,NA,NA,NA,NA
53477,-1.69155,4.91456,-3.81274,NA,NA,NA,NA,-105.066,NA,NA,NA
53697,-2.27168,4.81887,-4.14554,NA,NA,NA,-88.029,NA,NA,NA,NA
54000,-2.4586,4.44038,-4.55878,NA,NA,NA,NA,-67.827,NA,NA,NA
54052,-2.36433,4.26077,-4.89705,NA,NA,NA,NA,NA,-49.803,NA,NA
54376,-2.03442,3.56864,-4.92316,NA,NA,NA,NA,-42.027,NA,NA,NA
54579,-1.25532,4.50911,-4.73856,NA,NA,NA,-63.729,NA,NA,NA,NA
54679,-1.45513,4.63384,-4.87254,NA,NA,NA,NA,NA,-61.441,NA,NA
54992,-3.12926,4.29864,-4.33623,NA,NA,-130.531,NA,NA,NA,NA,NA
55016,-2.50242,4.29492,-4.57405,NA,NA,NA,NA,NA,-66.609,NA,NA
55395,-1.46135,4.62354,-4.68548,NA,NA,NA,NA,NA,-69.687,NA,NA
55514,-2.44346,3.86633,-3.90544,NA,NA,NA,NA,NA,NA,-122.839,NA
55717,-2.27597,3.74252,-3.85779,NA,NA,NA,NA,NA,NA,-126.791,NA
55951,-1.59041,4.46014,-4.7701,NA,NA,NA,NA,NA,-51.173,NA,NA
56090,-0.779468,3.76218,-4.37313,NA,NA,NA,-48.888,NA,NA,NA,NA
56389,-2.53883,4.26374,-4.46838,NA,NA,NA,-70.358,NA,NA,NA,NA
56553,-1.25798,3.86749,-4.73314,NA,NA,NA,-17.825,NA,NA,NA,NA
56697,-2.41111,3.89735,-4.13149,NA,NA,NA,-71.873,NA,NA,NA,NA
56839,-3.14939,4.79146,-3.57362,NA,NA,NA,NA,NA,-139.841,NA,NA
57136,-3.07966,4.59621,-3.91446,NA,NA,NA,NA,NA,-110.995,NA,NA
57207,-2.32771,4.01453,-4.98795,NA,NA,NA,-46.084,NA,NA,NA,NA
57405,-2.2187,4.09897,-4.0096,NA,NA,NA,NA,NA,-75.773,NA,NA
57604,-2.28112,3.92582,-4.84489,NA,NA,NA,NA,-55.103,NA,NA,NA
57990,-1.66642,3.89325,-4.43073,NA,NA,NA,-36.416,NA,NA,NA,NA
58061,-3.45061,4.52571,-4.38624,NA,NA,NA,-114.956,NA,NA,NA,NA
58293,-2.72982,3.61401,-4.89197,NA,NA,NA,-66.182,NA,NA,NA,NA
58556,-2.28543,3.32287,-4.79666,NA,NA,NA,NA,-44.255,NA,NA,NA
58777,-2.25496,3.34073,-4.40094,NA,NA,NA,NA,NA,NA,-108.172,NA
58882,-2.55503,4.08611,-4.68998,NA,NA,NA,-55.625,NA,NA,NA,NA
59174,-2.31069,4.18696,-4.022,NA,NA,NA,NA,NA,-82.206,NA,NA
59237,-2.33394,3.8755,-4.91253,NA,NA,-113.358,NA,NA,NA,NA,NA
59592,-2.26054,4.50901,-4.64479,NA,NA,NA,NA,NA,-75.348,NA,NA
59743,-2.10814,4.82686,-3.40683,NA,NA,NA,NA,NA,-121.588,NA,NA
59929,-1.47744,4.38097,-3.22607,NA,NA,NA,NA,NA,NA,-162.351,NA
60170,-2.05975,3.3889,-3.83549,NA,NA,NA,-60.651,NA,NA,NA,NA
