id,x0,x1,x2,fitness6.5,fitness8,fitness4,fitness3.5,fitness2.5,fitness1.5,fitness1,fitness3,fitness5,fitness4.5,fitness0.5,fitness2,fitness5.5,fitness7.5,fitness9.5,fitness9,fitness10,fitness8.5,fitness7,fitness6,fitness10.5
2497,7.42858,10.1787,7.93171,NA,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,7.33571,8.69099,8.33746,NA,NA,NA,NA,NA,NA,NA,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2890,9.09616,7.90474,8.42938,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3068,8.73027,7.63635,7.97443,NA,NA,NA,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3350,9.36636,8.43175,8.53314,NA,NA,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3440,9.61778,8.87357,7.90847,NA,NA,NA,NA,NA,NA,NA,-0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3653,10.5,8.65161,7.57859,NA,NA,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3866,9.28582,7.27569,6.90239,NA,NA,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4154,8.47781,8.43387,6.72564,NA,NA,NA,NA,NA,NA,NA,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4395,8.50743,6.82449,7.94123,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4434,7.76105,7.69935,8.1993,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4635,7.27179,7.9684,8.34152,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4996,7.98148,8.34402,8.45032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050,6.80406,8.79928,9.95944,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5225,6.3233,7.69015,8.01619,NA,NA,NA,NA,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5559,5.29994,6.84836,8.1694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5759,5.84548,5.63507,8.07309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5868,6.38545,6.78351,7.59574,NA,NA,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6114,7.29558,7.22254,7.4015,NA,NA,NA,NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6377,7.4838,5.98027,6.92988,NA,NA,NA,NA,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6509,8.16747,5.42481,6.87417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6604,7.28632,7.90713,8.42874,NA,NA,NA,NA,NA,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6838,7.00847,7.18451,7.19688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA
7096,7.63273,7.1314,7.29879,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7315,7.95486,7.98581,6.04817,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7481,7.38924,8.70697,6.39857,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7710,7.17531,7.8743,6.64727,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7904,7.09025,7.28542,8.62895,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8182,7.27696,7.5642,8.39191,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8236,7.93115,7.61196,7.95278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA
8524,8.29084,8.17333,9.36237,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8700,8.73149,7.61469,9.31359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,NA,NA,NA,NA
8870,8.24023,8.00678,7.9898,NA,NA,NA,NA,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9078,8.86585,7.82975,6.64299,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9249,8.22375,8.09277,6.18026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA
9556,7.86011,8.89235,5.79464,NA,NA,NA,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9784,8.01802,8.38619,4.64256,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9920,8.77927,7.14081,4.93946,NA,NA,NA,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10179,10.5,8.0018,3.96204,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10354,8.95542,8.4399,4.09293,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10540,9.02748,6.90515,2.51018,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10756,6.91798,7.32713,1.88499,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10889,4.36509,7.87817,3.93208,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11186,2.72265,7.67423,3.60213,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11393,3.87179,8.25907,2.57041,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11564,4.01926,8.25793,4.29921,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11601,4.22209,6.88131,4.4702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282,NA,NA,NA,NA,NA,NA,NA,NA
11906,3.40841,7.42233,4.37789,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12162,5.98818,8.08326,4.72398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283,NA,NA,NA,NA,NA,NA,NA
12249,7.15048,7.2727,4.44439,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12588,7.88107,7.63551,3.56368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,NA,NA,NA,NA,NA,NA,NA
12727,7.68774,6.30987,3.79072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236,NA,NA,NA,NA,NA,NA
12920,8.38516,7.75697,4.96186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408,NA,NA,NA,NA,NA
13010,7.78454,7.96302,4.55912,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13352,7.81014,8.29683,2.77565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA
13522,6.56042,8.58968,4.06356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA
13750,6.26944,8.613,2.11328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005,NA,NA,NA,NA
13993,5.28782,8.0388,2.34686,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14129,6.57713,8.21718,3.9172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA
14210,7.132,8.95179,4.30693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,NA,NA,NA,NA
14446,7.00436,8.99267,3.77611,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14747,8.22262,7.1456,5.14652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA
14962,8.91151,8.66021,6.65681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279,NA,NA,NA
15140,7.14824,9.17232,7.16931,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15382,6.38715,8.62167,8.31149,NA,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15466,6.1404,7.97625,8.31268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
15700,5.65202,7.37112,7.83734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407,NA,NA
15837,5.71581,6.61423,6.60237,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16093,5.96144,8.24624,7.12051,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16296,7.10864,7.70141,7.72557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA,NA
16401,7.4298,7.53838,7.79475,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16752,6.94524,8.74676,8.47244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597,NA,NA,NA,NA,NA,NA,NA
16943,7.67937,7.19732,8.01468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855,NA,NA
17041,7.989,7.68167,7.26736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
17301,7.25967,8.4356,5.2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA
17438,6.41712,7.89433,3.98843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612,NA,NA
17642,6.37116,7.25073,3.50427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272,NA,NA
17982,7.7788,7.18393,3.8528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA
18145,8.19339,8.09214,3.91816,NA,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18245,7.82973,7.46969,3.55014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689,NA,NA,NA
18452,7.29341,8.3249,4.11524,NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18737,7.39026,7.45697,4.83156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA
18912,6.82573,8.13233,3.85749,NA,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19038,6.19658,7.005,4.49617,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19227,5.74611,8.00057,5.51775,NA,-0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19508,6.70195,7.34439,5.1424,NA,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19610,8.92836,6.93701,4.30617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA
19904,7.5412,5.76867,5.14664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
20149,7.53455,7.48146,5.27227,NA,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20284,7.35653,5.96956,3.97091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA
20539,8.97596,6.89127,3.5959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311,NA,NA,NA
20671,8.45866,4.48675,3.48951,NA,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20882,7.92131,4.98234,4.04996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA
21088,7.90615,4.65765,5.71406,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21305,6.30576,6.10278,3.42965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.095,NA,NA,NA,NA,NA,NA,NA
21478,7.13528,7.01733,4.09497,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21643,6.76438,6.93807,4.89783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
21904,7.31652,7.61666,3.76845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA
22174,8.25056,6.82475,4.28294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA
22208,7.21966,5.91442,4.27823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA
22577,7.22969,4.25329,3.93191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA
22743,7.2367,3.98395,4.28877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA
22873,8.88357,4.41644,3.07132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.018,NA,NA,NA,NA,NA
23114,8.42394,4.95642,2.64604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189,NA,NA,NA
23361,9.43223,3.92458,2.93561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011,NA,NA
23594,8.86338,6.39007,2.72723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,NA,NA
23794,9.79138,6.82884,3.51788,NA,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23971,9.41186,6.75065,4.47797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA
24092,8.34994,7.06469,4.8678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466,NA,NA
24299,7.22886,4.63084,4.00536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474,NA,NA,NA,NA,NA
24455,6.8858,6.74816,3.64297,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24603,8.13912,6.48376,3.50797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301,NA,NA,NA
24947,7.88628,6.49407,3.92755,NA,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25002,8.1035,6.59747,2.67116,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25265,8.04406,6.71861,4.50043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA
25439,7.31873,8.60481,3.90236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA
25657,7.6881,7.88926,5.86728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA
25840,6.59279,8.05103,4.87854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA
26057,7.14283,8.07542,6.80524,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26321,7.51946,7.87485,7.85233,NA,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26499,5.09543,8.69412,8.39549,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26653,6.60313,7.04374,7.78064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA
26849,6.34942,6.73593,8.40664,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27182,7.75209,6.1368,9.62851,-0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27333,8.37554,7.4049,9.15864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,NA,NA
27543,8.60061,8.5099,9.36603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.064,NA
27756,8.15958,7.72819,9.21816,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27871,7.52284,7.13382,8.46347,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28127,6.88532,9.31849,8.93575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
28400,6.08976,8.71946,8.73914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA
28408,4.14239,7.91111,8.015,NA,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28601,4.08404,8.51263,7.61921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,NA,NA,NA,NA,NA
28819,3.57774,8.41598,7.77731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648,NA,NA
29137,2.27722,8.1036,7.40987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876,NA,NA,NA
29287,2.0199,8.12559,6.83174,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29459,2.83905,8.18843,7.78641,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29736,2.47728,7.77282,7.6113,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29876,2.7886,7.64342,7.68928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417,NA,NA,NA
30097,3.6164,7.60413,7.64404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,NA,NA,NA,NA
30299,3.51527,6.97112,8.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291,NA,NA,NA,NA,NA,NA
30567,3.45882,6.62681,7.60812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472,NA,NA,NA,NA,NA,NA,NA
30752,2.70639,8.29843,6.80537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA
30822,4.51163,8.85228,7.03282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA
31014,5.3184,8.84325,7.30143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216,NA,NA,NA
31372,5.30337,6.79274,7.07888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284,NA,NA,NA,NA,NA,NA,NA
31587,6.37606,6.31766,8.75211,-0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31715,6.6786,7.99845,9.21536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,NA,NA
31978,7.34611,7.50196,6.70086,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32107,7.52386,7.20451,6.35154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,NA,NA
32382,7.12807,8.40818,5.15339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA
32466,7.42802,6.73408,5.19646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA
32677,6.81828,6.65686,3.78951,NA,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32982,6.36126,6.66313,4.39911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,NA
33120,5.4702,7.81091,4.53903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101
33275,4.01551,8.62508,6.44918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049
