id,x0,x1,x2,fitness-3.5,fitness-4.5,fitness-5,fitness-2.5,fitness-3,fitness-1,fitness-1.5,fitness-0.5,fitness-2,fitness-4,fitness0.5,fitness0,fitness1.5,fitness1,fitness3,fitness2.5,fitness2,fitness3.5,fitness4,fitness5,fitness4.5
2340,1.68813,0.365134,-3.83501,NA,NA,36.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2555,2.36627,1.05958,-3.17141,NA,NA,3.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765,3.06724,0.140814,-1.88022,6.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2812,3.50827,0.259046,-1.28468,NA,NA,NA,-24.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3059,4.10265,-0.530771,-2.03508,NA,NA,NA,12.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3343,3.94622,-0.893546,-2.88944,NA,NA,NA,NA,107.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3475,3.42601,-0.122803,-2.61469,NA,NA,NA,113.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3765,4.34349,0.364527,-2.44166,NA,NA,NA,NA,244.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3912,4.43248,-0.363149,-1.66911,NA,NA,NA,NA,NA,659.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4172,5,-0.759549,-1.30566,NA,NA,NA,NA,NA,NA,11714.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4322,5,-0.687156,-1.88752,NA,NA,NA,NA,NA,NA,NA,6107.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4450,5,-0.195499,-1.58896,NA,NA,NA,NA,NA,7005.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4701,4.5885,-0.290162,0.10765,NA,NA,NA,NA,NA,159.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4878,5,0.235073,-0.864387,NA,NA,NA,NA,1061.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5135,5,1.17793,0.0525576,NA,NA,NA,43.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5267,4.2743,1.83915,-0.370069,NA,NA,NA,263.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5482,5,3.29032,0.25332,NA,NA,NA,NA,NA,NA,NA,NA,441.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5799,5,1.64211,-0.185809,NA,NA,NA,NA,NA,NA,NA,NA,434.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5802,5,-0.126435,0.260558,NA,567.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6182,5,-2.06677,0.208436,NA,NA,NA,NA,NA,NA,NA,NA,NA,377.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6300,5,-2.31245,-1.09103,NA,NA,NA,NA,NA,NA,NA,NA,-17.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6415,3.86301,-2.64014,-0.860589,NA,NA,NA,NA,NA,NA,474.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6789,5,-3.24361,-3.76405,NA,NA,NA,NA,NA,NA,NA,NA,6.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6958,5,-2.444,-3.69601,NA,NA,NA,NA,59.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7119,4.54994,-2.1578,-4.76083,NA,NA,NA,NA,17.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7321,5,-1.42889,-5,734.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7577,4.77717,0.433419,-5,NA,NA,NA,NA,326.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7677,5,-1.10709,-5,NA,NA,NA,NA,104.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7830,5,-2.35192,-3.51465,NA,NA,NA,NA,NA,NA,NA,NA,94.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8032,4.95611,-3.77574,-3.90802,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8206,4.30221,-3.37614,-4.41708,43.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8412,3.99757,-2.28218,-4.13401,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8602,4.28996,-2.27982,-3.00638,NA,NA,NA,24.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9000,2.82826,-3.31043,-3.31361,NA,NA,NA,NA,NA,NA,NA,NA,3.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9180,3.09423,-3.07125,-3.18506,NA,NA,NA,NA,-19.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9216,2.87232,-1.95388,-3.00683,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9534,2.02204,-2.06676,-2.81869,-3.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9656,0.842451,-1.74315,-1.00628,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9945,-0.0243731,-2.82485,-1.19003,NA,NA,-111.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10047,-1.60165,-3.77398,0.553912,NA,NA,8.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10330,-2.04682,-4.20502,1.0874,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10514,-2.09827,-2.58027,2.34708,NA,NA,135.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10604,-2.3211,-0.256602,2.83261,NA,NA,45.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10842,-3.19297,0.416268,3.5454,NA,NA,4.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11053,-1.72054,0.761175,3.56343,NA,NA,18.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11236,-0.882599,1.22978,4.31589,326.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11558,-1.17155,2.90517,5,NA,NA,NA,-31.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11646,-1.81579,3.94762,4.56604,NA,NA,NA,NA,-21.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11872,-0.337163,5,5,NA,NA,NA,NA,1775.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12067,0.811397,5,4.80789,NA,NA,NA,NA,1609.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12318,1.76404,4.90861,5,56.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12439,3.16291,4.02216,4.81467,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12622,2.35365,5,3.83265,NA,NA,-113.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12846,2.54211,4.46336,5,NA,NA,10.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13076,3.91995,3.85152,4.64373,NA,NA,107.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13366,4.39044,4.17325,5,NA,NA,646.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13451,4.11314,3.52466,4.79765,NA,NA,22.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13732,5,2.3068,3.23656,NA,NA,279.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13843,5,0.7998,1.98883,NA,NA,103.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14177,5,1.02618,1.37603,NA,NA,-95.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14271,4.68541,0.709361,1.69614,NA,NA,145.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14550,5,0.761465,0.991776,NA,NA,185.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14745,2.20696,1.43161,1.49801,NA,NA,-18.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14995,2.38846,0.851473,2.3235,NA,NA,75.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15111,3.90481,1.87875,2.69019,NA,2.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15256,2.38998,-1.13195,5,NA,11.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15534,2.30651,-0.571036,4.86329,NA,NA,728.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15751,4.95455,0.123213,4.48364,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15896,5,-0.893748,4.30455,NA,NA,2171.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16123,4.94133,0.147587,3.9792,NA,NA,-7.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16378,5,-1.68338,3.99986,NA,32.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16593,5,-0.531361,4.28351,NA,NA,NA,NA,NA,NA,NA,NA,NA,735.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16610,5,0.48504,4.08654,NA,NA,NA,NA,NA,NA,NA,NA,348.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16929,5,1.75975,5,NA,NA,NA,NA,NA,NA,NA,NA,1112.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17062,4.67441,-0.248368,5,NA,NA,NA,NA,NA,6406.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17318,4.41031,-0.278026,4.95059,NA,NA,NA,NA,NA,NA,2763.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17577,5,0.296542,2.69048,NA,NA,NA,NA,NA,NA,970.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17695,5,2.89994,1.62447,NA,NA,NA,NA,NA,NA,-194.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17916,5,2.98272,1.91128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18066,4.59105,2.45532,2.30909,NA,NA,NA,NA,NA,NA,NA,-109.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18379,3.40429,2.53906,1.74732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.812,NA,NA,NA,NA,NA,NA,NA,NA,NA
18600,5,2.54692,3.58251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18709,5,2.21334,3.24194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18822,5,2.88725,3.79411,NA,NA,NA,NA,NA,NA,NA,NA,299.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19108,5,3.25553,3.61837,168.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19267,4.48088,3.57809,3.91711,NA,NA,NA,NA,NA,NA,NA,NA,-13.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19460,4.66005,3.09106,4.86858,NA,NA,NA,451.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19635,5,2.81778,5,NA,NA,NA,NA,NA,NA,NA,NA,1346.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19936,4.79418,4.19113,5,NA,NA,NA,NA,NA,NA,7709.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20147,5,4.47576,5,NA,NA,NA,299.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20207,4.95481,4.74296,5,NA,NA,NA,NA,NA,NA,NA,NA,7251.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20401,5,4.91847,5,NA,NA,NA,NA,NA,NA,NA,NA,6446.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20601,4.81748,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3424.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20886,4.29818,4.89062,5,NA,NA,NA,1995.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21148,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4904.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21201,5,4.33581,4.36123,NA,NA,NA,NA,NA,NA,NA,4052.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21583,5,3.91319,4.79769,NA,NA,NA,NA,NA,1850.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21731,4.63295,2.62247,3.96097,NA,NA,NA,NA,NA,NA,NA,-31.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21876,4.23593,1.93523,4.70208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-248.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
22040,5,2.1341,4.56274,NA,NA,NA,NA,NA,NA,NA,121.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22344,5,2.66572,1.72755,NA,NA,NA,NA,NA,NA,NA,331.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22465,5,2.9798,1.86068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.878,NA,NA,NA,NA,NA,NA,NA,NA
22730,5,2.92083,1.10429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22816,4.32718,4.0029,2.30445,NA,NA,NA,NA,NA,NA,NA,40.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23007,5,4.80909,1.04169,NA,NA,NA,NA,NA,624.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23304,5,5,2.29335,NA,NA,NA,NA,-60.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23599,3.58757,4.34238,2.96459,4.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23631,2.98419,5,2.88646,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23897,2.82682,5,3.9637,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24037,3.95109,4.44421,1.88461,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24219,4.37519,5,1.18411,NA,NA,251.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24564,4.71554,5,1.0316,NA,NA,312.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24681,4.99228,5,2.98998,NA,-106.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24835,4.53277,5,2.7449,NA,NA,NA,-80.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25184,4.38435,3.71968,3.19806,NA,NA,NA,17.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25297,5,4.53164,3.39281,NA,NA,NA,27.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25469,4.74182,4.59221,1.26323,NA,NA,NA,NA,-18.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25784,5,4.36638,-0.959011,NA,NA,NA,NA,1714.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25851,5,3.96041,-1.64403,NA,-96.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26019,3.38449,3.67099,-1.92224,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26365,4.36539,3.47462,0.114951,NA,NA,NA,NA,7.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26574,4.15497,4.59699,-0.9139,NA,NA,NA,NA,432.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26714,3.92423,3.03863,-0.997474,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26815,3.08461,3.22055,-2.36636,NA,-2.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27117,4.99336,4.05261,-4.21431,NA,NA,19.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27306,5,3.55158,-3.26067,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27417,4.22942,3.76782,-3.40451,111.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27747,4.11687,3.33806,-3.62397,NA,NA,62.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27909,4.84631,3.25923,-5,NA,NA,372.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28022,4.80278,4.30273,-3.17409,NA,NA,273.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28302,5,4.02953,-3.29496,NA,1.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28537,5,3.32405,-3.92128,NA,NA,258.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28704,5,3.61012,-3.99918,127.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28896,4.14436,3.1775,-4.76009,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29017,3.09465,2.76324,-5,NA,-0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29378,2.94343,0.493688,-5,NA,NA,NA,-0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29597,1.58278,1.80372,-5,NA,NA,NA,4.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29679,2.63772,1.83188,-4.7074,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29822,2.63046,2.90927,-5,NA,NA,NA,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30074,2.77884,2.64855,-3.96507,18.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30252,2.60969,1.97872,-4.39146,NA,NA,NA,NA,9.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30430,1.58443,1.65217,-3.92728,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30672,1.80959,3.19447,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30826,2.16219,2.66989,-5,NA,NA,29.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31133,2.72373,3.95271,-5,1.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31271,2.95345,2.95169,-5,-1.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31414,3.47024,3.50189,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31614,4.092,3.78781,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31869,1.54694,4.23931,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32050,1.97513,2.79281,-3.96649,NA,NA,NA,NA,-16.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32268,2.75434,3.32815,-1.99084,NA,NA,NA,-116.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32469,4.08466,1.39568,-1.00989,NA,NA,NA,NA,NA,NA,671.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32608,3.53292,2.16016,-1.39331,NA,NA,NA,NA,-0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32920,3.38108,1.80875,-2.30224,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33187,4.54277,3.29596,-2.77731,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33350,5,4.65986,-2.14143,NA,359.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33562,4.33623,5,-4.00558,NA,NA,457.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
