id,x0,x1,x2,fitness1.5,fitness4.5,fitness4,fitness5,fitness3.5,fitness3,fitness2,fitness2.5,fitness1,fitness0.5,fitness0,fitness-1.5,fitness-0.5,fitness-1,fitness-2,fitness-2.5,fitness-3,fitness-5,fitness-4.5,fitness-4,fitness-3.5
2562,-2.00011,-2.30168,3.62915,NA,30.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2691,-0.393298,-0.272778,3.32914,NA,NA,294.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2944,0.300154,-0.290865,4.56388,NA,NA,166.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3084,0.714101,-1.24921,3.62372,NA,244.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3283,0.616267,-2.13033,3.45386,NA,NA,NA,NA,22.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3440,1.67612,-3.40029,3.12404,NA,NA,28.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3629,2.15258,-3.70101,3.46522,NA,-4.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3936,0.177377,-3.40844,1.92625,NA,NA,NA,87.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4020,-0.936694,-4.90451,2.31823,NA,NA,NA,1154.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4397,0.401034,-3.99859,2.75953,NA,-234.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4551,-1.35243,-2.71854,0.965759,NA,NA,99.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4690,-2.95175,-1.35373,1.27193,NA,NA,-242.549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4838,-4.97565,-2.08811,1.55083,NA,NA,NA,NA,-7.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5186,-4.42691,0.320466,1.6286,NA,NA,NA,NA,NA,-13.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5363,-3.33653,0.452511,1.87757,NA,NA,NA,100.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5521,-3.33446,1.67022,-0.236973,NA,95.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5680,-4.18575,1.2197,-1.80308,NA,NA,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5971,-2.29403,1.26039,-1.37315,NA,NA,-6.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6157,-1.55427,0.876212,-2.82983,NA,NA,NA,766.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6364,-0.833477,0.8271,-2.8196,NA,155.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6595,-1.58696,1.00826,-2.81137,NA,NA,NA,253.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6741,-1.60129,-0.158884,-1.71749,NA,1142.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6801,-1.8155,-2.30541,-1.77037,NA,-0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7140,-1.09165,-2.71853,-1.55133,NA,NA,NA,208.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7204,0.856185,-2.50546,-1.09119,NA,NA,NA,NA,64.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7500,1.82767,-2.59731,-2.4712,NA,NA,NA,NA,NA,NA,32.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7776,0.540978,-0.791349,-2.94751,NA,NA,NA,NA,NA,-36.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7984,0.714385,-0.700544,-1.80828,NA,NA,NA,NA,NA,NA,NA,130.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022,1.12209,-1.35971,-3.12478,NA,-35.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8279,-0.38295,-3.08481,-4.08259,NA,NA,155.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8579,0.928413,-2.52395,-4.92557,NA,NA,NA,NA,NA,79.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8722,0.319307,-2.67457,-4.46271,NA,NA,NA,NA,NA,NA,NA,NA,-39.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8886,-0.115407,-2.70276,-2.82787,-3.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9091,1.6157,-2.2435,-4.37487,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9374,2.48996,-2.78035,-3.96432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9472,3.26905,-3.13091,-2.11463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490.316,NA,NA,NA,NA,NA,NA,NA,NA,NA
9717,1.60449,-3.41965,0.00401452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.699,NA,NA,NA,NA,NA,NA,NA,NA
9998,2.43535,-2.65945,-2.00309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10168,1.51877,-2.31242,-2.81472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.33,NA,NA,NA,NA,NA,NA,NA
10204,0.673777,-2.67068,-4.13847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.836,NA,NA,NA,NA,NA,NA,NA,NA
10480,2.89355,-1.07732,-2.80678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.406,NA,NA,NA,NA,NA,NA,NA
10684,2.63909,-0.366587,-2.47593,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10908,-0.830798,0.444208,-1.32558,NA,NA,NA,NA,NA,NA,NA,NA,NA,1771.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11120,-1.64897,-0.054847,-1.50795,1248.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11214,-3.1719,1.05011,-1.64492,NA,NA,NA,NA,NA,NA,NA,NA,35.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11486,-2.71105,-0.84673,-2.74563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.024,NA,NA,NA,NA,NA,NA,NA,NA
11729,-1.7216,-0.114721,-3.43918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.49,NA,NA,NA,NA,NA,NA,NA,NA
11836,-3.45166,1.76818,-3.38968,NA,NA,NA,NA,NA,NA,NA,NA,1.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12141,-3.35586,1.83433,-2.35507,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12392,-2.03138,0.54552,-1.32515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.932,NA,NA,NA,NA,NA,NA,NA,NA
12512,-2.10878,0.69472,-2.67491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.797,NA,NA,NA,NA,NA,NA
12724,-1.0465,-0.437493,-3.37353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.384,NA,NA,NA,NA,NA,NA,NA,NA
12831,-2.27452,-0.650788,-4.57135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.878,NA,NA,NA,NA,NA,NA,NA
13017,-3.41168,-1.89746,-4.74399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13251,-3.11126,-2.83433,-4.6764,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13530,-3.13046,-4.27913,-4.0347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.147,NA,NA,NA,NA,NA,NA,NA
13627,-2.61205,-4.93059,-4.66643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
13880,-4.31093,-4.44433,-4.81206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.311,NA,NA,NA,NA,NA
14176,-2.44246,-3.38161,-4.02559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.25,NA,NA,NA,NA
14379,-4.02484,-4.93771,-3.46394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.302,NA,NA,NA
14497,-4.16407,-4.14297,-3.26368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812,NA,NA
14751,-3.89301,-3.27206,-4.51486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,NA,NA
14944,-3.87063,-2.41173,-4.10268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.275,NA
15174,-4.01087,-1.81712,-2.9254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.908,NA,NA,NA,NA,NA
15266,-4.24307,-0.99575,-3.69185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.131,NA,NA,NA,NA,NA
15474,-4.78439,-0.860585,-3.30048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.237,NA,NA,NA,NA
15685,-3.03594,-0.973103,-3.78802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15806,-3.87237,-1.08668,-3.91692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16078,-2.70446,-2.64379,-4.11064,NA,NA,NA,NA,NA,NA,NA,NA,18.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16354,-2.75368,-3.67563,-4.92004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16497,-3.06703,-4.04182,-4.0152,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16610,-3.50353,-3.75577,-4.65719,NA,NA,NA,NA,NA,NA,NA,NA,3.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16933,-3.25864,-4.01006,-4.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17169,-2.85432,-3.76502,-4.8641,NA,NA,NA,NA,NA,NA,NA,NA,-7.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17278,-3.58398,-2.69596,-4.51946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.273,NA,NA,NA,NA,NA,NA,NA
17517,-4.4156,-2.40592,-4.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.384,NA,NA,NA,NA,NA,NA
17707,-4.17316,-0.818718,-4.68827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52,NA,NA,NA,NA
17970,-2.50674,-0.455339,-2.87445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.705,NA,NA,NA,NA
18174,-1.83645,0.387051,-4.18974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.583,NA,NA
18234,-1.84565,0.925113,-4.63127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.894,NA,NA
18419,-1.32295,0.65653,-4.58214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.75,NA,NA,NA
18693,-1.12258,1.62696,-4.49537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,NA
18934,-1.62182,0.824524,-4.31045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.12,NA,NA,NA,NA,NA
19171,-1.61553,-0.827716,-4.22889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.395,NA,NA,NA,NA,NA,NA,NA
19387,-2.78208,0.429333,-4.37842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.711,NA,NA,NA,NA,NA,NA,NA,NA
19460,-1.10919,1.00598,-4.8457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.944,NA,NA,NA,NA,NA,NA,NA,NA
19751,-1.75133,0.488118,-4.62352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.722,NA,NA,NA,NA,NA,NA,NA
19833,-2.74186,-1.39337,-3.34168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.629,NA,NA,NA,NA,NA,NA
20036,-4.04237,-2.73,-4.99581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
20240,-1.89636,-1.42002,-4.60895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20456,-2.93544,-1.94931,-3.59999,NA,NA,NA,NA,NA,NA,NA,NA,11.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20765,-3.56253,-1.26456,-4.44799,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20909,-4.18281,-0.59663,-4.86959,NA,NA,NA,NA,NA,NA,NA,NA,67.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21049,-3.20552,-2.03855,-4.87445,-5.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21284,-3.07497,-4.01877,-4.24725,NA,NA,-5.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21592,-4.3102,-4.08001,-3.43285,NA,21.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21693,-3.09914,-4.75106,-3.48121,NA,NA,7.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21805,-3.94203,-4.88242,-4.13848,NA,NA,42.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22013,-3.50565,-4.07287,-4.90694,NA,NA,NA,NA,NA,NA,NA,52.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22313,-3.72472,-4.19836,-4.04752,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22539,-3.34207,-3.23836,-4.81549,NA,NA,NA,NA,NA,NA,-2.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22735,-3.1171,-3.90548,-3.48527,8.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22947,-4.22108,-3.95065,-3.00264,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23133,-3.47461,-3.69466,-2.70989,NA,NA,NA,NA,NA,NA,-2.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23219,-3.46289,-3.52729,-3.2496,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23445,-3.96104,-3.44886,-4.37318,NA,NA,NA,NA,NA,NA,NA,1.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23734,-3.82729,-3.38499,-2.66326,NA,NA,NA,NA,NA,NA,NA,-3.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23847,-4.09735,-3.46755,-2.5719,NA,NA,NA,NA,NA,48.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24198,-3.13942,-2.31655,-2.33448,NA,NA,NA,NA,NA,NA,NA,NA,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24243,-3.04343,-1.15896,-3.91695,NA,NA,NA,NA,NA,NA,-64.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24518,-2.89154,-2.19538,-4.48211,NA,NA,NA,NA,NA,-52.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24690,-2.96957,-2.04712,-4.89304,NA,NA,NA,NA,NA,93.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24853,-1.23486,-2.54029,-4.67228,NA,NA,NA,NA,NA,8.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25117,-1.20724,-2.96731,-4.63987,NA,NA,NA,NA,NA,NA,NA,15.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25293,1.0756,-2.48869,-3.15905,NA,NA,-5.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25487,1.16842,-1.85889,-2.98107,NA,NA,NA,251.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25604,2.64253,-3.03068,-3.0526,NA,114.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25859,1.53129,-3.8668,-1.84955,NA,NA,NA,58.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26093,2.71071,-3.6499,-0.277748,NA,NA,72.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26227,1.95873,-2.77678,-0.450958,NA,NA,NA,3.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26509,3.27815,-3.75705,-0.939562,NA,56.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26779,3.1692,-4.81994,-1.94431,NA,NA,102.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26966,4.40204,-4.95997,-3.63342,NA,NA,NA,NA,73.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27117,3.93964,-3.40621,-3.85309,NA,NA,NA,NA,NA,NA,NA,-16.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27229,4.7324,-3.24916,-3.98455,NA,NA,NA,NA,NA,NA,NA,38.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27522,4.48665,-1.38354,-4.34564,NA,NA,NA,NA,NA,NA,NA,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27666,4.71122,-2.18624,-4.29525,-5.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27919,4.61305,-1.51368,-4.34612,314.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28126,3.79513,-2.05061,-3.96262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.734,NA,NA,NA,NA,NA,NA,NA,NA
28347,3.87664,-1.17508,-3.98617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.702,NA,NA,NA,NA,NA,NA
28536,4.62091,-0.852711,-3.44557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.304,NA,NA,NA,NA,NA
28684,4.95742,-0.793433,-3.53373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3202.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
28801,4.24145,-1.12522,-4.02867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.786,NA,NA,NA,NA,NA,NA,NA,NA
29042,4.68902,-0.382611,-3.72402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.625,NA,NA,NA,NA,NA,NA,NA
29352,4.7503,-0.270198,-1.87609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.31,NA,NA,NA,NA,NA,NA,NA,NA
29496,3.3551,1.67266,-3.54079,NA,NA,NA,NA,NA,NA,NA,NA,53.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29672,3.52962,0.565808,-3.04208,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29944,4.59688,-0.133688,-1.78123,NA,NA,NA,NA,NA,NA,-0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30101,4.52379,0.557247,-2.35371,NA,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30341,4.27139,1.07525,-0.59365,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30589,4.47731,1.04672,0.554913,-0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30663,4.48766,0.593161,1.31632,NA,NA,NA,NA,NA,NA,NA,NA,-4.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30870,4.3483,0.0556513,1.97533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.985,NA,NA,NA,NA,NA,NA,NA,NA
31189,2.51565,1.11063,1.74391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.329,NA,NA,NA,NA,NA,NA,NA
31309,4.78775,-1.47477,3.68505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.082,NA,NA,NA,NA,NA,NA
31597,4.4737,-1.60467,3.49085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.685,NA,NA,NA,NA,NA,NA,NA,NA
31748,4.59959,-1.77916,4.16677,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31807,4.4746,-3.01572,4.43296,NA,NA,NA,NA,NA,NA,44.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32188,3.93638,-3.19229,4.5956,NA,NA,NA,NA,NA,NA,NA,NA,21.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32315,2.92624,-2.78561,3.53202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
