id,x0,x1,x2,fitness6.5,fitness7,fitness7.5,fitness8,fitness8.5,fitness9
13783,7.00635,7.08855,7.26147,NA,NA,NA,NA,0.634,NA
13867,7.60807,8.02389,7.23988,NA,NA,0.923,NA,NA,NA
14039,7.16719,7.01185,7.96586,NA,NA,NA,0.78,NA,NA
14234,7.82853,7.59039,7.57437,NA,NA,0.968,NA,NA,NA
14517,7.25293,7.48398,7.54226,NA,NA,NA,0.914,NA,NA
14777,6.57637,7.72446,8.01911,NA,NA,0.705,NA,NA,NA
14846,7.57069,7.18834,8.42089,NA,0.719,NA,NA,NA,NA
15111,7.79249,7.46286,7.7602,NA,0.856,NA,NA,NA,NA
15209,8.8559,7.50903,8.31259,NA,NA,NA,NA,0.641,NA
15525,7.87206,7.62539,7.77708,NA,0.918,NA,NA,NA,NA
15660,7.18143,7.54722,7.92257,NA,NA,0.924,NA,NA,NA
15845,7.37649,8.7361,8.03403,NA,NA,NA,NA,0.625,NA
16120,7.66068,8.13206,7.69505,NA,NA,0.953,NA,NA,NA
16332,8.21372,7.89486,7.85424,NA,NA,0.903,NA,NA,NA
16446,6.85791,7.73837,7.67426,NA,NA,NA,0.838,NA,NA
16730,7.52289,7.29596,8.11797,NA,NA,NA,0.923,NA,NA
16996,8.02239,7.51268,7.6811,NA,NA,0.968,NA,NA,NA
17044,7.20301,7.85598,7.71107,NA,NA,0.913,NA,NA,NA
17342,7.37333,7.67322,8.32619,NA,NA,0.898,NA,NA,NA
17552,7.28995,7.93296,7.4426,NA,NA,NA,0.935,NA,NA
17731,7.49386,8.28938,7.90467,NA,NA,0.911,NA,NA,NA
17869,7.69759,7.12628,8.41863,NA,NA,0.811,NA,NA,NA
18128,7.88542,8.20074,7.98465,NA,NA,NA,0.918,NA,NA
18397,7.81733,8.10736,8.03991,NA,NA,NA,0.917,NA,NA
18556,7.38974,8.38739,7.78139,NA,NA,0.891,NA,NA,NA
18712,7.52294,8.41051,7.50381,NA,NA,0.864,NA,NA,NA
18888,8.09501,8.06413,7.57803,NA,NA,NA,0.91,NA,NA
19066,8.43039,7.30955,7.67878,NA,NA,NA,0.864,NA,NA
19230,8.04097,7.22222,6.97643,NA,NA,NA,0.812,NA,NA
19434,7.27337,8.06571,7.45735,NA,NA,0.914,NA,NA,NA
19718,7.283,7.42486,8.0784,NA,NA,0.917,NA,NA,NA
19917,7.551,7.12232,7.78808,NA,NA,0.919,NA,NA,NA
20045,7.81505,8.0423,8.39456,NA,NA,0.889,NA,NA,NA
20205,7.55997,8.04189,8.03062,NA,0.905,NA,NA,NA,NA
20530,7.33991,7.79653,7.89014,NA,NA,NA,NA,0.904,NA
20798,7.40375,7.93303,7.65423,NA,NA,NA,NA,0.874,NA
20824,7.12037,7.95728,8.48364,NA,NA,NA,0.793,NA,NA
21112,7.22657,7.98834,8.10886,NA,NA,NA,0.866,NA,NA
21332,7.01821,7.6387,7.44255,NA,NA,0.882,NA,NA,NA
21597,7.76414,7.93019,6.90037,NA,NA,NA,0.829,NA,NA
21652,7.94562,7.58568,8.05282,NA,0.837,NA,NA,NA,NA
21945,8.10727,7.96939,7.94379,NA,NA,NA,0.934,NA,NA
22026,7.9937,7.99903,8.97455,NA,NA,NA,0.72,NA,NA
22372,8.24255,7.93565,8.01761,NA,NA,NA,0.881,NA,NA
22469,7.97153,7.8186,7.91798,NA,NA,NA,0.922,NA,NA
22645,7.83308,7.73182,8.17004,NA,NA,NA,0.925,NA,NA
22846,7.69945,8.12621,8.02333,NA,NA,0.93,NA,NA,NA
23086,7.36615,8.26331,7.46719,NA,NA,0.904,NA,NA,NA
23329,8.33826,7.35515,7.91567,NA,NA,NA,NA,0.75,NA
23505,7.23562,7.96814,7.64034,NA,NA,NA,NA,0.834,NA
23613,7.91735,8.21762,7.25977,NA,NA,NA,NA,0.834,NA
23873,8.38682,7.39456,7.71459,NA,NA,NA,0.843,NA,NA
24011,8.17768,7.65763,7.66607,NA,NA,0.92,NA,NA,NA
24337,8.2252,7.19968,8.09629,NA,NA,NA,0.814,NA,NA
24553,7.90825,7.13785,7.45819,NA,NA,NA,0.9,NA,NA
24719,7.53609,7.98221,8.27376,NA,NA,0.883,NA,NA,NA
24968,7.84842,8.57192,7.59455,NA,NA,NA,0.816,NA,NA
25047,7.53587,8.68224,7.05514,NA,NA,NA,0.723,NA,NA
25349,7.20319,7.92644,7.96741,NA,NA,NA,0.886,NA,NA
25561,8.06714,8.31136,8.02181,NA,NA,0.879,NA,NA,NA
25629,8.09703,7.90363,7.48364,NA,NA,NA,0.905,NA,NA
25873,7.52516,7.13201,7.27728,NA,NA,NA,0.878,NA,NA
26005,7.07139,7.27239,7.26365,NA,NA,0.813,NA,NA,NA
26395,8.03064,7.98051,8.13233,NA,NA,NA,0.911,NA,NA
26558,7.2571,7.8053,8.31144,NA,NA,NA,0.833,NA,NA
26707,7.35027,8.32841,7.77458,NA,NA,NA,0.879,NA,NA
26924,7.98993,7.02493,8.42266,NA,NA,NA,0.784,NA,NA
27028,7.83388,6.72102,8.04069,NA,NA,NA,NA,0.688,NA
27293,7.5574,7.22768,7.72152,NA,NA,NA,NA,0.861,NA
27421,8.38392,7.8348,7.15298,NA,NA,NA,0.823,NA,NA
27607,8.07804,7.84386,6.64486,NA,NA,0.73,NA,NA,NA
27947,7.77625,7.43614,7.59982,NA,0.801,NA,NA,NA,NA
28185,7.45483,7.71625,7.12626,NA,0.856,NA,NA,NA,NA
28340,7.7724,7.79774,8.07533,NA,NA,NA,0.967,NA,NA
28558,7.66108,7.76128,7.7476,NA,NA,NA,0.985,NA,NA
28789,7.53816,7.62903,7.75218,NA,NA,NA,0.984,NA,NA
28826,6.94311,7.01257,7.57994,NA,0.675,NA,NA,NA,NA
29060,7.53547,7.72648,7.34435,NA,NA,NA,0.93,NA,NA
29258,7.67917,7.43359,8.39243,NA,0.785,NA,NA,NA,NA
29538,7.09407,7.80331,7.45045,NA,0.796,NA,NA,NA,NA
29616,7.47682,7.47005,7.72879,NA,NA,0.976,NA,NA,NA
29858,7.61695,7.6836,8.27337,NA,0.858,NA,NA,NA,NA
30128,7.76683,7.2656,8.24471,NA,NA,NA,0.901,NA,NA
30307,8.02281,7.7733,7.07263,NA,NA,0.869,NA,NA,NA
30507,8.16441,7.69633,7.60749,NA,0.847,NA,NA,NA,NA
30747,7.48126,7.56729,8.04796,NA,0.854,NA,NA,NA,NA
30850,8.11908,8.3358,7.80864,NA,NA,0.868,NA,NA,NA
31176,8.08439,8.15167,8.36851,NA,NA,NA,0.839,NA,NA
31335,8.28301,7.73893,8.92971,NA,NA,0.71,NA,NA,NA
31505,7.738,7.1973,8.91048,NA,NA,0.697,NA,NA,NA
31644,7.04967,7.8945,7.75332,NA,NA,NA,0.889,NA,NA
31938,7.61419,8.05574,7.67322,NA,NA,NA,0.934,NA,NA
32126,7.95811,8.28318,7.95732,NA,NA,NA,0.908,NA,NA
32310,7.65942,7.9174,7.78291,NA,NA,0.988,NA,NA,NA
32553,7.41743,7.85324,8.23826,NA,NA,NA,0.918,NA,NA
32755,8.23912,6.61284,7.96295,NA,NA,NA,NA,0.614,NA
32952,7.03972,7.36523,8.16255,NA,NA,NA,0.814,NA,NA
33109,7.49119,7.83615,7.07893,NA,NA,NA,NA,0.81,NA
33207,8.40861,7.61968,7.61127,NA,NA,0.898,NA,NA,NA
33528,7.91297,8.01978,8.30006,NA,0.745,NA,NA,NA,NA
33658,7.14634,7.60607,7.40199,NA,NA,NA,NA,0.846,NA
33914,7.65632,7.19287,8.24134,NA,NA,NA,0.867,NA,NA
34044,7.14575,7.86149,7.91603,NA,NA,NA,0.896,NA,NA
34371,8.11751,6.94345,7.38601,NA,NA,0.777,NA,NA,NA
34483,7.51829,7.56684,7.59297,NA,0.873,NA,NA,NA,NA
34623,7.35029,7.37263,7.05676,NA,0.748,NA,NA,NA,NA
34868,7.80563,7.40451,7.48994,NA,NA,NA,NA,0.889,NA
35090,7.81796,7.60719,7.02246,NA,NA,0.895,NA,NA,NA
35287,7.6746,7.81522,7.54299,NA,NA,NA,0.974,NA,NA
35510,8.03289,8.01916,7.87954,NA,NA,0.915,NA,NA,NA
35755,8.11614,8.62116,7.47228,NA,NA,0.813,NA,NA,NA
35805,7.46017,8.66217,8.04838,NA,NA,NA,0.767,NA,NA
36072,7.42578,7.12671,8.48715,NA,NA,NA,NA,NA,0.609
36337,8.16891,7.48119,7.61237,NA,NA,NA,0.898,NA,NA
36564,7.51863,8.51998,7.59054,NA,NA,NA,0.855,NA,NA
36651,8.24234,7.64406,7.86389,NA,NA,NA,NA,0.86,NA
36848,7.50067,8.72561,7.80089,NA,NA,0.805,NA,NA,NA
37039,7.39785,7.62914,8.16571,NA,NA,0.926,NA,NA,NA
37235,7.86411,7.32001,7.84808,NA,NA,NA,NA,0.899,NA
37577,7.27409,7.09364,7.90287,NA,0.71,NA,NA,NA,NA
37656,7.31078,7.09714,8.55352,NA,NA,NA,0.71,NA,NA
37867,7.21306,8.13508,7.95597,NA,NA,0.889,NA,NA,NA
38131,7.55899,7.51805,7.84859,NA,0.797,NA,NA,NA,NA
38377,8.70021,7.74246,7.72425,NA,NA,0.794,NA,NA,NA
38516,8.38493,7.32552,7.85566,NA,NA,0.877,NA,NA,NA
38693,7.97065,7.39296,7.8088,NA,0.912,NA,NA,NA,NA
38912,7.3435,7.46121,8.0691,NA,0.852,NA,NA,NA,NA
39026,7.6215,7.43281,8.15424,NA,NA,0.943,NA,NA,NA
39253,7.96241,8.19898,8.35389,NA,NA,NA,0.861,NA,NA
39587,7.74061,8.23783,8.80307,NA,NA,0.723,NA,NA,NA
39692,7.47491,8.51057,7.69898,NA,NA,0.875,NA,NA,NA
39964,7.15252,8.33651,7.76937,NA,NA,NA,0.833,NA,NA
40094,7.60808,7.70036,7.83516,NA,NA,NA,0.982,NA,NA
40216,7.92389,8.15388,7.91271,NA,NA,NA,0.911,NA,NA
40513,8.30918,7.65842,7.38265,NA,NA,NA,NA,0.792,NA
40609,7.68594,7.91534,7.42902,NA,NA,NA,0.955,NA,NA
40918,7.84974,8.58139,7.05106,NA,0.639,NA,NA,NA,NA
41187,7.76726,8.54684,7.51888,NA,NA,NA,0.863,NA,NA
41377,7.53806,7.82389,8.476,NA,NA,0.886,NA,NA,NA
41542,6.99147,7.90536,7.48728,NA,NA,NA,0.858,NA,NA
41617,7.44131,7.40616,7.67085,NA,0.858,NA,NA,NA,NA
41895,7.17585,7.78703,8.34872,NA,NA,NA,0.856,NA,NA
42144,7.06567,8.07692,7.75114,NA,NA,0.88,NA,NA,NA
42320,8.07307,7.34715,7.86061,NA,NA,0.938,NA,NA,NA
42586,8.0117,7.80249,7.49155,NA,NA,0.95,NA,NA,NA
42676,7.98098,7.10642,8.40118,NA,NA,0.819,NA,NA,NA
43000,7.94251,7.99566,7.81161,NA,NA,0.967,NA,NA,NA
43148,7.68475,8.05891,8.60324,NA,NA,NA,NA,0.773,NA
43354,7.43709,8.09102,7.80281,NA,NA,0.953,NA,NA,NA
43446,8.07607,7.94614,8.28138,NA,0.717,NA,NA,NA,NA
43692,7.4047,7.95613,7.82197,NA,NA,NA,0.928,NA,NA
43864,7.16284,7.78722,7.65657,NA,NA,NA,NA,NA,0.724
44193,6.91862,7.71511,7.94163,NA,NA,NA,NA,0.782,NA
44375,7.86872,7.86081,7.61192,NA,NA,NA,NA,0.923,NA
44463,7.60345,7.67741,8.20282,NA,NA,NA,0.946,NA,NA
44800,7.19099,8.07211,7.74817,NA,NA,0.878,NA,NA,NA
44877,7.70611,7.65899,8.234,NA,NA,0.924,NA,NA,NA
45021,8.14664,7.85648,8.14409,NA,NA,0.89,NA,NA,NA
45239,7.14504,7.83143,8.09855,NA,0.814,NA,NA,NA,NA
45529,7.52372,6.81073,8.0883,NA,NA,0.796,NA,NA,NA
45630,8.44579,8.16161,8.43411,NA,NA,0.762,NA,NA,NA
45855,7.52089,8.09728,7.88405,NA,NA,0.956,NA,NA,NA
46190,7.79619,7.18678,6.96226,NA,NA,0.822,NA,NA,NA
46242,6.69148,7.88756,7.4189,NA,NA,NA,0.751,NA,NA
46415,7.23169,6.95746,8.03727,NA,NA,0.809,NA,NA,NA
46648,8.05883,7.85348,7.94584,NA,NA,0.939,NA,NA,NA
46949,8.02886,8.17511,8.04708,NA,NA,0.913,NA,NA,NA
47007,7.84166,8.07505,8.38305,NA,NA,NA,0.848,NA,NA
47293,8.02442,7.75608,7.84317,NA,NA,NA,0.971,NA,NA
47565,7.8316,7.62016,7.43249,NA,NA,NA,NA,0.838,NA
47683,8.18617,7.97506,7.1846,NA,NA,NA,0.85,NA,NA
47944,8.33903,8.64674,7.28518,NA,NA,0.714,NA,NA,NA
48002,8.19798,7.69952,7.62679,NA,0.891,NA,NA,NA,NA
48266,8.23432,7.8765,7.85236,NA,NA,NA,NA,0.86,NA
48463,8.69121,7.68261,8.34019,NA,NA,0.749,NA,NA,NA
48650,8.53536,7.86143,8.35807,NA,NA,NA,0.778,NA,NA
48888,7.58599,7.75917,7.51827,NA,0.944,NA,NA,NA,NA
49133,6.99282,7.02043,7.73537,NA,0.74,NA,NA,NA,NA
49295,7.85267,7.09053,7.37857,NA,NA,NA,0.876,NA,NA
49565,7.87718,7.57996,8.73072,NA,NA,NA,0.818,NA,NA
49723,7.50532,7.66112,7.9761,NA,NA,NA,NA,0.811,NA
49915,7.73182,7.42871,7.63125,NA,NA,NA,NA,0.809,NA
50133,8.2535,7.55064,7.43345,NA,NA,NA,0.902,NA,NA
50354,7.72452,8.21785,8.05571,NA,NA,NA,0.919,NA,NA
50445,8.28506,7.94359,7.55024,NA,NA,NA,0.914,NA,NA
50707,7.20181,7.49489,7.64096,NA,NA,NA,NA,0.863,NA
50947,7.14018,8.35129,8.08405,NA,NA,NA,NA,0.696,NA
51170,7.62584,7.84447,6.67384,NA,NA,NA,0.738,NA,NA
51287,8.04738,7.56041,8.39404,NA,NA,NA,0.846,NA,NA
51453,7.26441,8.33871,8.24154,NA,NA,NA,0.816,NA,NA
51654,8.33515,8.16085,7.44994,NA,NA,0.867,NA,NA,NA
51959,8.12506,8.67047,7.54074,NA,NA,0.792,NA,NA,NA
52166,8.42398,8.17344,7.53174,NA,NA,NA,NA,0.79,NA
52269,7.64865,7.27506,8.41967,NA,NA,NA,0.863,NA,NA
52579,7.61604,7.73395,7.35546,NA,NA,NA,0.936,NA,NA
52751,7.41378,7.44392,8.37101,NA,NA,NA,0.885,NA,NA
52873,7.10183,8.7225,7.15727,NA,NA,NA,0.663,NA,NA
53149,7.72135,8.22393,7.51876,NA,NA,NA,0.912,NA,NA
53336,7.21018,8.24395,8.60066,NA,NA,0.718,NA,NA,NA
53567,7.72933,7.33987,8.12298,NA,NA,0.931,NA,NA,NA
53788,8.38428,7.23573,7.94061,NA,NA,NA,0.834,NA,NA
53843,7.89538,8.52005,8.10689,NA,NA,NA,0.795,NA,NA
54075,8.46071,6.99058,8.07555,NA,NA,0.758,NA,NA,NA
54227,8.52091,7.38783,7.78033,NA,NA,0.816,NA,NA,NA
54556,8.08699,8.10938,7.3352,NA,0.808,NA,NA,NA,NA
54664,7.42508,8.30096,7.60094,0.6,NA,NA,NA,NA,NA
54954,7.60198,8.10198,7.47415,NA,NA,0.945,NA,NA,NA
55195,7.97824,7.65252,8.0136,NA,NA,0.966,NA,NA,NA
55207,7.38197,8.43594,7.98841,NA,NA,NA,0.859,NA,NA
55494,8.40081,7.79778,7.19946,NA,NA,NA,0.848,NA,NA
55602,7.51119,8.51162,7.86664,NA,NA,0.862,NA,NA,NA
55905,7.82744,6.87304,8.43444,NA,NA,0.745,NA,NA,NA
56181,7.96332,7.14368,8.36698,NA,NA,NA,0.832,NA,NA
56349,8.36333,7.09932,7.96791,NA,NA,0.808,NA,NA,NA
56421,8.25227,8.02315,7.77475,NA,NA,NA,0.895,NA,NA
56715,7.56123,8.37745,8.56825,NA,NA,0.784,NA,NA,NA
56923,8.4012,8.40252,7.91029,NA,NA,NA,0.808,NA,NA
57047,7.85941,8.26558,7.8154,NA,NA,NA,0.921,NA,NA
57288,7.53408,7.89765,7.34449,0.627,NA,NA,NA,NA,NA
57537,6.99737,7.69588,7.4768,NA,NA,NA,0.874,NA,NA
57759,8.11342,7.63928,7.14047,NA,NA,NA,0.887,NA,NA
57938,7.49959,7.59526,6.95581,NA,NA,NA,0.857,NA,NA
58094,7.49336,7.74977,7.79815,NA,NA,NA,NA,NA,0.808
58369,8.12758,7.90018,8.13073,NA,NA,NA,NA,NA,0.704
58431,7.92203,8.07005,7.26119,NA,NA,0.907,NA,NA,NA
58755,7.33101,8.64875,8.06351,NA,NA,NA,0.789,NA,NA
58803,8.08212,7.88976,7.22521,NA,NA,0.911,NA,NA,NA
59120,7.92322,7.61476,8.15305,NA,NA,NA,0.91,NA,NA
59314,7.66995,6.81128,7.76289,NA,0.746,NA,NA,NA,NA
59536,7.69381,7.61545,7.71814,NA,NA,0.998,NA,NA,NA
59697,7.19429,7.61835,8.10093,NA,NA,NA,NA,0.777,NA
59922,7.20918,6.99051,7.80888,NA,NA,0.821,NA,NA,NA
60102,7.7481,8.02092,7.48506,NA,NA,NA,0.964,NA,NA
60219,7.12482,7.90722,7.73026,NA,NA,NA,NA,0.806,NA
60593,8.00977,7.60073,7.29083,NA,0.889,NA,NA,NA,NA
60709,8.54357,7.82244,7.37633,NA,NA,NA,0.815,NA,NA
60809,7.26196,8.22705,8.35664,NA,NA,0.804,NA,NA,NA
61085,8.36501,7.7644,8.52874,NA,NA,0.786,NA,NA,NA
61330,8.57843,7.54371,7.85797,NA,NA,0.855,NA,NA,NA
61421,7.59583,7.18121,7.4757,NA,NA,NA,NA,0.869,NA
61667,8.47541,7.60983,7.6672,NA,NA,NA,0.89,NA,NA
61911,7.93362,8.01785,6.91962,NA,NA,0.825,NA,NA,NA
62030,8.00417,7.07455,7.9267,NA,0.816,NA,NA,NA,NA
62258,8.24701,7.42484,7.91554,NA,NA,0.901,NA,NA,NA
62543,7.60293,7.32491,8.03631,NA,NA,0.911,NA,NA,NA
62745,8.63553,7.19118,8.41175,NA,NA,0.705,NA,NA,NA
62880,8.534,7.77166,6.98115,NA,NA,NA,0.737,NA,NA
63038,7.56967,6.82547,7.42259,NA,NA,0.816,NA,NA,NA
63233,7.94056,7.39961,8.20997,NA,NA,NA,0.868,NA,NA
63414,7.16345,7.45667,8.0282,NA,NA,NA,0.901,NA,NA
63723,8.00327,7.16568,7.3263,NA,NA,0.888,NA,NA,NA
63850,7.08375,7.35747,7.82676,NA,NA,NA,NA,0.831,NA
64026,7.7726,6.947,7.61452,NA,NA,NA,NA,0.807,NA
64395,7.61199,7.60722,8.15368,NA,NA,NA,0.956,NA,NA
64410,7.69012,7.94757,8.23403,NA,0.874,NA,NA,NA,NA
64657,7.24722,6.89704,7.7309,NA,NA,NA,0.78,NA,NA
64981,7.53401,7.06184,8.35392,NA,NA,NA,0.82,NA,NA
65169,7.96913,7.35686,7.41421,NA,NA,NA,0.931,NA,NA
65259,7.77791,7.36748,7.42125,NA,NA,0.948,NA,NA,NA
65549,7.84857,7.23704,7.83655,NA,0.776,NA,NA,NA,NA
65622,7.36476,8.03827,7.1567,NA,NA,NA,0.887,NA,NA
65936,7.39565,7.27257,7.31839,NA,NA,NA,0.857,NA,NA
66044,8.0728,8.24231,7.22116,NA,NA,NA,0.849,NA,NA
66335,7.96776,7.50679,6.56752,NA,NA,NA,NA,0.643,NA
66418,7.54528,7.76675,7.14871,NA,0.873,NA,NA,NA,NA
66691,7.51447,8.31332,7.45622,NA,NA,0.909,NA,NA,NA
66827,8.23702,7.16884,8.14633,NA,NA,0.84,NA,NA,NA
67024,8.68802,7.89479,8.22836,NA,0.64,NA,NA,NA,NA
67300,8.13341,7.72696,8.06393,NA,NA,0.937,NA,NA,NA
67568,7.86988,8.01005,8.03457,NA,NA,NA,NA,0.895,NA
67715,7.46748,8.11513,7.90187,NA,NA,0.946,NA,NA,NA
67841,8.6758,7.51058,7.8017,NA,NA,NA,0.819,NA,NA
68192,8.59078,7.1701,8.36076,NA,NA,NA,0.703,NA,NA
68383,7.57856,7.27537,7.61859,NA,NA,NA,0.947,NA,NA
68559,7.38763,7.38428,7.44552,NA,NA,NA,0.905,NA,NA
68744,8.24178,7.84623,7.67447,NA,NA,0.934,NA,NA,NA
68813,7.47214,7.80394,7.63034,NA,NA,NA,0.976,NA,NA
69002,8.11842,7.90893,7.62613,NA,NA,NA,0.929,NA,NA
69279,8.56753,8.10286,7.17329,NA,0.711,NA,NA,NA,NA
69453,7.38636,7.87562,7.1192,NA,0.82,NA,NA,NA,NA
69794,7.04404,7.51584,7.23828,NA,NA,NA,0.844,NA,NA
69859,7.60092,7.67931,7.02092,NA,NA,NA,NA,0.757,NA
70113,6.84407,7.88544,7.61195,NA,NA,NA,0.819,NA,NA
70245,7.88866,8.18797,8.35346,NA,0.769,NA,NA,NA,NA
70429,7.40217,7.67421,7.73857,NA,0.922,NA,NA,NA,NA
70642,7.86152,7.52847,7.89554,NA,NA,0.978,NA,NA,NA
71000,8.30483,7.69693,7.27319,NA,NA,NA,NA,0.804,NA
71119,7.68833,7.62852,7.80687,NA,NA,NA,NA,0.929,NA
71228,7.50722,7.75443,7.78069,NA,NA,NA,0.988,NA,NA
71530,8.13723,7.88145,8.56345,NA,NA,0.826,NA,NA,NA
71659,8.16676,7.63312,7.78417,NA,NA,0.948,NA,NA,NA
71903,8.09822,7.50817,7.42806,NA,0.896,NA,NA,NA,NA
72087,7.09216,7.70373,7.1589,NA,NA,0.836,NA,NA,NA
72247,7.71029,8.52554,6.83387,NA,0.676,NA,NA,NA,NA
72547,7.35344,8.0953,7.53248,NA,NA,NA,0.928,NA,NA
72720,8.68189,7.75382,7.15028,NA,NA,NA,0.771,NA,NA
72884,7.68729,8.67147,7.05535,NA,NA,0.739,NA,NA,NA
73042,7.41125,7.61186,8.00581,NA,NA,NA,0.932,NA,NA
73368,8.20713,7.54654,7.14368,NA,NA,0.871,NA,NA,NA
73406,7.51841,7.62568,6.96526,NA,NA,NA,NA,0.776,NA
73737,7.7843,8.04466,7.16653,NA,NA,NA,0.883,NA,NA
73958,8.29514,8.07506,8.15628,NA,NA,NA,0.846,NA,NA
74140,7.74548,7.96385,6.75847,NA,NA,NA,0.797,NA,NA
74389,8.1889,7.86872,7.7133,NA,NA,0.95,NA,NA,NA
74401,8.00093,7.85667,7.01655,NA,NA,NA,0.827,NA,NA
74741,7.70451,8.22289,7.96046,NA,NA,0.927,NA,NA,NA
74880,7.98996,7.62733,7.6919,NA,NA,0.982,NA,NA,NA
75184,6.99989,8.07396,7.7652,NA,NA,0.865,NA,NA,NA
