id,x0,x1,x2,fitness7.5,fitness8.5,fitness7,fitness9.5,fitness10,fitness9,fitness8,fitness6.5,fitness5.5,fitness4.5,fitness4,fitness3.5,fitness3,fitness5,fitness6,fitness2.5,fitness1.5,fitness2,fitness1,fitness0.5
3042,6.27262,6.73956,8.05729,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3341,5.60991,8.41495,8.85506,NA,NA,NA,NA,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3537,4.76729,6.75868,7.9787,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3641,4.17706,7.74848,7.80669,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3924,3.33866,6.9864,6.85813,NA,0.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,2.39351,7.45468,4.34181,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4305,4.36072,7.88013,3.73528,NA,NA,NA,NA,NA,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4417,3.87991,7.51868,3.54432,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4800,3.7026,6.74153,3.69628,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4892,4.62086,7.55336,5.28858,NA,NA,NA,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5126,4.22767,8.15886,4.81685,NA,NA,NA,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5206,2.36227,6.75087,4.75091,NA,NA,NA,NA,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5479,3.51643,8.16177,4.8828,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5695,4.15495,8.01282,3.76173,NA,NA,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5801,3.92144,7.09363,3.83483,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6194,3.09115,8.31387,4.15241,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6219,1.92304,8.29559,4.43841,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6414,1.02609,8.76556,5.09579,NA,NA,NA,NA,NA,NA,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6783,1.22421,10.2109,6.78736,NA,NA,NA,NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6896,1.13461,9.73485,6.40848,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7147,0.734038,6.98648,7.27428,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7338,0.27484,7.52028,7.30362,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7430,1.75673,6.49691,6.55031,NA,NA,NA,NA,NA,-0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7719,1.09819,7.64325,6.99386,NA,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7857,1.14988,8.02045,8.3821,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8036,1.88634,7.25897,9.49726,NA,NA,NA,NA,-0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8319,1.22675,8.60824,9.97302,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8481,3.24985,8.25918,8.52005,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8779,4.81049,8.13265,7.92146,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8899,3.21192,8.82941,8.01205,NA,NA,0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9043,3.44132,7.99691,8.38157,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9314,3.07617,6.69091,9.46025,NA,NA,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9519,2.16447,7.21975,10.1392,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9769,2.21474,7.48338,9.03575,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9929,2.81153,8.12437,8.41598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA
10100,2.87224,7.47567,7.35824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA
10281,3.73455,7.66783,8.70142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA
10559,3.97888,8.57651,8.02295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA,NA,NA,NA,NA,NA
10652,5.06774,6.62765,7.45753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
10908,6.21778,6.13028,7.26383,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11026,6.51415,5.61071,7.58109,NA,NA,NA,NA,NA,NA,NA,NA,-0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11359,7.29898,6.80138,8.22035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374,NA,NA,NA,NA,NA,NA
11475,7.7652,7.60086,7.03377,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11682,7.12086,6.81186,4.29991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304,NA,NA,NA,NA,NA
11871,7.78376,6.84088,4.69952,NA,NA,NA,NA,NA,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12008,8.40276,7.68479,4.64568,NA,NA,NA,NA,NA,NA,NA,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12370,9.77439,7.1824,4.4074,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12404,9.97363,7.75661,4.2503,NA,NA,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12721,9.00998,7.36912,5.38742,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12863,8.0391,7.18742,5.5797,NA,NA,NA,NA,NA,NA,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13137,7.91365,8.03363,5.44606,NA,NA,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13236,8.68005,8.39965,3.95403,NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13556,7.28443,10.1966,4.37776,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13620,7.26539,8.06458,2.14802,NA,NA,NA,NA,NA,NA,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13828,6.1756,7.91179,2.34007,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14173,6.39117,7.76963,3.17755,NA,NA,NA,NA,NA,NA,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14400,7.36384,7.44165,4.51124,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14445,6.88629,7.91972,4.96845,NA,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14720,8.59266,8.63246,5.15741,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14903,8.10625,8.47914,5.11124,NA,NA,NA,NA,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15152,8.77175,7.9251,3.53752,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15244,7.40988,6.73047,4.8176,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15529,7.46796,6.97655,4.04411,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15601,6.99438,7.20403,3.6405,NA,NA,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15982,7.79082,8.86872,5.40747,NA,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16084,7.0602,8.71043,4.57227,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16341,6.67331,8.37111,5.66857,NA,NA,NA,NA,-0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16509,7.40652,8.3928,5.21297,NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16792,8.55273,6.82273,4.0012,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16995,7.59674,7.31113,5.31993,NA,NA,NA,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17024,7.55302,7.70469,5.85869,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17219,7.21637,7.55319,5.931,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17553,6.83342,7.88207,7.68572,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17729,7.45975,7.72544,6.69683,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17996,9.99871,7.57997,7.72472,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18176,7.56423,8.06664,8.57789,NA,NA,NA,NA,0.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18313,7.15195,7.67777,6.90101,NA,NA,NA,NA,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18471,7.2321,7.27344,8.44458,NA,NA,NA,NA,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18751,7.4861,6.8982,9.2302,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18815,7.92875,7.37659,6.77498,NA,NA,NA,NA,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19182,7.89983,7.52851,8.15599,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19375,7.0131,8.04852,6.85367,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19552,7.37206,8.14567,6.54705,NA,NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19691,7.59902,8.86558,8.36429,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19900,8.72375,7.81617,9.17471,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20156,9.5197,7.84833,8.31881,NA,NA,NA,NA,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20242,8.53576,8.00066,9.00951,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20452,7.82759,8.07705,9.17964,NA,NA,NA,NA,NA,0.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20708,7.26846,8.17466,8.4007,NA,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20898,6.44131,8.05943,8.02624,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21017,4.84262,7.9725,7.28358,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21298,4.91041,7.75388,7.55823,NA,NA,NA,NA,NA,NA,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21412,5.25766,6.83412,7.05097,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21696,4.29087,5.41188,8.40091,NA,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21927,4.97674,6.79321,7.64461,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22042,3.89626,6.79652,7.43532,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22337,3.2819,6.39787,8.37127,NA,NA,NA,NA,NA,NA,NA,-0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22487,2.70054,6.83897,7.70615,NA,NA,NA,NA,NA,NA,NA,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22749,2.4151,6.70834,8.51353,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22989,2.98201,7.03406,7.48946,NA,NA,NA,NA,-0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23192,4.13311,8.55645,7.7264,NA,NA,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23319,7.04762,8.49934,7.49471,NA,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23529,7.81353,8.45572,8.11666,NA,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23655,7.70329,9.48675,8.36196,NA,NA,NA,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23890,6.9167,8.10847,7.0534,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24156,6.79653,8.76386,7.8252,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24299,7.37054,7.44715,7.55576,0.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24401,9.34692,7.1974,7.82633,NA,NA,NA,NA,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24692,8.75477,6.69628,7.46315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
24991,8.1564,7.35985,7.54182,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25105,8.50087,7.80224,7.56928,NA,NA,NA,NA,NA,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25359,9.36903,7.37405,7.23672,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25427,8.12669,6.19932,8.32839,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25796,8.15088,5.75851,8.22561,NA,NA,NA,NA,NA,NA,NA,NA,-0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25960,6.8966,6.0463,8.16518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119,NA,NA,NA,NA,NA,NA
26016,8.55885,7.09808,8.55621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA
26391,7.71488,7.12825,9.01418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
26562,8.29547,8.11478,9.04874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA
26645,8.35866,6.51972,9.86327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA
26956,7.65643,5.75327,9.57301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA
27095,7.38732,5.46191,8.58705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
27375,6.88657,4.59676,8.65373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA
27449,6.54548,2.99601,8.63854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA
27666,7.41983,2.51394,9.40753,NA,NA,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27835,7.61944,3.18099,8.96519,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28114,7.93098,3.83206,9.82096,NA,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28306,8.34339,4.83993,9.38859,NA,NA,NA,-0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28443,7.6648,4.60665,10.0245,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28738,7.35017,4.89042,8.99618,NA,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28830,8.33908,4.13204,9.26998,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29084,8.51382,7.25664,8.50462,NA,NA,NA,NA,NA,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29279,8.81499,4.837,8.26981,NA,NA,NA,NA,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29555,9.0227,4.10565,8.0713,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29776,7.60878,4.52291,7.87783,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29888,7.17159,4.22159,6.9292,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30030,5.25055,4.45254,7.25486,NA,NA,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30396,5.29618,5.46831,8.16335,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30405,6.23551,5.6707,7.07237,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30648,6.9873,5.25323,6.74694,NA,NA,NA,NA,NA,NA,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30889,7.26753,6.21935,6.96579,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31129,7.60356,6.3382,6.08928,NA,NA,NA,NA,NA,-0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31209,6.92348,5.77245,6.32286,NA,-0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31520,8.56834,4.03479,7.14029,NA,NA,NA,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31716,8.4915,3.30776,7.8442,NA,NA,NA,NA,NA,NA,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31949,8.01969,4.12656,8.24862,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32120,8.94248,7.30339,8.56503,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32233,9.81081,5.74878,8.13634,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32504,7.58531,7.21898,8.19976,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32601,8.07147,7.5479,8.32887,NA,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33000,6.35453,8.36684,8.89352,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33080,6.60807,7.92065,8.27456,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33244,6.34712,5.99981,7.19585,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33431,7.04429,8.15342,6.14126,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33646,9.05719,7.56045,4.90423,0.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33977,9.60473,8.03471,4.51573,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34083,8.7194,7.45915,4.26422,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34399,9.27459,7.35928,4.19607,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34564,8.41301,8.48338,3.81199,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
