id,x0,x1,x2,fitness-4,fitness-3.5,fitness-4.5,fitness-2.5,fitness-0.5,fitness-1,fitness1,fitness3.5,fitness5,fitness4,fitness4.5,fitness3
9482,-0.685204,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11106.398,NA,NA,NA
9751,-0.768399,5,3.82111,NA,NA,NA,NA,NA,NA,NA,NA,4531.569,NA,NA,NA
9863,-0.987239,5,4.88169,NA,NA,NA,NA,NA,NA,NA,NA,10532.486,NA,NA,NA
10086,-0.966815,5,5,NA,NA,NA,NA,NA,NA,NA,NA,8951.94,NA,NA,NA
10368,-0.644967,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12542.21,NA,NA,NA
10401,-0.497329,5,4.90156,NA,NA,NA,NA,NA,NA,NA,NA,2831.577,NA,NA,NA
10696,-0.218611,5,4.41483,NA,NA,NA,NA,NA,NA,NA,NA,3088.952,NA,NA,NA
10932,-0.710583,5,4.91481,NA,NA,NA,NA,NA,NA,NA,NA,15159.523,NA,NA,NA
11015,-0.88233,5,4.66984,NA,NA,NA,NA,NA,NA,NA,NA,9891.68,NA,NA,NA
11309,-0.990292,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7800.976,NA,NA,NA
11580,-1.89476,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4222.512,NA,NA,NA
11616,-0.14267,4.40434,4.71948,NA,NA,NA,NA,NA,NA,NA,NA,3364.59,NA,NA,NA
11963,0.325394,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4548.96,NA,NA,NA
12200,0.363846,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3392.608,NA,NA,NA
12320,-1.03117,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7370.622,NA,NA,NA
12424,-0.998933,5,4.6906,NA,NA,NA,NA,NA,NA,NA,NA,6755.95,NA,NA,NA
12772,-0.627462,4.88271,5,NA,NA,NA,NA,NA,NA,NA,NA,11726.705,NA,NA,NA
12808,-0.541727,5,3.80449,NA,NA,NA,NA,NA,NA,NA,NA,1661.619,NA,NA,NA
13057,-0.68435,4.85683,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5339.721,NA,NA
13257,-0.7419,5,4.86096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6981.684,NA
13450,-0.682904,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11030.899,NA,NA,NA
13623,-0.96991,5,5,NA,NA,NA,NA,NA,NA,NA,NA,8806.591,NA,NA,NA
13956,-0.814585,4.77153,4.77909,NA,NA,NA,NA,NA,NA,NA,NA,19502.084,NA,NA,NA
14071,-0.550891,5,4.96437,NA,NA,NA,NA,NA,NA,NA,NA,5801.634,NA,NA,NA
14338,-0.61908,4.93561,5,NA,NA,NA,NA,NA,NA,NA,NA,10455.968,NA,NA,NA
14527,-0.700124,5,4.72921,NA,NA,NA,NA,NA,NA,NA,NA,12466.792,NA,NA,NA
14632,-0.681789,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2921.978,NA,NA
14941,-1.2798,5,4.15059,NA,NA,NA,NA,NA,NA,NA,NA,4092.546,NA,NA,NA
15104,-0.551324,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5093.643,NA,NA,NA
15316,-0.973016,5,5,NA,NA,NA,NA,NA,NA,NA,NA,8658.707,NA,NA,NA
15520,-2.17864,4.84356,5,NA,NA,NA,NA,NA,NA,NA,NA,4066.215,NA,NA,NA
15790,-1.81836,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1876.534,NA,NA,NA
15931,-2.14169,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3932.045,NA,NA,NA
16196,-1.87153,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4056.318,NA,NA,NA
16320,-0.950472,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12832.662,NA,NA,NA
16448,-0.778914,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12987.485,NA,NA,NA
16677,-0.753694,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12726.005,NA,NA,NA
16834,-0.889407,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11839.095,NA,NA,NA
17005,-1.01093,4.87113,4.79097,NA,NA,NA,NA,NA,NA,NA,NA,11242.729,NA,NA,NA
17250,-2.39272,4.21583,5,NA,NA,NA,NA,NA,NA,NA,NA,1319.938,NA,NA,NA
17547,-0.798362,3.82925,4.92108,NA,NA,NA,NA,NA,NA,NA,NA,5686.244,NA,NA,NA
17680,-0.652823,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9933.191,NA,NA,NA
17961,-1.35131,5,4.41337,NA,NA,NA,NA,NA,NA,NA,NA,4435.752,NA,NA,NA
18025,-1.97283,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5430.469,NA,NA,NA
18222,-1.97182,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5423.101,NA,NA,NA
18405,-0.923237,5,4.68619,NA,NA,NA,NA,NA,NA,NA,NA,9680.103,NA,NA,NA
18752,-0.698229,4.7669,5,NA,NA,NA,NA,NA,NA,NA,NA,18187.313,NA,NA,NA
18879,-0.720332,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12095.345,NA,NA,NA
19109,0.175263,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1406.348,NA,NA,NA
19387,0.400359,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4093.117,NA,NA,NA
19582,-0.658401,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11332.424,NA,NA,NA
19712,-0.651305,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9872.676,NA,NA,NA
19858,-0.888236,4.76199,5,NA,NA,NA,NA,NA,NA,NA,NA,14093.127,NA,NA,NA
20171,-1.05261,5,4.84102,NA,NA,NA,NA,NA,NA,NA,NA,7484,NA,NA,NA
20355,-0.827692,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12941.989,NA,NA,NA
20583,-0.549167,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4978.75,NA,NA,NA
20752,-0.692672,4.99903,5,NA,NA,NA,NA,NA,NA,NA,NA,13985.093,NA,NA,NA
20852,-1.86017,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3289.635,NA,NA,NA
21049,-2.80438,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1077.501,NA,NA,NA
21206,-2.22447,5,4.56705,NA,NA,NA,NA,NA,NA,NA,NA,531.79,NA,NA,NA
21497,-0.852001,5,4.89549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14520.782,NA
21626,-0.663242,5,4.79824,NA,NA,NA,NA,NA,NA,NA,NA,15082.027,NA,NA,NA
21885,1.25455,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2396.481,NA,NA,NA
22094,-1.17967,4.7657,4.35133,NA,NA,NA,NA,NA,NA,NA,NA,2388.804,NA,NA,NA
22296,-0.694441,5,4.61249,NA,NA,NA,NA,NA,NA,NA,NA,6046.357,NA,NA,NA
22587,-0.534368,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4184.372,NA,NA,NA
22784,-0.658667,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10161.776,NA,NA,NA
22917,-0.573332,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6247.68,NA,NA,NA
23076,-1.47988,5,4.40801,NA,NA,NA,NA,NA,NA,NA,NA,4780.96,NA,NA,NA
23308,-1.00414,5,4.63601,NA,NA,NA,NA,NA,NA,NA,NA,4624.952,NA,NA,NA
23543,-0.604599,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7806.953,NA,NA,NA
23647,-1.2367,4.32939,4.98429,NA,NA,NA,NA,NA,NA,NA,NA,4265.487,NA,NA,NA
23979,-0.751683,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12697.018,NA,NA,NA
24091,-1.00227,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7164.559,NA
24237,-0.925601,4.71336,5,NA,NA,NA,NA,NA,NA,NA,NA,13901.478,NA,NA,NA
24589,-0.834935,4.95501,5,NA,NA,NA,NA,NA,NA,NA,5013.332,NA,NA,NA,NA
24673,0.0107827,5,4.96936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450.577,NA
24910,-1.06455,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3583.107,NA,NA,NA
25191,-1.06948,5,4.89014,NA,NA,NA,NA,NA,NA,NA,NA,4318.386,NA,NA,NA
25350,-2.1636,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3428.251,NA,NA,NA
25497,-1.97496,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5445.296,NA,NA,NA
25754,-2.10321,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6239.212,NA,NA,NA
25975,-0.71467,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11723.166,NA
26153,-0.783967,5,4.83663,NA,NA,NA,NA,NA,NA,NA,NA,17253.586,NA,NA,NA
26220,-0.603396,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7749.169,NA,NA,NA
26558,-0.847551,5,5,NA,NA,NA,NA,NA,NA,NA,NA,15992.276,NA,NA,NA
26644,-0.726119,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12227.144,NA,NA,NA
26816,-0.848717,5,5,NA,NA,NA,NA,NA,NA,NA,NA,16034.755,NA,NA,NA
27062,-0.929731,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10524.836,NA,NA,NA
27232,-0.389387,4.20474,5,NA,NA,NA,NA,NA,NA,NA,NA,1881.709,NA,NA,NA
27416,-0.896107,4.71145,5,NA,NA,NA,NA,NA,NA,NA,NA,11750.941,NA,NA,NA
27729,-2.01461,4.81007,5,NA,NA,NA,NA,NA,NA,NA,NA,7186.991,NA,NA,NA
27816,-0.658084,5,4.93686,NA,NA,NA,NA,NA,NA,NA,NA,12459.657,NA,NA,NA
28021,-0.649565,4.67748,4.87223,NA,NA,NA,NA,NA,NA,NA,NA,11195.971,NA,NA,NA
28222,-0.965553,4.92887,4.97425,NA,NA,NA,NA,NA,NA,NA,NA,12468.095,NA,NA,NA
28484,-0.526993,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3785.536,NA,NA,NA
28746,-0.965947,5,4.86579,NA,NA,NA,NA,NA,NA,NA,NA,11978.424,NA,NA,NA
28882,-0.574182,5,4.94397,NA,NA,NA,NA,NA,NA,NA,NA,7608.163,NA,NA,NA
29178,-0.973125,4.76584,5,NA,NA,NA,NA,NA,NA,NA,NA,10369.415,NA,NA,NA
29359,-1.43684,4.12839,5,NA,NA,NA,NA,NA,NA,NA,NA,4839.03,NA,NA,NA
29574,-0.752991,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12716.006,NA,NA,NA
29715,0.432809,4.85517,5,NA,NA,NA,NA,NA,NA,NA,NA,3639.532,NA,NA,NA
29849,-0.103502,4.41286,5,NA,NA,NA,NA,NA,NA,NA,NA,2782.743,NA,NA,NA
30177,-0.611363,4.5864,4.88585,NA,NA,NA,NA,NA,NA,NA,NA,4196.084,NA,NA,NA
30202,-1.03008,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5629.265,NA,NA,NA
30513,-0.857106,4.84664,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11191.632,NA
30759,-1.61184,5,4.87743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2333.595,NA
30804,-0.66308,4.59296,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4248.934,NA
31086,-0.882526,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12717.516,NA
31213,-2.1445,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5149.271,NA,NA,NA
31578,-3.06002,5,4.76769,NA,NA,NA,NA,NA,NA,NA,NA,3683.743,NA,NA,NA
31622,-2.21551,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2092.862,NA,NA,NA
31887,-0.810139,5,4.91796,NA,NA,NA,NA,NA,NA,NA,NA,16601.287,NA,NA,NA
32035,-0.575106,4.84195,5,NA,NA,NA,NA,NA,NA,NA,NA,8423.075,NA,NA,NA
32294,-0.953223,4.68828,5,NA,NA,NA,NA,NA,NA,NA,NA,8691.49,NA,NA,NA
32453,-0.74466,4.76329,5,NA,NA,NA,NA,NA,NA,NA,NA,14990.741,NA,NA,NA
32776,-0.297971,5,4.85249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4498.544,NA
32864,-0.217234,4.36541,5,NA,NA,NA,NA,NA,NA,NA,NA,4126.022,NA,NA,NA
33163,-1.33714,4.30903,4.72379,NA,NA,NA,NA,NA,NA,NA,NA,9226.82,NA,NA,NA
33274,-0.945663,5,4.61788,NA,NA,NA,NA,NA,NA,NA,NA,5528.585,NA,NA,NA
33564,-2.06626,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5212.485,NA,NA,NA
33728,-1.94873,4.62265,5,NA,NA,NA,NA,NA,NA,NA,NA,3035.172,NA,NA,NA
33819,-0.835334,4.88015,5,NA,NA,NA,NA,NA,NA,NA,NA,19656.504,NA,NA,NA
34028,-0.918279,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10942.52,NA,NA,NA
34365,-0.838026,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12837.871,NA,NA,NA
34573,-0.584116,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6797.922,NA,NA,NA
34710,-0.598394,4.92587,5,NA,NA,NA,NA,NA,NA,NA,NA,9427.386,NA,NA,NA
34981,-0.753318,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12720.675,NA,NA,NA
35135,-0.584714,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6828.085,NA,NA,NA
35288,-0.721756,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12128.625,NA,NA,NA
35551,-1.54984,5,4.63649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2193.586,NA
35659,-2.07046,4.7869,4.81051,NA,NA,NA,NA,NA,NA,NA,NA,8377.541,NA,NA,NA
35871,-1.5687,5,4.25401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4449.837,NA
36105,-2.20588,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2351.023,NA,NA,NA
36392,-0.884499,4.90884,5,NA,NA,NA,NA,NA,NA,NA,NA,15436.282,NA,NA,NA
36406,-3.03651,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3185.845,NA,NA,NA
36784,-2.10891,5,4.98102,NA,NA,NA,NA,NA,NA,NA,NA,6583.802,NA,NA,NA
36860,-0.658648,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10161.044,NA,NA,NA
37139,-1.96499,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5367.577,NA,NA,NA
37374,-0.840794,4.94373,5,NA,NA,NA,NA,NA,NA,NA,NA,15492.942,NA,NA,NA
37427,-1.29956,5,4.33734,NA,NA,NA,NA,NA,NA,NA,NA,5524.599,NA,NA,NA
37690,-0.802109,4.69779,5,NA,NA,NA,NA,NA,NA,NA,NA,12415.047,NA,NA,NA
37851,-0.65775,5,4.99302,NA,NA,NA,NA,NA,NA,NA,NA,10441.881,NA,NA,NA
38065,-0.804226,5,4.83042,NA,NA,NA,NA,NA,NA,NA,NA,17239.826,NA,NA,NA
38388,-0.81216,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13036.319,NA,NA,NA
38464,-1.03247,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5491.513,NA,NA,NA
38702,-0.641577,5,4.60858,NA,NA,NA,NA,NA,NA,NA,NA,4829.39,NA,NA,NA
38846,-0.857297,4.8363,5,NA,NA,NA,NA,NA,NA,NA,NA,16640.041,NA,NA,NA
39193,-0.787246,4.58541,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3210.557,NA
39375,0.404476,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4101.609,NA,NA,NA
39484,-0.915111,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11052.006,NA,NA,NA
39683,-0.630765,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9010.262,NA,NA,NA
39914,-0.774269,5,4.62084,NA,NA,NA,NA,NA,NA,NA,NA,7444.36,NA,NA,NA
40052,-0.955273,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9475.674,NA,NA,NA
40204,-0.910709,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11199.687,NA,NA,NA
40448,-1.86523,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3440.249,NA,NA,NA
40731,-0.826173,5,4.61011,NA,NA,NA,NA,NA,NA,NA,NA,6708.987,NA,NA,NA
40973,-0.703208,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11652.747,NA,NA,NA
41119,-0.946051,4.97376,5,NA,NA,NA,NA,NA,NA,NA,NA,10956.865,NA,NA,NA
41205,-0.75049,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12679.263,NA,NA,NA
41547,-0.707648,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11774.912,NA,NA,NA
41755,-0.635682,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9223.822,NA,NA,NA
41860,-1.63156,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3965.755,NA,NA
42127,-0.868291,5,4.9407,NA,NA,NA,NA,NA,NA,NA,NA,15042.183,NA,NA,NA
42219,-0.801162,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13057.898,NA,NA,NA
42417,-0.836833,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12851.573,NA,NA,NA
42731,-0.843457,5,4.72957,NA,NA,NA,NA,NA,NA,NA,NA,13782.906,NA,NA,NA
42850,-0.106409,4.47191,5,NA,NA,NA,NA,NA,NA,NA,NA,1259.025,NA,NA,NA
43156,-0.714045,5,5,NA,NA,NA,NA,NA,NA,NA,NA,15759.322,NA,NA,NA
43287,-0.665032,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13053.122,NA,NA,NA
43396,-0.821887,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12985.994,NA,NA,NA
43793,-0.854822,5,4.60003,NA,NA,NA,NA,NA,NA,NA,NA,5847.171,NA,NA,NA
43845,-0.710312,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11845.749,NA,NA,NA
44192,-0.851591,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12651.36,NA,NA,NA
44285,-0.745141,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12594.565,NA,NA,NA
44466,-1.00753,4.56164,5,NA,NA,NA,NA,NA,NA,NA,NA,1781.892,NA,NA,NA
44696,-1.02431,5,4.86204,NA,NA,NA,NA,NA,NA,NA,NA,9562.404,NA,NA,NA
44811,-0.846968,4.92805,4.93245,NA,NA,NA,NA,NA,NA,NA,NA,19733.129,NA,NA,NA
45135,-0.687056,5,4.91973,NA,NA,NA,NA,NA,NA,NA,NA,14172.103,NA,NA,NA
45267,-0.607969,3.67648,4.92391,NA,NA,NA,NA,NA,NA,NA,NA,2998.919,NA,NA,NA
45571,-1.32942,3.79691,4.32785,NA,NA,NA,NA,NA,NA,NA,NA,2333.749,NA,NA,NA
45697,-0.912352,4.7398,5,NA,NA,NA,NA,NA,NA,NA,NA,12439.253,NA,NA,NA
45802,0.203953,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2590.603,NA,NA,NA
46010,-0.709679,5,4.59194,NA,NA,NA,NA,NA,NA,NA,NA,6047.702,NA,NA,NA
46333,-1.01248,5,4.96026,NA,NA,NA,NA,NA,NA,NA,NA,7668.342,NA,NA,NA
46588,-1.95272,4.92791,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6609.436,NA
46614,-0.631511,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9042.938,NA,NA,NA
46939,-0.693309,5,4.9378,NA,NA,NA,NA,NA,NA,NA,NA,13934.221,NA,NA,NA
47027,-0.899049,5,4.73267,NA,NA,NA,NA,NA,NA,NA,NA,12614.602,NA,NA,NA
47219,-2.00101,5,4.7324,NA,NA,NA,NA,NA,NA,NA,NA,6047.222,NA,NA,NA
47560,-1.85563,4.71564,5,NA,NA,NA,NA,NA,NA,NA,NA,4054.468,NA,NA,NA
47786,-0.636835,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12076.544,NA,NA,NA
47878,-0.99348,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7636.511,NA,NA,NA
48083,-0.694825,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11408.367,NA,NA,NA
48348,-1.3109,5,4.19383,NA,NA,NA,NA,NA,NA,NA,NA,5475.31,NA,NA,NA
48577,-0.609712,4.95975,5,NA,NA,NA,NA,NA,NA,NA,NA,9338.874,NA,NA,NA
48702,-0.677019,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10832.051,NA,NA,NA
48872,-0.742413,4.83536,5,NA,NA,NA,NA,NA,NA,NA,NA,16620.885,NA,NA,NA
49019,-1.94349,5,3.74809,NA,NA,NA,NA,NA,NA,NA,NA,2246.362,NA,NA,NA
49367,-2.1766,4.65862,5,NA,NA,NA,NA,NA,NA,NA,NA,2388.447,NA,NA,NA
49509,-2.0294,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5503.57,NA,NA,NA
49614,-1.70232,5,4.9117,NA,NA,NA,NA,NA,NA,NA,NA,NA,2425.262,NA,NA
49936,-0.818291,5,3.87174,NA,NA,NA,NA,NA,NA,NA,NA,3741.718,NA,NA,NA
50033,-0.798136,5,3.82957,NA,NA,NA,NA,NA,NA,NA,NA,4486.097,NA,NA,NA
50387,-1.0766,4.96287,5,NA,NA,NA,NA,NA,NA,NA,NA,3269.118,NA,NA,NA
50510,-0.610994,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9655.253,NA,NA,NA
50612,-0.987022,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8979.488,NA
50908,-0.667415,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13722.268,NA,NA,NA
51128,-0.811438,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13038.885,NA,NA,NA
51196,-1.36058,4.30582,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551.649,NA,NA
51471,-0.806106,5,5,NA,NA,NA,NA,NA,NA,NA,NA,13052.832,NA,NA,NA
51735,-0.605473,5,4.13595,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080.123,NA,NA
51800,-2.01107,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5551.645,NA,NA,NA
52167,-0.760345,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12813.396,NA,NA,NA
