id,x0,x1,x2,fitness-1.5,fitness-1,fitness-0.5,fitness-2,fitness-3,fitness0,fitness-4,fitness-5,fitness0.5,fitness2,fitness1.5,fitness3,fitness3.5,fitness4.5,fitness4,fitness2.5,fitness1,fitness-2.5,fitness-4.5,fitness-3.5,fitness5
3932,-2.74654,3.98039,3.3182,NA,NA,NA,NA,NA,NA,-0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4171,-2.61608,3.88894,4.56317,NA,NA,NA,NA,NA,NA,NA,48.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4226,-4.10985,4.2345,4.80037,NA,NA,NA,NA,550.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4521,-3.92279,3.38001,4.71329,NA,NA,NA,NA,33.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4617,-2.85457,4.5291,2.88104,NA,NA,NA,NA,NA,33.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4949,-3.85471,4.80486,4.53132,NA,NA,NA,NA,NA,NA,NA,NA,-13.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5192,-3.78982,4.71313,4.38766,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5398,-4.87719,4.33313,4.75354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5430,-4.91184,4.8769,4.33408,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5755,-4.34016,3.93658,4.61125,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5835,-4.08671,4.01418,4.63807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.257,NA,NA,NA,NA,NA,NA,NA,NA,NA
6194,-4.59432,4.13214,4.64305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193.855,NA,NA,NA,NA,NA,NA,NA,NA
6260,-4.22221,3.80339,4.21881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.685,NA,NA,NA,NA,NA,NA,NA
6411,-3.99176,4.43806,4.25347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.248,NA,NA,NA,NA,NA,NA
6799,-2.456,3.85606,2.4396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948,-2.32763,4.80776,2.78666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,-2.42182,3.88689,1.50881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.297,NA,NA,NA,NA,NA
7237,-2.33555,4.77846,-0.544022,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7572,-3.17309,4.88608,-0.051892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.412,NA,NA,NA,NA,NA
7752,-2.48358,4.88698,-0.483593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
7943,-2.8813,3.95728,0.65863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.799,NA,NA,NA,NA,NA
8188,-3.6289,3.73503,1.00868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.924,NA,NA,NA,NA,NA
8301,-3.84844,4.40959,0.571669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131,NA,NA,NA,NA,NA,NA,NA,NA
8560,-4.33816,3.50238,-1.75674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA
8772,-4.4715,3.96746,-1.48912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.059,NA,NA,NA,NA,NA
8940,-4.6976,2.132,-3.05687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.408,NA,NA,NA,NA,NA
9009,-4.65421,2.68326,-2.37356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.51,NA,NA,NA,NA
9207,-4.71825,1.60621,-2.63624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA
9446,-3.88547,3.80754,-2.65526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.817,NA,NA,NA,NA,NA
9611,-2.0859,4.851,-1.33758,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9895,-1.32141,4.28765,-2.2079,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10194,0.154911,4.12311,-1.65128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.806,NA,NA,NA,NA,NA,NA,NA,NA,NA
10280,0.810245,4.12458,-0.223574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.468,NA,NA,NA,NA,NA,NA
10533,-0.0223091,4.52076,0.470499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.023,NA,NA,NA,NA,NA,NA
10720,-0.234754,4.86514,0.0149717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.666,NA,NA,NA,NA,NA,NA,NA,NA
10853,-1.71805,4.1528,1.18352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.997,NA,NA,NA,NA,NA,NA,NA,NA,NA
11140,-2.25373,1.91752,2.47717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.356,NA,NA,NA,NA,NA
11209,-4.27405,0.58825,2.60817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473,NA,NA,NA,NA,NA
11512,-2.78246,0.816402,3.08901,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11751,-2.53381,0.325489,3.84301,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11967,-2.70824,1.50039,4.8144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12107,-3.42474,0.515218,3.00257,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12386,-4.08686,0.841713,1.76647,NA,NA,NA,NA,NA,NA,NA,NA,5.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12523,-4.68624,1.19342,3.52356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808,NA,NA,NA,NA
12686,-4.72251,2.30937,4.62774,NA,NA,NA,NA,NA,5.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12881,-4.509,3.23611,3.50861,NA,NA,NA,NA,NA,12.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13036,-3.81663,3.41066,4.19616,NA,NA,-93.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13265,-4.0121,4.91148,4.50254,NA,197.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13541,-4.47267,4.96427,3.10008,553.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13636,-1.99809,4.30991,3.42215,NA,NA,NA,NA,NA,538.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13934,-2.44106,3.53735,1.21774,NA,-12.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14182,-0.642145,3.85854,0.422601,NA,1071.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14206,1.22646,3.42976,1.70923,NA,144.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14500,0.908122,4.95391,1.04934,NA,25.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14617,0.452473,4.71398,1.30518,NA,179.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14838,-0.961696,4.36762,1.46863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.555,NA,NA,NA
15126,-2.46511,4.6162,-1.43443,NA,NA,NA,NA,NA,NA,652.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15372,-1.67374,4.95905,-0.508746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.3,NA,NA
15532,-2.47638,4.67426,-1.12164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44,NA,NA
15720,-2.67802,4.58474,0.769571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.168,NA
15999,-3.53741,4.99899,1.68529,NA,NA,NA,NA,NA,NA,126.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16094,-4.73824,3.84744,2.16358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.343,NA,NA
16329,-3.98384,3.08304,1.07386,NA,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16439,-4.10078,2.63789,0.942249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.543,NA,NA
16629,-1.87728,4.01269,-0.202295,NA,NA,NA,NA,NA,NA,65.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16856,-1.6971,3.03174,0.252766,NA,NA,NA,NA,NA,NA,NA,13.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17009,-3.6189,1.62002,0.27707,NA,NA,NA,NA,NA,NA,-17.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17220,-2.20917,2.37032,-0.972838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.53,NA,NA
17494,-2.04685,1.51086,-0.536005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.79,NA,NA
17724,-2.07635,1.87697,0.224631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.763,NA
17912,-2.66118,3.79146,-0.272558,NA,NA,NA,NA,188.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18178,-2.86388,3.3374,-0.0954379,NA,NA,NA,NA,NA,NA,149.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18313,-2.98416,3.60138,-1.06071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.562,NA
18539,-2.31158,4.1373,-1.41215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.568,NA
18747,-2.02864,4.87566,-2.19139,NA,NA,NA,NA,NA,NA,NA,369.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18842,-2.74281,4.06774,-2.46972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA
19035,-2.58128,4.88804,-2.27538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.446,NA,NA
19279,-2.29963,4.67038,-1.66508,NA,NA,NA,NA,12.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19511,-2.85182,2.54201,-3.29738,NA,NA,NA,NA,NA,NA,NA,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19775,-3.7552,3.3694,-4.54473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.118,NA
19881,-4.38288,2.58529,-2.72726,NA,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151,-3.89538,1.48034,-1.88048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.74,NA,NA
20283,-4.07615,1.16832,-0.700944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.284,NA
20557,-4.77819,2.3104,0.855936,NA,NA,NA,NA,NA,NA,15.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20684,-4.27586,1.3906,1.87695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.159,NA
20960,-3.71281,1.21312,2.4181,NA,NA,NA,NA,3.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21095,-4.65048,-0.110029,2.62047,NA,132.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21396,-4.04409,0.0269189,2.1428,NA,NA,NA,NA,NA,NA,NA,NA,57.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21476,-4.90223,-0.2787,2.45376,NA,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21665,-4.93902,0.099364,1.94075,NA,NA,NA,NA,NA,33.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21927,-4.18517,-0.0162569,3.3486,NA,NA,NA,NA,NA,NA,NA,NA,57.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22081,-3.29805,0.00202217,4.09098,NA,NA,NA,NA,NA,56.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22274,-4.85563,1.86882,0.600851,NA,NA,NA,NA,NA,NA,NA,NA,3.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22578,-3.89805,1.82242,0.291624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22686,-3.87104,4.50359,-0.564994,NA,NA,NA,NA,NA,20.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22971,-4.10103,4.2278,-2.36502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23090,-4.16354,2.75739,-2.30133,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23286,-2.68985,2.22661,-3.28013,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23476,-2.30896,1.0252,-2.92763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23656,-1.18939,0.849079,-3.37909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
23802,0.39635,-0.49126,-3.10684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.109,NA,NA,NA,NA,NA,NA,NA
24006,0.219783,-1.04607,-3.98797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488.663
24248,0.0410987,0.599686,-4.36771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.867,NA,NA,NA,NA,NA,NA,NA,NA,NA
24485,0.163003,0.840927,-4.32038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.848,NA,NA,NA,NA,NA,NA,NA
24644,-0.0388805,1.91073,-3.07989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.526,NA,NA,NA,NA,NA,NA,NA
25000,0.398705,0.850172,-1.80288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.415,NA,NA,NA,NA,NA,NA,NA
25140,0.299538,0.48074,-1.67261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
25323,1.03491,0.224071,-1.8307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.117,NA,NA,NA,NA,NA,NA
25537,2.25131,-1.36299,-1.6206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3332.639
25602,2.22678,-0.713006,-2.01343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2265.562,NA,NA,NA,NA,NA,NA,NA
25801,4.13181,-0.593601,-3.98942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.876,NA,NA,NA,NA,NA,NA,NA,NA
26195,3.13752,-1.51566,-2.52537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.5,NA,NA,NA,NA,NA,NA,NA
26382,3.99913,-2.21659,-1.98138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.257,NA,NA,NA,NA,NA,NA,NA
26538,4.67502,-1.58644,-0.134438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072.876,NA,NA,NA,NA,NA,NA,NA,NA
26614,4.9981,-2.38355,0.652294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.593,NA,NA,NA,NA,NA,NA,NA
26948,3.17311,-2.97139,-0.452915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.314,NA,NA,NA,NA,NA,NA
27017,3.62849,-3.33414,-0.653028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.583,NA,NA,NA,NA,NA,NA,NA
27312,2.79668,-3.19704,-0.0455617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.07,NA,NA,NA,NA,NA,NA,NA
27591,2.88008,-2.31611,1.43287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.187,NA,NA,NA,NA,NA,NA,NA
27661,3.30073,-2.78878,1.84456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.939,NA,NA,NA,NA,NA,NA,NA,NA,NA
27940,3.31717,-2.29854,-0.0439074,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28104,3.74172,-2.13847,-1.02777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.622,NA,NA,NA,NA,NA
28207,4.79939,-2.15578,-1.29301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.228,NA,NA,NA,NA,NA,NA,NA,NA
28558,4.94359,-3.2749,-1.33669,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28638,4.91195,-4.20556,-1.59929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.847,NA,NA,NA,NA,NA
28885,4.10606,-4.02596,-2.48594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.49,NA,NA,NA,NA,NA,NA,NA
29181,3.33159,-4.25471,-2.52358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.559,NA,NA,NA,NA,NA,NA,NA,NA
29206,2.97528,-3.1647,-2.55434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.087,NA,NA,NA,NA,NA
29583,2.11029,-2.51833,-3.4648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.994,NA,NA,NA,NA,NA,NA
29761,2.04508,-3.81301,-2.42308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA
29844,2.36744,-4.1078,-1.98474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.547
30186,2.19204,-4.56605,-3.54743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.161
30208,2.23121,-4.06978,-3.61638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.412,NA,NA,NA,NA,NA,NA,NA
30503,1.78518,-3.93845,-3.30771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.535,NA,NA,NA,NA,NA,NA,NA
30619,1.89681,-3.56785,-4.18506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
30969,2.66006,-3.36883,-3.43016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.651,NA,NA,NA,NA,NA,NA,NA,NA,NA
31048,2.90443,-4.57681,-3.59991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
31257,2.68613,-4.96111,-3.89544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
31512,2.61616,-3.42792,-3.29311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA
31614,1.59146,-4.07556,-4.53651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.389,NA,NA,NA,NA,NA,NA,NA,NA,NA
31959,0.792352,-3.75469,-4.0565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
32121,0.392145,-3.22755,-4.45082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32348,-0.239096,-3.48917,-3.70115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32542,-0.745221,-2.43526,-3.74446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
