id,x0,x1,x2,fitness-4,fitness-3,fitness-3.5,fitness-2.5,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness0,fitness-2,fitness-0.5
4773,2.33285,2.20857,-4.99546,NA,NA,NA,-26.625,NA,NA,NA,NA,NA,NA,NA
4914,1.63348,1.78951,-4.17984,NA,NA,NA,-3.01,NA,NA,NA,NA,NA,NA,NA
5001,1.1944,2.02121,-3.54719,-63.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5210,0.209865,1.68015,-3.54971,NA,-87.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
5573,2.53672,-0.211289,-2.94219,NA,-212.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
5700,1.65482,1.08155,-4.73512,NA,NA,NA,NA,NA,NA,NA,-126.983,NA,NA,NA
5961,2.66187,2.42815,-4.42098,-98.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6102,1.79073,3.2151,-4.70229,NA,NA,NA,NA,NA,NA,-147.444,NA,NA,NA,NA
6247,2.92344,2.50206,-3.81681,-107.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6417,2.19518,2.59308,-3.89688,NA,-34.879,NA,NA,NA,NA,NA,NA,NA,NA,NA
6671,1.05929,3.78602,-3.15678,-200.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6839,1.15965,2.40247,-4.9832,NA,-36.184,NA,NA,NA,NA,NA,NA,NA,NA,NA
7135,2.49185,1.23796,-3.43533,NA,NA,NA,NA,-75.195,NA,NA,NA,NA,NA,NA
7240,2.3759,1.39999,-4.95325,NA,NA,NA,NA,NA,-77.912,NA,NA,NA,NA,NA
7534,1.04533,1.21438,-4.68008,NA,-38.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
7706,2.06979,2.22562,-4.60575,NA,NA,NA,NA,NA,NA,NA,NA,-125.715,NA,NA
7806,2.97252,1.05385,-4.46137,NA,NA,NA,NA,-77.592,NA,NA,NA,NA,NA,NA
8017,1.75146,1.69311,-3.91921,NA,NA,NA,-6.72,NA,NA,NA,NA,NA,NA,NA
8201,2.07007,0.534213,-4.3145,-96.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8598,1.01739,0.226628,-4.39409,NA,NA,-154.226,NA,NA,NA,NA,NA,NA,NA,NA
8630,2.06238,1.06984,-4.14809,-58.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8986,2.7709,1.7153,-3.19483,NA,NA,NA,-64.256,NA,NA,NA,NA,NA,NA,NA
9092,2.87936,1.05832,-4.63331,NA,NA,NA,NA,NA,NA,NA,NA,NA,-54.207,NA
9395,3.06409,-0.0531527,-4.52947,NA,NA,NA,NA,NA,-227.07,NA,NA,NA,NA,NA
9470,3.93929,-0.250269,-4.36353,NA,NA,NA,NA,-235.769,NA,NA,NA,NA,NA,NA
9725,4.83305,-0.790347,-4.43837,NA,NA,NA,NA,-383.519,NA,NA,NA,NA,NA,NA
9834,3.76682,-0.485055,-4.02613,NA,NA,NA,NA,NA,-322.243,NA,NA,NA,NA,NA
10124,4.76133,0.379646,-3.68993,NA,NA,NA,NA,NA,NA,NA,NA,NA,-242.426,NA
10250,4.75612,0.265343,-3.53399,NA,NA,NA,NA,-275.525,NA,NA,NA,NA,NA,NA
10464,3.15829,0.0761422,-3.89188,NA,NA,NA,NA,NA,-214.371,NA,NA,NA,NA,NA
10643,4.12564,1.77499,-3.77372,NA,NA,NA,-138.326,NA,NA,NA,NA,NA,NA,NA
10970,3.57937,3.059,-3.7342,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.673,NA
11035,2.63827,1.7885,-4.82981,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.41,NA
11249,2.70017,1.30328,-4.20484,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.755,NA
11412,1.95659,0.613111,-4.95732,NA,NA,-81.923,NA,NA,NA,NA,NA,NA,NA,NA
11724,1.57533,0.484425,-4.71427,NA,NA,NA,-85.206,NA,NA,NA,NA,NA,NA,NA
11831,1.46452,0.857396,-4.01334,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.722,NA
12006,1.70483,1.17993,-2.75895,-111.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12263,1.07138,3.20249,-3.18492,NA,NA,-113.843,NA,NA,NA,NA,NA,NA,NA,NA
12463,1.57463,1.45566,-3.62246,NA,NA,-38.162,NA,NA,NA,NA,NA,NA,NA,NA
12620,1.9885,1.62367,-4.91009,-48.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12853,2.55751,2.63399,-4.90858,NA,-49.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
13004,3.11579,2.3908,-4.33566,NA,NA,NA,NA,NA,NA,-122.268,NA,NA,NA,NA
13305,2.13677,1.94686,-4.27404,NA,NA,NA,NA,NA,NA,-99.748,NA,NA,NA,NA
13449,2.32866,1.91839,-4.80685,NA,NA,NA,NA,NA,NA,-81.068,NA,NA,NA,NA
13704,2.19816,2.81268,-4.96102,-102.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13960,1.64609,-0.00309083,-3.9959,NA,NA,-158.511,NA,NA,NA,NA,NA,NA,NA,NA
14103,2.05666,1.63839,-4.32607,NA,NA,NA,NA,NA,-72.792,NA,NA,NA,NA,NA
14255,0.9795,2.41506,-4.0465,NA,NA,NA,NA,NA,-80.541,NA,NA,NA,NA,NA
14469,1.21597,1.96866,-4.97086,NA,NA,NA,NA,-54.102,NA,NA,NA,NA,NA,NA
14679,1.45585,2.64521,-4.1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.842,NA
14897,2.06325,4.50638,-4.91737,NA,NA,NA,NA,NA,-239.423,NA,NA,NA,NA,NA
15131,1.64568,4.14589,-4.02386,NA,NA,NA,NA,NA,-183.798,NA,NA,NA,NA,NA
15223,2.29047,3.55642,-4.89874,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.258,NA
15420,1.81725,2.68402,-4.48994,NA,NA,NA,-28.631,NA,NA,NA,NA,NA,NA,NA
15605,1.1143,3.14351,-4.55618,NA,NA,NA,NA,NA,-105.242,NA,NA,NA,NA,NA
15864,2.67618,3.54654,-4.42582,NA,NA,NA,NA,-122.349,NA,NA,NA,NA,NA,NA
16074,3.21384,1.7756,-3.53793,NA,NA,NA,NA,NA,-103.244,NA,NA,NA,NA,NA
16232,3.70844,1.84374,-4.45084,NA,NA,-100.5,NA,NA,NA,NA,NA,NA,NA,NA
16582,1.67675,2.03405,-2.73199,NA,-77.911,NA,NA,NA,NA,NA,NA,NA,NA,NA
16705,1.02346,1.36136,-3.82374,NA,NA,NA,-33.649,NA,NA,NA,NA,NA,NA,NA
16817,1.32827,0.550401,-4.53757,NA,NA,-84.559,NA,NA,NA,NA,NA,NA,NA,NA
17058,1.17348,1.65854,-4.59588,NA,NA,NA,-14.798,NA,NA,NA,NA,NA,NA,NA
17380,0.762523,1.34134,-4.50374,NA,NA,NA,-41.51,NA,NA,NA,NA,NA,NA,NA
17517,1.01299,2.53299,-4.7621,-72.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17776,1.32224,1.63064,-3.90696,-48.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17935,1.00453,1.8019,-4.98474,NA,NA,NA,NA,NA,NA,NA,-131.087,NA,NA,NA
18117,1.31108,2.60738,-4.7464,NA,NA,NA,NA,NA,NA,-116.705,NA,NA,NA,NA
18348,0.71128,2.22441,-3.98965,-99.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18483,2.09071,2.47499,-4.2968,NA,NA,NA,NA,NA,NA,NA,-146.773,NA,NA,NA
18734,2.24466,3.0412,-4.70036,-88.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18961,0.416761,1.89018,-3.42401,NA,-78.968,NA,NA,NA,NA,NA,NA,NA,NA,NA
19027,-0.644986,2.09915,-4.12504,NA,-143.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
19204,0.0157028,2.90007,-4.71857,NA,-104.031,NA,NA,NA,NA,NA,NA,NA,NA,NA
19543,1.08093,1.72058,-4.64682,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.074,NA
19645,0.967655,0.23376,-4.79003,NA,NA,NA,NA,NA,NA,NA,NA,NA,-181.958,NA
19934,1.57688,1.46092,-4.68369,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.649,NA
20119,0.448858,3.04767,-4.35642,NA,NA,NA,-81.02,NA,NA,NA,NA,NA,NA,NA
20289,1.51253,3.31985,-4.49652,NA,NA,NA,-63.89,NA,NA,NA,NA,NA,NA,NA
20474,0.16351,2.33438,-4.5217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-169.306
20730,1.20949,0.850644,-4.74146,NA,NA,NA,-58.421,NA,NA,NA,NA,NA,NA,NA
20808,0.881704,1.80921,-4.42874,NA,-27.972,NA,NA,NA,NA,NA,NA,NA,NA,NA
21189,2.48696,3.02775,-3.97792,NA,NA,NA,-60.219,NA,NA,NA,NA,NA,NA,NA
21204,0.702043,1.82942,-4.47121,NA,NA,-58.028,NA,NA,NA,NA,NA,NA,NA,NA
21444,0.885601,1.47665,-4.00501,-77.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21799,0.398731,2.56439,-4.48824,NA,NA,-79.656,NA,NA,NA,NA,NA,NA,NA,NA
21969,1.62543,2.70064,-4.55416,-78.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22119,1.95793,1.89681,-4.85388,NA,NA,NA,NA,NA,NA,-91.112,NA,NA,NA,NA
22388,1.00816,2.64477,-4.76179,NA,NA,NA,-41.817,NA,NA,NA,NA,NA,NA,NA
22449,0.06627,1.8889,-3.62376,-127.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22783,-0.518679,1.86908,-3.96183,NA,-135.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
22999,-0.552195,0.972502,-2.89217,NA,NA,-231.407,NA,NA,NA,NA,NA,NA,NA,NA
23040,-0.0323108,2.09047,-3.83353,NA,NA,NA,-94.806,NA,NA,NA,NA,NA,NA,NA
23278,-0.0565626,2.93195,-3.34964,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.927,NA
23588,0.859133,2.66021,-2.49293,NA,-128.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
23622,-1.0308,1.23452,-2.19174,NA,NA,NA,-359.535,NA,NA,NA,NA,NA,NA,NA
23872,0.0524997,1.67005,-2.7415,NA,NA,NA,NA,-181.18,NA,NA,NA,NA,NA,NA
24039,1.64249,2.01035,-3.50685,NA,NA,NA,NA,-59.4,NA,NA,NA,NA,NA,NA
24249,1.98171,3.26686,-3.9501,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.018,NA
24546,2.00733,3.35514,-2.86895,NA,-134.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
24692,1.41518,2.85402,-3.23213,NA,NA,NA,NA,NA,NA,-126.272,NA,NA,NA,NA
24908,1.16456,2.1854,-3.67721,NA,NA,NA,NA,NA,NA,-115.873,NA,NA,NA,NA
25178,-0.255096,2.25084,-2.89748,NA,-158.739,NA,NA,NA,NA,NA,NA,NA,NA,NA
25360,0.585946,2.80359,-3.99649,NA,NA,NA,-64.973,NA,NA,NA,NA,NA,NA,NA
25411,-0.43574,2.62058,-4.50698,NA,NA,-148.374,NA,NA,NA,NA,NA,NA,NA,NA
25714,0.775513,2.80733,-4.6584,NA,NA,-72.424,NA,NA,NA,NA,NA,NA,NA,NA
25932,0.984803,1.31419,-4.68495,NA,NA,-47.767,NA,NA,NA,NA,NA,NA,NA,NA
26058,2.69677,2.04627,-4.04962,-80.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26384,2.90977,2.1128,-4.75563,NA,-40.898,NA,NA,NA,NA,NA,NA,NA,NA,NA
26470,2.21953,3.30036,-3.17429,NA,NA,NA,NA,NA,NA,-174.155,NA,NA,NA,NA
26789,1.22066,2.74397,-3.19664,NA,NA,NA,NA,NA,NA,-127.183,NA,NA,NA,NA
26842,1.95146,2.37679,-3.56286,NA,NA,-50.707,NA,NA,NA,NA,NA,NA,NA,NA
27074,1.19659,1.13826,-4.86328,-87.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27289,2.05619,1.47559,-4.83508,NA,NA,NA,NA,NA,NA,-84.328,NA,NA,NA,NA
27597,2.786,2.40908,-4.23525,NA,NA,NA,NA,NA,NA,-143.533,NA,NA,NA,NA
27769,2.2675,2.05029,-4.89437,NA,NA,NA,NA,NA,NA,-104.291,NA,NA,NA,NA
27989,1.48262,3.3253,-4.41272,NA,NA,NA,NA,NA,NA,NA,-182.539,NA,NA,NA
28018,1.96401,3.09043,-3.35616,NA,NA,-93.776,NA,NA,NA,NA,NA,NA,NA,NA
28275,1.27749,2.32288,-4.62511,NA,NA,-50.849,NA,NA,NA,NA,NA,NA,NA,NA
28464,1.6962,1.72879,-4.81521,NA,NA,-24.635,NA,NA,NA,NA,NA,NA,NA,NA
28800,1.04618,1.94196,-4.71277,-65.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28878,1.63139,1.51083,-4.87909,NA,NA,-32.959,NA,NA,NA,NA,NA,NA,NA,NA
29163,1.26003,0.712072,-4.6822,NA,NA,NA,-61.215,NA,NA,NA,NA,NA,NA,NA
29364,1.189,1.88061,-3.91722,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.137,NA
29467,1.5487,1.76069,-3.09763,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.238,NA
29660,1.97584,2.02815,-3.44188,NA,NA,NA,-29.295,NA,NA,NA,NA,NA,NA,NA
29987,2.26388,2.73287,-2.51867,NA,NA,NA,NA,NA,-172.063,NA,NA,NA,NA,NA
30061,2.99936,2.63767,-2.69738,NA,NA,NA,NA,-152.211,NA,NA,NA,NA,NA,NA
30341,4.83566,4.22111,-4.37086,NA,NA,NA,NA,NA,-374.557,NA,NA,NA,NA,NA
30413,3.52265,3.63641,-3.83478,NA,NA,-196.444,NA,NA,NA,NA,NA,NA,NA,NA
30753,3.58877,3.43276,-3.53057,NA,NA,NA,-168.599,NA,NA,NA,NA,NA,NA,NA
30958,2.17772,2.54524,-4.23971,NA,NA,NA,-25.033,NA,NA,NA,NA,NA,NA,NA
31132,2.90149,1.69574,-4.70322,NA,NA,-52.855,NA,NA,NA,NA,NA,NA,NA,NA
31301,3.29393,1.94873,-4.99327,-106.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31512,3.52222,2.2259,-4.88482,NA,NA,NA,NA,NA,NA,-152.663,NA,NA,NA,NA
31753,1.98543,2.0722,-4.4089,NA,NA,NA,NA,NA,NA,-103.901,NA,NA,NA,NA
31954,1.68428,2.26152,-4.05178,NA,NA,-32.004,NA,NA,NA,NA,NA,NA,NA,NA
32100,1.02364,1.40258,-3.37884,NA,-57.411,NA,NA,NA,NA,NA,NA,NA,NA,NA
32239,0.727816,1.58356,-2.83096,NA,NA,NA,NA,NA,NA,-159.262,NA,NA,NA,NA
32413,0.623189,1.36722,-2.76192,NA,NA,NA,NA,NA,NA,-176.987,NA,NA,NA,NA
32678,0.478343,0.838082,-2.71781,NA,NA,NA,NA,NA,NA,NA,-245.283,NA,NA,NA
32907,0.196779,1.82419,-3.03869,NA,-109.231,NA,NA,NA,NA,NA,NA,NA,NA,NA
33153,1.15573,1.41668,-3.59785,NA,-33.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
33257,1.96324,1.89545,-4.64155,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.008,NA
33401,0.258043,2.88231,-4.80035,NA,-89.624,NA,NA,NA,NA,NA,NA,NA,NA,NA
33747,0.294884,2.05574,-4.90345,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.566,NA
33939,1.03186,0.841364,-4.66299,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.156,NA
34179,0.911122,1.97089,-4.37728,NA,NA,NA,-26.129,NA,NA,NA,NA,NA,NA,NA
34377,0.649022,1.81617,-3.90746,NA,-49.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
34600,1.67027,2.32454,-2.92599,NA,NA,NA,NA,NA,NA,NA,-168.933,NA,NA,NA
34652,2.39735,1.69189,-4.23948,NA,NA,NA,NA,NA,NA,NA,-141.779,NA,NA,NA
34883,0.0915247,1.21147,-4.85904,NA,-97.986,NA,NA,NA,NA,NA,NA,NA,NA,NA
35066,0.084561,2.63178,-4.63343,NA,NA,NA,-86.822,NA,NA,NA,NA,NA,NA,NA
35383,0.784542,1.38367,-4.14209,NA,NA,NA,-40.897,NA,NA,NA,NA,NA,NA,NA
35442,0.455075,1.24138,-4.22915,NA,NA,-74.314,NA,NA,NA,NA,NA,NA,NA,NA
35724,1.37886,1.6705,-4.47836,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.696,NA
35909,1.27715,1.97459,-4.86959,NA,NA,NA,-19.102,NA,NA,NA,NA,NA,NA,NA
36029,2.07433,3.52662,-4.35297,NA,NA,NA,-79.18,NA,NA,NA,NA,NA,NA,NA
36335,2.451,1.69892,-4.35721,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.6,NA
36413,1.33787,1.21773,-4.94751,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.593,NA
36708,1.958,0.624831,-3.89191,NA,NA,NA,-54.751,NA,NA,NA,NA,NA,NA,NA
36803,2.70832,0.295112,-4.96439,NA,NA,NA,NA,-148.77,NA,NA,NA,NA,NA,NA
37064,3.60685,1.10653,-4.92372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-169.975
37328,2.84522,2.10831,-4.39797,NA,NA,NA,-33.647,NA,NA,NA,NA,NA,NA,NA
37429,3.49188,3.70554,-4.72465,NA,NA,NA,NA,NA,NA,NA,-279.346,NA,NA,NA
37798,3.56109,1.92842,-4.6395,-135.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37853,3.12127,3.55483,-4.25798,NA,-130.864,NA,NA,NA,NA,NA,NA,NA,NA,NA
38091,2.52006,4.1407,-3.8632,NA,NA,-178.8,NA,NA,NA,NA,NA,NA,NA,NA
38243,2.91493,3.11535,-3.97718,NA,-85.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
38445,1.03817,3.14736,-4.96348,NA,NA,NA,-69.97,NA,NA,NA,NA,NA,NA,NA
38742,0.400434,2.43645,-4.62071,NA,-67.748,NA,NA,NA,NA,NA,NA,NA,NA,NA
38961,1.55877,2.83001,-4.84142,NA,NA,NA,-39.327,NA,NA,NA,NA,NA,NA,NA
39142,1.10415,3.00692,-4.22506,NA,NA,NA,NA,-66.15,NA,NA,NA,NA,NA,NA
39265,2.05017,2.47061,-3.51066,NA,NA,NA,-38.304,NA,NA,NA,NA,NA,NA,NA
39551,2.92018,2.08945,-3.55766,NA,NA,NA,NA,NA,-101.25,NA,NA,NA,NA,NA
39664,2.89535,2.89814,-3.8229,NA,NA,NA,NA,-83.783,NA,NA,NA,NA,NA,NA
39965,3.81096,2.14216,-3.78828,NA,NA,NA,NA,NA,-135.02,NA,NA,NA,NA,NA
40048,2.46593,2.32584,-3.54853,NA,NA,NA,-40.884,NA,NA,NA,NA,NA,NA,NA
40397,1.4681,2.27619,-3.58421,NA,NA,NA,NA,-44.528,NA,NA,NA,NA,NA,NA
40437,2.03984,2.89059,-3.32124,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.392,NA
40766,1.92942,1.69168,-3.75572,NA,NA,NA,NA,NA,-58.501,NA,NA,NA,NA,NA
40986,2.12411,2.45944,-4.41383,NA,NA,NA,NA,NA,-71.33,NA,NA,NA,NA,NA
41111,1.63094,2.61374,-4.06196,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.967,NA
41302,2.70371,3.44025,-4.69457,NA,NA,NA,-90.841,NA,NA,NA,NA,NA,NA,NA
41432,1.82881,1.78669,-4.51718,NA,NA,-35.497,NA,NA,NA,NA,NA,NA,NA,NA
41794,2.17204,0.688773,-4.26984,NA,NA,NA,NA,-64.366,NA,NA,NA,NA,NA,NA
41992,1.15159,0.490716,-4.59315,NA,NA,NA,NA,-127.633,NA,NA,NA,NA,NA,NA
42007,2.12612,1.89827,-4.73517,NA,NA,NA,NA,NA,-47.3,NA,NA,NA,NA,NA
42375,2.71584,2.8605,-4.53513,NA,NA,NA,NA,NA,-104.273,NA,NA,NA,NA,NA
42546,3.59805,1.35673,-4.00201,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.826,NA
42686,3.14905,1.39583,-4.10035,NA,NA,-67.036,NA,NA,NA,NA,NA,NA,NA,NA
42919,2.9111,1.75977,-4.24834,NA,NA,NA,NA,NA,NA,-119.994,NA,NA,NA,NA
43014,2.86392,1.67597,-4.93873,-86.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43314,2.25138,1.4042,-3.92666,NA,-17.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
43522,1.60289,1.49179,-3.88339,NA,NA,NA,-9.479,NA,NA,NA,NA,NA,NA,NA
43776,0.326298,1.21131,-3.83652,NA,-84.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
43936,-1.13873,2.25731,-4.94666,NA,NA,-223.769,NA,NA,NA,NA,NA,NA,NA,NA
44051,0.662938,2.55217,-2.37758,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.369,NA
44281,1.74457,2.06372,-3.32875,NA,NA,-46.479,NA,NA,NA,NA,NA,NA,NA,NA
44573,1.90205,2.26983,-3.51719,-75.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44799,1.94714,1.66512,-4.33801,-54.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44955,2.26709,1.36643,-3.79386,NA,NA,NA,NA,NA,NA,-125.306,NA,NA,NA,NA
45115,2.15811,2.25999,-3.6054,-74.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45342,2.15955,1.60367,-4.46058,-57.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45405,1.70933,2.40003,-4.22254,NA,-25.464,NA,NA,NA,NA,NA,NA,NA,NA,NA
45699,0.150603,2.62802,-4.77486,NA,NA,-108.881,NA,NA,NA,NA,NA,NA,NA,NA
45809,-0.633522,2.31143,-4.04895,NA,NA,NA,NA,NA,NA,-197.584,NA,NA,NA,NA
46052,0.587781,2.37301,-4.24153,NA,-56.543,NA,NA,NA,NA,NA,NA,NA,NA,NA
46234,2.1203,2.49698,-4.56377,NA,NA,-43.632,NA,NA,NA,NA,NA,NA,NA,NA
46545,2.9385,0.415465,-4.24042,NA,NA,-98.583,NA,NA,NA,NA,NA,NA,NA,NA
46685,2.88198,1.61669,-4.4727,NA,NA,NA,NA,NA,-76.432,NA,NA,NA,NA,NA
46829,2.37715,0.604695,-4.41363,NA,NA,NA,NA,NA,-135.304,NA,NA,NA,NA,NA
47111,2.17604,1.58129,-4.8689,NA,NA,NA,NA,NA,-54.686,NA,NA,NA,NA,NA
47396,3.07729,1.2705,-4.49501,NA,NA,NA,NA,NA,NA,NA,NA,NA,-50.743,NA
47470,2.56171,3.43114,-4.28882,NA,-92.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
47656,1.31657,3.17241,-4.82982,NA,NA,-82.891,NA,NA,NA,NA,NA,NA,NA,NA
47958,1.8076,3.01249,-4.83077,NA,NA,NA,-47.761,NA,NA,NA,NA,NA,NA,NA
48026,0.117289,3.85189,-3.94554,NA,NA,-176.764,NA,NA,NA,NA,NA,NA,NA,NA
48213,1.10053,4.57725,-4.63685,NA,NA,NA,-190.647,NA,NA,NA,NA,NA,NA,NA
48434,2.92377,3.69045,-3.55095,NA,NA,-169.491,NA,NA,NA,NA,NA,NA,NA,NA
48783,1.99951,2.66744,-2.03198,NA,-192.584,NA,NA,NA,NA,NA,NA,NA,NA,NA
48946,1.80788,1.70995,-3.25621,NA,-37.236,NA,NA,NA,NA,NA,NA,NA,NA,NA
49003,1.81914,1.65795,-3.82289,NA,NA,NA,NA,-44.55,NA,NA,NA,NA,NA,NA
49236,0.187094,2.26807,-4.78451,NA,NA,NA,NA,-92.643,NA,NA,NA,NA,NA,NA
49582,1.97065,3.8838,-4.38024,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.401,NA
49766,2.61865,2.72887,-4.33979,NA,NA,-59.522,NA,NA,NA,NA,NA,NA,NA,NA
49864,3.14848,1.40549,-4.57608,NA,NA,NA,-48.613,NA,NA,NA,NA,NA,NA,NA
50094,3.07553,2.28358,-4.71597,NA,NA,-67.622,NA,NA,NA,NA,NA,NA,NA,NA
50348,2.97028,2.82542,-4.90843,NA,NA,NA,NA,-80.098,NA,NA,NA,NA,NA,NA
50452,4.36377,3.30945,-3.23311,NA,NA,NA,-276.395,NA,NA,NA,NA,NA,NA,NA
50668,3.17995,2.50998,-4.22242,NA,-68.583,NA,NA,NA,NA,NA,NA,NA,NA,NA
50810,1.68445,2.52757,-3.46422,NA,NA,NA,-39.24,NA,NA,NA,NA,NA,NA,NA
