id,x0,x1,x2,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1,fitness-1.5,fitness-3,fitness-4.5,fitness-0.5,fitness-5
9604,2.7003,0.962029,-4.00263,NA,NA,-44.391,NA,NA,NA,NA,NA,NA,NA
9926,1.96493,0.446955,-4.25684,NA,NA,NA,NA,NA,NA,-70.688,NA,NA,NA
10103,2.60637,1.76254,-3.9715,NA,NA,-24.88,NA,NA,NA,NA,NA,NA,NA
10274,1.82756,1.78187,-4.31298,NA,NA,NA,NA,NA,NA,-8.203,NA,NA,NA
10544,1.58087,2.58877,-4.83669,NA,NA,NA,-32.707,NA,NA,NA,NA,NA,NA
10782,1.91188,2.30177,-4.51793,-38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
10967,2.44637,2.01784,-3.98571,NA,NA,-19.516,NA,NA,NA,NA,NA,NA,NA
11031,3.19105,2.29446,-3.33139,NA,NA,-91.718,NA,NA,NA,NA,NA,NA,NA
11306,2.2963,3.04693,-4.48277,NA,NA,NA,NA,NA,NA,-57.252,NA,NA,NA
11454,2.01676,2.10744,-4.95515,NA,NA,-17.99,NA,NA,NA,NA,NA,NA,NA
11625,2.26787,1.44255,-4.00554,NA,NA,NA,NA,NA,NA,-13.539,NA,NA,NA
11804,1.72542,1.46204,-4.78339,NA,NA,-9.894,NA,NA,NA,NA,NA,NA,NA
12137,2.66605,1.94125,-4.65093,NA,NA,NA,-36.924,NA,NA,NA,NA,NA,NA
12329,2.86072,2.02273,-4.47908,NA,NA,NA,NA,NA,NA,-36.496,NA,NA,NA
12456,2.0051,2.89834,-4.78743,-57.574,NA,NA,NA,NA,NA,NA,NA,NA,NA
12615,2.59656,2.22644,-4.1004,NA,NA,NA,NA,NA,NA,-34.948,NA,NA,NA
12966,1.63804,3.21366,-4.90736,NA,NA,NA,NA,NA,-77.851,NA,NA,NA,NA
13120,1.15684,2.57884,-3.34527,NA,NA,-54.596,NA,NA,NA,NA,NA,NA,NA
13250,1.34867,2.25032,-3.52313,NA,NA,NA,NA,NA,NA,-40.429,NA,NA,NA
13460,0.875458,1.37792,-3.84942,NA,NA,-39.782,NA,NA,NA,NA,NA,NA,NA
13783,1.21778,0.737696,-4.70445,NA,NA,-63.002,NA,NA,NA,NA,NA,NA,NA
13967,2.28789,2.26766,-4.84366,NA,NA,NA,NA,NA,NA,-25.445,NA,NA,NA
14110,1.64748,1.13203,-3.47499,NA,NA,NA,-41.519,NA,NA,NA,NA,NA,NA
14234,0.819199,1.77437,-3.00102,NA,NA,NA,-82.263,NA,NA,NA,NA,NA,NA
14600,1.77327,0.977225,-3.63439,NA,NA,NA,NA,NA,NA,-40.473,NA,NA,NA
14686,2.678,2.33683,-4.28951,NA,NA,-32.1,NA,NA,NA,NA,NA,NA,NA
14994,1.21834,2.00305,-4.61016,NA,NA,-16.365,NA,NA,NA,NA,NA,NA,NA
15041,1.63578,2.23366,-4.38142,NA,NA,NA,NA,NA,NA,-18.307,NA,NA,NA
15393,1.62224,2.15554,-4.64472,NA,NA,NA,NA,NA,NA,-14.226,NA,NA,NA
15533,1.72339,1.64611,-4.88408,NA,NA,NA,NA,NA,NA,-18.768,NA,NA,NA
15683,1.25276,1.24941,-4.40171,NA,NA,-19.833,NA,NA,NA,NA,NA,NA,NA
15832,1.97604,1.95152,-4.79395,NA,NA,NA,NA,NA,NA,-12.927,NA,NA,NA
16164,2.71174,2.21918,-4.90262,NA,NA,NA,NA,NA,NA,-40.337,NA,NA,NA
16375,1.89627,2.21251,-4.93434,-35.911,NA,NA,NA,NA,NA,NA,NA,NA,NA
16585,2.17337,1.83742,-4.80716,NA,NA,NA,NA,NA,NA,-22.132,NA,NA,NA
16636,1.77553,2.5448,-4.72843,-55.963,NA,NA,NA,NA,NA,NA,NA,NA,NA
16944,1.04599,1.98018,-4.85524,NA,NA,NA,NA,NA,NA,-30.036,NA,NA,NA
17088,2.43424,1.74079,-4.08285,NA,NA,-15.013,NA,NA,NA,NA,NA,NA,NA
17284,2.98337,1.70053,-4.40045,NA,NA,NA,-44.048,NA,NA,NA,NA,NA,NA
17417,1.62834,2.21954,-4.96907,NA,NA,NA,-28.314,NA,NA,NA,NA,NA,NA
17787,2.11023,2.56422,-4.43963,NA,NA,NA,-29.124,NA,NA,NA,NA,NA,NA
17899,2.02221,1.66865,-4.73509,NA,NA,NA,-17.496,NA,NA,NA,NA,NA,NA
18126,3.07771,1.7336,-4.9758,NA,NA,NA,-54.897,NA,NA,NA,NA,NA,NA
18345,2.09425,0.546276,-4.66264,NA,NA,NA,NA,NA,NA,-61.904,NA,NA,NA
18426,1.81869,1.66961,-4.50169,NA,NA,-2.942,NA,NA,NA,NA,NA,NA,NA
18712,2.384,2.04078,-3.74932,NA,NA,-24.037,NA,NA,NA,NA,NA,NA,NA
18992,0.879943,1.62929,-3.28169,NA,NA,NA,NA,NA,NA,-56.689,NA,NA,NA
19137,0.39821,1.75725,-2.98357,NA,NA,-100.266,NA,NA,NA,NA,NA,NA,NA
19368,0.697729,2.24247,-4.23077,NA,NA,-39.457,NA,NA,NA,NA,NA,NA,NA
19473,0.605532,3.17601,-4.37366,NA,NA,-80.566,NA,NA,NA,NA,NA,NA,NA
19622,0.989576,2.02359,-4.91347,NA,NA,-29.739,NA,NA,NA,NA,NA,NA,NA
19842,0.19086,2.40941,-3.85333,NA,NA,NA,-91.807,NA,NA,NA,NA,NA,NA
20008,0.617716,2.32575,-4.32427,NA,NA,NA,-58.866,NA,NA,NA,NA,NA,NA
20215,0.725814,1.68571,-4.2473,NA,NA,NA,NA,NA,NA,-41.478,NA,NA,NA
20405,0.661106,1.72572,-3.31317,-80.401,NA,NA,NA,NA,NA,NA,NA,NA,NA
20758,1.4636,3.0737,-3.29136,-101.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
20941,1.30945,2.9406,-4.26668,NA,NA,NA,NA,NA,NA,-45.471,NA,NA,NA
21167,1.37066,2.96104,-4.41979,NA,NA,NA,-45.284,NA,NA,NA,NA,NA,NA
21381,1.89285,3.17247,-4.85091,NA,NA,NA,-60.61,NA,NA,NA,NA,NA,NA
21567,2.00329,1.97105,-4.55921,NA,NA,NA,NA,NA,-40.546,NA,NA,NA,NA
21793,1.41936,1.38773,-4.05507,NA,NA,NA,NA,NA,NA,-11.824,NA,NA,NA
21848,1.5149,0.896769,-4.8634,NA,NA,NA,NA,NA,NA,-46.033,NA,NA,NA
22098,3.08246,1.36016,-3.94607,-65.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
22249,1.45753,1.0682,-4.50151,NA,NA,NA,NA,NA,NA,-34.575,NA,NA,NA
22474,2.32443,1.76898,-3.86394,NA,NA,-15.992,NA,NA,NA,NA,NA,NA,NA
22728,2.29556,2.68246,-4.60792,NA,NA,NA,NA,NA,NA,-35.085,NA,NA,NA
22915,1.00402,1.28436,-4.41377,NA,NA,NA,-46.184,NA,NA,NA,NA,NA,NA
23129,1.69827,1.61944,-4.95032,NA,NA,NA,-16.961,NA,NA,NA,NA,NA,NA
23275,0.790304,1.32065,-4.86134,NA,NA,-47.995,NA,NA,NA,NA,NA,NA,NA
23403,1.86659,1.62884,-4.79233,NA,-48.407,NA,NA,NA,NA,NA,NA,NA,NA
23772,1.60905,2.2442,-3.51011,-50.161,NA,NA,NA,NA,NA,NA,NA,NA,NA
23847,0.207862,2.3283,-4.94257,-97.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
24139,0.737966,2.00235,-4.28931,NA,NA,NA,NA,NA,-61.617,NA,NA,NA,NA
24337,1.01904,2.80179,-4.37748,NA,NA,NA,-49.316,NA,NA,NA,NA,NA,NA
24454,0.160894,2.62066,-4.91107,NA,NA,NA,NA,NA,NA,-89.469,NA,NA,NA
24616,1.65008,2.33345,-4.79487,-35.498,NA,NA,NA,NA,NA,NA,NA,NA,NA
24976,1.98198,2.06115,-4.83626,NA,NA,NA,NA,NA,NA,-22.361,NA,NA,NA
25015,1.19309,2.61341,-4.60869,NA,NA,NA,NA,NA,NA,-41.26,NA,NA,NA
25396,2.05905,3.02182,-4.76064,NA,NA,-49.043,NA,NA,NA,NA,NA,NA,NA
25573,1.17216,2.64187,-4.16268,NA,NA,NA,-35.926,NA,NA,NA,NA,NA,NA
25603,1.16911,2.79718,-3.98313,NA,NA,NA,NA,NA,-58.65,NA,NA,NA,NA
25825,1.23926,1.909,-3.66705,NA,-61.047,NA,NA,NA,NA,NA,NA,NA,NA
26102,1.69524,1.20953,-4.17991,NA,NA,NA,NA,NA,NA,NA,-115.734,NA,NA
26336,2.93699,1.66718,-4.25147,-49.141,NA,NA,NA,NA,NA,NA,NA,NA,NA
26408,1.29176,2.01868,-4.30075,NA,NA,-11.755,NA,NA,NA,NA,NA,NA,NA
26683,2.11808,2.08468,-3.34754,NA,NA,NA,NA,NA,NA,-38.226,NA,NA,NA
26814,1.04482,1.68718,-3.48018,NA,NA,-39.518,NA,NA,NA,NA,NA,NA,NA
27051,1.10559,1.60708,-4.3551,NA,NA,NA,-30.744,NA,NA,NA,NA,NA,NA
27366,2.09575,2.26936,-3.91393,NA,NA,NA,-30.735,NA,NA,NA,NA,NA,NA
27583,1.76394,2.36716,-3.14029,NA,NA,NA,NA,-95.973,NA,NA,NA,NA,NA
27668,2.8884,1.9493,-4.27384,NA,NA,NA,-36.98,NA,NA,NA,NA,NA,NA
27987,0.840541,1.3477,-3.24752,NA,NA,-69.589,NA,NA,NA,NA,NA,NA,NA
28018,1.15695,1.3156,-4.92835,NA,NA,-29.496,NA,NA,NA,NA,NA,NA,NA
28280,1.53996,1.47303,-4.70683,NA,NA,-8.869,NA,NA,NA,NA,NA,NA,NA
28518,1.84373,2.79893,-4.37691,NA,NA,NA,NA,NA,NA,-41.885,NA,NA,NA
28791,0.540712,2.86215,-4.29122,NA,NA,NA,NA,NA,NA,-69.811,NA,NA,NA
28941,0.515873,3.06188,-4.46484,-89.233,NA,NA,NA,NA,NA,NA,NA,NA,NA
29063,1.69817,2.58461,-3.52667,-68.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
29319,0.514295,2.62741,-3.76866,-94.743,NA,NA,NA,NA,NA,NA,NA,NA,NA
29411,1.57416,3.03166,-4.86086,NA,-82.983,NA,NA,NA,NA,NA,NA,NA,NA
29694,1.90112,2.91723,-3.87002,NA,NA,NA,-50.653,NA,NA,NA,NA,NA,NA
29808,2.70663,1.189,-4.77815,NA,NA,NA,-44.869,NA,NA,NA,NA,NA,NA
30098,2.50278,2.05963,-4.78555,NA,NA,NA,NA,NA,NA,-24.738,NA,NA,NA
30376,2.84847,1.0762,-4.93539,-62.899,NA,NA,NA,NA,NA,NA,NA,NA,NA
30515,2.00741,0.985777,-4.82697,-52.663,NA,NA,NA,NA,NA,NA,NA,NA,NA
30782,0.294608,0.972063,-4.08258,NA,NA,NA,NA,NA,NA,-100.851,NA,NA,NA
30901,0.804367,2.33277,-2.63109,NA,NA,NA,-118.023,NA,NA,NA,NA,NA,NA
31027,1.11463,1.60069,-4.15348,NA,NA,-16.554,NA,NA,NA,NA,NA,NA,NA
31326,1.41984,0.629668,-3.60088,-87.379,NA,NA,NA,NA,NA,NA,NA,NA,NA
31578,1.62745,1.88388,-4.25214,NA,NA,-3.455,NA,NA,NA,NA,NA,NA,NA
31601,1.90405,1.70956,-4.84991,NA,NA,NA,NA,NA,-28.046,NA,NA,NA,NA
31822,2.05636,1.46908,-4.26155,NA,NA,NA,NA,NA,NA,NA,NA,-93.854,NA
32098,1.59549,2.21835,-4.71763,NA,NA,NA,NA,NA,-30.92,NA,NA,NA,NA
32345,2.28027,1.44897,-4.03452,NA,NA,NA,-20.086,NA,NA,NA,NA,NA,NA
32509,2.33017,1.22815,-3.26012,NA,NA,-50.905,NA,NA,NA,NA,NA,NA,NA
32621,2.11237,1.78378,-3.43952,NA,NA,NA,NA,NA,NA,-29.68,NA,NA,NA
32882,1.87797,2.51684,-4.32085,-32.326,NA,NA,NA,NA,NA,NA,NA,NA,NA
33113,1.87903,2.24038,-4.3307,-28.869,NA,NA,NA,NA,NA,NA,NA,NA,NA
33263,2.73711,2.54046,-4.32708,NA,NA,NA,NA,NA,-55.484,NA,NA,NA,NA
33440,1.57878,2.66731,-4.09178,NA,NA,NA,-30.199,NA,NA,NA,NA,NA,NA
33767,1.80608,1.83407,-3.38638,-46.821,NA,NA,NA,NA,NA,NA,NA,NA,NA
33849,1.72702,1.564,-4.3662,NA,-60.125,NA,NA,NA,NA,NA,NA,NA,NA
34131,1.47218,1.27474,-4.41632,NA,-56.513,NA,NA,NA,NA,NA,NA,NA,NA
34264,2.08179,1.85445,-4.54732,NA,NA,NA,NA,NA,NA,NA,-89.803,NA,NA
34588,2.07948,1.49787,-3.76567,-31.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
34612,1.04019,2.15226,-4.62713,-39.599,NA,NA,NA,NA,NA,NA,NA,NA,NA
34872,2.3935,3.12309,-4.51375,NA,NA,-58.075,NA,NA,NA,NA,NA,NA,NA
35188,1.19124,2.57986,-4.97016,NA,NA,NA,NA,NA,NA,-42.904,NA,NA,NA
35231,1.17876,2.41365,-4.80407,NA,NA,NA,NA,NA,NA,-36.388,NA,NA,NA
35503,2.75025,1.48028,-4.08073,NA,NA,NA,NA,NA,NA,-34.61,NA,NA,NA
35679,2.76035,1.81562,-3.79007,NA,NA,NA,-36.742,NA,NA,NA,NA,NA,NA
35923,2.83324,1.40276,-4.90506,NA,NA,-38.347,NA,NA,NA,NA,NA,NA,NA
36161,3.34733,2.67856,-3.49609,NA,NA,-108.84,NA,NA,NA,NA,NA,NA,NA
36358,2.24228,2.34304,-3.91315,NA,NA,NA,-28.769,NA,NA,NA,NA,NA,NA
36576,1.45277,2.02845,-4.20961,NA,NA,NA,NA,NA,-38.095,NA,NA,NA,NA
36672,1.60599,1.40474,-4.78015,NA,NA,NA,NA,NA,-30.577,NA,NA,NA,NA
36990,0.380218,2.14886,-3.75227,NA,NA,-63.041,NA,NA,NA,NA,NA,NA,NA
37083,0.906491,3.00984,-4.7606,NA,NA,-61.777,NA,NA,NA,NA,NA,NA,NA
37388,0.00228239,1.85858,-4.63901,NA,NA,NA,-87.822,NA,NA,NA,NA,NA,NA
37505,1.07199,1.61327,-4.6631,NA,NA,NA,NA,NA,-37.262,NA,NA,NA,NA
37774,1.12167,0.965278,-4.34851,NA,NA,NA,NA,NA,NA,-47.68,NA,NA,NA
37975,2.17785,2.06846,-3.32718,-61.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
38024,2.9055,2.25237,-3.76438,NA,NA,NA,-54.738,NA,NA,NA,NA,NA,NA
38204,2.34021,2.3793,-4.59476,-36.992,NA,NA,NA,NA,NA,NA,NA,NA,NA
38588,2.93246,3.34975,-4.98013,NA,-139.963,NA,NA,NA,NA,NA,NA,NA,NA
38739,2.12419,2.23118,-4.53899,NA,NA,NA,NA,NA,NA,-23.021,NA,NA,NA
38857,2.28167,2.43729,-4.14134,-38.477,NA,NA,NA,NA,NA,NA,NA,NA,NA
39135,2.80999,1.89952,-4.65057,-62.827,NA,NA,NA,NA,NA,NA,NA,NA,NA
39327,2.49002,1.52979,-4.91771,NA,NA,-24.164,NA,NA,NA,NA,NA,NA,NA
39556,2.3307,1.74355,-4.84498,NA,NA,NA,-26.807,NA,NA,NA,NA,NA,NA
39746,3.16746,1.40727,-4.99407,NA,NA,NA,NA,NA,-72.724,NA,NA,NA,NA
39940,2.21426,2.59207,-3.3258,NA,NA,NA,NA,-92.12,NA,NA,NA,NA,NA
40153,1.75566,1.86553,-4.27972,NA,NA,NA,NA,NA,-29.662,NA,NA,NA,NA
40358,1.58693,2.06069,-4.9607,NA,NA,-17.755,NA,NA,NA,NA,NA,NA,NA
40555,2.70777,2.38655,-4.71103,NA,NA,NA,NA,NA,NA,-41.67,NA,NA,NA
40705,2.90826,2.25606,-4.0621,NA,NA,NA,-45.838,NA,NA,NA,NA,NA,NA
40980,3.83061,1.70447,-4.7894,NA,-129.328,NA,NA,NA,NA,NA,NA,NA,NA
41190,2.73582,0.904795,-4.40774,-71.843,NA,NA,NA,NA,NA,NA,NA,NA,NA
41254,2.42999,2.2571,-4.82542,NA,NA,-26.703,NA,NA,NA,NA,NA,NA,NA
41567,1.76481,1.91916,-4.02935,NA,NA,NA,NA,NA,-33.6,NA,NA,NA,NA
41726,1.75295,1.4106,-3.60184,NA,NA,-20.838,NA,NA,NA,NA,NA,NA,NA
41985,1.8931,2.01162,-3.61955,NA,-57.263,NA,NA,NA,NA,NA,NA,NA,NA
42072,1.58902,1.43666,-4.58406,NA,NA,NA,NA,NA,NA,-11.87,NA,NA,NA
42222,0.62735,1.5637,-4.07821,NA,NA,-44.427,NA,NA,NA,NA,NA,NA,NA
42472,1.42311,1.78757,-3.50481,NA,NA,NA,-28.947,NA,NA,NA,NA,NA,NA
42638,0.959213,1.33636,-3.97854,NA,NA,-32.593,NA,NA,NA,NA,NA,NA,NA
42829,1.27142,1.73969,-4.04074,NA,NA,-13.06,NA,NA,NA,NA,NA,NA,NA
43050,2.9523,2.53268,-4.78355,NA,NA,NA,NA,NA,-70.357,NA,NA,NA,NA
43223,2.39384,1.70323,-4.56839,NA,NA,NA,-23.369,NA,NA,NA,NA,NA,NA
43467,1.68431,1.49955,-3.51736,NA,NA,NA,NA,NA,-57.384,NA,NA,NA,NA
43634,2.62533,1.71239,-3.72216,NA,NA,NA,-38.572,NA,NA,NA,NA,NA,NA
43931,1.99447,1.66544,-4.05052,NA,NA,-5.034,NA,NA,NA,NA,NA,NA,NA
44050,1.38634,2.97268,-4.37159,NA,NA,NA,-48.71,NA,NA,NA,NA,NA,NA
44370,1.07145,2.43175,-4.88154,NA,NA,NA,NA,NA,-48.124,NA,NA,NA,NA
44486,1.5427,1.57625,-4.06177,NA,NA,NA,NA,NA,-24.593,NA,NA,NA,NA
44618,1.11847,2.41135,-4.12341,NA,NA,NA,NA,NA,-55.138,NA,NA,NA,NA
44817,1.53963,1.10988,-4.99642,NA,NA,-33.289,NA,NA,NA,NA,NA,NA,NA
45155,1.15735,2.08785,-4.42374,NA,NA,NA,-25.314,NA,NA,NA,NA,NA,NA
45271,2.0152,1.45296,-4.27169,NA,NA,-3.153,NA,NA,NA,NA,NA,NA,NA
45569,1.56232,1.34105,-3.70603,NA,NA,NA,NA,NA,NA,-21.437,NA,NA,NA
45657,0.995303,2.08763,-3.89765,NA,NA,-27.741,NA,NA,NA,NA,NA,NA,NA
45820,2.01804,1.58994,-4.84854,NA,NA,-11.335,NA,NA,NA,NA,NA,NA,NA
46072,1.29944,1.35181,-4.02288,NA,-55.233,NA,NA,NA,NA,NA,NA,NA,NA
46297,1.38051,3.10632,-4.4258,NA,-98.64,NA,NA,NA,NA,NA,NA,NA,NA
46485,0.818495,2.32688,-4.73057,NA,-68.926,NA,NA,NA,NA,NA,NA,NA,NA
46778,1.55663,1.63746,-4.67121,-25.192,NA,NA,NA,NA,NA,NA,NA,NA,NA
46965,0.954772,2.68606,-4.31646,NA,NA,-41.716,NA,NA,NA,NA,NA,NA,NA
47109,1.05362,2.72508,-3.68495,NA,NA,-51.486,NA,NA,NA,NA,NA,NA,NA
47339,2.13736,2.2957,-4.07168,-31.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
47454,1.59732,2.78346,-4.55342,NA,-83.116,NA,NA,NA,NA,NA,NA,NA,NA
47675,2.5134,2.65631,-3.95274,NA,NA,NA,NA,NA,NA,-44.259,NA,NA,NA
47835,1.11072,1.73019,-4.05532,NA,NA,NA,-24.824,NA,NA,NA,NA,NA,NA
48145,2.0186,1.80094,-3.85468,NA,NA,NA,-21.968,NA,NA,NA,NA,NA,NA
48277,2.16807,1.31788,-4.33473,NA,NA,NA,NA,NA,NA,NA,NA,-110.79,NA
48432,0.766375,1.2377,-4.51651,-57.868,NA,NA,NA,NA,NA,NA,NA,NA,NA
48750,1.90221,1.52206,-4.92375,-37.961,NA,NA,NA,NA,NA,NA,NA,NA,NA
48879,1.82688,1.5498,-4.8391,NA,NA,NA,NA,NA,NA,-18.307,NA,NA,NA
49043,2.02688,1.45189,-4.71122,NA,NA,NA,NA,-56.551,NA,NA,NA,NA,NA
49381,2.05287,1.91599,-4.01352,NA,NA,NA,NA,NA,-43.189,NA,NA,NA,NA
49561,2.07571,1.29734,-3.45179,NA,NA,NA,NA,NA,-63.544,NA,NA,NA,NA
49741,1.71393,3.09101,-4.93411,NA,NA,NA,NA,NA,-69.724,NA,NA,NA,NA
49920,1.66388,2.76146,-4.1374,NA,NA,-31.915,NA,NA,NA,NA,NA,NA,NA
50016,1.56548,1.12294,-4.61793,NA,NA,NA,NA,-71.681,NA,NA,NA,NA,NA
50285,2.11393,1.93653,-4.15606,NA,NA,-7.459,NA,NA,NA,NA,NA,NA,NA
50486,0.959379,1.45161,-4.92427,NA,NA,NA,NA,NA,-71.423,NA,NA,NA,NA
50614,2.05202,1.95213,-4.07287,NA,NA,NA,-16.556,NA,NA,NA,NA,NA,NA
50871,1.46014,2.40749,-4.55226,NA,NA,NA,NA,NA,NA,-23.255,NA,NA,NA
51148,2.37792,2.16427,-4.23902,NA,NA,NA,-21.684,NA,NA,NA,NA,NA,NA
51273,2.36317,2.85647,-4.97208,NA,NA,NA,NA,NA,NA,-55.676,NA,NA,NA
51541,1.36607,1.96904,-4.36657,NA,NA,NA,NA,NA,-29.714,NA,NA,NA,NA
51610,1.78889,0.241193,-4.48969,NA,NA,NA,NA,NA,NA,-104.347,NA,NA,NA
51842,2.4053,1.09181,-3.74161,NA,NA,-34.538,NA,NA,NA,NA,NA,NA,NA
52073,1.37455,0.859967,-4.06874,NA,NA,NA,-53.269,NA,NA,NA,NA,NA,NA
52381,1.34565,1.58205,-4.81641,NA,NA,NA,-20.233,NA,NA,NA,NA,NA,NA
52599,1.95309,2.11828,-4.33033,NA,NA,-8.824,NA,NA,NA,NA,NA,NA,NA
52773,0.813,0.974784,-4.93034,NA,NA,NA,NA,NA,-98.849,NA,NA,NA,NA
52848,0.648282,1.82377,-4.37736,NA,NA,NA,-51.855,NA,NA,NA,NA,NA,NA
53113,1.63564,1.88658,-4.71459,NA,NA,-8.984,NA,NA,NA,NA,NA,NA,NA
53287,1.82747,1.74063,-3.82734,NA,NA,NA,-13.726,NA,NA,NA,NA,NA,NA
53401,2.62778,2.09568,-4.28453,NA,NA,-24.328,NA,NA,NA,NA,NA,NA,NA
53613,2.20217,2.92742,-3.68074,NA,NA,NA,NA,NA,-66.545,NA,NA,NA,NA
53880,2.24555,1.68249,-4.32116,NA,NA,NA,NA,NA,-27.759,NA,NA,NA,NA
54014,2.64545,1.55867,-4.97407,NA,NA,-31.656,NA,NA,NA,NA,NA,NA,NA
