id,x0,x1,x2,fitness4,fitness4.5,fitness7,fitness8,fitness7.5,fitness8.5,fitness6.5,fitness9,fitness9.5,fitness10
30411,7.36305,7.60697,7.58607,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA
30787,6.99645,7.95311,8.03468,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA
30840,7.82961,8.21237,7.60154,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA
31155,7.71688,8.15253,7.63293,NA,NA,NA,0.918,NA,NA,NA,NA,NA,NA
31310,8.11611,7.58212,6.44393,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA
31542,7.61888,7.38083,7.40119,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA
31671,7.21315,7.50595,7.65897,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA
31927,7.60502,7.18939,7.79412,NA,NA,NA,0.935,NA,NA,NA,NA,NA,NA
32029,7.90966,6.90189,7.43232,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA
32398,8.0119,8.02475,8.25913,NA,NA,NA,0.903,NA,NA,NA,NA,NA,NA
32473,7.29472,7.96932,8.30114,NA,NA,NA,NA,0.883,NA,NA,NA,NA,NA
32654,7.26893,7.7044,7.87265,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA
32948,8.03748,7.28398,8.02015,NA,NA,NA,NA,0.886,NA,NA,NA,NA,NA
33127,7.94171,7.64939,7.6385,NA,NA,NA,NA,0.959,NA,NA,NA,NA,NA
33335,8.02134,7.14269,6.75423,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA
33434,8.31506,6.84751,7.82917,NA,NA,NA,0.727,NA,NA,NA,NA,NA,NA
33746,7.86585,7.08662,7.7977,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA
33982,7.86966,8.02607,8.03107,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA
34140,7.68325,8.17984,7.84993,NA,NA,NA,0.946,NA,NA,NA,NA,NA,NA
34239,8.02176,8.17855,7.67056,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA
34528,7.08522,7.92113,7.67695,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA
34769,8.3494,7.48592,6.93897,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA
34875,7.67768,8.01566,7.41399,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA
35122,8.60088,7.56525,7.68276,NA,NA,NA,NA,NA,0.794,NA,NA,NA,NA
35357,7.28929,8.08288,7.67693,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA
35586,7.52721,8.06573,8.0755,NA,NA,NA,0.936,NA,NA,NA,NA,NA,NA
35726,8.13569,6.65632,7.57057,NA,NA,NA,0.701,NA,NA,NA,NA,NA,NA
35921,7.82849,7.72879,6.96464,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA
36056,7.67272,7.46347,8.13545,NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA
36220,7.30819,7.66043,8.67509,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA
36466,8.0263,8.21288,8.12544,NA,NA,NA,NA,0.858,NA,NA,NA,NA,NA
36701,7.20607,7.81461,6.81937,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA
36811,7.60361,7.71225,6.91837,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA
37123,7.91608,8.52312,7.46746,NA,NA,NA,0.819,NA,NA,NA,NA,NA,NA
37277,7.99247,7.70914,7.44936,NA,NA,NA,NA,NA,0.876,NA,NA,NA,NA
37502,8.33983,8.12845,8.11618,NA,NA,NA,0.841,NA,NA,NA,NA,NA,NA
37800,8.15222,8.45039,7.29568,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA
37920,7.12344,7.6808,8.00953,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA
38106,8.3313,7.34189,8.02338,NA,NA,NA,0.864,NA,NA,NA,NA,NA,NA
38213,7.95639,8.19807,8.31822,NA,NA,NA,0.867,NA,NA,NA,NA,NA,NA
38550,8.12086,7.50881,7.27033,NA,NA,NA,0.906,NA,NA,NA,NA,NA,NA
38638,7.60021,7.74303,7.64355,NA,NA,NA,NA,NA,0.913,NA,NA,NA,NA
38860,7.47143,7.69724,7.24683,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA
39156,7.87187,7.3016,7.86719,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA
39280,8.38376,7.40738,7.48942,NA,NA,NA,0.853,NA,NA,NA,NA,NA,NA
39597,7.24052,7.74149,7.92348,NA,NA,NA,NA,0.921,NA,NA,NA,NA,NA
39771,7.27327,7.12057,7.63123,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA
39979,7.36822,7.76752,7.95438,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA
40052,7.4299,7.74476,7.24562,NA,NA,NA,0.936,NA,NA,NA,NA,NA,NA
40343,7.03827,8.928,7.67113,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA
40483,7.79878,7.45686,7.82449,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA
40780,7.5781,7.69774,7.30875,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA
40897,7.40377,7.35275,8.08684,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA
41181,7.73218,7.34425,7.64363,NA,NA,NA,0.967,NA,NA,NA,NA,NA,NA
41334,7.41438,7.01044,8.08109,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA
41533,6.96906,7.92455,7.85606,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA
41794,7.51678,7.83252,7.50119,NA,NA,NA,NA,0.971,NA,NA,NA,NA,NA
41816,7.00673,7.25061,7.64577,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA
42060,7.41869,7.51657,7.32047,NA,NA,NA,NA,0.912,NA,NA,NA,NA,NA
42249,7.49907,7.32619,7.97897,NA,NA,NA,NA,0.924,NA,NA,NA,NA,NA
42439,7.39879,8.27452,8.2757,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA
42713,7.00791,7.30051,8.7299,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA
42960,7.497,7.69886,8.26336,NA,NA,NA,NA,NA,NA,0.711,NA,NA,NA
43187,7.97648,7.38947,8.43031,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA
43393,8.84417,8.0418,7.96703,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA
43413,8.13684,7.26697,7.14406,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA
43673,8.44089,7.30424,8.61377,NA,NA,NA,NA,0.729,NA,NA,NA,NA,NA
43954,7.98613,7.80976,8.86721,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA
44113,7.78181,7.08169,8.21202,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA
44315,8.74357,7.9189,7.69931,NA,NA,NA,NA,0.817,NA,NA,NA,NA,NA
44494,8.5747,7.24094,7.45899,NA,NA,0.734,NA,NA,NA,NA,NA,NA,NA
44703,7.98585,8.18414,7.82917,NA,NA,NA,NA,0.937,NA,NA,NA,NA,NA
44954,7.63463,7.93751,8.23671,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA
45131,8.04192,7.55331,7.30978,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA
45314,7.55727,8.24508,7.52446,NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA
45427,7.86887,7.92905,7.39725,NA,NA,NA,NA,0.931,NA,NA,NA,NA,NA
45722,7.7679,7.97035,8.08836,NA,NA,NA,NA,0.928,NA,NA,NA,NA,NA
45877,7.59255,8.09638,8.5741,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA
46058,7.62451,8.5299,8.19962,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA
46349,7.63904,7.16674,7.84503,NA,NA,NA,0.915,NA,NA,NA,NA,NA,NA
46457,7.34239,6.84183,8.23801,NA,NA,NA,NA,0.736,NA,NA,NA,NA,NA
46767,7.65969,6.9589,8.4479,NA,NA,NA,0.781,NA,NA,NA,NA,NA,NA
46808,8.43388,7.71548,7.68861,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA
47031,8.36314,7.40005,8.46429,NA,NA,NA,NA,0.777,NA,NA,NA,NA,NA
47378,7.70546,8.18101,7.8195,NA,NA,NA,0.927,NA,NA,NA,NA,NA,NA
47525,7.50617,7.99467,6.18642,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA
47770,7.27015,8.04573,7.051,NA,NA,NA,NA,0.843,NA,NA,NA,NA,NA
47862,7.3215,8.23932,7.94456,NA,NA,NA,NA,0.902,NA,NA,NA,NA,NA
48195,7.67207,8.31954,7.62939,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA
48385,7.61347,7.71299,7.30385,NA,NA,NA,0.941,NA,NA,NA,NA,NA,NA
48423,7.74763,7.46476,7.52361,NA,NA,NA,0.979,NA,NA,NA,NA,NA,NA
48683,7.60577,7.54545,7.65229,NA,NA,NA,NA,0.968,NA,NA,NA,NA,NA
48834,7.6425,7.17033,7.76457,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA
49075,7.53453,7.74936,6.81378,NA,NA,NA,NA,0.816,NA,NA,NA,NA,NA
49356,8.44069,7.2746,8.1842,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA
49466,7.47382,8.51695,8.19978,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA
49677,8.18865,8.12217,7.34609,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA
49890,7.17473,7.78786,8.30016,NA,NA,NA,0.867,NA,NA,NA,NA,NA,NA
50025,6.66477,7.30669,7.86282,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA
50390,7.1192,7.56999,8.03492,NA,NA,NA,NA,0.899,NA,NA,NA,NA,NA
50565,7.73248,6.76316,8.24358,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
50612,7.04633,7.93939,7.81986,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA
50878,8.16916,7.54273,7.51357,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA
51166,7.48944,7.53437,7.69883,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA
51277,7.93352,7.63968,7.17978,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA
51454,7.46782,7.22712,7.65079,NA,NA,NA,NA,0.901,NA,NA,NA,NA,NA
51636,8.26156,8.59707,8.03666,NA,NA,NA,0.782,NA,NA,NA,NA,NA,NA
51984,8.05424,7.79567,8.63333,NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA
52189,7.71421,7.32637,7.79222,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA
52363,8.26086,8.54912,8.10769,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA
52501,7.98198,7.51929,7.95968,NA,NA,NA,NA,NA,NA,NA,0.777,NA,NA
52602,7.98365,6.61364,7.93271,NA,NA,NA,NA,NA,0.606,NA,NA,NA,NA
52826,7.88702,7.52149,7.70879,NA,NA,NA,0.965,NA,NA,NA,NA,NA,NA
53023,7.40131,7.59514,7.71308,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA
53376,7.82545,7.595,7.85762,NA,NA,NA,NA,0.965,NA,NA,NA,NA,NA
53447,7.11036,7.18697,6.94084,NA,NA,NA,0.734,NA,NA,NA,NA,NA,NA
53686,7.94544,7.26659,7.46423,NA,NA,NA,0.923,NA,NA,NA,NA,NA,NA
53872,6.92679,7.6645,7.5327,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA
54114,7.95277,7.86839,7.51195,NA,NA,NA,NA,0.972,NA,NA,NA,NA,NA
54362,7.71734,8.20953,7.72342,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA
54600,7.89672,8.50733,7.12186,NA,NA,NA,NA,NA,0.703,NA,NA,NA,NA
54738,7.7824,8.45465,7.49314,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA
54904,8.5771,7.74362,7.81953,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA
55119,6.89018,8.01162,8.06862,NA,NA,NA,NA,NA,0.723,NA,NA,NA,NA
55306,7.36946,8.22541,7.55806,NA,NA,NA,NA,NA,0.808,NA,NA,NA,NA
55497,7.85777,8.14971,7.70322,NA,NA,NA,0.935,NA,NA,NA,NA,NA,NA
55690,7.11119,8.30822,7.71561,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA
55856,6.85764,7.26996,7.64098,NA,NA,NA,0.755,NA,NA,NA,NA,NA,NA
56115,7.61335,7.54398,6.43726,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA
56308,7.56965,8.34776,8.27554,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA
56557,7.52881,7.54988,8.1934,NA,NA,NA,0.916,NA,NA,NA,NA,NA,NA
