id,x0,x1,x2,fitness-4,fitness-3.5,fitness-2,fitness-1.5,fitness-2.5,fitness-4.5,fitness-3,fitness-1,fitness-5,fitness-0.5,fitness0
13478,2.98202,1.4861,-4.19911,NA,NA,NA,NA,-39.681,NA,NA,NA,NA,NA,NA
13800,2.25093,1.0914,-4.60231,NA,NA,NA,NA,-21.098,NA,NA,NA,NA,NA,NA
13887,1.70862,1.10272,-4.32908,NA,NA,NA,NA,NA,NA,-16.976,NA,NA,NA,NA
14112,1.89327,2.51338,-3.80909,NA,NA,NA,NA,NA,NA,-33.253,NA,NA,NA,NA
14352,1.33845,1.45872,-4.10146,NA,NA,NA,NA,-10.852,NA,NA,NA,NA,NA,NA
14473,1.95679,2.42742,-4.87553,NA,NA,NA,NA,NA,NA,-25.782,NA,NA,NA,NA
14711,3.0723,2.92494,-4.90043,NA,NA,NA,NA,NA,NA,-83.712,NA,NA,NA,NA
14942,3.07909,3.37306,-4.22684,NA,NA,NA,NA,NA,NA,-106.85,NA,NA,NA,NA
15038,2.3254,1.80635,-3.57693,NA,NA,NA,-52.849,NA,NA,NA,NA,NA,NA,NA
15359,3.32994,2.00097,-4.85525,NA,NA,NA,NA,-63.493,NA,NA,NA,NA,NA,NA
15404,1.2162,1.91644,-4.08868,NA,NA,NA,NA,-14.566,NA,NA,NA,NA,NA,NA
15652,1.6146,1.99792,-4.25019,NA,NA,NA,NA,-6.856,NA,NA,NA,NA,NA,NA
15866,1.13688,1.62004,-4.7546,NA,NA,NA,NA,-19.675,NA,NA,NA,NA,NA,NA
16092,1.5167,1.86815,-2.95106,NA,-68.187,NA,NA,NA,NA,NA,NA,NA,NA,NA
16333,2.88946,1.55705,-4.31733,NA,NA,NA,NA,NA,NA,-40.544,NA,NA,NA,NA
16418,2.68769,1.50539,-4.72906,NA,-52.799,NA,NA,NA,NA,NA,NA,NA,NA,NA
16678,1.47499,2.13877,-4.97276,NA,-36.724,NA,NA,NA,NA,NA,NA,NA,NA,NA
16840,1.91034,1.60064,-4.69396,NA,NA,-17.569,NA,NA,NA,NA,NA,NA,NA,NA
17061,1.64005,2.29906,-4.3157,NA,NA,NA,-27.058,NA,NA,NA,NA,NA,NA,NA
17284,1.79199,0.985617,-3.99926,NA,NA,-26.09,NA,NA,NA,NA,NA,NA,NA,NA
17477,2.31897,1.48679,-4.20184,NA,NA,NA,-44.509,NA,NA,NA,NA,NA,NA,NA
17641,2.21618,0.9873,-4.35284,NA,NA,-27.629,NA,NA,NA,NA,NA,NA,NA,NA
17979,2.77809,1.45611,-4.0349,NA,NA,NA,NA,NA,NA,-40.39,NA,NA,NA,NA
18086,2.54299,2.21566,-4.98506,NA,NA,NA,NA,-32.438,NA,NA,NA,NA,NA,NA
18242,1.69925,1.76781,-4.66236,NA,NA,-7.158,NA,NA,NA,NA,NA,NA,NA,NA
18453,1.2307,1.11327,-3.98367,NA,NA,-36.416,NA,NA,NA,NA,NA,NA,NA,NA
18776,0.785941,1.62431,-4.93581,NA,NA,NA,NA,-40.928,NA,NA,NA,NA,NA,NA
18930,1.07353,2.41879,-4.32298,NA,NA,NA,NA,NA,NA,-29.698,NA,NA,NA,NA
19168,1.16172,2.45707,-4.40323,NA,NA,NA,NA,NA,NA,-35.247,NA,NA,NA,NA
19267,2.08314,2.03471,-4.16153,-58.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19588,2.67521,1.61169,-4.68827,NA,NA,-31.217,NA,NA,NA,NA,NA,NA,NA,NA
19679,2.46321,2.8956,-4.93839,NA,NA,-58.977,NA,NA,NA,NA,NA,NA,NA,NA
19908,1.92935,2.08905,-3.32121,NA,NA,NA,NA,NA,NA,-38.739,NA,NA,NA,NA
20124,1.53934,2.40573,-3.36866,NA,NA,NA,NA,-40.03,NA,NA,NA,NA,NA,NA
20324,1.73285,3.01334,-3.29407,NA,NA,NA,NA,-70.574,NA,NA,NA,NA,NA,NA
20539,1.81556,1.85243,-3.85243,NA,NA,NA,-39.751,NA,NA,NA,NA,NA,NA,NA
20690,1.17152,2.31564,-3.98531,NA,NA,NA,NA,NA,NA,-33.61,NA,NA,NA,NA
20961,1.96098,2.19413,-3.94038,NA,-40.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
21150,1.03943,1.72501,-4.61591,-57.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21273,0.835137,3.2491,-4.20837,NA,NA,NA,NA,NA,NA,-82.7,NA,NA,NA,NA
21463,1.1516,2.95651,-4.9678,NA,NA,NA,NA,NA,NA,-62.29,NA,NA,NA,NA
21647,0.638166,1.89648,-4.34961,NA,NA,NA,NA,NA,NA,-44.95,NA,NA,NA,NA
21972,1.31573,1.88521,-4.23918,NA,NA,-24.055,NA,NA,NA,NA,NA,NA,NA,NA
22138,1.46809,1.57309,-4.28182,NA,NA,NA,NA,NA,NA,-10.151,NA,NA,NA,NA
22278,3.01394,1.19073,-3.79674,NA,NA,NA,NA,-55.344,NA,NA,NA,NA,NA,NA
22421,2.64414,2.36323,-4.68495,NA,NA,NA,NA,NA,NA,-37.49,NA,NA,NA,NA
22745,2.71033,2.15549,-3.92328,NA,NA,NA,NA,-33.527,NA,NA,NA,NA,NA,NA
22808,2.04194,2.28233,-3.99547,-58.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23074,2.48906,1.61964,-4.74483,NA,NA,-22.659,NA,NA,NA,NA,NA,NA,NA,NA
23373,1.57685,2.44432,-4.49167,NA,-45.398,NA,NA,NA,NA,NA,NA,NA,NA,NA
23517,1.99592,2.27851,-4.97271,NA,NA,NA,NA,-22.106,NA,NA,NA,NA,NA,NA
23751,2.54662,1.78526,-4.26558,NA,NA,NA,NA,NA,NA,-24.728,NA,NA,NA,NA
23918,1.43931,1.49147,-4.59989,NA,NA,NA,-37.476,NA,NA,NA,NA,NA,NA,NA
24093,1.47874,1.61332,-4.03853,NA,NA,-12.298,NA,NA,NA,NA,NA,NA,NA,NA
24248,2.09217,1.63477,-4.76889,NA,NA,NA,NA,NA,NA,-20.12,NA,NA,NA,NA
24440,2.09984,1.71183,-4.18329,NA,-30.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
24705,2.06031,1.4391,-4.5924,NA,NA,NA,NA,NA,-99.565,NA,NA,NA,NA,NA
24830,2.0561,1.86028,-4.12964,-41.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25051,1.89716,2.13385,-3.85889,NA,NA,NA,NA,NA,-83.911,NA,NA,NA,NA,NA
25391,2.87662,1.63784,-3.29863,NA,NA,NA,NA,NA,-153.103,NA,NA,NA,NA,NA
25413,1.40995,1.41773,-3.66569,NA,NA,NA,NA,NA,NA,NA,NA,-132.857,NA,NA
25730,0.69619,2.17545,-4.0959,NA,NA,NA,NA,-39.631,NA,NA,NA,NA,NA,NA
25967,1.23998,1.70558,-4.11636,NA,NA,-25.302,NA,NA,NA,NA,NA,NA,NA,NA
26002,2.43146,2.23719,-4.87145,NA,NA,-30.325,NA,NA,NA,NA,NA,NA,NA,NA
26311,2.43992,1.89639,-4.97082,NA,NA,NA,NA,-23.77,NA,NA,NA,NA,NA,NA
26555,1.97113,2.1252,-4.87317,NA,NA,NA,NA,-15.912,NA,NA,NA,NA,NA,NA
26663,1.36413,1.09994,-4.66069,NA,NA,-41.914,NA,NA,NA,NA,NA,NA,NA,NA
26919,1.89677,2.50823,-4.56408,NA,NA,-22.723,NA,NA,NA,NA,NA,NA,NA,NA
27160,1.96581,1.59465,-4.79157,NA,NA,-10.24,NA,NA,NA,NA,NA,NA,NA,NA
27223,1.64973,1.92473,-4.87019,NA,NA,NA,NA,-11.907,NA,NA,NA,NA,NA,NA
27411,1.85379,1.51765,-4.07179,NA,NA,NA,-34.943,NA,NA,NA,NA,NA,NA,NA
27756,2.40116,1.73255,-3.66085,NA,NA,NA,NA,NA,NA,NA,-86.943,NA,NA,NA
27939,0.754627,2.70833,-3.73529,NA,NA,NA,-79.896,NA,NA,NA,NA,NA,NA,NA
28098,1.85896,1.56004,-2.99977,NA,NA,NA,NA,NA,NA,-53.91,NA,NA,NA,NA
28208,1.93152,1.787,-2.58661,NA,NA,NA,NA,NA,NA,-90.645,NA,NA,NA,NA
28575,1.22348,1.20394,-3.44095,NA,NA,NA,NA,NA,NA,-53.844,NA,NA,NA,NA
28748,0.48822,1.42272,-4.35994,NA,NA,NA,NA,-58.161,NA,NA,NA,NA,NA,NA
28927,0.66122,0.854475,-4.55343,NA,NA,-96.586,NA,NA,NA,NA,NA,NA,NA,NA
29167,2.01437,0.629166,-4.46374,NA,NA,NA,NA,-52.218,NA,NA,NA,NA,NA,NA
29325,2.01263,1.31156,-4.33141,NA,NA,NA,NA,-5.358,NA,NA,NA,NA,NA,NA
29582,2.09407,1.46394,-4.8692,NA,NA,NA,-35.431,NA,NA,NA,NA,NA,NA,NA
29716,1.15528,1.78336,-4.52816,NA,NA,NA,-44.541,NA,NA,NA,NA,NA,NA,NA
29805,1.68361,2.20128,-4.71552,NA,NA,-15.268,NA,NA,NA,NA,NA,NA,NA,NA
30086,1.70557,2.44011,-4.14715,NA,NA,NA,NA,-18.139,NA,NA,NA,NA,NA,NA
30379,1.81669,1.58928,-3.97933,NA,NA,-6.177,NA,NA,NA,NA,NA,NA,NA,NA
30403,2.0674,1.89264,-3.87774,NA,NA,NA,NA,NA,NA,-13.418,NA,NA,NA,NA
30782,2.0917,1.77408,-4.02417,NA,NA,NA,NA,NA,NA,-12.595,NA,NA,NA,NA
30820,2.54844,0.925527,-4.87243,NA,NA,NA,NA,NA,NA,-47.783,NA,NA,NA,NA
31019,0.769691,3.20949,-3.89858,NA,NA,NA,NA,-80.71,NA,NA,NA,NA,NA,NA
31325,1.02816,2.03689,-3.80614,NA,-54.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
31489,1.40962,1.9367,-3.00557,NA,NA,NA,NA,NA,NA,-59.613,NA,NA,NA,NA
31778,1.41933,1.13275,-4.98523,NA,NA,NA,NA,NA,NA,-33.631,NA,NA,NA,NA
31839,0.518856,1.78418,-4.15122,NA,NA,NA,NA,NA,NA,-52.545,NA,NA,NA,NA
32033,1.23902,1.85856,-4.66617,NA,-36.305,NA,NA,NA,NA,NA,NA,NA,NA,NA
32338,1.69372,1.11419,-3.68273,NA,-41.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
32504,1.62439,1.43209,-4.48015,NA,NA,NA,NA,-4.928,NA,NA,NA,NA,NA,NA
32667,1.92647,1.4752,-4.41714,NA,NA,-4.885,NA,NA,NA,NA,NA,NA,NA,NA
32920,2.67899,2.12643,-4.48576,NA,NA,NA,NA,NA,NA,-29.872,NA,NA,NA,NA
33193,2.68647,2.61402,-3.93929,NA,NA,NA,NA,-47.949,NA,NA,NA,NA,NA,NA
33386,1.91918,2.14713,-2.97116,NA,NA,NA,NA,NA,NA,-61.589,NA,NA,NA,NA
33566,2.01313,1.94192,-3.90963,NA,NA,NA,NA,NA,NA,-15.81,NA,NA,NA,NA
33787,1.83964,2.73094,-3.40768,NA,NA,NA,NA,-50.324,NA,NA,NA,NA,NA,NA
33847,1.85993,2.83915,-4.06294,NA,NA,-39.436,NA,NA,NA,NA,NA,NA,NA,NA
34115,2.48796,4.01304,-4.73077,NA,NA,NA,NA,NA,NA,NA,-166.521,NA,NA,NA
34314,1.94722,2.37677,-4.44275,NA,NA,NA,-36.366,NA,NA,NA,NA,NA,NA,NA
34486,1.85883,2.10947,-4.71151,NA,NA,-15.088,NA,NA,NA,NA,NA,NA,NA,NA
34771,2.21603,1.73927,-3.71797,NA,NA,-24.698,NA,NA,NA,NA,NA,NA,NA,NA
34953,1.32999,2.78167,-4.4313,NA,NA,-42.241,NA,NA,NA,NA,NA,NA,NA,NA
35111,1.9937,2.23087,-4.35071,NA,NA,NA,NA,-12.343,NA,NA,NA,NA,NA,NA
35270,1.84487,2.20212,-3.98639,NA,NA,NA,NA,-12.892,NA,NA,NA,NA,NA,NA
35549,2.32046,2.1139,-4.24284,NA,-47.991,NA,NA,NA,NA,NA,NA,NA,NA,NA
35751,1.97013,1.98938,-3.93071,NA,NA,-21.591,NA,NA,NA,NA,NA,NA,NA,NA
35810,0.806433,1.01493,-4.09645,NA,NA,NA,NA,NA,NA,NA,-123.803,NA,NA,NA
36162,1.11452,2.34576,-4.26163,NA,NA,NA,NA,NA,NA,NA,-73.522,NA,NA,NA
36213,1.3504,1.61621,-4.83846,NA,NA,-20.122,NA,NA,NA,NA,NA,NA,NA,NA
36457,1.5433,1.05741,-3.9109,NA,NA,NA,NA,NA,NA,-27.515,NA,NA,NA,NA
36656,1.85748,2.3605,-4.83844,NA,NA,NA,NA,NA,NA,-23.057,NA,NA,NA,NA
36909,1.6012,2.19622,-4.25626,NA,NA,NA,NA,NA,NA,-12.743,NA,NA,NA,NA
37106,1.45562,1.35964,-4.2427,NA,NA,-22.353,NA,NA,NA,NA,NA,NA,NA,NA
37327,1.1559,1.41256,-4.79653,NA,NA,NA,NA,NA,NA,-28.366,NA,NA,NA,NA
37432,0.335525,1.59067,-3.50947,NA,NA,NA,NA,-83.854,NA,NA,NA,NA,NA,NA
37776,1.80676,1.6393,-4.44811,NA,NA,NA,NA,NA,NA,-7.193,NA,NA,NA,NA
37801,1.72496,1.31971,-3.24655,NA,-63.408,NA,NA,NA,NA,NA,NA,NA,NA,NA
38139,1.8303,1.20182,-3.73452,NA,NA,NA,NA,NA,NA,-31.581,NA,NA,NA,NA
38203,2.75546,1.45309,-3.53424,NA,NA,NA,NA,-46.767,NA,NA,NA,NA,NA,NA
38413,1.70044,1.23452,-3.80896,NA,NA,NA,NA,-16.21,NA,NA,NA,NA,NA,NA
38759,0.35044,1.65413,-3.50799,NA,NA,NA,NA,-77.298,NA,NA,NA,NA,NA,NA
38927,0.877766,2.15107,-2.73308,NA,NA,NA,-139.75,NA,NA,NA,NA,NA,NA,NA
39014,1.0921,2.02587,-3.1407,NA,NA,-59.203,NA,NA,NA,NA,NA,NA,NA,NA
39332,2.2305,1.31722,-3.80222,NA,NA,-21.444,NA,NA,NA,NA,NA,NA,NA,NA
39565,2.11901,1.63617,-4.43891,NA,NA,NA,NA,NA,NA,-12.418,NA,NA,NA,NA
39604,1.83065,1.76421,-4.85085,NA,NA,NA,NA,NA,NA,-15.302,NA,NA,NA,NA
39908,1.84613,2.22852,-4.43601,NA,NA,NA,NA,NA,NA,-18.461,NA,NA,NA,NA
40164,2.5183,2.65927,-4.55114,NA,NA,NA,NA,-38.872,NA,NA,NA,NA,NA,NA
40206,1.81901,3.75659,-4.74431,NA,NA,NA,NA,NA,NA,-101.974,NA,NA,NA,NA
40421,2.66726,2.38833,-4.75088,NA,NA,NA,NA,-37.256,NA,NA,NA,NA,NA,NA
40687,1.38479,1.16343,-4.64877,NA,NA,NA,NA,NA,NA,-28.573,NA,NA,NA,NA
40827,2.00433,1.60598,-4.39619,NA,NA,NA,NA,NA,NA,-13.441,NA,NA,NA,NA
41187,2.07075,1.53854,-4.73084,NA,-27.981,NA,NA,NA,NA,NA,NA,NA,NA,NA
41224,1.63439,2.80877,-4.99245,NA,NA,NA,NA,-41.742,NA,NA,NA,NA,NA,NA
41420,2.51083,2.28512,-3.82297,NA,NA,-35.625,NA,NA,NA,NA,NA,NA,NA,NA
41694,1.12274,2.84455,-4.8391,NA,NA,NA,NA,-48.513,NA,NA,NA,NA,NA,NA
41950,2.20065,2.41755,-4.12182,NA,NA,-27.13,NA,NA,NA,NA,NA,NA,NA,NA
42108,2.23146,2.6515,-3.97457,NA,-54.349,NA,NA,NA,NA,NA,NA,NA,NA,NA
42207,3.0321,2.64114,-4.53446,NA,NA,NA,NA,NA,NA,-63.975,NA,NA,NA,NA
42576,2.57068,1.67324,-4.2456,NA,NA,-27.447,NA,NA,NA,NA,NA,NA,NA,NA
42678,2.37893,0.975493,-3.57407,NA,NA,NA,-75.687,NA,NA,NA,NA,NA,NA,NA
42998,1.04218,2.07519,-3.54633,NA,NA,NA,NA,NA,NA,NA,-104.455,NA,NA,NA
43068,0.966324,2.70567,-4.86407,NA,NA,NA,-76.949,NA,NA,NA,NA,NA,NA,NA
43380,0.989824,3.34602,-4.54121,NA,NA,NA,NA,-77.723,NA,NA,NA,NA,NA,NA
43548,1.51828,1.7684,-3.90266,NA,NA,NA,NA,NA,NA,-13.734,NA,NA,NA,NA
43604,1.78863,1.29804,-4.68937,NA,-25.317,NA,NA,NA,NA,NA,NA,NA,NA,NA
43803,1.3184,2.08193,-4.94261,NA,NA,NA,NA,-21.721,NA,NA,NA,NA,NA,NA
44041,2.37585,1.33962,-4.31151,NA,NA,NA,-48.525,NA,NA,NA,NA,NA,NA,NA
44283,2.80019,1.95946,-4.32601,NA,NA,NA,-42.501,NA,NA,NA,NA,NA,NA,NA
44403,2.62204,0.990971,-4.49671,NA,NA,NA,-71.14,NA,NA,NA,NA,NA,NA,NA
44751,2.93784,1.37894,-4.42127,NA,NA,NA,-54.987,NA,NA,NA,NA,NA,NA,NA
44879,1.74315,1.63726,-4.80485,NA,NA,-10.407,NA,NA,NA,NA,NA,NA,NA,NA
45189,1.17119,1.4243,-4.11935,NA,-33.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
45250,1.95735,1.68822,-4.28389,NA,-24.984,NA,NA,NA,NA,NA,NA,NA,NA,NA
45480,1.57124,1.20789,-4.37369,NA,NA,NA,NA,NA,NA,-15.932,NA,NA,NA,NA
45699,2.16901,1.55506,-4.62684,NA,NA,NA,NA,-9.601,NA,NA,NA,NA,NA,NA
45980,3.06446,1.44612,-4.73391,NA,-72.554,NA,NA,NA,NA,NA,NA,NA,NA,NA
46153,2.88296,1.62467,-4.67799,NA,NA,NA,NA,NA,NA,-37.185,NA,NA,NA,NA
46305,2.46798,2.11288,-3.41922,NA,NA,NA,NA,-42.37,NA,NA,NA,NA,NA,NA
46462,2.08781,1.81242,-4.20322,NA,NA,NA,NA,NA,NA,-12.46,NA,NA,NA,NA
46742,0.210553,2.23263,-4.64283,NA,NA,NA,NA,NA,NA,-72.61,NA,NA,NA,NA
46904,1.65116,1.93984,-4.30184,NA,NA,NA,NA,-5.069,NA,NA,NA,NA,NA,NA
47116,1.8675,2.11721,-4.192,NA,NA,NA,NA,NA,NA,-9.889,NA,NA,NA,NA
47327,0.811267,1.34274,-4.0781,NA,NA,NA,-80.61,NA,NA,NA,NA,NA,NA,NA
47531,1.34666,0.964404,-4.17808,NA,NA,NA,-77.165,NA,NA,NA,NA,NA,NA,NA
47743,1.53143,1.23848,-4.98903,NA,NA,NA,NA,NA,NA,NA,-66.289,NA,NA,NA
47811,1.69723,0.973368,-3.67165,NA,NA,-42.126,NA,NA,NA,NA,NA,NA,NA,NA
48118,1.7702,2.02514,-3.85152,NA,NA,NA,NA,-12.509,NA,NA,NA,NA,NA,NA
48235,1.42933,2.17554,-4.85319,NA,NA,-27.449,NA,NA,NA,NA,NA,NA,NA,NA
48586,0.821705,2.61048,-3.37581,NA,NA,NA,NA,NA,NA,-68.969,NA,NA,NA,NA
48756,1.70049,2.19604,-3.07587,NA,NA,NA,NA,NA,NA,-59.291,NA,NA,NA,NA
48965,2.83055,2.07549,-2.96277,NA,NA,NA,NA,NA,NA,-111.391,NA,NA,NA,NA
49117,2.79997,2.38793,-4.45163,NA,-52.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
49293,2.24929,2.12197,-4.55551,NA,NA,NA,NA,NA,-107.934,NA,NA,NA,NA,NA
49598,2.10883,1.73721,-4.54736,NA,-23.653,NA,NA,NA,NA,NA,NA,NA,NA,NA
49749,1.89687,1.32363,-3.71514,NA,NA,NA,NA,NA,NA,-22.482,NA,NA,NA,NA
49836,1.71025,1.96579,-4.66324,NA,NA,NA,NA,NA,NA,-12.797,NA,NA,NA,NA
50047,1.90191,2.10456,-3.68235,NA,-32.428,NA,NA,NA,NA,NA,NA,NA,NA,NA
50247,1.15031,1.91937,-3.15678,NA,NA,NA,NA,-50.21,NA,NA,NA,NA,NA,NA
50524,1.57546,2.54331,-3.44202,NA,NA,NA,NA,NA,NA,-42.236,NA,NA,NA,NA
50726,1.33466,2.61025,-4.26353,-76.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50940,0.860685,1.68383,-4.43428,NA,-42.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
51171,1.43054,2.23578,-4.28998,NA,NA,NA,NA,-13.471,NA,NA,NA,NA,NA,NA
