id,x0,x1,x2,fitness-3,fitness-1.5,fitness-0.5,fitness-1,fitness-2,fitness0,fitness0.5,fitness-2.5,fitness-3.5,fitness-4,fitness1,fitness1.5,fitness2
17853,-2.2593,-0.979585,-0.842312,NA,512.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18096,-1.63593,-1.09376,-0.741609,NA,NA,NA,NA,762.957,NA,NA,NA,NA,NA,NA,NA,NA
18316,-0.88164,-0.9456,-0.676486,NA,NA,NA,NA,NA,NA,NA,4581.363,NA,NA,NA,NA,NA
18576,-0.694636,-1.39769,-1.97911,NA,NA,11509.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18735,-0.795913,-1.96861,-1.25219,NA,NA,2082.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18949,-0.685966,-2.13462,-0.630712,NA,7066.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19013,-1.36736,-2.86008,-0.945943,NA,NA,NA,4415.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
19375,-1.43205,-2.24816,-1.23181,NA,1562.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19588,-1.57061,-1.92833,-1.47512,NA,NA,NA,NA,NA,1931.661,NA,NA,NA,NA,NA,NA,NA
19655,-2.07566,-3.88167,-1.00545,NA,1249.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19864,-1.31539,-4.49281,-1.5181,NA,NA,2770.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20080,-0.969061,-4.47771,-1.5515,NA,3523.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20349,-0.836355,-1.62513,-1.70329,NA,4667.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20508,-0.592261,-0.873899,-1.27766,NA,NA,9533.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20757,-1.21835,-1.5025,-1.44287,NA,NA,NA,12918.792,NA,NA,NA,NA,NA,NA,NA,NA,NA
20815,-0.840683,-0.928391,-1.89477,NA,NA,NA,2305.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
21091,-0.664168,-1.28652,-1.65264,NA,6320.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21340,-0.773345,-1.07265,-0.932886,NA,2308.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21520,-1.56761,-0.681764,-1.57817,NA,11489.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21785,-0.264339,-0.308479,-0.717965,NA,NA,NA,NA,NA,4098.519,NA,NA,NA,NA,NA,NA,NA
21946,-0.295487,-0.857928,-0.285184,NA,NA,NA,NA,NA,6311.384,NA,NA,NA,NA,NA,NA,NA
22099,0.840563,-0.7358,-1.26209,NA,NA,NA,NA,NA,2528.437,NA,NA,NA,NA,NA,NA,NA
22391,-0.0400728,-0.750687,-1.68352,NA,NA,2540.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22475,-1.59888,-0.648638,-1.70651,NA,NA,NA,1076.818,NA,NA,NA,NA,NA,NA,NA,NA,NA
22799,-1.07579,-0.994416,-2.38944,NA,NA,NA,NA,364.727,NA,NA,NA,NA,NA,NA,NA,NA
22875,-1.46783,-1.61786,-1.4913,NA,NA,NA,NA,6726.904,NA,NA,NA,NA,NA,NA,NA,NA
23059,-1.69752,-1.57447,-1.06961,NA,1668.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23393,-1.67926,-1.0212,-1.00644,NA,NA,NA,2836.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
23477,-0.71176,-1.53196,-0.61459,NA,NA,NA,18145.697,NA,NA,NA,NA,NA,NA,NA,NA,NA
23742,-0.891274,-2.09525,-0.160228,NA,NA,NA,NA,2220.661,NA,NA,NA,NA,NA,NA,NA,NA
23986,-0.236036,-1.64313,-1.55317,NA,NA,7170.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24127,-0.0638168,-1.7227,-2.14959,NA,NA,NA,NA,NA,550.328,NA,NA,NA,NA,NA,NA,NA
24341,0.250082,-0.807268,-0.897988,NA,NA,1559.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24549,-1.36666,-0.982766,-0.73594,NA,NA,NA,18075.458,NA,NA,NA,NA,NA,NA,NA,NA,NA
24634,-1.0955,-1.3813,-2.14946,NA,NA,NA,1390.526,NA,NA,NA,NA,NA,NA,NA,NA,NA
24867,-0.15144,-0.653089,-1.25971,NA,NA,NA,NA,NA,NA,NA,2733.86,NA,NA,NA,NA,NA
25073,-0.901586,-0.721066,-0.648076,NA,NA,NA,NA,NA,NA,NA,NA,2681.98,NA,NA,NA,NA
25247,-0.770911,-0.0458327,-1.10409,NA,NA,NA,NA,449.519,NA,NA,NA,NA,NA,NA,NA,NA
25557,-0.795592,0.261867,-0.813758,NA,NA,NA,NA,NA,NA,NA,2527.804,NA,NA,NA,NA,NA
25794,-0.207299,-1.31526,-1.32269,NA,NA,NA,NA,NA,NA,NA,NA,NA,2545.759,NA,NA,NA
25956,-0.8188,-0.721755,-1.7226,1142.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26090,-0.0275979,-0.897623,0.667772,NA,NA,NA,1077.348,NA,NA,NA,NA,NA,NA,NA,NA,NA
26381,-1.30395,-1.50642,0.468399,NA,2920.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26406,-0.924548,-0.394127,-1.33582,NA,NA,NA,NA,NA,NA,NA,1600.037,NA,NA,NA,NA,NA
26735,0.237397,-1.00762,-0.646027,NA,2328.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26833,-0.77858,-1.27974,-1.48599,NA,NA,13600.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27002,-0.542318,0.490993,-1.37174,NA,NA,NA,1781.093,NA,NA,NA,NA,NA,NA,NA,NA,NA
27396,-1.31414,-0.375729,-1.60587,NA,NA,NA,NA,2352.628,NA,NA,NA,NA,NA,NA,NA,NA
27498,-0.887639,-1.66694,-0.928557,NA,NA,NA,NA,NA,1775.699,NA,NA,NA,NA,NA,NA,NA
27604,-1.30291,-1.30458,-1.14987,NA,NA,2664.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27975,-2.16304,-0.960397,-1.2678,NA,NA,NA,NA,NA,NA,1161.922,NA,NA,NA,NA,NA,NA
28027,-2.05934,-0.378259,-0.805871,NA,NA,3459.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28277,-2.0986,0.375849,-0.14922,NA,NA,1515.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28530,-2.17956,-0.493862,-1.42833,NA,NA,NA,1173.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
28638,-1.69268,-0.785628,-1.2764,NA,NA,NA,NA,NA,1763.624,NA,NA,NA,NA,NA,NA,NA
28901,-1.05608,-1.70345,-0.264028,NA,NA,NA,NA,NA,870.854,NA,NA,NA,NA,NA,NA,NA
29080,-1.14304,-1.40956,-0.25956,NA,NA,NA,141.658,NA,NA,NA,NA,NA,NA,NA,NA,NA
29280,-0.0764515,0.423882,-0.379342,NA,877.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29561,-0.428965,-0.806419,-0.364994,NA,1184.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29777,-1.02514,-1.44242,-1.3762,NA,10844.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29951,-0.660077,-1.70092,-1.22082,NA,3013.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30196,-1.48804,-1.37889,-1.55343,NA,NA,NA,NA,9736.619,NA,NA,NA,NA,NA,NA,NA,NA
30315,-1.93611,-1.07478,-0.934509,NA,NA,574.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30490,-2.41473,-1.48685,-0.841976,NA,NA,NA,NA,NA,3313.872,NA,NA,NA,NA,NA,NA,NA
30704,-2.21505,-0.859388,-1.2013,NA,NA,NA,NA,NA,NA,628.842,NA,NA,NA,NA,NA,NA
30811,-1.76122,-0.971719,-1.40113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.819,NA,NA
31196,-0.648168,-1.36018,0.280225,NA,NA,NA,NA,NA,1139.374,NA,NA,NA,NA,NA,NA,NA
31375,-0.755732,-0.809895,0.401121,NA,NA,NA,NA,NA,4135.239,NA,NA,NA,NA,NA,NA,NA
31430,-1.39283,-0.143963,-0.371908,NA,NA,NA,NA,NA,NA,1742.727,NA,NA,NA,NA,NA,NA
31699,-1.51662,-1.29714,-0.76258,NA,20525.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31950,-1.47682,-1.01157,-1.18354,NA,3195.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32085,-2.84092,-1.35246,-1.63938,NA,1925.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32316,-1.86864,-1.63563,-1.30843,NA,3671.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32407,-1.51646,-1.57019,-1.07406,NA,NA,2543.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32772,0.29197,-2.22741,-0.379897,NA,NA,181.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32976,-0.528433,-1.00455,-0.137433,NA,NA,NA,2985.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
33129,-0.614784,-0.337391,-0.923321,NA,NA,NA,NA,NA,1860.886,NA,NA,NA,NA,NA,NA,NA
33320,-1.59292,-1.31341,-2.13538,NA,NA,NA,NA,NA,3533.444,NA,NA,NA,NA,NA,NA,NA
33517,-0.304601,-1.82973,-0.91762,NA,NA,2955.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33735,0.166594,-2.94783,-1.04078,NA,321.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33898,-0.210281,-1.3434,-0.817747,NA,NA,NA,NA,NA,7529.472,NA,NA,NA,NA,NA,NA,NA
34001,-0.408168,-1.48586,-0.141676,NA,NA,NA,3563.281,NA,NA,NA,NA,NA,NA,NA,NA,NA
34207,-0.937694,-1.61673,-0.0581,NA,3780.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34547,0.96482,-0.872332,-1.06508,NA,NA,NA,474.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
34613,1.91572,-1.05278,-1.47149,NA,1508.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34912,0.96735,-1.33281,-0.766339,NA,3780.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35029,0.531218,0.0122236,-0.780326,NA,NA,NA,786.902,NA,NA,NA,NA,NA,NA,NA,NA,NA
35240,0.362562,-0.0296991,-0.777973,NA,NA,NA,NA,1430.611,NA,NA,NA,NA,NA,NA,NA,NA
35532,-0.13194,0.352489,-0.170799,NA,2366.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35748,-0.670147,-0.0745833,-0.10707,NA,NA,NA,NA,NA,NA,NA,2170.247,NA,NA,NA,NA,NA
35817,-0.293817,-0.29137,-0.747744,NA,NA,NA,2546.809,NA,NA,NA,NA,NA,NA,NA,NA,NA
36053,-1.21566,0.668339,-0.173363,NA,NA,NA,1375.798,NA,NA,NA,NA,NA,NA,NA,NA,NA
36282,0.0182539,-0.0763924,-0.186288,NA,NA,NA,3200.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
36507,-0.0058227,-0.924265,-1.43537,NA,NA,5763.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36758,-1.40408,-1.19984,-1.3171,NA,NA,9433.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36881,-0.541563,-1.89754,-2.04364,NA,1871.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37168,-0.111212,-1.70056,-2.27317,NA,172.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37373,-0.832711,0.378668,-1.16366,NA,NA,NA,NA,713.926,NA,NA,NA,NA,NA,NA,NA,NA
37565,-0.246835,-0.677523,-1.38118,NA,NA,NA,NA,NA,NA,NA,3996.158,NA,NA,NA,NA,NA
37691,-1.07277,-1.28951,-0.752216,NA,NA,NA,NA,2365.862,NA,NA,NA,NA,NA,NA,NA,NA
37964,-1.25011,-1.75152,-0.843206,NA,967.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38012,-0.0913457,-1.89147,-1.25986,NA,3252.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38321,-0.0227034,-1.87175,-1.44599,NA,NA,NA,NA,NA,1389.003,NA,NA,NA,NA,NA,NA,NA
38514,-0.395907,-0.756991,-0.863458,NA,NA,NA,NA,NA,NA,2394.666,NA,NA,NA,NA,NA,NA
38631,-0.374709,-1.49249,-1.2469,NA,NA,3427.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38931,-0.76684,-0.590705,-1.49623,NA,NA,NA,NA,2911.24,NA,NA,NA,NA,NA,NA,NA,NA
39086,-0.752856,0.474449,-1.47087,NA,NA,NA,NA,2494.881,NA,NA,NA,NA,NA,NA,NA,NA
39342,-1.35567,-1.58719,-0.30621,NA,NA,NA,NA,2672.763,NA,NA,NA,NA,NA,NA,NA,NA
39410,-1.14539,-0.717583,-1.04125,NA,NA,NA,1290.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
39611,-1.47199,-0.675119,-1.27791,NA,14576.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39993,-0.292944,-0.437253,-0.2548,NA,NA,NA,872.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
40077,-0.661708,-1.58863,-0.870519,NA,NA,4643.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40361,-1.0327,-1.14757,-0.582917,NA,NA,NA,1145.706,NA,NA,NA,NA,NA,NA,NA,NA,NA
40540,-0.694795,-1.63943,-0.388616,NA,NA,NA,NA,NA,2330.559,NA,NA,NA,NA,NA,NA,NA
40691,-0.643121,-1.61863,0.887263,NA,2986.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40902,-1.7138,-0.66755,0.948337,NA,1081.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41103,-2.0704,-1.86085,0.797688,NA,NA,NA,857.478,NA,NA,NA,NA,NA,NA,NA,NA,NA
41241,-2.55947,-1.90008,-0.961424,NA,NA,NA,2373.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
41469,-3.01539,-1.84559,-1.42657,NA,NA,NA,NA,894.129,NA,NA,NA,NA,NA,NA,NA,NA
41707,-2.08165,-1.00051,-1.62743,NA,NA,NA,4504.397,NA,NA,NA,NA,NA,NA,NA,NA,NA
41899,-1.40898,-1.56317,-0.289706,NA,NA,NA,13671.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
42011,-0.995051,-3.02414,-0.966163,NA,2165.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42265,-0.910382,-1.27115,-0.977582,NA,NA,NA,NA,5853.852,NA,NA,NA,NA,NA,NA,NA,NA
42420,0.640977,-1.38037,-0.554833,NA,879.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42689,1.40725,-1.24643,-0.886898,NA,NA,NA,3556.631,NA,NA,NA,NA,NA,NA,NA,NA,NA
42937,-0.924925,-1.4397,-1.44845,NA,NA,NA,6212.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
43162,-1.67791,-0.818434,-1.00345,NA,NA,3491.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43242,-0.830038,-0.93326,-0.512998,NA,NA,NA,3625.181,NA,NA,NA,NA,NA,NA,NA,NA,NA
43570,-0.0516352,-0.772737,0.512376,NA,NA,NA,1610.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
43659,-1.28483,-0.756593,-1.35586,NA,NA,5460.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43964,-2.12406,-1.41255,-1.39521,NA,NA,NA,NA,NA,738.381,NA,NA,NA,NA,NA,NA,NA
44126,-1.95071,-0.672644,-1.27551,NA,NA,8309.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44358,-2.20983,-0.797964,-0.978737,NA,NA,2511.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44434,-1.88552,-1.01864,-0.249412,NA,NA,2509.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44775,-3.06211,-0.725916,-1.08707,NA,1358.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
