id,x0,x1,x2,fitness4.5,fitness4,fitness3.5,fitness2.5,fitness3,fitness5.5,fitness6.5,fitness8,fitness7.5,fitness8.5,fitness9,fitness7,fitness9.5
5910,8.0974,8.47641,8.53657,NA,NA,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA
6174,8.04742,7.53949,7.74666,NA,NA,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA
6215,7.85428,7.68181,8.34161,NA,NA,NA,NA,NA,NA,NA,NA,0.902,NA,NA,NA,NA
6562,7.67403,7.80475,7.30749,NA,NA,NA,NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA
6660,7.50196,8.78976,8.13386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578,NA,NA
6905,7.57903,8.11151,8.42615,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA
7109,7.51022,7.86129,7.46915,NA,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA
7289,8.87182,7.14824,7.21152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563,NA,NA,NA
7556,8.37222,7.87666,8.18711,NA,NA,NA,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA
7699,6.88036,7.25046,7.53658,NA,NA,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA
7847,7.79663,7.73051,7.30841,NA,NA,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA
8152,7.84617,7.13569,7.31577,NA,NA,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA
8313,7.43725,7.84667,7.82299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA
8504,7.20314,7.24368,7.15322,NA,NA,NA,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA
8683,7.14921,6.9019,7.35718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679,NA
8989,7.25151,8.01573,7.56191,NA,NA,NA,NA,NA,NA,NA,NA,0.926,NA,NA,NA,NA
9075,7.62616,8.17159,8.06579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885,NA
9348,7.40543,8.14743,7.60918,NA,NA,NA,NA,NA,NA,NA,NA,0.936,NA,NA,NA,NA
9561,7.32057,7.72172,7.43663,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA
9737,7.49105,8.087,8.82573,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA
9962,8.21772,7.55038,8.54696,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714,NA,NA,NA
10110,8.62489,7.68866,8.01048,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731,NA,NA,NA
10302,8.09627,7.78702,6.55268,NA,NA,NA,NA,NA,NA,NA,0.699,NA,NA,NA,NA,NA
10450,7.49506,7.46898,7.54929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905,NA
10788,7.52451,7.66892,7.09196,NA,NA,NA,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA
10987,7.48003,8.31221,6.47003,NA,NA,NA,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA
11036,8.30233,8.01339,7.39256,NA,NA,NA,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA
11317,7.4959,7.42977,7.7616,NA,NA,NA,NA,NA,NA,NA,0.965,NA,NA,NA,NA,NA
11519,8.25391,7.31983,7.30993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA
11638,8.87863,7.14304,7.75816,NA,NA,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA
11949,8.91361,6.62696,7.52732,NA,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA
12107,7.86844,7.44246,7.80506,NA,NA,NA,NA,NA,NA,NA,NA,0.963,NA,NA,NA,NA
12286,7.22314,8.30514,8.29622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716,NA
12436,6.8681,7.39622,7.91158,NA,NA,NA,NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA
12760,6.9307,7.83972,7.90894,NA,NA,NA,NA,NA,NA,NA,NA,0.837,NA,NA,NA,NA
12950,7.78124,8.30967,6.8404,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694,NA,NA,NA
13191,8.61651,8.72064,7.54123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA
13259,8.78319,8.1372,8.24178,NA,NA,NA,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA
13544,8.47002,7.73111,7.32482,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797,NA,NA,NA
13754,7.44947,8.53236,7.64978,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA
13914,7.91617,8.30332,7.84645,NA,NA,NA,NA,NA,NA,NA,NA,0.911,NA,NA,NA,NA
14020,8.13838,8.74343,7.74466,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA
14236,8.37858,7.65232,8.12779,NA,NA,NA,NA,NA,NA,0.583,NA,NA,NA,NA,NA,NA
14583,7.68261,7.58545,7.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863,NA
14657,7.41541,7.29928,7.80357,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841,NA,NA,NA
14931,7.89156,8.04856,9.03556,NA,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA
15084,7.97447,8.16059,8.47478,NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA
15263,7.27217,8.35491,7.21519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA
15454,6.98782,8.15073,7.81229,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735,NA,NA,NA
15791,8.06214,7.89952,8.52318,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777,NA,NA,NA
15900,8.73898,8.95851,8.39009,NA,NA,NA,NA,NA,NA,NA,0.497,NA,NA,NA,NA,NA
16104,8.5982,8.58151,7.90074,NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA
16334,8.09318,8.4867,6.46737,NA,NA,NA,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA
16588,7.72176,7.87999,6.57318,NA,NA,NA,NA,NA,NA,NA,0.737,NA,NA,NA,NA,NA
16695,7.70924,8.45921,7.7217,NA,NA,NA,NA,NA,NA,NA,NA,0.899,NA,NA,NA,NA
16880,8.26368,8.11327,6.88758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675,NA
17112,8.32896,7.48202,8.19725,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA
17210,8.65993,8.77496,7.34988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503,NA
17480,8.94639,8.14091,7.29703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA
17638,7.84482,7.41251,7.21553,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821,NA,NA,NA
17829,6.81357,7.96535,7.87067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA
18175,6.84724,7.66466,7.10921,NA,NA,NA,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA
18309,7.34406,7.6149,7.22578,NA,NA,NA,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA
18452,7.78755,7.25072,6.67078,NA,NA,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA
18793,7.38412,7.51692,7.19506,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA
18989,7.72263,8.08815,7.84199,NA,NA,NA,NA,NA,NA,NA,NA,0.958,NA,NA,NA,NA
19099,7.70924,7.56081,7.84433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933,NA
19229,7.44999,8.05447,7.80908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA
19594,6.5972,7.80499,7.1593,NA,NA,NA,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA
19637,7.66966,7.85514,7.67207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854,NA,NA,NA
19967,7.70094,9.09832,7.74625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA
20158,8.47827,8.59664,7.61746,NA,NA,NA,NA,NA,NA,NA,0.751,NA,NA,NA,NA,NA
20303,8.92948,8.57413,8.16317,NA,NA,NA,NA,NA,NA,NA,NA,0.605,NA,NA,NA,NA
20418,8.44241,7.88222,7.60777,NA,NA,NA,NA,NA,NA,NA,0.882,NA,NA,NA,NA,NA
20706,6.56898,8.24607,8.50297,NA,NA,NA,NA,NA,NA,NA,NA,0.553,NA,NA,NA,NA
20802,6.77782,7.96221,7.51555,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA
21194,7.55082,7.51205,7.78199,NA,NA,NA,NA,NA,NA,NA,0.959,NA,NA,NA,NA,NA
21239,7.73493,7.65413,7.01194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726,NA
21565,7.74561,7.49552,7.9493,NA,NA,NA,NA,NA,NA,NA,NA,0.977,NA,NA,NA,NA
21788,8.79273,7.30606,7.42946,NA,NA,NA,NA,NA,NA,NA,NA,0.761,NA,NA,NA,NA
21999,7.51182,8.61887,6.61682,NA,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA
22144,7.9972,7.84989,6.72768,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA
22261,7.74824,7.42371,7.7835,NA,NA,NA,NA,NA,NA,NA,0.963,NA,NA,NA,NA,NA
22528,7.87949,6.64791,7.87478,NA,NA,NA,NA,NA,NA,NA,NA,0.761,NA,NA,NA,NA
22670,8.09651,8.351,7.86761,NA,NA,NA,NA,NA,NA,NA,NA,0.885,NA,NA,NA,NA
22921,7.92797,7.40499,8.15959,NA,NA,NA,NA,NA,NA,NA,0.928,NA,NA,NA,NA,NA
23001,7.89296,7.02713,8.49983,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA
23237,8.48354,6.90483,7.0516,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA
23600,8.40782,7.80585,6.72327,NA,NA,NA,NA,NA,NA,NA,NA,0.707,NA,NA,NA,NA
23693,7.76905,7.03544,7.86243,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA
23952,6.59953,8.07426,7.43551,NA,NA,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA
24030,7.65635,7.5935,8.00347,NA,NA,NA,NA,NA,NA,NA,NA,0.939,NA,NA,NA,NA
24247,7.8633,7.13108,9.07884,NA,NA,NA,NA,NA,NA,NA,NA,0.622,NA,NA,NA,NA
24434,7.35439,6.94895,7.98548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA
24762,7.19745,7.87288,7.09782,NA,NA,NA,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA
24919,6.66212,7.98136,8.11484,NA,NA,NA,NA,NA,NA,NA,NA,0.729,NA,NA,NA,NA
25137,6.67082,8.32478,7.22986,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA
25231,8.23,7.94935,7.41389,NA,NA,NA,NA,NA,NA,NA,0.898,NA,NA,NA,NA,NA
25430,7.82371,8.36139,7.56733,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848,NA,NA,NA
25640,7.9709,8.27978,8.27431,NA,NA,NA,NA,NA,NA,NA,NA,0.852,NA,NA,NA,NA
25828,7.3895,7.71331,7.0032,NA,NA,NA,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA
26133,7.54525,7.78045,7.95306,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896,NA,NA,NA
26330,7.94951,7.49971,7.83733,NA,NA,NA,NA,NA,NA,NA,0.925,NA,NA,NA,NA,NA
26493,7.51726,7.58516,6.98629,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803,NA,NA,NA
26785,8.28792,7.29941,7.48467,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA
26864,7.87358,7.2716,7.26267,NA,NA,NA,NA,NA,NA,NA,NA,0.906,NA,NA,NA,NA
27127,7.11614,7.24141,7.60668,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA
27209,7.54737,6.80107,7.10814,NA,NA,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA
27445,8.22411,7.16444,7.65867,NA,NA,NA,NA,NA,NA,NA,0.869,NA,NA,NA,NA,NA
27630,7.85525,7.78293,7.50354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781,NA,NA
27938,7.96683,7.41419,7.74222,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822,NA,NA,NA
28136,6.66995,7.65874,8.42157,NA,NA,NA,NA,NA,NA,NA,NA,0.688,NA,NA,NA,NA
28228,7.23408,8.33993,8.43218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA
28549,7.8484,8.32282,7.51611,NA,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA
28709,8.42868,7.21636,8.36162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,NA
28807,8.00944,8.33382,7.44988,NA,NA,NA,NA,NA,NA,NA,NA,0.862,NA,NA,NA,NA
29043,7.24393,8.39779,7.98733,NA,NA,NA,NA,NA,NA,NA,NA,0.849,NA,NA,NA,NA
29253,8.50657,7.44997,8.37946,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA
29558,8.06296,7.48467,7.45159,NA,NA,NA,NA,NA,NA,NA,NA,0.932,NA,NA,NA,NA
29667,7.62829,8.13747,7.04026,NA,NA,NA,NA,NA,NA,NA,NA,0.835,NA,NA,NA,NA
29898,7.34234,7.94661,7.3385,NA,NA,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA
30102,7.4482,7.91948,7.35366,NA,NA,NA,NA,NA,NA,NA,NA,0.949,NA,NA,NA,NA
30201,8.3407,8.81639,7.52103,NA,NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA,NA
30594,8.1429,8.63861,8.27127,NA,NA,NA,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA
30698,7.07729,7.48662,8.15401,NA,NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA
30835,7.47019,7.11505,7.95049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807,NA
31156,8.38178,7.58007,8.24928,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801,NA,NA,NA
31327,7.91293,7.94158,8.78796,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA
31472,7.4335,6.81546,8.2333,NA,NA,NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA,NA
31675,7.8604,7.18449,7.7797,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777,NA,NA,NA
31883,8.10069,7.12018,7.57663,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821,NA,NA,NA
32077,7.88552,7.08414,7.02574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,NA,NA
32294,7.37412,6.70185,7.9933,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA
32547,7.82016,7.80989,7.77804,NA,NA,NA,NA,NA,NA,NA,NA,0.967,NA,NA,NA,NA
32744,8.23394,7.99715,8.0557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859,NA
32830,7.1,8.22508,9.28859,NA,NA,NA,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA
33124,7.64465,9.20013,7.76764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557,NA
33315,8.55781,8.66221,6.68965,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA,NA
33414,8.43781,7.39104,7.86697,NA,NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA
33727,7.31844,8.03918,7.10444,NA,NA,NA,NA,NA,NA,NA,0.867,NA,NA,NA,NA,NA
33874,7.75533,7.40595,8.27981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822,NA,NA,NA
34074,8.32031,7.53029,8.37602,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA
34343,8.33552,7.69878,7.52239,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA
34523,7.79913,8.08324,8.29252,NA,NA,NA,NA,NA,NA,NA,0.866,NA,NA,NA,NA,NA
34645,7.7867,7.88138,7.37187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA
34963,8.44513,8.30884,7.30669,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697,NA,NA,NA
35010,8.23294,7.51577,8.73873,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA
35387,7.16201,7.48859,8.86042,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
35404,8.03669,7.00125,8.25882,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,NA,NA,NA
35613,8.15347,7.48474,7.87385,NA,NA,NA,NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA
35943,7.61334,8.19991,6.89391,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA,NA,NA
36032,8.3959,7.92861,7.76288,NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA
36276,8.15288,7.72026,8.2111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793,NA,NA,NA
36426,8.18188,8.01897,8.23116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.618,NA,NA
36681,8.93308,8.09857,8.10546,NA,NA,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA
36973,7.97615,7.65238,8.72437,NA,NA,NA,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA
37136,8.24127,8.81204,8.89269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,NA
37328,7.114,9.07616,8.40163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483,NA,NA,NA
37578,7.78215,7.10942,9.13155,NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA
37676,7.87893,7.2998,7.73783,NA,NA,NA,NA,NA,NA,NA,NA,0.958,NA,NA,NA,NA
37927,7.40342,8.2189,8.49156,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA
38012,8.19504,8.07337,8.59986,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723,NA,NA,NA
38311,7.85073,9.12083,8.14368,NA,NA,NA,NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA
38573,8.38336,7.61389,7.91296,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826,NA,NA,NA
38616,7.9249,7.34732,7.35144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA
38964,7.13711,7.84566,7.45755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561
39084,6.99271,8.22398,6.96723,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA
39232,6.719,7.80032,8.0632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727,NA
39481,6.90525,7.37815,7.47943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699,NA
39715,8.43202,8.67907,7.43943,NA,NA,NA,NA,NA,NA,NA,NA,0.733,NA,NA,NA,NA
39978,7.45661,7.71609,7.67804,NA,NA,NA,NA,NA,NA,0.734,NA,NA,NA,NA,NA,NA
40140,6.72179,7.82736,7.09275,NA,NA,NA,NA,NA,NA,NA,NA,0.678,NA,NA,NA,NA
40257,6.86666,7.86238,7.66991,NA,NA,NA,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA
40509,7.76864,7.14062,7.6895,NA,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA
40723,8.49367,6.50495,8.05078,NA,NA,NA,NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA
40850,8.20067,6.78149,7.96173,NA,NA,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA
41163,7.20383,8.27201,8.43688,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA
41330,7.50178,8.50649,7.23182,NA,NA,NA,NA,NA,NA,NA,0.813,NA,NA,NA,NA,NA
41409,8.10687,7.63756,6.7546,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696,NA,NA,NA
41765,8.70875,7.822,7.91081,NA,NA,NA,NA,NA,NA,NA,NA,0.819,NA,NA,NA,NA
41808,8.94436,7.60734,7.17365,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA
42020,7.6901,7.84964,7.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859,NA
42243,8.23568,7.46439,8.0083,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA
42526,8.99824,7.28527,8.22986,NA,NA,NA,NA,NA,NA,NA,NA,0.654,NA,NA,NA,NA
42707,8.25563,9.14112,8.01663,NA,NA,NA,NA,NA,NA,NA,NA,0.639,NA,NA,NA,NA
42892,7.63399,7.77445,7.57676,NA,NA,NA,NA,NA,NA,NA,NA,0.961,NA,NA,NA,NA
43003,8.82177,7.46817,7.47841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,NA
43371,7.70151,8.44366,7.01174,NA,NA,NA,NA,NA,NA,NA,NA,0.784,NA,NA,NA,NA
43447,7.26397,8.9008,6.98731,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA
43630,7.14399,8.01543,7.69426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809,NA
43992,6.77065,8.82879,7.63089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,NA
44158,6.79561,8.42756,8.09467,NA,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA
44295,7.20105,8.00323,7.38279,NA,NA,NA,NA,NA,NA,NA,0.867,NA,NA,NA,NA,NA
44467,7.22947,7.90192,8.55181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697,NA,NA,NA
44681,8.38403,7.65809,7.9749,NA,NA,NA,NA,NA,NA,NA,0.867,NA,NA,NA,NA,NA
44888,6.97727,6.97479,8.0373,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA
45105,7.76962,6.20375,7.56943,NA,NA,NA,NA,NA,NA,NA,NA,0.603,NA,NA,NA,NA
45221,7.57464,6.75109,7.94715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA
45420,7.29532,7.65355,8.19317,NA,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA
45692,7.12713,8.66315,8.12761,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
45899,9.16948,7.67328,7.35064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617,NA
46014,9.21364,8.1242,7.63377,NA,NA,NA,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA
46238,7.18701,8.22092,7.89134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818,NA
46440,7.54254,7.82927,8.54833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731,NA
46768,7.198,7.5935,7.49326,NA,NA,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA
46884,7.69855,7.6845,6.65616,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713,NA,NA,NA
47188,8.43339,7.35704,6.94518,NA,NA,NA,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA
47241,8.17889,7.74788,8.80617,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA
47599,7.41156,6.60526,8.2793,NA,NA,NA,NA,NA,NA,NA,0.654,NA,NA,NA,NA,NA
