id,x0,x1,x2,fitness7.5,fitness8,fitness8.5,fitness7,fitness6.5,fitness9,fitness9.5
9993,7.81724,7.5609,7.69256,NA,NA,NA,0.947,NA,NA,NA
10185,8.45496,7.48843,7.64275,NA,NA,NA,0.792,NA,NA,NA
10316,7.85019,7.8736,8.16543,0.936,NA,NA,NA,NA,NA,NA
10518,6.98851,7.56596,8.01843,NA,0.864,NA,NA,NA,NA,NA
10759,7.15334,7.85323,7.27077,NA,NA,0.762,NA,NA,NA,NA
10863,8.15647,7.82734,7.82287,NA,0.933,NA,NA,NA,NA,NA
11053,8.52153,8.15295,7.82186,NA,0.841,NA,NA,NA,NA,NA
11334,7.96765,7.76714,7.5896,0.98,NA,NA,NA,NA,NA,NA
11541,8.10094,7.71979,7.56144,0.957,NA,NA,NA,NA,NA,NA
11635,7.87285,7.82697,7.16105,NA,0.925,NA,NA,NA,NA,NA
11901,8.32973,6.95727,7.48732,NA,0.759,NA,NA,NA,NA,NA
12012,7.98094,8.35053,7.41558,NA,0.89,NA,NA,NA,NA,NA
12297,7.22236,8.08575,7.47026,NA,NA,NA,0.853,NA,NA,NA
12438,7.45081,7.54807,7.91344,0.97,NA,NA,NA,NA,NA,NA
12769,7.96554,7.88401,7.84717,NA,0.971,NA,NA,NA,NA,NA
12915,7.70077,7.35,7.1816,NA,0.911,NA,NA,NA,NA,NA
13111,7.9759,6.61505,7.71446,NA,0.733,NA,NA,NA,NA,NA
13215,7.29807,7.67027,6.93869,NA,NA,NA,0.686,NA,NA,NA
13463,7.13232,7.04216,8.02799,0.805,NA,NA,NA,NA,NA,NA
13794,8.03386,7.71234,7.58775,NA,NA,0.867,NA,NA,NA,NA
13808,8.54227,7.7069,7.35482,NA,NA,0.753,NA,NA,NA,NA
14173,8.10873,7.31569,7.82988,0.932,NA,NA,NA,NA,NA,NA
14320,7.6348,7.12009,7.57112,NA,0.878,NA,NA,NA,NA,NA
14596,8.00307,8.48898,7.44732,NA,NA,0.746,NA,NA,NA,NA
14664,7.94082,7.57224,8.5329,NA,0.855,NA,NA,NA,NA,NA
14937,7.6572,7.92711,7.70599,0.965,NA,NA,NA,NA,NA,NA
15178,7.65405,7.99523,7.09091,NA,0.89,NA,NA,NA,NA,NA
15260,7.9657,8.26001,7.96595,0.908,NA,NA,NA,NA,NA,NA
15485,7.86467,8.1049,8.0613,0.938,NA,NA,NA,NA,NA,NA
15749,8.00419,7.73717,7.67015,NA,NA,NA,0.916,NA,NA,NA
15948,8.00818,7.58019,7.48407,NA,NA,NA,0.919,NA,NA,NA
16038,7.50606,8.59049,8.24599,NA,NA,0.694,NA,NA,NA,NA
16376,7.95623,8.64281,7.57505,NA,0.787,NA,NA,NA,NA,NA
16405,6.88018,8.09224,7.76928,0.822,NA,NA,NA,NA,NA,NA
16726,7.04773,7.36076,7.52074,NA,0.867,NA,NA,NA,NA,NA
16867,7.49435,7.47678,7.39724,NA,NA,NA,0.905,NA,NA,NA
17045,7.61164,8.10027,7.23055,NA,0.913,NA,NA,NA,NA,NA
17256,7.28988,8.11278,7.74695,NA,NA,0.825,NA,NA,NA,NA
17512,7.71096,7.17307,8.00086,NA,NA,0.859,NA,NA,NA,NA
17706,8.01631,7.44766,8.4378,NA,NA,0.768,NA,NA,NA,NA
17856,7.65054,7.25176,8.4066,0.865,NA,NA,NA,NA,NA,NA
18037,6.97626,7.65852,7.54382,0.88,NA,NA,NA,NA,NA,NA
18324,7.20923,7.84463,7.78178,NA,NA,0.803,NA,NA,NA,NA
18522,8.12724,8.18112,8.23683,NA,NA,NA,0.813,NA,NA,NA
18672,8.02329,8.33254,8.13894,NA,NA,0.725,NA,NA,NA,NA
18982,7.76382,8.18759,7.74258,NA,0.947,NA,NA,NA,NA,NA
19063,7.26403,8.18832,8.12324,NA,0.857,NA,NA,NA,NA,NA
19265,6.78935,8.32559,7.6523,NA,0.701,NA,NA,NA,NA,NA
19540,7.68849,7.41431,7.88547,0.954,NA,NA,NA,NA,NA,NA
19769,7.96457,8.11275,7.9035,0.926,NA,NA,NA,NA,NA,NA
19987,8.29595,8.16312,7.36258,NA,0.868,NA,NA,NA,NA,NA
20057,8.42312,8.14122,7.78892,0.868,NA,NA,NA,NA,NA,NA
20385,7.12537,7.84001,8.52999,NA,0.764,NA,NA,NA,NA,NA
20481,7.17363,8.05583,8.56146,NA,0.775,NA,NA,NA,NA,NA
20632,7.86924,7.61545,7.80245,NA,0.974,NA,NA,NA,NA,NA
20818,7.89436,7.59579,8.03049,NA,0.968,NA,NA,NA,NA,NA
21001,8.04848,7.0954,8.05498,0.872,NA,NA,NA,NA,NA,NA
21338,7.8194,7.20659,8.74775,NA,0.742,NA,NA,NA,NA,NA
21579,7.11858,7.67288,7.71515,NA,0.916,NA,NA,NA,NA,NA
21769,7.79188,7.53598,7.52311,NA,0.959,NA,NA,NA,NA,NA
21886,7.67784,6.99318,8.09161,0.851,NA,NA,NA,NA,NA,NA
22026,7.28407,7.77709,7.17032,NA,NA,0.815,NA,NA,NA,NA
22283,7.5117,8.30434,7.34135,0.887,NA,NA,NA,NA,NA,NA
22540,7.08178,7.85216,7.77436,NA,0.862,NA,NA,NA,NA,NA
22655,8.13226,6.91771,7.44351,NA,0.814,NA,NA,NA,NA,NA
22926,8.02745,8.52765,7.05205,NA,0.736,NA,NA,NA,NA,NA
23128,8.11614,7.85741,7.10012,NA,NA,0.799,NA,NA,NA,NA
23345,7.99021,7.65516,7.44543,NA,NA,0.9,NA,NA,NA,NA
23563,7.86982,8.35605,7.27173,NA,0.827,NA,NA,NA,NA,NA
23607,8.64203,8.06167,7.4824,NA,0.807,NA,NA,NA,NA,NA
23950,8.02575,8.16616,7.42476,0.882,NA,NA,NA,NA,NA,NA
24048,8.55294,7.67257,7.73398,NA,NA,NA,0.753,NA,NA,NA
24340,7.7343,7.81443,7.69583,NA,0.995,NA,NA,NA,NA,NA
24490,8.04464,7.51729,7.98901,NA,0.943,NA,NA,NA,NA,NA
24772,7.58661,6.98128,7.55071,NA,0.828,NA,NA,NA,NA,NA
24802,7.29876,7.62067,7.11348,NA,NA,0.723,NA,NA,NA,NA
25162,7.90117,8.10539,8.10433,NA,0.891,NA,NA,NA,NA,NA
25260,7.96468,7.39848,8.26443,NA,0.883,NA,NA,NA,NA,NA
25452,8.05608,7.88725,8.66021,NA,0.809,NA,NA,NA,NA,NA
25715,7.68073,7.46153,7.68041,0.987,NA,NA,NA,NA,NA,NA
25813,7.43944,7.74164,7.91817,NA,NA,NA,NA,0.762,NA,NA
26157,7.16426,7.35648,8.60379,0.755,NA,NA,NA,NA,NA,NA
26222,7.23714,8.53044,8.37582,0.751,NA,NA,NA,NA,NA,NA
26594,7.29177,7.65328,8.19993,NA,0.907,NA,NA,NA,NA,NA
26800,7.51086,7.85237,7.94381,NA,NA,0.873,NA,NA,NA,NA
26900,7.32763,7.21545,7.81997,0.877,NA,NA,NA,NA,NA,NA
27071,8.4769,7.08315,7.95065,NA,NA,NA,0.738,NA,NA,NA
27308,8.25275,7.1405,7.34101,NA,0.804,NA,NA,NA,NA,NA
27404,8.02713,7.88766,7.70269,NA,NA,0.874,NA,NA,NA,NA
27783,7.47845,7.27713,7.09832,NA,0.842,NA,NA,NA,NA,NA
27954,7.38984,7.40579,7.924,0.949,NA,NA,NA,NA,NA,NA
28019,7.72847,8.01095,7.921,NA,0.927,NA,NA,NA,NA,NA
28385,8.30365,7.09577,7.22183,0.795,NA,NA,NA,NA,NA,NA
28579,7.9674,7.63517,7.48449,0.972,NA,NA,NA,NA,NA,NA
28714,7.96956,7.82351,7.97431,NA,NA,NA,0.882,NA,NA,NA
28941,7.11609,7.43064,7.61035,0.901,NA,NA,NA,NA,NA,NA
29009,7.49625,7.12257,7.513,0.889,NA,NA,NA,NA,NA,NA
29212,7.42791,7.99573,7.6375,NA,0.953,NA,NA,NA,NA,NA
29426,7.38206,7.47585,7.28935,0.899,NA,NA,NA,NA,NA,NA
29686,7.71147,8.07705,7.13959,NA,0.902,NA,NA,NA,NA,NA
29925,7.19252,7.38871,8.09705,0.891,NA,NA,NA,NA,NA,NA
30195,7.12792,7.87707,8.2071,NA,NA,NA,0.793,NA,NA,NA
30311,7.80728,7.58594,7.66817,NA,NA,NA,0.808,NA,NA,NA
30550,7.60254,7.68958,8.25068,0.906,NA,NA,NA,NA,NA,NA
30674,7.92975,7.51356,8.42521,0.889,NA,NA,NA,NA,NA,NA
30951,7.34972,8.2053,8.32276,0.853,NA,NA,NA,NA,NA,NA
31120,7.80446,7.19206,7.2198,NA,NA,NA,0.829,NA,NA,NA
31240,7.0988,7.79762,8.01286,0.893,NA,NA,NA,NA,NA,NA
31538,7.92304,7.16034,7.57175,NA,NA,NA,0.874,NA,NA,NA
31791,7.17543,7.82175,7.60821,NA,0.892,NA,NA,NA,NA,NA
31926,7.51091,6.98504,7.88492,NA,NA,0.798,NA,NA,NA,NA
32139,7.72641,7.40801,6.98138,NA,0.858,NA,NA,NA,NA,NA
32380,8.3909,7.88537,7.61243,NA,NA,0.848,NA,NA,NA,NA
32413,7.62237,7.39158,8.07332,NA,NA,NA,0.873,NA,NA,NA
32633,7.55763,8.43379,7.52283,NA,NA,0.781,NA,NA,NA,NA
32818,8.24097,7.95428,8.08336,0.905,NA,NA,NA,NA,NA,NA
33134,7.7473,7.8065,7.82648,NA,NA,0.85,NA,NA,NA,NA
33336,7.16699,7.9747,8.15119,0.88,NA,NA,NA,NA,NA,NA
33507,8.11338,8.10573,7.51715,NA,NA,NA,0.86,NA,NA,NA
33673,7.7099,7.54202,6.76252,0.806,NA,NA,NA,NA,NA,NA
33924,7.85745,8.47789,7.54612,NA,0.884,NA,NA,NA,NA,NA
34173,7.62854,7.43831,7.05651,0.89,NA,NA,NA,NA,NA,NA
34261,7.26192,7.75213,7.18042,NA,NA,0.733,NA,NA,NA,NA
34439,8.12901,7.85841,8.114,NA,NA,NA,NA,0.619,NA,NA
34609,7.39138,8.02025,7.80693,0.95,NA,NA,NA,NA,NA,NA
34836,7.47932,7.83553,7.32304,0.938,NA,NA,NA,NA,NA,NA
35040,7.56988,7.88897,8.48924,NA,0.854,NA,NA,NA,NA,NA
35230,7.77373,8.36431,7.94617,0.908,NA,NA,NA,NA,NA,NA
35457,7.43186,8.30032,7.58069,NA,0.9,NA,NA,NA,NA,NA
35740,7.54117,8.7351,8.00846,NA,NA,0.739,NA,NA,NA,NA
35948,7.51341,7.6648,7.47751,NA,0.964,NA,NA,NA,NA,NA
36113,7.06173,7.86684,8.08004,NA,0.875,NA,NA,NA,NA,NA
36266,7.13267,8.08087,7.73327,NA,NA,NA,0.778,NA,NA,NA
36487,7.15752,7.78606,7.54099,NA,0.905,NA,NA,NA,NA,NA
36637,7.35421,7.70385,7.81638,0.97,NA,NA,NA,NA,NA,NA
36801,7.47452,7.93392,8.17577,NA,NA,0.845,NA,NA,NA,NA
37068,7.05831,7.96609,7.59357,0.848,NA,NA,NA,NA,NA,NA
37289,8.48005,7.55896,7.6392,0.861,NA,NA,NA,NA,NA,NA
37560,8.34371,7.88799,7.18041,NA,NA,NA,0.801,NA,NA,NA
37799,8.29816,7.91613,7.88078,NA,NA,NA,0.871,NA,NA,NA
37829,7.40594,8.17018,7.74216,NA,NA,0.835,NA,NA,NA,NA
38150,7.53615,8.03158,8.0053,NA,NA,NA,NA,NA,0.67,NA
38357,7.20348,7.47037,8.15189,0.87,NA,NA,NA,NA,NA,NA
38462,7.80537,8.07576,8.05508,NA,0.94,NA,NA,NA,NA,NA
38669,7.548,7.51595,7.12575,NA,0.912,NA,NA,NA,NA,NA
38893,8.11484,7.72377,6.28313,0.604,NA,NA,NA,NA,NA,NA
39099,8.43737,7.29173,7.25889,0.82,NA,NA,NA,NA,NA,NA
39212,7.71518,7.08432,7.4724,0.905,NA,NA,NA,NA,NA,NA
39479,7.61595,7.7593,7.2887,0.947,NA,NA,NA,NA,NA,NA
39713,7.7133,8.22734,7.24132,NA,NA,NA,0.839,NA,NA,NA
39960,8.01119,7.99134,7.05344,NA,0.872,NA,NA,NA,NA,NA
40121,7.40508,7.10539,7.09449,0.822,NA,NA,NA,NA,NA,NA
40400,7.72133,7.63141,7.51361,0.983,NA,NA,NA,NA,NA,NA
40565,8.18577,7.59157,7.40157,0.932,NA,NA,NA,NA,NA,NA
40606,7.10937,8.09178,8.11072,NA,0.857,NA,NA,NA,NA,NA
40807,6.32742,7.55505,7.87044,NA,0.602,NA,NA,NA,NA,NA
41091,7.9036,7.37447,8.63677,NA,0.798,NA,NA,NA,NA,NA
41375,8.31021,6.88242,7.63503,NA,0.741,NA,NA,NA,NA,NA
41577,7.80762,7.15643,8.33203,NA,NA,0.787,NA,NA,NA,NA
41638,7.13453,8.04193,8.06624,NA,0.855,NA,NA,NA,NA,NA
41891,7.35373,7.81076,7.71828,NA,0.952,NA,NA,NA,NA,NA
42138,7.20706,7.96673,7.96278,NA,NA,0.829,NA,NA,NA,NA
42289,7.54681,8.09602,8.26689,0.902,NA,NA,NA,NA,NA,NA
42582,7.71889,7.51722,8.18954,NA,NA,0.879,NA,NA,NA,NA
42745,7.71702,7.47511,8.56768,NA,NA,0.801,NA,NA,NA,NA
42871,6.74483,7.49803,7.83618,NA,NA,0.696,NA,NA,NA,NA
43095,6.93365,7.54338,8.59843,0.732,NA,NA,NA,NA,NA,NA
43326,7.42725,7.69844,8.37845,NA,0.86,NA,NA,NA,NA,NA
43421,7.71093,7.49183,7.50064,NA,NA,NA,NA,NA,0.783,NA
43728,8.37909,7.34248,8.30041,NA,NA,NA,NA,NA,0.643,NA
43960,7.45414,8.46382,7.31236,0.815,NA,NA,NA,NA,NA,NA
44091,6.89813,8.61352,8.07775,0.695,NA,NA,NA,NA,NA,NA
44219,7.44157,7.32623,7.5902,NA,NA,NA,NA,0.7,NA,NA
44550,7.93826,7.49768,7.40306,0.922,NA,NA,NA,NA,NA,NA
44681,8.42672,7.99375,7.29833,NA,NA,NA,0.719,NA,NA,NA
44961,7.70861,7.27702,7.34875,NA,0.913,NA,NA,NA,NA,NA
45004,7.64304,7.583,7.85401,NA,NA,0.9,NA,NA,NA,NA
45332,7.72633,7.21308,7.80975,0.945,NA,NA,NA,NA,NA,NA
45577,8.78003,6.85367,7.54196,0.657,NA,NA,NA,NA,NA,NA
45743,7.54356,7.24497,7.42557,0.93,NA,NA,NA,NA,NA,NA
45951,7.7737,7.65579,8.4101,NA,0.879,NA,NA,NA,NA,NA
46166,8.12163,7.47817,8.24278,NA,NA,0.839,NA,NA,NA,NA
46266,8.39184,8.488,7.39863,NA,0.772,NA,NA,NA,NA,NA
46428,7.98829,7.4382,8.14328,0.927,NA,NA,NA,NA,NA,NA
46636,7.46356,8.1992,8.53262,0.803,NA,NA,NA,NA,NA,NA
46938,7.52718,7.38898,8.02871,0.941,NA,NA,NA,NA,NA,NA
47114,8.07052,7.93275,7.54486,0.922,NA,NA,NA,NA,NA,NA
47227,8.46273,7.81908,7.55645,0.862,NA,NA,NA,NA,NA,NA
47532,7.50955,8.02287,8.45076,NA,NA,NA,0.824,NA,NA,NA
47739,7.64675,7.7086,7.89832,0.968,NA,NA,NA,NA,NA,NA
47884,7.4975,8.71058,7.948,0.812,NA,NA,NA,NA,NA,NA
48121,6.82557,8.37788,7.37095,0.72,NA,NA,NA,NA,NA,NA
48400,7.24237,7.79188,7.4494,NA,NA,NA,0.878,NA,NA,NA
48483,6.66204,7.86923,7.42458,0.756,NA,NA,NA,NA,NA,NA
48620,7.24351,8.20291,6.8681,0.751,NA,NA,NA,NA,NA,NA
48961,8.17355,8.25893,7.68611,NA,NA,NA,0.854,NA,NA,NA
49102,8.26821,7.98343,7.40501,NA,0.898,NA,NA,NA,NA,NA
49254,7.90976,7.8297,7.98466,0.973,NA,NA,NA,NA,NA,NA
49418,8.03427,7.78425,7.62397,0.932,NA,NA,NA,NA,NA,NA
49699,7.6283,8.31994,8.27898,0.866,NA,NA,NA,NA,NA,NA
49988,7.94535,8.55004,8.26653,NA,0.755,NA,NA,NA,NA,NA
50021,7.61135,8.61938,8.14219,NA,0.771,NA,NA,NA,NA,NA
50317,6.95591,8.65015,7.69037,0.73,NA,NA,NA,NA,NA,NA
50592,7.83464,7.95084,7.70855,0.955,NA,NA,NA,NA,NA,NA
50601,7.34401,8.29885,7.98728,NA,0.853,NA,NA,NA,NA,NA
50938,7.86381,8.22517,7.57508,NA,0.922,NA,NA,NA,NA,NA
51079,7.84284,7.60504,8.03996,NA,0.939,NA,NA,NA,NA,NA
51267,7.66267,8.11244,8.00979,NA,0.946,NA,NA,NA,NA,NA
51583,7.17035,7.18078,7.86042,NA,NA,NA,0.823,NA,NA,NA
51788,8.36172,6.96155,6.90116,NA,0.653,NA,NA,NA,NA,NA
51831,7.28724,7.48522,7.58524,0.944,NA,NA,NA,NA,NA,NA
52088,7.84494,7.17674,6.84844,NA,0.773,NA,NA,NA,NA,NA
52303,7.83305,7.31395,8.19386,0.909,NA,NA,NA,NA,NA,NA
52465,7.6388,7.78273,7.34892,NA,0.964,NA,NA,NA,NA,NA
52748,8.11273,8.42462,7.82689,NA,0.866,NA,NA,NA,NA,NA
52999,8.14824,8.08387,7.3463,NA,0.899,NA,NA,NA,NA,NA
53084,7.70247,8.15082,7.89562,NA,0.954,NA,NA,NA,NA,NA
53270,7.69008,8.56341,8.25221,NA,0.798,NA,NA,NA,NA,NA
53459,7.85114,6.98918,8.28717,0.812,NA,NA,NA,NA,NA,NA
53760,7.18352,6.87046,8.12881,0.754,NA,NA,NA,NA,NA,NA
53816,7.56919,7.16235,7.59073,0.922,NA,NA,NA,NA,NA,NA
54159,6.98509,7.69673,7.37706,NA,0.863,NA,NA,NA,NA,NA
54304,7.34572,8.02589,7.64208,NA,0.903,NA,NA,NA,NA,NA
54535,7.7788,7.80698,8.49032,NA,0.861,NA,NA,NA,NA,NA
54605,7.66314,7.55001,7.41044,NA,0.975,NA,NA,NA,NA,NA
54901,7.78968,6.91134,7.01186,0.759,NA,NA,NA,NA,NA,NA
55145,7.98834,7.42613,7.26132,0.915,NA,NA,NA,NA,NA,NA
55386,7.95217,7.86011,8.19578,NA,0.931,NA,NA,NA,NA,NA
55579,7.72895,7.82766,7.34037,NA,0.959,NA,NA,NA,NA,NA
55709,6.75944,8.08942,7.42829,0.764,NA,NA,NA,NA,NA,NA
55913,7.38429,8.20176,8.91609,NA,0.702,NA,NA,NA,NA,NA
56007,7.79895,8.46854,8.70567,NA,0.706,NA,NA,NA,NA,NA
56395,8.0205,7.57291,8.13096,NA,0.94,NA,NA,NA,NA,NA
56406,7.55822,7.98866,8.42167,NA,NA,0.762,NA,NA,NA,NA
56727,8.28819,7.84589,8.09817,NA,NA,NA,NA,NA,0.718,NA
56814,7.68858,7.2737,7.51474,NA,NA,NA,0.852,NA,NA,NA
57119,7.83592,7.8708,7.7683,0.956,NA,NA,NA,NA,NA,NA
57201,7.96433,8.73579,7.71961,0.813,NA,NA,NA,NA,NA,NA
57429,8.19734,8.0722,8.26654,NA,NA,NA,NA,0.672,NA,NA
57761,7.89556,7.13178,7.73337,0.913,NA,NA,NA,NA,NA,NA
57837,7.39745,7.4539,7.55256,NA,NA,NA,0.82,NA,NA,NA
58157,8.46191,7.53043,7.11938,0.811,NA,NA,NA,NA,NA,NA
58291,8.20226,8.04484,7.79834,NA,0.901,NA,NA,NA,NA,NA
58451,8.18196,7.40099,8.34415,NA,0.807,NA,NA,NA,NA,NA
58602,8.08958,7.15281,7.42183,NA,0.875,NA,NA,NA,NA,NA
58911,7.13189,7.36444,8.33336,NA,NA,NA,0.719,NA,NA,NA
59044,7.19586,8.22599,7.89907,0.841,NA,NA,NA,NA,NA,NA
59349,8.1341,8.13966,7.72953,NA,NA,NA,0.817,NA,NA,NA
59439,7.63062,7.41402,7.73007,0.958,NA,NA,NA,NA,NA,NA
59724,7.39246,7.91277,7.79641,0.964,NA,NA,NA,NA,NA,NA
59908,8.12714,7.72784,7.91634,NA,0.956,NA,NA,NA,NA,NA
60069,8.10084,8.16349,8.22395,0.855,NA,NA,NA,NA,NA,NA
60274,7.54999,7.03332,8.09536,NA,0.839,NA,NA,NA,NA,NA
60553,8.01792,8.27707,7.69806,NA,0.919,NA,NA,NA,NA,NA
60746,7.83814,7.57951,7.87866,0.986,NA,NA,NA,NA,NA,NA
60934,8.46881,8.67596,7.85085,NA,0.735,NA,NA,NA,NA,NA
61029,8.01816,7.62686,7.91003,NA,NA,0.823,NA,NA,NA,NA
61290,8.00625,8.13604,7.40136,0.923,NA,NA,NA,NA,NA,NA
61585,7.47411,7.99684,7.28089,NA,0.91,NA,NA,NA,NA,NA
61619,7.97955,7.50637,6.78738,0.8,NA,NA,NA,NA,NA,NA
61868,7.15969,7.75798,7.20574,0.863,NA,NA,NA,NA,NA,NA
62014,7.39821,7.70425,7.22852,0.926,NA,NA,NA,NA,NA,NA
62372,7.70795,7.43992,7.32218,NA,0.943,NA,NA,NA,NA,NA
62552,7.7103,7.58581,7.05048,NA,0.892,NA,NA,NA,NA,NA
62692,7.50314,7.04245,8.39755,NA,0.77,NA,NA,NA,NA,NA
62826,7.54812,7.86616,7.50757,0.972,NA,NA,NA,NA,NA,NA
63039,7.957,7.83269,7.7789,NA,0.957,NA,NA,NA,NA,NA
63231,8.22328,8.33596,7.58897,NA,0.869,NA,NA,NA,NA,NA
63489,7.22355,6.87024,7.79561,NA,0.774,NA,NA,NA,NA,NA
63668,8.47407,8.18641,8.01508,NA,NA,0.706,NA,NA,NA,NA
63980,8.16559,7.83014,7.90123,0.909,NA,NA,NA,NA,NA,NA
64169,7.46393,8.01499,8.01282,0.92,NA,NA,NA,NA,NA,NA
64335,6.8648,7.62195,7.09357,0.768,NA,NA,NA,NA,NA,NA
64544,7.04995,7.73316,6.96013,NA,NA,NA,0.73,NA,NA,NA
64642,7.53534,7.51892,7.32067,NA,NA,NA,0.889,NA,NA,NA
64874,7.34155,7.54697,7.94586,NA,0.925,NA,NA,NA,NA,NA
65164,7.66208,7.17408,7.96967,NA,0.921,NA,NA,NA,NA,NA
65254,7.26551,7.78675,8.2711,0.889,NA,NA,NA,NA,NA,NA
65495,8.28713,7.14132,7.5491,0.837,NA,NA,NA,NA,NA,NA
65631,8.38575,7.23793,7.43875,0.81,NA,NA,NA,NA,NA,NA
65851,7.69267,7.64627,7.22771,NA,0.949,NA,NA,NA,NA,NA
66130,8.17624,7.18604,7.90126,NA,NA,0.725,NA,NA,NA,NA
66323,7.93669,6.66686,8.00654,NA,0.729,NA,NA,NA,NA,NA
66473,7.62649,8.351,8.39718,NA,0.811,NA,NA,NA,NA,NA
66715,8.01786,7.784,8.48015,0.866,NA,NA,NA,NA,NA,NA
66942,7.081,7.85057,8.00637,NA,NA,NA,0.843,NA,NA,NA
67068,7.67284,7.83297,8.33876,NA,NA,NA,0.87,NA,NA,NA
67379,7.72934,7.70958,8.75297,NA,0.822,NA,NA,NA,NA,NA
67563,8.06193,7.97499,7.38413,NA,0.933,NA,NA,NA,NA,NA
67735,6.65186,7.96938,7.80355,NA,0.735,NA,NA,NA,NA,NA
67832,7.97372,8.46545,7.33555,NA,NA,0.706,NA,NA,NA,NA
68177,7.15149,8.56679,7.43875,NA,0.736,NA,NA,NA,NA,NA
68400,7.75402,8.06297,7.65351,NA,0.962,NA,NA,NA,NA,NA
68531,8.34241,8.09169,8.19012,NA,0.827,NA,NA,NA,NA,NA
68707,8.38428,7.90324,7.52242,0.871,NA,NA,NA,NA,NA,NA
68921,7.6785,8.20977,7.9406,0.92,NA,NA,NA,NA,NA,NA
69041,8.04627,8.41786,7.73914,NA,NA,NA,0.806,NA,NA,NA
69207,8.0794,7.50912,7.74446,NA,0.948,NA,NA,NA,NA,NA
