id,x0,x1,x2,fitness-4.5,fitness-2,fitness-2.5,fitness-3.5,fitness-1.5,fitness-3,fitness-4,fitness-1,fitness-0.5,fitness0
8240,1.74195,1.43654,-5,NA,NA,NA,NA,NA,-19.353,NA,NA,NA,NA
8519,1.63493,1.25399,-4.9165,NA,NA,NA,NA,NA,-26.77,NA,NA,NA,NA
8733,1.65436,1.23719,-5,NA,NA,NA,NA,NA,-23.786,NA,NA,NA,NA
8825,3.00399,2.12263,-5,NA,NA,-49.667,NA,NA,NA,NA,NA,NA,NA
9058,2.29144,2.03754,-4.66708,NA,NA,NA,NA,NA,-19.378,NA,NA,NA,NA
9236,2.55662,2.38578,-4.06845,NA,-32.371,NA,NA,NA,NA,NA,NA,NA,NA
9567,2.41821,2.01901,-4.24389,NA,NA,NA,NA,NA,-20.88,NA,NA,NA,NA
9647,1.05503,1.12111,-4.03346,NA,NA,NA,-63.802,NA,NA,NA,NA,NA,NA
9811,2.22835,2.3163,-3.9549,NA,NA,NA,NA,NA,NA,-65.973,NA,NA,NA
10103,1.22771,1.80787,-4.42241,NA,-19.032,NA,NA,NA,NA,NA,NA,NA,NA
10205,1.98454,2.55912,-4.037,NA,NA,NA,-41.749,NA,NA,NA,NA,NA,NA
10432,2.95265,2.64163,-4.35438,NA,NA,-55.602,NA,NA,NA,NA,NA,NA,NA
10634,2.39522,1.27304,-4.48582,NA,-21.285,NA,NA,NA,NA,NA,NA,NA,NA
10937,3.11082,1.80659,-4.60602,NA,-47.145,NA,NA,NA,NA,NA,NA,NA,NA
11142,1.74928,2.10415,-4.55174,NA,NA,-9.508,NA,NA,NA,NA,NA,NA,NA
11326,2.57016,2.57577,-4.92892,NA,NA,NA,NA,NA,-47.208,NA,NA,NA,NA
11464,1.26631,1.44844,-4.95997,NA,NA,-23.313,NA,NA,NA,NA,NA,NA,NA
11668,1.48546,0.886817,-3.55593,NA,NA,NA,NA,NA,-55.246,NA,NA,NA,NA
11971,1.72455,1.57634,-4.4836,NA,NA,-1.719,NA,NA,NA,NA,NA,NA,NA
12116,1.37502,2.21755,-5,NA,-35.282,NA,NA,NA,NA,NA,NA,NA,NA
12203,1.84895,1.72979,-5,NA,-20.844,NA,NA,NA,NA,NA,NA,NA,NA
12428,2.59826,1.71738,-3.44758,NA,NA,-42.421,NA,NA,NA,NA,NA,NA,NA
12661,0.997883,1.57184,-3.77373,NA,NA,NA,-52.727,NA,NA,NA,NA,NA,NA
12933,1.40143,1.70219,-3.72162,NA,NA,-16.294,NA,NA,NA,NA,NA,NA,NA
13119,1.72478,1.54336,-4.64309,NA,NA,NA,NA,NA,-13.844,NA,NA,NA,NA
13357,1.7167,1.76956,-3.33063,NA,-34.112,NA,NA,NA,NA,NA,NA,NA,NA
13588,1.72646,1.42332,-4.91276,NA,NA,NA,-28.059,NA,NA,NA,NA,NA,NA
13663,1.27558,1.73419,-3.8265,NA,NA,NA,NA,NA,-18.997,NA,NA,NA,NA
13938,1.62688,1.959,-3.85315,NA,NA,-12.129,NA,NA,NA,NA,NA,NA,NA
14059,2.27336,2.64278,-3.72164,NA,NA,-40.255,NA,NA,NA,NA,NA,NA,NA
14303,2.06812,1.46789,-5,NA,NA,NA,NA,NA,-20.853,NA,NA,NA,NA
14470,1.457,1.11654,-4.93675,NA,NA,NA,NA,NA,-32.078,NA,NA,NA,NA
14756,1.00694,1.938,-4.95499,NA,NA,-31.487,NA,NA,NA,NA,NA,NA,NA
14979,2.05345,1.603,-5,NA,NA,-16.463,NA,NA,NA,NA,NA,NA,NA
15063,1.56571,0.83359,-4.32299,NA,-44.391,NA,NA,NA,NA,NA,NA,NA,NA
15381,2.13602,1.06355,-5,NA,NA,-31.62,NA,NA,NA,NA,NA,NA,NA
15538,2.33229,2.20097,-4.35064,NA,-25.495,NA,NA,NA,NA,NA,NA,NA,NA
15777,2.82369,2.21709,-4.00049,NA,-43.747,NA,NA,NA,NA,NA,NA,NA,NA
15911,1.94216,2.30858,-4.89279,NA,NA,NA,NA,NA,-21.766,NA,NA,NA,NA
16057,0.841246,2.32801,-4.81596,NA,NA,-39.448,NA,NA,NA,NA,NA,NA,NA
16255,1.21084,2.00131,-4.25959,NA,NA,NA,NA,NA,-15.594,NA,NA,NA,NA
16558,1.97591,1.96248,-4.93862,NA,NA,NA,NA,-30.396,NA,NA,NA,NA,NA
16787,1.38308,1.78719,-3.54851,NA,NA,-24.205,NA,NA,NA,NA,NA,NA,NA
16905,1.65042,2.57264,-3.78251,NA,NA,NA,NA,NA,-33.24,NA,NA,NA,NA
17065,1.39551,1.59973,-4.34507,NA,NA,NA,NA,NA,-10.359,NA,NA,NA,NA
17308,2.19005,2.09867,-4.39878,NA,-12.84,NA,NA,NA,NA,NA,NA,NA,NA
17513,1.49677,1.4169,-4.78891,NA,NA,-11.875,NA,NA,NA,NA,NA,NA,NA
17630,1.83454,1.56574,-4.28942,NA,NA,-2.256,NA,NA,NA,NA,NA,NA,NA
17873,2.1537,1.7865,-3.73446,NA,NA,-16.643,NA,NA,NA,NA,NA,NA,NA
18091,2.06902,1.38674,-3.82079,NA,NA,NA,NA,NA,-17.752,NA,NA,NA,NA
18335,1.17496,2.03447,-5,NA,-32.839,NA,NA,NA,NA,NA,NA,NA,NA
18414,2.55188,1.64093,-4.27935,NA,NA,-17.712,NA,NA,NA,NA,NA,NA,NA
18629,2.14003,1.91905,-4.062,NA,-12.192,NA,NA,NA,NA,NA,NA,NA,NA
18912,1.46139,1.37315,-5,NA,-24.709,NA,NA,NA,NA,NA,NA,NA,NA
19123,2.38179,1.76698,-4.19865,NA,-15.357,NA,NA,NA,NA,NA,NA,NA,NA
19342,1.95428,2.29266,-4.33186,NA,NA,NA,NA,-30.814,NA,NA,NA,NA,NA
19492,1.70341,1.46424,-4.85273,NA,NA,-10.964,NA,NA,NA,NA,NA,NA,NA
19774,1.72967,1.86583,-4.56636,NA,NA,NA,NA,NA,-18.246,NA,NA,NA,NA
19875,1.54557,0.842186,-3.89023,NA,NA,NA,NA,NA,-47.193,NA,NA,NA,NA
20016,1.52874,1.44577,-4.52707,NA,NA,-6.776,NA,NA,NA,NA,NA,NA,NA
20298,1.4817,1.40681,-4.65761,NA,NA,NA,NA,NA,-10.826,NA,NA,NA,NA
20429,1.65426,1.28004,-5,NA,-24.368,NA,NA,NA,NA,NA,NA,NA,NA
20674,2.23184,2.11254,-5,NA,-26.897,NA,NA,NA,NA,NA,NA,NA,NA
20992,1.57251,2.3293,-5,NA,NA,NA,NA,NA,-28.707,NA,NA,NA,NA
21037,1.47889,1.15146,-5,NA,NA,NA,NA,NA,-31.105,NA,NA,NA,NA
21341,3.01022,1.67942,-5,NA,NA,-47.484,NA,NA,NA,NA,NA,NA,NA
21492,2.63285,1.96234,-5,NA,NA,NA,NA,-46.871,NA,NA,NA,NA,NA
21776,2.28621,1.59516,-4.6818,NA,NA,-12.472,NA,NA,NA,NA,NA,NA,NA
21989,2.33088,1.26919,-4.23863,NA,-19.27,NA,NA,NA,NA,NA,NA,NA,NA
22080,2.56336,2.07616,-4.74315,NA,NA,NA,-51.104,NA,NA,NA,NA,NA,NA
22383,2.76193,2.6241,-5,NA,NA,NA,NA,NA,-60.736,NA,NA,NA,NA
22480,1.99032,1.46173,-5,NA,NA,-17.239,NA,NA,NA,NA,NA,NA,NA
22631,2.45868,1.26753,-4.86324,NA,NA,-25.875,NA,NA,NA,NA,NA,NA,NA
22813,1.48299,2.00517,-5,NA,-26.346,NA,NA,NA,NA,NA,NA,NA,NA
23013,1.48057,1.45958,-5,NA,-23.227,NA,NA,NA,NA,NA,NA,NA,NA
23202,2.07047,1.7966,-5,NA,NA,-16.666,NA,NA,NA,NA,NA,NA,NA
23403,1.85808,2.10979,-5,NA,NA,NA,NA,NA,-25.57,NA,NA,NA,NA
23691,1.20398,2.10313,-5,NA,-30.026,NA,NA,NA,NA,NA,NA,NA,NA
23815,1.11948,1.85484,-5,NA,NA,-27.48,NA,NA,NA,NA,NA,NA,NA
24146,1.24839,2.08027,-4.05965,NA,-21.258,NA,NA,NA,NA,NA,NA,NA,NA
24254,1.9471,1.55386,-4.00107,NA,-8.927,NA,NA,NA,NA,NA,NA,NA,NA
24460,1.63876,1.94772,-4.28761,NA,NA,-5.576,NA,NA,NA,NA,NA,NA,NA
24618,0.760794,1.88709,-4.01464,NA,NA,NA,NA,-57.446,NA,NA,NA,NA,NA
24987,2.10882,2.40184,-4.78184,NA,NA,NA,NA,NA,-24.099,NA,NA,NA,NA
25177,1.80799,3.04281,-4.26965,NA,NA,NA,NA,NA,-46.228,NA,NA,NA,NA
25388,1.42126,2.25569,-3.99888,NA,NA,NA,NA,-39.767,NA,NA,NA,NA,NA
25517,1.15478,1.9557,-4.48465,NA,NA,NA,NA,-41.256,NA,NA,NA,NA,NA
25700,0.352503,1.66901,-5,NA,-78.521,NA,NA,NA,NA,NA,NA,NA,NA
25983,2.28583,1.58622,-4.57871,NA,NA,NA,NA,NA,-21.189,NA,NA,NA,NA
26190,1.20379,1.61008,-3.93828,NA,NA,NA,NA,NA,-21.999,NA,NA,NA,NA
26309,1.98339,2.06704,-4.29727,NA,NA,-7.33,NA,NA,NA,NA,NA,NA,NA
26579,1.72102,2.99116,-4.65556,NA,NA,NA,NA,NA,-46.002,NA,NA,NA,NA
26664,2.12243,1.95803,-4.81104,NA,NA,-13.145,NA,NA,NA,NA,NA,NA,NA
26808,1.87695,1.89163,-5,NA,-16.955,NA,NA,NA,NA,NA,NA,NA,NA
27200,2.86386,2.2999,-4.7285,NA,-47.275,NA,NA,NA,NA,NA,NA,NA,NA
27287,1.93802,1.58399,-5,NA,NA,NA,NA,NA,-25.22,NA,NA,NA,NA
27528,2.59737,1.70199,-4.67868,NA,NA,-22.611,NA,NA,NA,NA,NA,NA,NA
27742,2.54702,0.968451,-4.27431,NA,NA,-36.335,NA,NA,NA,NA,NA,NA,NA
27979,1.65533,1.65817,-3.53075,NA,NA,-21.112,NA,NA,NA,NA,NA,NA,NA
28199,1.57889,2.44006,-4.70326,NA,-23.486,NA,NA,NA,NA,NA,NA,NA,NA
28224,2.25544,2.51552,-4.13299,NA,-28.192,NA,NA,NA,NA,NA,NA,NA,NA
28450,1.32737,2.06413,-4.82799,NA,-21.082,NA,NA,NA,NA,NA,NA,NA,NA
28670,1.74546,1.28716,-5,NA,-23.016,NA,NA,NA,NA,NA,NA,NA,NA
28868,1.69151,1.78166,-3.99632,NA,NA,-5.11,NA,NA,NA,NA,NA,NA,NA
29134,2.01623,1.46125,-4.22464,NA,NA,NA,NA,NA,-16.009,NA,NA,NA,NA
29354,1.6284,1.44867,-4.39,NA,NA,NA,NA,NA,-13.003,NA,NA,NA,NA
29416,1.34067,1.79856,-3.79032,NA,NA,NA,NA,NA,-18.915,NA,NA,NA,NA
29648,1.54991,1.49012,-4.98116,NA,NA,NA,NA,NA,-23.557,NA,NA,NA,NA
29824,1.3082,2.02319,-5,NA,-24.492,NA,NA,NA,NA,NA,NA,NA,NA
30110,1.16119,1.96504,-5,NA,-33.29,NA,NA,NA,NA,NA,NA,NA,NA
30286,1.39389,3.13875,-4.9937,NA,-63.603,NA,NA,NA,NA,NA,NA,NA,NA
30545,2.82755,1.2743,-5,NA,NA,NA,NA,-59.004,NA,NA,NA,NA,NA
30625,2.00919,2.15643,-5,NA,NA,NA,NA,-47.528,NA,NA,NA,NA,NA
30856,2.40964,1.89273,-4.89467,NA,NA,NA,NA,-48.668,NA,NA,NA,NA,NA
31148,1.61908,1.74772,-5,NA,-28.205,NA,NA,NA,NA,NA,NA,NA,NA
31341,2.04446,2.36667,-4.23196,NA,NA,-16.485,NA,NA,NA,NA,NA,NA,NA
31497,1.47149,1.91671,-3.31316,NA,NA,NA,NA,NA,-34.789,NA,NA,NA,NA
31765,2.06334,2.48595,-3.59798,NA,NA,NA,NA,NA,-37.607,NA,NA,NA,NA
31926,2.35298,0.655097,-4.25683,NA,NA,NA,NA,NA,-52.235,NA,NA,NA,NA
32128,2.43795,1.24175,-4.22158,NA,NA,NA,NA,NA,-20.665,NA,NA,NA,NA
32278,1.65497,1.57069,-4.38241,NA,NA,-0.614,NA,NA,NA,NA,NA,NA,NA
32410,1.89341,1.74003,-5,NA,NA,-16.275,NA,NA,NA,NA,NA,NA,NA
32784,2.49086,1.64266,-5,NA,NA,NA,NA,NA,-28.028,NA,NA,NA,NA
32858,2.33343,1.33836,-4.39175,NA,NA,NA,NA,NA,-16.495,NA,NA,NA,NA
33062,2.10628,2.39598,-3.75224,NA,NA,-26.722,NA,NA,NA,NA,NA,NA,NA
33224,2.37567,2.44739,-4.73895,NA,NA,NA,NA,NA,-38.885,NA,NA,NA,NA
33535,1.68198,1.71902,-4.12674,NA,NA,-2.019,NA,NA,NA,NA,NA,NA,NA
33782,1.90595,2.67735,-5,NA,-37.359,NA,NA,NA,NA,NA,NA,NA,NA
33849,1.38068,2.35465,-5,NA,NA,-27.977,NA,NA,NA,NA,NA,NA,NA
34038,1.71893,1.74756,-5,NA,NA,NA,NA,NA,-22.46,NA,NA,NA,NA
34334,2.02639,1.49143,-5,NA,NA,NA,-32.708,NA,NA,NA,NA,NA,NA
34509,1.82059,2.44563,-5,NA,NA,-27.189,NA,NA,NA,NA,NA,NA,NA
34714,1.6973,1.27565,-5,NA,NA,-21.304,NA,NA,NA,NA,NA,NA,NA
34982,0.0900515,2.07896,-5,NA,NA,-83.392,NA,NA,NA,NA,NA,NA,NA
35061,2.78251,1.27343,-5,NA,NA,NA,NA,NA,-43.723,NA,NA,NA,NA
35206,1.76903,1.77779,-5,NA,NA,NA,NA,NA,-17.515,NA,NA,NA,NA
35551,0.745647,2.02273,-5,NA,NA,NA,NA,NA,-45.505,NA,NA,NA,NA
35648,1.93198,1.85054,-4.36408,NA,-14.062,NA,NA,NA,NA,NA,NA,NA,NA
35832,1.58699,1.95543,-4.48099,NA,NA,-5.589,NA,NA,NA,NA,NA,NA,NA
36045,2.31901,2.38244,-5,NA,NA,-31.158,NA,NA,NA,NA,NA,NA,NA
36395,2.03162,2.05358,-4.03414,NA,NA,-10.541,NA,NA,NA,NA,NA,NA,NA
36594,2.24213,1.26903,-4.47684,NA,-15.323,NA,NA,NA,NA,NA,NA,NA,NA
36732,2.63311,2.65179,-5,NA,NA,NA,NA,NA,NA,-85.004,NA,NA,NA
36955,1.70352,1.66956,-5,NA,NA,NA,-37.768,NA,NA,NA,NA,NA,NA
37150,2.60887,1.28544,-3.70374,NA,NA,-36.741,NA,NA,NA,NA,NA,NA,NA
37308,2.82126,2.23008,-5,NA,NA,-43.459,NA,NA,NA,NA,NA,NA,NA
37583,2.19979,2.27668,-4.70842,NA,NA,NA,NA,NA,-24.353,NA,NA,NA,NA
37739,1.68276,2.23243,-3.92776,NA,-26.99,NA,NA,NA,NA,NA,NA,NA,NA
37843,1.59426,1.80801,-5,NA,-18.587,NA,NA,NA,NA,NA,NA,NA,NA
38170,1.45041,1.92623,-5,NA,NA,NA,NA,NA,-30.599,NA,NA,NA,NA
38259,1.37275,2.2137,-5,NA,NA,NA,-38.434,NA,NA,NA,NA,NA,NA
38420,1.55415,2.56092,-5,NA,NA,NA,NA,NA,-37.631,NA,NA,NA,NA
38754,0.97605,2.14901,-5,NA,NA,-35.035,NA,NA,NA,NA,NA,NA,NA
38907,1.3601,3.03864,-5,NA,NA,NA,NA,NA,-66.323,NA,NA,NA,NA
39078,1.47153,2.3422,-4.64124,NA,NA,-18.569,NA,NA,NA,NA,NA,NA,NA
39208,2.19693,2.0579,-5,NA,NA,NA,-40.447,NA,NA,NA,NA,NA,NA
39507,1.23457,1.59204,-4.69957,NA,NA,NA,NA,NA,-16.015,NA,NA,NA,NA
39774,1.64813,1.32031,-5,NA,-33.704,NA,NA,NA,NA,NA,NA,NA,NA
39959,1.88837,1.56859,-5,NA,NA,-14.968,NA,NA,NA,NA,NA,NA,NA
40066,2.15221,1.6019,-4.39306,NA,NA,NA,NA,NA,-9.484,NA,NA,NA,NA
40369,2.28045,1.45574,-5,NA,-32.05,NA,NA,NA,NA,NA,NA,NA,NA
40447,1.78913,2.13074,-5,NA,NA,NA,NA,-33.981,NA,NA,NA,NA,NA
40776,1.73712,1.90878,-4.76036,NA,NA,NA,NA,-25.476,NA,NA,NA,NA,NA
40847,2.48535,1.50651,-5,NA,NA,-26.975,NA,NA,NA,NA,NA,NA,NA
41116,0.94547,2.13439,-4.99409,NA,NA,NA,-47.843,NA,NA,NA,NA,NA,NA
41382,1.17317,2.57245,-4.6399,NA,NA,NA,NA,NA,-39.337,NA,NA,NA,NA
41547,2.14759,2.2622,-5,NA,NA,-24.585,NA,NA,NA,NA,NA,NA,NA
41778,2.06704,2.4755,-4.84602,NA,NA,-26.299,NA,NA,NA,NA,NA,NA,NA
41955,2.28116,2.016,-4.38946,NA,NA,NA,NA,NA,-15.094,NA,NA,NA,NA
42033,2.19559,1.70267,-5,NA,NA,-18.718,NA,NA,NA,NA,NA,NA,NA
42318,1.96576,1.40473,-5,NA,NA,-19.454,NA,NA,NA,NA,NA,NA,NA
42584,2.13522,2.55801,-4.89772,NA,-35.47,NA,NA,NA,NA,NA,NA,NA,NA
42647,1.78022,1.8423,-4.94916,NA,NA,NA,NA,-31.155,NA,NA,NA,NA,NA
42937,1.51598,2.62098,-3.65862,NA,-46.016,NA,NA,NA,NA,NA,NA,NA,NA
43173,1.17852,1.60957,-4.47211,NA,NA,-13.491,NA,NA,NA,NA,NA,NA,NA
43312,1.04615,1.63235,-4.76767,NA,NA,NA,NA,NA,-34.363,NA,NA,NA,NA
43485,0.980625,0.874327,-5,NA,NA,-75.462,NA,NA,NA,NA,NA,NA,NA
43640,1.65014,1.7401,-4.38074,NA,-13.269,NA,NA,NA,NA,NA,NA,NA,NA
43860,2.04507,2.55658,-5,NA,NA,-32.714,NA,NA,NA,NA,NA,NA,NA
44079,1.60686,1.61748,-5,NA,NA,NA,NA,NA,-17.309,NA,NA,NA,NA
44254,1.97503,1.61405,-5,NA,NA,-16.164,NA,NA,NA,NA,NA,NA,NA
44517,1.84393,1.23215,-4.3635,NA,NA,-6.969,NA,NA,NA,NA,NA,NA,NA
44631,2.03898,1.0651,-3.70318,NA,-34.307,NA,NA,NA,NA,NA,NA,NA,NA
44933,1.79911,1.04321,-5,NA,NA,-31.188,NA,NA,NA,NA,NA,NA,NA
45060,1.79333,2.56388,-5,NA,-37.208,NA,NA,NA,NA,NA,NA,NA,NA
45367,1.53861,2.25817,-4.7946,NA,NA,-17.999,NA,NA,NA,NA,NA,NA,NA
45562,2.21357,1.33602,-5,NA,NA,-24,NA,NA,NA,NA,NA,NA,NA
45633,1.81793,1.76026,-5,NA,NA,-14.734,NA,NA,NA,NA,NA,NA,NA
45997,1.86457,1.06775,-5,NA,-37.037,NA,NA,NA,NA,NA,NA,NA,NA
46178,1.23311,2.59811,-5,NA,NA,-38.849,NA,NA,NA,NA,NA,NA,NA
46386,1.63756,1.60518,-3.8348,NA,-11.887,NA,NA,NA,NA,NA,NA,NA,NA
46495,1.93842,1.13791,-5,NA,NA,-25.8,NA,NA,NA,NA,NA,NA,NA
46706,2.26366,1.3419,-5,NA,NA,NA,-48.073,NA,NA,NA,NA,NA,NA
46849,1.69281,2.1826,-4.40721,NA,NA,NA,-27.495,NA,NA,NA,NA,NA,NA
47112,1.76795,1.96807,-3.97984,NA,NA,-8.094,NA,NA,NA,NA,NA,NA,NA
47225,1.97308,1.61763,-5,NA,NA,NA,NA,NA,-21.01,NA,NA,NA,NA
47454,0.477476,1.81038,-5,NA,NA,NA,NA,NA,-59.202,NA,NA,NA,NA
47668,0.291646,2.70252,-4.48302,NA,NA,NA,NA,-93.737,NA,NA,NA,NA,NA
47890,2.08882,2.63848,-4.43866,NA,NA,-27.516,NA,NA,NA,NA,NA,NA,NA
48122,2.0767,2.57268,-4.41598,NA,-29.478,NA,NA,NA,NA,NA,NA,NA,NA
48270,1.48728,2.09353,-5,NA,NA,NA,NA,NA,-31.589,NA,NA,NA,NA
48568,2.08016,2.86831,-4.66051,NA,NA,NA,NA,NA,-42.579,NA,NA,NA,NA
48734,1.39007,1.74473,-5,NA,NA,NA,-37.231,NA,NA,NA,NA,NA,NA
48990,1.58536,1.76754,-4.31137,NA,NA,-2.008,NA,NA,NA,NA,NA,NA,NA
49199,0.944599,2.61483,-4.72124,NA,NA,-42.869,NA,NA,NA,NA,NA,NA,NA
49320,2.45594,2.2791,-4.83152,NA,-29.417,NA,NA,NA,NA,NA,NA,NA,NA
49423,1.19006,1.67905,-4.09598,NA,NA,NA,NA,NA,-20.972,NA,NA,NA,NA
49800,2.0136,1.31417,-3.75058,NA,-24.649,NA,NA,NA,NA,NA,NA,NA,NA
49893,2.01698,1.23626,-3.64193,NA,NA,-23.716,NA,NA,NA,NA,NA,NA,NA
50116,2.34636,1.23829,-3.82495,NA,NA,-25.296,NA,NA,NA,NA,NA,NA,NA
50387,1.9433,2.38099,-4.06304,NA,NA,NA,NA,NA,-21.333,NA,NA,NA,NA
50518,1.35532,2.36341,-4.17041,NA,-27.271,NA,NA,NA,NA,NA,NA,NA,NA
50774,0.563684,1.59184,-5,NA,NA,-56.086,NA,NA,NA,NA,NA,NA,NA
50870,1.74073,1.25908,-5,NA,NA,-21.797,NA,NA,NA,NA,NA,NA,NA
51131,2.81434,1.65855,-5,NA,NA,NA,NA,NA,-39.156,NA,NA,NA,NA
51344,1.53723,1.83196,-5,NA,NA,-16.54,NA,NA,NA,NA,NA,NA,NA
51436,2.27248,2.23857,-4.418,NA,NA,NA,NA,NA,-17.923,NA,NA,NA,NA
51622,1.03229,1.64918,-5,NA,-34.205,NA,NA,NA,NA,NA,NA,NA,NA
51960,1.30309,1.61575,-4.81074,NA,NA,NA,NA,NA,-26.437,NA,NA,NA,NA
52176,0.947025,2.28954,-5,NA,NA,NA,NA,NA,-44.491,NA,NA,NA,NA
52216,1.61363,1.75796,-3.91031,NA,NA,-8.189,NA,NA,NA,NA,NA,NA,NA
52548,2.47906,1.40228,-3.80393,NA,NA,NA,NA,NA,-26.61,NA,NA,NA,NA
52782,2.44839,1.79223,-5,NA,NA,NA,-41.951,NA,NA,NA,NA,NA,NA
52826,1.98218,1.3737,-5,NA,NA,NA,NA,NA,-25.257,NA,NA,NA,NA
53007,2.15107,1.43852,-4.26896,NA,NA,NA,NA,NA,NA,NA,-76.398,NA,NA
53310,2.06695,1.99524,-4.92081,NA,NA,NA,NA,-44.618,NA,NA,NA,NA,NA
53541,1.90563,1.73965,-4.05737,NA,NA,-3.751,NA,NA,NA,NA,NA,NA,NA
53791,2.00643,2.02701,-4.67134,NA,NA,-10.209,NA,NA,NA,NA,NA,NA,NA
53805,1.65381,2.54153,-3.473,NA,NA,-39.895,NA,NA,NA,NA,NA,NA,NA
54025,1.81011,0.885877,-3.75584,NA,NA,-38.609,NA,NA,NA,NA,NA,NA,NA
54298,2.90818,2.14238,-4.42081,NA,NA,-37.913,NA,NA,NA,NA,NA,NA,NA
54551,2.32979,1.83543,-4.03446,NA,NA,NA,-30.956,NA,NA,NA,NA,NA,NA
54689,2.31367,2.25707,-4.83752,NA,NA,NA,-39.608,NA,NA,NA,NA,NA,NA
54909,1.93215,1.72295,-4.19059,NA,NA,NA,NA,-35.685,NA,NA,NA,NA,NA
55092,2.10537,1.45305,-4.46537,NA,-14.017,NA,NA,NA,NA,NA,NA,NA,NA
55391,2.79509,1.93717,-4.23786,NA,-32.437,NA,NA,NA,NA,NA,NA,NA,NA
