id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5,fitness-3.5
24322,-1.5337,4.62143,-5,-61.592,NA,NA,NA
24463,-2.5255,3.61962,-4.7161,NA,-57.862,NA,NA
24796,-1.84684,4.75628,-4.80002,NA,NA,-68.614,NA
24872,-2.06609,3.79986,-4.94894,NA,NA,-33.827,NA
25126,-1.88975,3.6491,-5,NA,NA,-43.238,NA
25231,-1.55542,3.30913,-5,NA,NA,-54.732,NA
25475,-2.0125,3.59485,-5,NA,NA,-48.487,NA
25646,-1.19621,3.75285,-5,NA,NA,-61.421,NA
25905,-1.96715,3.5812,-4.16023,NA,NA,-68.797,NA
26071,-2.10413,3.86086,-4.54201,NA,NA,-55.374,NA
26294,-1.36974,3.96886,-4.91903,NA,NA,-29.252,NA
26506,-1.80257,3.79473,-5,NA,NA,-40.619,NA
26758,-2.18556,3.81832,-5,NA,NA,-52.274,NA
26857,-2.49891,2.86382,-4.91772,NA,NA,-87.077,NA
27048,-2.40141,3.79199,-5,NA,NA,-64.988,NA
27271,-2.00354,4.76111,-4.98235,NA,NA,-56.211,NA
27477,-3.16581,4.39708,-5,NA,NA,-93.664,NA
27724,-2.24446,4.13267,-5,NA,-49.198,NA,NA
27955,-1.92047,4.91784,-5,NA,-70.818,NA,NA
28060,-2.77864,4.11767,-5,NA,NA,-70.535,NA
28365,-1.15452,3.90197,-5,NA,NA,-70.091,NA
28476,-1.73124,3.60001,-5,NA,NA,-44.251,NA
28691,-2.07393,3.78479,-5,NA,NA,-37.94,NA
28870,-1.46686,3.8234,-4.72374,NA,NA,-33.816,NA
29155,-2.58575,2.97151,-4.91178,NA,NA,-66.695,NA
29391,-2.15114,4.1281,-4.46176,NA,-49.633,NA,NA
29540,-2.35652,4.0888,-5,-53.414,NA,NA,NA
29755,-1.40096,5,-5,NA,NA,-92.076,NA
29842,-2.53838,5,-5,NA,NA,-87.928,NA
30091,-2.43524,5,-4.74874,NA,NA,-81.846,NA
30350,-2.01371,5,-5,NA,-67.346,NA,NA
30549,-1.33501,4.28456,-4.16118,NA,NA,-61.681,NA
30734,-2.0541,3.40797,-5,NA,NA,-68.416,NA
30870,-1.56205,4.2541,-5,NA,NA,-48.423,NA
31047,-1.90151,3.88067,-5,NA,NA,-39.106,NA
31301,-1.8232,4.27059,-5,-42.357,NA,NA,NA
31448,-2.32641,4.16798,-5,NA,NA,-48.026,NA
31782,-2.74551,3.34225,-5,NA,NA,-77.306,NA
31934,-2.6158,3.60028,-5,NA,-61.368,NA,NA
32165,-1.93034,3.81384,-5,NA,-27.193,NA,NA
32308,-2.13458,3.59758,-5,-50.054,NA,NA,NA
32419,-1.78054,3.9421,-4.9931,NA,-24.926,NA,NA
32782,-2.25595,3.85255,-4.40154,NA,NA,-47.512,NA
32928,-1.85577,3.43399,-4.62674,NA,-28.156,NA,NA
33136,-1.78565,3.52483,-4.66947,-31.593,NA,NA,NA
33390,-0.748788,3.59325,-4.78827,-90.835,NA,NA,NA
33595,-1.08158,3.54261,-5,NA,-39.964,NA,NA
33657,-2.25708,3.4515,-4.92799,NA,NA,-46.267,NA
33857,-1.76858,4.38874,-4.67377,NA,NA,-50.884,NA
34189,-2.01752,4.93838,-4.17224,NA,NA,-86.477,NA
34250,-1.37386,3.27313,-4.24703,-73.2,NA,NA,NA
34459,-1.49511,3.61681,-5,-8.68,NA,NA,NA
34655,-1.65695,4.03755,-5,NA,NA,-44.461,NA
34973,-1.73652,5,-5,NA,NA,-72.379,NA
35062,-1.61182,4.4845,-4.93744,NA,-48.857,NA,NA
35364,-1.10973,5,-5,NA,NA,-88.443,NA
35588,-1.22322,5,-4.56137,NA,NA,-95.061,NA
35787,-2.1442,4.66017,-4.71594,NA,-61.36,NA,NA
35916,-1.63697,3.83454,-5,NA,NA,-35.313,NA
36052,-3.12466,3.62709,-5,NA,-84.664,NA,NA
36277,-1.91923,3.81265,-5,NA,-25.302,NA,NA
36407,-2.08716,3.96954,-5,NA,NA,-44.238,NA
36691,-2.17417,3.81255,-5,NA,NA,-44.809,NA
36966,-2.6294,4.44248,-5,NA,-63.042,NA,NA
37185,-2.09064,3.96101,-5,NA,-37.26,NA,NA
37399,-1.88398,3.83044,-5,NA,-28.006,NA,NA
37412,-2.42541,3.87401,-5,NA,-46.187,NA,NA
37739,-2.02437,4.80572,-5,NA,NA,-61.167,NA
37812,-1.17889,3.60901,-5,NA,NA,-61.014,NA
38041,-1.25648,3.72447,-5,NA,NA,-48.376,NA
38373,-1.24666,4.16132,-5,NA,NA,-61.572,NA
38584,-1.49835,5,-5,NA,NA,-84.83,NA
38717,-1.50004,4.28834,-5,NA,NA,-58.219,NA
38967,-1.25558,3.93971,-5,NA,NA,-49.982,NA
39066,-2.12215,3.78653,-5,NA,NA,-43.439,NA
39210,-2.44755,3.71361,-4.79052,NA,NA,-63.695,NA
39429,-2.14121,4.38645,-5,NA,NA,-58.456,NA
39651,-1.84185,5,-4.75501,NA,NA,-74.108,NA
39911,-1.0543,5,-4.8278,NA,NA,-84.258,NA
40059,-1.59278,4.28465,-5,NA,-39.743,NA,NA
40349,-1.26991,4.05861,-5,NA,-35.547,NA,NA
40498,-2.06028,3.09804,-5,NA,NA,-64.345,NA
40758,-1.58882,4.70829,-5,NA,NA,-74.407,NA
40884,-1.83421,4.7427,-5,NA,NA,NA,-88.375
41044,-1.96137,4.5333,-4.7682,-60.404,NA,NA,NA
41278,-1.67018,3.43812,-5,-26.28,NA,NA,NA
41542,-1.8772,4.09869,-5,NA,NA,-47.518,NA
41715,-1.28102,4.04504,-4.91633,NA,-35.243,NA,NA
41898,-1.27948,3.63896,-5,NA,-16.582,NA,NA
42035,-1.12225,3.93324,-5,NA,NA,-74.124,NA
42289,-1.65796,3.80497,-4.79098,NA,NA,-58.021,NA
42560,-1.01195,4.53757,-5,NA,NA,-92.669,NA
42763,-1.3789,4.56305,-5,NA,NA,-58.522,NA
42921,-1.35235,4.06018,-5,-22.994,NA,NA,NA
43074,-1.24578,4.06963,-4.32295,NA,-58.749,NA,NA
43304,-1.12617,3.35352,-4.68566,NA,-57.836,NA,NA
43576,-1.68129,4.77603,-5,NA,NA,-73.375,NA
43706,-1.45874,4.15305,-5,NA,-28.937,NA,NA
43829,-2.60442,3.1316,-4.64347,NA,NA,-78.746,NA
44138,-1.82896,3.0853,-4.49692,NA,NA,-70.862,NA
44361,-2.27548,3.11934,-5,NA,-62.951,NA,NA
44582,-1.69647,3.82106,-5,NA,-12.582,NA,NA
44715,-2.02347,3.62688,-5,-31.767,NA,NA,NA
44848,-2.39876,3.69353,-5,NA,NA,-59.018,NA
45004,-2.21049,3.76809,-5,-56.595,NA,NA,NA
45330,-2.07607,3.7703,-5,-37.191,NA,NA,NA
45568,-1.90941,3.57163,-5,NA,NA,-47.969,NA
45605,-2.1023,3.65812,-5,NA,NA,-46.125,NA
45878,-1.77659,3.46636,-5,NA,NA,-39.82,NA
46143,-1.58169,4.09837,-5,NA,NA,-44.237,NA
46386,-1.63873,4.21043,-5,NA,NA,-37.663,NA
46492,-1.905,4.21288,-5,NA,-39.098,NA,NA
46650,-1.73126,3.50801,-4.97858,NA,NA,-31.523,NA
46847,-1.3942,4.11251,-4.78795,NA,NA,-62.207,NA
47083,-2.24617,3.84617,-5,NA,NA,-59.856,NA
47227,-1.22522,3.14841,-5,NA,-64.291,NA,NA
47405,-1.54609,4.20009,-5,-43.98,NA,NA,NA
47649,-2.0218,4.2264,-5,-50.502,NA,NA,NA
47889,-1.52659,3.54527,-5,NA,NA,-47.063,NA
48174,-2.06785,4.056,-4.5265,NA,NA,-52.994,NA
48294,-1.48335,3.92064,-4.73549,NA,NA,-38.249,NA
48504,-2.1299,3.83047,-4.10313,NA,NA,-73.951,NA
48702,-1.92434,3.50537,-5,-29.009,NA,NA,NA
48837,-1.28832,4.2219,-4.87834,NA,NA,-73.159,NA
49005,-1.54054,4.52181,-5,NA,-51.566,NA,NA
49258,-1.50007,3.60002,-4.707,NA,NA,-46.478,NA
49557,-1.14702,3.48043,-5,-46.496,NA,NA,NA
49711,-1.6634,3.70658,-5,-34.85,NA,NA,NA
49922,-1.4003,3.86759,-4.46386,NA,-24.326,NA,NA
50190,-1.87806,4.46127,-4.55192,NA,-51.843,NA,NA
50275,-2.54046,4.28687,-5,NA,NA,-68.739,NA
50419,-2.69012,4.49587,-4.89263,NA,NA,-72.447,NA
50722,-2.12126,3.85142,-5,NA,NA,-40.812,NA
50928,-1.66066,4.20165,-5,-39.193,NA,NA,NA
51134,-2.02283,3.68004,-5,NA,NA,-34.596,NA
51324,-2.03797,3.86689,-5,NA,NA,-35.84,NA
51434,-1.20284,4.19763,-5,-46.831,NA,NA,NA
51740,-2.35031,3.35211,-5,NA,NA,-49.631,NA
51809,-2.36308,4.09079,-5,NA,NA,-52.758,NA
52200,-1.73504,3.74095,-4.35777,NA,-47.285,NA,NA
52235,-2.28266,3.2851,-5,NA,NA,-53.383,NA
52422,-2.37164,4.24975,-4.65603,NA,NA,-54.395,NA
52603,-2.58325,3.35307,-5,NA,NA,-82.134,NA
52847,-2.81061,3.2601,-4.26952,NA,-87.596,NA,NA
53054,-2.06403,4.0678,-5,NA,NA,-50.794,NA
53365,-2.31864,3.46238,-4.97997,NA,NA,-47.157,NA
53404,-1.96641,4.2628,-4.43793,NA,NA,-45.134,NA
53771,-1.92199,4.95875,-5,NA,-69.306,NA,NA
53945,-2.0093,3.9012,-5,NA,-35.185,NA,NA
54176,-2.76392,3.8261,-5,NA,NA,-65.888,NA
54319,-1.27149,3.63391,-5,NA,NA,-51.101,NA
54485,-2.15751,3.96421,-4.92629,NA,NA,-48.671,NA
54750,-2.1177,4.29236,-4.57715,NA,NA,-57.026,NA
54972,-2.19824,5,-5,NA,NA,-77.602,NA
55087,-2.53941,5,-4.39016,NA,NA,-89.558,NA
55207,-1.52122,4.21596,-5,NA,NA,-53.558,NA
55408,-1.02761,5,-5,NA,NA,-90.908,NA
55697,-0.986386,4.02412,-5,NA,NA,-64.838,NA
55827,-1.14401,3.80972,-5,NA,-16.497,NA,NA
56007,-1.35858,4.06066,-5,NA,-35.748,NA,NA
56320,-1.58255,3.84598,-4.24992,NA,NA,-52.652,NA
56598,-3.09143,3.93913,-4.20201,NA,-91.809,NA,NA
56736,-1.81734,4.09517,-5,NA,NA,-44.136,NA
56986,-2.19418,3.54056,-4.86167,NA,NA,-52.285,NA
57059,-2.6935,3.56741,-5,NA,-62.579,NA,NA
57292,-1.36738,3.56218,-5,NA,-22.97,NA,NA
57420,-2.68275,3.75721,-4.93643,NA,NA,-54.686,NA
57635,-2.3775,4.49676,-4.47217,NA,NA,-67.184,NA
57924,-1.59243,3.94857,-5,NA,NA,-46.901,NA
58133,-1.52267,3.20952,-5,NA,NA,-66.771,NA
58312,-1.62445,3.5358,-5,NA,NA,-41.001,NA
58504,-1.6117,3.33388,-5,NA,NA,-43.378,NA
58700,-1.18199,4.12266,-5,NA,-44.787,NA,NA
58946,-2.00308,3.50703,-4.87551,NA,-25.562,NA,NA
59112,-1.93084,3.67642,-5,NA,NA,-40.49,NA
59253,-2.22552,4.45819,-5,NA,NA,-56.431,NA
59487,-2.61265,5,-4.55894,NA,NA,-90.571,NA
59654,-2.82417,4.23012,-4.9361,NA,NA,-70.638,NA
59948,-2.69377,4.50439,-5,NA,NA,-72.805,NA
60012,-1.63671,2.98675,-5,NA,-47.375,NA,NA
60254,-2.39024,3.16787,-4.52338,NA,NA,-78.635,NA
60428,-2.50144,3.33141,-5,NA,NA,-71.583,NA
60672,-1.6546,5,-5,NA,NA,-73.18,NA
60966,-1.75366,4.66221,-4.61091,NA,NA,-69.429,NA
61110,-1.50898,5,-4.56449,NA,NA,-84.913,NA
61303,-2.13832,3.72082,-4.4484,NA,NA,-60.846,NA
61445,-1.16457,3.38561,-5,NA,NA,-56.289,NA
61793,-1.78857,4.14145,-4.87891,NA,NA,-38.893,NA
61853,-1.88301,4.48783,-4.83671,NA,NA,-57.117,NA
62028,-1.40265,4.41218,-5,NA,-44.818,NA,NA
62257,-2.02744,4.56687,-4.67845,NA,NA,-56.947,NA
62427,-1.22392,4.20112,-5,NA,NA,-60.748,NA
62730,-2.19078,3.40028,-4.26963,-82.767,NA,NA,NA
62871,-1.47865,3.41905,-4.7727,NA,-7.958,NA,NA
63039,-2.30347,3.5044,-3.5525,NA,-110.468,NA,NA
63267,-1.54789,4.28103,-5,NA,NA,-51.551,NA
63537,-2.58012,3.89363,-5,NA,NA,-54.905,NA
63797,-1.91958,3.90901,-5,NA,NA,-38.72,NA
63864,-1.83463,4.31703,-5,NA,NA,-49.407,NA
64063,-2.49534,4.61842,-5,NA,NA,-69.767,NA
64241,-2.2379,4.27957,-5,NA,NA,-49.432,NA
64528,-2.28699,3.60809,-5,NA,NA,-56.64,NA
64762,-1.69076,4.44719,-5,-50.715,NA,NA,NA
64978,-2.22541,3.60444,-5,NA,-44.011,NA,NA
65108,-1.48116,3.84373,-5,NA,-18.262,NA,NA
65212,-2.13984,3.68655,-5,NA,-39.839,NA,NA
65408,-2.0287,3.48536,-5,NA,NA,-61.627,NA
65638,-1.76241,4.12691,-5,NA,NA,-40.564,NA
65944,-2.52496,3.11843,-5,NA,NA,-74.984,NA
66040,-1.97475,2.86305,-5,NA,NA,-66.06,NA
66254,-1.62613,4.15246,-4.68579,NA,NA,-38.165,NA
66557,-1.32456,3.4405,-5,NA,-13.96,NA,NA
66717,-1.49164,4.16218,-5,NA,-24.021,NA,NA
66831,-1.94046,4.32924,-4.98898,-43.069,NA,NA,NA
67090,-1.7881,4.06561,-5,NA,-30.158,NA,NA
67271,-1.69586,4.97605,-5,NA,NA,-73.05,NA
67596,-1.89186,5,-4.99848,NA,NA,-78.816,NA
67732,-1.76692,4.41919,-4.92285,NA,NA,-45.961,NA
67897,-1.52176,4.27468,-5,NA,NA,-51.636,NA
68061,-1.32233,4.38026,-5,NA,NA,-71.067,NA
68240,-1.62824,3.89865,-5,NA,NA,-48.465,NA
68477,-1.29157,3.79392,-4.91589,NA,-26.299,NA,NA
68792,-1.05549,3.38134,-5,NA,-68.103,NA,NA
68996,-2.36665,3.64064,-5,NA,NA,-54.167,NA
69077,-2.33038,2.58769,-5,NA,NA,-89.162,NA
69219,-2.43845,3.15377,-5,NA,NA,-74.345,NA
69491,-1.82188,3.10499,-5,NA,-50.149,NA,NA
69737,-1.35557,3.90003,-5,NA,NA,-35.415,NA
69921,-1.886,4.40086,-4.72385,NA,-48.734,NA,NA
70186,-1.59999,4.49239,-5,NA,-49.63,NA,NA
70383,-2.38039,4.27385,-4.68022,NA,NA,-53.469,NA
70566,-1.44384,3.64159,-5,NA,NA,-41.615,NA
70677,-3.00086,4.33098,-5,NA,NA,-77.963,NA
70939,-2.47792,4.56741,-5,NA,NA,-68.827,NA
71192,-1.99298,3.3917,-5,NA,NA,-69.45,NA
71217,-1.47807,3.83823,-5,NA,NA,-35.44,NA
71414,-0.975098,4.37331,-5,NA,NA,-72.499,NA
71765,-2.36125,4.17309,-5,NA,NA,-49.408,NA
71955,-2.18725,3.4046,-4.47424,NA,NA,-65.835,NA
72078,-1.93545,3.73955,-4.58094,NA,NA,-45.256,NA
72223,-2.02986,3.6776,-5,NA,-32.683,NA,NA
72561,-1.74129,3.87888,-5,-12.374,NA,NA,NA
72640,-2.36779,4.17178,-5,NA,NA,-49.832,NA
72989,-1.93207,4.38759,-5,NA,NA,-50.955,NA
73098,-2.69184,4.38216,-4.4694,NA,NA,-69.626,NA
73360,-1.33197,4.83237,-5,-86.974,NA,NA,NA
73525,-1.60709,3.69492,-4.78452,NA,-7.575,NA,NA
73612,-2.09045,3.75311,-4.84862,NA,NA,-36.064,NA
73846,-2.15175,3.27078,-4.99699,NA,NA,-65.051,NA
74168,-1.8488,3.68403,-4.9646,NA,NA,-31.53,NA
74335,-3.43675,3.59852,-4.76471,NA,NA,-105.872,NA
74537,-1.99649,3.30832,-4.27704,NA,NA,-46.718,NA
74777,-1.40562,3.4654,-4.93326,-8.306,NA,NA,NA
74831,-1.69593,3.32427,-5,NA,NA,-37.993,NA
75078,-2.15512,4.40612,-5,NA,NA,-58.089,NA
75254,-1.87264,3.8296,-5,-39.01,NA,NA,NA
75459,-1.59487,3.95719,-4.53306,-33.477,NA,NA,NA
75619,-1.36254,4.28606,-5,NA,-27.847,NA,NA
75992,-1.38903,3.84119,-5,NA,-22.096,NA,NA
76084,-1.90039,4.21232,-5,NA,-31.327,NA,NA
76311,-2.06389,4.22428,-5,NA,NA,-60.986,NA
76465,-2.4486,3.83879,-5,NA,NA,-61.699,NA
76669,-1.7472,4.20981,-5,NA,NA,-38.093,NA
76949,-2.08323,3.81823,-5,NA,NA,-38.604,NA
77122,-2.35705,3.74219,-4.6789,NA,-40.697,NA,NA
77400,-2.01511,3.6831,-5,-36.213,NA,NA,NA
77575,-2.63708,3.17435,-5,NA,NA,-81.231,NA
77697,-1.93421,3.44723,-5,-40.408,NA,NA,NA
77831,-1.52508,3.67912,-5,NA,NA,-25.492,NA
78118,-2.12758,5,-5,NA,NA,-79.666,NA
78248,-2.3278,3.36499,-5,NA,NA,NA,-73.447
78450,-1.85187,3.5999,-5,NA,NA,-39.092,NA
78604,-2.22774,3.78505,-5,NA,NA,-58.093,NA
78842,-1.71318,3.88025,-5,NA,NA,-52.948,NA
79119,-1.1755,3.95328,-5,NA,NA,-56.98,NA
79246,-1.20322,3.64095,-4.97166,-16.996,NA,NA,NA
79452,-1.25431,3.6708,-5,NA,-12.215,NA,NA
79626,-1.45376,3.64563,-4.64691,NA,NA,-45.021,NA
79954,-1.92216,3.65024,-5,NA,-27.307,NA,NA
80126,-1.63005,4.40722,-5,NA,-46.074,NA,NA
80223,-2.88846,4.44046,-5,NA,NA,-78.486,NA
80588,-1.28311,4.11565,-5,NA,NA,-60.473,NA
80766,-1.55893,3.96321,-5,NA,-15.923,NA,NA
80848,-2.74127,3.54923,-5,NA,NA,-72.624,NA
81178,-2.68025,4.09111,-5,NA,-60.346,NA,NA
81336,-1.64694,4.10945,-5,NA,-25.792,NA,NA
81415,-1.80941,3.79262,-5,NA,NA,-37.617,NA
81647,-1.66186,4.13956,-4.78471,NA,NA,-35.756,NA
81901,-2.55828,4.60222,-5,NA,-69.402,NA,NA
82099,-1.33396,3.23118,-5,NA,NA,-83.417,NA
82391,-1.80092,3.61336,-5,NA,NA,-45.062,NA
82481,-1.82677,3.33705,-5,NA,NA,-43.614,NA
82735,-1.40611,3.56909,-4.79934,NA,NA,-52.857,NA
82967,-1.53587,3.39678,-5,NA,NA,-53.381,NA
83006,-1.57725,4.20961,-4.84952,NA,NA,-42.463,NA
83358,-1.76377,4.00595,-5,NA,-24.583,NA,NA
83571,-2.5312,5,-5,NA,-79.182,NA,NA
83702,-1.69174,3.59516,-4.53039,NA,NA,-37.243,NA
83822,-1.87951,4.24607,-5,NA,-33.588,NA,NA
84130,-1.7014,3.86087,-5,NA,-13.151,NA,NA
84370,-1.60558,3.83422,-5,NA,NA,-46.528,NA
84434,-1.4845,3.4092,-4.97232,NA,NA,-49.552,NA
84602,-1.45273,2.87238,-4.90374,NA,NA,-63.133,NA
84831,-1.78213,3.57962,-5,NA,NA,-29.122,NA
85199,-2.05982,4.55705,-5,NA,NA,-55.715,NA
85232,-1.5769,4.01032,-5,NA,NA,-45.313,NA
85539,-2.04742,4.15486,-5,NA,NA,-44.665,NA
85671,-1.78843,3.82465,-5,NA,NA,-49.729,NA
85882,-1.91874,4.02912,-4.91651,-37.839,NA,NA,NA
86116,-1.91647,3.82374,-5,NA,NA,-31.889,NA
86215,-1.48171,4.19987,-4.92975,NA,NA,-61.066,NA
86546,-2.06752,4.28764,-5,NA,NA,-62.352,NA
86783,-1.87178,4.22751,-5,NA,NA,-51.328,NA
86959,-1.65626,4.50635,-5,NA,NA,-60.983,NA
87151,-1.40636,4.23341,-5,NA,-22.659,NA,NA
87257,-1.41981,3.73228,-5,-21.325,NA,NA,NA
87556,-1.18526,3.49699,-4.98233,NA,NA,-56.978,NA
