id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2.5,fitness-5,fitness-4.5,fitness-4,fitness-2,fitness-1.5
17662,-2.83312,4.08753,-5,NA,NA,NA,NA,NA,-76.782,NA,NA
17953,-1.53075,4.2686,-5,NA,NA,NA,NA,-33.548,NA,NA,NA
18052,-2.23975,4.31338,-5,NA,NA,NA,NA,-55.647,NA,NA,NA
18228,-2.33203,4.53378,-5,NA,NA,NA,NA,NA,-78.599,NA,NA
18600,-1.26472,4.44362,-5,-107.888,NA,NA,NA,NA,NA,NA,NA
18736,-1.05524,4.54093,-5,NA,NA,NA,NA,NA,-72.001,NA,NA
18936,-2.28125,2.83645,-5,NA,NA,NA,NA,NA,-92.285,NA,NA
19139,-1.68488,4.23604,-5,NA,NA,NA,NA,-41.159,NA,NA,NA
19367,-1.57266,5,-5,NA,NA,NA,-78.2,NA,NA,NA,NA
19466,-2.05981,4.70922,-4.31215,NA,NA,NA,-90.519,NA,NA,NA,NA
19657,-2.09429,4.43583,-4.75968,NA,NA,NA,-61.089,NA,NA,NA,NA
19940,-1.94371,4.71406,-4.46678,NA,NA,NA,-79.354,NA,NA,NA,NA
20020,-1.24896,4.67385,-3.48642,NA,NA,NA,NA,-141.47,NA,NA,NA
20263,-1.6914,5,-5,NA,NA,NA,NA,NA,-82.812,NA,NA
20473,-1.06105,4.65143,-5,NA,NA,NA,-96.47,NA,NA,NA,NA
20730,-0.90877,4.73839,-4.98285,NA,NA,NA,NA,-95.668,NA,NA,NA
20890,-0.954123,3.41391,-5,NA,NA,NA,-77.137,NA,NA,NA,NA
21159,-2.31173,4.25261,-5,NA,NA,NA,-47.131,NA,NA,NA,NA
21264,-2.49901,3.07706,-4.98393,NA,NA,NA,-78.018,NA,NA,NA,NA
21511,-2.69174,3.61577,-4.98712,NA,NA,NA,NA,NA,-69.665,NA,NA
21777,-3.4533,3.58189,-3.62393,NA,NA,NA,-141.555,NA,NA,NA,NA
21913,-2.34496,4.58571,-4.01763,NA,NA,NA,-85.718,NA,NA,NA,NA
22094,-1.26208,3.76506,-5,NA,NA,NA,-37.337,NA,NA,NA,NA
22239,-0.516714,4.1591,-4.35145,NA,NA,NA,-179.616,NA,NA,NA,NA
22436,-2.14915,5,-4.62635,NA,NA,NA,-80.501,NA,NA,NA,NA
22626,-2.10992,5,-4.56924,NA,NA,NA,-80.329,NA,NA,NA,NA
22987,-2.70495,5,-4.59391,NA,NA,NA,NA,NA,NA,-204.501,NA
23030,-2.01429,5,-4.90451,NA,NA,NA,NA,NA,NA,-218.126,NA
23390,-2.25707,5,-5,NA,NA,NA,NA,NA,-81.028,NA,NA
23410,-2.46449,5,-5,NA,NA,NA,NA,NA,-81.939,NA,NA
23617,-2.9591,4.78689,-5,-113.029,NA,NA,NA,NA,NA,NA,NA
23968,-2.23357,4.78602,-5,-98.744,NA,NA,NA,NA,NA,NA,NA
24075,-1.75515,5,-5,NA,-156.456,NA,NA,NA,NA,NA,NA
24289,-1.63656,4.61092,-5,NA,NA,NA,NA,NA,-79.254,NA,NA
24576,-1.3684,5,-5,NA,NA,NA,-93.311,NA,NA,NA,NA
24788,-1.86688,5,-5,NA,NA,NA,-77.603,NA,NA,NA,NA
24880,-1.95913,4.94666,-5,NA,NA,NA,-75.755,NA,NA,NA,NA
25083,-2.90941,5,-5,NA,NA,NA,NA,NA,-98.474,NA,NA
25362,-3.55406,4.26761,-5,NA,NA,NA,NA,NA,-114.569,NA,NA
25419,-4.17611,3.63411,-4.89846,NA,NA,NA,-167.528,NA,NA,NA,NA
25748,-2.80462,5,-5,NA,NA,NA,NA,-90.35,NA,NA,NA
25886,-2.83092,4.61834,-5,NA,NA,NA,-84.021,NA,NA,NA,NA
26140,-1.64194,4.99534,-5,NA,NA,NA,-73.804,NA,NA,NA,NA
26218,-2.01648,5,-4.52965,NA,NA,NA,-78.45,NA,NA,NA,NA
26550,-3.08583,5,-5,NA,NA,NA,NA,NA,-108.429,NA,NA
26776,-3.02701,4.25764,-5,NA,NA,NA,NA,NA,-81.551,NA,NA
26953,-2.24845,3.70141,-5,NA,NA,NA,-59.017,NA,NA,NA,NA
27069,-1.96003,4.15599,-3.22098,NA,NA,NA,-106.438,NA,NA,NA,NA
27285,-2.3282,3.86021,-3.44016,NA,NA,NA,-102.678,NA,NA,NA,NA
27561,-3.04212,3.40978,-5,NA,NA,NA,-80.548,NA,NA,NA,NA
27727,-3.02564,4.19823,-4.14064,NA,NA,NA,NA,-91.784,NA,NA,NA
27814,-2.09635,3.97804,-4.87199,NA,NA,NA,NA,-37.776,NA,NA,NA
28070,-1.57343,4.50676,-4.21614,NA,NA,NA,-74.903,NA,NA,NA,NA
28350,-0.957813,5,-4.60436,NA,NA,NA,-106.925,NA,NA,NA,NA
28538,-1.45321,5,-3.25333,NA,NA,NA,NA,-169.09,NA,NA,NA
28800,-1.45952,5,-4.83993,NA,NA,NA,NA,NA,-76.458,NA,NA
28902,-3.4865,5,-5,NA,NA,NA,-134.47,NA,NA,NA,NA
29172,-2.87124,5,-4.41006,-122.289,NA,NA,NA,NA,NA,NA,NA
29251,-2.49196,3.86787,-3.88983,NA,NA,NA,-82.856,NA,NA,NA,NA
29579,-2.82584,4.04457,-5,NA,NA,NA,NA,-66.678,NA,NA,NA
29721,-2.30435,4.55458,-5,NA,NA,NA,NA,NA,-63.577,NA,NA
29982,-1.86057,4.81467,-4.56246,NA,-134.843,NA,NA,NA,NA,NA,NA
30044,-2.2225,5,-5,NA,NA,NA,NA,-76.588,NA,NA,NA
30398,-2.39905,5,-4.75806,NA,NA,NA,NA,NA,-83.631,NA,NA
30525,-1.83794,2.78655,-5,NA,NA,NA,NA,NA,-98.709,NA,NA
30781,-3.11752,3.90744,-5,NA,NA,NA,NA,NA,-83.104,NA,NA
30825,-2.42728,4.12291,-4.74654,NA,NA,NA,NA,NA,-62.882,NA,NA
31027,-3.30944,2.98966,-4.18288,NA,NA,NA,-135.908,NA,NA,NA,NA
31231,-2.89678,3.7391,-4.56055,NA,NA,NA,NA,NA,-84.505,NA,NA
31513,-2.71932,4.54233,-4.3216,NA,NA,NA,NA,-75.23,NA,NA,NA
31776,-2.18547,4.38602,-5,NA,NA,NA,-53.314,NA,NA,NA,NA
31860,-2.90925,5,-5,NA,NA,NA,NA,-98.067,NA,NA,NA
32117,-2.48406,5,-5,NA,NA,NA,-84.699,NA,NA,NA,NA
32284,-1.3295,4.90468,-4.33616,NA,NA,NA,-96.607,NA,NA,NA,NA
32420,-1.77809,5,-3.63756,NA,NA,NA,-110.001,NA,NA,NA,NA
32652,-1.19651,5,-3.69719,NA,NA,NA,-125.124,NA,NA,NA,NA
32938,-1.65249,5,-4.93544,NA,NA,NA,NA,-79.298,NA,NA,NA
33038,-2.51442,5,-4.08573,NA,NA,NA,NA,NA,-102.649,NA,NA
33321,-2.15618,4.74343,-4.98284,NA,NA,NA,NA,NA,-68.518,NA,NA
33499,-0.568779,4.61306,-4.45299,NA,NA,NA,-123.542,NA,NA,NA,NA
33728,0.491825,5,-4.26179,NA,NA,NA,NA,NA,-252.586,NA,NA
33907,-0.192022,4.46837,-5,NA,NA,-329.918,NA,NA,NA,NA,NA
34117,-1.14304,5,-3.67692,NA,NA,NA,NA,NA,-142.308,NA,NA
34309,-1.56015,4.02502,-4.21267,NA,NA,NA,NA,NA,-62.467,NA,NA
34586,-1.11901,4.14177,-4.04275,-149.705,NA,NA,NA,NA,NA,NA,NA
34684,-1.80937,3.99557,-4.64947,NA,NA,NA,NA,-28.822,NA,NA,NA
34801,-2.28369,3.84667,-4.22348,NA,NA,NA,-55.054,NA,NA,NA,NA
35091,-2.67484,4.01827,-4.31906,NA,NA,NA,-76.291,NA,NA,NA,NA
35288,-3.08289,3.63385,-4.66687,NA,NA,NA,-86.664,NA,NA,NA,NA
35446,-2.60795,4.45156,-4.92815,NA,-101.47,NA,NA,NA,NA,NA,NA
35645,-2.85334,4.31689,-5,NA,NA,NA,-72.48,NA,NA,NA,NA
35954,-1.49632,4.84203,-3.33786,-180.252,NA,NA,NA,NA,NA,NA,NA
36176,-2.02587,3.38601,-5,-101.705,NA,NA,NA,NA,NA,NA,NA
36303,-1.99959,3.78614,-4.51074,-84.104,NA,NA,NA,NA,NA,NA,NA
36477,-1.73477,3.94872,-4.85314,NA,NA,NA,-52.664,NA,NA,NA,NA
36728,-1.62621,3.66818,-4.21363,NA,NA,NA,NA,-55.955,NA,NA,NA
36836,-0.827347,3.76287,-5,-88.478,NA,NA,NA,NA,NA,NA,NA
37114,0.614932,5,-4.26655,NA,NA,NA,NA,-346.7,NA,NA,NA
37375,-1.83278,4.49564,-5,NA,NA,NA,-53.004,NA,NA,NA,NA
37402,-1.66644,4.61507,-5,NA,NA,NA,-69.175,NA,NA,NA,NA
37677,-1.02219,4.03556,-5,NA,NA,NA,-71.664,NA,NA,NA,NA
37900,-1.32532,3.76369,-5,NA,NA,NA,-35.916,NA,NA,NA,NA
38180,-2.98143,5,-5,NA,NA,NA,-101.826,NA,NA,NA,NA
38241,-2.29794,4.81261,-5,NA,NA,NA,-78.623,NA,NA,NA,NA
38593,-1.86788,4.8308,-5,NA,NA,NA,NA,NA,-77.521,NA,NA
38756,-3.02936,5,-5,-127.831,NA,NA,NA,NA,NA,NA,NA
38988,-2.82971,5,-5,NA,-140.554,NA,NA,NA,NA,NA,NA
39017,-2.33182,5,-4.81129,NA,NA,-153.316,NA,NA,NA,NA,NA
39273,-2.18256,5,-5,NA,NA,NA,NA,NA,-82.914,NA,NA
39434,-1.01552,4.22548,-5,NA,NA,NA,NA,-76.01,NA,NA,NA
39750,-2.31816,4.35723,-5,NA,NA,NA,-51.723,NA,NA,NA,NA
39858,-2.60154,5,-4.84689,NA,NA,NA,NA,NA,-97.935,NA,NA
40084,-1.98451,5,-3.61995,NA,NA,NA,-121.004,NA,NA,NA,NA
40382,-1.565,5,-3.4792,NA,NA,NA,NA,-129.354,NA,NA,NA
40472,-1.4574,5,-4.84682,NA,NA,NA,-91.564,NA,NA,NA,NA
40605,-1.89948,5,-5,NA,NA,NA,-79.143,NA,NA,NA,NA
40925,-1.61353,4.89722,-5,NA,NA,NA,-77.013,NA,NA,NA,NA
41088,-2.41792,5,-4.24078,-121.038,NA,NA,NA,NA,NA,NA,NA
41341,-1.59766,4.09716,-4.09511,NA,NA,NA,NA,NA,-75.953,NA,NA
41595,-1.42934,5,-4.36924,NA,NA,NA,-81.448,NA,NA,NA,NA
41657,-1.66438,3.91922,-4.53228,NA,NA,NA,-44.246,NA,NA,NA,NA
41986,-2.53344,4.49419,-4.8888,NA,NA,NA,-67.665,NA,NA,NA,NA
42151,-1.31107,3.88764,-4.59171,NA,NA,NA,-53.782,NA,NA,NA,NA
42260,-2.20045,5,-5,NA,NA,NA,NA,-74.599,NA,NA,NA
42472,-2.2524,5,-5,-84.773,NA,NA,NA,NA,NA,NA,NA
42628,-2.27951,5,-5,NA,NA,-148.59,NA,NA,NA,NA,NA
42819,-3.55134,4.91522,-5,NA,NA,NA,NA,NA,-129.655,NA,NA
43129,-2.95895,4.65433,-3.80304,NA,NA,NA,-124.385,NA,NA,NA,NA
43336,-2.74871,4.46119,-3.62448,NA,NA,NA,NA,-107.475,NA,NA,NA
43501,-2.55153,5,-5,NA,NA,NA,NA,NA,-92.441,NA,NA
43795,-2.91649,3.8673,-5,NA,NA,NA,NA,NA,-73.387,NA,NA
43856,-1.86036,5,-5,-104.7,NA,NA,NA,NA,NA,NA,NA
44010,-0.926785,5,-5,NA,NA,NA,NA,NA,-126.731,NA,NA
44383,-1.56881,5,-5,NA,NA,NA,NA,-77.258,NA,NA,NA
44544,-0.854913,5,-5,NA,NA,NA,-117.242,NA,NA,NA,NA
44620,-2.05304,5,-5,NA,NA,NA,NA,-72.154,NA,NA,NA
44864,-0.953708,4.74811,-5,NA,NA,NA,-105.119,NA,NA,NA,NA
45065,-1.82304,4.13729,-5,NA,NA,NA,-38.72,NA,NA,NA,NA
45235,-3.0455,3.16962,-5,NA,NA,NA,-92.75,NA,NA,NA,NA
45405,-3.17683,3.19191,-5,NA,NA,NA,-100.89,NA,NA,NA,NA
45737,-2.4224,2.93154,-5,NA,NA,NA,-96.695,NA,NA,NA,NA
45879,-2.85034,2.98305,-5,NA,NA,NA,-100.16,NA,NA,NA,NA
46144,-3.30111,5,-4.9792,NA,NA,NA,-124.354,NA,NA,NA,NA
46222,-2.69036,5,-4.26694,NA,NA,NA,-94.172,NA,NA,NA,NA
46542,-4.0623,5,-3.19048,NA,NA,NA,-246.53,NA,NA,NA,NA
46738,-2.59085,5,-4.29959,NA,NA,NA,NA,-97.972,NA,NA,NA
46930,-2.93916,5,-4.22804,NA,NA,NA,NA,-101.787,NA,NA,NA
47107,-2.65596,4.69786,-3.50589,NA,NA,NA,-120.009,NA,NA,NA,NA
47241,-1.84951,3.99637,-4.50281,NA,NA,NA,-50.66,NA,NA,NA,NA
47414,-1.95088,2.94976,-5,NA,NA,NA,-61.24,NA,NA,NA,NA
47798,-2.059,2.44879,-5,NA,NA,NA,-132.956,NA,NA,NA,NA
47937,-1.9048,2.43353,-3.71221,NA,NA,NA,-200.335,NA,NA,NA,NA
48164,-2.8274,3.28023,-4.6374,-103.792,NA,NA,NA,NA,NA,NA,NA
48294,-2.1142,2.55097,-5,-174.431,NA,NA,NA,NA,NA,NA,NA
48406,-2.87762,4.72014,-4.84629,NA,NA,NA,-92.202,NA,NA,NA,NA
48642,-1.6882,3.9769,-4.82809,NA,NA,NA,-50.752,NA,NA,NA,NA
48855,-3.08996,4.61294,-3.87626,NA,NA,NA,-118.204,NA,NA,NA,NA
49099,-3.35775,4.12623,-5,NA,NA,NA,-102.243,NA,NA,NA,NA
49224,-3.25046,2.65405,-4.37598,NA,NA,NA,-126.369,NA,NA,NA,NA
49475,-3.95247,1.95112,-4.63384,NA,NA,NA,-218.012,NA,NA,NA,NA
49716,-2.30457,1.62886,-5,NA,NA,NA,-162.005,NA,NA,NA,NA
49922,-1.70499,3.34254,-5,NA,NA,NA,NA,NA,-32.416,NA,NA
50000,-1.87762,4.11967,-5,NA,NA,NA,-48.322,NA,NA,NA,NA
50217,-1.33353,5,-5,NA,NA,NA,-93.79,NA,NA,NA,NA
50558,-2.39503,5,-3.84655,NA,NA,NA,NA,NA,-108.798,NA,NA
50763,-1.89026,4.3942,-4.00052,NA,NA,NA,NA,NA,-81.701,NA,NA
50996,-2.38115,4.10026,-3.21586,NA,NA,NA,NA,-117.692,NA,NA,NA
51040,-2.2825,4.37988,-4.00352,NA,NA,NA,NA,NA,-81.352,NA,NA
51211,-2.17097,3.77924,-4.11802,NA,NA,NA,-70.52,NA,NA,NA,NA
51415,-1.30102,4.28029,-4.60734,NA,-151.702,NA,NA,NA,NA,NA,NA
51757,-1.05548,4.48731,-4.54854,NA,NA,NA,NA,NA,-82.981,NA,NA
51937,-1.78095,4.5163,-4.44708,NA,NA,NA,-62.659,NA,NA,NA,NA
52031,-3.37155,4.39251,-5,NA,NA,NA,NA,-99.938,NA,NA,NA
52212,-1.76997,4.6025,-5,NA,NA,NA,-68.606,NA,NA,NA,NA
52543,-1.756,5,-5,NA,NA,NA,NA,NA,-81.255,NA,NA
52745,-2.27432,5,-4.69061,-92.575,NA,NA,NA,NA,NA,NA,NA
52952,-2.3442,5,-4.0707,NA,-145.793,NA,NA,NA,NA,NA,NA
53071,-1.79449,4.80408,-4.505,NA,NA,NA,-68.497,NA,NA,NA,NA
53293,-2.54332,4.25618,-3.7807,NA,NA,NA,NA,NA,-98.393,NA,NA
53497,-2.59519,4.7133,-2.97184,NA,NA,NA,-162.087,NA,NA,NA,NA
53690,-2.35616,4.98344,-3.51547,NA,NA,NA,-122.87,NA,NA,NA,NA
53954,-2.76876,5,-5,NA,NA,NA,-95.137,NA,NA,NA,NA
54124,-2.34701,4.38128,-3.89005,NA,NA,NA,-76.139,NA,NA,NA,NA
54268,-1.761,5,-3.039,NA,NA,NA,-164.327,NA,NA,NA,NA
54447,-1.69873,4.20144,-3.71659,NA,NA,NA,NA,-116.925,NA,NA,NA
54650,-1.22085,4.15073,-4.92571,NA,NA,NA,NA,-39.675,NA,NA,NA
54917,-1.65557,2.30613,-5,NA,NA,NA,NA,-150.005,NA,NA,NA
55185,-3.00448,4.29004,-5,NA,NA,NA,-76.858,NA,NA,NA,NA
55353,-3.10666,3.89504,-4.47156,NA,NA,NA,-88.306,NA,NA,NA,NA
55523,-3.65702,4.46005,-3.82845,NA,NA,NA,NA,-146.727,NA,NA,NA
55757,-2.93945,4.32094,-3.64253,NA,NA,NA,NA,NA,-117.604,NA,NA
55923,-2.85221,3.62472,-3.90779,-125.068,NA,NA,NA,NA,NA,NA,NA
56147,-4.10883,4.64411,-4.56314,NA,NA,NA,NA,NA,-173.724,NA,NA
56235,-3.3599,5,-5,NA,-166.687,NA,NA,NA,NA,NA,NA
56584,-1.90418,4.2219,-5,NA,NA,NA,NA,NA,-51.726,NA,NA
56762,-0.515943,4.37714,-4.18649,NA,NA,NA,NA,NA,-230.691,NA,NA
56865,-1.92158,5,-4.62176,NA,NA,NA,-78.179,NA,NA,NA,NA
57007,-2.38463,3.5624,-5,NA,NA,NA,-56.873,NA,NA,NA,NA
57260,-2.85292,3.13745,-5,NA,NA,NA,-84.954,NA,NA,NA,NA
57434,-2.89043,3.81936,-5,NA,NA,NA,NA,-72.447,NA,NA,NA
57652,-2.43025,4.1882,-5,NA,NA,NA,-54.92,NA,NA,NA,NA
57901,-1.38144,5,-5,NA,NA,NA,-92.906,NA,NA,NA,NA
58053,-1.29246,5,-5,NA,NA,NA,-93.288,NA,NA,NA,NA
58329,-1.45916,4.63188,-4.8929,NA,NA,NA,-52.742,NA,NA,NA,NA
58455,-2.50835,4.04197,-5,NA,NA,NA,NA,-53.614,NA,NA,NA
58750,-2.82723,4.45889,-5,NA,NA,NA,-74.244,NA,NA,NA,NA
58918,-2.53375,4.19635,-4.03244,NA,NA,NA,NA,-77.073,NA,NA,NA
59041,-1.85295,5,-4.3306,NA,NA,NA,NA,NA,-85.15,NA,NA
59233,-1.40025,5,-4.10317,NA,NA,NA,-98.048,NA,NA,NA,NA
59421,-1.59361,5,-5,NA,NA,NA,-76.581,NA,NA,NA,NA
59772,-0.404425,4.59822,-4.24991,NA,NA,NA,-112.558,NA,NA,NA,NA
59821,-0.73751,3.6101,-5,NA,NA,NA,NA,-92.976,NA,NA,NA
60168,-2.19734,4.10467,-4.87856,-64.296,NA,NA,NA,NA,NA,NA,NA
60303,-2.37799,3.98704,-5,NA,NA,NA,-59.233,NA,NA,NA,NA
60552,-1.54986,4.45282,-5,NA,NA,NA,-58.408,NA,NA,NA,NA
60693,-2.60797,4.73909,-4.77238,NA,NA,NA,NA,NA,-70.795,NA,NA
60878,-3.36526,3.78893,-4.53631,-114.458,NA,NA,NA,NA,NA,NA,NA
61115,-1.5157,4.89295,-5,NA,NA,NA,-75.991,NA,NA,NA,NA
61395,-1.02855,4.0548,-5,NA,NA,NA,-68.507,NA,NA,NA,NA
61517,-2.02969,3.0453,-4.76363,NA,NA,NA,NA,-82.332,NA,NA,NA
61667,-3.50998,3.89799,-5,NA,NA,NA,-111.006,NA,NA,NA,NA
61967,-3.00466,3.19758,-5,NA,NA,NA,-87.71,NA,NA,NA,NA
62125,-2.75679,2.9723,-5,NA,NA,NA,NA,NA,-98.457,NA,NA
62394,-2.31873,2.62074,-4.19409,NA,NA,NA,NA,-106.073,NA,NA,NA
62447,-1.54092,1.53855,-5,NA,NA,NA,-254.199,NA,NA,NA,NA
62774,-3.1891,2.63085,-3.91609,NA,NA,NA,-152.807,NA,NA,NA,NA
62922,-1.63258,3.64639,-2.8747,NA,NA,NA,-181.264,NA,NA,NA,NA
63169,-2.55807,4.22334,-2.97839,NA,NA,NA,NA,-147.262,NA,NA,NA
63383,-1.43106,4.57982,-3.87507,NA,NA,NA,-84.083,NA,NA,NA,NA
63449,-1.77613,4.24753,-4.26149,NA,NA,NA,-80.888,NA,NA,NA,NA
