id,x0,x1,x2,fitness7.5,fitness7,fitness8.5,fitness8,fitness6.5,fitness9,fitness10,fitness9.5,fitness6,fitness4,fitness5,fitness4.5,fitness2.5
9494,7.75408,8.70667,8.45758,NA,NA,NA,0.727,NA,NA,NA,NA,NA,NA,NA,NA,NA
9640,7.68311,7.88048,7.92675,0.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9801,7.39591,6.81288,10.1651,NA,NA,NA,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA
10173,7.36998,7.48415,7.94722,NA,NA,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10266,8.08401,7.13357,8.3878,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10469,8.53171,6.9467,7.98289,NA,NA,NA,NA,0.376,NA,NA,NA,NA,NA,NA,NA,NA
10617,9.52576,7.14359,8.41183,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10869,10.0029,6.97886,7.97925,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA,NA,NA,NA
11051,8.92011,7.46176,7.28304,NA,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11241,8.00661,7.20969,8.13835,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11472,8.58484,7.32485,7.17254,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA
11793,7.48597,8.4038,7.29859,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11878,7.58041,7.60096,7.34923,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12034,7.02524,8.35974,7.99987,NA,NA,NA,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA
12341,7.64531,7.07729,8.85664,NA,NA,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12479,8.45342,6.63805,8.2697,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12731,9.33617,7.76602,8.51037,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12816,9.25777,6.63842,8.74841,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13184,7.97094,7.27733,7.49157,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13357,8.28409,6.91452,8.81846,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
13590,7.06366,7.53064,8.82839,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13671,7.09939,7.58124,8.21181,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13892,8.47356,6.47212,7.58896,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
14010,7.81579,8.12019,7.38485,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14316,7.2616,7.06758,6.88087,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA
14574,7.52978,6.49549,5.87922,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14694,7.60717,7.60225,7.36803,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14853,9.08007,6.60975,7.34657,NA,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15123,10.0514,7.34913,7.51422,NA,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA
15290,9.42946,7.52393,7.17406,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15595,8.63254,8.76973,7.98516,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15746,7.86321,8.49815,6.02267,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15815,7.3606,8.55777,7.36771,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,7.05523,8.04748,7.32523,NA,NA,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16272,6.84503,8.18902,6.98283,NA,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA,NA
16535,6.48081,7.80635,7.61138,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA
16726,7.7583,8.62297,7.18356,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA
16861,8.45158,8.01605,7.44851,NA,NA,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA
17102,7.96076,6.32828,8.01769,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA
17364,6.40661,6.37111,8.7261,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17529,7.27389,7.90174,8.5496,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17615,7.60621,8.98338,8.12926,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
17930,8.12154,10.2013,8.79782,NA,NA,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18007,7.0159,9.48993,7.39554,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18384,7.50893,9.26748,7.18618,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18442,8.26864,7.94326,8.887,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18671,7.58407,7.60622,8.37461,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18813,9.68792,7.8218,7.81857,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19016,8.79223,9.23587,7.29379,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19392,9.09166,8.609,7.04116,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19573,9.60317,8.24912,5.99233,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19749,9.70361,7.321,7.3582,NA,NA,NA,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA
19811,8.65506,7.39977,8.36132,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA
20105,8.48462,8.37471,7.11906,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20302,9.27708,8.09855,6.30494,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20508,8.29338,8.25803,8.31181,NA,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA
20688,7.94973,8.72649,7.46631,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20990,7.32358,8.19569,7.16607,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21093,7.7856,8.63313,7.78682,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21304,8.91906,7.78734,7.53607,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21548,8.30768,8.01744,8.02776,NA,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21622,7.61804,7.51954,7.03587,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA
21899,9.18025,7.73222,7.9476,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22011,8.39425,8.69427,7.462,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22229,7.9346,9.57622,8.48994,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22586,7.70966,7.71472,7.72614,NA,NA,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22792,8.16695,7.28791,8.24164,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22999,7.74404,8.48283,7.67881,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA
23107,7.4142,8.73676,7.58027,NA,NA,NA,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA
23270,8.70886,8.36183,7.93056,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23498,8.81706,7.15318,6.56869,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23620,8.26222,7.97309,8.05402,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23807,6.60822,7.66723,9.0641,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24178,6.40089,7.32926,7.85707,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
24360,7.40907,7.41425,8.00199,NA,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24490,8.14057,7.47021,7.3014,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24619,7.68154,7.5728,7.02086,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24971,8.12682,7.51815,8.08302,NA,NA,NA,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
25002,7.33441,6.73321,9.10523,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25345,6.84406,6.73564,7.74179,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA
25527,7.90075,6.39623,8.35226,NA,NA,NA,NA,NA,0.399,NA,NA,NA,NA,NA,NA,NA
25787,8.82884,7.03597,7.4288,NA,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25941,7.65201,8.49053,6.99241,NA,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA
26060,8.04958,8.4564,7.44604,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26212,8.32054,8.84929,8.10536,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26504,7.71743,8.21363,8.62705,NA,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26607,8.24637,9.26656,8.65923,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
26948,7.91635,7.30742,9.03935,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27122,6.81817,7.25952,8.30643,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27263,8.38863,7.32672,7.5295,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA
27551,8.08349,6.68349,7.59678,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27797,8.39625,6.91797,7.99084,NA,NA,NA,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA
27949,8.87193,7.11118,8.30172,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28159,7.60336,9.40531,8.11337,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28247,7.72921,10.0971,7.62727,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
28467,8.66333,8.65693,6.88265,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28759,8.31733,9.06047,6.70641,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28973,7.9054,8.38742,7.0829,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
29072,7.5466,8.32095,7.84984,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA
29350,7.67145,7.49302,8.68936,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA
29571,6.63658,7.26807,8.4493,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA
29765,6.56495,8.53783,8.60464,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29937,6.97069,8.3593,7.24219,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
30114,7.16804,8.74608,7.35828,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA
30317,6.65277,7.27775,7.76573,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30461,6.87982,6.78516,7.63526,NA,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA
30642,7.61359,8.3456,6.68215,NA,NA,NA,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA
30808,8.68512,8.11935,8.90635,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31068,9.04709,7.13923,7.97783,NA,NA,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA
31339,8.73617,8.64168,9.00594,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
31467,7.46589,7.65713,8.21306,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31601,7.74249,7.48281,7.6153,NA,NA,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31899,9.01592,8.25568,6.33546,NA,NA,NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
32146,8.05893,7.84979,7.66842,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA
32303,7.53234,8.26587,8.4156,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA
32452,7.26716,8.05856,8.68181,NA,NA,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32602,7.50838,8.00163,8.61695,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32884,7.26769,9.3924,7.34213,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33050,7.81318,9.53313,8.22348,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33222,7.62402,8.5136,8.81285,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33553,8.36443,7.73944,6.97998,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33691,7.6199,8.79424,7.79585,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA
33857,7.09039,8.40276,7.90043,NA,NA,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34018,6.42997,7.05698,8.29728,NA,NA,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34397,4.75442,8.2011,7.70942,NA,NA,NA,NA,NA,NA,0.246,NA,NA,NA,NA,NA,NA
34594,4.23604,8.74579,8.10805,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA
34674,5.17515,9.26265,8.09391,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34876,6.79831,8.24824,7.56514,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35166,7.18399,7.84767,5.72798,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35262,6.61049,7.72808,6.84594,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35438,7.79904,7.90817,7.34296,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35701,8.67458,8.68408,7.07533,NA,NA,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35898,7.70376,8.62064,8.89877,0.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36065,7.99174,8.06384,8.42023,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36391,8.63072,7.27844,8.2404,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36566,9.04476,7.38591,7.29282,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36777,7.07363,6.62671,7.77376,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36808,6.51553,7.83946,8.19752,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37051,5.63641,7.82738,7.98066,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37389,7.5,8.57239,7.49449,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37434,7.88556,7.56218,8.20984,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37758,6.83839,7.88812,8.18386,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
37859,8.13465,7.64108,7.77236,NA,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38142,8.07308,7.7027,8.38565,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA
38346,8.77578,7.35286,8.03269,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA
38529,8.18415,8.3793,7.66787,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38709,8.37209,9.27171,7.71824,NA,NA,NA,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA
38969,8.18314,8.27235,8.30693,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA
39029,8.32136,7.35564,8.7493,NA,NA,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA,NA
39351,7.02544,6.72902,7.72232,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39590,6.56649,7.85646,7.47194,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39781,7.17089,8.79095,7.70957,NA,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39835,7.9875,8.52992,8.86645,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40130,8.51369,8.96031,8.53116,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA
40279,7.80919,7.98849,8.12717,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40512,8.12375,7.74758,8.15029,NA,NA,NA,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA
40623,7.48107,9.55395,8.05345,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
40838,6.98469,8.57584,8.41883,NA,NA,NA,NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA
41007,7.82513,8.70415,6.91372,NA,NA,NA,NA,NA,0.442,NA,NA,NA,NA,NA,NA,NA
41353,7.49433,8.51803,7.12764,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
41406,7.00668,8.59236,7.724,NA,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41743,8.08182,7.32686,7.82792,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41985,8.22197,7.92788,7.81021,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42184,7.50934,7.50486,7.45767,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42355,7.57846,7.14138,7.37793,NA,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42427,9.04048,8.58114,7.43143,NA,NA,NA,NA,0.296,NA,NA,NA,NA,NA,NA,NA,NA
42786,8.12897,7.14618,6.00088,NA,NA,NA,NA,0.247,NA,NA,NA,NA,NA,NA,NA,NA
42843,8.89473,7.82486,7.34978,NA,NA,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43017,7.34201,7.2791,7.02869,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
43323,7.5576,6.11528,6.81606,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43430,5.99767,7.54845,7.52808,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43713,6.73282,7.96582,6.97239,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43964,8.01585,7.37175,7.11004,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44199,8.02943,7.3974,6.62143,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA
44336,8.28091,8.67158,7.22886,NA,NA,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44554,7.84371,8.9626,7.98122,NA,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
44631,7.36895,7.96983,7.18814,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44963,7.38968,8.62406,7.10329,NA,NA,NA,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA
45156,7.85936,7.28445,8.01065,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45307,6.88912,8.26785,7.51048,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45536,7.90868,7.57272,8.62718,NA,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA
45646,7.85368,7.48014,8.47439,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45880,7.47555,7.62314,9.483,NA,NA,NA,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA
46094,6.40856,7.67284,7.9033,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
46258,7.9219,7.34722,7.13114,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46429,7.1635,6.88583,7.79488,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA
46753,7.31438,7.37782,7.75975,NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA
46923,7.28923,7.18436,7.86891,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47137,7.29545,7.54288,8.77174,NA,NA,NA,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA
47266,7.71567,7.06749,8.04121,NA,NA,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47508,7.23341,7.52395,8.67445,NA,NA,NA,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA
