id,x0,x1,x2,fitness-2.5,fitness-4,fitness-3.5,fitness-1.5,fitness-3,fitness-2,fitness-1,fitness-4.5
20125,1.74802,1.54341,-5,NA,NA,-34.178,NA,NA,NA,NA,NA
20303,1.152,2.45255,-5,-36.423,NA,NA,NA,NA,NA,NA,NA
20526,2.19114,1.36004,-4.22664,NA,NA,NA,NA,NA,-13.43,NA,NA
20619,2.19086,1.68172,-4.5841,NA,NA,NA,-35.234,NA,NA,NA,NA
20858,2.62477,1.57051,-4.2601,NA,NA,NA,NA,-28.15,NA,NA,NA
21143,2.70213,1.05259,-4.36104,NA,NA,-54.668,NA,NA,NA,NA,NA
21395,2.00799,1.64686,-4.2417,NA,NA,-31.106,NA,NA,NA,NA,NA
21546,2.21481,1.17558,-3.98929,NA,NA,-35.615,NA,NA,NA,NA,NA
21651,2.19465,1.3282,-3.64637,NA,NA,NA,NA,-29.577,NA,NA,NA
21929,1.44552,1.70448,-4.15583,NA,NA,-27.151,NA,NA,NA,NA,NA
22128,2.02773,1.47166,-4.4895,-5.747,NA,NA,NA,NA,NA,NA,NA
22241,1.56127,1.52959,-5,NA,NA,NA,NA,NA,-21.656,NA,NA
22515,0.805463,1.68716,-3.80356,NA,NA,NA,NA,NA,-43.606,NA,NA
22615,1.52235,1.96462,-4.53559,-8.114,NA,NA,NA,NA,NA,NA,NA
22960,1.7506,2.41487,-4.42327,NA,NA,NA,NA,-18.977,NA,NA,NA
23159,1.43567,1.89397,-3.88111,NA,NA,NA,NA,NA,-19.535,NA,NA
23267,0.974199,1.87334,-4.11917,NA,NA,NA,NA,NA,-25.225,NA,NA
23423,1.71297,0.761896,-4.57522,-42.691,NA,NA,NA,NA,NA,NA,NA
23603,1.72916,2.18821,-4.81641,NA,NA,NA,-31.455,NA,NA,NA,NA
23922,2.00957,2.07981,-4.79903,-13.48,NA,NA,NA,NA,NA,NA,NA
24063,1.43312,2.03223,-3.87853,-14.271,NA,NA,NA,NA,NA,NA,NA
24318,1.34114,2.42402,-4.72433,-24.47,NA,NA,NA,NA,NA,NA,NA
24444,1.42277,2.09779,-4.82981,NA,NA,NA,-32.411,NA,NA,NA,NA
24609,1.72654,1.8639,-4.97874,-14.987,NA,NA,NA,NA,NA,NA,NA
24991,0.724742,2.15769,-5,NA,NA,NA,-64.345,NA,NA,NA,NA
25007,2.51203,1.75332,-5,NA,NA,NA,NA,NA,-37.206,NA,NA
25380,2.56589,2.13967,-5,NA,NA,NA,NA,NA,-35.504,NA,NA
25529,2.17702,2.27133,-4.60164,NA,NA,NA,-33.394,NA,NA,NA,NA
25796,1.3867,3.1592,-4.55149,NA,NA,NA,NA,NA,-65.444,NA,NA
25821,1.83489,2.08208,-4.07773,NA,NA,NA,NA,-17.436,NA,NA,NA
26148,1.37489,1.58482,-4.83332,NA,-75.93,NA,NA,NA,NA,NA,NA
26391,1.53475,1.41432,-3.41929,NA,NA,-58.97,NA,NA,NA,NA,NA
26594,1.32139,1.33827,-3.43804,NA,NA,NA,NA,-40.494,NA,NA,NA
26763,2.05517,2.11816,-5,-19.867,NA,NA,NA,NA,NA,NA,NA
26870,1.2557,1.69447,-4.60142,-12.364,NA,NA,NA,NA,NA,NA,NA
27083,1.54761,2.00414,-5,-18.596,NA,NA,NA,NA,NA,NA,NA
27286,1.99606,1.03934,-4.26302,NA,NA,NA,NA,-20.254,NA,NA,NA
27404,0.885062,2.03545,-4.44572,NA,NA,NA,-45.317,NA,NA,NA,NA
27699,1.98357,2.21245,-5,-21.69,NA,NA,NA,NA,NA,NA,NA
27856,1.31926,1.91826,-3.86152,NA,NA,NA,NA,NA,-19.413,NA,NA
28052,1.29453,1.2437,-4.28652,NA,NA,NA,NA,NA,-18.519,NA,NA
28253,1.04578,1.36408,-4.79118,NA,NA,NA,NA,NA,NA,-78.549,NA
28490,1.56397,2.50325,-4.24997,NA,NA,NA,-35.642,NA,NA,NA,NA
28642,1.91713,0.692874,-4.60183,-46.898,NA,NA,NA,NA,NA,NA,NA
28851,1.1944,1.12901,-5,NA,NA,NA,NA,NA,-55.453,NA,NA
29050,2.73339,1.57762,-3.9721,-30.11,NA,NA,NA,NA,NA,NA,NA
29278,1.87143,1.46439,-3.87965,NA,NA,NA,NA,-11.176,NA,NA,NA
29503,1.99784,1.20244,-3.53623,-30.465,NA,NA,NA,NA,NA,NA,NA
29749,2.02552,1.3543,-4.76441,NA,NA,NA,NA,-24.94,NA,NA,NA
29857,1.68935,1.33224,-3.67753,NA,NA,NA,NA,-19.493,NA,NA,NA
30199,1.48847,0.914223,-4.41853,NA,NA,NA,NA,-30.51,NA,NA,NA
30392,1.40418,1.32929,-5,NA,NA,NA,NA,NA,-32.843,NA,NA
30552,2.83114,1.62141,-5,NA,NA,NA,NA,NA,-42.256,NA,NA
30619,1.02631,1.69785,-5,NA,NA,NA,NA,NA,-37.199,NA,NA
30839,1.95918,2.26567,-4.66391,NA,NA,NA,NA,NA,-19.234,NA,NA
31071,1.80432,1.45971,-4.74061,NA,NA,NA,NA,NA,-14.95,NA,NA
31268,1.853,1.25005,-5,NA,NA,-48.87,NA,NA,NA,NA,NA
31600,1.64874,1.694,-5,NA,NA,NA,NA,-19.22,NA,NA,NA
31607,1.85884,1.85617,-4.54153,NA,NA,NA,NA,-16.409,NA,NA,NA
31826,1.22707,1.42429,-4.44678,NA,NA,-32.794,NA,NA,NA,NA,NA
32056,1.44571,2.2577,-4.44067,NA,NA,-33.837,NA,NA,NA,NA,NA
32345,1.9215,1.15458,-4.16322,NA,NA,NA,NA,-24.547,NA,NA,NA
32408,2.00705,1.33451,-5,NA,NA,NA,NA,-22.918,NA,NA,NA
32604,2.21944,1.44048,-4.61895,-10.951,NA,NA,NA,NA,NA,NA,NA
32826,1.68938,1.26781,-3.93581,-12.507,NA,NA,NA,NA,NA,NA,NA
33159,2.20093,2.38123,-5,NA,NA,NA,NA,NA,-36.303,NA,NA
33331,2.80216,2.01006,-4.41273,NA,NA,NA,NA,-38.783,NA,NA,NA
33513,1.92507,1.24584,-4.17627,NA,NA,NA,NA,-11.353,NA,NA,NA
33607,2.20368,1.36578,-5,NA,NA,NA,NA,NA,-29.06,NA,NA
33864,1.60634,2.50641,-4.76564,NA,NA,NA,NA,-25.292,NA,NA,NA
34011,1.38926,2.06394,-5,NA,NA,NA,-42.66,NA,NA,NA,NA
34238,1.86071,1.75936,-5,NA,NA,NA,-31.095,NA,NA,NA,NA
34521,2.26628,2.75843,-5,NA,NA,NA,NA,-49.132,NA,NA,NA
34682,2.09617,1.4088,-5,-19.557,NA,NA,NA,NA,NA,NA,NA
34920,1.37048,1.96192,-3.29442,-39.066,NA,NA,NA,NA,NA,NA,NA
35167,2.47679,1.87154,-4.12859,-17.546,NA,NA,NA,NA,NA,NA,NA
35233,2.14989,1.66517,-3.92142,NA,NA,NA,NA,NA,-13.084,NA,NA
35428,0.706131,2.06874,-5,-47.356,NA,NA,NA,NA,NA,NA,NA
35611,2.18503,1.9126,-5,NA,NA,NA,NA,NA,-21.32,NA,NA
35813,1.88427,1.25423,-5,-21.051,NA,NA,NA,NA,NA,NA,NA
36016,1.56515,2.14086,-4.50469,-10.128,NA,NA,NA,NA,NA,NA,NA
36365,2.54027,1.92305,-5,NA,NA,NA,NA,-34.152,NA,NA,NA
36508,1.6915,1.86489,-5,-16.749,NA,NA,NA,NA,NA,NA,NA
36784,2.25481,1.48238,-5,-21.683,NA,NA,NA,NA,NA,NA,NA
36957,2.16552,1.66217,-4.37143,NA,NA,-20.65,NA,NA,NA,NA,NA
37117,2.10125,1.01261,-5,NA,-84.933,NA,NA,NA,NA,NA,NA
37326,2.34126,1.79284,-4.90975,-19.902,NA,NA,NA,NA,NA,NA,NA
37465,0.92402,1.95858,-4.90434,NA,NA,NA,NA,-32.481,NA,NA,NA
37742,1.66741,1.2403,-4.47783,NA,NA,-29.849,NA,NA,NA,NA,NA
37856,2.20172,2.9186,-4.24163,NA,NA,NA,NA,-45.879,NA,NA,NA
38194,1.4147,2.51845,-5,NA,NA,NA,NA,-41.608,NA,NA,NA
38293,1.63976,2.1341,-5,NA,NA,NA,NA,NA,-27.202,NA,NA
38589,2.27169,1.55321,-4.40871,NA,NA,-25.144,NA,NA,NA,NA,NA
38772,1.99638,1.74726,-3.84569,NA,NA,-42.294,NA,NA,NA,NA,NA
38839,1.38238,2.29033,-3.65984,-27.868,NA,NA,NA,NA,NA,NA,NA
39003,1.85313,2.34974,-4.88667,NA,-79.142,NA,NA,NA,NA,NA,NA
39237,1.73893,1.4267,-4.5525,NA,NA,NA,NA,NA,-6.347,NA,NA
39581,1.80104,1.06957,-5,NA,NA,NA,NA,-31.236,NA,NA,NA
39602,2.7833,1.72422,-5,NA,NA,NA,NA,-42.011,NA,NA,NA
39904,2.61764,2.45497,-4.58853,NA,NA,NA,NA,-36.728,NA,NA,NA
40133,2.05328,2.5044,-4.06877,NA,NA,-53.456,NA,NA,NA,NA,NA
40393,2.65923,1.42631,-3.94012,-29.101,NA,NA,NA,NA,NA,NA,NA
40577,1.76848,1.89177,-4.56011,NA,NA,NA,NA,NA,-12.47,NA,NA
40720,0.973713,1.31644,-5,NA,NA,NA,NA,-45.316,NA,NA,NA
40962,0.0942725,1.6269,-4.10638,-78.391,NA,NA,NA,NA,NA,NA,NA
41105,1.15901,1.57256,-4.84805,NA,NA,-44.01,NA,NA,NA,NA,NA
41263,2.37439,1.99594,-4.83266,NA,NA,NA,NA,NA,-21.145,NA,NA
41552,2.58496,1.89861,-5,-29.997,NA,NA,NA,NA,NA,NA,NA
41735,2.21533,1.42914,-4.56237,NA,NA,NA,NA,-11.874,NA,NA,NA
41857,2.71702,2.02021,-4.59659,-28.772,NA,NA,NA,NA,NA,NA,NA
42096,2.52015,1.55868,-4.17555,-18.515,NA,NA,NA,NA,NA,NA,NA
42351,1.5167,1.14476,-4.88255,NA,NA,NA,NA,-25.883,NA,NA,NA
42567,1.2473,1.66844,-3.34762,-39.78,NA,NA,NA,NA,NA,NA,NA
42701,1.27976,2.60702,-5,NA,NA,NA,NA,NA,-41.226,NA,NA
42904,1.9555,3.02696,-4.25164,-45.096,NA,NA,NA,NA,NA,NA,NA
43082,3.62718,2.54733,-4.41949,-93.703,NA,NA,NA,NA,NA,NA,NA
43243,2.707,2.1596,-5,-37.352,NA,NA,NA,NA,NA,NA,NA
43544,1.45472,2.87442,-5,-46.57,NA,NA,NA,NA,NA,NA,NA
43696,1.84086,1.44515,-5,-16.64,NA,NA,NA,NA,NA,NA,NA
43948,1.21292,1.63399,-5,-24.266,NA,NA,NA,NA,NA,NA,NA
44183,2.38093,2.20364,-5,-28.611,NA,NA,NA,NA,NA,NA,NA
44332,1.53119,1.91889,-5,-17.696,NA,NA,NA,NA,NA,NA,NA
44464,1.58967,1.82691,-4.89709,-13.025,NA,NA,NA,NA,NA,NA,NA
44705,1.07904,2.1031,-5,NA,NA,NA,NA,-37.032,NA,NA,NA
44837,1.97122,2.3924,-3.86567,NA,NA,NA,-42.888,NA,NA,NA,NA
45048,1.82365,1.54826,-4.69325,NA,NA,NA,NA,NA,-18.387,NA,NA
45299,1.77604,1.78247,-4.13248,-3.76,NA,NA,NA,NA,NA,NA,NA
45480,3.16792,1.7776,-5,NA,-110.878,NA,NA,NA,NA,NA,NA
45649,2.43304,2.79204,-5,NA,NA,NA,NA,-55.564,NA,NA,NA
45941,2.29341,0.939076,-4.16319,-30.437,NA,NA,NA,NA,NA,NA,NA
46024,2.06405,1.43732,-3.53662,NA,NA,NA,NA,-26.301,NA,NA,NA
46287,2.12936,1.60015,-3.95363,-8.539,NA,NA,NA,NA,NA,NA,NA
46401,2.16788,1.50121,-4.15467,NA,NA,NA,NA,NA,NA,-48.78,NA
46702,1.25138,1.96568,-4.4119,-12.345,NA,NA,NA,NA,NA,NA,NA
46950,2.07097,1.62665,-4.05472,NA,NA,NA,NA,-13.75,NA,NA,NA
47116,1.03037,1.67508,-5,-31.834,NA,NA,NA,NA,NA,NA,NA
47209,1.42146,1.57766,-4.78997,NA,NA,NA,NA,-14.808,NA,NA,NA
47498,1.58655,1.4385,-5,NA,NA,NA,NA,-24.789,NA,NA,NA
47753,0.850324,1.96151,-4.841,-34.006,NA,NA,NA,NA,NA,NA,NA
47885,2.11986,1.62457,-5,NA,NA,NA,-34.765,NA,NA,NA,NA
48118,2.06111,1.48902,-4.7747,-9.828,NA,NA,NA,NA,NA,NA,NA
48396,1.704,1.74172,-5,NA,NA,NA,-40.275,NA,NA,NA,NA
48536,1.34093,2.13231,-4.96743,-23.744,NA,NA,NA,NA,NA,NA,NA
48613,2.05641,1.38345,-5,-18.533,NA,NA,NA,NA,NA,NA,NA
48952,1.83401,2.11251,-5,NA,NA,-32.744,NA,NA,NA,NA,NA
49041,2.7153,1.63259,-5,NA,NA,NA,NA,NA,-35.744,NA,NA
49389,1.43796,2.25659,-4.92821,NA,NA,NA,-44.782,NA,NA,NA,NA
49484,1.67199,1.59236,-5,-16.326,NA,NA,NA,NA,NA,NA,NA
49769,1.39174,2.01943,-5,-21.012,NA,NA,NA,NA,NA,NA,NA
49984,1.61708,1.30831,-4.56633,NA,NA,NA,NA,-20.743,NA,NA,NA
50030,2.06612,1.67006,-5,NA,NA,NA,NA,-20.48,NA,NA,NA
50260,2.84793,2.66057,-4.26822,NA,NA,NA,NA,-54.264,NA,NA,NA
50512,2.80262,1.4332,-5,NA,NA,NA,NA,-43.329,NA,NA,NA
50645,1.79035,1.07234,-4.89856,NA,NA,-50.269,NA,NA,NA,NA,NA
50829,1.86864,1.27149,-5,-20.177,NA,NA,NA,NA,NA,NA,NA
51032,1.6135,0.898726,-5,-44.504,NA,NA,NA,NA,NA,NA,NA
51303,1.54528,1.35312,-5,-21.119,NA,NA,NA,NA,NA,NA,NA
51540,1.57778,2.65219,-5,-35.576,NA,NA,NA,NA,NA,NA,NA
51785,1.33566,2.39519,-5,-30.604,NA,NA,NA,NA,NA,NA,NA
51821,0.950433,2.664,-5,NA,NA,NA,NA,-51.438,NA,NA,NA
52163,1.84492,2.10874,-4.67655,NA,-45.52,NA,NA,NA,NA,NA,NA
52208,2.16818,1.6304,-5,-17.399,NA,NA,NA,NA,NA,NA,NA
52461,1.8535,1.48573,-5,-17.819,NA,NA,NA,NA,NA,NA,NA
52633,1.34951,1.12962,-4.9161,-30.193,NA,NA,NA,NA,NA,NA,NA
52885,1.69082,1.91395,-5,-16.124,NA,NA,NA,NA,NA,NA,NA
53025,1.34995,2.07469,-4.99831,NA,NA,NA,NA,-24.829,NA,NA,NA
53394,2.43439,0.932465,-5,NA,NA,NA,NA,-48.16,NA,NA,NA
53483,2.05743,2.1536,-4.17511,NA,NA,NA,NA,-16.772,NA,NA,NA
53722,2.79422,1.91106,-5,NA,NA,NA,NA,-47.562,NA,NA,NA
53836,2.89443,2.2841,-5,-48.933,NA,NA,NA,NA,NA,NA,NA
54115,3.2056,1.54196,-5,NA,NA,NA,NA,NA,-59.835,NA,NA
54278,2.80061,1.40086,-5,NA,NA,-51.327,NA,NA,NA,NA,NA
54584,2.07219,1.59312,-5,NA,NA,-31.683,NA,NA,NA,NA,NA
54749,2.12514,1.43767,-3.70017,-18.303,NA,NA,NA,NA,NA,NA,NA
54971,1.22542,1.51299,-5,-25.649,NA,NA,NA,NA,NA,NA,NA
55173,1.83412,1.95448,-5,NA,NA,NA,NA,-18.004,NA,NA,NA
55234,1.50363,1.39642,-4.34922,-4.32,NA,NA,NA,NA,NA,NA,NA
55507,1.63088,1.7949,-5,NA,NA,NA,NA,NA,NA,-53.548,NA
55736,1.66937,1.18738,-4.77967,NA,NA,NA,NA,-25.706,NA,NA,NA
55827,1.51175,0.972978,-5,-40.086,NA,NA,NA,NA,NA,NA,NA
56084,1.14352,1.57948,-5,NA,NA,NA,NA,NA,-34.299,NA,NA
56296,1.96916,2.36369,-4.48483,NA,NA,NA,NA,-17.226,NA,NA,NA
56595,1.79823,2.47787,-3.87635,NA,NA,NA,NA,-25.178,NA,NA,NA
56646,0.698192,1.94566,-4.06594,NA,NA,NA,NA,-37.257,NA,NA,NA
56931,1.25208,1.26628,-4.17884,-16.291,NA,NA,NA,NA,NA,NA,NA
57136,2.30999,1.94896,-4.5763,-13.724,NA,NA,NA,NA,NA,NA,NA
57288,2.97443,2.06222,-4.25961,NA,NA,NA,NA,NA,-42.79,NA,NA
57514,1.55855,0.726722,-4.45842,NA,NA,NA,NA,-50.753,NA,NA,NA
57741,1.42759,1.71468,-5,-18.356,NA,NA,NA,NA,NA,NA,NA
57808,1.52464,2.41342,-5,NA,NA,NA,NA,-30.486,NA,NA,NA
58047,1.1779,2.42466,-4.07858,-27.39,NA,NA,NA,NA,NA,NA,NA
58205,1.17165,2.44562,-5,NA,NA,NA,NA,NA,-38.288,NA,NA
58446,1.10261,1.79862,-3.60037,NA,NA,NA,NA,NA,-34.702,NA,NA
58789,1.88057,2.80122,-3.79653,NA,NA,NA,NA,NA,-42.225,NA,NA
58961,0.92485,2.31333,-3.86363,NA,NA,-50.179,NA,NA,NA,NA,NA
59121,1.8235,1.17143,-3.65415,NA,NA,NA,NA,NA,-29.264,NA,NA
59253,1.52882,1.9532,-4.7487,NA,NA,NA,NA,NA,-15.608,NA,NA
59440,2.11029,0.836666,-4.60596,-36.337,NA,NA,NA,NA,NA,NA,NA
59737,1.3248,1.16183,-4.01284,NA,NA,NA,NA,NA,-25.763,NA,NA
59811,1.56604,2.32796,-5,NA,NA,NA,NA,NA,-30.739,NA,NA
60194,1.52316,2.32708,-3.78874,NA,NA,NA,NA,-30.287,NA,NA,NA
60350,2.54896,1.83443,-4.09708,-19.513,NA,NA,NA,NA,NA,NA,NA
60497,2.34372,1.55256,-3.56445,NA,NA,-46.958,NA,NA,NA,NA,NA
60781,2.33768,1.56615,-4.28287,NA,NA,NA,NA,-12.741,NA,NA,NA
60904,1.00896,1.85831,-4.93477,NA,NA,NA,NA,-30.454,NA,NA,NA
61039,1.31866,1.81755,-5,NA,NA,NA,NA,-26.943,NA,NA,NA
61264,2.30185,1.2179,-4.23413,NA,NA,NA,NA,-21.909,NA,NA,NA
61468,1.70265,1.30022,-5,NA,NA,NA,NA,-28.628,NA,NA,NA
61745,1.38553,1.61299,-4.50154,NA,NA,-27.32,NA,NA,NA,NA,NA
61983,1.36177,1.81056,-4.8694,NA,NA,NA,NA,-21.54,NA,NA,NA
62133,0.62074,1.25462,-5,NA,NA,NA,NA,-66.003,NA,NA,NA
62384,0.902107,2.19888,-4.56352,NA,NA,NA,NA,NA,-36.554,NA,NA
62450,1.35165,0.891733,-4.92132,NA,NA,NA,NA,NA,-58.487,NA,NA
62671,1.82893,1.89949,-5,NA,NA,-33.962,NA,NA,NA,NA,NA
62878,1.85521,1.7869,-5,NA,NA,NA,NA,-16.213,NA,NA,NA
63079,2.05894,1.7474,-5,-16.826,NA,NA,NA,NA,NA,NA,NA
