id,x0,x1,x2,fitness-1,fitness-2.5,fitness-1.5,fitness-3.5,fitness-3,fitness-2,fitness-0.5,fitness-4,fitness-5,fitness-4.5,fitness0,fitness0.5
5314,-1.90049,4.6053,2.8102,NA,-21.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5586,-1.6544,3.73739,2.3626,NA,NA,-116.604,NA,NA,NA,NA,NA,NA,NA,NA,NA
5734,-3.32204,4.74122,2.97628,NA,-81.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5874,-2.15506,5,3.82109,NA,NA,NA,NA,-40.013,NA,NA,NA,NA,NA,NA,NA
6179,-1.97136,5,4.24847,NA,NA,NA,NA,-54.241,NA,NA,NA,NA,NA,NA,NA
6269,-0.552914,4.28533,5,NA,NA,NA,NA,-152.109,NA,NA,NA,NA,NA,NA,NA
6428,-0.875671,4.10459,5,NA,-101.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6680,-1.80103,4.97139,5,NA,NA,NA,NA,-80.572,NA,NA,NA,NA,NA,NA,NA
6841,-3.55134,5,5,NA,NA,NA,NA,NA,-149.565,NA,NA,NA,NA,NA,NA
7080,-3.83549,5,5,NA,-176.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7297,-3.04829,5,5,NA,-114.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7549,-1.40611,4.74151,3.8787,NA,NA,NA,-59.664,NA,NA,NA,NA,NA,NA,NA,NA
7682,-0.0400597,4.45425,3.98918,NA,NA,NA,NA,NA,-117.722,NA,NA,NA,NA,NA,NA
7838,-0.00927799,5,4.39875,NA,NA,NA,NA,NA,-124.267,NA,NA,NA,NA,NA,NA
8115,-0.203272,5,5,NA,NA,-135.377,NA,NA,NA,NA,NA,NA,NA,NA,NA
8268,-0.629175,5,5,NA,NA,NA,NA,NA,-103.509,NA,NA,NA,NA,NA,NA
8474,-1.1645,5,5,NA,-85.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8659,-1.14668,4.26057,5,NA,NA,NA,-141.478,NA,NA,NA,NA,NA,NA,NA,NA
8905,-1.0757,5,5,NA,NA,NA,NA,-93.6,NA,NA,NA,NA,NA,NA,NA
9045,-1.41056,3.94656,5,NA,-77.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9397,-1.03392,3.1639,5,NA,NA,-131.702,NA,NA,NA,NA,NA,NA,NA,NA,NA
9447,-0.321842,3.40728,5,NA,NA,-171.723,NA,NA,NA,NA,NA,NA,NA,NA,NA
9724,-2.50409,2.72895,5,NA,-147.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9963,-4.04267,3.42856,4.6281,NA,NA,NA,NA,NA,-195.456,NA,NA,NA,NA,NA,NA
10136,-3.06025,3.65951,5,NA,NA,-136.407,NA,NA,NA,NA,NA,NA,NA,NA,NA
10224,-0.939619,4.44269,3.65509,NA,-24.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10452,-1.26159,5,2.84456,NA,NA,NA,-65.952,NA,NA,NA,NA,NA,NA,NA,NA
10767,-2.02824,5,3.84932,NA,NA,NA,NA,-33.215,NA,NA,NA,NA,NA,NA,NA
10959,-1.32948,4.56186,4.90769,NA,NA,NA,NA,NA,NA,NA,-132.576,NA,NA,NA,NA
11146,-3.16315,5,4.78048,NA,NA,NA,NA,-113.765,NA,NA,NA,NA,NA,NA,NA
11315,-2.88022,4.84267,3.96723,NA,-55.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11593,-1.4783,4.52968,2.75163,NA,-19.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11771,-1.8003,5,3.09405,NA,NA,-24.752,NA,NA,NA,NA,NA,NA,NA,NA,NA
11807,-2.03193,3.03895,3.51086,-173.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12038,-1.70813,3.14471,3.35157,NA,NA,-104.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
12385,-0.706118,4.25676,4.17311,NA,NA,NA,NA,NA,-60.654,NA,NA,NA,NA,NA,NA
12507,-2.11604,3.87958,3.93649,NA,NA,NA,NA,-50.017,NA,NA,NA,NA,NA,NA,NA
12771,-0.877581,5,3.60894,NA,NA,NA,NA,-68.927,NA,NA,NA,NA,NA,NA,NA
12976,-0.950053,5,3.37162,NA,-35.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116,-1.86838,5,2.30863,NA,NA,NA,NA,NA,-45.302,NA,NA,NA,NA,NA,NA
13231,-3.55371,4.96676,2.93671,NA,-101.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13553,-2.19124,4.13769,4.21243,NA,NA,NA,NA,-42.235,NA,NA,NA,NA,NA,NA,NA
13774,-2.78409,4.22304,4.46692,NA,NA,-92.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
13969,-2.27751,5,3.00891,NA,NA,-43.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
14150,-1.51299,3.79612,3.76736,-89.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14313,-1.22819,4.51103,2.93286,NA,-22.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14519,-1.81645,2.79306,3.16744,NA,NA,NA,NA,NA,-119.706,NA,NA,NA,NA,NA,NA
14624,-2.53918,3.29546,1.40617,NA,NA,NA,NA,-162.462,NA,NA,NA,NA,NA,NA,NA
14952,-1.43958,4.64159,3.32482,NA,-4.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15001,-0.932509,3.56598,3.27676,NA,-58.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15292,-1.2118,4.34051,3.52857,NA,NA,NA,NA,NA,-8.626,NA,NA,NA,NA,NA,NA
15436,-0.986081,4.14322,3.569,NA,-26.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15673,-1.9367,4.15901,3.4759,NA,NA,NA,-44.859,NA,NA,NA,NA,NA,NA,NA,NA
15890,-3.18914,4.00768,5,NA,NA,NA,NA,-127.748,NA,NA,NA,NA,NA,NA,NA
16100,-3.97537,3.225,4.99752,NA,NA,NA,-234.458,NA,NA,NA,NA,NA,NA,NA,NA
16309,-1.88692,3.56014,5,NA,-92.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16558,-2.22022,4.69388,5,NA,NA,NA,NA,-93.847,NA,NA,NA,NA,NA,NA,NA
16689,-1.8794,5,5,NA,NA,-80.813,NA,NA,NA,NA,NA,NA,NA,NA,NA
16942,-1.58232,2.57706,4.29478,NA,NA,NA,NA,NA,-119.272,NA,NA,NA,NA,NA,NA
17041,-2.19657,4.08909,5,NA,NA,-86.276,NA,NA,NA,NA,NA,NA,NA,NA,NA
17358,-3.14581,3.97152,4.97934,NA,-122.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17583,-2.59758,3.24942,4.60016,NA,NA,NA,-128.074,NA,NA,NA,NA,NA,NA,NA,NA
17674,-2.44483,4.4338,4.95443,NA,NA,NA,NA,NA,NA,NA,NA,-220.166,NA,NA,NA
17962,-2.44584,2.64364,4.20748,NA,NA,NA,NA,NA,NA,NA,-167.848,NA,NA,NA,NA
18110,-3.16007,2.89476,3.71482,NA,NA,NA,NA,NA,NA,NA,-186.117,NA,NA,NA,NA
18340,-2.56223,3.92275,5,NA,NA,NA,NA,NA,NA,NA,NA,-237.783,NA,NA,NA
18414,-2.87325,3.69336,4.58315,NA,NA,NA,NA,NA,NA,NA,NA,-248.031,NA,NA,NA
18753,-1.35862,4.91872,4.45918,NA,NA,NA,NA,NA,NA,NA,NA,-234.761,NA,NA,NA
18956,-0.994263,5,3.83168,NA,NA,NA,-91.632,NA,NA,NA,NA,NA,NA,NA,NA
19026,-0.731333,4.6886,3.70333,NA,NA,-56.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
19370,-0.957825,4.94434,4.03284,NA,-40.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19402,-1.98139,4.5532,5,NA,NA,-88.397,NA,NA,NA,NA,NA,NA,NA,NA,NA
19630,-0.926487,4.2681,4.76056,-126.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19948,0.127625,4.49181,5,NA,NA,NA,NA,NA,-173.491,NA,NA,NA,NA,NA,NA
20135,-0.205921,5,5,NA,-145.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20272,-0.41608,5,3.64056,NA,NA,NA,NA,-96.252,NA,NA,NA,NA,NA,NA,NA
20493,-0.943989,4.61145,3.10445,NA,NA,NA,NA,-38.452,NA,NA,NA,NA,NA,NA,NA
20652,0.252917,4.93295,3.98617,NA,-168.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20832,-0.00415264,5,3.64301,NA,NA,-111.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
21013,-2.22861,5,4.70353,NA,NA,NA,NA,-81.107,NA,NA,NA,NA,NA,NA,NA
21285,-0.750758,5,5,NA,-104.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21500,-1.13711,5,4.0318,NA,NA,NA,NA,NA,-34.073,NA,NA,NA,NA,NA,NA
21630,-0.163305,4.57818,3.21063,NA,NA,-102.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
21964,-1.36158,4.75356,3.32439,NA,-7.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22010,-2.23392,3.80032,3.32571,NA,NA,NA,-62.717,NA,NA,NA,NA,NA,NA,NA,NA
22326,-2.00255,3.73992,2.90384,NA,NA,NA,-64.622,NA,NA,NA,NA,NA,NA,NA,NA
22479,-1.49131,3.43355,4.21286,NA,NA,NA,NA,NA,NA,NA,-112.141,NA,NA,NA,NA
22747,-2.71718,3.65953,4.70912,NA,NA,NA,NA,NA,NA,NA,-161.44,NA,NA,NA,NA
22933,-2.9445,4.33921,5,NA,NA,NA,NA,NA,NA,NA,NA,-265.74,NA,NA,NA
23075,-4.47423,5,4.31535,NA,NA,NA,NA,NA,NA,NA,NA,NA,-308.917,NA,NA
23320,-2.99666,4.5898,4.86116,NA,NA,NA,NA,NA,NA,NA,NA,-252.627,NA,NA,NA
23427,-4.22611,5,5,NA,NA,NA,NA,-227.67,NA,NA,NA,NA,NA,NA,NA
23776,-4.69239,4.84287,4.23878,NA,NA,NA,NA,NA,NA,-308.01,NA,NA,NA,NA,NA
23923,-3.87801,5,1.76123,-304.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24075,-3.12602,5,2.72073,NA,NA,NA,NA,NA,-85.792,NA,NA,NA,NA,NA,NA
24383,-1.78037,5,3.59763,NA,-16.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24534,-1.78744,4.53971,4.81521,NA,NA,NA,NA,NA,-56.91,NA,NA,NA,NA,NA,NA
24759,-2.78772,5,5,NA,NA,-122.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
24912,-3.44849,5,3.9741,NA,NA,NA,NA,NA,-98.974,NA,NA,NA,NA,NA,NA
25181,-2.81502,3.62857,3.94401,NA,-66.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25294,-1.59213,3.54994,2.96679,NA,NA,NA,NA,NA,-46.113,NA,NA,NA,NA,NA,NA
25549,-2.60003,3.15272,3.59589,NA,-75.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25631,-0.604762,4.08657,3.5609,NA,-69.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25986,-1.05516,4.04809,4.72303,NA,NA,NA,-135.164,NA,NA,NA,NA,NA,NA,NA,NA
26065,-1.50658,4.84093,4.41177,NA,NA,NA,NA,-49.213,NA,NA,NA,NA,NA,NA,NA
26276,-1.5709,5,4.33378,NA,NA,NA,NA,-60.877,NA,NA,NA,NA,NA,NA,NA
26475,-2.94055,5,5,NA,NA,NA,-136.271,NA,NA,NA,NA,NA,NA,NA,NA
26709,-2.44745,3.82366,4.28526,NA,NA,NA,NA,NA,NA,NA,-112.887,NA,NA,NA,NA
26888,-2.54698,1.60969,4.48469,NA,-237.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27081,-1.9183,1.89927,3.90882,NA,-175.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27233,-1.61107,2.49068,5,NA,-161.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27421,-1.02343,3.80107,3.13781,NA,NA,NA,NA,NA,-37.749,NA,NA,NA,NA,NA,NA
27633,-1.95946,3.71923,4.05915,NA,NA,NA,NA,-50.679,NA,NA,NA,NA,NA,NA,NA
27881,-1.70205,3.94144,5,NA,NA,-91.524,NA,NA,NA,NA,NA,NA,NA,NA,NA
28184,-0.68398,4.2575,5,-120.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28390,-2.06669,5,4.52907,NA,NA,NA,-89.67,NA,NA,NA,NA,NA,NA,NA,NA
28504,-4.13225,5,5,NA,NA,NA,NA,NA,-202.672,NA,NA,NA,NA,NA,NA
28654,-3.59762,4.46079,4.7975,NA,NA,NA,-170.266,NA,NA,NA,NA,NA,NA,NA,NA
28843,-2.64552,5,4.34554,NA,NA,NA,NA,NA,NA,NA,NA,-223.794,NA,NA,NA
29187,-1.57651,4.80724,3.5333,NA,NA,NA,NA,NA,NA,NA,NA,-202.448,NA,NA,NA
29213,-2.56366,5,3.1944,NA,-36.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29525,-3.58477,4.68021,2.97932,NA,-100.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29645,-3.51405,5,2.3091,NA,-120.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29992,-2.28243,4.4685,2.7127,NA,NA,NA,NA,NA,-34.077,NA,NA,NA,NA,NA,NA
30106,-1.64045,4.41595,4.01488,NA,NA,-35.779,NA,NA,NA,NA,NA,NA,NA,NA,NA
30203,-1.43322,3.81595,2.34025,NA,-55.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30484,-1.74671,4.02381,2.42734,NA,NA,NA,NA,NA,-53.362,NA,NA,NA,NA,NA,NA
30677,-2.29419,3.54211,1.87976,NA,-99.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30844,-2.29989,5,2.77318,NA,NA,NA,NA,NA,-37.318,NA,NA,NA,NA,NA,NA
31028,-2.77001,5,2.97502,NA,-49.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31262,-2.97754,5,2.55594,NA,NA,NA,NA,NA,-76.97,NA,NA,NA,NA,NA,NA
31592,-2.32402,5,2.76901,NA,-35.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31604,-1.56651,5,3.55975,NA,NA,NA,NA,NA,-18.325,NA,NA,NA,NA,NA,NA
31871,-1.29312,4.45714,2.28287,NA,-46.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32052,-0.8567,5,4.35432,NA,NA,NA,NA,-91.23,NA,NA,NA,NA,NA,NA,NA
32302,-2.91892,5,5,NA,-108.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32517,-3.14416,5,3.5683,NA,NA,NA,NA,-83.789,NA,NA,NA,NA,NA,NA,NA
32613,-3.29176,4.84421,4.03939,NA,NA,NA,NA,-90.042,NA,NA,NA,NA,NA,NA,NA
32911,-2.9974,5,4.8362,NA,NA,NA,NA,NA,-102.72,NA,NA,NA,NA,NA,NA
33011,-2.36712,5,4.19119,NA,NA,NA,NA,-58.444,NA,NA,NA,NA,NA,NA,NA
33336,-2.2149,5,4.26717,NA,NA,NA,NA,NA,-41.321,NA,NA,NA,NA,NA,NA
33511,-3.23244,4.16043,4.78876,NA,NA,-120.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
33721,-1.42247,4.05777,5,NA,NA,NA,NA,NA,-75.388,NA,NA,NA,NA,NA,NA
33997,-1.5878,3.56584,4.88222,NA,-85.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34024,-2.16439,3.6294,5,NA,NA,-102.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
34294,-2.22021,3.76999,4.49827,NA,NA,-75.948,NA,NA,NA,NA,NA,NA,NA,NA,NA
34596,-3.25205,3.53565,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-311.121,NA
34627,-3.1215,5,5,NA,NA,-134.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
34977,-2.26652,5,4.74821,NA,NA,-88.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
35060,-0.643823,5,5,NA,NA,NA,NA,NA,NA,-158.837,NA,NA,NA,NA,NA
35262,-1.20436,4.66284,3.87511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-225.631,NA
35489,-1.46453,3.314,3.20696,NA,NA,-115.851,NA,NA,NA,NA,NA,NA,NA,NA,NA
35787,-1.46878,3.61626,3.12512,NA,NA,-46.352,NA,NA,NA,NA,NA,NA,NA,NA,NA
35832,-1.36584,4.77131,4.33589,NA,NA,NA,NA,NA,-38.21,NA,NA,NA,NA,NA,NA
36019,-0.817389,5,4.70258,NA,NA,NA,NA,NA,-78.231,NA,NA,NA,NA,NA,NA
36296,-0.0391693,5,4.34174,NA,NA,NA,NA,-151.08,NA,NA,NA,NA,NA,NA,NA
36552,-0.954093,5,4.52611,NA,-63.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36719,-1.02293,5,4.11969,NA,NA,NA,-109.901,NA,NA,NA,NA,NA,NA,NA,NA
36878,-0.591881,4.65859,4.18258,NA,NA,NA,NA,-83.38,NA,NA,NA,NA,NA,NA,NA
37128,-0.780906,4.94415,5,NA,NA,NA,NA,NA,NA,NA,-178.318,NA,NA,NA,NA
37370,-1.27046,5,4.78777,NA,NA,NA,NA,-76.88,NA,NA,NA,NA,NA,NA,NA
37402,-1.42703,4.93625,3.37171,NA,NA,-34.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
37669,-0.394832,5,3.15001,-125.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37975,-1.9935,3.96022,3.87432,NA,NA,NA,NA,NA,-30.691,NA,NA,NA,NA,NA,NA
38192,-1.91621,3.98198,4.30645,NA,-37.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38375,-1.39249,5,5,NA,-83.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38584,-2.38657,3.88919,3.75305,NA,NA,NA,NA,NA,-38.423,NA,NA,NA,NA,NA,NA
38680,-1.74036,3.93853,4.48217,NA,NA,-58.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
38961,-1.49135,4.76186,4.25991,NA,NA,-50.839,NA,NA,NA,NA,NA,NA,NA,NA,NA
39003,-2.28148,4.55589,4.07199,NA,NA,-47.338,NA,NA,NA,NA,NA,NA,NA,NA,NA
39328,-2.19426,4.18037,3.77476,NA,NA,NA,NA,NA,-21.934,NA,NA,NA,NA,NA,NA
39464,-1.59771,3.3238,4.08878,NA,NA,NA,NA,NA,-58.4,NA,NA,NA,NA,NA,NA
39661,-2.03271,3.80595,3.62847,NA,NA,NA,-64.861,NA,NA,NA,NA,NA,NA,NA,NA
39989,-2.29508,3.77839,2.93882,NA,NA,NA,NA,NA,-44.313,NA,NA,NA,NA,NA,NA
40082,-2.43386,3.22308,3.78779,NA,NA,NA,NA,NA,-86.14,NA,NA,NA,NA,NA,NA
40286,-2.12518,2.33922,3.40723,NA,NA,NA,NA,NA,-139.121,NA,NA,NA,NA,NA,NA
40461,-1.81406,3.98944,4.37551,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134.291,NA,NA
40713,-0.866569,4.74677,3.13813,NA,NA,NA,NA,NA,NA,NA,-120.117,NA,NA,NA,NA
40850,-2.50287,3.68106,2.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,-160.141,NA,NA
41095,-3.01304,4.0899,2.44304,NA,NA,NA,NA,NA,NA,NA,-138.982,NA,NA,NA,NA
41333,-2.07257,4.79611,3.66316,NA,NA,NA,NA,NA,-17.082,NA,NA,NA,NA,NA,NA
41571,-2.3072,5,4.20762,NA,NA,NA,NA,-49.384,NA,NA,NA,NA,NA,NA,NA
41688,-4.29112,4.35828,3.8148,-233.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41977,-2.70499,5,3.83703,NA,NA,NA,NA,NA,-49.583,NA,NA,NA,NA,NA,NA
42126,-2.79552,5,2.72098,NA,-56.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42239,-2.45966,4.16026,2.81856,NA,NA,NA,NA,NA,-46.332,NA,NA,NA,NA,NA,NA
42486,-1.7768,4.75308,3.89814,-57.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42748,-0.386696,5,3.12582,NA,NA,-94.518,NA,NA,NA,NA,NA,NA,NA,NA,NA
42901,-0.458788,3.96016,4.1182,NA,-91.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43170,-0.609889,4.64606,4.48766,NA,NA,NA,NA,NA,-74.586,NA,NA,NA,NA,NA,NA
43248,-1.81985,4.85616,3.44667,NA,-16.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43523,-1.4344,4.96525,3.50828,NA,NA,NA,NA,NA,-14.463,NA,NA,NA,NA,NA,NA
43601,-1.4281,4.36537,4.12364,NA,-27.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43936,-1.53188,4.78954,2.91965,NA,NA,NA,NA,NA,-15.226,NA,NA,NA,NA,NA,NA
44046,-0.846693,4.07789,3.40428,NA,NA,NA,NA,NA,-34.688,NA,NA,NA,NA,NA,NA
44343,-1.68222,4.41862,5,NA,NA,NA,NA,NA,NA,-163.007,NA,NA,NA,NA,NA
44442,-1.15191,5,4.35402,NA,NA,-54.192,NA,NA,NA,NA,NA,NA,NA,NA,NA
44619,-1.99314,5,3.2809,NA,NA,NA,NA,NA,-17.828,NA,NA,NA,NA,NA,NA
44954,-1.98545,5,5,NA,NA,NA,NA,-99.162,NA,NA,NA,NA,NA,NA,NA
45174,-2.3703,5,2.70243,NA,-38.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45289,-1.89507,4.97012,2.95451,NA,NA,NA,NA,NA,-20.825,NA,NA,NA,NA,NA,NA
45573,-1.63693,5,2.35374,NA,NA,NA,NA,-59.491,NA,NA,NA,NA,NA,NA,NA
45734,-1.19295,4.14054,3.39411,NA,-23.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45817,-0.836401,5,3.66779,NA,NA,NA,NA,-57.278,NA,NA,NA,NA,NA,NA,NA
46024,0.0915642,5,4.52804,NA,NA,NA,NA,NA,NA,NA,-269.511,NA,NA,NA,NA
46223,0.16954,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-444.092,NA,NA
46464,-0.139211,5,5,NA,-145.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46789,-0.84771,5,2.5071,-112.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46962,-1.00616,5,2.5301,NA,NA,-83.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
47099,-1.13235,5,2.72357,NA,-40.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47368,-0.453694,4.49177,2.46048,NA,NA,NA,NA,-123.897,NA,NA,NA,NA,NA,NA,NA
47435,-0.33266,3.33158,1.69865,NA,NA,NA,-359.789,NA,NA,NA,NA,NA,NA,NA,NA
47629,-0.57678,3.45372,1.26963,NA,NA,NA,NA,NA,NA,NA,NA,NA,-484.703,NA,NA
47805,-0.514563,3.87746,2.24347,NA,NA,NA,NA,NA,NA,NA,NA,NA,-316.763,NA,NA
48124,-2.13515,5,2.79818,NA,-31.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48361,-1.33356,5,2.86978,NA,NA,NA,-60.412,NA,NA,NA,NA,NA,NA,NA,NA
48509,-1.92193,5,3.64144,NA,-24.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48783,-1.51833,5,4.03404,NA,NA,NA,NA,-38.222,NA,NA,NA,NA,NA,NA,NA
48997,-1.01667,5,2.78583,NA,NA,NA,NA,NA,-40.706,NA,NA,NA,NA,NA,NA
49143,-1.23982,5,3.29808,NA,NA,NA,NA,NA,-21.014,NA,NA,NA,NA,NA,NA
49259,-1.82314,5,5,NA,NA,NA,NA,NA,NA,NA,-133.483,NA,NA,NA,NA
49565,-1.46059,5,4.01379,NA,NA,NA,NA,-43.751,NA,NA,NA,NA,NA,NA,NA
49795,-0.954838,4.84137,2.91132,NA,NA,NA,NA,NA,-31.955,NA,NA,NA,NA,NA,NA
49888,-1.17009,5,2.50877,NA,NA,NA,NA,NA,-50.406,NA,NA,NA,NA,NA,NA
