id,x0,x1,x2,fitness5.5,fitness7,fitness6.5,fitness8,fitness7.5,fitness8.5,fitness9,fitness9.5,fitness6,fitness10.5,fitness10
20264,9.81932,7.8327,7.6082,NA,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA
20445,9.50598,6.99961,7.7278,NA,NA,NA,NA,NA,NA,0.314,NA,NA,NA,NA
20657,8.91326,7.4645,8.98262,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA
20969,8.33491,7.72813,8.71994,NA,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA
21076,7.71691,7.5384,8.22107,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA
21392,7.60996,8.19906,8.85542,NA,NA,NA,NA,0.732,NA,NA,NA,NA,NA,NA
21460,6.64116,7.22552,8.09375,NA,NA,NA,0.689,NA,NA,NA,NA,NA,NA,NA
21699,7.56714,8.27341,7.34686,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA
21965,7.50771,8.56344,8.17508,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA
22014,8.42151,8.35124,8.03505,NA,NA,NA,NA,NA,NA,NA,NA,0.416,NA,NA
22358,8.87849,7.56656,7.28705,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
22567,7.81762,8.43825,8.37842,NA,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA
22670,8.09445,7.02589,7.55176,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA
22861,8.19106,8.60224,7.9255,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA
23079,8.08996,8.07418,8.00275,NA,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA
23201,8.12936,8.29736,7.85593,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
23443,8.40944,8.52757,9.28686,NA,NA,NA,NA,0.434,NA,NA,NA,NA,NA,NA
23654,7.96376,7.17981,9.31206,NA,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA
23990,8.50016,7.76015,7.9993,NA,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA
24123,7.83202,8.087,7.87899,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA
24330,7.97684,7.1567,7.31776,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA
24464,7.26344,6.44985,8.18875,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA
24789,7.0386,7.82272,8.41384,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA
24863,8.87294,6.41535,8.40361,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA
25065,7.41001,6.83367,7.18104,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA
25257,7.92278,7.23667,6.86283,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
25542,8.12235,6.85361,7.48625,NA,NA,0.516,NA,NA,NA,NA,NA,NA,NA,NA
25743,8.53913,8.66475,8.11965,NA,NA,NA,NA,0.688,NA,NA,NA,NA,NA,NA
25865,8.66431,8.42096,9.2223,NA,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA
26082,7.72782,8.5467,7.61248,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA
26245,8.03566,8.7348,7.63783,NA,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA
26404,7.86245,6.24994,7.70382,NA,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA
26660,8.69088,7.95061,7.11638,NA,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA
26992,8.74333,6.76881,7.69123,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA
27140,8.18735,6.55005,8.86581,NA,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA
27214,8.644,7.59991,7.14739,NA,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA
27577,8.32261,7.57021,7.54673,NA,NA,NA,NA,NA,NA,NA,0.545,NA,NA,NA
27603,8.38938,7.25444,8.09698,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA
27805,6.36902,7.3321,7.85366,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA
28052,7.58011,8.66684,8.3214,NA,NA,NA,NA,NA,NA,0.546,NA,NA,NA,NA
28233,7.80172,7.77158,7.83306,NA,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA
28410,7.18595,7.92925,8.75036,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA
28726,6.31383,6.61,7.82054,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA
28808,7.19822,7.71171,8.5813,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA
29059,8.00304,9.04782,8.44514,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA
29304,7.4126,7.95786,8.98947,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA,NA
29553,8.02572,7.95656,8.12574,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29656,7.5041,7.46691,8.1172,NA,NA,NA,NA,0.929,NA,NA,NA,NA,NA,NA
29889,6.35321,7.61383,7.93467,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
30081,7.88314,9.01162,7.38293,NA,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA
30218,8.54833,9.58974,8.02108,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA,NA
30435,8.32585,7.33895,7.94135,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA
30720,8.37263,6.74386,7.59993,NA,NA,NA,NA,NA,0.567,NA,NA,NA,NA,NA
30896,7.36686,7.86918,7.88915,NA,NA,NA,0.962,NA,NA,NA,NA,NA,NA,NA
31001,8.10368,6.74445,7.17007,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA,NA
31263,7.8313,7.9837,7.22912,NA,NA,NA,0.921,NA,NA,NA,NA,NA,NA,NA
31401,7.01625,8.41474,7.58363,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA
31666,8.25305,6.59123,7.89009,NA,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA
31849,7.2507,7.35279,9.57158,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA
32041,7.70081,6.98194,8.94825,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA
32267,7.43082,7.47128,9.43435,NA,NA,NA,NA,0.612,NA,NA,NA,NA,NA,NA
32410,8.09366,7.634,8.61874,NA,NA,NA,NA,NA,NA,NA,0.501,NA,NA,NA
32713,7.47948,7.58233,7.79078,NA,NA,NA,0.981,NA,NA,NA,NA,NA,NA,NA
32900,8.57493,8.14366,7.54971,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA
33170,7.72941,7.27746,6.91613,NA,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA
33342,8.01388,8.45475,7.74961,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA
33580,7.01281,8.336,6.65151,NA,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA
33772,8.37036,7.28225,6.41066,NA,NA,NA,NA,0.547,NA,NA,NA,NA,NA,NA
33863,7.45576,8.08411,8.19521,NA,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA
34080,8.06899,8.1059,9.67972,NA,NA,NA,NA,NA,0.361,NA,NA,NA,NA,NA
34202,7.40441,7.50883,8.69845,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA
34451,7.50337,7.10727,8.70982,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA
34663,7.75803,7.66039,8.18076,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA
34814,9.00677,7.08059,7.82913,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA
35026,9.13611,9.31719,8.48255,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA
35381,8.0628,8.9986,7.73545,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA
35578,7.65521,9.20427,8.07882,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA
35729,7.95708,9.09973,8.57739,NA,NA,NA,NA,NA,0.449,NA,NA,NA,NA,NA
35944,8.27572,9.07708,8.00665,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA
36106,7.07738,10.5,8.38898,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA
36374,7.81806,9.24608,8.51429,NA,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA
36583,8.27052,8.12393,7.18376,NA,NA,NA,NA,0.827,NA,NA,NA,NA,NA,NA
36725,8.24351,6.75126,7.15992,NA,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA
36844,8.15329,7.44191,7.53564,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA
37102,7.29804,8.35117,9.31396,NA,NA,NA,NA,0.558,NA,NA,NA,NA,NA,NA
37388,6.83718,8.32202,8.45221,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA
37574,7.20348,7.38169,8.15086,NA,NA,NA,NA,0.864,NA,NA,NA,NA,NA,NA
37649,7.67679,7.77767,8.93707,NA,NA,NA,NA,NA,0.667,NA,NA,NA,NA,NA
37830,7.46878,6.89598,8.13452,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA
38027,7.87268,7.70678,8.90968,NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,NA
38210,7.58309,7.19774,8.06137,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA
38527,7.36552,6.24939,7.58142,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
38621,7.90912,6.67106,7.19063,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA
38868,7.26151,7.55601,6.47635,NA,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA
39023,7.87129,7.24271,7.88639,NA,NA,NA,NA,NA,NA,0.735,NA,NA,NA,NA
39284,7.29127,7.945,7.03624,NA,NA,NA,NA,NA,0.767,NA,NA,NA,NA,NA
39512,8.19499,6.38459,7.68762,NA,NA,NA,NA,0.626,NA,NA,NA,NA,NA,NA
39717,7.92306,7.16659,7.13681,NA,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA
39966,6.83074,7.38187,7.45343,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA
40186,7.19823,6.18863,6.7984,NA,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA
40319,7.89642,7.29672,6.99021,NA,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA
40572,7.97938,8.1628,7.31648,NA,NA,NA,NA,0.912,NA,NA,NA,NA,NA,NA
40724,7.79313,8.38452,6.78255,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA
40938,8.36609,7.05875,7.51404,NA,NA,NA,NA,NA,0.714,NA,NA,NA,NA,NA
41130,8.16911,5.97362,8.96,NA,NA,NA,NA,0.267,NA,NA,NA,NA,NA,NA
41208,9.03833,6.92241,7.3493,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA
41411,8.70126,8.07386,7.17659,NA,NA,NA,NA,0.734,NA,NA,NA,NA,NA,NA
41608,8.65369,7.79587,6.42896,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA,NA
41979,8.44292,7.98806,6.85857,NA,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA
42053,8.10566,8.24725,7.33355,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA
42284,7.25866,8.24972,7.28354,NA,NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA
42526,7.40899,8.56501,8.21191,NA,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA
42724,7.5535,7.44208,8.25681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423,NA
42825,8.03248,7.36278,7.85522,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA
43121,8.62192,6.0902,7.29251,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA
43232,9.54389,7.42671,8.25865,NA,NA,NA,NA,0.535,NA,NA,NA,NA,NA,NA
43519,8.48498,7.20608,8.33339,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA
43630,6.93512,7.54555,7.49663,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA
43972,7.21468,7.29261,6.99781,NA,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA
44187,8.20393,8.28692,7.46813,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA
44333,8.44158,8.18898,6.19603,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA
44517,7.77756,8.62712,6.82401,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA
44758,7.73909,7.43688,7.27535,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA
44992,7.58215,7.50349,8.85678,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA,NA
45133,8.6454,7.55078,8.21434,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA
45311,8.42572,7.13892,8.10425,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA
45502,8.58751,7.76673,7.28932,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA
45679,8.35094,7.42685,6.97436,NA,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
45979,8.77716,7.75697,8.21783,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA
46086,8.46848,8.72143,7.47469,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA,NA
46352,8.36696,7.28458,7.58418,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA,NA
46587,7.72617,7.37228,7.43385,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA
46663,8.10541,8.21941,7.9825,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA
46986,7.48432,6.69021,8.51901,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA
47042,7.35604,6.97026,8.12378,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA
47382,6.34818,8.0929,8.84097,NA,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA
47447,7.12024,7.98995,7.74728,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA
47675,8.01305,7.70426,7.14273,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA
47909,7.40182,7.1733,7.46752,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA,NA
48041,6.80205,8.5941,7.91063,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
48284,7.57808,8.34063,6.65982,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA
48498,7.61463,8.12191,6.4489,NA,NA,NA,NA,0.659,NA,NA,NA,NA,NA,NA
48733,6.88831,8.59533,7.41919,NA,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA
48893,7.54879,8.96734,7.76201,NA,NA,NA,NA,NA,NA,NA,NA,0.359,NA,NA
49069,7.98298,8.4964,6.89291,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA
49270,7.60459,7.74039,7.35392,NA,NA,NA,NA,NA,0.849,NA,NA,NA,NA,NA
49446,8.30893,8.96488,8.84817,NA,NA,NA,NA,NA,NA,0.186,NA,NA,NA,NA
49717,7.93566,8.50954,8.2837,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA
49868,9.49304,8.15766,6.889,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA
50053,8.51308,8.36617,7.97803,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA
50386,6.56069,7.82701,6.84614,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA
50598,8.24027,8.40184,7.04284,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
50755,7.71457,7.98963,7.51324,NA,NA,NA,0.972,NA,NA,NA,NA,NA,NA,NA
50966,7.63117,7.52504,6.29887,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA
51152,6.04545,7.55207,4.6778,NA,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA
51281,7.22725,6.65339,3.7584,NA,NA,NA,NA,0.618,NA,NA,NA,NA,NA,NA
51589,8.32988,6.28576,4.16774,NA,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA
51618,8.07729,7.10162,4.16704,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA
51863,8.53845,7.38007,4.79735,NA,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
52180,8.56144,7.02375,4.23284,NA,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA
52282,8.14114,8.11519,4.30007,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA
52408,7.10186,7.20921,4.02867,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA
52603,8.58404,7.1755,4.25788,NA,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA
52889,9.74337,8.05701,3.67193,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA
53099,8.49241,6.37691,3.79984,NA,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA
