id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-4.5,fitness-5,fitness-4,fitness-3
11854,-1.45784,3.01132,-5,NA,NA,NA,-66.576,NA,NA
12115,-1.07506,3.23114,-5,NA,NA,-72.929,NA,NA,NA
12353,-1.70204,4.25867,-4.81454,NA,NA,-35.542,NA,NA,NA
12432,-1.5194,4.8413,-4.70222,NA,NA,NA,-74.336,NA,NA
12680,-2.39681,3.63758,-4.93776,NA,NA,-50.113,NA,NA,NA
12804,-1.21726,4.54703,-5,NA,NA,-64.327,NA,NA,NA
13084,-2.7494,5,-3.85193,NA,NA,NA,-119.213,NA,NA
13327,-1.18497,5,-4.75725,NA,NA,NA,NA,-105.212,NA
13526,-2.00412,4.82094,-4.38787,NA,NA,-64.039,NA,NA,NA
13635,-2.36223,4.33181,-4.83135,NA,NA,NA,-47.794,NA,NA
13848,-2.77629,4.02364,-4.97509,NA,NA,NA,-69.255,NA,NA
14031,-2.1198,4.46454,-4.64807,NA,NA,NA,-60.703,NA,NA
14363,-2.11927,3.97523,-4.14188,NA,NA,NA,-70.649,NA,NA
14446,-2.79606,4.61161,-3.45078,NA,NA,NA,-125.481,NA,NA
14605,-2.23844,3.38889,-4.93022,NA,NA,NA,NA,-52.694,NA
14805,-1.60406,4.58871,-5,NA,NA,-58.47,NA,NA,NA
15110,-1.68593,4.35557,-5,NA,NA,NA,-42.893,NA,NA
15225,-2.11637,3.66203,-5,NA,NA,NA,-46.927,NA,NA
15436,-2.5813,3.95353,-5,NA,NA,NA,-57.459,NA,NA
15721,-1.08749,3.92781,-5,NA,NA,NA,-79.755,NA,NA
15923,-1.7449,4.65436,-5,NA,NA,NA,-74.353,NA,NA
16172,-1.85961,3.73197,-5,NA,NA,NA,-38.548,NA,NA
16290,-2.27017,3.93401,-5,NA,NA,NA,NA,-40.986,NA
16600,-2.14043,4.44937,-5,NA,NA,-51.05,NA,NA,NA
16668,-2.92071,5,-5,NA,NA,NA,-98.793,NA,NA
16882,-1.32141,3.86303,-5,NA,NA,-14.403,NA,NA,NA
17130,-1.96435,3.17937,-4.84233,NA,NA,NA,-64.136,NA,NA
17267,-2.05203,4.64957,-5,NA,NA,NA,-54.44,NA,NA
17500,-1.61224,4.60518,-4.29487,NA,NA,-85.702,NA,NA,NA
17764,-1.53619,4.21798,-5,NA,NA,NA,-51.298,NA,NA
17918,-1.3123,4.01142,-5,NA,NA,NA,-49.256,NA,NA
18066,-1.31524,3.22442,-4.344,NA,NA,NA,-73.334,NA,NA
18289,-1.57338,3.95495,-5,NA,NA,NA,-45.722,NA,NA
18445,-1.37304,3.16114,-5,NA,NA,-45.031,NA,NA,NA
18786,-1.3745,3.49752,-5,NA,NA,NA,NA,-11.465,NA
18962,-2.9117,3.90345,-5,NA,NA,-62.666,NA,NA,NA
19041,-2.17648,3.91497,-4.6704,NA,NA,-43.844,NA,NA,NA
19344,-2.65654,3.78309,-4.81952,NA,NA,-66.24,NA,NA,NA
19448,-1.42352,3.70281,-4.94147,NA,NA,-2.107,NA,NA,NA
19758,-1.51623,3.25612,-5,NA,NA,NA,-63.186,NA,NA
19849,-1.45192,3.63006,-4.97266,NA,NA,NA,-31.501,NA,NA
20034,-2.58307,4.68579,-4.59246,NA,NA,-74.602,NA,NA,NA
20340,-1.76511,4.41166,-5,NA,NA,NA,NA,-48.799,NA
20591,-1.57264,4.75122,-5,NA,NA,NA,-74.096,NA,NA
20697,-1.34318,3.44258,-4.4706,NA,NA,NA,-50.755,NA,NA
20802,-1.82937,2.94337,-4.54023,NA,NA,NA,-85.848,NA,NA
21088,-2.53861,3.14818,-5,NA,NA,-75.412,NA,NA,NA
21208,-2.23975,4.07379,-3.83382,NA,NA,NA,-81.244,NA,NA
21527,-1.63721,2.68238,-4.96229,NA,NA,-104.937,NA,NA,NA
21640,-1.95017,3.7973,-5,NA,NA,NA,-34.919,NA,NA
21820,-1.34209,3.94934,-5,NA,NA,-22.724,NA,NA,NA
22064,-2.01488,3.71815,-5,NA,NA,-33.138,NA,NA,NA
22219,-1.97386,2.94118,-5,NA,NA,NA,-59.178,NA,NA
22405,-2.20214,3.50977,-4.86143,NA,NA,NA,-51.348,NA,NA
22691,-1.47155,4.05921,-5,NA,NA,NA,-38.278,NA,NA
22953,-2.14977,3.67367,-4.97453,NA,NA,NA,-48.961,NA,NA
23025,-1.66966,4.33308,-5,NA,NA,NA,-41.417,NA,NA
23340,-1.52706,3.49289,-5,NA,NA,NA,-49.667,NA,NA
23600,-2.48035,3.51682,-5,NA,NA,-58.045,NA,NA,NA
23709,-1.6234,3.05887,-5,NA,NA,NA,-71.042,NA,NA
23834,-1.73855,3.14842,-5,NA,NA,NA,-66.511,NA,NA
24069,-2.1154,3.18847,-5,NA,NA,NA,-62.933,NA,NA
24229,-1.90882,4.01194,-4.99149,NA,NA,NA,NA,-28.297,NA
24457,-1.20333,3.27213,-4.78746,NA,NA,-53.831,NA,NA,NA
24726,-1.817,3.44518,-4.81848,NA,NA,-22.865,NA,NA,NA
24916,-2.46985,3.73073,-4.98376,NA,NA,-51.275,NA,NA,NA
25165,-2.63843,3.11812,-5,NA,NA,NA,NA,-86.239,NA
25322,-1.85556,3.96937,-4.69528,NA,NA,NA,-45.459,NA,NA
25446,-2.09332,4.3788,-4.89041,NA,NA,NA,-63.093,NA,NA
25702,-1.88737,5,-5,NA,NA,NA,-74.242,NA,NA
25897,-2.25577,3.83182,-5,NA,NA,NA,NA,-73.094,NA
26187,-1.75164,3.57014,-5,NA,NA,-14.518,NA,NA,NA
26293,-1.59689,3.71036,-5,NA,NA,NA,-28.811,NA,NA
26421,-1.81569,3.67712,-5,NA,NA,NA,NA,-14.401,NA
26601,-2.03019,3.59518,-5,NA,NA,NA,NA,-42.558,NA
26860,-1.98992,4.30686,-4.82521,NA,NA,NA,NA,-35.696,NA
27060,-1.8071,4.81574,-5,-91.344,NA,NA,NA,NA,NA
27363,-1.75922,3.95302,-4.938,NA,NA,NA,-50.105,NA,NA
27500,-1.47464,4.55124,-5,NA,NA,NA,-59.743,NA,NA
27787,-1.35527,4.03613,-5,NA,NA,NA,-50.124,NA,NA
27921,-1.51509,3.18416,-5,NA,NA,NA,-68.74,NA,NA
28030,-2.45859,4.18828,-5,NA,NA,NA,NA,-57.992,NA
28310,-2.42479,4.26408,-5,NA,NA,NA,-54.943,NA,NA
28513,-1.70176,4.06317,-5,NA,NA,NA,-42.66,NA,NA
28785,-1.91956,5,-4.40228,NA,NA,-82.598,NA,NA,NA
28921,-1.97186,5,-5,NA,NA,NA,-81.494,NA,NA
29021,-1.62896,4.21639,-4.48026,NA,NA,NA,-66.015,NA,NA
29283,-1.47749,3.78311,-5,NA,NA,NA,-35.317,NA,NA
29435,-2.60854,4.46311,-5,NA,NA,NA,-67.644,NA,NA
29627,-2.23221,3.69725,-4.84989,NA,NA,NA,-59.898,NA,NA
29872,-2.35253,3.69459,-4.40947,NA,NA,NA,-52.973,NA,NA
30073,-2.88427,4.51234,-5,NA,NA,NA,-82.632,NA,NA
30338,-1.78888,3.76499,-4.40727,NA,NA,-39.132,NA,NA,NA
30506,-1.33385,4.28908,-4.4651,NA,NA,NA,-51.562,NA,NA
30747,-1.52993,4.54688,-5,NA,NA,NA,-61.97,NA,NA
30944,-2.21895,3.31086,-5,NA,NA,NA,-55.687,NA,NA
31015,-1.74455,3.55438,-4.45088,NA,NA,NA,-56.645,NA,NA
31245,-1.25827,3.77994,-5,NA,NA,NA,-46.765,NA,NA
31468,-1.93768,3.95039,-4.92258,NA,NA,NA,-37.598,NA,NA
31757,-1.94252,4.31959,-4.96621,NA,NA,NA,-53.234,NA,NA
31911,-2.31827,3.80893,-5,NA,NA,-36.12,NA,NA,NA
32092,-1.71521,3.62728,-5,NA,NA,NA,-46.129,NA,NA
32386,-1.87353,2.96442,-5,NA,NA,NA,-75.397,NA,NA
32412,-2.26912,3.32467,-4.9771,NA,NA,-55.634,NA,NA,NA
32625,-2.05791,3.73838,-5,NA,NA,NA,NA,-36.051,NA
32850,-2.36084,3.33623,-4.76815,NA,NA,NA,-47.124,NA,NA
33034,-1.85619,3.90145,-5,NA,NA,NA,NA,-34.27,NA
33264,-2.75506,4.11933,-4.78223,NA,NA,NA,-66.976,NA,NA
33600,-2.63926,4.56561,-5,NA,NA,NA,-69.36,NA,NA
33697,-1.5452,3.43732,-5,NA,NA,-23.343,NA,NA,NA
33832,-2.0516,4.03508,-4.59323,NA,NA,NA,-51.399,NA,NA
34089,-1.96819,4.08872,-5,NA,NA,NA,-51.053,NA,NA
34261,-0.861366,4.13436,-5,NA,NA,NA,-90.578,NA,NA
34596,-0.831456,2.86245,-5,NA,NA,NA,-116.45,NA,NA
34639,-1.88867,3.64706,-5,NA,NA,NA,NA,-22.122,NA
34985,-2.13394,4.07261,-5,NA,NA,-38.026,NA,NA,NA
35079,-2.7786,4.09465,-4.65783,NA,NA,NA,-72.004,NA,NA
35231,-1.17668,3.97061,-4.45485,NA,NA,NA,-60.223,NA,NA
35485,-1.80531,3.35756,-5,NA,NA,-33.488,NA,NA,NA
35747,-0.706239,4.19212,-5,NA,NA,-68.245,NA,NA,NA
35887,-1.44261,3.32988,-4.95873,NA,NA,NA,-46.173,NA,NA
36082,-0.990644,4.18173,-4.90849,NA,NA,NA,NA,-75.972,NA
36214,-1.82939,4.34004,-5,NA,NA,-42.293,NA,NA,NA
36434,-1.52842,4.22747,-5,NA,NA,NA,-52.855,NA,NA
36766,-2.17659,4.61404,-4.93776,NA,NA,NA,-59.578,NA,NA
36838,-2.36798,4.8857,-5,NA,NA,-69.926,NA,NA,NA
37097,-1.33471,5,-5,NA,NA,-77.77,NA,NA,NA
37302,-1.1558,3.56538,-5,NA,NA,NA,-60.139,NA,NA
37562,-1.45395,3.66571,-5,NA,NA,NA,-39.491,NA,NA
37780,-1.43126,3.40062,-5,NA,NA,-35.19,NA,NA,NA
37893,-2.03467,4.10728,-5,NA,NA,NA,NA,-36.192,NA
38113,-1.96392,4.86822,-5,NA,NA,NA,-67.408,NA,NA
38364,-1.77585,4.04188,-5,NA,NA,NA,-44.348,NA,NA
38579,-1.38034,3.30932,-4.29199,NA,NA,NA,-44.915,NA,NA
38642,-2.00888,3.91178,-5,NA,NA,NA,-36.908,NA,NA
38907,-1.62483,4.80141,-5,NA,NA,NA,-78.898,NA,NA
39078,-1.5134,4.10497,-4.64124,NA,NA,-25.282,NA,NA,NA
39208,-0.787997,3.82067,-5,NA,NA,NA,-62.279,NA,NA
39464,-1.82262,4.30995,-5,NA,NA,NA,-47.764,NA,NA
39695,-1.60134,3.91347,-5,NA,NA,NA,-48.19,NA,NA
39838,-2.16843,4.18791,-5,NA,NA,NA,-52.881,NA,NA
40131,-1.26921,4.01693,-5,NA,NA,NA,-52.773,NA,NA
40264,-2.6679,3.72999,-5,NA,NA,NA,-57.813,NA,NA
40406,-2.16805,4.14636,-5,NA,NA,-42.628,NA,NA,NA
40780,-1.59049,3.30619,-5,NA,NA,-26.735,NA,NA,NA
40911,-1.22814,4.03309,-5,NA,NA,NA,-41.275,NA,NA
41199,-1.52705,4.13579,-5,NA,NA,NA,-49.516,NA,NA
41302,-2.23603,3.80215,-4.98243,NA,NA,NA,-59.822,NA,NA
41470,-2.1034,4.03459,-4.38271,NA,NA,NA,-58.685,NA,NA
41800,-2.46232,4.0573,-4.52243,NA,NA,NA,-62.98,NA,NA
41866,-2.04595,5,-5,NA,NA,NA,-81.688,NA,NA
42088,-1.60567,4.1551,-4.97709,NA,NA,-29.064,NA,NA,NA
42238,-1.31122,3.87006,-5,NA,NA,NA,NA,-21.623,NA
42416,-2.07315,3.38116,-4.68284,NA,NA,-46.681,NA,NA,NA
42670,-1.77924,4.41446,-5,NA,NA,-46.347,NA,NA,NA
42810,-1.69033,4.42239,-5,NA,NA,NA,NA,-50.345,NA
43067,-2.22729,3.12789,-5,NA,NA,NA,-73.078,NA,NA
43264,-1.47644,3.78656,-5,NA,NA,NA,-35.176,NA,NA
43518,-1.68252,3.19514,-4.5828,NA,NA,-44.092,NA,NA,NA
43655,-1.63486,3.65953,-5,NA,NA,-4.95,NA,NA,NA
43952,-1.71065,4.25041,-5,NA,NA,NA,-36.968,NA,NA
44049,-1.14285,4.34397,-5,NA,NA,-59.349,NA,NA,NA
44234,-1.66908,3.63667,-5,NA,NA,NA,NA,-10.589,NA
44556,-1.9928,3.54819,-4.52697,NA,NA,-37.886,NA,NA,NA
44748,-1.28219,4.38409,-4.28011,NA,NA,NA,-68.889,NA,NA
44996,-2.14774,4.02507,-5,NA,NA,NA,-49.864,NA,NA
45150,-2.3339,4.12494,-5,NA,NA,-48.879,NA,NA,NA
45254,-1.72505,4.33523,-4.91076,NA,NA,NA,-36.54,NA,NA
45488,-2.48449,4.15666,-5,NA,NA,NA,-60.491,NA,NA
45679,-2.20384,4.27458,-4.53549,NA,NA,-53.435,NA,NA,NA
45919,-1.96594,4.05482,-5,NA,NA,-32.117,NA,NA,NA
46034,-1.49797,3.35607,-5,NA,NA,-16.676,NA,NA,NA
46226,-1.14307,3.4568,-5,NA,NA,NA,-53.544,NA,NA
46596,-2.28789,3.62077,-5,NA,NA,NA,-57.488,NA,NA
46721,-2.1035,3.47055,-5,NA,NA,NA,-60.725,NA,NA
46924,-1.41756,3.61524,-4.9819,NA,NA,-23.581,NA,NA,NA
47003,-1.84067,3.13109,-5,NA,NA,-48.429,NA,NA,NA
47235,-1.45919,3.80487,-4.39744,NA,NA,-20.038,NA,NA,NA
47476,-1.75001,4.25348,-5,NA,NA,NA,-36.857,NA,NA
47748,-2.0837,3.96998,-5,NA,NA,NA,-44.06,NA,NA
47984,-1.89988,4.1985,-5,NA,NA,NA,-53.53,NA,NA
48147,-2.60772,3.62425,-5,NA,NA,NA,-63.124,NA,NA
48287,-2.52193,4.06623,-5,NA,NA,NA,-61.411,NA,NA
48592,-2.70765,4.35102,-4.83722,NA,NA,NA,-78.49,NA,NA
48780,-2.27546,3.64982,-5,NA,NA,NA,-58.663,NA,NA
48930,-1.70204,4.14825,-5,NA,NA,NA,-37.984,NA,NA
49086,-1.5574,3.84455,-5,NA,NA,NA,NA,-9.499,NA
49355,-2.6686,3.1453,-5,NA,NA,NA,NA,-81.529,NA
49565,-2.06808,3.72,-5,NA,NA,NA,-39.735,NA,NA
49796,-2.42041,4.21522,-5,NA,NA,NA,-53.903,NA,NA
49808,-1.59359,4.15641,-5,NA,NA,-31.812,NA,NA,NA
50181,-1.97837,3.28155,-4.5086,NA,NA,NA,-57.082,NA,NA
50278,-2.4317,2.95734,-5,NA,NA,-72.468,NA,NA,NA
50485,-2.51891,4.5037,-4.75666,NA,NA,NA,-68.001,NA,NA
50794,-1.53556,3.90558,-5,NA,NA,NA,-42.557,NA,NA
50846,-2.11579,4.0819,-5,NA,NA,NA,-46.199,NA,NA
51012,-2.73313,4.10902,-4.37015,NA,NA,NA,-71.435,NA,NA
51363,-2.23212,4.33438,-4.53343,NA,NA,NA,-63.253,NA,NA
51409,-2.92678,4.68147,-3.65735,NA,NA,-109.589,NA,NA,NA
51731,-2.02832,5,-4.74861,NA,NA,-68.038,NA,NA,NA
51979,-1.23066,3.85197,-5,NA,NA,NA,-53.095,NA,NA
52102,-0.867235,3.90991,-5,NA,NA,NA,-74.693,NA,NA
52237,-1.87983,4.29253,-4.3998,NA,NA,NA,-55.467,NA,NA
52480,-1.30333,3.97888,-4.76887,NA,NA,NA,-45.304,NA,NA
52612,-1.16022,5,-5,NA,NA,NA,-87.964,NA,NA
52958,-2.00753,4.6103,-5,NA,NA,NA,-53.215,NA,NA
53171,-1.86863,3.9014,-5,NA,NA,NA,-36.921,NA,NA
53313,-1.27126,4.15351,-5,NA,NA,-43.309,NA,NA,NA
53576,-2.71416,3.5107,-4.8573,NA,NA,NA,-75.654,NA,NA
53632,-1.84626,4.06156,-5,NA,NA,NA,-45.253,NA,NA
53844,-1.5705,4.68223,-4.91282,NA,NA,NA,-65.992,NA,NA
54049,-2.67747,3.91429,-4.80922,NA,NA,NA,-55.349,NA,NA
54327,-2.33233,4.20745,-5,NA,NA,NA,-47.476,NA,NA
54520,-2.70806,4.21238,-5,NA,NA,NA,-74.712,NA,NA
54617,-2.05862,3.72075,-5,NA,NA,NA,-39.007,NA,NA
54818,-1.50812,3.72809,-5,NA,NA,-3.895,NA,NA,NA
55046,-1.869,3.4912,-5,NA,NA,NA,NA,-28.373,NA
55232,-2.15439,3.86062,-5,NA,NA,-38.419,NA,NA,NA
55560,-2.38728,3.39334,-4.29338,NA,NA,-49.03,NA,NA,NA
55676,-2.60959,4.54432,-4.58126,-89.875,NA,NA,NA,NA,NA
55987,-1.69253,4.04761,-5,NA,NA,NA,NA,-32.116,NA
56157,-2.15826,3.81579,-4.98821,NA,NA,-39.661,NA,NA,NA
56248,-2.01485,3.56564,-4.88464,NA,NA,-24.714,NA,NA,NA
56573,-1.63473,4.07756,-4.35936,NA,NA,-36.729,NA,NA,NA
56658,-2.28985,3.42008,-4.62598,NA,NA,NA,-57.871,NA,NA
56862,-2.03639,4.1764,-5,NA,NA,NA,-59.245,NA,NA
57081,-2.41589,4.08013,-5,NA,NA,NA,-55.785,NA,NA
57289,-2.69191,4.02611,-5,NA,NA,NA,-65.585,NA,NA
57500,-1.70918,3.70971,-5,NA,NA,NA,-45.033,NA,NA
57783,-1.08034,3.82253,-5,NA,NA,-26.075,NA,NA,NA
57989,-1.17626,3.6242,-5,NA,NA,-18.332,NA,NA,NA
58139,-1.51397,3.14405,-5,NA,NA,NA,-67.879,NA,NA
58247,-2.01982,4.15769,-5,NA,NA,NA,NA,-67.504,NA
58469,-1.56571,4.01966,-4.12328,NA,NA,NA,NA,-68.043,NA
58709,-1.35985,3.58648,-5,NA,NA,NA,NA,-18.934,NA
58937,-2.17712,3.10995,-4.78512,NA,NA,NA,-67.393,NA,NA
59075,-2.9562,3.54681,-5,NA,NA,NA,-76.812,NA,NA
59283,-2.57724,3.03799,-5,NA,NA,NA,-73.682,NA,NA
59443,-1.98617,3.70961,-5,NA,NA,-30.379,NA,NA,NA
59700,-2.37672,5,-5,NA,NA,NA,-78.805,NA,NA
59946,-2.66867,5,-5,NA,NA,NA,-92.404,NA,NA
60081,-2.04679,3.57861,-5,NA,NA,NA,-51.107,NA,NA
60263,-2.40351,4.09242,-5,NA,NA,NA,-54.672,NA,NA
60590,-3.11962,4.23835,-4.20072,NA,NA,NA,-97.563,NA,NA
60773,-2.02178,4.24943,-4.43159,NA,NA,-64.931,NA,NA,NA
60901,-1.77845,4.40682,-4.91593,NA,NA,NA,-47.866,NA,NA
61183,-1.34289,2.93747,-4.67685,NA,NA,NA,NA,-88.412,NA
61333,-1.75031,4.19428,-4.70219,NA,NA,NA,-39.558,NA,NA
61600,-1.52906,4.16848,-5,NA,NA,NA,-50.555,NA,NA
61646,-2.54252,4.16913,-5,NA,NA,NA,-66.485,NA,NA
61940,-2.38588,4.40279,-5,-65.971,NA,NA,NA,NA,NA
62133,-2.39315,4.43612,-5,NA,NA,NA,-60.552,NA,NA
62235,-1.40066,3.89832,-5,NA,NA,-17.27,NA,NA,NA
62562,-2.11911,5,-5,NA,NA,-71.25,NA,NA,NA
62790,-1.58675,4.59644,-4.88182,NA,NA,NA,-70.315,NA,NA
62941,-2.05182,3.85136,-5,NA,NA,NA,-36.252,NA,NA
63162,-2.47062,4.11107,-5,NA,NA,NA,NA,-55.55,NA
63238,-2.42829,5,-4.46702,NA,NA,NA,-89.398,NA,NA
63423,-1.83029,5,-5,NA,NA,NA,-73.196,NA,NA
63775,-2.45051,4.20366,-5,NA,NA,NA,NA,-62.438,NA
63865,-2.31997,3.70052,-4.95313,NA,NA,NA,-57.835,NA,NA
64026,-2.36486,4.41024,-5,NA,NA,NA,NA,-61.242,NA
64363,-1.60197,3.42419,-4.74378,NA,NA,NA,NA,-18.272,NA
64487,-2.89983,3.41855,-5,NA,NA,NA,-71.49,NA,NA
64724,-2.26626,4.42552,-5,NA,NA,-54.131,NA,NA,NA
64910,-2.32819,5,-5,NA,NA,-77.529,NA,NA,NA
65043,-1.43504,3.836,-5,NA,NA,NA,-32.114,NA,NA
65363,-1.87852,4.21635,-5,NA,NA,NA,-51.792,NA,NA
65426,-1.21946,4.14465,-5,NA,NA,NA,-58.862,NA,NA
65775,-1.59527,4.06762,-5,NA,NA,NA,-44.098,NA,NA
65880,-1.8555,3.94186,-5,NA,NA,NA,-43.704,NA,NA
66186,-2.69877,4.39408,-5,NA,NA,-62.756,NA,NA,NA
66294,-2.2431,3.98442,-5,NA,NA,-46.125,NA,NA,NA
66416,-1.92782,4.17182,-4.42255,NA,NA,NA,-45.719,NA,NA
66616,-1.94375,4.04416,-4.97929,NA,NA,NA,-46.566,NA,NA
66933,-1.86086,4.06671,-5,NA,NA,NA,-45.794,NA,NA
67162,-1.98614,3.52208,-5,NA,NA,-27.465,NA,NA,NA
67348,-1.4587,3.56247,-4.56273,NA,NA,-26.137,NA,NA,NA
67423,-1.96684,3.14456,-5,NA,NA,-52.163,NA,NA,NA
67647,-1.75435,3.4147,-5,NA,NA,NA,-32.216,NA,NA
67851,-2.59619,3.90084,-5,NA,NA,NA,NA,-65.273,NA
68047,-2.07351,3.74186,-5,NA,NA,NA,-39.147,NA,NA
68398,-1.10205,3.99376,-5,NA,NA,-31.33,NA,NA,NA
68554,-2.053,3.91086,-4.80257,NA,NA,NA,-33.781,NA,NA
68619,-2.29121,4.18249,-5,NA,NA,NA,-47.202,NA,NA
68959,-1.77992,4.12814,-5,NA,NA,-32.375,NA,NA,NA
69040,-2.63977,4.43823,-5,NA,NA,NA,-72.732,NA,NA
69278,-1.19466,4.06512,-5,NA,NA,NA,NA,-37.29,NA
69591,-2.12722,3.91621,-5,NA,NA,-37.922,NA,NA,NA
69774,-1.98411,3.58844,-5,NA,NA,NA,NA,-34.731,NA
69905,-2.05307,3.77642,-5,NA,NA,NA,-36.384,NA,NA
70069,-1.29202,3.36197,-5,NA,NA,NA,NA,-23.714,NA
70215,-2.73629,3.54802,-5,NA,NA,-64.579,NA,NA,NA
70433,-1.60525,3.59984,-4.48407,NA,NA,NA,-53.064,NA,NA
70607,-1.66833,3.70875,-4.3884,NA,NA,NA,-37.286,NA,NA
70883,-1.77341,3.55561,-4.6264,NA,NA,NA,-38.925,NA,NA
71177,-1.12545,3.37602,-5,NA,NA,NA,-51.753,NA,NA
71385,-2.04428,4.03502,-5,NA,NA,NA,-47.662,NA,NA
71427,-1.67907,4.31296,-5,NA,NA,NA,-39.728,NA,NA
71675,-1.35347,3.90716,-5,NA,NA,NA,-36.071,NA,NA
71887,-2.03739,3.85874,-4.71575,NA,NA,NA,-33.75,NA,NA
72179,-1.76945,4.01925,-5,NA,NA,NA,NA,-23.421,NA
72309,-1.6618,3.77662,-5,NA,NA,NA,NA,-26.839,NA
72467,-2.90378,4.14475,-5,NA,NA,-75.255,NA,NA,NA
72717,-3.18919,3.57477,-5,NA,NA,NA,-91.861,NA,NA
72871,-1.69567,4.19562,-5,NA,NA,NA,-36.666,NA,NA
73035,-1.65956,4.34055,-5,NA,NA,NA,-42.408,NA,NA
73319,-1.45447,3.00551,-5,NA,NA,NA,-66.061,NA,NA
