id,x0,x1,x2,fitness-3,fitness-2,fitness-2.5,fitness-3.5,fitness-1.5,fitness-4,fitness-1,fitness-4.5
11495,1.13521,1.5192,-4.09426,NA,NA,NA,NA,NA,-53.251,NA,NA
11659,2.37053,1.8255,-3.45332,-41.512,NA,NA,NA,NA,NA,NA,NA
11996,2.53671,1.91443,-4.72668,-27.554,NA,NA,NA,NA,NA,NA,NA
12137,1.746,1.18173,-5,NA,NA,-25.278,NA,NA,NA,NA,NA
12280,1.24114,0.8129,-4.71208,NA,NA,-52.878,NA,NA,NA,NA,NA
12483,1.4404,1.46528,-5,NA,NA,NA,-38.93,NA,NA,NA,NA
12761,1.86123,1.46694,-5,NA,NA,-15.89,NA,NA,NA,NA,NA
12835,1.91349,1.62563,-5,-19.262,NA,NA,NA,NA,NA,NA,NA
13043,1.79487,1.25733,-5,NA,NA,-22.662,NA,NA,NA,NA,NA
13204,2.04587,2.86661,-5,NA,-51.186,NA,NA,NA,NA,NA,NA
13545,1.17924,2.03943,-5,-36.678,NA,NA,NA,NA,NA,NA,NA
13732,1.28209,1.88511,-4.41964,NA,-12.427,NA,NA,NA,NA,NA,NA
13978,1.8198,2.24084,-5,NA,-26.799,NA,NA,NA,NA,NA,NA
14030,1.90851,2.62045,-5,NA,NA,-33.593,NA,NA,NA,NA,NA
14255,2.28961,2.57879,-5,-42.196,NA,NA,NA,NA,NA,NA,NA
14461,1.40044,1.81793,-4.12707,NA,NA,-7.588,NA,NA,NA,NA,NA
14643,1.36499,1.17218,-4.64022,-21.382,NA,NA,NA,NA,NA,NA,NA
14832,1.82213,1.14112,-3.8706,-22.344,NA,NA,NA,NA,NA,NA,NA
15038,1.77043,2.08017,-4.05949,NA,NA,NA,-30.164,NA,NA,NA,NA
15300,1.69446,1.70471,-3.9739,-17.271,NA,NA,NA,NA,NA,NA,NA
15575,1.95176,2.73829,-4.00671,NA,NA,-33.724,NA,NA,NA,NA,NA
15700,1.26518,1.84637,-4.97359,NA,-24.623,NA,NA,NA,NA,NA,NA
15988,1.34263,2.35667,-5,NA,NA,-29.378,NA,NA,NA,NA,NA
16102,2.2135,2.50773,-4.50941,NA,NA,-24.298,NA,NA,NA,NA,NA
16283,1.66119,1.34392,-5,-22.147,NA,NA,NA,NA,NA,NA,NA
16494,2.33622,1.31117,-4.02142,NA,NA,-16.39,NA,NA,NA,NA,NA
16627,2.76329,1.84474,-4.87692,-34.991,NA,NA,NA,NA,NA,NA,NA
16815,2.18308,0.760798,-4.44257,NA,-47.581,NA,NA,NA,NA,NA,NA
17020,1.87311,1.94169,-5,NA,NA,-16.317,NA,NA,NA,NA,NA
17337,3.1002,1.73859,-4.28153,-46.192,NA,NA,NA,NA,NA,NA,NA
17508,2.56822,2.06425,-5,NA,NA,-31.175,NA,NA,NA,NA,NA
17647,2.41419,1.42829,-5,NA,NA,-25.672,NA,NA,NA,NA,NA
17881,2.18487,1.61743,-3.67243,NA,NA,-18.849,NA,NA,NA,NA,NA
18076,2.43401,1.66942,-4.51555,NA,NA,-15.031,NA,NA,NA,NA,NA
18222,2.40685,1.99307,-5,NA,NA,NA,NA,-37.076,NA,NA,NA
18413,1.6505,2.39706,-4.43435,NA,-19.931,NA,NA,NA,NA,NA,NA
18702,2.27427,1.64999,-5,-27.79,NA,NA,NA,NA,NA,NA,NA
18835,2.46515,1.19116,-5,NA,NA,-33.219,NA,NA,NA,NA,NA
19136,1.63158,1.52931,-4.79792,NA,-16.752,NA,NA,NA,NA,NA,NA
19214,1.81461,2.33199,-4.04418,NA,-26.233,NA,NA,NA,NA,NA,NA
19496,2.41976,1.27745,-3.73684,NA,-32.083,NA,NA,NA,NA,NA,NA
19692,1.89468,2.8001,-4.7378,NA,-38.086,NA,NA,NA,NA,NA,NA
19954,2.16448,2.41371,-5,NA,NA,-28.749,NA,NA,NA,NA,NA
20083,2.83689,1.46036,-5,NA,NA,NA,NA,-57.324,NA,NA,NA
20242,1.98134,1.50284,-4.67586,NA,-9.332,NA,NA,NA,NA,NA,NA
20510,2.57856,2.42227,-5,NA,NA,-40.342,NA,NA,NA,NA,NA
20764,1.91753,1.83548,-4.58323,NA,-13.966,NA,NA,NA,NA,NA,NA
20880,2.04003,1.45764,-5,-21.414,NA,NA,NA,NA,NA,NA,NA
21189,2.80256,2.35461,-4.2937,NA,NA,-38.679,NA,NA,NA,NA,NA
21292,1.71916,1.73486,-3.82627,-15.618,NA,NA,NA,NA,NA,NA,NA
21415,2.00959,1.70249,-3.22633,-38.376,NA,NA,NA,NA,NA,NA,NA
21800,1.40514,2.14943,-4.34654,NA,-19.293,NA,NA,NA,NA,NA,NA
21858,0.835013,2.43862,-3.89876,NA,-53.618,NA,NA,NA,NA,NA,NA
22073,2.04931,1.94003,-5,NA,-27.397,NA,NA,NA,NA,NA,NA
22232,2.44486,1.50979,-4.98825,NA,-27.305,NA,NA,NA,NA,NA,NA
22565,2.12109,1.81558,-4.6544,NA,NA,NA,NA,-24.56,NA,NA,NA
22647,2.44231,2.37995,-5,NA,NA,-35.164,NA,NA,NA,NA,NA
22893,2.3739,1.25227,-4.98851,NA,NA,-29.768,NA,NA,NA,NA,NA
23017,1.68465,1.63804,-4.76708,-10.662,NA,NA,NA,NA,NA,NA,NA
23226,1.66306,1.23043,-5,NA,NA,NA,-49.783,NA,NA,NA,NA
23501,1.83133,1.62148,-5,-20.123,NA,NA,NA,NA,NA,NA,NA
23662,1.29277,2.20013,-5,-26.499,NA,NA,NA,NA,NA,NA,NA
23968,2.77446,1.54317,-4.64156,NA,NA,-29.389,NA,NA,NA,NA,NA
24140,2.40245,2.52412,-5,NA,NA,-38.006,NA,NA,NA,NA,NA
24395,3.18073,3.1372,-5,NA,NA,-100.196,NA,NA,NA,NA,NA
24446,1.8772,2.48692,-4.71746,NA,NA,-22.387,NA,NA,NA,NA,NA
24725,1.09066,1.99716,-4.71896,NA,NA,-21.635,NA,NA,NA,NA,NA
24891,2.53148,2.01525,-5,NA,NA,-29.707,NA,NA,NA,NA,NA
25070,2.856,1.49979,-4.87348,NA,NA,NA,NA,-52.069,NA,NA,NA
25333,2.75524,1.96137,-3.8085,NA,-41.895,NA,NA,NA,NA,NA,NA
25510,2.09187,2.41075,-4.44385,NA,-26.684,NA,NA,NA,NA,NA,NA
25707,2.48519,0.882466,-5,NA,NA,NA,-61.22,NA,NA,NA,NA
25960,1.69072,0.857652,-5,NA,-52.275,NA,NA,NA,NA,NA,NA
26006,1.90343,1.30096,-4.27847,-17.06,NA,NA,NA,NA,NA,NA,NA
26390,2.37191,2.32833,-4.23065,-24.475,NA,NA,NA,NA,NA,NA,NA
26471,1.55683,1.60827,-3.5814,NA,NA,-20.105,NA,NA,NA,NA,NA
26659,1.92437,1.27522,-4.70734,NA,-14.351,NA,NA,NA,NA,NA,NA
26883,1.90811,1.09836,-5,NA,NA,-27.837,NA,NA,NA,NA,NA
27157,2.20467,1.21821,-4.20162,NA,-17.244,NA,NA,NA,NA,NA,NA
27353,2.30237,1.92944,-4.79389,NA,-24.678,NA,NA,NA,NA,NA,NA
27450,1.60565,1.86655,-5,-20.103,NA,NA,NA,NA,NA,NA,NA
27680,1.61537,1.17289,-3.61637,-37.051,NA,NA,NA,NA,NA,NA,NA
27912,2.05152,1.41647,-4.14653,NA,-20.847,NA,NA,NA,NA,NA,NA
28114,2.20111,2.93914,-4.39832,NA,NA,-43.035,NA,NA,NA,NA,NA
28387,1.04377,2.08871,-5,NA,NA,NA,NA,-48.763,NA,NA,NA
28466,1.6345,2.69191,-4.73818,NA,-34.452,NA,NA,NA,NA,NA,NA
28639,1.38924,2.80403,-5,NA,NA,-44.952,NA,NA,NA,NA,NA
28883,2.13929,2.3428,-5,NA,NA,-26.798,NA,NA,NA,NA,NA
29132,1.5755,2.37249,-5,NA,NA,-26.681,NA,NA,NA,NA,NA
29242,1.07929,1.80074,-4.83781,-24.097,NA,NA,NA,NA,NA,NA,NA
29543,0.976679,2.65937,-4.95558,NA,-51.853,NA,NA,NA,NA,NA,NA
29635,1.25454,2.07249,-5,NA,NA,-25.367,NA,NA,NA,NA,NA
29843,2.2093,3.0909,-4.54384,-60.15,NA,NA,NA,NA,NA,NA,NA
30033,1.75725,1.39299,-4.18862,NA,NA,NA,-27.297,NA,NA,NA,NA
30204,2.02641,2.60913,-5,-35.413,NA,NA,NA,NA,NA,NA,NA
30518,1.90768,2.25543,-5,-24.005,NA,NA,NA,NA,NA,NA,NA
30790,1.97961,2.38572,-5,-36.583,NA,NA,NA,NA,NA,NA,NA
30991,2.39866,1.97657,-4.40192,NA,-19.702,NA,NA,NA,NA,NA,NA
31023,1.64171,2.10129,-4.84587,NA,-22.009,NA,NA,NA,NA,NA,NA
31389,2.00258,1.97312,-5,NA,NA,-17.301,NA,NA,NA,NA,NA
31568,2.37466,1.77603,-5,NA,NA,-22.532,NA,NA,NA,NA,NA
31670,2.49763,2.08177,-4.83219,NA,NA,-24.62,NA,NA,NA,NA,NA
31830,1.15155,2.39724,-5,-36.712,NA,NA,NA,NA,NA,NA,NA
32068,1.37945,1.49279,-5,NA,-23.949,NA,NA,NA,NA,NA,NA
32354,1.65054,2.2319,-4.88577,NA,-26.412,NA,NA,NA,NA,NA,NA
32575,1.83655,1.55396,-4.84863,NA,NA,-9.71,NA,NA,NA,NA,NA
32602,2.07559,1.11801,-5,NA,NA,-27.702,NA,NA,NA,NA,NA
32877,1.50731,1.17359,-4.34091,-21.816,NA,NA,NA,NA,NA,NA,NA
33180,1.23699,1.66945,-4.3699,NA,NA,-11.312,NA,NA,NA,NA,NA
33290,1.64127,1.85927,-4.20393,NA,-16.599,NA,NA,NA,NA,NA,NA
33548,2.07527,0.900994,-4.0991,-27.856,NA,NA,NA,NA,NA,NA,NA
33720,1.95531,0.693095,-4.21252,NA,NA,-41.853,NA,NA,NA,NA,NA
33997,2.43602,0.813915,-5,NA,NA,NA,-63.502,NA,NA,NA,NA
34117,1.93595,2.18706,-5,NA,NA,-20.195,NA,NA,NA,NA,NA
34324,2.02706,2.16661,-5,-27.015,NA,NA,NA,NA,NA,NA,NA
34557,1.34161,1.71992,-4.18723,NA,NA,-6.96,NA,NA,NA,NA,NA
34711,1.30458,1.68952,-4.01221,NA,NA,-12.515,NA,NA,NA,NA,NA
34925,1.99312,1.19143,-4.23707,-13.023,NA,NA,NA,NA,NA,NA,NA
35038,2.39618,2.03111,-4.30238,NA,-19.773,NA,NA,NA,NA,NA,NA
35302,1.71336,1.61305,-3.83817,NA,NA,-8.626,NA,NA,NA,NA,NA
35480,2.49409,2.30545,-3.72178,NA,-38.058,NA,NA,NA,NA,NA,NA
35731,1.04767,2.11665,-3.68619,NA,NA,NA,NA,-71.528,NA,NA,NA
35829,2.46972,2.49077,-4.82231,NA,NA,-33.963,NA,NA,NA,NA,NA
36100,2.16347,2.30383,-5,NA,NA,NA,NA,NA,NA,-84.073,NA
36245,1.31283,1.42311,-5,NA,NA,-23.84,NA,NA,NA,NA,NA
36572,2.15583,1.96687,-5,NA,NA,NA,-31.298,NA,NA,NA,NA
36751,1.96356,1.42341,-5,NA,NA,-17.047,NA,NA,NA,NA,NA
36807,2.71247,1.06256,-5,-55.983,NA,NA,NA,NA,NA,NA,NA
37155,1.0708,1.93043,-5,NA,NA,-28.919,NA,NA,NA,NA,NA
37272,1.31816,2.22649,-5,NA,-28.539,NA,NA,NA,NA,NA,NA
37545,1.44277,2.29665,-5,NA,-29.945,NA,NA,NA,NA,NA,NA
37703,2.13957,1.92259,-5,NA,NA,-18.887,NA,NA,NA,NA,NA
37994,2.27516,1.90475,-4.55926,NA,-16.505,NA,NA,NA,NA,NA,NA
38069,2.48368,1.98524,-5,NA,NA,-27.694,NA,NA,NA,NA,NA
38345,2.15368,1.57923,-3.74712,-17.955,NA,NA,NA,NA,NA,NA,NA
38581,2.67743,1.07951,-4.90103,NA,NA,-44.13,NA,NA,NA,NA,NA
38643,1.73814,2.04928,-5,NA,-20.924,NA,NA,NA,NA,NA,NA
38938,2.19959,1.30082,-4.58095,NA,-15.068,NA,NA,NA,NA,NA,NA
39156,2.7044,0.740011,-5,NA,NA,-66.152,NA,NA,NA,NA,NA
39236,1.34358,2.0561,-5,-23.606,NA,NA,NA,NA,NA,NA,NA
39512,1.38175,1.73333,-4.56521,-13.824,NA,NA,NA,NA,NA,NA,NA
39762,1.95771,1.82894,-5,NA,-18.672,NA,NA,NA,NA,NA,NA
39962,1.40764,1.66177,-4.73771,NA,NA,-10.3,NA,NA,NA,NA,NA
40027,2.34578,2.07711,-5,NA,NA,-25.42,NA,NA,NA,NA,NA
40250,2.434,2.23019,-5,NA,-33.634,NA,NA,NA,NA,NA,NA
40551,1.35581,2.13925,-5,NA,NA,NA,-38.203,NA,NA,NA,NA
40752,1.96071,3.08329,-4.69808,NA,NA,-50.779,NA,NA,NA,NA,NA
40984,1.58436,2.18204,-4.21724,NA,NA,-10.664,NA,NA,NA,NA,NA
41078,2.16654,1.02879,-5,NA,NA,-32.358,NA,NA,NA,NA,NA
41275,1.50167,1.61714,-4.17895,NA,-6.185,NA,NA,NA,NA,NA,NA
41522,2.4404,1.42248,-4.33498,-28.347,NA,NA,NA,NA,NA,NA,NA
41776,1.25308,1.8728,-5,-24.637,NA,NA,NA,NA,NA,NA,NA
41859,1.49764,0.764295,-5,-64.331,NA,NA,NA,NA,NA,NA,NA
42012,1.4297,1.46349,-5,-23.241,NA,NA,NA,NA,NA,NA,NA
42300,1.59896,2.21709,-4.267,-12.96,NA,NA,NA,NA,NA,NA,NA
42491,2.31886,1.02039,-4.67838,NA,NA,NA,-41.135,NA,NA,NA,NA
42759,2.5811,1.63966,-4.42556,NA,NA,NA,-37.475,NA,NA,NA,NA
42962,1.3779,2.03651,-4.39692,NA,-15.01,NA,NA,NA,NA,NA,NA
43112,1.92781,2.61673,-5,NA,NA,-33.576,NA,NA,NA,NA,NA
43247,1.44923,1.21793,-4.35096,NA,-14.352,NA,NA,NA,NA,NA,NA
43464,2.64392,2.31955,-4.62052,NA,NA,NA,NA,-54.999,NA,NA,NA
43743,2.08311,2.6826,-4.61122,NA,NA,-31.315,NA,NA,NA,NA,NA
43967,2.00348,2.62207,-4.61583,NA,NA,-27.344,NA,NA,NA,NA,NA
44110,1.68088,1.83039,-5,NA,-17.633,NA,NA,NA,NA,NA,NA
44373,1.78655,1.32831,-5,-28.482,NA,NA,NA,NA,NA,NA,NA
44518,2.82968,1.388,-5,-44.811,NA,NA,NA,NA,NA,NA,NA
44779,2.24456,1.64248,-5,NA,NA,NA,-35.555,NA,NA,NA,NA
44823,2.99899,1.55153,-4.09206,NA,-41.659,NA,NA,NA,NA,NA,NA
45087,2.18904,1.72718,-3.41697,NA,NA,-30.149,NA,NA,NA,NA,NA
45381,2.92019,2.17428,-3.9495,NA,NA,NA,-60.681,NA,NA,NA,NA
45589,1.54167,2.79874,-4.47928,-35.663,NA,NA,NA,NA,NA,NA,NA
45635,1.52247,2.3273,-4.40532,-21.682,NA,NA,NA,NA,NA,NA,NA
45982,1.81652,2.36001,-3.26363,NA,NA,-43.134,NA,NA,NA,NA,NA
46096,1.57219,1.06979,-4.22203,NA,NA,-15.379,NA,NA,NA,NA,NA
46219,1.25241,2.00606,-4.10505,NA,NA,-14.646,NA,NA,NA,NA,NA
46545,1.08987,2.03419,-5,NA,NA,-30.972,NA,NA,NA,NA,NA
46779,1.42312,0.627955,-4.30893,NA,NA,-62.921,NA,NA,NA,NA,NA
46844,1.18294,1.0655,-5,-49.767,NA,NA,NA,NA,NA,NA,NA
47124,2.29334,1.49742,-5,NA,NA,-22.747,NA,NA,NA,NA,NA
47298,1.40548,1.85408,-5,NA,NA,NA,-38.015,NA,NA,NA,NA
47432,1.87321,1.28024,-3.91031,NA,NA,-10.477,NA,NA,NA,NA,NA
47763,2.67253,1.42299,-3.18448,NA,NA,-62.784,NA,NA,NA,NA,NA
47830,2.66762,2.26867,-5,-47.077,NA,NA,NA,NA,NA,NA,NA
48036,1.21282,1.62968,-5,-24.993,NA,NA,NA,NA,NA,NA,NA
48397,1.18752,2.23139,-5,-33.725,NA,NA,NA,NA,NA,NA,NA
48468,1.41499,1.67387,-4.71649,NA,NA,NA,-31.158,NA,NA,NA,NA
48689,1.34591,1.46842,-4.15199,NA,NA,NA,-40.009,NA,NA,NA,NA
48939,1.82608,0.841362,-4.43168,-32.962,NA,NA,NA,NA,NA,NA,NA
49169,1.60102,2.44023,-3.40837,-42.48,NA,NA,NA,NA,NA,NA,NA
49270,1.58077,2.30706,-4.78344,NA,NA,-19.019,NA,NA,NA,NA,NA
49577,2.35974,1.56178,-4.97697,-33.511,NA,NA,NA,NA,NA,NA,NA
49643,1.40377,1.49335,-5,NA,-32.607,NA,NA,NA,NA,NA,NA
49868,0.895208,1.71533,-5,NA,NA,-37.238,NA,NA,NA,NA,NA
50007,0.809122,1.84064,-4.76343,-34.577,NA,NA,NA,NA,NA,NA,NA
50226,1.93494,1.87224,-5,NA,NA,-15.474,NA,NA,NA,NA,NA
50482,1.7171,2.47868,-5,-36.211,NA,NA,NA,NA,NA,NA,NA
50710,1.98663,2.86698,-5,NA,-50.568,NA,NA,NA,NA,NA,NA
50904,1.17122,2.20623,-5,NA,NA,NA,NA,-46.15,NA,NA,NA
51102,1.56161,2.36781,-5,NA,NA,NA,NA,-44.95,NA,NA,NA
51242,2.47757,1.49362,-5,NA,-35.698,NA,NA,NA,NA,NA,NA
51453,2.46738,1.687,-5,-25.934,NA,NA,NA,NA,NA,NA,NA
51629,2.19535,1.7222,-4.91767,-24.164,NA,NA,NA,NA,NA,NA,NA
51934,2.49877,1.43479,-5,-29.936,NA,NA,NA,NA,NA,NA,NA
52112,0.802481,1.49568,-5,NA,-55.279,NA,NA,NA,NA,NA,NA
52325,0.177259,1.9943,-4.11512,-76.541,NA,NA,NA,NA,NA,NA,NA
52529,0.876731,2.25863,-3.98385,-36.351,NA,NA,NA,NA,NA,NA,NA
52774,1.93834,1.57738,-4.10483,NA,-16.039,NA,NA,NA,NA,NA,NA
52898,1.64197,1.83253,-4.61452,NA,NA,NA,NA,-25.808,NA,NA,NA
53048,1.09587,1.97029,-5,NA,-36.074,NA,NA,NA,NA,NA,NA
53243,1.94214,1.88727,-5,NA,NA,NA,NA,NA,NA,-54.282,NA
53532,2.35463,2.35411,-5,NA,NA,-31.244,NA,NA,NA,NA,NA
53621,1.52722,2.44041,-5,NA,NA,-28.389,NA,NA,NA,NA,NA
54000,1.20478,2.17542,-5,NA,NA,NA,-45.269,NA,NA,NA,NA
54071,2.07429,0.767102,-5,NA,NA,-51.438,NA,NA,NA,NA,NA
54391,2.45448,2.4019,-5,NA,-38.081,NA,NA,NA,NA,NA,NA
54500,2.09323,2.19059,-5,NA,NA,-21.717,NA,NA,NA,NA,NA
54754,2.45583,2.10028,-5,NA,NA,-27.791,NA,NA,NA,NA,NA
54910,2.3419,2.07637,-4.41651,-21.332,NA,NA,NA,NA,NA,NA,NA
55079,2.1609,1.0215,-4.22952,-21.942,NA,NA,NA,NA,NA,NA,NA
55268,2.48713,1.1797,-4.78815,NA,-34.333,NA,NA,NA,NA,NA,NA
55586,1.40464,1.82933,-3.36577,-40.53,NA,NA,NA,NA,NA,NA,NA
55693,1.81487,1.8061,-4.55787,NA,-7.223,NA,NA,NA,NA,NA,NA
55990,2.05486,1.22797,-5,NA,NA,-22.954,NA,NA,NA,NA,NA
56061,2.05736,1.11996,-5,-31.066,NA,NA,NA,NA,NA,NA,NA
56331,1.27633,2.81012,-3.32226,NA,NA,-62.315,NA,NA,NA,NA,NA
56422,1.65455,2.10309,-4.33221,-10.465,NA,NA,NA,NA,NA,NA,NA
56721,1.2444,2.07574,-5,NA,-30.189,NA,NA,NA,NA,NA,NA
56883,2.33591,2.16919,-5,-27.994,NA,NA,NA,NA,NA,NA,NA
57047,2.661,1.93884,-4.50412,NA,-25.305,NA,NA,NA,NA,NA,NA
57215,2.24652,1.73689,-4.1249,NA,-19.588,NA,NA,NA,NA,NA,NA
57525,1.53027,2.24431,-5,NA,NA,NA,NA,-46.01,NA,NA,NA
57739,1.72431,1.18892,-5,NA,NA,-24.511,NA,NA,NA,NA,NA
57862,1.52439,1.49517,-5,NA,-27.92,NA,NA,NA,NA,NA,NA
58087,1.70799,0.949131,-5,NA,NA,-39.135,NA,NA,NA,NA,NA
58314,2.4097,1.91425,-5,-26.931,NA,NA,NA,NA,NA,NA,NA
58533,1.70635,2.29845,-5,NA,-33.341,NA,NA,NA,NA,NA,NA
58752,2.36507,1.06428,-4.49781,NA,-33.888,NA,NA,NA,NA,NA,NA
58932,2.05842,1.85716,-3.98301,NA,NA,NA,NA,NA,NA,-64.879,NA
59108,1.16404,1.38325,-5,NA,-38.337,NA,NA,NA,NA,NA,NA
59236,2.46716,1.06902,-3.5543,NA,-48.639,NA,NA,NA,NA,NA,NA
59563,2.47157,1.67002,-4.11566,NA,NA,-15.636,NA,NA,NA,NA,NA
59660,1.99994,1.65549,-3.94782,NA,NA,-6.417,NA,NA,NA,NA,NA
59965,2.71199,1.68003,-3.15829,NA,NA,-64.69,NA,NA,NA,NA,NA
60055,2.16791,1.10471,-3.85267,-29.956,NA,NA,NA,NA,NA,NA,NA
60230,1.50566,0.932597,-4.59604,NA,-33.908,NA,NA,NA,NA,NA,NA
60520,1.90935,1.63072,-5,NA,NA,-14.681,NA,NA,NA,NA,NA
60675,1.90237,1.00618,-5,-36.461,NA,NA,NA,NA,NA,NA,NA
60953,1.77358,2.10914,-4.68826,NA,NA,-10.892,NA,NA,NA,NA,NA
61001,2.47693,1.30706,-5,NA,NA,-30.135,NA,NA,NA,NA,NA
61330,2.04599,1.20016,-4.95522,NA,-29.24,NA,NA,NA,NA,NA,NA
61535,1.57489,1.72406,-4.87242,-17.098,NA,NA,NA,NA,NA,NA,NA
61728,2.00502,1.60511,-5,-18.931,NA,NA,NA,NA,NA,NA,NA
61895,0.933584,1.9884,-5,NA,NA,-36.078,NA,NA,NA,NA,NA
62020,1.27863,1.68259,-5,NA,NA,-23.519,NA,NA,NA,NA,NA
62331,1.49959,1.4044,-3.42106,NA,-42.22,NA,NA,NA,NA,NA,NA
62479,1.63152,1.54165,-3.6988,-16.966,NA,NA,NA,NA,NA,NA,NA
62713,1.53847,1.84476,-4.30385,NA,-13.35,NA,NA,NA,NA,NA,NA
62965,2.32662,1.42785,-4.58455,NA,-15.03,NA,NA,NA,NA,NA,NA
63024,2.53436,1.33146,-5,-41.093,NA,NA,NA,NA,NA,NA,NA
63379,1.97931,1.6054,-3.85696,NA,-13.814,NA,NA,NA,NA,NA,NA
63584,2.14673,1.52116,-4.99552,NA,NA,-18.778,NA,NA,NA,NA,NA
