id,x0,x1,x2,fitness-4,fitness-4.5,fitness-3.5,fitness-5,fitness-3
12893,-1.3967,3.68562,-4.95614,NA,-3.231,NA,NA,NA
13001,-1.69575,3.51746,-4.83202,-18.811,NA,NA,NA,NA
13334,-1.85262,3.41021,-4.86524,NA,-29.98,NA,NA,NA
13476,-1.36563,4.18957,-4.51381,NA,-47.829,NA,NA,NA
13654,-1.38085,3.35542,-4.55698,NA,-36.878,NA,NA,NA
13841,-1.71103,4.16391,-4.86585,NA,NA,-50.093,NA,NA
14051,-1.59667,4.08442,-4.81546,NA,NA,NA,-39.824,NA
14305,-1.51625,3.72532,-4.75222,NA,-2.336,NA,NA,NA
14461,-1.85804,4.40699,-3.8878,NA,-81.556,NA,NA,NA
14656,-1.25919,3.21616,-4.74959,NA,-45.047,NA,NA,NA
14879,-1.10789,2.91262,-4.94942,NA,-61.69,NA,NA,NA
15034,-1.26096,3.57156,-4.83438,NA,NA,NA,-51.112,NA
15286,-1.72404,4.66599,-4.63348,NA,-56.449,NA,NA,NA
15573,-1.6714,4.81916,-4.61752,NA,-65.863,NA,NA,NA
15616,-1.60967,4.84246,-4.95442,NA,-61.892,NA,NA,NA
15868,-1.69672,4.11828,-4.891,-29.489,NA,NA,NA,NA
16052,-1.90757,4.62326,-4.84337,NA,NA,NA,-53.628,NA
16215,-2.8117,3.5732,-4.99711,NA,NA,NA,-71.148,NA
16501,-2.91935,4.39946,-4.45568,NA,-75.665,NA,NA,NA
16794,-1.20221,4.78651,-4.98526,NA,-77.613,NA,NA,NA
16953,-0.914107,4.41217,-4.88473,NA,NA,NA,-83.713,NA
17156,-1.79971,4.56338,-4.16848,NA,-71.246,NA,NA,NA
17376,-1.62712,4.09152,-4.37359,NA,-46.514,NA,NA,NA
17570,-2.40601,4.40072,-4.71752,NA,-61.898,NA,NA,NA
17736,-2.48079,4.96955,-4.8556,NA,-78.338,NA,NA,NA
17880,-1.93305,4.5854,-4.35469,NA,-54.262,NA,NA,NA
18082,-1.70055,4.34157,-4.61557,NA,NA,NA,-51.169,NA
18324,-1.82614,3.86704,-4.1143,NA,-60.038,NA,NA,NA
18444,-2.17068,4.43019,-4.47724,-71.599,NA,NA,NA,NA
18700,-1.38373,4.65815,-4.69718,NA,NA,-67.988,NA,NA
18908,-2.38044,4.94307,-4.33524,NA,-81.91,NA,NA,NA
19071,-1.77648,4.24681,-3.70414,NA,-88.285,NA,NA,NA
19371,-1.58374,4.21528,-4.39765,NA,-49.819,NA,NA,NA
19496,-2.39109,4.00465,-4.43385,NA,NA,NA,-57.975,NA
19694,-2.1982,4.00843,-4.73863,-43.409,NA,NA,NA,NA
19900,-2.4496,4.40887,-4.95728,NA,NA,NA,-58.698,NA
20174,-2.06199,4.32947,-4.70951,-50.544,NA,NA,NA,NA
20286,-1.30186,4.11143,-4.82156,NA,-32.21,NA,NA,NA
20546,-1.3572,3.25329,-4.78527,NA,-49.189,NA,NA,NA
20779,-1.10414,3.68883,-3.95342,-111.439,NA,NA,NA,NA
20960,-1.05634,4.88976,-4.74801,NA,-87.12,NA,NA,NA
21128,-1.45891,4.33404,-4.35869,NA,-60.116,NA,NA,NA
21217,-1.4855,3.62215,-4.70439,-23.806,NA,NA,NA,NA
21594,-2.32539,4.5773,-4.91518,NA,NA,NA,-70.059,NA
21683,-2.51363,4.80123,-4.59965,-84.132,NA,NA,NA,NA
21834,-1.50569,3.96725,-4.32804,-41.763,NA,NA,NA,NA
22127,-2.84431,3.6078,-4.18322,NA,-84.367,NA,NA,NA
22293,-1.79645,3.15417,-4.72249,NA,-53.283,NA,NA,NA
22528,-1.8263,3.67409,-4.59703,NA,NA,NA,-39.214,NA
22781,-2.80752,3.78011,-4.34975,NA,NA,NA,-74.88,NA
22805,-2.93531,3.66491,-4.57958,-80.348,NA,NA,NA,NA
23184,-2.65167,3.63183,-4.59023,NA,-67.129,NA,NA,NA
23245,-1.37021,3.16914,-4.97912,NA,NA,NA,-64.065,NA
23473,-2.1436,4.73788,-4.208,NA,-72.119,NA,NA,NA
23775,-1.42179,4.60689,-4.0867,NA,-82.783,NA,NA,NA
23988,-2.60247,4.04974,-4.1151,NA,-74.787,NA,NA,NA
24062,-1.16057,4.52857,-4.64474,NA,-69.452,NA,NA,NA
24388,-1.88745,3.92155,-4.85401,-34.488,NA,NA,NA,NA
24452,-1.39142,4.41903,-4.40115,-69.025,NA,NA,NA,NA
24659,-2.26197,4.58396,-4.34269,-70.245,NA,NA,NA,NA
24918,-2.01775,4.65723,-4.41246,NA,-48.732,NA,NA,NA
25102,-1.87471,3.97646,-4.87884,NA,-24.156,NA,NA,NA
25324,-0.720632,4.12174,-4.98622,NA,-72.683,NA,NA,NA
25552,-1.7762,4.34917,-4.67838,NA,-44.651,NA,NA,NA
25717,-0.875616,3.36809,-4.61558,NA,NA,NA,-103.033,NA
25967,-1.60973,4.87407,-3.9929,NA,-95.207,NA,NA,NA
26081,-2.27186,3.83351,-4.58964,NA,-46.044,NA,NA,NA
26373,-1.8107,4.5022,-4.65424,NA,NA,NA,-57.046,NA
26452,-2.84681,4.26195,-4.80877,NA,NA,NA,-68.651,NA
26638,-2.79224,3.637,-4.64133,-71.873,NA,NA,NA,NA
26877,-3.12339,3.18036,-4.92711,NA,-93.936,NA,NA,NA
27078,-2.37924,4.1127,-4.68338,NA,NA,NA,-51.763,NA
27384,-2.63335,3.84427,-4.70935,-67.272,NA,NA,NA,NA
27522,-1.88274,3.58579,-4.64472,NA,-28.99,NA,NA,NA
27778,-2.11829,2.98404,-3.98788,NA,-114.985,NA,NA,NA
27812,-1.57089,3.60281,-4.65882,-35.336,NA,NA,NA,NA
28101,-1.11338,4.1342,-4.82402,NA,-52.786,NA,NA,NA
28334,-2.31534,3.34889,-4.58248,NA,NA,NA,-64.708,NA
28515,-2.79281,3.794,-4.95675,NA,NA,NA,-66.574,NA
28602,-1.9851,4.59962,-4.53193,NA,-56.346,NA,NA,NA
28869,-1.61069,4.95306,-4.89202,NA,NA,NA,-74.12,NA
29140,-2.46653,4.09955,-4.47884,NA,NA,NA,-64.731,NA
29282,-1.92032,4.79267,-4.93378,NA,NA,NA,-59.633,NA
29518,-1.95878,4.22807,-4.66673,NA,-33.275,NA,NA,NA
29756,-1.84776,4.03946,-4.74121,NA,-24.899,NA,NA,NA
29906,-1.82018,3.43202,-4.60975,NA,-37.749,NA,NA,NA
30013,-1.20429,3.37297,-4.36523,NA,NA,NA,-82.78,NA
30346,-1.17294,3.21945,-4.84939,-69.367,NA,NA,NA,NA
30405,-2.73008,3.65859,-4.74186,NA,NA,-96.487,NA,NA
30746,-1.29767,3.49422,-4.12861,-91.42,NA,NA,NA,NA
30889,-2.40837,3.92444,-4.63795,NA,NA,-79.308,NA,NA
31093,-2.22569,4.82644,-4.49942,-78.395,NA,NA,NA,NA
31244,-2.51953,3.09422,-4.51649,NA,-80.176,NA,NA,NA
31452,-2.19518,4.35105,-4.89381,-54.681,NA,NA,NA,NA
31604,-2.0727,4.08942,-4.62844,NA,-38.265,NA,NA,NA
31911,-1.50305,4.54191,-4.72809,NA,NA,NA,-59.979,NA
32101,-0.771557,3.73433,-4.47789,NA,-88.892,NA,NA,NA
32270,-1.81053,4.37182,-4.7855,-47.383,NA,NA,NA,NA
32507,-2.35958,4.81645,-4.75273,NA,NA,-101.426,NA,NA
32701,-2.14412,3.97993,-4.22502,-58.96,NA,NA,NA,NA
32856,-2.32952,3.66533,-4.79514,NA,NA,NA,NA,-144.214
33155,-1.99924,3.81454,-4.57079,-33.708,NA,NA,NA,NA
33243,-2.82776,4.15355,-4.55694,NA,NA,-97.701,NA,NA
33446,-1.90338,3.37712,-4.53979,-60.177,NA,NA,NA,NA
33664,-1.64124,3.40488,-4.70945,NA,-28.912,NA,NA,NA
33941,-1.86482,4.33067,-4.29308,NA,-57.897,NA,NA,NA
34118,-1.46692,4.61469,-4.64357,NA,-66.319,NA,NA,NA
34353,-1.06225,4.26984,-3.87397,NA,NA,NA,-79.966,NA
34438,-1.19909,3.69,-4.81512,NA,-17.59,NA,NA,NA
34752,-2.0019,3.75135,-4.56598,NA,NA,NA,-46.708,NA
34928,-0.982771,4.3108,-4.49813,NA,-67.017,NA,NA,NA
35069,-1.93911,4.84938,-4.18723,NA,-74.64,NA,NA,NA
35378,-2.14753,4.21232,-4.75765,-51.744,NA,NA,NA,NA
35519,-2.42999,4.58932,-4.1555,-85.356,NA,NA,NA,NA
35755,-1.6235,4.41309,-4.78533,-56.272,NA,NA,NA,NA
35980,-2.58757,4.45852,-4.98105,NA,NA,NA,-68.592,NA
36062,-2.1889,4.08184,-4.42422,NA,NA,NA,-54.604,NA
36281,-2.26312,4.67119,-4.55415,NA,-69.014,NA,NA,NA
36537,-2.3311,4.19069,-4.82432,-47.017,NA,NA,NA,NA
36765,-2.14908,3.56109,-4.44877,NA,-49.515,NA,NA,NA
36856,-1.42339,3.57871,-4.4157,NA,-32.211,NA,NA,NA
37154,-1.64749,4.19315,-4.58067,NA,-38.652,NA,NA,NA
37372,-2.77256,4.2941,-4.63316,NA,NA,-99.58,NA,NA
37436,-2.61892,4.19626,-4.52058,NA,-70.032,NA,NA,NA
37603,-2.34599,4.02075,-4.2549,NA,NA,NA,-61.975,NA
37961,-1.85019,4.27681,-4.76375,NA,NA,NA,-44.97,NA
38157,-2.86085,3.49773,-3.71295,NA,-112.646,NA,NA,NA
38224,-2.0112,4.37963,-4.96215,NA,NA,NA,-54.677,NA
38520,-1.75484,4.4125,-4.29624,NA,-51.328,NA,NA,NA
38718,-2.36524,3.4624,-4.72803,NA,NA,-59.401,NA,NA
38917,-2.17971,4.57409,-4.64742,-60.798,NA,NA,NA,NA
39159,-1.96447,4.89449,-4.91733,-74.355,NA,NA,NA,NA
39269,-1.3867,4.33307,-4.48991,NA,NA,NA,-51.452,NA
39531,-1.34808,4.56967,-3.93917,NA,NA,NA,-88.189,NA
39620,-1.52806,4.80511,-4.93761,-73.338,NA,NA,NA,NA
39936,-2.40632,4.00307,-4.74808,-53.295,NA,NA,NA,NA
40186,-2.66194,4.17863,-4.65041,NA,NA,NA,-70.068,NA
40271,-1.70493,3.67904,-4.31482,NA,-48.884,NA,NA,NA
40523,-1.83843,3.8644,-4.41422,NA,-39.116,NA,NA,NA
40651,-1.17064,3.86931,-4.96256,NA,NA,NA,-64.429,NA
40952,-1.13964,4.0421,-4.55862,NA,-43.623,NA,NA,NA
41053,-0.985843,4.12064,-4.82724,NA,-61.872,NA,NA,NA
41319,-1.54181,4.18808,-4.7497,NA,-35.245,NA,NA,NA
41599,-1.2074,3.94106,-4.641,NA,-31.472,NA,NA,NA
41768,-1.1436,3.68456,-4.73835,NA,-31.659,NA,NA,NA
41879,-1.93513,3.64822,-4.55513,NA,-36.743,NA,NA,NA
42199,-1.87923,3.38777,-4.34589,-59.343,NA,NA,NA,NA
42295,-1.92907,3.65688,-4.11433,NA,-64.008,NA,NA,NA
42496,-2.55442,4.22559,-4.37315,NA,-73.799,NA,NA,NA
42728,-2.46691,3.70469,-4.90088,NA,-51.453,NA,NA,NA
42905,-2.01262,4.41085,-4.99336,NA,-41.067,NA,NA,NA
43158,-2.54312,3.35816,-4.30883,NA,NA,NA,-65.844,NA
43351,-2.19478,3.66598,-4.81289,-61.298,NA,NA,NA,NA
43527,-0.993791,4.26314,-4.95755,NA,-82.169,NA,NA,NA
43745,-2.31107,3.93776,-4.06275,-74.93,NA,NA,NA,NA
43911,-2.35544,4.22953,-4.25142,-53.14,NA,NA,NA,NA
44162,-2.39938,4.71722,-4.7352,NA,NA,NA,NA,-100.747
44204,-2.43308,4.43172,-4.41407,-66.544,NA,NA,NA,NA
44477,-1.72105,4.31072,-4.8249,NA,-51.424,NA,NA,NA
44678,-1.80232,3.57108,-4.48207,-39.664,NA,NA,NA,NA
44969,-1.94881,3.70418,-4.67699,NA,-32.23,NA,NA,NA
45162,-2.17626,3.86582,-4.57491,NA,-42.702,NA,NA,NA
45366,-1.95101,3.13427,-4.58426,-74.616,NA,NA,NA,NA
45509,-2.05856,3.5138,-4.74593,-39.989,NA,NA,NA,NA
45744,-2.14795,4.17919,-4.77654,-42.283,NA,NA,NA,NA
45898,-2.2464,3.83445,-4.28953,NA,NA,-62.147,NA,NA
46110,-1.29345,4.92065,-4.92093,NA,NA,NA,-82.571,NA
46317,-1.3137,4.26747,-4.97003,-31.053,NA,NA,NA,NA
46478,-2.48808,3.66009,-4.71464,NA,NA,NA,-57.846,NA
46742,-2.25132,2.40103,-4.74611,NA,NA,NA,-103.961,NA
46930,-1.16397,3.61086,-4.91725,NA,-37.012,NA,NA,NA
47179,-1.26134,3.60749,-4.45759,NA,-32.318,NA,NA,NA
47358,-2.63444,4.63974,-4.79494,-79.613,NA,NA,NA,NA
47463,-2.13328,3.56364,-4.58549,-45.502,NA,NA,NA,NA
47713,-1.75178,3.94426,-4.85664,NA,NA,-74.225,NA,NA
47880,-1.56153,3.79002,-4.46622,-36.319,NA,NA,NA,NA
48129,-1.19915,4.18691,-4.65404,NA,-50.781,NA,NA,NA
48356,-2.17967,4.30696,-3.29289,NA,-116.396,NA,NA,NA
48595,-1.686,4.36131,-4.8335,NA,-48.421,NA,NA,NA
48675,-2.57677,3.73195,-4.60335,NA,-61.961,NA,NA,NA
48993,-2.04593,3.89446,-4.69301,NA,-36.439,NA,NA,NA
49158,-1.66094,3.60863,-4.96495,NA,NA,NA,-40.443,NA
49313,-1.35705,3.74945,-4.46702,NA,NA,NA,-49.331,NA
49459,-1.26964,3.87747,-4.6639,NA,-31.543,NA,NA,NA
49628,-1.45298,3.74175,-4.70862,-21.402,NA,NA,NA,NA
49959,-0.948111,4.18415,-4.58865,NA,-71.704,NA,NA,NA
50172,-2.26149,4.35515,-4.3284,NA,-55.983,NA,NA,NA
50375,-1.83407,4.27389,-4.69849,NA,NA,NA,-44.117,NA
50415,-2.54086,4.23747,-4.81982,NA,NA,NA,-64.074,NA
50787,-2.56316,4.47622,-4.56002,NA,-66.82,NA,NA,NA
50938,-2.69479,3.17779,-4.89468,NA,-75.026,NA,NA,NA
51096,-2.09731,4.77818,-4.37303,NA,-61.164,NA,NA,NA
51213,-2.18513,4.49262,-4.48742,NA,-60.219,NA,NA,NA
51594,-2.37133,4.37824,-4.36032,NA,-53.862,NA,NA,NA
51692,-2.19525,3.89917,-4.85111,NA,NA,-69.793,NA,NA
51998,-2.71195,3.47271,-4.9145,NA,-62.048,NA,NA,NA
52093,-2.27203,3.86892,-4.99537,NA,-35.28,NA,NA,NA
52211,-0.873227,3.88186,-4.79259,NA,-72.946,NA,NA,NA
52556,-2.26583,2.9622,-4.34419,NA,NA,NA,-67.322,NA
52661,-0.836902,3.71298,-4.34359,NA,-67.003,NA,NA,NA
52809,-1.15787,3.46774,-4.19653,-67.349,NA,NA,NA,NA
53055,-2.16241,4.226,-4.60388,NA,NA,-71.7,NA,NA
53304,-1.20533,3.24875,-4.8524,NA,-47.206,NA,NA,NA
53410,-1.0262,4.23671,-4.95641,NA,NA,NA,-50.115,NA
53748,-2.30674,3.69163,-4.91779,NA,-40.943,NA,NA,NA
53802,-1.7601,3.42638,-4.31697,NA,NA,NA,-90.649,NA
54185,-1.93574,2.9809,-4.88648,NA,NA,NA,-62.134,NA
54355,-1.52684,3.75268,-4.62409,NA,-11.467,NA,NA,NA
54478,-1.81921,4.36097,-4.90929,NA,-45.058,NA,NA,NA
54718,-1.34869,4.89091,-4.89408,NA,-84.409,NA,NA,NA
54879,-1.11341,3.85968,-4.77499,NA,-14.409,NA,NA,NA
55037,-1.55862,3.94345,-4.82803,NA,-9.019,NA,NA,NA
55356,-2.27443,3.17384,-4.64454,NA,NA,NA,-67.759,NA
55519,-1.5791,4.14894,-4.22945,NA,-50.538,NA,NA,NA
55666,-2.40955,3.30642,-4.80755,NA,-67.336,NA,NA,NA
55819,-1.53973,3.57664,-4.53959,NA,NA,NA,-36.143,NA
56032,-1.30936,4.62029,-4.52678,NA,-65.911,NA,NA,NA
56229,-1.84766,4.09668,-4.18148,NA,NA,-83.686,NA,NA
56437,-1.15101,4.3888,-4.1497,NA,NA,NA,-94.366,NA
56779,-1.87086,4.7948,-4.76617,NA,-64.301,NA,NA,NA
56984,-2.40716,4.26559,-4.56759,NA,NA,NA,-62.875,NA
57168,-2.46148,3.49726,-4.73836,NA,-58.838,NA,NA,NA
57272,-2.32393,4.27874,-4.44795,NA,-45.594,NA,NA,NA
57469,-2.6816,3.62536,-4.19851,-84.058,NA,NA,NA,NA
57683,-2.223,4.93936,-4.18259,NA,-86.123,NA,NA,NA
57890,-2.09251,4.42302,-4.47868,NA,-59.121,NA,NA,NA
58114,-2.12318,4.73287,-3.91745,-95.545,NA,NA,NA,NA
58334,-1.23243,3.56927,-4.8502,NA,-15.596,NA,NA,NA
58442,-1.52396,3.59187,-4.61505,NA,-12.138,NA,NA,NA
58763,-1.96412,3.48892,-4.97784,-69.747,NA,NA,NA,NA
58899,-1.40061,3.23687,-4.59237,NA,-42.307,NA,NA,NA
59107,-1.30869,4.09667,-4.67412,NA,NA,NA,-43.023,NA
59275,-1.82607,4.58298,-4.72804,NA,-51.634,NA,NA,NA
59402,-1.57751,3.9331,-4.85223,-8.635,NA,NA,NA,NA
59704,-1.93461,4.25512,-4.56413,NA,NA,NA,-47.437,NA
59846,-1.6539,4.11822,-4.71273,-35.581,NA,NA,NA,NA
60012,-2.18467,4.30568,-4.08677,NA,-70.661,NA,NA,NA
60369,-2.21478,3.87252,-4.8713,NA,-40.484,NA,NA,NA
60584,-1.77983,4.70021,-4.68359,NA,NA,NA,-73.723,NA
60776,-2.26631,4.08955,-4.51307,NA,NA,NA,-59.416,NA
60806,-2.29348,4.90283,-4.63723,NA,-74.131,NA,NA,NA
61077,-1.4909,4.91755,-4.66952,NA,-77.217,NA,NA,NA
61375,-0.738207,3.48361,-4.97218,NA,-79.957,NA,NA,NA
61409,-2.47254,4.60249,-4.97888,NA,NA,NA,-69.834,NA
61760,-1.66966,4.97192,-4.13307,-101.264,NA,NA,NA,NA
61894,-2.47754,4.57097,-4.21894,-83.499,NA,NA,NA,NA
62016,-2.72854,4.73594,-4.47901,NA,NA,NA,-85.782,NA
62222,-2.20673,4.55887,-4.61413,NA,-59.003,NA,NA,NA
62583,-2.00924,3.49479,-4.94847,NA,-21.732,NA,NA,NA
62640,-1.3403,3.62308,-4.63639,NA,NA,NA,-34.141,NA
62836,-2.56577,4.45455,-4.78355,NA,NA,NA,-65.743,NA
63057,-2.49395,4.4071,-4.60055,NA,-62.009,NA,NA,NA
63384,-1.64473,4.42263,-4.80651,NA,-46.922,NA,NA,NA
63596,-2.03083,3.972,-4.9819,NA,-35.343,NA,NA,NA
63608,-1.2884,3.95217,-4.83014,-43.692,NA,NA,NA,NA
63881,-1.19282,3.44564,-4.94543,-46.982,NA,NA,NA,NA
64012,-1.36684,3.93123,-4.24205,NA,-55.363,NA,NA,NA
64206,-2.43755,4.6358,-4.72702,NA,-61.53,NA,NA,NA
64557,-2.25442,4.5636,-4.2592,NA,-78.927,NA,NA,NA
64619,-0.743111,3.44019,-4.97892,NA,-56.412,NA,NA,NA
64884,-1.65748,3.80127,-4.85145,NA,-15.366,NA,NA,NA
65162,-1.50912,4.05046,-4.87273,NA,NA,NA,-33.836,NA
65217,-1.41884,3.99044,-4.32167,-50.297,NA,NA,NA,NA
65546,-1.70749,3.74982,-4.90343,NA,NA,NA,-49.479,NA
65775,-1.21795,4.07941,-4.84353,NA,-35.51,NA,NA,NA
65843,-2.10091,2.96713,-4.80204,NA,NA,NA,-60.128,NA
66140,-1.68028,3.23907,-4.72461,NA,-42.126,NA,NA,NA
66216,-1.81576,3.39412,-4.49967,-53.369,NA,NA,NA,NA
66567,-1.63011,3.21868,-4.6717,-42.779,NA,NA,NA,NA
66721,-0.98879,3.52498,-4.70924,-69.434,NA,NA,NA,NA
66893,-2.08703,4.38398,-4.91034,NA,NA,NA,NA,-92.481
67012,-2.57172,4.69239,-4.30435,-84.779,NA,NA,NA,NA
67262,-1.5187,4.43906,-4.2122,-86.32,NA,NA,NA,NA
67444,-1.45595,4.03364,-4.40904,NA,-36.344,NA,NA,NA
67785,-1.72353,4.22751,-4.88249,NA,-40.676,NA,NA,NA
67909,-2.66095,4.4875,-4.56627,NA,-69.892,NA,NA,NA
68076,-2.61864,4.65806,-4.55253,NA,NA,NA,-79.844,NA
68364,-2.21294,3.30868,-3.70023,NA,NA,NA,-98.85,NA
68552,-1.80023,3.64631,-4.27054,-50.422,NA,NA,NA,NA
68683,-1.71504,4.18768,-3.99616,-81.628,NA,NA,NA,NA
68873,-2.6259,4.0922,-4.55528,NA,-62.993,NA,NA,NA
69062,-3.2113,3.45136,-4.69652,NA,-84.813,NA,NA,NA
69351,-1.97839,3.29146,-4.37749,NA,NA,NA,-47.242,NA
69523,-1.92561,3.81725,-4.81626,-27.076,NA,NA,NA,NA
69601,-2.19378,4.44875,-4.57623,-57.768,NA,NA,NA,NA
69901,-2.32545,4.22432,-4.14578,NA,-64.988,NA,NA,NA
70124,-1.15479,4.23748,-4.67426,NA,-59.445,NA,NA,NA
70257,-1.59404,4.64841,-4.49522,NA,-66.281,NA,NA,NA
70483,-1.48875,4.17017,-4.85169,NA,NA,NA,-47.514,NA
70637,-1.77056,4.95475,-4.9719,NA,NA,NA,-71.69,NA
70981,-1.6517,3.58264,-4.64545,NA,NA,NA,-39.442,NA
71110,-1.30967,3.94818,-4.02983,NA,-80.091,NA,NA,NA
71317,-2.51235,4.08848,-4.28227,NA,NA,NA,-66.539,NA
71562,-2.455,3.51041,-4.46387,NA,-61.951,NA,NA,NA
71703,-1.98356,4.20095,-4.90679,NA,-31.029,NA,NA,NA
71888,-1.70322,3.32413,-4.78864,NA,-36.346,NA,NA,NA
72169,-1.41228,3.24235,-4.43711,NA,-67.642,NA,NA,NA
72347,-1.93841,4.35764,-4.32755,NA,-60.957,NA,NA,NA
72597,-1.85821,4.7513,-3.64458,NA,-105.971,NA,NA,NA
72724,-1.4824,3.52465,-4.76631,NA,NA,NA,-37.325,NA
72905,-1.87652,3.2436,-4.65134,NA,-44.753,NA,NA,NA
73111,-1.53678,3.92861,-4.67248,NA,-14.297,NA,NA,NA
73260,-2.2266,4.64824,-4.78531,NA,-63.947,NA,NA,NA
73548,-0.887535,4.48881,-4.97726,NA,NA,NA,-91.954,NA
73649,-1.83466,4.2229,-4.49255,NA,-40.414,NA,NA,NA
73839,-1.62352,3.25467,-4.3829,NA,-40.585,NA,NA,NA
74092,-1.40907,3.15604,-4.79499,NA,-42.623,NA,NA,NA
74263,-1.62426,3.77275,-4.84166,-12.974,NA,NA,NA,NA
74413,-1.60316,4.10393,-4.36976,NA,-37.841,NA,NA,NA
74732,-1.96333,4.13792,-4.94674,NA,-30.291,NA,NA,NA
74918,-1.67674,4.59029,-3.69771,NA,-94.743,NA,NA,NA
75195,-2.32643,3.90695,-4.38117,NA,-68.826,NA,NA,NA
