id,x0,x1,x2,fitness4,fitness4.5,fitness7,fitness7.5,fitness8,fitness9,fitness8.5,fitness6.5
4429,8.23463,7.57124,7.02081,NA,NA,NA,NA,NA,NA,0.732,NA
4660,7.23004,6.74163,7.33575,NA,NA,NA,NA,0.724,NA,NA,NA
4846,7.41625,7.2368,7.18204,NA,NA,NA,NA,0.873,NA,NA,NA
5182,7.62686,7.87575,7.75513,NA,NA,NA,0.977,NA,NA,NA,NA
5334,7.67546,7.7552,8.41017,NA,NA,NA,0.91,NA,NA,NA,NA
5421,7.6047,7.44598,7.57723,NA,NA,NA,NA,0.954,NA,NA,NA
5733,7.80971,7.16354,7.6812,NA,NA,NA,NA,NA,NA,0.857,NA
5901,7.67538,7.33426,8.21854,NA,NA,NA,NA,0.886,NA,NA,NA
6058,8.4677,6.74969,7.8317,NA,NA,NA,NA,0.653,NA,NA,NA
6323,7.65118,6.96848,7.86008,NA,NA,NA,NA,NA,NA,0.77,NA
6459,7.17138,7.62926,8.02657,NA,NA,NA,0.882,NA,NA,NA,NA
6699,6.8401,8.04633,8.47202,NA,NA,NA,NA,0.675,NA,NA,NA
6879,7.86451,7.61543,8.37211,NA,NA,0.808,NA,NA,NA,NA,NA
7157,7.34628,7.60697,8.03313,NA,NA,NA,NA,NA,NA,0.88,NA
7380,7.72293,8.16391,7.08042,NA,NA,NA,NA,0.837,NA,NA,NA
7555,8.4364,8.37963,7.28274,NA,NA,NA,NA,0.781,NA,NA,NA
7755,8.75765,7.39479,7.63742,NA,NA,NA,NA,0.754,NA,NA,NA
7880,8.1038,7.86989,8.24957,NA,NA,NA,NA,NA,NA,0.738,NA
8062,7.8872,8.46818,7.19166,NA,NA,NA,NA,0.811,NA,NA,NA
8313,7.268,8.05776,8.20122,NA,NA,NA,0.878,NA,NA,NA,NA
8565,8.13809,7.33514,7.88994,NA,NA,NA,0.92,NA,NA,NA,NA
8756,7.77474,7.60907,7.55772,NA,NA,NA,NA,NA,NA,NA,0.77
8828,7.54859,8.2882,7.33932,NA,NA,NA,0.887,NA,NA,NA,NA
9129,7.71817,8.09318,7.06453,NA,NA,NA,NA,0.881,NA,NA,NA
9274,8.04314,7.94804,8.27821,NA,NA,NA,NA,0.873,NA,NA,NA
9591,8.1855,7.80702,7.80817,NA,NA,NA,NA,0.921,NA,NA,NA
9718,8.42738,7.8686,7.06638,NA,NA,NA,0.791,NA,NA,NA,NA
9886,7.55879,7.92378,7.55246,NA,NA,0.935,NA,NA,NA,NA,NA
10181,8.87322,7.81517,8.39217,NA,NA,NA,NA,0.691,NA,NA,NA
10387,7.62747,6.66102,7.54305,NA,NA,0.684,NA,NA,NA,NA,NA
10469,8.43781,7.67734,8.15542,NA,NA,NA,NA,NA,NA,NA,0.615
10628,7.74279,7.90679,8.60144,NA,NA,NA,0.854,NA,NA,NA,NA
10815,7.9838,7.77146,8.25606,NA,NA,0.764,NA,NA,NA,NA,NA
11059,7.7891,7.50896,7.27381,NA,NA,NA,NA,0.937,NA,NA,NA
11325,7.70379,7.49965,6.88362,NA,NA,NA,NA,0.801,NA,NA,NA
11505,8.07625,6.9052,6.90578,NA,NA,NA,0.7,NA,NA,NA,NA
11788,8.00219,8.36198,7.96381,NA,NA,NA,NA,0.852,NA,NA,NA
11827,8.36066,7.10062,8.11569,NA,NA,NA,NA,0.807,NA,NA,NA
12092,8.13178,8.12843,6.74077,NA,NA,NA,NA,0.694,NA,NA,NA
12269,7.64494,7.97032,7.61381,NA,NA,NA,NA,NA,NA,0.92,NA
12401,7.84495,7.08851,7.05018,NA,NA,NA,NA,0.82,NA,NA,NA
12705,8.7079,7.66464,7.82885,NA,NA,NA,NA,0.828,NA,NA,NA
12955,7.46869,7.90797,7.31375,NA,NA,NA,0.938,NA,NA,NA,NA
13090,6.83924,7.91634,8.00695,NA,NA,NA,0.79,NA,NA,NA,NA
13354,7.5776,8.71163,8.04202,NA,NA,NA,NA,0.783,NA,NA,NA
13540,7.8481,8.05118,8.17512,NA,NA,NA,NA,0.922,NA,NA,NA
13791,8.11956,8.50691,8.04562,NA,NA,NA,0.831,NA,NA,NA,NA
13949,7.91508,7.74772,8.13041,NA,NA,NA,NA,0.949,NA,NA,NA
14009,7.36156,7.92025,8.47037,NA,NA,NA,0.823,NA,NA,NA,NA
14214,8.17727,7.68839,7.74404,NA,NA,NA,0.951,NA,NA,NA,NA
14402,7.53916,7.15834,7.23435,NA,NA,NA,0.88,NA,NA,NA,NA
14664,7.8509,7.24584,7.1365,NA,NA,NA,0.879,NA,NA,NA,NA
14813,7.50366,7.59181,7.58641,NA,NA,0.833,NA,NA,NA,NA,NA
15160,7.51813,8.04725,8.08527,NA,NA,NA,NA,0.923,NA,NA,NA
15244,7.27687,8.45494,7.08708,NA,NA,NA,0.77,NA,NA,NA,NA
15490,6.90243,7.66021,7.82877,NA,NA,NA,0.84,NA,NA,NA,NA
15783,7.00527,8.28558,7.51743,NA,NA,NA,NA,0.808,NA,NA,NA
15995,7.44383,7.20468,7.72584,NA,NA,NA,NA,0.896,NA,NA,NA
16034,7.92372,7.76222,7.26233,NA,NA,NA,NA,0.942,NA,NA,NA
16352,6.93616,8.19403,7.69872,NA,NA,NA,NA,0.776,NA,NA,NA
16447,7.30706,8.16314,6.8099,NA,NA,NA,0.757,NA,NA,NA,NA
16748,7.28714,7.67725,7.31801,NA,NA,NA,NA,0.928,NA,NA,NA
16962,8.91459,7.78877,8.03413,NA,NA,NA,NA,NA,NA,0.59,NA
17061,8.58197,8.40933,8.06023,NA,NA,NA,NA,0.753,NA,NA,NA
17285,7.20713,8.3367,7.69509,NA,NA,NA,0.864,NA,NA,NA,NA
17514,8.36492,7.93748,6.98611,NA,NA,NA,0.757,NA,NA,NA,NA
17656,8.10802,8.09938,7.51723,NA,NA,NA,0.927,NA,NA,NA,NA
17823,8.47769,8.03192,8.25963,NA,NA,NA,NA,0.813,NA,NA,NA
18124,8.38825,7.71542,7.80249,NA,NA,0.819,NA,NA,NA,NA,NA
18310,8.3474,7.48184,7.71195,NA,NA,NA,NA,0.913,NA,NA,NA
18496,7.29329,7.65926,7.42381,NA,NA,NA,NA,0.922,NA,NA,NA
18719,7.88715,7.79133,8.29601,NA,NA,NA,NA,NA,0.729,NA,NA
18861,7.62469,8.04006,8.07324,NA,NA,NA,NA,NA,NA,0.799,NA
19123,7.45588,7.5971,7.19554,NA,NA,NA,0.925,NA,NA,NA,NA
19299,6.94093,8.12653,7.84314,NA,NA,NA,0.792,NA,NA,NA,NA
19411,8.09274,7.88162,7.33958,NA,NA,NA,NA,0.896,NA,NA,NA
19733,8.28876,7.31178,7.92345,NA,NA,NA,NA,0.892,NA,NA,NA
19926,8.2584,7.63634,8.17774,NA,NA,NA,NA,0.888,NA,NA,NA
20155,8.57292,7.75843,8.34327,NA,NA,NA,NA,0.791,NA,NA,NA
20350,8.15637,7.82946,8.0188,NA,NA,NA,NA,0.898,NA,NA,NA
20596,8.24161,7.50989,8.35821,NA,NA,NA,0.824,NA,NA,NA,NA
20751,7.70551,8.12511,8.13462,NA,NA,NA,0.93,NA,NA,NA,NA
20914,8.0783,7.9233,7.95186,NA,NA,NA,0.933,NA,NA,NA,NA
21137,8.29113,7.70648,8.56498,NA,NA,NA,0.798,NA,NA,NA,NA
21379,7.92139,7.32132,7.88766,NA,NA,NA,NA,0.912,NA,NA,NA
21514,7.20687,8.48546,7.83315,NA,NA,NA,NA,0.817,NA,NA,NA
21719,8.69098,7.28481,7.95412,NA,NA,NA,NA,0.767,NA,NA,NA
21925,8.05593,7.6717,7.47405,NA,NA,NA,0.926,NA,NA,NA,NA
22108,7.02351,7.75591,8.56213,NA,NA,0.721,NA,NA,NA,NA,NA
22220,7.39357,7.39861,7.79794,NA,NA,NA,0.955,NA,NA,NA,NA
22430,8.18,7.48589,7.06064,NA,NA,0.803,NA,NA,NA,NA,NA
22603,7.90273,6.81386,7.09979,NA,NA,NA,0.745,NA,NA,NA,NA
22807,8.07745,7.244,7.24295,NA,NA,NA,NA,0.862,NA,NA,NA
23004,7.83326,7.06552,7.61466,NA,NA,NA,NA,NA,NA,0.812,NA
23202,8.26288,7.32323,8.19389,NA,NA,NA,NA,0.858,NA,NA,NA
23466,7.80725,8.52827,7.39958,NA,NA,NA,NA,0.855,NA,NA,NA
23781,8.45222,7.36568,7.27798,NA,NA,NA,0.825,NA,NA,NA,NA
23887,8.44149,6.84009,8.12777,NA,NA,0.561,NA,NA,NA,NA,NA
24071,7.5927,7.33979,8.71078,NA,NA,NA,0.784,NA,NA,NA,NA
24246,7.90821,7.88868,8.46807,NA,NA,NA,0.852,NA,NA,NA,NA
24516,7.45044,7.56814,8.33605,NA,NA,NA,0.907,NA,NA,NA,NA
24688,7.52742,8.56445,7.72323,NA,NA,NA,NA,0.861,NA,NA,NA
24802,7.60256,8.26238,7.6178,NA,NA,NA,NA,0.899,NA,NA,NA
25099,7.77261,8.25233,7.19347,NA,NA,NA,NA,NA,NA,0.792,NA
25288,7.92672,7.70929,7.34898,NA,NA,NA,NA,0.95,NA,NA,NA
25473,7.1741,7.85944,7.16537,NA,NA,NA,0.87,NA,NA,NA,NA
25636,7.52908,7.81953,8.23042,NA,NA,NA,NA,0.926,NA,NA,NA
25955,7.87213,8.04042,7.07124,NA,NA,NA,NA,0.881,NA,NA,NA
26112,7.26368,7.4432,8.10307,NA,NA,NA,NA,0.908,NA,NA,NA
26216,7.4918,8.78966,6.73189,NA,NA,0.56,NA,NA,NA,NA,NA
26420,7.67707,7.86086,8.15918,NA,NA,0.909,NA,NA,NA,NA,NA
26766,7.86009,8.1829,7.94833,NA,NA,NA,NA,0.891,NA,NA,NA
26915,7.99642,7.59534,8.08573,NA,NA,NA,NA,NA,0.759,NA,NA
27057,7.43182,8.37156,8.02592,NA,NA,NA,0.878,NA,NA,NA,NA
27275,7.54541,7.32201,7.34489,NA,NA,NA,NA,0.93,NA,NA,NA
27468,7.30502,7.89732,7.32498,NA,NA,NA,NA,0.877,NA,NA,NA
27796,7.39788,8.33295,7.67538,NA,NA,NA,NA,NA,NA,0.731,NA
27913,7.01283,8.14517,7.78323,NA,NA,NA,NA,NA,NA,0.795,NA
28039,8.84851,8.19854,6.63781,NA,NA,NA,0.52,NA,NA,NA,NA
28214,7.86434,8.12933,7.68721,NA,NA,0.906,NA,NA,NA,NA,NA
28594,8.13819,8.20874,7.70732,NA,NA,0.842,NA,NA,NA,NA,NA
28608,8.24416,7.55919,7.43483,NA,NA,NA,0.917,NA,NA,NA,NA
28936,8.39733,7.56193,7.62628,NA,NA,NA,NA,NA,NA,0.834,NA
29148,7.72051,7.38461,7.38163,NA,NA,0.902,NA,NA,NA,NA,NA
29241,8.06795,7.84624,8.02641,NA,NA,NA,0.912,NA,NA,NA,NA
29426,8.37179,7.86097,7.3093,NA,NA,NA,NA,0.869,NA,NA,NA
29788,7.98193,6.97712,7.36807,NA,NA,NA,0.846,NA,NA,NA,NA
29901,7.10169,7.53955,7.23895,NA,NA,NA,0.832,NA,NA,NA,NA
30103,8.27397,7.91809,7.56554,NA,NA,NA,NA,0.906,NA,NA,NA
30368,8.1695,8.2414,7.92556,NA,NA,NA,0.894,NA,NA,NA,NA
30528,8.07049,8.09023,7.14619,NA,NA,NA,NA,0.841,NA,NA,NA
30616,7.50463,7.86035,7.72858,NA,NA,NA,NA,NA,NA,0.91,NA
30952,8.64102,8.13187,7.47202,NA,NA,NA,NA,0.787,NA,NA,NA
31154,7.79957,8.18906,8.21437,NA,NA,NA,NA,NA,0.696,NA,NA
31255,7.6604,8.07287,7.32797,NA,NA,NA,0.942,NA,NA,NA,NA
31579,6.83474,8.15517,7.94197,NA,NA,NA,0.773,NA,NA,NA,NA
31719,8.16571,8.11783,7.43104,NA,NA,NA,0.91,NA,NA,NA,NA
31845,7.59586,7.54017,8.1332,NA,NA,NA,NA,0.946,NA,NA,NA
32162,7.34069,7.70159,7.9596,NA,NA,0.901,NA,NA,NA,NA,NA
32251,7.39795,8.20339,8.13053,NA,NA,NA,NA,0.874,NA,NA,NA
32523,7.93297,7.52095,8.5746,NA,NA,NA,NA,NA,NA,0.739,NA
32731,7.66012,8.7949,8.01552,NA,NA,NA,NA,0.761,NA,NA,NA
32931,8.38978,8.2099,8.16691,NA,NA,0.764,NA,NA,NA,NA,NA
33035,7.99927,7.83379,7.81112,NA,NA,NA,0.969,NA,NA,NA,NA
33356,7.50042,7.00189,7.70272,NA,NA,NA,0.845,NA,NA,NA,NA
33463,7.33569,7.64209,7.92656,NA,NA,NA,0.942,NA,NA,NA,NA
33666,7.97061,7.78967,7.86006,NA,NA,NA,0.98,NA,NA,NA,NA
33999,7.64624,8.46584,7.22496,NA,NA,0.766,NA,NA,NA,NA,NA
34167,7.7803,8.06387,6.81334,NA,NA,0.671,NA,NA,NA,NA,NA
34322,7.8273,8.70281,7.25632,NA,NA,NA,NA,0.743,NA,NA,NA
34425,7.52523,8.38352,8.65568,NA,NA,NA,NA,0.755,NA,NA,NA
34713,8.16235,7.87658,7.73027,NA,NA,0.856,NA,NA,NA,NA,NA
34936,7.42993,8.0169,7.28985,NA,NA,NA,0.926,NA,NA,NA,NA
35001,7.20852,7.74229,7.89671,NA,NA,NA,0.937,NA,NA,NA,NA
35255,7.33967,7.23918,6.7855,NA,NA,NA,NA,0.743,NA,NA,NA
35525,7.52135,7.7278,8.25308,NA,NA,NA,NA,NA,NA,0.804,NA
35616,8.17335,7.65844,8.47092,NA,NA,NA,NA,0.846,NA,NA,NA
35941,7.68546,7.75299,7.47551,NA,NA,NA,NA,NA,NA,0.92,NA
36122,8.21198,7.68395,7.83111,NA,NA,NA,0.94,NA,NA,NA,NA
36294,8.06649,7.25549,7.65436,NA,NA,0.883,NA,NA,NA,NA,NA
36414,6.90929,7.38038,7.63124,NA,NA,NA,0.836,NA,NA,NA,NA
36708,7.4916,7.88599,7.70171,NA,NA,NA,NA,0.972,NA,NA,NA
36824,7.96283,7.59747,8.5668,NA,NA,NA,NA,0.837,NA,NA,NA
37137,8.18671,8.04889,8.59463,NA,NA,NA,NA,0.792,NA,NA,NA
37311,7.85778,7.41245,7.7473,NA,NA,NA,NA,0.974,NA,NA,NA
37451,8.22394,7.93059,7.32652,NA,NA,NA,0.902,NA,NA,NA,NA
37732,7.81948,7.3104,7.23417,NA,NA,NA,0.9,NA,NA,NA,NA
37863,7.65129,7.57273,7.69494,NA,NA,NA,NA,0.979,NA,NA,NA
38024,7.75333,7.07883,7.91307,NA,NA,NA,NA,NA,NA,0.832,NA
38207,7.92919,7.18203,8.12811,NA,NA,NA,NA,0.876,NA,NA,NA
38536,7.58809,8.07245,7.1743,NA,NA,NA,NA,0.903,NA,NA,NA
38765,7.76215,7.70528,7.88864,NA,NA,NA,0.99,NA,NA,NA,NA
38881,7.3547,7.27841,7.79267,NA,NA,NA,NA,0.927,NA,NA,NA
39193,7.35479,7.49352,7.70976,NA,NA,NA,NA,0.941,NA,NA,NA
39296,8.20582,8.22737,8.11943,NA,NA,NA,0.824,NA,NA,NA,NA
39565,8.11141,8.12247,7.8294,NA,NA,0.877,NA,NA,NA,NA,NA
39754,7.42904,8.28748,8.22398,NA,NA,NA,0.864,NA,NA,NA,NA
39905,7.87192,7.37804,7.3165,NA,NA,NA,NA,0.934,NA,NA,NA
40158,7.90234,8.07227,8.52612,NA,NA,NA,NA,NA,NA,0.787,NA
40374,8.21538,7.7115,7.85793,NA,NA,NA,NA,NA,NA,0.888,NA
40600,7.87371,8.02236,7.51963,NA,NA,NA,NA,NA,NA,0.829,NA
40799,6.89286,7.96235,7.72425,NA,NA,NA,0.806,NA,NA,NA,NA
40831,7.39781,7.63704,7.1374,NA,NA,NA,NA,0.902,NA,NA,NA
41041,7.25062,7.58281,7.15835,NA,NA,NA,0.879,NA,NA,NA,NA
41318,7.8392,7.73114,7.44235,NA,NA,NA,NA,NA,NA,NA,0.729
41410,7.2779,7.51881,7.53413,NA,NA,0.857,NA,NA,NA,NA,NA
41654,8.05616,7.99118,7.76657,NA,NA,NA,NA,0.93,NA,NA,NA
41823,7.55206,7.70703,8.32509,NA,NA,NA,0.913,NA,NA,NA,NA
42098,7.28151,7.52462,7.44111,NA,NA,NA,0.925,NA,NA,NA,NA
42363,8.20571,8.227,7.53385,NA,NA,NA,0.89,NA,NA,NA,NA
42594,8.42542,7.3475,8.17617,NA,NA,NA,NA,0.83,NA,NA,NA
42660,7.41838,7.8104,8.93172,NA,NA,NA,NA,0.726,NA,NA,NA
42988,7.63565,7.87383,8.26938,NA,NA,NA,0.934,NA,NA,NA,NA
43042,7.08639,8.0664,7.75116,NA,NA,NA,NA,0.852,NA,NA,NA
43271,7.88381,7.6611,7.4405,NA,NA,NA,NA,NA,NA,0.889,NA
43566,7.95547,7.27063,7.80357,NA,NA,NA,NA,NA,0.714,NA,NA
43618,7.36394,6.55851,7.6198,NA,NA,NA,NA,0.708,NA,NA,NA
43972,7.6399,7.18807,6.81144,NA,NA,NA,NA,NA,NA,0.692,NA
44194,7.10818,8.17694,7.39051,NA,NA,NA,NA,NA,NA,0.695,NA
44317,8.17123,8.07604,7.26518,NA,NA,NA,NA,0.887,NA,NA,NA
44580,7.97041,8.23518,7.18876,NA,NA,NA,NA,0.865,NA,NA,NA
44747,7.2613,7.55873,8.00551,NA,NA,NA,NA,0.903,NA,NA,NA
44905,7.19909,7.50306,7.81252,NA,NA,NA,0.924,NA,NA,NA,NA
45192,8.22163,6.94642,7.46282,NA,NA,NA,0.801,NA,NA,NA,NA
45279,7.75856,7.59962,8.09267,NA,NA,NA,0.94,NA,NA,NA,NA
45501,7.54113,7.59567,8.44036,NA,NA,NA,0.852,NA,NA,NA,NA
45796,7.65434,6.89847,8.27818,NA,NA,NA,NA,0.795,NA,NA,NA
45805,7.99338,8.61266,8.23846,NA,NA,0.692,NA,NA,NA,NA,NA
46106,8.18582,7.56714,7.96299,NA,NA,NA,0.938,NA,NA,NA,NA
46348,7.20562,7.86983,7.3046,NA,NA,NA,0.864,NA,NA,NA,NA
46544,6.8677,7.66741,7.97249,NA,NA,NA,NA,0.801,NA,NA,NA
46644,7.24309,7.39398,8.64155,NA,NA,NA,NA,0.73,NA,NA,NA
46901,8.1151,8.88789,8.1421,NA,NA,NA,NA,0.715,NA,NA,NA
47027,8.36356,8.71564,7.56509,NA,NA,NA,0.745,NA,NA,NA,NA
47238,7.73307,7.87121,7.37532,NA,NA,NA,NA,NA,NA,0.828,NA
47587,8.39559,7.5397,8.12962,NA,NA,NA,NA,0.865,NA,NA,NA
47663,8.18755,7.53817,8.49392,NA,NA,NA,NA,0.837,NA,NA,NA
47875,7.9271,7.52235,7.53085,NA,NA,0.875,NA,NA,NA,NA,NA
48163,7.67418,8.63807,8.1009,NA,NA,NA,0.821,NA,NA,NA,NA
48224,7.60237,8.58078,7.81114,NA,NA,NA,0.86,NA,NA,NA,NA
48544,7.85673,8.66561,8.52613,NA,NA,NA,0.716,NA,NA,NA,NA
48787,8.20936,8.56157,7.84326,NA,NA,NA,NA,0.808,NA,NA,NA
48911,6.6876,7.76719,7.53576,NA,NA,NA,0.781,NA,NA,NA,NA
49069,7.30243,8.46013,7.99959,NA,NA,NA,0.838,NA,NA,NA,NA
49378,7.37713,7.4765,7.44635,NA,NA,0.893,NA,NA,NA,NA,NA
49554,7.16276,8.05563,8.28809,NA,NA,NA,NA,0.84,NA,NA,NA
49604,7.77461,8.78199,7.53745,NA,NA,NA,NA,0.808,NA,NA,NA
49854,7.89943,8.33326,7.02839,NA,NA,NA,0.805,NA,NA,NA,NA
50085,8.23115,7.98007,7.17916,NA,NA,NA,0.865,NA,NA,NA,NA
50303,6.81928,7.98476,7.68261,NA,NA,0.726,NA,NA,NA,NA,NA
50504,8.33914,7.98922,7.87511,NA,NA,NA,NA,0.902,NA,NA,NA
50762,7.01812,7.9952,7.05377,NA,NA,NA,NA,0.785,NA,NA,NA
50901,7.47976,7.50989,7.19109,NA,NA,NA,NA,NA,NA,0.769,NA
51168,7.78115,8.50068,7.34091,NA,NA,NA,0.846,NA,NA,NA,NA
51229,8.06412,7.78311,7.31302,NA,NA,NA,0.94,NA,NA,NA,NA
51446,7.09032,7.85782,6.99761,NA,NA,NA,0.794,NA,NA,NA,NA
51718,8.04362,7.56097,7.45418,NA,NA,NA,0.938,NA,NA,NA,NA
51830,7.67585,6.87578,7.294,NA,NA,NA,0.805,NA,NA,NA,NA
52068,7.19502,8.04942,7.91009,NA,NA,NA,NA,NA,NA,0.804,NA
52387,7.65244,8.02881,7.10583,NA,NA,NA,NA,0.849,NA,NA,NA
52519,8.01566,8.29147,7.49892,NA,NA,0.826,NA,NA,NA,NA,NA
52620,8.07583,8.31589,7.54905,NA,NA,0.74,NA,NA,NA,NA,NA
52960,7.31396,7.75226,7.438,NA,NA,NA,NA,NA,NA,0.874,NA
53084,8.82293,7.67024,7.06235,NA,NA,NA,NA,NA,NA,0.636,NA
53266,7.78729,6.98243,7.77665,NA,NA,NA,NA,0.861,NA,NA,NA
53414,8.47491,7.86015,6.84559,NA,NA,0.578,NA,NA,NA,NA,NA
53643,7.99567,7.97904,7.27241,NA,NA,0.851,NA,NA,NA,NA,NA
53885,8.15107,7.43666,7.91863,NA,NA,0.793,NA,NA,NA,NA,NA
54140,7.55138,7.87456,7.30282,NA,NA,NA,NA,NA,NA,0.884,NA
54248,7.48619,8.01296,7.71027,NA,NA,NA,0.971,NA,NA,NA,NA
54443,8.75519,7.38518,7.2216,NA,NA,NA,NA,0.726,NA,NA,NA
54661,7.48172,8.37559,7.77814,NA,NA,NA,0.886,NA,NA,NA,NA
54929,7.82471,7.65162,8.44118,NA,NA,0.821,NA,NA,NA,NA,NA
55117,8.04519,7.09227,7.88097,NA,NA,0.836,NA,NA,NA,NA,NA
55399,7.85807,7.42177,7.9498,NA,NA,NA,NA,0.912,NA,NA,NA
55493,7.92038,7.33949,8.08742,NA,NA,NA,0.899,NA,NA,NA,NA
55758,7.50394,8.15264,7.75942,NA,NA,NA,NA,0.952,NA,NA,NA
55870,7.09851,7.4446,7.67415,NA,NA,NA,0.895,NA,NA,NA,NA
56123,6.99952,7.49281,8.00531,NA,NA,NA,NA,0.851,NA,NA,NA
56273,7.67352,7.31642,7.6058,NA,NA,NA,0.962,NA,NA,NA,NA
56571,8.09675,7.84761,7.77927,NA,NA,NA,NA,0.958,NA,NA,NA
56665,7.81653,7.77568,7.81478,NA,NA,NA,NA,0.993,NA,NA,NA
56831,7.7914,8.06239,7.83386,NA,NA,NA,NA,NA,NA,0.861,NA
57104,8.05299,8.20646,7.97027,NA,NA,NA,0.893,NA,NA,NA,NA
57230,7.23997,7.64167,7.20755,NA,NA,NA,0.869,NA,NA,NA,NA
57461,7.49707,7.11771,7.91022,NA,NA,NA,NA,0.865,NA,NA,NA
57763,7.73806,7.74615,8.22919,NA,NA,NA,0.914,NA,NA,NA,NA
57806,7.67113,7.69839,7.56682,NA,NA,NA,0.955,NA,NA,NA,NA
58005,8.04221,7.4283,7.78446,NA,NA,0.873,NA,NA,NA,NA,NA
58268,7.58884,7.30653,7.23481,NA,NA,NA,0.912,NA,NA,NA,NA
58419,8.31521,7.46204,8.50216,NA,NA,NA,NA,NA,0.594,NA,NA
58605,8.0727,8.27335,7.13646,NA,NA,NA,NA,0.811,NA,NA,NA
58849,8.05727,6.85351,7.87918,NA,NA,NA,NA,0.773,NA,NA,NA
59056,7.49044,7.68267,7.67973,NA,NA,NA,0.98,NA,NA,NA,NA
59399,7.62029,7.82153,6.88085,NA,NA,NA,NA,0.843,NA,NA,NA
59502,8.04884,7.14917,7.8562,NA,NA,NA,0.902,NA,NA,NA,NA
59747,7.27511,7.00335,8.2147,NA,NA,NA,NA,0.802,NA,NA,NA
59902,7.0047,7.33856,8.11686,NA,NA,NA,NA,0.813,NA,NA,NA
60115,6.86252,8.4003,7.73207,NA,NA,NA,0.742,NA,NA,NA,NA
60302,8.27972,7.37606,8.03695,NA,NA,NA,0.883,NA,NA,NA,NA
60406,8.10602,8.45355,8.43478,NA,NA,NA,NA,0.745,NA,NA,NA
60762,7.45869,8.13447,7.35115,NA,NA,NA,NA,0.908,NA,NA,NA
60810,8.22878,8.01085,6.89943,NA,NA,NA,0.771,NA,NA,NA,NA
61053,7.67121,7.71071,7.83013,NA,NA,NA,0.989,NA,NA,NA,NA
61398,7.60274,7.60234,7.94679,NA,NA,NA,NA,0.956,NA,NA,NA
61519,7.46801,7.22489,7.92782,NA,NA,NA,0.914,NA,NA,NA,NA
61666,8.89696,7.58252,8.33606,NA,NA,NA,0.702,NA,NA,NA,NA
61916,7.7419,6.94585,7.56437,NA,NA,NA,0.868,NA,NA,NA,NA
62081,8.48243,7.1652,7.09974,NA,NA,NA,NA,0.747,NA,NA,NA
62279,7.67387,7.8957,8.71681,NA,NA,NA,NA,0.771,NA,NA,NA
62428,7.86491,7.94111,7.69201,NA,NA,NA,NA,NA,NA,0.84,NA
62753,7.44071,7.03792,7.92432,NA,NA,NA,0.878,NA,NA,NA,NA
62923,7.89582,7.05266,7.64018,NA,NA,NA,0.863,NA,NA,NA,NA
63179,7.96528,7.1366,7.6103,NA,NA,NA,0.909,NA,NA,NA,NA
63369,7.59894,7.52041,7.94808,NA,NA,0.84,NA,NA,NA,NA,NA
63421,7.42038,7.80118,8.01918,NA,NA,NA,0.935,NA,NA,NA,NA
63601,7.23551,7.5125,8.30543,NA,NA,NA,0.84,NA,NA,NA,NA
63959,8.22277,7.78781,7.8975,NA,NA,NA,0.94,NA,NA,NA,NA
64088,7.30072,7.88812,8.06799,NA,NA,NA,0.932,NA,NA,NA,NA
64290,8.17577,7.54836,8.21811,NA,NA,NA,0.863,NA,NA,NA,NA
64538,7.49354,7.5612,8.40699,NA,NA,NA,0.895,NA,NA,NA,NA
