id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4.5,fitness-3,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-0.5,fitness-1,fitness0,fitness1,fitness0.5
14688,3.00366,2.01989,-4.94339,NA,NA,NA,-49.872,NA,NA,NA,NA,NA,NA,NA,NA,NA
14956,1.5091,1.86176,-4.00046,NA,NA,NA,NA,NA,-7.918,NA,NA,NA,NA,NA,NA,NA
15001,1.8496,3.1747,-4.33194,-83.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15351,2.69212,2.07468,-4.90128,-54.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15493,1.01054,1.00132,-3.7722,NA,NA,NA,NA,-109.208,NA,NA,NA,NA,NA,NA,NA,NA
15704,0.912593,1.57267,-4.00122,NA,NA,-125.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15970,2.08207,1.3795,-4.85097,NA,NA,-99.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16041,2.13309,1.32774,-5,NA,NA,-112.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16313,2.72887,1.93777,-5,NA,NA,NA,-40.953,NA,NA,NA,NA,NA,NA,NA,NA,NA
16447,2.81661,0.536939,-5,NA,NA,-152.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16770,3.04339,0.934341,-5,NA,-187.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16857,3.28335,1.82933,-5,NA,NA,-136.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17008,4.05867,1.67844,-5,NA,-233.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17380,2.84995,1.52616,-5,NA,NA,-104.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17439,2.69125,0.0992164,-5,NA,-230.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17651,3.15311,1.28274,-4.98903,NA,NA,NA,NA,-113.816,NA,NA,NA,NA,NA,NA,NA,NA
17807,2.4676,1.68373,-5,NA,NA,-125.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18032,2.68637,2.35533,-5,NA,NA,-131.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18340,0.920889,2.8835,-4.69389,NA,-178.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18483,1.10446,1.42203,-4.70483,-47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18609,0.602895,2.01608,-3.80863,NA,NA,-142.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18974,-0.384845,2.93417,-4.19181,-149.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19194,-0.393319,3.14551,-5,NA,NA,NA,-159.987,NA,NA,NA,NA,NA,NA,NA,NA,NA
19349,0.0017462,3.74569,-5,NA,NA,NA,NA,NA,NA,NA,-195.651,NA,NA,NA,NA,NA
19489,1.2806,4.58476,-5,NA,NA,NA,NA,NA,-194.475,NA,NA,NA,NA,NA,NA,NA
19619,0.256664,2.63143,-4.94024,NA,NA,NA,-86.607,NA,NA,NA,NA,NA,NA,NA,NA,NA
19978,0.167492,2.50689,-4.81184,-93.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20086,0.791721,2.25826,-4.96868,-61.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20332,1.06984,3.27933,-4.80206,NA,NA,NA,-82.939,NA,NA,NA,NA,NA,NA,NA,NA,NA
20417,1.08315,4.16555,-4.89239,-178.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20769,0.822393,2.49975,-2.70302,NA,NA,-176.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20970,1.78924,2.42916,-2.92796,NA,NA,NA,-69.774,NA,NA,NA,NA,NA,NA,NA,NA,NA
21195,2.1976,1.86011,-4.28796,NA,NA,NA,-16.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
21367,2.39356,1.69112,-5,-38.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21477,2.30592,2.15017,-5,NA,NA,NA,-34.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
21741,0.579561,2.21345,-5,-65.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21847,1.4612,2.65798,-5,-49.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22141,1.47494,2.76025,-5,NA,NA,NA,-46.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
22259,1.91937,1.86243,-4.69435,NA,NA,NA,NA,NA,NA,NA,-29.684,NA,NA,NA,NA,NA
22484,2.20635,1.06199,-3.90208,NA,NA,NA,NA,NA,NA,NA,-57.539,NA,NA,NA,NA,NA
22690,1.91133,1.688,-3.402,NA,NA,NA,NA,NA,NA,NA,-53.224,NA,NA,NA,NA,NA
22843,3.34074,1.50372,-3.57141,NA,NA,NA,NA,NA,NA,-80.136,NA,NA,NA,NA,NA,NA
23184,3.01234,2.29289,-4.05756,NA,NA,NA,NA,NA,NA,NA,-61.179,NA,NA,NA,NA,NA
23244,4.97446,1.26206,-4.33551,NA,NA,NA,NA,NA,NA,NA,-234.406,NA,NA,NA,NA,NA
23494,5,1.81834,-3.47706,NA,NA,NA,-286.686,NA,NA,NA,NA,NA,NA,NA,NA,NA
23746,2.91734,1.72233,-4.28095,NA,NA,NA,-44.756,NA,NA,NA,NA,NA,NA,NA,NA,NA
23951,2.40705,2.12983,-3.87986,NA,NA,NA,-27.648,NA,NA,NA,NA,NA,NA,NA,NA,NA
24068,1.25753,2.09167,-4.03705,NA,NA,NA,-18.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
24219,2.31377,3.13649,-3.31505,NA,NA,NA,NA,NA,NA,NA,-106.912,NA,NA,NA,NA,NA
24552,2.59045,2.59628,-4.94665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.45,NA,NA
24771,1.6158,3.19064,-5,NA,NA,NA,NA,NA,NA,NA,NA,-141.582,NA,NA,NA,NA
24859,1.29678,3.33499,-3.48106,NA,NA,NA,NA,NA,NA,-98.226,NA,NA,NA,NA,NA,NA
25151,2.30911,2.27796,-3.51359,NA,NA,NA,NA,NA,NA,NA,-49.103,NA,NA,NA,NA,NA
25364,2.1382,1.56279,-4.14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.862,NA,NA,NA
25600,1.78982,0.808742,-2.7187,NA,NA,NA,NA,NA,-110.687,NA,NA,NA,NA,NA,NA,NA
25621,1.57119,1.38314,-3.85413,NA,NA,-107.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25944,1.96119,1.80106,-5,-30.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26003,3.47437,0.649386,-3.91063,NA,NA,NA,NA,NA,-104.537,NA,NA,NA,NA,NA,NA,NA
26395,4.43081,0.593509,-4.03864,NA,NA,NA,NA,NA,NA,NA,-193.485,NA,NA,NA,NA,NA
26485,2.87812,0.903677,-4.55975,NA,NA,NA,-55.112,NA,NA,NA,NA,NA,NA,NA,NA,NA
26626,3.08805,1.83752,-5,NA,NA,NA,NA,NA,-50.789,NA,NA,NA,NA,NA,NA,NA
26902,2.24675,1.60355,-5,NA,NA,NA,NA,NA,-20.896,NA,NA,NA,NA,NA,NA,NA
27136,2.35846,2.70041,-4.99039,NA,NA,NA,NA,NA,NA,-44.417,NA,NA,NA,NA,NA,NA
27291,1.92191,3.16911,-5,NA,NA,NA,-70.599,NA,NA,NA,NA,NA,NA,NA,NA,NA
27440,2.1185,3.28463,-4.22757,NA,NA,NA,NA,NA,NA,-66.434,NA,NA,NA,NA,NA,NA
27734,0.608775,3.04575,-4.52011,NA,NA,NA,NA,NA,NA,NA,NA,-145.108,NA,NA,NA,NA
27811,1.37679,1.33351,-4.16054,NA,NA,NA,NA,NA,NA,NA,NA,-106.255,NA,NA,NA,NA
28146,3.95942,2.26948,-4.85851,NA,NA,NA,NA,NA,NA,NA,-138.978,NA,NA,NA,NA,NA
28373,2.79208,1.70692,-4.9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.214,NA,NA,NA
28407,2.34869,2.69559,-4.44068,NA,NA,NA,NA,NA,NA,-36.311,NA,NA,NA,NA,NA,NA
28668,2.55104,2.03095,-4.77259,NA,NA,NA,NA,NA,NA,NA,-49.157,NA,NA,NA,NA,NA
28827,2.5357,0.366917,-4.40933,NA,NA,NA,NA,NA,NA,NA,NA,NA,-143.147,NA,NA,NA
29159,1.99384,1.46435,-3.74511,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.777,NA,NA,NA
29252,1.65379,2.17835,-4.22871,NA,NA,NA,NA,NA,NA,-18.446,NA,NA,NA,NA,NA,NA
29548,0.651437,2.22422,-4.66761,NA,NA,NA,NA,NA,NA,-47.389,NA,NA,NA,NA,NA,NA
29625,1.77285,2.91196,-4.70632,NA,NA,NA,NA,NA,-40.369,NA,NA,NA,NA,NA,NA,NA
29920,2.77557,3.64857,-4.32738,NA,NA,NA,NA,NA,-108.884,NA,NA,NA,NA,NA,NA,NA
30155,1.7456,3.62976,-5,NA,NA,NA,-95.044,NA,NA,NA,NA,NA,NA,NA,NA,NA
30266,2.62392,2.69075,-4.5134,NA,NA,NA,NA,NA,-42.95,NA,NA,NA,NA,NA,NA,NA
30403,0.774782,3.9367,-5,NA,NA,-214.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30792,0.895493,2.79037,-3.8946,-68.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30802,1.93994,2.33493,-5,NA,NA,NA,NA,NA,NA,-26.356,NA,NA,NA,NA,NA,NA
31165,1.81849,2.91442,-4.4029,NA,NA,NA,-48.919,NA,NA,NA,NA,NA,NA,NA,NA,NA
31300,1.76913,2.28402,-4.02705,-43.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31497,1.05049,1.5956,-5,NA,NA,NA,-33.406,NA,NA,NA,NA,NA,NA,NA,NA,NA
31753,1.52749,1.28577,-5,NA,NA,NA,NA,-75.967,NA,NA,NA,NA,NA,NA,NA,NA
31923,1.17078,0.578901,-4.39014,NA,NA,NA,NA,-109.311,NA,NA,NA,NA,NA,NA,NA,NA
32179,0.379992,0.257011,-5,NA,-281.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32361,0.517516,0.820269,-4.79199,-110.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32460,0.550271,0.0942835,-4.72902,NA,NA,NA,-232.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
32630,1.60999,0.856326,-5,NA,NA,NA,NA,NA,NA,-60.112,NA,NA,NA,NA,NA,NA
32840,2.87219,-0.253805,-5,NA,NA,NA,NA,NA,NA,NA,NA,-337.405,NA,NA,NA,NA
33117,3.42918,0.0638613,-3.79766,NA,NA,NA,NA,NA,NA,NA,-193.002,NA,NA,NA,NA,NA
33215,2.68178,1.76797,-3.89751,NA,NA,NA,NA,NA,NA,NA,-47.807,NA,NA,NA,NA,NA
33585,3.21644,0.999054,-4.61959,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.407,NA,NA,NA
33695,1.30966,1.15591,-5,NA,NA,NA,NA,NA,-37.085,NA,NA,NA,NA,NA,NA,NA
33882,0.0672925,2.7965,-5,-120.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34093,0.245049,2.84597,-4.32023,NA,NA,NA,-88.561,NA,NA,NA,NA,NA,NA,NA,NA,NA
34231,0.175112,1.43203,-4.60058,NA,NA,NA,NA,-109.034,NA,NA,NA,NA,NA,NA,NA,NA
34421,1.22185,2.52708,-4.09373,NA,NA,-102.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34708,1.50528,2.38666,-3.62528,NA,NA,NA,NA,-76.542,NA,NA,NA,NA,NA,NA,NA,NA
34957,3.01033,1.85703,-4.51688,NA,NA,NA,NA,NA,NA,-42.827,NA,NA,NA,NA,NA,NA
35125,3.47232,1.85643,-5,NA,NA,NA,-76.536,NA,NA,NA,NA,NA,NA,NA,NA,NA
35220,3.03225,2.09709,-3.84114,-68.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35593,2.03092,3.27629,-4.68495,-89.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35674,3.00809,1.81361,-5,NA,NA,NA,NA,-92.771,NA,NA,NA,NA,NA,NA,NA,NA
35990,3.53765,0.00724032,-5,-177.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36103,3.05262,0.71401,-5,NA,NA,NA,-87.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
36345,3.91605,0.948369,-5,NA,NA,NA,-126.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
36567,3.97106,1.63598,-5,NA,NA,NA,NA,NA,NA,-113.343,NA,NA,NA,NA,NA,NA
36733,2.27861,2.1385,-4.44918,NA,NA,NA,NA,NA,-14.937,NA,NA,NA,NA,NA,NA,NA
36840,1.10191,1.36916,-5,NA,NA,NA,-34.984,NA,NA,NA,NA,NA,NA,NA,NA,NA
37083,1.55922,1.96151,-5,NA,NA,NA,-28.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
37356,0.590109,1.68717,-5,-74.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37522,0.829524,1.1001,-5,NA,-177.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37787,1.43845,0.708453,-5,NA,NA,NA,NA,-99.362,NA,NA,NA,NA,NA,NA,NA,NA
37920,2.17343,1.50911,-4.78159,NA,NA,-78.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38002,1.72746,2.11568,-3.80342,NA,-143.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38354,2.54021,2.08352,-4.29201,NA,-151.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38556,3.38107,3.4541,-3.38892,NA,-356.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38632,2.0655,2.59612,-3.14249,NA,NA,NA,NA,-108.963,NA,NA,NA,NA,NA,NA,NA,NA
38937,1.91385,2.40109,-3.53591,NA,-160.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39115,2.13433,2.90531,-4.35085,NA,NA,-105.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39347,0.0858359,2.80861,-3.65224,NA,NA,NA,NA,-152.333,NA,NA,NA,NA,NA,NA,NA,NA
39410,-0.220405,2.59696,-4.93118,NA,-214.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39633,-0.241299,2.62439,-5,NA,-240.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39933,0.518194,1.72628,-3.70082,NA,-175.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40181,2.36329,1.90802,-3.61486,NA,-161.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40329,3.93497,2.1071,-5,NA,-241.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40426,4.26492,2.67534,-5,NA,NA,-254.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40670,2.65636,2.60547,-4.47216,NA,-169.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40865,1.23906,2.59798,-5,NA,NA,-128.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41164,2.0224,2.58842,-5,NA,NA,NA,NA,-67.156,NA,NA,NA,NA,NA,NA,NA,NA
41263,2.49601,1.87971,-5,NA,NA,NA,NA,-78.03,NA,NA,NA,NA,NA,NA,NA,NA
41464,1.88026,0.738483,-4.15183,NA,NA,-121.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41788,1.84885,1.41437,-5,NA,NA,NA,NA,NA,-17.376,NA,NA,NA,NA,NA,NA,NA
41857,2.43498,2.06474,-5,NA,NA,NA,NA,NA,-27.503,NA,NA,NA,NA,NA,NA,NA
42113,3.01352,2.49025,-3.47953,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.769,NA,NA,NA
42387,2.43378,1.41476,-3.07063,NA,NA,NA,NA,NA,NA,NA,-80.921,NA,NA,NA,NA,NA
42433,2.97619,1.9898,-2.8977,NA,NA,NA,NA,NA,NA,-106.258,NA,NA,NA,NA,NA,NA
42682,3.83531,2.47126,-3.50341,NA,NA,NA,NA,NA,NA,NA,-144.681,NA,NA,NA,NA,NA
42840,3.60913,2.7336,-3.03955,NA,NA,NA,NA,NA,-171.883,NA,NA,NA,NA,NA,NA,NA
43070,3.27287,1.36888,-3.65476,NA,NA,NA,NA,NA,NA,NA,-81.037,NA,NA,NA,NA,NA
43388,1.36687,2.58471,-3.99423,NA,NA,NA,NA,NA,NA,-42.31,NA,NA,NA,NA,NA,NA
43594,3.18977,2.42729,-5,NA,NA,NA,NA,NA,-68.224,NA,NA,NA,NA,NA,NA,NA
43693,2.77592,2.14396,-4.51579,NA,NA,NA,NA,NA,NA,-35.143,NA,NA,NA,NA,NA,NA
43900,2.28896,2.67636,-5,NA,NA,NA,NA,NA,NA,NA,-54.549,NA,NA,NA,NA,NA
44185,2.1612,2.33293,-4.03869,NA,NA,NA,NA,-53.393,NA,NA,NA,NA,NA,NA,NA,NA
44304,1.47235,2.04766,-4.26143,NA,NA,NA,-14.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
44533,1.57613,1.98043,-5,-41.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44685,1.62244,2.13969,-5,NA,NA,-112.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44839,1.26552,1.0515,-5,-63.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45026,2.27829,0.388749,-5,NA,NA,NA,-87.964,NA,NA,NA,NA,NA,NA,NA,NA,NA
45396,1.82156,0.718312,-5,NA,NA,NA,NA,NA,-60.504,NA,NA,NA,NA,NA,NA,NA
45419,1.8699,0.788822,-3.05655,-89.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45608,1.62072,1.86757,-4.29377,NA,NA,-81.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45853,0.608167,2.57045,-4.60449,NA,NA,-151.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46140,0.66581,1.91643,-4.59221,NA,-160.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46221,1.71655,2.14556,-5,NA,NA,-117.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46453,0.933785,2.02392,-4.81145,-55.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46731,0.173617,2.13156,-3.8117,-85.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
