id,x0,x1,x2,fitness-1,fitness0,fitness-0.5,fitness-3,fitness-2.5,fitness-1.5,fitness-2,fitness0.5,fitness1,fitness3,fitness-3.5,fitness2,fitness1.5,fitness2.5,fitness4.5,fitness5,fitness3.5,fitness4,fitness-4.5,fitness-4
10325,1.34683,-0.833466,1.38877,NA,901.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10513,1.91335,-0.568558,1.25826,NA,NA,500.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10793,3.09695,0.784051,0.349753,NA,NA,NA,NA,NA,NA,NA,89.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10806,3.03608,-0.666929,-1.94281,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11151,4.27044,-0.678963,-2.01499,NA,NA,NA,NA,NA,NA,NA,NA,1212.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11349,4.79869,-1.03353,-1.93184,2964.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11487,4.84477,-2.64937,-1.04004,NA,NA,NA,NA,NA,2009.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11754,3.90139,-2.97188,-0.653693,NA,NA,1022.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11940,4.26735,-2.41816,-0.695662,297.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12175,4.32169,-2.01677,-0.630055,NA,NA,NA,NA,NA,3102.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12301,4.88841,-0.93904,-0.299817,NA,NA,NA,NA,NA,5824.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12499,3.69357,-1.49432,-0.673295,NA,NA,1089.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12717,3.82082,-2.49666,-0.97201,663.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12846,4.91291,-1.42371,-0.425367,NA,NA,655.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13121,4.73847,-1.03469,0.524931,1080.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13314,4.68671,0.268482,-0.310827,500.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13443,4.76999,0.0349611,-0.733748,NA,NA,NA,NA,NA,5701.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13601,4.11356,-0.97544,-1.43331,6288.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13887,4.21047,-1.45684,-1.36559,NA,NA,NA,NA,NA,NA,NA,NA,2990.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14066,2.84536,-0.960801,0.777206,NA,654.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14369,2.25367,-1.49936,-0.649598,NA,NA,NA,NA,NA,NA,1414.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14429,1.2478,-2.19137,-0.757464,NA,NA,NA,NA,NA,968.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14734,0.81968,-0.505744,-1.3357,NA,NA,NA,NA,NA,1200.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14824,0.0549016,-1.84118,-0.729914,NA,NA,NA,NA,NA,NA,346.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15185,2.10675,-0.831606,0.203836,NA,NA,258.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15360,0.448787,-1.59372,-0.53925,1569.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15452,-0.143875,-1.79223,-1.3561,NA,NA,NA,NA,NA,1155.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15644,-0.725827,-0.945855,-1.40112,27252.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15804,-1.33957,1.46012,-1.48481,NA,NA,NA,NA,NA,2757.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16055,-1.80361,1.01724,-1.54009,NA,NA,NA,NA,NA,258.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16340,-1.28614,1.4165,-0.222643,NA,NA,NA,NA,NA,2238.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16596,-0.779743,-0.468054,-0.987969,NA,NA,NA,NA,NA,NA,NA,NA,308.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16786,3.13553,-1.08767,-1.85462,135.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16847,3.43007,-1.462,-1.25266,NA,NA,NA,NA,NA,2795.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17108,4.0213,-1.41139,-1.65093,NA,NA,NA,NA,NA,920.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17357,3.18843,-2.00296,-1.5055,NA,NA,3122.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17557,0.70852,-0.622789,-2.00866,1064.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17659,0.196575,-0.708351,-1.38089,NA,NA,NA,NA,NA,NA,1956.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17849,0.3857,0.255776,-2.13935,NA,NA,NA,NA,NA,560.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18050,0.781265,0.0747062,-0.0735242,NA,NA,NA,NA,NA,NA,247.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18221,0.422347,-1.36002,1.3398,NA,NA,NA,NA,NA,NA,216.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18599,-1.68003,-0.632503,0.250469,NA,NA,1320.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18762,0.0237902,-0.502073,0.423607,NA,NA,NA,NA,NA,NA,56.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18912,-0.761835,-1.93732,-0.0180616,705.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19192,0.80837,-1.893,-0.354114,NA,NA,708.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19239,-0.737393,-0.676487,-0.391825,NA,NA,NA,NA,NA,NA,NA,2205.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19550,-0.584331,-1.43852,-1.9764,NA,1857.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19621,-1.98204,-0.228547,-1.90853,NA,340.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19943,-1.67738,-0.91587,-0.742409,NA,NA,NA,NA,NA,NA,NA,2782.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20082,-1.86648,-1.01161,0.110064,195.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20361,-1.30548,-1.28396,0.245493,NA,2718.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20405,-0.200856,-1.73002,-0.0178372,NA,NA,NA,NA,NA,NA,350.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20782,-1.42124,-1.67171,-1.12712,297.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20909,-2.35143,-1.64159,-0.943638,NA,959.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21032,-0.928253,-3.02236,-0.691278,NA,2338.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21334,-2.0087,-3.01579,-1.95895,NA,834.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21478,-0.214295,-3.68141,-2.55984,NA,NA,324.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21759,-0.894711,-4.77825,-1.49911,NA,NA,NA,NA,NA,NA,NA,632.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21925,-1.59825,-4.08225,-1.2255,NA,206.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22011,-0.564214,-3.95925,-2.18935,NA,NA,NA,NA,NA,710.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22253,-0.869262,-3.30899,-1.65796,NA,NA,NA,NA,117.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22437,-1.83762,-2.79202,-1.26904,261.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22626,-1.47234,-2.92453,-0.298377,1445.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22938,-1.40529,-1.69,-0.476449,NA,NA,NA,NA,NA,794.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23191,-1.17813,-2.00748,-0.94189,2101.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23293,-0.913438,-1.41533,-0.94274,NA,NA,24763.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23560,-0.577744,-2.49114,-1.9899,548.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23615,-0.554411,-1.72639,-1.90598,NA,NA,NA,NA,NA,NA,366.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23930,-1.07959,-1.30547,-0.267341,NA,NA,NA,NA,NA,1333.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24126,-1.61634,-0.656617,1.84733,NA,NA,NA,NA,702.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24266,-1.30414,-1.5207,1.99802,NA,NA,NA,NA,NA,NA,637.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24525,-1.0742,-2.37157,0.662336,NA,NA,NA,NA,NA,117.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24761,-0.173205,-1.46701,-0.815514,NA,NA,NA,NA,NA,18889.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24861,-0.603272,-1.99067,-0.89491,NA,NA,NA,NA,1792.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25102,-0.704671,-1.60584,-1.18626,NA,NA,NA,NA,597.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25233,-0.445008,-0.663063,-2.07921,NA,NA,NA,NA,NA,NA,240.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25548,-2.52964,0.375231,-2.79999,NA,NA,171.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25632,-2.05756,0.0550624,-2.44667,NA,NA,NA,NA,NA,382.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25978,-1.61583,-0.424927,-0.69183,NA,NA,NA,NA,NA,2038.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26130,-1.48853,-1.60089,-0.955834,NA,5422.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26309,-2.34825,-1.32939,-1.48689,2651.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26550,-1.90819,-0.704379,-1.18757,NA,NA,NA,NA,NA,NA,1577.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26733,-2.53487,-1.29432,0.402354,NA,NA,NA,NA,NA,1577.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26997,-2.85927,-1.36973,-0.786998,NA,NA,NA,NA,NA,NA,1730.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27128,-1.00245,-0.00242685,-2.06836,NA,NA,NA,NA,NA,NA,1135.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27348,-1.19788,-0.19294,-0.973436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074.473,NA,NA,NA,NA,NA,NA,NA,NA,NA
27548,-1.93661,0.192342,-2.06024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.569,NA,NA,NA,NA,NA,NA,NA,NA,NA
27656,-0.960201,-0.86057,-2.58125,NA,NA,NA,NA,NA,NA,2610.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27898,-0.766816,-0.159909,-2.58644,NA,NA,NA,NA,1154.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28129,-2.00565,0.131872,-1.2895,NA,NA,NA,53.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28382,-2.20569,0.000922379,-0.784993,NA,NA,NA,599.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28557,-1.32945,-1.05559,-1.16461,NA,NA,NA,NA,NA,1619.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28729,-1.20876,-0.94123,-1.81886,NA,NA,NA,NA,NA,NA,NA,219.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28915,-0.331497,-1.43251,-1.40729,11956.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29001,0.704233,-1.25951,-0.472719,NA,120.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29255,-0.693559,-0.499404,-1.47642,NA,NA,3608.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29482,-0.979326,-2.00153,-2.93706,NA,NA,NA,NA,NA,1716.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29678,-2.03302,-1.55367,-0.987913,NA,NA,5146.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29803,-0.988945,0.328063,-0.327005,NA,217.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30077,-1.02465,0.318976,-0.811696,NA,NA,NA,NA,NA,3385.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30382,-0.666421,0.339203,-0.822849,NA,NA,NA,NA,NA,7264.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30506,-0.622595,-0.342014,0.699205,NA,NA,1120.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30629,0.53893,-0.618935,-0.779795,NA,NA,694.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30998,-0.848579,-1.69073,-0.77092,NA,NA,NA,NA,NA,NA,NA,3133.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31172,-0.823459,-2.93602,-1.29956,NA,NA,6234.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31275,-0.566678,-3.3307,-1.99787,NA,NA,372.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31490,-0.0137108,-4.34109,-2.05457,NA,428.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31625,-0.257757,-4.11646,-0.78126,NA,NA,3103.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31835,-0.527054,-3.97608,-1.14278,NA,NA,234.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32189,-1.08992,-3.95779,-0.8618,NA,NA,NA,NA,NA,1097.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32291,-0.763524,-3.7568,-0.193463,NA,NA,NA,NA,NA,NA,327.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32561,-2.30795,-4.09312,-0.791536,97.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32791,-0.00268757,-3.45131,-1.04724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.791,NA,NA,NA,NA,NA,NA,NA,NA,NA
32814,-0.587839,-2.17422,-1.28545,NA,NA,NA,382.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33151,0.937496,-1.25771,-0.698767,NA,NA,NA,NA,637.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33249,-0.819707,-1.36534,-1.83158,NA,NA,NA,1377.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
