id,x0,x1,x2,fitness10,fitness8.5,fitness7,fitness7.5,fitness8,fitness9.5,fitness6.5,fitness6,fitness9,fitness5,fitness5.5,fitness4.5
6784,8.85389,8.22689,7.03626,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6986,8.23377,8.44332,8.10118,NA,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7159,9.16639,7.25004,7.75813,NA,NA,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA
7249,8.01086,7.7239,7.64395,NA,NA,NA,0.968,NA,NA,NA,NA,NA,NA,NA,NA
7453,8.41849,7.31471,8.77738,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA
7641,7.81353,7.98173,7.96096,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
7915,8.10487,7.53687,9.42913,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
8010,8.29601,7.13693,8.43034,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA,NA,NA
8263,7.98626,7.5384,7.7497,NA,NA,NA,0.943,NA,NA,NA,NA,NA,NA,NA,NA
8591,7.07085,7.32222,6.86962,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA
8735,7.80768,7.86038,7.23967,NA,NA,NA,0.928,NA,NA,NA,NA,NA,NA,NA,NA
8837,7.95845,8.1502,7.10109,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,7.99806,7.06907,6.1858,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
9307,8.38272,7.17973,6.87311,NA,NA,NA,0.707,NA,NA,NA,NA,NA,NA,NA,NA
9556,8.1162,8.61062,7.99418,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9686,8.27216,7.70201,7.12311,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA,NA
9842,8.11744,7.44808,8.20527,NA,NA,NA,NA,0.901,NA,NA,NA,NA,NA,NA,NA
10001,7.90439,8.7022,7.54382,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA
10256,7.89866,9.46695,7.33261,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA
10565,8.54574,8.76615,8.96287,NA,NA,NA,NA,0.459,NA,NA,NA,NA,NA,NA,NA
10710,7.22341,8.25546,7.49826,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10813,6.9453,9.29873,6.76342,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11081,7.20403,9.05515,8.43712,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA
11398,7.69831,9.02068,8.81329,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA,NA,NA
11555,6.67379,7.74223,7.85626,NA,NA,NA,NA,NA,NA,0.584,NA,NA,NA,NA,NA
11684,6.68792,7.77022,7.40848,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11910,7.33085,7.35011,7.7222,NA,NA,NA,NA,NA,NA,0.715,NA,NA,NA,NA,NA
12139,7.4013,7.31322,8.28646,NA,NA,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA
12317,8.45313,8.2922,8.09383,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA
12520,8.62802,9.69638,7.6855,NA,NA,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA
12641,8.01583,8.20029,7.74121,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA
12934,9.42552,7.64181,7.51565,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA
13110,8.69263,7.33065,7.91647,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA
13354,8.47139,6.9033,7.15223,NA,NA,NA,NA,NA,NA,NA,NA,0.474,NA,NA,NA
13559,9.21002,7.5655,7.0005,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA
13629,8.19733,7.56515,7.11551,NA,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA,NA
13852,8.95022,7.69518,7.24603,NA,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA
14164,8.07881,8.65723,7.25607,NA,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14236,8.66341,8.65161,7.43028,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA
14460,7.09372,7.73649,7.50445,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14659,6.07413,8.94023,7.31891,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA
14968,8.52946,8.45904,8.66456,NA,NA,0.498,NA,NA,NA,NA,NA,NA,NA,NA,NA
15199,9.78401,8.77324,7.44852,NA,NA,NA,0.355,NA,NA,NA,NA,NA,NA,NA,NA
15368,8.86898,7.05296,7.95893,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA
15466,7.86538,7.07181,8.00989,NA,NA,NA,NA,0.885,NA,NA,NA,NA,NA,NA,NA
15773,8.06112,7.79538,8.53003,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA
15857,9.70957,8.20332,7.80997,NA,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA
16163,7.8603,8.90624,7.59901,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA
16258,7.30478,8.21645,8.98731,NA,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA
16571,7.58758,9.41049,8.78289,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA
16693,7.3768,7.62082,8.38798,NA,NA,NA,0.879,NA,NA,NA,NA,NA,NA,NA,NA
16838,7.37136,8.09891,9.20122,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA
17163,8.43071,7.78371,10.0792,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA
17322,8.73907,8.60654,7.88424,NA,NA,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA
17458,6.40376,7.69089,9.00523,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA
17658,7.47606,7.29027,6.90116,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA
17832,8.5186,7.89454,6.93285,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18074,7.44383,8.89562,7.68823,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18262,8.18288,8.84781,9.00779,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA
18553,7.37853,8.24556,7.76256,NA,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA,NA
18798,7.39621,8.19914,7.80539,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA,NA,NA
18914,8.3083,8.54012,6.87761,NA,NA,NA,NA,NA,NA,NA,NA,0.473,NA,NA,NA
19011,7.50136,9.58945,7.44986,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA
19215,7.34593,7.57867,6.84577,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA
19468,8.32732,7.70641,7.48721,NA,NA,NA,0.914,NA,NA,NA,NA,NA,NA,NA,NA
19769,7.69384,8.60243,8.16585,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA,NA
19816,6.70698,8.4877,8.63001,NA,NA,NA,NA,NA,NA,NA,NA,0.362,NA,NA,NA
20168,7.12236,8.53761,7.94845,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA
20231,8.81888,8.04734,8.6892,NA,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA,NA
20434,8.85663,6.91915,8.5739,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA
20787,7.76611,7.74415,8.51479,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA,NA
20857,7.11345,7.43803,7.72422,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
21002,7.58606,7.48631,6.98685,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA
21361,7.0459,7.10137,6.76387,NA,NA,NA,0.598,NA,NA,NA,NA,NA,NA,NA,NA
21488,6.83217,7.15018,7.85898,NA,NA,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA
21766,8.77676,7.56491,8.3298,NA,NA,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA
21974,7.64944,9.19129,8.68388,NA,NA,NA,0.536,NA,NA,NA,NA,NA,NA,NA,NA
22006,6.76129,8.26312,8.1936,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA
22223,7.83183,7.24118,7.36867,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,NA,NA
22462,8.32915,5.70767,7.28899,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
22766,8.96175,7.85884,6.80087,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA
22954,8.32749,8.03431,7.46748,NA,NA,NA,NA,NA,NA,NA,0.501,NA,NA,NA,NA
23079,7.85316,8.44124,6.49928,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,NA,NA
23302,7.53118,8.06191,7.89982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478,NA
23505,8.17161,7.52341,7.22034,NA,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA
23740,8.63535,8.04783,8.04036,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23816,8.17814,7.44018,9.55056,NA,NA,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA
24029,8.03388,6.82898,9.69074,NA,NA,NA,NA,0.401,NA,NA,NA,NA,NA,NA,NA
24294,9.17043,7.4181,9.39374,NA,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA,NA
24405,9.79201,8.24905,8.4348,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA
24708,7.95054,7.37942,8.36373,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA
24845,8.18095,7.34006,7.26819,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA
25020,8.20625,7.85077,7.22467,NA,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA
25312,7.77221,8.26913,7.40911,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA
25428,7.60749,8.06568,7.11102,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
25772,7.91658,8.06182,8.23264,NA,NA,NA,NA,NA,0.549,NA,NA,NA,NA,NA,NA
25863,6.88528,7.92359,8.8866,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA,NA
26166,8.17357,7.05016,8.52003,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
26393,6.77538,7.74165,8.43365,NA,NA,NA,NA,NA,NA,0.362,NA,NA,NA,NA,NA
26414,5.95362,7.12565,7.42203,NA,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA
26711,6.73428,7.68537,8.78128,NA,NA,NA,NA,0.613,NA,NA,NA,NA,NA,NA,NA
26978,8.03955,7.76563,8.53383,NA,NA,NA,NA,NA,NA,NA,NA,0.678,NA,NA,NA
27042,7.99893,7.24949,8.28824,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
27375,8.32332,8.18568,7.85796,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27585,7.37136,7.82257,7.36645,NA,NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA
27674,7.47419,7.02257,7.20984,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA
27885,7.6401,7.19251,6.42436,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28190,7.02616,7.80583,6.50015,NA,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA
28230,7.53986,7.90658,6.44419,NA,NA,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA
28403,7.80232,7.65051,6.74722,NA,NA,NA,NA,NA,NA,NA,NA,0.549,NA,NA,NA
28614,7.47294,8.92397,7.11612,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA
28946,7.4881,7.25222,7.76214,NA,NA,NA,NA,NA,NA,NA,0.546,NA,NA,NA,NA
29022,7.95778,8.27684,7.36979,NA,NA,NA,0.901,NA,NA,NA,NA,NA,NA,NA,NA
29314,7.63195,8.17875,8.05243,NA,NA,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA
29476,8.61722,7.7348,8.59456,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29637,7.57458,7.5608,9.40949,NA,NA,NA,NA,NA,NA,0.424,NA,NA,NA,NA,NA
29910,8.39609,7.63229,6.5353,NA,NA,NA,NA,NA,NA,0.422,NA,NA,NA,NA,NA
30087,8.45251,7.51623,8.22604,NA,NA,NA,NA,0.841,NA,NA,NA,NA,NA,NA,NA
30222,7.94353,7.06609,7.7222,NA,NA,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA
30562,8.12396,8.38015,7.90419,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA
30793,6.97784,7.73414,7.8447,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
30830,6.55416,8.13434,8.79266,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA
31005,7.35525,7.89662,7.97291,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA
31308,9.3837,7.66103,8.56777,NA,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA
31526,9.3557,7.95772,8.29621,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31683,7.1023,8.25216,8.12825,NA,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31929,7.89016,8.15778,8.0823,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32199,7.46219,7.27943,7.68515,NA,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA
32212,7.72905,7.17476,7.89019,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32442,8.71791,7.1848,8.86092,NA,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32707,7.79854,8.07325,8.03314,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA
32906,8.82971,7.5408,7.47041,NA,NA,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA
33003,9.8619,7.863,7.30032,NA,NA,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA
33290,9.84499,7.80928,7.78088,NA,NA,NA,0.541,NA,NA,NA,NA,NA,NA,NA,NA
33579,9.21537,8.57551,7.75657,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33774,7.68009,7.15607,9.12628,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA
33956,7.63437,7.12432,9.14152,NA,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34092,7.52323,6.96429,7.87849,NA,NA,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA
34388,7.90906,7.06304,7.16974,NA,NA,NA,NA,NA,NA,NA,NA,0.641,NA,NA,NA
34510,8.49393,8.69663,6.9928,NA,NA,NA,NA,NA,NA,NA,NA,0.442,NA,NA,NA
34652,7.645,8.46319,7.71555,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA,NA
34995,8.24258,7.64334,9.20473,NA,NA,NA,NA,0.618,NA,NA,NA,NA,NA,NA,NA
35175,7.72382,8.26848,6.50811,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA
35210,6.71732,7.7713,8.59425,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA
35472,7.52374,7.36996,7.55046,NA,NA,NA,NA,0.953,NA,NA,NA,NA,NA,NA,NA
35723,7.35516,7.0354,7.52183,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA
35972,7.46928,6.63956,6.95025,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36013,7.03855,8.23482,7.3755,NA,NA,NA,NA,NA,NA,NA,NA,0.638,NA,NA,NA
36320,8.62092,7.48937,6.98028,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36468,8.38808,8.76618,8.33348,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36758,8.1687,7.29768,8.59846,NA,NA,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA
36959,8.9996,7.0332,9.2241,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA
37074,9.11378,7.19868,8.66864,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA
37342,9.67515,7.13673,8.05189,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA
37558,9.34485,7.43365,7.88207,NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37624,10.2427,8.66995,7.7214,NA,NA,NA,NA,NA,-0.003,NA,NA,NA,NA,NA,NA
37840,8.36587,8.56744,8.96706,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,NA
38186,7.94552,8.44288,9.01374,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38341,7.95759,7.82547,7.51849,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA
38436,7.93323,8.31138,7.61725,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
38755,8.40502,9.04065,8.45855,NA,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38880,7.06347,8.92618,8.03355,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA
39089,8.33826,9.03856,7.32551,NA,NA,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA
39348,7.77725,7.29972,7.39914,NA,NA,NA,NA,0.941,NA,NA,NA,NA,NA,NA,NA
39592,6.98168,7.17564,7.82281,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA
39679,7.74126,7.89134,8.56831,NA,NA,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA
39881,8.65452,7.49225,8.06392,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA
40108,7.68468,6.54437,8.61786,NA,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA,NA
40384,6.94782,7.67239,7.9576,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40533,7.954,9.16775,8.25706,NA,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA
40603,7.27214,9.01549,8.83148,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40905,7.8281,9.23326,7.74979,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA
41018,8.10217,8.80344,7.86884,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA
41263,8.06737,8.60522,7.63458,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA
41544,8.76596,9.10152,7.48676,NA,NA,NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA
41709,7.88065,9.19369,7.77885,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA
41993,9.1418,7.64395,7.83309,NA,NA,NA,NA,NA,0.306,NA,NA,NA,NA,NA,NA
42140,8.28518,8.38305,8.01095,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42304,8.06208,7.70676,7.89785,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA
42581,7.93765,8.20881,8.81806,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA
42659,7.93076,8.22936,7.78117,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA
42881,7.42711,8.61894,7.98154,NA,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA
43004,7.86519,8.27605,8.12064,NA,NA,NA,NA,NA,NA,NA,NA,0.665,NA,NA,NA
43232,7.503,7.5803,7.92852,NA,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43579,6.47825,7.33097,7.62524,NA,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA
43767,7.09952,7.9238,9.15288,NA,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA,NA
43838,7.78745,7.72893,8.20145,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA
44195,6.85814,8.0317,8.26607,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA
44208,4.74358,8.08463,8.19337,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA,NA
44475,4.96665,8.35273,8.34777,NA,NA,NA,0.519,NA,NA,NA,NA,NA,NA,NA,NA
44757,5.23782,7.92913,7.76675,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA
44940,5.99063,7.30295,8.25195,NA,NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA
45016,6.5657,7.95876,7.91737,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA
45273,6.91441,9.0121,8.7837,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA
45486,7.90374,8.21149,7.98027,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA,NA
45630,6.71117,7.32233,8.11097,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45839,7.8583,7.02551,7.13822,NA,NA,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA
46056,8.14297,5.97141,7.19802,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA
46398,8.4144,6.56816,7.22539,NA,NA,NA,NA,NA,NA,NA,0.163,NA,NA,NA,NA
46526,8.36568,6.66334,6.82914,NA,NA,NA,0.495,NA,NA,NA,NA,NA,NA,NA,NA
46621,8.11293,6.54192,6.90236,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA
46986,7.32207,7.34455,8.20369,NA,NA,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA
47179,7.61023,7.65119,9.33903,NA,NA,NA,NA,NA,NA,0.302,NA,NA,NA,NA,NA
47262,8.60961,7.3983,9.09946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527
47411,7.54177,8.77273,8.51162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA
47669,7.14126,7.49961,10.1797,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,NA,NA
47944,7.57153,7.09362,8.29492,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA
48103,8.01592,8.3446,8.19884,NA,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA
48314,8.45471,8.97806,8.43674,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA
48404,7.48122,8.7964,8.31465,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA
48791,8.04054,8.51922,8.74764,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA
48898,8.37883,8.22802,7.31086,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49146,8.52645,8.78846,7.61298,NA,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA
49324,8.62465,8.01091,8.70088,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA
49502,8.34491,7.15614,8.75621,NA,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA
49686,8.56422,7.29015,8.87317,NA,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA
49855,8.40241,7.76998,8.06447,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA
50193,8.44697,6.65948,7.14132,NA,NA,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA
