id,x0,x1,x2,fitness1,fitness0.5,fitness2,fitness1.5,fitness3.5,fitness3,fitness4,fitness5,fitness5.5,fitness6.5,fitness8,fitness7,fitness9.5,fitness7.5,fitness4.5,fitness8.5,fitness10,fitness6,fitness9,fitness2.5
8388,6.63437,8.51037,7.81192,NA,NA,NA,NA,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8547,7.40317,7.88968,7.77311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA
8717,7.78083,6.83279,7.58307,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8915,8.23262,7.98237,7.07208,NA,NA,NA,NA,NA,NA,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9165,6.99136,6.47837,7.23356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA
9383,5.86257,7.42473,7.15658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA
9447,5.81353,6.79492,8.03617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
9626,6.6678,7.80834,7.99632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
9902,7.75971,7.98953,8.86724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA
10124,7.9704,8.50283,8.72868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10271,9.26674,7.90474,7.46534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
10531,8.96154,8.92087,8.94005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,NA,NA,NA,NA
10654,10.1833,8.72667,7.93941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335,NA,NA,NA,NA,NA,NA
10972,8.56485,7.355,9.28735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,NA,NA,NA,NA,NA,NA
11112,7.77854,7.49656,9.77806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,NA
11369,8.27589,9.10515,9.99877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA
11474,8.30613,9.12758,9.02675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA
11622,8.39002,7.96945,8.8409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263,NA,NA,NA
11968,8.71489,8.94845,9.61457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA
12081,8.94087,8.73726,7.08612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA
12212,8.31537,8.70582,6.1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279,NA,NA,NA,NA
12578,7.9906,7.75696,5.41631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA
12636,8.90509,6.69375,6.33021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA
12931,8.18466,6.27322,7.70359,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13081,7.03649,6.57229,8.37239,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13266,8.41693,8.6042,8.50001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13567,7.03359,7.1384,7.52703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808,NA,NA,NA,NA,NA,NA
13649,6.96315,8.42257,8.34739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA
13997,7.69327,6.29635,7.50739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
14105,8.53452,7.57599,9.45375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA
14320,8.5942,8.92309,9.8252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA,NA
14459,7.91557,7.92057,8.93478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA
14624,8.23358,7.64638,8.69334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA,NA
14869,9.161,8.39736,8.28367,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15060,8.96226,8.80183,7.05708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484,NA,NA,NA,NA,NA,NA
15262,8.084,8.36724,7.02737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA
15483,9.72405,8.76786,6.14014,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15795,9.6396,8.29959,5.11138,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15995,10.0309,8.82969,4.37466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279,NA,NA,NA,NA,NA,NA
16027,8.94125,8.35344,4.89554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA
16279,9.03746,8.33542,3.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16451,8.64794,7.01816,2.64233,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16783,8.16999,6.18309,2.27458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,NA,NA,NA,NA,NA
16926,7.88236,7.91261,1.28915,NA,NA,NA,NA,NA,NA,NA,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17128,7.53694,6.86086,1.22006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367,NA,NA
17387,9.0368,7.37719,2.07884,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17478,8.51377,7.4354,1.04387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA
17664,7.86513,7.45631,0.724881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA
17930,8.38195,7.33189,2.10098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816,NA,NA,NA,NA,NA,NA,NA,NA
18184,8.02459,7.20722,1.97791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789,NA,NA,NA,NA,NA,NA
18302,7.97183,6.00144,1.92716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA
18478,6.98283,7.10538,0.872939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297,NA,NA,NA,NA,NA,NA
18627,9.29511,7.81845,0.562326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA,NA,NA,NA
18901,8.93268,8.40108,1.37906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA
19183,7.82728,8.09247,0.901772,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19216,8.29393,8.93461,0.250237,NA,NA,NA,NA,NA,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19502,7.63049,9.54602,1.91937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373,NA,NA,NA,NA,NA
19627,7.67957,7.66843,1.97481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA
19954,7.75492,7.28239,2.02899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,NA,NA,NA,NA,NA
20077,6.8091,7.53742,1.03077,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20381,6.71235,7.36011,1.04979,NA,NA,NA,NA,NA,NA,NA,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20579,7.09672,8.37819,3.38039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491,NA,NA,NA,NA,NA,NA
20765,6.88011,9.11451,3.65697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA
20804,6.77798,10.0024,2.50115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA
21160,5.97129,9.26733,1.99064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA
21224,7.63127,9.51795,1.43785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,NA,NA,NA,NA,NA,NA
21547,7.86177,8.48432,1.34565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA,NA,NA
21748,8.21107,8.66599,1.95421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA
21821,6.7667,7.62482,2.32149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA
22171,5.88101,6.8338,3.34956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
22334,7.32748,6.85658,3.48514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199,NA,NA,NA,NA,NA,NA,NA
22511,6.52585,8.57023,2.91743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA
22733,6.9113,10.1997,2.23524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
22945,7.16283,8.47662,2.58979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298,NA
23153,7.19071,8.59919,0.983926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116,NA,NA,NA,NA,NA,NA,NA
23242,5.97019,8.44182,0.500969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,NA,NA,NA,NA
23479,7.33255,9.57842,1.07873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291,NA
23634,8.07079,8.09505,0.848201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422,NA,NA,NA,NA,NA,NA
23882,8.95405,8.31887,0.405382,NA,NA,NA,NA,NA,NA,NA,NA,-0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24059,8.75756,9.96235,1.82822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA
24382,9.0802,9.52589,2.36699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223,NA,NA,NA,NA,NA,NA,NA,NA
24431,9.72601,8.19092,1.1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417,NA,NA,NA,NA
24755,9.10614,8.48717,0.306875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA
24850,7.5387,7.37777,2.33788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693,NA
25013,8.37795,6.48396,1.0618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,NA,NA,NA,NA,NA,NA,NA
25314,7.32498,6.91904,1.15754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA
25497,8.12612,8.00501,1.61577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,NA
25623,8.5149,7.73335,2.94723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,NA,NA,NA,NA
25924,8.39759,5.66841,2.93965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.081,NA,NA,NA,NA,NA,NA
26118,7.74525,6.18557,3.82757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA,NA
26291,6.94038,6.63021,4.51652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA
26450,7.43795,8.41816,5.00643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,NA
26744,7.42101,9.44864,4.26262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA
26900,6.25074,9.05212,3.97968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA
27083,7.77353,7.06399,4.72711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667,NA,NA,NA,NA,NA,NA
27374,7.2433,6.83601,3.75511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA
27586,8.56453,6.8057,4.35721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,NA,NA
27765,7.09701,7.83408,4.21158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27991,7.42271,7.16752,4.85278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA,NA,NA,NA
28197,8.07537,6.68338,3.32092,NA,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28269,8.4786,7.49436,2.72973,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28576,8.33085,6.88139,1.94376,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28706,8.55133,8.14484,1.76179,NA,NA,NA,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28837,8.58718,8.20518,0.593674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538
29046,8.73982,8.07729,0.628224,NA,NA,NA,NA,NA,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29380,7.61305,8.54648,0.34873,NA,NA,NA,NA,NA,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29564,7.94087,7.03939,0.676103,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29646,6.77329,6.02029,1.29738,NA,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29948,7.21944,5.32855,1.12697,NA,NA,NA,-0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30059,7.46302,6.21807,2.34159,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30359,7.0409,6.16575,3.72335,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30476,7.5956,4.09102,2.30958,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30615,7.58646,3.53337,3.70112,NA,NA,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30863,7.13616,4.22503,2.82969,NA,NA,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31178,6.73638,4.30003,4.24236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68
31301,6.46919,3.73651,6.28527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213
31550,7.18278,4.66207,6.07708,NA,NA,NA,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31755,9.68393,4.77281,7.46831,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31911,9.57868,4.46495,8.38594,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32049,10.0259,4.08648,9.69826,NA,NA,NA,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32236,9.6186,6.10236,8.5609,NA,NA,NA,NA,NA,NA,NA,-0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32567,9.18699,6.40833,8.17465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.107,NA,NA
32602,7.96345,6.92617,6.50811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574,NA,NA,NA,NA,NA,NA
32865,7.24403,8.12308,5.5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA
33025,8.96042,6.74925,5.49567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA
33333,8.06815,6.53924,4.92167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342,NA,NA,NA,NA
33507,7.8757,7.213,5.31391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,NA
33780,8.76095,7.12157,4.90884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA
33831,9.0838,7.67615,6.32767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA
34037,8.36732,8.32362,6.7379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558,NA,NA,NA,NA,NA,NA,NA,NA
34234,6.84625,9.19743,6.54815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218,NA,NA,NA,NA,NA,NA,NA,NA
34470,7.466,9.72546,6.89158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,NA,NA,NA,NA
