id,x0,x1,x2,fitness-1.5,fitness-2,fitness-2.5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-5
6034,-2.46274,4.37883,-3.56548,NA,NA,NA,NA,-128.357,NA,NA,NA
6269,-2.4861,4.81375,-3.45905,NA,NA,NA,-125.031,NA,NA,NA,NA
6405,-1.77228,2.43734,-4.42169,NA,NA,NA,NA,NA,-127.321,NA,NA
6615,-1.03828,3.16073,-4.69575,NA,NA,NA,NA,NA,-89.882,NA,NA
6953,-0.423729,4.97406,-4.8807,NA,NA,NA,NA,NA,-176.119,NA,NA
7077,-0.790326,2.73424,-4.96381,NA,NA,NA,-203.699,NA,NA,NA,NA
7365,-0.879478,3.13716,-4.66103,NA,NA,NA,-148.463,NA,NA,NA,NA
7581,-0.730097,3.11204,-4.78434,NA,NA,NA,NA,NA,NA,NA,-125.557
7701,-3.08613,4.67832,-4.40585,NA,NA,NA,NA,NA,-97.388,NA,NA
7882,-3.74939,3.19171,-4.37531,NA,NA,NA,NA,NA,NA,NA,-138.766
8168,-4.91439,2.74827,-4.75931,NA,NA,NA,-268.84,NA,NA,NA,NA
8388,-3.11527,4.04215,-4.50751,NA,NA,NA,NA,NA,NA,-136.832,NA
8404,-2.28561,4.90325,-4.40012,NA,-213.686,NA,NA,NA,NA,NA,NA
8660,-3.48447,4.60736,-4.57411,NA,NA,NA,NA,NA,NA,-158.993,NA
8940,-3.24823,3.89807,-3.82925,NA,NA,NA,NA,NA,NA,NA,-106.98
9168,-3.08241,3.97352,-2.93841,NA,NA,NA,NA,NA,-167.31,NA,NA
9247,-1.57365,3.95153,-4.25295,NA,NA,NA,NA,NA,-49.874,NA,NA
9590,-1.59867,3.93041,-4.42037,NA,NA,NA,NA,NA,-37.213,NA,NA
9787,-2.05056,4.47312,-3.60204,NA,NA,NA,-104.308,NA,NA,NA,NA
9847,-1.40262,3.95601,-3.63529,NA,NA,NA,NA,NA,-139.673,NA,NA
10167,-1.42538,4.5659,-4.51701,NA,NA,NA,NA,NA,NA,NA,-76.412
10211,-3.34531,4.04596,-4.72474,NA,NA,NA,NA,NA,-93.773,NA,NA
10442,-2.44689,3.58513,-4.74274,NA,NA,NA,NA,NA,-54.738,NA,NA
10713,-2.75859,4.19219,-4.00846,NA,NA,NA,NA,NA,-84.266,NA,NA
10989,-2.33179,4.6754,-4.15766,NA,NA,NA,NA,NA,-84.956,NA,NA
11064,-1.24603,3.47544,-4.18684,NA,NA,NA,-87.859,NA,NA,NA,NA
11314,-1.46382,4.5239,-4.33957,NA,NA,NA,-71.913,NA,NA,NA,NA
11498,-0.712984,4.31087,-3.33833,NA,NA,NA,NA,NA,NA,NA,-135.382
11789,-1.45526,4.87119,-3.42669,NA,NA,NA,NA,NA,-134.982,NA,NA
11833,-1.40526,4.52904,-2.36304,NA,NA,NA,NA,NA,NA,NA,-240.085
12188,-2.65792,4.4601,-4.93606,NA,NA,NA,NA,NA,-64.192,NA,NA
12388,-3.31953,4.36234,-4.77025,NA,NA,NA,NA,NA,-90.718,NA,NA
12569,-1.46636,3.97145,-3.8029,NA,NA,NA,-106.328,NA,NA,NA,NA
12709,-2.23676,3.48425,-3.53199,NA,NA,NA,NA,NA,NA,NA,-107.676
12896,-1.54539,3.6358,-4.32703,NA,NA,NA,NA,NA,-37.698,NA,NA
13028,-1.05015,4.18402,-3.47041,NA,NA,NA,NA,NA,-144.22,NA,NA
13350,-1.57064,3.96315,-4.90026,NA,NA,NA,NA,-51.563,NA,NA,NA
13402,-3.23713,2.67025,-4.97833,NA,NA,NA,-130.615,NA,NA,NA,NA
13692,-2.56279,3.6853,-4.36697,NA,NA,NA,NA,NA,-62.656,NA,NA
13992,-2.33014,3.26288,-4.39508,NA,NA,NA,-61.92,NA,NA,NA,NA
14042,-2.45814,2.91859,-4.7714,NA,NA,NA,-88.769,NA,NA,NA,NA
14370,-0.907873,3.59558,-3.85687,NA,NA,NA,NA,NA,-141.149,NA,NA
14445,-3.10367,2.69755,-4.47639,NA,NA,NA,NA,-148.542,NA,NA,NA
14639,-1.65874,4.03805,-4.45952,NA,NA,NA,NA,NA,-31.796,NA,NA
14814,-1.07261,4.70155,-4.0567,NA,NA,NA,NA,NA,NA,NA,-104.724
15180,-0.911438,4.73696,-4.27541,NA,NA,NA,NA,NA,-111.358,NA,NA
15220,-3.13927,4.61732,-4.77325,NA,NA,NA,-95.184,NA,NA,NA,NA
15503,-3.52499,3.33464,-3.70861,NA,NA,NA,NA,NA,-157.241,NA,NA
15679,-2.26297,1.82268,-4.91047,NA,NA,NA,-210.065,NA,NA,NA,NA
15939,-1.25102,3.90874,-4.27082,NA,NA,NA,NA,NA,-50.272,NA,NA
16020,-2.01701,4.12341,-4.55658,NA,NA,NA,NA,NA,-41.689,NA,NA
16398,-0.691687,4.55584,-3.80172,NA,NA,NA,NA,-218.869,NA,NA,NA
16581,-1.69237,4.10247,-3.34995,NA,NA,NA,NA,NA,-121.211,NA,NA
16773,-2.96814,4.81531,-2.22635,NA,NA,NA,NA,NA,NA,NA,-263.365
16898,-3.27678,4.65656,-1.80989,NA,NA,NA,NA,NA,-371.28,NA,NA
17039,-3.39209,4.60587,-2.44125,NA,NA,NA,NA,NA,NA,NA,-249.849
17369,-3.28992,3.20487,-3.73707,NA,NA,NA,-146.426,NA,NA,NA,NA
17547,-2.80694,3.87226,-2.7953,NA,NA,NA,NA,-199.53,NA,NA,NA
17741,-1.4218,4.50259,-2.07646,NA,NA,NA,NA,NA,-284.317,NA,NA
17914,-1.85238,4.32828,-2.21823,NA,NA,NA,NA,NA,-258.514,NA,NA
18142,-1.94457,4.29413,-2.59938,NA,NA,NA,NA,-240.201,NA,NA,NA
18266,-1.996,4.86517,-3.69653,NA,NA,NA,NA,NA,-116.198,NA,NA
18597,-1.93985,3.42522,-3.95336,NA,NA,NA,NA,NA,NA,NA,-87.703
18763,-2.00578,3.13232,-3.75056,NA,NA,NA,NA,NA,-118.085,NA,NA
18827,-1.43967,3.28735,-3.96885,NA,NA,NA,NA,NA,-88.753,NA,NA
19083,-2.29357,4.46708,-3.41228,NA,NA,NA,NA,-146.008,NA,NA,NA
19242,-3.21363,4.86973,-4.26985,NA,NA,NA,-116.211,NA,NA,NA,NA
19483,-4.36934,4.95668,-4.75315,NA,NA,NA,NA,NA,NA,NA,-210.28
19642,-3.76793,4.81273,-4.83869,NA,NA,NA,NA,NA,NA,NA,-147.767
19886,-2.96303,4.75163,-4.93015,NA,NA,NA,NA,NA,NA,NA,-97.569
20087,-3.04212,4.32066,-4.13757,NA,NA,NA,NA,-119.998,NA,NA,NA
20339,-3.51663,3.94915,-4.96391,NA,NA,NA,NA,NA,-106.018,NA,NA
20537,-3.5929,3.21309,-4.20215,NA,NA,NA,NA,NA,-125.244,NA,NA
20666,-3.46004,4.75671,-3.62431,NA,NA,NA,NA,-177.962,NA,NA,NA
20899,-3.20384,3.48553,-3.21335,NA,NA,NA,NA,NA,-168.42,NA,NA
21044,-2.80186,1.87267,-2.0761,NA,NA,NA,NA,NA,-369.465,NA,NA
21370,-2.87492,2.67973,-3.10379,NA,NA,NA,NA,NA,NA,NA,-188.369
21403,-3.33449,3.16151,-4.47244,NA,NA,NA,NA,NA,-109.605,NA,NA
21611,-1.6359,3.41841,-4.77921,NA,NA,NA,NA,NA,-20.251,NA,NA
21903,-1.46167,3.16022,-4.88694,NA,NA,NA,NA,NA,-43.544,NA,NA
22023,-1.18916,2.80298,-4.86481,NA,NA,NA,NA,NA,NA,NA,-140.559
22301,-1.69548,4.65943,-4.03359,NA,NA,NA,NA,NA,NA,NA,-86.068
22590,-1.84835,4.58675,-4.54213,NA,NA,NA,NA,NA,-58.05,NA,NA
22703,-0.804787,4.68754,-3.77424,NA,NA,NA,NA,-117.005,NA,NA,NA
22957,-1.70556,4.71394,-4.8399,NA,NA,NA,-70.36,NA,NA,NA,NA
23077,-1.78432,4.70809,-4.19285,NA,NA,NA,NA,NA,-91.36,NA,NA
23301,-1.94971,4.02514,-4.33961,NA,NA,NA,NA,NA,NA,-141.484,NA
23517,-3.24769,4.3139,-4.0604,NA,NA,NA,NA,-132.078,NA,NA,NA
23610,-2.74203,4.85948,-4.14768,NA,NA,NA,-101.733,NA,NA,NA,NA
23810,-2.11586,4.31538,-4.96311,NA,NA,NA,NA,NA,NA,NA,-57.856
24067,-1.71052,4.5438,-4.91294,NA,NA,-186.378,NA,NA,NA,NA,NA
24291,-2.05549,4.58836,-3.7458,NA,NA,NA,-90.893,NA,NA,NA,NA
24442,-2.15657,4.97941,-3.58353,NA,NA,NA,-126.571,NA,NA,NA,NA
24734,-1.89051,3.69754,-3.48798,NA,NA,NA,NA,NA,-116.454,NA,NA
24870,-1.29385,4.42529,-4.87314,NA,NA,NA,NA,-100.845,NA,NA,NA
25181,-2.77824,4.9498,-4.70198,NA,NA,NA,NA,NA,NA,-140.232,NA
25216,-3.17983,4.29003,-3.57825,NA,NA,NA,NA,NA,NA,NA,-130.052
25515,-3.66863,3.46988,-4.65497,NA,NA,NA,-123.76,NA,NA,NA,NA
25706,-2.76102,3.88455,-4.5245,NA,NA,NA,NA,NA,NA,NA,-71.192
25864,-3.15046,3.87027,-3.5303,NA,NA,NA,-128.318,NA,NA,NA,NA
26101,-1.80514,3.69871,-3.96408,NA,NA,NA,NA,NA,NA,NA,-84.797
26311,-1.05722,4.88657,-3.60268,NA,NA,NA,NA,NA,NA,NA,-146.251
26545,-1.33236,3.48405,-4.70717,NA,NA,NA,NA,NA,NA,NA,-55.253
26771,-1.66707,3.84372,-3.6255,NA,NA,NA,NA,NA,NA,NA,-126.305
26891,-2.82494,3.43898,-3.78987,NA,NA,NA,-112.578,NA,NA,NA,NA
27178,-3.19062,4.02205,-3.92485,NA,NA,NA,NA,NA,-106.719,NA,NA
27358,-4.82642,3.80314,-4.96127,NA,NA,NA,NA,NA,-233.259,NA,NA
27535,-4.35682,2.4338,-4.54967,NA,NA,NA,NA,-236.454,NA,NA,NA
27613,-2.85151,1.90671,-4.16976,NA,NA,NA,NA,NA,NA,-290.772,NA
27977,-3.54198,3.08639,-4.61995,NA,NA,NA,NA,NA,NA,-184.654,NA
28059,-2.60243,3.84785,-4.50179,NA,NA,NA,NA,NA,-56.498,NA,NA
28386,-2.07772,4.10735,-4.08792,NA,NA,NA,NA,-120.837,NA,NA,NA
28464,-2.83977,3.57282,-4.62261,NA,NA,NA,-84.536,NA,NA,NA,NA
28725,-2.00474,3.31758,-4.82832,NA,NA,NA,NA,NA,NA,-136.339,NA
28896,-1.32249,4.52414,-4.77586,NA,NA,NA,NA,-119.394,NA,NA,NA
29041,-2.40001,4.84002,-4.62483,NA,NA,NA,NA,NA,-71.642,NA,NA
29272,-2.1591,3.84962,-3.44481,NA,NA,NA,NA,NA,-109.055,NA,NA
29463,-1.76467,4.51203,-4.19101,NA,NA,NA,NA,NA,NA,NA,-70.633
29676,-1.87541,4.47905,-4.57729,NA,NA,NA,-54.523,NA,NA,NA,NA
29918,-1.59116,4.57143,-4.9991,NA,NA,NA,NA,NA,-50.678,NA,NA
30012,-1.8925,3.6097,-4.68038,NA,NA,NA,NA,NA,-24.312,NA,NA
30242,-2.47553,2.77343,-4.8293,NA,NA,NA,-109.92,NA,NA,NA,NA
30504,-1.3889,4.84887,-4.99292,NA,NA,NA,-79.931,NA,NA,NA,NA
30799,-1.53701,4.37307,-4.73538,NA,NA,NA,NA,NA,NA,NA,-48.451
30939,-2.86856,4.54953,-3.89453,NA,NA,NA,NA,NA,-97.834,NA,NA
31054,-1.73072,4.45207,-4.73785,NA,NA,NA,NA,NA,-49.451,NA,NA
31214,-3.17579,4.71616,-4.79579,NA,NA,NA,NA,NA,-102.859,NA,NA
31425,-3.05688,4.68926,-4.33489,NA,NA,NA,NA,NA,-100.575,NA,NA
31709,-3.46509,3.53636,-4.63204,NA,NA,NA,NA,NA,NA,NA,-107.552
31973,-2.92962,4.1139,-4.83152,NA,NA,NA,NA,NA,-78.139,NA,NA
32107,-2.21352,4.18701,-4.81176,NA,NA,NA,NA,NA,-51.396,NA,NA
32391,-0.579346,4.23708,-4.0703,NA,NA,NA,NA,-197.737,NA,NA,NA
32509,-0.240616,4.01992,-3.94469,NA,NA,NA,NA,NA,-225.935,NA,NA
32769,-0.938284,3.82322,-4.10502,NA,NA,NA,NA,NA,-111.5,NA,NA
32884,-0.687978,4.79441,-4.96983,NA,NA,NA,-148.253,NA,NA,NA,NA
33047,-1.49635,3.75896,-3.87222,NA,NA,NA,NA,NA,NA,NA,-80.309
33300,-2.37318,3.70628,-3.94602,NA,NA,NA,-92.355,NA,NA,NA,NA
33460,-2.56293,3.2664,-4.8457,NA,NA,NA,NA,NA,NA,NA,-84.469
33627,-2.56734,4.41434,-3.87873,NA,NA,NA,NA,NA,-83.213,NA,NA
33953,-2.12129,4.67744,-4.41918,NA,NA,NA,NA,NA,-61.833,NA,NA
34113,-2.20236,3.98561,-4.69632,NA,NA,NA,NA,NA,-45.161,NA,NA
34283,-2.99807,4.94968,-4.10877,NA,NA,NA,NA,-131.95,NA,NA,NA
34562,-2.80655,4.70082,-3.77044,NA,NA,NA,-117.382,NA,NA,NA,NA
34663,-2.88493,4.46302,-4.50593,NA,NA,NA,NA,-105.36,NA,NA,NA
34958,-1.76436,3.77984,-4.68394,NA,NA,NA,NA,NA,-10.505,NA,NA
35144,-1.74152,3.4896,-4.58219,NA,NA,NA,NA,NA,-28.398,NA,NA
35201,-1.8885,4.27174,-3.90732,NA,NA,NA,NA,NA,-78.866,NA,NA
35431,-3.40034,3.59203,-3.60006,NA,NA,NA,NA,NA,-136.387,NA,NA
35677,-1.23569,4.77103,-3.94882,NA,NA,NA,NA,NA,-106.784,NA,NA
35835,-2.49164,4.5316,-4.33479,NA,NA,NA,-81.356,NA,NA,NA,NA
36183,-2.12624,1.8762,-4.48334,NA,NA,NA,NA,NA,-190.121,NA,NA
36396,-2.78699,2.65094,-3.96446,NA,NA,NA,NA,NA,NA,NA,-131.251
36581,-3.18111,2.81857,-4.10233,NA,NA,NA,-139.083,NA,NA,NA,NA
36715,-3.27801,3.17952,-3.9907,NA,NA,NA,NA,-140.507,NA,NA,NA
36927,-2.73678,4.51503,-4.86043,NA,NA,NA,-78.877,NA,NA,NA,NA
37182,-2.84872,4.50638,-4.91537,NA,NA,NA,NA,NA,-74.476,NA,NA
37279,-1.84273,4.26152,-4.12898,NA,NA,NA,NA,NA,-65.625,NA,NA
37503,-2.95367,3.85,-4.52181,NA,NA,NA,-82.641,NA,NA,NA,NA
37612,-3.68169,3.94084,-4.5365,NA,NA,NA,NA,NA,NA,NA,-120.514
37818,-3.59785,3.72445,-4.55364,NA,NA,NA,NA,-139.262,NA,NA,NA
38161,-4.00299,4.53843,-3.58313,NA,NA,NA,NA,-216.179,NA,NA,NA
38326,-4.57963,4.66,-4.09634,NA,NA,NA,NA,-252.382,NA,NA,NA
38518,-2.66523,3.08596,-4.24712,NA,NA,NA,NA,NA,NA,NA,-100.207
38607,-3.29665,3.20103,-4.34524,NA,NA,NA,NA,NA,-113.202,NA,NA
38904,-2.90455,3.34301,-4.58616,NA,NA,NA,NA,NA,NA,NA,-82.397
39166,-3.62285,3.09205,-4.64206,NA,NA,NA,NA,NA,NA,NA,-129.174
39311,-2.91127,3.89523,-3.89065,NA,NA,NA,NA,NA,-94.801,NA,NA
39481,-2.67267,3.84824,-4.22031,NA,NA,-235.803,NA,NA,NA,NA,NA
39738,-1.6633,2.25289,-4.86966,NA,NA,NA,NA,-233.137,NA,NA,NA
39894,-2.1681,3.0862,-4.96363,NA,NA,NA,NA,NA,NA,-148.169,NA
40183,-1.44851,4.75531,-4.7606,NA,NA,NA,NA,NA,-64.218,NA,NA
40229,-2.38899,4.59873,-4.28566,NA,NA,NA,NA,NA,NA,NA,-66.832
40497,-2.38917,3.53326,-4.34262,NA,NA,NA,NA,NA,-64.205,NA,NA
40602,-2.0413,4.34588,-4.73226,NA,NA,NA,NA,-89.463,NA,NA,NA
40945,-1.18303,3.7137,-4.79223,NA,NA,NA,NA,NA,-12.588,NA,NA
41161,-1.49867,4.15021,-4.88866,NA,NA,NA,NA,NA,-32.428,NA,NA
41323,-0.885101,4.94912,-4.90673,NA,NA,NA,NA,NA,-105.767,NA,NA
41573,-1.02195,4.29806,-4.60891,NA,NA,NA,NA,NA,-73.018,NA,NA
41746,-2.3133,3.09646,-4.70595,NA,NA,NA,NA,NA,NA,NA,-82.695
41842,-0.310786,3.66421,-4.33447,NA,NA,NA,-214.119,NA,NA,NA,NA
42046,-1.24485,4.38517,-4.25734,NA,NA,NA,NA,NA,NA,NA,-77.333
42345,-1.46151,4.96367,-3.94835,NA,NA,NA,-108.079,NA,NA,NA,NA
42514,-1.59172,3.15473,-4.37402,NA,NA,NA,-91.58,NA,NA,NA,NA
42712,-2.11914,3.87312,-4.62058,NA,NA,NA,NA,NA,-38.782,NA,NA
42801,-2.55548,3.82127,-4.68602,NA,NA,NA,NA,NA,NA,NA,-55.834
43036,-2.96205,3.97723,-4.17754,NA,NA,NA,NA,NA,NA,NA,-84.442
43279,-2.6434,3.62508,-4.3018,NA,NA,NA,NA,NA,NA,NA,-78.547
43514,-2.83078,3.3528,-2.58855,NA,NA,NA,NA,-224.968,NA,NA,NA
43750,-2.79744,3.24821,-2.33153,NA,NA,NA,NA,NA,-242.398,NA,NA
43845,-2.08777,3.88884,-3.36187,NA,NA,NA,NA,NA,-108.029,NA,NA
44037,-2.98278,4.38581,-4.29938,NA,NA,NA,NA,NA,-84.998,NA,NA
44288,-4.62099,3.66143,-4.82112,NA,NA,NA,NA,NA,-209.189,NA,NA
44592,-2.66389,3.36382,-4.4028,NA,NA,NA,NA,NA,NA,-181.12,NA
44706,-3.6147,3.66113,-2.61492,NA,NA,NA,-260.172,NA,NA,NA,NA
44877,-4.07613,3.40868,-3.77146,NA,NA,NA,NA,NA,-182.777,NA,NA
45003,-3.7859,4.74597,-4.87084,NA,NA,NA,NA,NA,NA,-188.071,NA
45355,-3.51841,3.10503,-3.74769,NA,NA,NA,-160.157,NA,NA,NA,NA
45579,-3.29786,4.83806,-3.90918,NA,NA,NA,NA,NA,-130.527,NA,NA
45669,-2.3149,3.92256,-4.87989,NA,NA,NA,NA,-90.225,NA,NA,NA
45897,-1.63149,2.55535,-4.38404,NA,NA,NA,-183.972,NA,NA,NA,NA
46169,-2.43576,3.2248,-4.16872,NA,NA,NA,-89.924,NA,NA,NA,NA
46293,-2.0438,4.6133,-4.32861,NA,NA,NA,NA,-104.178,NA,NA,NA
46553,-3.10879,4.40103,-3.82386,NA,NA,NA,NA,-143.955,NA,NA,NA
46660,-3.97111,3.2092,-3.32077,NA,NA,NA,NA,NA,NA,NA,-202.782
46956,-2.51937,4.69695,-3.12622,NA,NA,NA,NA,NA,-137.266,NA,NA
47147,-2.6084,4.51874,-3.85523,NA,NA,NA,NA,NA,-92.216,NA,NA
47257,-2.08495,4.85538,-4.72092,NA,NA,NA,NA,-91.439,NA,NA,NA
47413,-2.80107,3.84926,-4.96537,NA,NA,NA,NA,NA,-65.313,NA,NA
47769,-2.34838,4.18308,-4.97017,NA,NA,NA,NA,NA,-60.867,NA,NA
47805,-1.7094,4.24525,-4.85273,NA,NA,NA,-41.485,NA,NA,NA,NA
48121,-2.25693,4.25858,-4.61809,NA,NA,NA,NA,NA,-52.249,NA,NA
48378,-2.28714,4.54078,-4.19336,NA,NA,NA,NA,NA,NA,NA,-69.754
48576,-1.31803,4.2078,-4.62795,NA,NA,NA,NA,NA,NA,NA,-65.502
48608,-2.04333,3.47769,-3.91766,NA,NA,NA,NA,NA,-70.887,NA,NA
48950,-2.81591,1.87388,-3.9684,NA,NA,NA,-233.261,NA,NA,NA,NA
49186,-4.39873,2.77269,-4.56702,NA,NA,-273.449,NA,NA,NA,NA,NA
49371,-4.93222,1.79498,-4.42124,NA,NA,NA,-335.988,NA,NA,NA,NA
49430,-4.31045,2.49016,-4.98402,NA,NA,NA,NA,NA,NA,NA,-209.449
49797,-2.92513,2.71155,-4.78518,NA,NA,NA,NA,NA,-109.135,NA,NA
49847,-3.33907,3.7562,-2.85095,NA,NA,NA,NA,NA,-198.591,NA,NA
50134,-2.51463,3.28361,-2.72512,NA,NA,NA,-190.748,NA,NA,NA,NA
50319,-4.28935,3.31546,-3.40618,NA,NA,NA,NA,-245.917,NA,NA,NA
50476,-4.35703,4.52261,-4.26541,NA,NA,NA,NA,-207.467,NA,NA,NA
50762,-3.2867,4.81911,-4.12303,NA,NA,NA,NA,-140.397,NA,NA,NA
50994,-3.23526,3.70454,-3.17618,NA,NA,-266.065,NA,NA,NA,NA,NA
51153,-3.81054,1.13785,-4.0146,NA,NA,NA,-331.631,NA,NA,NA,NA
51228,-4.27809,2.35374,-3.74689,NA,NA,NA,-250.759,NA,NA,NA,NA
51571,-4.25878,3.23118,-4.93342,NA,NA,NA,-178.35,NA,NA,NA,NA
51693,-3.44104,4.4798,-4.59913,NA,NA,NA,NA,-122.018,NA,NA,NA
51890,-2.74151,4.31917,-4.48252,NA,NA,NA,NA,NA,NA,-124.224,NA
52011,-0.894927,4.55404,-4.23074,NA,NA,NA,NA,-172.863,NA,NA,NA
52346,-3.54517,4.81597,-4.2837,NA,NA,NA,NA,-145.066,NA,NA,NA
52406,-4.75284,3.86014,-2.86528,NA,NA,NA,NA,-338.215,NA,NA,NA
52649,-4.41531,4.0863,-3.62496,NA,NA,NA,NA,NA,NA,-274.933,NA
52850,-4.41773,3.73433,-4.13531,NA,NA,NA,-203.512,NA,NA,NA,NA
53029,-4.50025,1.39049,-4.5647,NA,NA,NA,NA,-342.543,NA,NA,NA
53205,-3.87576,2.5699,-4.75605,NA,NA,NA,-165.669,NA,NA,NA,NA
53593,-3.12318,2.85911,-2.79786,NA,NA,NA,NA,NA,-210.545,NA,NA
53756,-3.65925,2.83732,-3.46532,NA,NA,NA,NA,NA,NA,NA,-184.681
53983,-2.52977,3.06084,-4.34766,NA,NA,NA,NA,NA,-81.607,NA,NA
54018,-2.38344,2.60133,-4.65768,NA,NA,NA,NA,NA,NA,NA,-100.604
54384,-3.45767,4.08456,-4.88097,NA,NA,NA,-104.184,NA,NA,NA,NA
54411,-4.73228,4.77698,-4.91037,NA,NA,NA,NA,NA,-240.573,NA,NA
54799,-4.91093,4.33683,-4.33039,NA,NA,NA,NA,NA,-255.27,NA,NA
54887,-4.25798,4.23995,-3.66441,NA,NA,NA,NA,-218.779,NA,NA,NA
55101,-3.54795,4.04923,-2.66961,NA,NA,NA,-234.917,NA,NA,NA,NA
55267,-4.12041,2.52095,-3.84994,NA,NA,NA,-220.261,NA,NA,NA,NA
55572,-4.29256,1.86754,-3.84915,NA,NA,NA,NA,NA,NA,NA,-281.749
55718,-2.7444,3.63338,-4.48676,NA,NA,NA,NA,NA,NA,NA,-75.553
55852,-3.13367,3.43021,-3.85276,NA,NA,NA,NA,NA,-111.148,NA,NA
56115,-3.09128,2.77169,-4.18199,NA,NA,NA,NA,NA,-124.531,NA,NA
56310,-2.30334,3.23217,-3.24149,NA,NA,NA,NA,NA,NA,NA,-157.57
56471,-0.216096,4.55676,-4.83732,NA,NA,NA,-205.338,NA,NA,NA,NA
56608,-1.12177,4.74318,-4.61679,NA,NA,NA,NA,NA,-87.374,NA,NA
56888,-1.24556,4.94566,-4.87946,NA,NA,NA,NA,NA,NA,NA,-86.985
57038,-1.23409,4.29617,-4.43701,NA,NA,NA,NA,NA,-61.837,NA,NA
57343,-3.28622,4.25055,-4.19786,NA,NA,NA,NA,NA,-104.412,NA,NA
57459,-3.63138,4.88038,-4.65345,NA,NA,NA,NA,NA,NA,NA,-140.918
57730,-2.18518,4.40913,-4.78627,NA,NA,NA,-66.482,NA,NA,NA,NA
57909,-1.62646,4.84904,-3.96956,NA,NA,NA,-117.234,NA,NA,NA,NA
58031,-1.72465,3.99265,-4.34944,NA,NA,NA,NA,NA,-44.381,NA,NA
58240,0.180391,4.11606,-4.67635,NA,NA,NA,-241.861,NA,NA,NA,NA
58576,-0.766618,4.07038,-4.68004,NA,NA,NA,NA,NA,NA,NA,-94.729
58703,-1.62569,4.58938,-4.1529,NA,NA,NA,NA,NA,-87.816,NA,NA
58975,-2.05094,4.31652,-4.05435,NA,NA,NA,NA,NA,-70.272,NA,NA
59011,-1.83641,4.38142,-4.76732,NA,NA,NA,NA,NA,-45.32,NA,NA
59217,-1.4412,4.11522,-3.71672,NA,NA,NA,NA,NA,-94.948,NA,NA
59549,-0.187936,3.86507,-3.41716,NA,NA,NA,NA,NA,-224.699,NA,NA
59714,0.269678,4.37217,-3.4745,NA,NA,NA,NA,-387.063,NA,NA,NA
59932,-0.240484,4.87452,-4.31597,NA,NA,NA,NA,NA,NA,-245.687,NA
60095,-1.58307,4.70514,-4.70062,NA,NA,NA,-92.465,NA,NA,NA,NA
