id,x0,x1,x2,fitness1,fitness2,fitness2.5,fitness0.5,fitness0,fitness-0.5,fitness-1,fitness1.5,fitness4,fitness5,fitness3,fitness3.5,fitness-1.5,fitness-2,fitness4.5,fitness-3,fitness-2.5,fitness-4,fitness-5,fitness-4.5,fitness-3.5
2229,-5,2.05283,-3.25052,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2479,-4.42051,1.4404,-1.9878,NA,NA,NA,NA,-268.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2621,-4.6178,1.74487,-1.34325,NA,NA,NA,NA,NA,331.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2995,-2.84108,0.785239,-2.85341,NA,NA,NA,NA,NA,28.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3044,-3.93977,1.1839,-3.45533,NA,NA,NA,NA,6.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3361,-4.56304,0.875953,-2.46298,NA,NA,NA,100.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3587,-4.95784,0.144311,-4.11311,NA,NA,NA,NA,NA,NA,24.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3622,-4.98926,-3.06555,-3.18234,NA,NA,NA,NA,NA,NA,-7.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3806,-5,-4.28659,-3.87581,NA,NA,NA,NA,NA,22.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4171,-4.40832,-3.15931,-4.92975,NA,NA,NA,NA,NA,NA,216.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4249,-3.25142,-3.0566,-5,NA,NA,NA,NA,NA,-36.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4599,-3.09768,-2.27014,-5,NA,NA,NA,-22.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4726,-2.56576,-1.6229,-5,NA,NA,NA,10.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4919,-0.702533,-3.03158,-5,490.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5076,-0.887763,-2.59438,-5,NA,NA,NA,347.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5307,-0.762349,-2.22581,-5,NA,NA,NA,NA,-7.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5489,-0.434677,-2.43217,-4.32594,NA,NA,NA,NA,NA,NA,NA,-13.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5618,0.245084,-1.96943,-4.07083,NA,NA,NA,NA,NA,NA,NA,NA,-240.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5918,-0.105942,-1.97083,-4.64252,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6126,-0.350549,-1.73249,-4.3035,NA,NA,NA,NA,NA,NA,NA,NA,61.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6272,0.878446,-1.47999,-3.98453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-165.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6462,0.988785,-0.566099,-3.58766,NA,NA,16.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6611,1.2341,-0.757902,-3.56412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6802,2.10245,-0.324691,-4.11343,NA,NA,32.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7170,1.5147,-0.939689,-4.88389,NA,31.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7376,2.37092,-2.07123,-2.86713,NA,NA,80.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7419,2.929,-1.67149,-3.50315,NA,NA,53.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7730,3.81587,-1.66047,-3.04156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7946,4.67576,-1.05692,-2.64,NA,137.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8053,4.34723,-0.00720397,-1.94209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8371,5,0.695427,-3.13511,NA,NA,NA,NA,NA,NA,NA,NA,232.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8446,5,1.08125,-3.50189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.851,NA,NA,NA,NA,NA,NA,NA,NA,NA
8662,5,2.88613,-3.51325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8960,5,1.59651,-4.14726,NA,NA,NA,NA,50.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9161,5,2.99726,-3.26013,NA,NA,NA,-0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9220,4.67514,2.82517,-2.92319,NA,NA,NA,151.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9589,5,2.97564,-4.25648,NA,NA,2.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9753,4.88137,4.32192,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.846,NA,NA,NA,NA,NA,NA,NA,NA,NA
9928,5,3.14386,-5,NA,NA,195.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,4.4329,2.33411,-3.67822,NA,4.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10209,3.42725,3.25343,-4.03835,NA,NA,NA,NA,NA,NA,NA,-46.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10522,1.7249,2.31018,-2.13873,NA,45.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10757,1.71159,2.96507,-1.1655,NA,NA,NA,NA,NA,NA,NA,-9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10920,1.21311,2.63351,-1.01099,NA,NA,NA,NA,NA,NA,NA,45.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11053,1.57158,3.41101,-0.838682,NA,-1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11241,2.47721,3.79372,-0.545652,NA,NA,NA,86.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11506,3.86816,3.02659,-0.706916,NA,NA,NA,36.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11718,3.84247,3.7098,-2.23412,NA,45.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11817,5,4.57118,-2.98089,NA,NA,NA,NA,NA,NA,NA,-37.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12119,5,4.67024,-3.34921,NA,NA,NA,NA,-731.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12355,4.69248,4.82003,-2.81793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104.41,NA,NA,NA,NA,NA,NA,NA,NA
12462,5,5,-2.98025,343.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12746,4.06825,5,-4.09745,NA,NA,140.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12836,4.41591,4.03772,-2.22442,NA,NA,NA,-2.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13145,4.83486,3.62119,-2.28761,NA,NA,NA,NA,NA,NA,25.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13278,3.25486,3.54946,-5,NA,NA,NA,NA,NA,49.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13581,3.12018,3.56163,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.991,NA,NA,NA,NA,NA,NA,NA
13765,3.18163,4.5628,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.506,NA,NA,NA,NA,NA,NA,NA
13922,0.993975,4.23763,-4.41389,NA,NA,NA,NA,NA,16.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14191,1.25203,4.18394,-5,NA,NA,NA,NA,337.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14329,1.49787,5,-4.90754,NA,NA,NA,NA,NA,NA,307.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14582,-0.515785,3.44854,-5,NA,NA,NA,NA,NA,NA,-247.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14674,-1.23246,1.93294,-5,NA,NA,NA,NA,255.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14938,-1.55328,2.0594,-5,NA,NA,NA,NA,NA,NA,NA,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15176,-1.72823,1.37777,-4.72584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15220,-2.86607,1.87337,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15524,-1.72287,0.52275,-5,NA,NA,19.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15682,-3.65421,0.680168,-4.61869,NA,2.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15860,-3.05288,1.204,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16150,-1.74248,0.559588,-5,NA,NA,NA,NA,NA,NA,NA,NA,7.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16270,-1.79196,0.906148,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.823,NA,NA,NA,NA,NA,NA
16470,-1.81059,0.285377,-5,NA,NA,NA,NA,NA,NA,NA,NA,4.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16770,-1.32742,-1.28586,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16991,-0.453084,-0.222318,-5,NA,5.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17132,-0.734654,-1.28419,-4.4803,NA,NA,NA,NA,NA,1728.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17288,-0.127614,-2.44978,-3.36251,NA,NA,NA,NA,-320.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17580,-0.331941,-3.76327,-3.75443,NA,NA,NA,-1.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17773,-0.438546,-2.50999,-2.41732,NA,NA,NA,NA,2.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17987,-1.62343,0.0268019,-3.00287,NA,NA,NA,-338.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18126,-1.76014,-0.143881,-1.57816,NA,NA,NA,NA,-15.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18347,-2.58245,-0.779882,-2.65186,NA,NA,NA,NA,NA,418.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18403,-1.82694,-0.360164,-3.94658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.957,NA,NA,NA,NA,NA,NA,NA
18777,-1.96827,0.018119,-3.29189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.767,NA,NA,NA,NA,NA,NA,NA,NA
18998,-0.101414,0.20907,-4.15183,NA,NA,NA,NA,NA,NA,189.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19034,-1.64302,1.02046,-2.18121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.987,NA,NA,NA,NA,NA
19277,-1.00506,0.481621,-3.56541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.818,NA,NA,NA,NA,NA
19510,-0.367304,-1.19831,-3.52461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.958,NA,NA,NA,NA,NA
19621,-0.622364,-1.55325,-2.59974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3562.562,NA,NA,NA,NA,NA,NA,NA,NA
19969,0.470896,-1.80482,-4.76983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.566,NA,NA,NA,NA,NA,NA,NA,NA
20104,-0.488397,-1.26395,-3.97789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.957,NA,NA,NA,NA,NA,NA,NA
20382,0.293096,-2.70544,-3.36707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA
20514,1.22275,-2.80101,-2.41481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.903,NA,NA,NA
20705,-0.105786,-2.87296,-3.02504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.034,NA,NA,NA
20873,1.75504,-5,-1.96599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.695,NA,NA
21173,2.88914,-4.30654,-0.0443954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.077,NA,NA
21301,1.03841,-3.99838,0.411872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.848,NA,NA
21553,0.737844,-4.54344,-1.50418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.063,NA,NA
21634,0.335498,-3.89143,-1.3046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.394,NA,NA
21950,1.68663,-5,-1.96095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.911,NA,NA,NA
22197,2.32469,-5,-3.6471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.346,NA,NA,NA,NA
22229,0.803854,-4.37473,-4.46762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.942,NA,NA,NA,NA,NA
22458,0.740857,-3.49614,-4.69268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.535,NA,NA,NA,NA,NA
22678,0.425283,-3.67935,-4.69171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.307,NA,NA,NA,NA
22903,0.265176,-2.12324,-2.96857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.941,NA,NA,NA,NA,NA,NA,NA,NA
23067,-0.823173,-2.09634,-3.58085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.611,NA,NA,NA,NA,NA,NA,NA
23251,0.102261,-0.971403,-3.51505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.454,NA,NA,NA,NA,NA,NA,NA,NA
23519,-0.858375,0.294961,-3.38302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.048,NA,NA,NA,NA,NA
23734,-1.98122,0.350332,-2.72043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.67,NA,NA,NA,NA,NA
23989,-0.659225,0.534844,-4.09461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.072,NA
24028,0.285441,2.4359,-2.63985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.38,NA,NA,NA
24276,-0.108294,2.56275,-2.27591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.094,NA,NA
24522,1.86324,3.84529,-1.75414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.365,NA,NA
24717,1.79002,4.07799,-2.74258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.366,NA,NA,NA
24934,1.51105,4.88351,-3.59089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.562
25146,1.96844,5,-3.12322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.362,NA
25373,2.61152,4.41999,-4.42149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.291,NA,NA,NA
25468,1.96713,3.10623,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.165,NA,NA,NA
25680,1.81084,2.39713,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.569,NA,NA,NA
25847,1.87309,2.2507,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.812,NA,NA
26071,2.46844,2.32784,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.966
26279,3.77395,2.21842,-2.20664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.499,NA
26595,4.2241,1.55313,-1.14587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.016,NA,NA,NA
26645,3.62136,3.38116,-2.29704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295
26938,3.78764,0.351174,-1.71669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.631,NA
27081,3.61939,0.855247,-2.33637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.093
27238,3.50643,1.9222,-3.03181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.791,NA,NA
27571,3.44755,3.28364,-2.22313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.608,NA,NA
27636,3.26043,3.99528,-1.51432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.456,NA,NA,NA
27832,3.54207,1.89328,-1.56327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.893,NA,NA,NA
28003,2.66307,0.927831,-0.955543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.464
28212,4.36492,-0.574703,-3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-318.924,NA,NA,NA,NA
28591,5,-0.775232,-2.90537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.621,NA,NA,NA,NA,NA,NA,NA
28734,4.37261,-0.326848,-1.42354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.437,NA,NA,NA,NA,NA,NA,NA
28874,2.12353,0.384045,-2.20563,NA,NA,NA,NA,NA,NA,-182.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29096,2.17931,1.86079,-3.73595,NA,NA,NA,NA,NA,5.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29239,1.91412,0.873711,-2.2359,NA,NA,NA,25.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29401,1.56915,0.265592,-2.24776,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29744,1.32377,-0.0964346,-2.91195,NA,NA,NA,NA,NA,NA,NA,42.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29825,-0.038261,-1.91763,-1.8388,NA,NA,NA,NA,NA,NA,NA,NA,133.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30024,1.00761,-2.09195,-2.76847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.122,NA,NA,NA,NA,NA,NA,NA,NA,NA
30234,1.21408,-2.47558,-4.268,NA,NA,NA,NA,NA,NA,NA,NA,2.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30449,4.51731,-3.53076,-2.76338,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30787,3.51475,-4.36505,-3.00134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.078,NA,NA,NA,NA,NA,NA
30986,3.30523,-2.85956,-2.1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.058,NA,NA,NA,NA,NA,NA
31197,2.64958,-3.38524,-1.48718,NA,NA,NA,NA,NA,NA,NA,NA,NA,-364.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31217,2.18211,-3.32605,-2.45652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.485,NA,NA,NA,NA,NA,NA
31442,3.64317,-2.54104,-1.5257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
31672,2.42327,-2.39682,-0.940345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31956,2.48754,-3.19803,0.0810731,NA,NA,2.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32140,3.23365,-3.91798,-0.00273445,NA,-6.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32314,2.4682,-3.89582,-0.91105,NA,NA,NA,NA,NA,NA,NA,NA,139.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32500,2.81129,-3.54783,-0.173872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.593,NA,NA,NA,NA,NA,NA,NA,NA,NA
32636,0.808121,-5,-1.74206,NA,NA,NA,NA,NA,NA,NA,NA,16.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32993,1.08415,-4.88462,-0.658936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
