id,x0,x1,x2,fitness-5,fitness-4,fitness-2.5,fitness-2,fitness-3.5,fitness-3,fitness-1.5
10601,2.64804,1.98654,-4.26016,NA,NA,-23.559,NA,NA,NA,NA
10803,1.99873,1.53285,-4.16451,NA,NA,-3.102,NA,NA,NA,NA
11103,1.26141,1.72916,-4.85793,NA,NA,NA,NA,NA,-26.553,NA
11344,1.3422,2.01941,-4.36089,NA,NA,-10.874,NA,NA,NA,NA
11522,1.92108,1.20522,-4.05587,NA,NA,NA,NA,NA,-12.044,NA
11686,2.14693,2.35512,-4.56472,NA,NA,NA,NA,NA,-20.417,NA
11834,1.79503,2.59185,-5,NA,NA,NA,-34.65,NA,NA,NA
12047,2.00928,1.79961,-3.87146,NA,NA,-9.437,NA,NA,NA,NA
12216,2.13687,2.70092,-5,NA,NA,-39.161,NA,NA,NA,NA
12594,1.18276,2.06052,-5,NA,NA,-26.575,NA,NA,NA,NA
12778,0.453522,2.3427,-4.95947,NA,NA,-60.948,NA,NA,NA,NA
12991,2.15335,1.95534,-4.03851,NA,NA,-10.033,NA,NA,NA,NA
13059,1.52939,1.79515,-3.7938,NA,NA,-13.463,NA,NA,NA,NA
13378,1.43337,1.83599,-4.68329,NA,NA,NA,NA,NA,-20.002,NA
13593,2.19639,1.46919,-5,NA,NA,-19.989,NA,NA,NA,NA
13648,2.22965,1.44502,-5,NA,NA,NA,NA,NA,-25.814,NA
13824,2.06787,1.30064,-5,NA,NA,-20.475,NA,NA,NA,NA
14052,1.77456,1.14146,-5,NA,NA,-29.094,NA,NA,NA,NA
14351,1.65347,2.43974,-5,NA,NA,NA,-38.257,NA,NA,NA
14454,1.33521,1.80434,-4.39225,NA,NA,-7.478,NA,NA,NA,NA
14631,1.77384,1.76637,-5,NA,NA,NA,-17.015,NA,NA,NA
14951,2.40919,1.70233,-4.51254,NA,NA,-13.262,NA,NA,NA,NA
15034,1.87284,1.52348,-5,NA,NA,-15.539,NA,NA,NA,NA
15326,1.9477,1.94776,-4.71402,NA,NA,NA,NA,NA,-11.198,NA
15415,1.2004,1.97958,-5,NA,NA,-25.287,NA,NA,NA,NA
15725,2.33696,2.36808,-5,NA,NA,NA,NA,NA,-37.239,NA
15920,1.62886,1.55622,-4.42177,NA,NA,NA,NA,NA,-11.79,NA
16178,0.897866,1.83073,-4.74273,NA,NA,-29.644,NA,NA,NA,NA
16210,1.30985,2.11626,-5,NA,NA,-24.574,NA,NA,NA,NA
16550,1.26592,1.42067,-5,NA,NA,-25.762,NA,NA,NA,NA
16635,2.37868,1.2806,-5,NA,NA,-28.152,NA,NA,NA,NA
16950,2.35661,1.47343,-3.85238,NA,NA,NA,NA,NA,-23.239,NA
17046,1.8925,1.56378,-4.4229,NA,NA,-1.534,NA,NA,NA,NA
17361,2.26328,2.06998,-3.56962,NA,NA,-27.873,NA,NA,NA,NA
17465,2.07098,2.05894,-4.04989,NA,NA,-10.839,NA,NA,NA,NA
17663,1.63326,1.73319,-4.53659,NA,NA,NA,NA,NA,-10.87,NA
17976,1.92715,2.68393,-4.48864,NA,NA,NA,NA,NA,-33.51,NA
18179,1.61733,2.38851,-4.49354,NA,NA,-17.54,NA,NA,NA,NA
18238,1.60896,2.04452,-4.20587,NA,NA,-6.993,NA,NA,NA,NA
18447,1.99919,1.62372,-5,NA,NA,NA,-19.494,NA,NA,NA
18752,2.22419,1.39062,-3.70217,NA,NA,-22.183,NA,NA,NA,NA
18992,1.64189,1.7359,-4.29516,NA,NA,NA,NA,NA,-5.269,NA
19193,1.54803,1.74396,-5,NA,NA,-16.536,NA,NA,NA,NA
19302,2.22938,2.40269,-4.65305,NA,NA,-22.476,NA,NA,NA,NA
19576,1.70792,2.15583,-5,NA,NA,-20.436,NA,NA,NA,NA
19752,1.85337,2.45232,-5,NA,NA,-28.065,NA,NA,NA,NA
19935,0.945412,1.31874,-4.2821,NA,NA,-30.627,NA,NA,NA,NA
20136,1.77411,1.31544,-5,NA,NA,-19.194,NA,NA,NA,NA
20265,2.50057,1.64957,-4.72464,NA,NA,-19.305,NA,NA,NA,NA
20420,2.29154,1.59675,-5,NA,NA,NA,-22.617,NA,NA,NA
20662,1.93269,1.17568,-4.0691,NA,NA,NA,NA,NA,-14.335,NA
20957,1.36856,1.81969,-4.17949,NA,NA,NA,NA,NA,-15.646,NA
21162,1.83887,1.86911,-4.29002,NA,NA,NA,NA,-27.202,NA,NA
21272,1.92008,1.83826,-5,NA,NA,-16.059,NA,NA,NA,NA
21593,2.21465,1.9746,-4.7751,NA,NA,NA,NA,NA,-21.471,NA
21761,1.95621,1.5743,-5,NA,NA,-15.825,NA,NA,NA,NA
21998,1.17882,2.16354,-5,NA,NA,NA,-31.44,NA,NA,NA
22113,0.640716,2.02532,-5,NA,NA,NA,NA,NA,-48.624,NA
22389,0.942918,2.15198,-4.37802,NA,NA,-26.18,NA,NA,NA,NA
22499,1.85941,1.81963,-4.04903,NA,NA,NA,NA,-22.313,NA,NA
22627,1.75612,1.46441,-4.64743,NA,NA,NA,NA,NA,-17.308,NA
22943,2.62602,1.31971,-4.0323,NA,NA,NA,NA,NA,-32.035,NA
23194,2.27896,2.16072,-5,NA,NA,-24.679,NA,NA,NA,NA
23378,2.30904,1.83248,-5,NA,NA,NA,NA,NA,NA,-39.7
23449,1.84593,2.23034,-5,NA,NA,-21.625,NA,NA,NA,NA
23657,1.69534,2.0331,-5,NA,NA,NA,-24.619,NA,NA,NA
23894,2.56337,1.73689,-5,NA,NA,-28.711,NA,NA,NA,NA
24129,1.72854,1.3422,-4.99709,NA,NA,NA,-23.114,NA,NA,NA
24311,1.68952,1.47963,-4.8084,NA,NA,NA,-14.044,NA,NA,NA
24584,0.874495,1.54436,-4.07589,NA,NA,-32.777,NA,NA,NA,NA
24610,1.794,1.95729,-3.91535,NA,NA,-8.436,NA,NA,NA,NA
24867,1.3372,1.8592,-4.63899,NA,NA,NA,-12.904,NA,NA,NA
25152,2.41563,1.99042,-4.48241,NA,NA,-15.884,NA,NA,NA,NA
25296,2.3287,1.54523,-4.90381,NA,NA,-19.086,NA,NA,NA,NA
25436,1.90972,1.88255,-4.75544,NA,NA,-9.395,NA,NA,NA,NA
25755,1.78147,2.06741,-4.46297,NA,NA,NA,NA,NA,-10,NA
25945,1.71244,2.09052,-5,NA,NA,NA,-21.448,NA,NA,NA
26198,1.49989,1.70904,-5,NA,NA,-16.976,NA,NA,NA,NA
26270,2.14551,1.37736,-4.20286,NA,NA,-7.453,NA,NA,NA,NA
26489,2.34339,1.50169,-3.83156,NA,NA,NA,NA,NA,-27.502,NA
26749,2.07405,1.72728,-3.88356,NA,NA,NA,NA,NA,-23.482,NA
26884,1.97826,1.02215,-3.99532,NA,NA,NA,-34.496,NA,NA,NA
27175,2.26365,1.11431,-4.94013,NA,NA,-28.326,NA,NA,NA,NA
27322,1.73115,1.40151,-4.67648,NA,NA,-8.02,NA,NA,NA,NA
27576,2.2668,2.00507,-4.02909,NA,NA,-13.588,NA,NA,NA,NA
27625,1.6226,1.71147,-5,NA,NA,NA,NA,NA,-17.06,NA
27831,2.44815,1.71197,-3.95146,NA,NA,NA,NA,NA,-18.988,NA
28029,1.99505,2.11453,-4.47148,NA,NA,NA,NA,NA,-16.765,NA
28350,1.95337,1.51012,-4.80388,NA,NA,-10.043,NA,NA,NA,NA
28521,1.48833,1.27893,-5,NA,NA,-24.632,NA,NA,NA,NA
28772,1.44855,1.83667,-4.22433,NA,NA,NA,NA,NA,-16.127,NA
28967,1.16938,2.09075,-5,NA,NA,-27.679,NA,NA,NA,NA
29108,1.24549,1.43177,-4.59209,NA,NA,NA,-16.702,NA,NA,NA
29285,1.80686,1.17988,-4.79374,NA,NA,NA,-28.069,NA,NA,NA
29586,2.00497,1.27567,-5,NA,NA,-22.103,NA,NA,NA,NA
29643,1.66181,1.51236,-3.90295,NA,NA,-8.412,NA,NA,NA,NA
29872,1.86489,1.53886,-4.16726,NA,NA,NA,NA,-18.055,NA,NA
30136,2.80307,1.68573,-4.5172,NA,NA,-29.651,NA,NA,NA,NA
30220,2.50218,1.74085,-5,NA,NA,NA,-28.249,NA,NA,NA
30518,2.41782,0.886756,-4.26031,NA,NA,NA,NA,NA,-36.972,NA
30736,1.26305,2.26288,-4.77817,NA,NA,-22.712,NA,NA,NA,NA
30982,2.26702,1.75569,-3.47507,NA,NA,-29.953,NA,NA,NA,NA
31137,1.82331,1.67684,-4.66154,NA,NA,-5.453,NA,NA,NA,NA
31234,2.10846,1.58062,-4.63281,NA,NA,-6.979,NA,NA,NA,NA
31469,2.11706,1.09703,-3.84001,NA,NA,NA,-33.436,NA,NA,NA
31725,1.80038,1.29132,-4.09004,NA,NA,-5.97,NA,NA,NA,NA
31877,1.04916,1.98928,-4.42173,NA,NA,NA,NA,NA,-22.109,NA
32164,1.31332,1.26522,-4.78632,NA,NA,-20.501,NA,NA,NA,NA
32225,1.60267,1.62357,-4.83563,NA,NA,-10.222,NA,NA,NA,NA
32532,2.51308,2.01705,-4.35068,NA,NA,NA,NA,NA,-22.963,NA
32774,2.26774,1.44609,-3.96286,NA,NA,-13.13,NA,NA,NA,NA
32964,2.05835,2.39571,-3.7938,NA,NA,-24.591,NA,NA,NA,NA
33194,2.1502,1.20826,-4.26775,NA,NA,NA,NA,NA,-14.955,NA
33391,1.92345,2.25678,-4.28705,NA,NA,-11.796,NA,NA,NA,NA
33464,2.27098,1.69624,-4.40291,NA,NA,NA,NA,NA,-13.288,NA
33740,1.27124,1.78613,-4.20063,NA,NA,-9.747,NA,NA,NA,NA
33997,1.4938,1.76102,-4.7622,NA,NA,NA,-22.58,NA,NA,NA
34005,2.22688,1.95762,-5,NA,NA,-20.156,NA,NA,NA,NA
34386,2.16191,1.45974,-4.39625,NA,NA,NA,NA,NA,-12.589,NA
34475,2.27801,1.79844,-4.55088,NA,NA,-10.368,NA,NA,NA,NA
34647,1.36401,2.10994,-4.34561,NA,NA,NA,-13.761,NA,NA,NA
34927,1.89541,1.87887,-4.46277,NA,NA,NA,NA,NA,NA,-23.333
35165,2.07191,1.09129,-4.7849,NA,NA,-20.73,NA,NA,NA,NA
35355,1.93902,1.52186,-5,NA,NA,NA,-26.52,NA,NA,NA
35588,1.79094,2.01639,-3.97074,NA,NA,NA,-13.486,NA,NA,NA
35792,1.36441,2.59134,-4.49628,NA,NA,-28.274,NA,NA,NA,NA
35887,1.15776,2.13724,-5,NA,NA,-29.889,NA,NA,NA,NA
36137,1.90473,1.65853,-4.55491,NA,NA,-3.231,NA,NA,NA,NA
36356,1.83231,1.89648,-4.33921,NA,NA,NA,NA,NA,NA,-20.053
36508,1.95479,1.64219,-4.29333,NA,NA,-1.369,NA,NA,NA,NA
36601,1.62355,1.20239,-4.03587,NA,NA,NA,NA,NA,-12.966,NA
36819,1.84799,2.23362,-5,NA,NA,NA,NA,NA,-24.45,NA
37038,1.74329,1.88724,-5,NA,NA,NA,-23.445,NA,NA,NA
37240,1.50578,1.67198,-5,NA,NA,NA,NA,NA,NA,-32.968
37579,1.74604,1.75289,-4.96063,NA,NA,-13.193,NA,NA,NA,NA
37698,2.27764,1.02488,-3.93844,NA,NA,-27.259,NA,NA,NA,NA
37915,2.02514,1.81937,-4.77606,NA,NA,NA,-11.861,NA,NA,NA
38005,2.29031,1.88568,-4.94132,NA,NA,NA,NA,NA,-20.235,NA
38333,1.7151,1.58888,-5,NA,NA,NA,NA,NA,-18.173,NA
38594,2.48536,1.97356,-5,NA,NA,NA,-32.115,NA,NA,NA
38624,1.56089,1.53812,-4.87599,NA,NA,NA,NA,NA,-21.963,NA
38993,2.17093,1.67557,-5,NA,NA,-18.213,NA,NA,NA,NA
39091,2.02322,2.15218,-5,NA,NA,-20.52,NA,NA,NA,NA
39313,1.10417,1.23595,-5,NA,NA,-43.189,NA,NA,NA,NA
39562,1.21226,1.77758,-5,NA,NA,-24.397,NA,NA,NA,NA
39727,1.597,1.19975,-4.37854,NA,NA,NA,NA,NA,-14.953,NA
39993,1.89725,1.37519,-4.96115,NA,NA,NA,NA,-33.119,NA,NA
40127,1.88316,2.46318,-5,NA,NA,NA,NA,-58.894,NA,NA
40350,1.91984,1.3704,-4.83448,NA,NA,NA,NA,NA,-14.652,NA
40438,1.90854,1.68901,-4.24202,NA,NA,NA,-4.533,NA,NA,NA
40626,1.27519,1.3823,-5,NA,NA,-28.011,NA,NA,NA,NA
40839,1.67656,1.65614,-5,NA,NA,-14.955,NA,NA,NA,NA
41165,1.42569,2.48613,-5,NA,NA,-31.87,NA,NA,NA,NA
41321,1.98098,2.0652,-3.89857,NA,NA,NA,-14.928,NA,NA,NA
41600,2.13334,1.97341,-5,NA,NA,NA,NA,NA,-26.137,NA
41627,1.93428,1.34798,-5,NA,NA,NA,NA,NA,-28.148,NA
41956,1.72031,1.91145,-4.91413,NA,NA,-13.018,NA,NA,NA,NA
42195,1.84175,1.95809,-3.73285,NA,NA,NA,-16.065,NA,NA,NA
42208,2.2423,1.83747,-5,NA,NA,-21.023,NA,NA,NA,NA
42457,2.09734,1.90463,-4.21871,NA,NA,NA,-9.497,NA,NA,NA
42647,1.54868,1.74322,-4.28269,NA,NA,NA,-17.524,NA,NA,NA
42914,0.823575,2.17443,-5,NA,NA,NA,NA,-56.992,NA,NA
43088,1.78346,2.0044,-5,NA,NA,NA,NA,-32.797,NA,NA
43307,1.59657,1.97005,-5,NA,NA,NA,NA,NA,-21.345,NA
43600,1.05917,2.01759,-5,NA,NA,NA,NA,NA,-30.878,NA
43680,1.85009,1.42304,-5,NA,NA,NA,-18.985,NA,NA,NA
43909,2.24029,2.41706,-4.32434,NA,NA,NA,-23.01,NA,NA,NA
44059,1.43682,1.55875,-4.4764,NA,NA,-6.95,NA,NA,NA,NA
44237,1.69038,1.86308,-4.77012,NA,NA,NA,NA,NA,-13.754,NA
44480,1.04174,2.05562,-4.59855,NA,NA,-22.202,NA,NA,NA,NA
44725,2.16744,1.94019,-4.67981,NA,NA,NA,NA,NA,-16.23,NA
44855,1.3182,2.00584,-5,NA,NA,-22.865,NA,NA,NA,NA
45072,1.817,1.78294,-4.85728,NA,NA,-10.72,NA,NA,NA,NA
45386,2.2779,2.26899,-4.56004,NA,NA,NA,NA,NA,-25.985,NA
45473,2.3008,1.74535,-4.50315,NA,NA,NA,NA,NA,-14.918,NA
45610,2.23518,1.84895,-4.22447,NA,NA,NA,NA,NA,-11.941,NA
45857,1.45435,2.41556,-4.32611,NA,NA,-18.756,NA,NA,NA,NA
46088,1.58789,1.86298,-5,NA,NA,-17.487,NA,NA,NA,NA
46233,1.74697,1.38958,-4.97698,NA,NA,NA,NA,NA,-24.053,NA
46483,1.74734,1.16652,-5,NA,NA,NA,NA,NA,-36.875,NA
46630,1.40014,1.79319,-5,NA,NA,NA,-22.894,NA,NA,NA
46915,1.6479,1.8522,-4.76293,NA,NA,-8.336,NA,NA,NA,NA
47046,2.26386,0.905676,-4.0506,NA,NA,-32.061,NA,NA,NA,NA
47368,0.959521,2.06095,-4.16137,NA,NA,-26.359,NA,NA,NA,NA
47572,2.12639,2.67129,-4.56169,NA,NA,NA,-37.776,NA,NA,NA
47755,1.99713,1.6795,-5,NA,NA,-15.762,NA,NA,NA,NA
47972,0.961426,1.83874,-5,NA,NA,-33.569,NA,NA,NA,NA
48169,2.14719,2.15704,-3.81002,NA,NA,NA,NA,NA,-22.816,NA
48289,2.23686,1.79332,-5,NA,NA,NA,NA,NA,-27.48,NA
48587,2.31026,2.06595,-3.66327,NA,NA,NA,NA,NA,-37.853,NA
48711,2.24897,1.11228,-4.25602,NA,NA,-18.362,NA,NA,NA,NA
48825,1.14455,2.13175,-3.9214,NA,NA,NA,-31.36,NA,NA,NA
49023,2.06964,1.52107,-4.19006,NA,NA,NA,NA,NA,-10.109,NA
49258,1.54775,2.16809,-4.08803,NA,NA,-12.684,NA,NA,NA,NA
49473,1.72532,1.97565,-3.57077,NA,NA,-20.723,NA,NA,NA,NA
49696,2.78486,1.69596,-4.04151,NA,NA,-29.728,NA,NA,NA,NA
49817,2.94571,1.54138,-3.89469,NA,NA,NA,NA,NA,-50.858,NA
50163,2.28581,1.60605,-3.80791,NA,NA,-16.223,NA,NA,NA,NA
50312,2.21132,1.30631,-4.38421,NA,NA,NA,NA,NA,-15.331,NA
50593,1.87314,1.67593,-4.49721,NA,NA,-2.439,NA,NA,NA,NA
50674,1.28496,1.79568,-3.95978,NA,NA,-12.828,NA,NA,NA,NA
50859,1.65211,1.87645,-5,NA,NA,NA,-18.135,NA,NA,NA
51116,1.69899,1.37894,-5,NA,NA,NA,NA,NA,-25.019,NA
51363,2.08026,1.19043,-4.54584,NA,NA,NA,NA,-32.497,NA,NA
51496,2.66045,1.1975,-3.84239,NA,NA,NA,NA,NA,-37.826,NA
51790,1.62514,1.06059,-4.17555,NA,NA,-15.879,NA,NA,NA,NA
51986,1.72501,1.0442,-5,NA,NA,-32.239,NA,NA,NA,NA
52112,1.80557,1.84632,-5,NA,NA,NA,-18.46,NA,NA,NA
52360,1.4298,1.4546,-5,NA,NA,-20.832,NA,NA,NA,NA
52529,2.22411,1.6715,-4.09818,NA,NA,NA,-15.558,NA,NA,NA
52765,2.35294,1.6194,-5,NA,NA,NA,-24.597,NA,NA,NA
52892,2.14083,2.46048,-5,NA,NA,-30.226,NA,NA,NA,NA
53149,2.90106,1.77004,-4.99939,NA,NA,-41.915,NA,NA,NA,NA
53376,1.63453,2.32308,-5,NA,NA,NA,NA,-36.613,NA,NA
53407,1.40681,0.934941,-5,NA,NA,-46.652,NA,NA,NA,NA
53609,1.83482,1.3572,-3.8792,NA,NA,-10.628,NA,NA,NA,NA
53951,1.34403,1.88045,-4.95399,NA,NA,-18.561,NA,NA,NA,NA
54010,2.43267,1.83669,-5,NA,NA,-24.141,NA,NA,NA,NA
54251,2.24241,1.29779,-5,NA,NA,-24.152,NA,NA,NA,NA
54423,1.80404,0.926951,-5,NA,NA,NA,NA,NA,-38.673,NA
54652,1.81364,1.42637,-4.88435,NA,NA,NA,NA,NA,-14.911,NA
54820,1.6606,1.59443,-4.76708,NA,NA,NA,-11.361,NA,NA,NA
55069,2.02114,1.33259,-3.58624,NA,NA,-24.008,NA,NA,NA,NA
55238,1.50794,1.63564,-4.23851,NA,NA,NA,NA,NA,-6.175,NA
55550,2.4509,2.33028,-4.10586,NA,NA,NA,NA,NA,-28.518,NA
55619,1.80347,1.63604,-5,NA,NA,-15.331,NA,NA,NA,NA
55929,2.16667,2.02182,-5,NA,NA,NA,NA,NA,-22.132,NA
56086,1.53396,2.08096,-4.39041,NA,NA,-8.164,NA,NA,NA,NA
56242,2.28369,1.97145,-4.47855,NA,NA,NA,-23.952,NA,NA,NA
56526,2.05357,2.25848,-3.99317,NA,NA,-16.991,NA,NA,NA,NA
56710,2.11894,1.44335,-4.24381,NA,NA,NA,NA,-23.539,NA,NA
56979,1.84691,1.1323,-4.22405,NA,NA,NA,NA,NA,-18.357,NA
57170,1.59868,1.24099,-4.81601,NA,NA,-16.401,NA,NA,NA,NA
57380,1.95661,2.33225,-4.37139,NA,NA,-14.336,NA,NA,NA,NA
57413,2.27281,1.81274,-3.99994,NA,NA,-11.64,NA,NA,NA,NA
57640,2.10555,1.75596,-4.12657,NA,NA,NA,-10.221,NA,NA,NA
57971,1.97714,1.98693,-4.80591,NA,NA,NA,-18.159,NA,NA,NA
58150,1.23517,2.02116,-4.22076,NA,NA,NA,NA,NA,NA,-28.993
58258,1.93158,2.04171,-4.14714,NA,NA,-7.092,NA,NA,NA,NA
58550,1.86078,1.58799,-4.38778,NA,NA,-1.104,NA,NA,NA,NA
58612,1.99799,1.50491,-5,NA,NA,-16.49,NA,NA,NA,NA
58971,2.253,1.99772,-4.77953,NA,NA,-16.327,NA,NA,NA,NA
59188,1.76923,1.04911,-4.6925,NA,NA,-22.522,NA,NA,NA,NA
59390,1.25924,1.79393,-4.3894,NA,NA,-9.64,NA,NA,NA,NA
59569,1.93965,1.92264,-4.28926,NA,NA,NA,-10.058,NA,NA,NA
59617,1.33158,2.32528,-4.0217,NA,NA,NA,NA,NA,-25.773,NA
59968,2.19857,2.61879,-4.28807,NA,NA,-28.391,NA,NA,NA,NA
60036,2.02106,2.02747,-4.66985,NA,NA,-11.128,NA,NA,NA,NA
60227,1.77668,2.1889,-5,NA,NA,NA,NA,NA,-31.513,NA
60426,2.12609,1.88859,-4.7778,NA,NA,NA,NA,NA,-19.753,NA
60697,1.60567,1.24734,-4.31142,NA,NA,-6.343,NA,NA,NA,NA
60875,1.93761,2.37305,-4.17929,NA,NA,NA,NA,-35.898,NA,NA
61164,1.38295,1.85778,-5,NA,NA,NA,NA,NA,-20.848,NA
61287,1.69609,1.59918,-4.41946,NA,NA,-1.05,NA,NA,NA,NA
61533,2.04583,1.60017,-4.59196,NA,NA,-5.029,NA,NA,NA,NA
61759,2.21073,1.47876,-4.67489,NA,NA,-10.718,NA,NA,NA,NA
61983,0.936841,2.05301,-4.46516,NA,NA,-25.725,NA,NA,NA,NA
62103,1.26111,1.99676,-3.46065,NA,NA,NA,NA,NA,-39.033,NA
62311,1.82307,2.38907,-4.74176,NA,NA,NA,NA,NA,-27.673,NA
62600,1.63742,2.95471,-4.76607,NA,NA,NA,-51.838,NA,NA,NA
62676,1.28327,1.90488,-5,NA,NA,-21.882,NA,NA,NA,NA
62954,1.57941,1.92812,-5,NA,NA,-17.353,NA,NA,NA,NA
63176,2.3682,1.70863,-5,NA,NA,NA,NA,NA,NA,-35.475
63367,2.40421,2.15303,-5,NA,NA,-27.53,NA,NA,NA,NA
63520,1.59852,2.22115,-5,NA,NA,NA,NA,-40.205,NA,NA
63680,1.83109,2.18764,-4.37525,NA,NA,-10.18,NA,NA,NA,NA
63980,1.63446,1.51367,-4.67985,NA,NA,-6.052,NA,NA,NA,NA
64115,1.80076,1.86198,-5,NA,NA,NA,NA,NA,-22.036,NA
64340,1.68192,1.74582,-4.91813,NA,NA,-12.802,NA,NA,NA,NA
64600,1.3957,1.10469,-5,NA,NA,NA,-40.714,NA,NA,NA
64632,1.5214,1.82438,-5,NA,NA,-16.876,NA,NA,NA,NA
64954,1.80053,1.42901,-5,NA,NA,-16.563,NA,NA,NA,NA
65065,2.48768,1.69995,-5,NA,NA,NA,NA,NA,-29.336,NA
65321,1.91591,2.15693,-4.25023,NA,NA,-10.069,NA,NA,NA,NA
65412,2.18186,1.86054,-4.91748,NA,NA,NA,NA,NA,-20.748,NA
65741,2.24046,2.14211,-5,NA,NA,-23.173,NA,NA,NA,NA
65814,1.70137,2.31973,-5,NA,NA,NA,-27.221,NA,NA,NA
66051,1.74977,1.7326,-4.87869,NA,NA,-10.361,NA,NA,NA,NA
66295,1.19101,2.25999,-4.05922,NA,NA,NA,-25.533,NA,NA,NA
66577,1.57408,1.97427,-4.13211,NA,NA,NA,NA,NA,-10.109,NA
66796,1.22618,1.13625,-5,NA,NA,NA,-44.605,NA,NA,NA
66839,1.59594,1.68735,-5,NA,NA,NA,NA,NA,-16.803,NA
67021,2.12286,1.7266,-5,NA,NA,NA,NA,NA,-26.134,NA
67346,2.53301,1.94879,-4.41475,NA,NA,NA,NA,NA,-26.024,NA
67552,2.40823,1.84028,-5,NA,NA,NA,-25.941,NA,NA,NA
67602,1.93611,1.83407,-4.57216,NA,NA,NA,-16.55,NA,NA,NA
