id,x0,x1,x2,fitness8,fitness9,fitness8.5,fitness7.5,fitness6.5,fitness7,fitness9.5,fitness10
30947,6.9066,9.17392,8.011,NA,NA,NA,0.537,NA,NA,NA,NA
31159,8.00942,8.5142,8.3866,0.778,NA,NA,NA,NA,NA,NA,NA
31332,7.3861,8.82205,8.35571,NA,NA,NA,0.704,NA,NA,NA,NA
31494,8.18599,8.93645,7.91235,NA,NA,NA,0.69,NA,NA,NA,NA
31631,7.49394,8.10958,8.09074,NA,NA,NA,NA,NA,0.857,NA,NA
31917,6.84968,8.20989,6.98272,0.677,NA,NA,NA,NA,NA,NA,NA
32156,7.38075,7.91282,7.14373,NA,NA,NA,NA,NA,0.813,NA,NA
32235,7.9866,7.89591,6.82274,NA,NA,NA,0.81,NA,NA,NA,NA
32481,8.31289,7.78042,8.40091,0.821,NA,NA,NA,NA,NA,NA,NA
32786,7.64345,7.7036,8.39113,NA,NA,NA,NA,NA,0.731,NA,NA
32961,7.06271,7.96569,7.08402,NA,NA,NA,0.778,NA,NA,NA,NA
33034,6.87866,7.81864,7.72802,NA,NA,NA,0.82,NA,NA,NA,NA
33255,7.86995,8.22645,8.29349,NA,NA,0.781,NA,NA,NA,NA,NA
33599,7.76235,8.48637,8.51004,NA,NA,0.681,NA,NA,NA,NA,NA
33681,7.57234,8.7325,8.25135,NA,0.574,NA,NA,NA,NA,NA,NA
33938,7.23479,8.48535,7.56024,NA,NA,NA,0.836,NA,NA,NA,NA
34191,8.37975,7.63304,7.61701,0.882,NA,NA,NA,NA,NA,NA,NA
34323,8.20571,7.47374,8.9062,0.719,NA,NA,NA,NA,NA,NA,NA
34442,7.21084,7.43936,6.98925,NA,NA,NA,NA,NA,0.755,NA,NA
34727,7.48588,8.25121,7.35107,NA,NA,NA,0.886,NA,NA,NA,NA
34812,7.694,8.09847,7.4184,NA,NA,NA,NA,0.755,NA,NA,NA
35150,7.28381,7.40945,7.90123,NA,NA,0.819,NA,NA,NA,NA,NA
35303,8.04069,7.47759,7.70607,0.961,NA,NA,NA,NA,NA,NA,NA
35537,8.60523,8.15078,7.63833,NA,NA,NA,0.822,NA,NA,NA,NA
35709,8.68618,7.59315,7.21682,0.743,NA,NA,NA,NA,NA,NA,NA
35933,8.24344,8.12023,7.087,NA,NA,NA,0.828,NA,NA,NA,NA
36169,8.58566,7.52593,6.91194,NA,NA,NA,0.722,NA,NA,NA,NA
36270,7.84847,7.50989,8.29965,NA,NA,NA,0.916,NA,NA,NA,NA
36417,8.42375,7.57809,8.32926,NA,NA,NA,0.795,NA,NA,NA,NA
36694,8.03728,7.67427,7.78574,NA,NA,NA,0.967,NA,NA,NA,NA
36832,7.32148,8.06529,6.8102,NA,NA,0.68,NA,NA,NA,NA,NA
37027,7.60514,8.92077,6.76785,NA,NA,NA,0.565,NA,NA,NA,NA
37395,8.05348,7.13395,8.39169,NA,NA,0.681,NA,NA,NA,NA,NA
37577,7.98964,6.99354,7.01691,NA,NA,NA,0.735,NA,NA,NA,NA
37655,8.56802,7.39787,7.70507,0.849,NA,NA,NA,NA,NA,NA,NA
37945,7.99581,7.2502,6.94222,NA,0.559,NA,NA,NA,NA,NA,NA
38007,7.87772,7.69973,6.45397,NA,NA,0.543,NA,NA,NA,NA,NA
38347,7.41018,7.22811,7.16289,NA,NA,NA,NA,NA,0.801,NA,NA
38513,8.07624,7.32742,7.43154,NA,NA,NA,NA,0.731,NA,NA,NA
38744,8.421,6.84159,7.71243,NA,NA,NA,NA,NA,0.684,NA,NA
38947,7.94639,7.76553,7.05867,NA,NA,NA,0.89,NA,NA,NA,NA
39164,7.27288,7.25899,8.88517,0.683,NA,NA,NA,NA,NA,NA,NA
39217,6.23759,7.507,7.92317,0.6,NA,NA,NA,NA,NA,NA,NA
39497,7.72107,7.31666,7.21521,NA,NA,0.794,NA,NA,NA,NA,NA
39747,7.99518,7.90485,7.09902,NA,NA,0.796,NA,NA,NA,NA,NA
39981,7.29786,8.1836,6.53882,NA,NA,NA,0.652,NA,NA,NA,NA
40080,7.55789,7.46411,7.87566,0.95,NA,NA,NA,NA,NA,NA,NA
40242,7.48217,7.53425,8.44718,NA,NA,NA,0.884,NA,NA,NA,NA
40445,7.26674,7.25451,7.93689,NA,0.679,NA,NA,NA,NA,NA,NA
40734,8.12602,7.66822,8.59488,NA,NA,NA,0.819,NA,NA,NA,NA
40953,8.48349,7.13416,8.30957,NA,NA,NA,0.735,NA,NA,NA,NA
41027,7.71455,7.50018,8.64686,NA,NA,NA,0.816,NA,NA,NA,NA
41288,7.41541,7.08455,8.74075,NA,NA,NA,NA,NA,0.675,NA,NA
41528,7.51448,7.87891,9.0906,NA,NA,0.603,NA,NA,NA,NA,NA
41632,7.26277,7.42035,8.63395,0.794,NA,NA,NA,NA,NA,NA,NA
41947,8.62112,7.93724,8.54485,0.719,NA,NA,NA,NA,NA,NA,NA
42194,8.74815,8.31418,7.82367,0.746,NA,NA,NA,NA,NA,NA,NA
42348,7.29982,8.82044,8.19834,NA,NA,NA,0.71,NA,NA,NA,NA
42474,7.20032,8.53027,7.71788,0.826,NA,NA,NA,NA,NA,NA,NA
42760,6.86737,8.5872,7.34216,NA,NA,NA,0.671,NA,NA,NA,NA
42952,6.2732,8.03269,7.7688,0.604,NA,NA,NA,NA,NA,NA,NA
43118,6.78671,8.53071,7.58431,0.69,NA,NA,NA,NA,NA,NA,NA
43331,7.71572,8.02015,8.1047,0.938,NA,NA,NA,NA,NA,NA,NA
43496,7.54905,8.01941,8.24522,NA,NA,NA,0.916,NA,NA,NA,NA
43779,8.10376,8.14297,8.43231,NA,NA,NA,0.837,NA,NA,NA,NA
43888,6.32937,8.15549,7.42414,NA,NA,NA,0.595,NA,NA,NA,NA
44004,7.71725,8.46868,8.24279,NA,NA,NA,NA,NA,0.695,NA,NA
44400,7.83239,7.62736,7.95055,0.977,NA,NA,NA,NA,NA,NA,NA
44425,8.42517,7.87798,7.51334,NA,NA,NA,0.859,NA,NA,NA,NA
44771,7.29564,8.20468,7.79195,0.912,NA,NA,NA,NA,NA,NA,NA
44928,7.34145,7.47078,7.28424,NA,NA,NA,NA,0.676,NA,NA,NA
45076,7.62719,8.04478,7.11328,NA,NA,NA,NA,NA,0.841,NA,NA
45274,8.70459,7.57514,9.05174,NA,NA,NA,0.571,NA,NA,NA,NA
45436,7.5349,9.08846,8.15022,NA,0.5,NA,NA,NA,NA,NA,NA
45766,7.68209,8.30909,8.77123,NA,NA,NA,0.75,NA,NA,NA,NA
45998,7.288,7.63553,8.89497,NA,NA,NA,0.739,NA,NA,NA,NA
46068,7.26616,8.08121,8.6215,NA,NA,NA,0.775,NA,NA,NA,NA
46307,8.36789,7.67448,9.07968,0.625,NA,NA,NA,NA,NA,NA,NA
46553,7.55247,7.0711,7.87475,NA,0.726,NA,NA,NA,NA,NA,NA
46694,7.15083,7.61767,7.03727,NA,NA,0.731,NA,NA,NA,NA,NA
46963,7.08608,8.40684,7.48706,NA,NA,NA,0.785,NA,NA,NA,NA
47048,7.04511,7.35579,8.54515,NA,NA,NA,0.722,NA,NA,NA,NA
47299,7.76855,8.32852,7.34569,NA,NA,NA,0.861,NA,NA,NA,NA
47505,7.94035,7.17824,7.05215,NA,NA,NA,NA,NA,0.737,NA,NA
47786,7.60214,8.10507,7.56413,NA,NA,NA,0.934,NA,NA,NA,NA
47942,7.4757,6.92938,7.015,0.727,NA,NA,NA,NA,NA,NA,NA
48032,7.72478,7.37658,7.55061,NA,NA,NA,0.952,NA,NA,NA,NA
48271,8.10779,8.24411,8.55172,NA,NA,NA,0.79,NA,NA,NA,NA
48494,7.64468,8.14336,7.53303,NA,NA,NA,NA,NA,0.897,NA,NA
48738,7.42588,7.18654,6.79998,NA,NA,NA,0.753,NA,NA,NA,NA
48811,7.54646,6.79252,7.39067,NA,NA,NA,0.759,NA,NA,NA,NA
49068,7.53737,6.38687,8.25705,0.61,NA,NA,NA,NA,NA,NA,NA
49386,7.84143,7.00403,7.72815,NA,NA,NA,NA,NA,0.768,NA,NA
49518,8.7851,7.99701,7.07509,NA,NA,NA,NA,0.499,NA,NA,NA
49689,7.97993,7.98464,6.8319,NA,NA,NA,NA,0.598,NA,NA,NA
49827,7.61283,7.49982,6.77359,NA,NA,NA,0.796,NA,NA,NA,NA
50119,8.11699,7.41214,7.65351,NA,NA,NA,NA,NA,0.894,NA,NA
50300,9.00698,7.63211,7.41224,NA,NA,NA,0.713,NA,NA,NA,NA
50458,8.20619,6.84731,6.66166,NA,NA,0.46,NA,NA,NA,NA,NA
50605,7.6478,7.93306,8.74793,0.81,NA,NA,NA,NA,NA,NA,NA
50811,8.3079,8.77178,8.18219,NA,NA,NA,0.706,NA,NA,NA,NA
51125,8.05695,8.43016,8.20873,0.832,NA,NA,NA,NA,NA,NA,NA
51326,8.24057,8.49495,8.14571,0.756,NA,NA,NA,NA,NA,NA,NA
51550,7.18657,7.33548,8.71602,0.71,NA,NA,NA,NA,NA,NA,NA
51790,8.51394,7.90078,7.18068,NA,NA,NA,0.813,NA,NA,NA,NA
51802,9.24668,7.57485,8.16428,NA,NA,NA,NA,NA,0.536,NA,NA
52154,7.45091,6.46441,8.41123,0.57,NA,NA,NA,NA,NA,NA,NA
52258,7.25234,7.09079,7.70785,NA,NA,NA,0.864,NA,NA,NA,NA
52556,7.51738,7.53014,7.40549,NA,NA,NA,0.928,NA,NA,NA,NA
52700,7.94953,7.68681,8.50917,NA,NA,NA,0.842,NA,NA,NA,NA
52819,7.95357,8.70213,7.68255,NA,NA,0.696,NA,NA,NA,NA,NA
53161,8.29123,8.20783,7.59882,NA,NA,0.739,NA,NA,NA,NA,NA
53337,8.0185,8.14491,8.19824,0.871,NA,NA,NA,NA,NA,NA,NA
53457,8.48952,7.26709,8.03185,NA,NA,NA,0.823,NA,NA,NA,NA
53658,7.53828,6.57373,7.31539,NA,NA,NA,NA,NA,0.661,NA,NA
53990,7.25704,6.90149,7.9567,NA,NA,NA,0.777,NA,NA,NA,NA
54039,7.8379,6.36708,7.44728,NA,NA,NA,0.645,NA,NA,NA,NA
54291,8.38625,7.17937,8.17029,0.761,NA,NA,NA,NA,NA,NA,NA
54588,7.69209,7.98852,7.28256,NA,NA,NA,0.944,NA,NA,NA,NA
54750,8.14878,7.66064,7.33442,NA,NA,NA,0.897,NA,NA,NA,NA
54990,8.56153,8.15339,7.74988,NA,NA,NA,NA,NA,0.748,NA,NA
55014,9.13324,7.40754,7.67906,NA,NA,NA,NA,NA,0.515,NA,NA
55305,9.09311,7.27266,8.12966,NA,NA,0.524,NA,NA,NA,NA,NA
55446,7.95545,8.25302,7.25157,NA,NA,NA,0.879,NA,NA,NA,NA
55740,7.43462,9.33765,7.28973,NA,NA,0.552,NA,NA,NA,NA,NA
55838,7.89836,8.58853,7.77484,NA,NA,NA,NA,NA,0.783,NA,NA
56165,7.9915,7.50165,7.69719,NA,NA,NA,NA,NA,0.838,NA,NA
56221,7.6497,8.13432,7.55772,NA,NA,NA,0.926,NA,NA,NA,NA
56475,8.39016,8.33292,8.42513,NA,NA,0.663,NA,NA,NA,NA,NA
56680,8.42308,7.72732,7.45257,NA,NA,0.814,NA,NA,NA,NA,NA
56813,7.22596,7.11459,7.2854,NA,NA,0.755,NA,NA,NA,NA,NA
57022,7.02932,7.60125,8.49526,NA,NA,0.713,NA,NA,NA,NA,NA
57211,6.80702,8.23444,7.70804,0.747,NA,NA,NA,NA,NA,NA,NA
57511,6.79954,7.27196,6.99252,NA,NA,NA,0.678,NA,NA,NA,NA
57757,7.52005,7.5779,6.7254,0.79,NA,NA,NA,NA,NA,NA,NA
57926,8.52797,9.04074,7.83954,0.607,NA,NA,NA,NA,NA,NA,NA
58084,7.70717,7.55629,7.73695,NA,NA,NA,0.992,NA,NA,NA,NA
58366,7.35988,8.29299,7.19181,NA,NA,NA,NA,NA,0.748,NA,NA
58524,7.39489,7.42918,7.7538,NA,NA,NA,0.962,NA,NA,NA,NA
58724,7.78125,9.21075,6.97267,NA,NA,NA,0.555,NA,NA,NA,NA
58955,7.77069,8.30421,8.0041,0.896,NA,NA,NA,NA,NA,NA,NA
59066,6.92988,7.58932,8.33788,0.743,NA,NA,NA,NA,NA,NA,NA
59246,7.48515,7.86679,8.50995,0.819,NA,NA,NA,NA,NA,NA,NA
59494,7.24858,7.14914,7.69947,NA,NA,NA,NA,NA,0.832,NA,NA
59774,7.51951,7.46615,6.79505,0.804,NA,NA,NA,NA,NA,NA,NA
59843,6.97324,7.85831,7.76324,NA,0.671,NA,NA,NA,NA,NA,NA
60029,7.37499,7.48044,8.31339,NA,NA,0.817,NA,NA,NA,NA,NA
60321,7.68541,7.67396,8.09255,NA,NA,NA,0.953,NA,NA,NA,NA
60470,7.23607,7.93666,7.70102,NA,NA,NA,0.927,NA,NA,NA,NA
60772,7.11703,7.8246,8.09128,NA,NA,NA,0.87,NA,NA,NA,NA
60895,7.86144,7.87166,8.44581,NA,NA,NA,0.886,NA,NA,NA,NA
61020,7.16369,8.04119,7.01009,NA,NA,NA,NA,NA,0.649,NA,NA
61276,8.21321,8.07959,7.21099,NA,NA,NA,NA,0.668,NA,NA,NA
61498,8.49686,8.03596,7.46307,0.851,NA,NA,NA,NA,NA,NA,NA
61625,8.69736,7.75712,8.24753,0.77,NA,NA,NA,NA,NA,NA,NA
61874,7.43028,7.97151,8.23668,NA,NA,NA,NA,NA,0.847,NA,NA
62021,7.38146,7.9635,7.97342,NA,NA,NA,NA,NA,0.877,NA,NA
62285,7.21581,8.06838,7.91062,NA,NA,NA,0.912,NA,NA,NA,NA
62567,8.76519,7.96109,8.17018,NA,NA,NA,0.738,NA,NA,NA,NA
62604,6.94958,7.91366,8.03664,NA,NA,NA,NA,0.647,NA,NA,NA
62893,7.18076,7.8854,7.94658,NA,NA,NA,0.881,NA,NA,NA,NA
63047,7.54148,8.02888,8.18953,NA,NA,NA,0.909,NA,NA,NA,NA
63316,7.84221,7.96999,7.93297,0.931,NA,NA,NA,NA,NA,NA,NA
63455,7.18578,7.61529,7.22266,NA,NA,0.73,NA,NA,NA,NA,NA
63602,7.17716,7.44473,6.91237,0.778,NA,NA,NA,NA,NA,NA,NA
63825,7.09322,8.34147,8.70935,NA,0.498,NA,NA,NA,NA,NA,NA
64109,7.4253,8.08575,9.21016,NA,NA,0.572,NA,NA,NA,NA,NA
64351,7.69208,7.38195,8.61353,NA,NA,0.765,NA,NA,NA,NA,NA
64470,7.32906,7.5433,8.99942,0.716,NA,NA,NA,NA,NA,NA,NA
