id,x0,x1,x2,fitness2.5,fitness1,fitness1.5,fitness0.5,fitness2,fitness3.5,fitness3,fitness5,fitness5.5,fitness4,fitness6.5,fitness7,fitness8,fitness9,fitness10,fitness8.5,fitness7.5,fitness6,fitness9.5,fitness4.5
8782,7.93869,6.62796,8.18519,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8867,8.13965,7.31552,9.30755,NA,NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9065,8.00889,7.48121,9.4675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
9215,7.04505,6.73795,8.7859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA,NA
9576,7.04463,5.89357,7.66967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA
9760,7.74063,6.11891,8.86794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA
9876,8.0959,6.84236,6.79148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA
10012,9.0707,6.39157,6.30704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.033,NA,NA,NA,NA
10230,9.24905,6.54889,8.17632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314,NA,NA,NA,NA
10538,8.6087,6.68058,6.91269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA
10742,6.89935,5.90371,8.56602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,NA,NA,NA
10824,7.77302,5.34381,9.57328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA
11082,8.19927,5.13476,10.2482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.249,NA,NA,NA,NA,NA,NA
11241,7.4671,6.00503,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA
11553,7.44818,7.14131,9.59369,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11654,8.18185,7.58259,9.62636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA
11957,9.40976,6.70642,7.62711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA
12077,8.97687,4.7029,6.49783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238,NA,NA,NA,NA,NA,NA,NA,NA
12236,9.43469,4.36879,7.28386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA
12539,8.32287,5.82979,7.28098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA
12688,7.94976,5.67943,7.9532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA
12848,7.77972,4.21407,9.23919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214,NA,NA
13033,8.66808,4.40535,8.91604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,NA,NA
13389,8.13823,6.00598,9.25842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA
13492,8.84855,6.30298,8.25263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382,NA,NA,NA,NA,NA,NA,NA
13646,9.81313,6.1728,4.96573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194,NA,NA,NA
13952,9.69838,7.65423,4.15942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,NA,NA,NA,NA,NA
14158,8.17876,7.1409,4.50691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,NA,NA,NA,NA,NA,NA,NA,NA
14365,7.74612,6.56737,6.35406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA
14423,6.95087,7.11307,8.04959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,NA,NA,NA,NA
14771,7.57477,6.1799,8.19355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA
14937,7.94722,7.1674,8.79533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA
15189,8.43438,7.93711,9.05872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239,NA
15352,7.2275,6.91741,8.68822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382,NA,NA,NA,NA,NA,NA
15466,6.98375,6.48189,7.47599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587,NA,NA,NA
15697,6.68704,9.11754,5.31345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA
15823,7.28944,9.00342,6.7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA
16033,8.10146,9.13534,6.91933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA
16226,7.32647,9.32594,8.28501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA
16544,7.22807,9.41937,9.71111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA
16658,5.85804,7.51364,8.72149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA,NA
16849,7.29947,7.43598,8.30215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA,NA
17153,6.08099,6.49835,7.52978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,NA,NA
17389,6.63842,7.4288,7.3354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,NA,NA,NA,NA,NA,NA
17449,7.32884,6.87062,4.84714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA
17612,7.95925,8.69639,4.37278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA
17889,7.88639,8.00416,4.69426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA
18177,6.24917,7.38843,7.24806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA
18229,7.43755,7.15384,8.83121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA
18434,8.4841,6.3213,8.30302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA
18758,7.46957,4.44783,6.81487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA
18847,8.24666,5.70531,7.11506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308,NA,NA,NA,NA,NA,NA,NA,NA
19115,6.95563,6.35856,6.45098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.165,NA,NA
19386,6.64623,7.48367,7.61951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
19503,7.9673,7.60687,8.08441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA
19648,7.05559,7.87359,7.95333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA,NA
19819,7.06748,7.35911,5.66656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,NA,NA,NA
20074,7.68527,7.13429,4.43158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA
20209,7.19587,4.90343,3.38107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,NA,NA,NA,NA
20516,6.15644,4.8082,3.15848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.388,NA,NA,NA,NA,NA,NA
20731,3.58976,4.80774,4.23454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501,NA,NA,NA,NA,NA,NA,NA
20953,3.06252,5.49955,6.27334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357,NA,NA,NA,NA,NA,NA,NA
21012,3.76161,5.13341,7.18943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,NA,NA,NA,NA
21361,4.97901,4.51036,6.7342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224,NA,NA,NA,NA
21521,7.03339,5.71766,7.05607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303,NA,NA,NA,NA,NA,NA,NA
21691,7.75225,7.1782,7.77677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA
21899,7.99799,7.20006,7.91631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA
22065,7.95833,7.50509,7.45199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA
22220,8.31217,6.67483,6.76518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393,NA,NA,NA,NA
22519,8.4727,7.04189,7.13889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335,NA
22750,8.2978,7.87923,8.38139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA
22856,7.46165,7.92237,8.3383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904,NA,NA,NA
23001,8.02378,7.96978,8.85457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA
23336,7.67751,8.87509,8.26143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA
23544,9.16482,8.12817,8.14864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA
23675,8.56152,7.70781,9.64764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,NA,NA,NA
23840,8.71741,8.32742,8.82814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,NA,NA,NA,NA,NA,NA
24195,8.003,9.23717,8.46276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451,NA,NA,NA,NA
24268,6.80424,8.7062,9.23986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA
24496,7.61436,9.18713,8.27361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609,NA,NA,NA
24728,6.83681,8.82381,7.80927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA
24999,7.62805,7.63326,8.28392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA
25140,9.18215,7.56571,7.72752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA
25390,8.96832,7.59066,5.4815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236,NA,NA,NA
25517,6.27679,8.66148,6.62741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,NA,NA,NA,NA,NA,NA,NA
25640,4.84584,7.99674,5.85143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
25931,7.25876,8.00754,6.4936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,NA,NA,NA,NA
26169,7.73942,9.15105,6.1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA
26287,7.05743,8.57534,6.25949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,NA
26545,7.05063,8.13384,5.90238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA
26698,7.34339,8.45488,6.66339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA
26945,7.59524,8.07947,7.35308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723,NA,NA,NA,NA,NA,NA
27077,8.64919,8.1018,7.11721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.695,NA,NA,NA,NA,NA,NA,NA
27311,9.37503,7.83445,5.59895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA
27582,9.0905,7.10358,5.36947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159,NA,NA,NA
27743,8.14263,8.07928,4.78492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA
27982,8.83759,8.5905,3.79903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA,NA
28022,7.65878,9.57795,2.5535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
28253,7.13156,7.0727,1.45701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA
28555,7.80375,8.10743,0.720394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
28645,7.72126,8.15898,1.01754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656,NA,NA,NA,NA,NA,NA,NA,NA
28950,7.71705,7.46708,0.288286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA
29012,6.97298,7.18542,0.455747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,NA,NA,NA,NA,NA,NA,NA,NA
29318,7.92777,6.89218,1.54121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318,NA,NA,NA,NA,NA,NA,NA
29586,7.02256,6.84116,1.36556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479,NA,NA,NA
29742,8.29702,7.22153,1.38053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,NA,NA,NA
29810,7.81075,6.57417,1.67313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.124,NA,NA
30176,8.84624,6.41379,1.17007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288,NA,NA,NA,NA,NA,NA
30213,8.004,5.98586,0.456558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037,NA,NA,NA,NA
30519,7.16164,7.08244,0.550974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA
30623,7.95727,7.3458,1.31189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,NA,NA,NA,NA
30830,7.9388,7.21621,0.70784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA
31076,7.88046,7.57646,0.835512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,NA,NA,NA,NA,NA,NA,NA
31244,8.09779,8.11948,2.16019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA
31503,9.70383,8.32533,3.35355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA
31641,8.13109,9.57101,4.44611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA
31824,7.65859,10.0403,4.48341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA
32017,8.24699,9.20661,4.50139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506,NA,NA,NA
32259,6.36419,8.44436,4.97204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,NA,NA,NA,NA,NA,NA,NA,NA
32501,6.46563,8.44134,4.17771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604,NA,NA,NA
32784,7.75274,8.98507,3.45129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
32941,7.2206,8.3884,3.71422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA
33014,6.18859,7.96753,4.87074,NA,NA,NA,NA,NA,NA,NA,NA,-0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33223,4.97739,7.40434,4.81282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA
33576,5.67238,7.04845,6.67424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,NA,NA,NA
33650,4.34238,7.03891,7.81809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
33886,4.89262,7.6969,7.19307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468,NA,NA,NA,NA,NA,NA
34173,5.16069,6.67842,6.96578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA,NA,NA
34316,5.30076,7.68559,7.02771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA
34441,4.66995,7.42999,6.93892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA
