id,x0,x1,x2,fitness-2,fitness-1.5,fitness-4,fitness-4.5,fitness-5,fitness-3.5
21984,-1.7455,4.34688,-4.85046,NA,NA,NA,NA,-39.597,NA
22029,-1.75443,3.78753,-4.85341,NA,NA,NA,-6.852,NA,NA
22201,-1.2552,3.78769,-4.74597,NA,NA,NA,-13.271,NA,NA
22595,-1.45275,3.24627,-4.76493,NA,NA,-78.797,NA,NA,NA
22781,-1.39329,3.7909,-4.99367,NA,NA,NA,-11.965,NA,NA
22960,-1.19922,4.07926,-4.97564,NA,NA,NA,-40.166,NA,NA
23195,-1.66284,3.49707,-4.65121,NA,NA,NA,-16.08,NA,NA
23317,-1.71712,4.3641,-4.91943,NA,NA,NA,NA,-37.973,NA
23503,-1.18039,3.13799,-4.87571,NA,NA,-67.226,NA,NA,NA
23650,-1.07126,4.25027,-4.65624,NA,NA,NA,NA,-59.014,NA
23831,-1.32289,3.99907,-4.76556,NA,NA,NA,-20.352,NA,NA
24179,-1.71698,3.11157,-4.96432,NA,NA,-46.198,NA,NA,NA
24228,-1.79194,3.62389,-4.57235,NA,NA,-28.374,NA,NA,NA
24549,-1.89915,3.2553,-4.97364,NA,NA,NA,NA,-50.926,NA
24653,-2.07334,4.71674,-4.37734,NA,NA,NA,-53.813,NA,NA
24923,-1.51623,4.2873,-4.11283,NA,NA,NA,NA,-71.249,NA
25025,-1.11971,4.38385,-4.99895,NA,NA,NA,-71.653,NA,NA
25342,-1.67006,3.14541,-4.96567,NA,NA,-55.523,NA,NA,NA
25424,-2.58705,3.43187,-4.3882,NA,NA,NA,NA,-60.436,NA
25678,-1.36133,3.88517,-4.82987,NA,NA,NA,-15.735,NA,NA
25848,-1.93008,3.66925,-4.8585,NA,NA,-24.322,NA,NA,NA
26153,-2.27109,3.57956,-4.43032,NA,NA,NA,NA,-63.075,NA
26235,-1.87321,3.98258,-4.95496,NA,NA,NA,-23.844,NA,NA
26580,-2.29681,3.2137,-4.89612,NA,NA,NA,-72.198,NA,NA
26660,-2.47792,3.74596,-4.84333,NA,NA,-55.019,NA,NA,NA
26942,-2.23221,4.26774,-4.58525,NA,NA,NA,NA,-56.111,NA
27059,-2.52018,4.3018,-4.7234,NA,NA,NA,-54.88,NA,NA
27211,-1.87083,3.98446,-4.88709,NA,NA,NA,NA,-36.747,NA
27454,-2.62675,4.09312,-4.80521,NA,NA,NA,-53.424,NA,NA
27687,-1.64085,4.33141,-4.93826,NA,NA,NA,-41.594,NA,NA
27885,-1.35496,3.94901,-4.63226,NA,NA,NA,-21.714,NA,NA
28053,-2.56508,3.7019,-4.14806,NA,NA,NA,-75.078,NA,NA
28399,-1.59768,3.95571,-4.79942,NA,NA,NA,-15.499,NA,NA
28447,-2.23929,2.82564,-4.63902,NA,NA,NA,-89.59,NA,NA
28796,-1.4613,3.20257,-4.87082,NA,NA,NA,-30.874,NA,NA
28837,-1.5432,3.88863,-4.68249,NA,NA,NA,-10.154,NA,NA
29027,-1.85606,3.83035,-4.94626,NA,NA,-21.46,NA,NA,NA
29397,-1.72239,3.90937,-4.94763,NA,NA,NA,-9.209,NA,NA
29405,-1.70447,4.87081,-4.93028,NA,NA,NA,NA,-78.722,NA
29794,-1.87003,4.09318,-4.91699,NA,NA,NA,-26.529,NA,NA
29940,-1.70293,4.0034,-4.49135,NA,NA,NA,NA,-44.915,NA
30165,-2.46222,4.53522,-4.37861,NA,NA,NA,-71.117,NA,NA
30213,-2.03229,4.40177,-4.75767,NA,NA,NA,-39.284,NA,NA
30576,-1.85931,3.84973,-4.81425,NA,NA,NA,NA,-36.208,NA
30695,-1.4618,3.49901,-4.60759,NA,NA,NA,-14.897,NA,NA
30980,-1.36918,4.17528,-4.60739,NA,NA,NA,-35.869,NA,NA
31151,-1.25225,3.75031,-4.8249,NA,NA,NA,-10.827,NA,NA
31201,-1.43005,3.71415,-4.59495,NA,NA,-11.824,NA,NA,NA
31442,-1.17937,3.59638,-4.65653,NA,NA,NA,-34.087,NA,NA
31716,-1.48894,3.87725,-4.43592,NA,NA,NA,-21.853,NA,NA
31844,-2.09918,4.82898,-4.65927,NA,NA,NA,-71.79,NA,NA
32098,-2.5535,4.57623,-4.79094,NA,NA,NA,-71.309,NA,NA
32363,-1.65961,4.34699,-4.62732,NA,NA,NA,-46.214,NA,NA
32538,-1.87975,4.08057,-4.59542,NA,NA,NA,-37.557,NA,NA
32787,-2.3533,3.55879,-4.6859,NA,NA,NA,NA,-53.86,NA
32926,-1.71387,3.95029,-4.48672,NA,NA,-32.104,NA,NA,NA
33102,-1.72231,3.86323,-4.92364,NA,NA,-12.918,NA,NA,NA
33222,-2.60176,4.10857,-4.82937,NA,NA,-60.712,NA,NA,NA
33498,-2.2512,3.91951,-4.27853,NA,NA,NA,NA,-52.813,NA
33757,-1.8782,4.39594,-4.95932,NA,NA,NA,-43.796,NA,NA
33807,-1.45004,4.45379,-4.3128,NA,NA,NA,-69.721,NA,NA
34021,-2.64672,4.06651,-4.36477,NA,NA,NA,-68.308,NA,NA
34205,-1.55561,4.81527,-4.23387,NA,NA,-90.102,NA,NA,NA
34499,-1.7708,4.12804,-4.37705,NA,NA,NA,-34.799,NA,NA
34714,-1.39198,4.0823,-4.69006,NA,NA,NA,NA,-46.564,NA
34826,-2.01531,3.25011,-4.69346,NA,NA,NA,-53.27,NA,NA
35035,-1.27363,3.59502,-4.88045,NA,NA,NA,NA,-33.773,NA
35344,-1.55091,4.14724,-4.38233,NA,NA,NA,-42.692,NA,NA
35460,-1.45059,3.51577,-4.98492,NA,NA,NA,-8.163,NA,NA
35716,-1.73944,4.99912,-4.44731,NA,NA,NA,-74.769,NA,NA
35833,-2.02948,2.74428,-4.29732,NA,NA,NA,-98.599,NA,NA
36117,-2.12759,3.67179,-4.88614,NA,NA,NA,-36.903,NA,NA
36306,-2.24023,4.23083,-4.08894,NA,NA,-70.013,NA,NA,NA
36474,-2.6916,3.77383,-4.91129,NA,NA,NA,NA,-54.422,NA
36669,-1.39878,3.79067,-4.5849,NA,NA,NA,-22.509,NA,NA
36920,-1.88511,4.52903,-4.66846,NA,NA,NA,-53.647,NA,NA
37092,-2.45959,3.92006,-4.95919,NA,NA,NA,NA,NA,-83.677
37362,-1.32035,3.90694,-4.67567,NA,NA,-24.689,NA,NA,NA
37420,-2.08818,3.40552,-4.93709,NA,NA,NA,-48.523,NA,NA
37683,-1.87154,3.43813,-4.73144,NA,NA,-50.157,NA,NA,NA
37805,-1.50619,4.03416,-4.44657,NA,NA,NA,NA,-43.638,NA
38039,-1.19066,3.79685,-4.83882,NA,NA,-16.345,NA,NA,NA
38298,-1.42809,3.83658,-4.8115,NA,NA,-21.244,NA,NA,NA
38412,-1.5064,3.44477,-4.67489,NA,NA,NA,NA,-42.48,NA
38673,-1.83646,4.18396,-4.9109,NA,NA,NA,-37.156,NA,NA
38808,-1.98614,4.05848,-4.95668,NA,NA,NA,NA,-44.684,NA
39007,-2.15361,3.46257,-4.65372,NA,NA,NA,-42.495,NA,NA
39269,-1.39494,3.79736,-4.92788,NA,NA,NA,-5.911,NA,NA
39432,-2.30697,4.46924,-4.80346,NA,NA,NA,-57.594,NA,NA
39676,-1.42239,4.17336,-4.36989,NA,NA,-57.729,NA,NA,NA
39811,-2.27796,4.55733,-4.58706,NA,NA,NA,-61.486,NA,NA
40081,-2.45394,3.85294,-4.82434,NA,NA,NA,-47.597,NA,NA
40308,-1.99661,4.14791,-4.30343,NA,NA,NA,NA,-45.429,NA
40479,-1.98323,3.60973,-4.74293,NA,NA,-34.215,NA,NA,NA
40649,-1.11904,4.6482,-4.69642,NA,NA,NA,-62.479,NA,NA
40971,-1.42516,4.18603,-4.89822,NA,NA,NA,-17.665,NA,NA
41167,-2.50302,3.93946,-4.57991,NA,NA,NA,-56.151,NA,NA
41376,-2.44933,4.3307,-4.56954,NA,NA,NA,NA,-61.742,NA
41478,-1.42889,3.57988,-4.91529,NA,NA,NA,NA,NA,-52.313
41796,-1.95054,3.93138,-4.91201,NA,NA,NA,NA,-31.652,NA
41949,-0.972818,3.51967,-4.73839,NA,NA,NA,-59.493,NA,NA
42166,-2.48647,4.73418,-4.01234,NA,NA,NA,-88.449,NA,NA
42316,-1.62012,4.58701,-4.82311,NA,NA,NA,-44.885,NA,NA
42514,-2.13324,4.39469,-4.3492,NA,NA,NA,-64.387,NA,NA
42693,-1.92332,3.82991,-4.71846,NA,NA,NA,-27.284,NA,NA
42916,-1.57341,3.64098,-4.14863,NA,NA,-72.326,NA,NA,NA
43161,-1.66457,3.52785,-4.39253,NA,NA,NA,-25.921,NA,NA
43306,-1.26203,3.89807,-4.17507,NA,NA,NA,-65.313,NA,NA
43437,-1.44754,3.3856,-4.71612,NA,NA,NA,-29.258,NA,NA
43741,-2.03887,3.86306,-4.86862,NA,NA,NA,-31.899,NA,NA
43845,-2.22104,3.56955,-4.90016,NA,NA,NA,NA,-45.808,NA
44198,-1.20284,3.49864,-4.70983,NA,NA,NA,-35.444,NA,NA
44219,-1.84256,3.47661,-4.90812,NA,NA,NA,-22.601,NA,NA
44549,-1.20237,3.58358,-4.18486,NA,NA,-74.927,NA,NA,NA
44783,-1.61169,4.01274,-4.8008,NA,NA,NA,NA,-30.006,NA
44877,-1.98117,3.91576,-3.92722,NA,NA,NA,NA,-66.475,NA
45144,-1.73259,4.26028,-4.51749,NA,NA,NA,-34.662,NA,NA
45310,-1.02823,3.73724,-4.65133,NA,NA,NA,-43.429,NA,NA
45405,-1.55663,3.36378,-4.80835,NA,NA,NA,-20.674,NA,NA
45773,-0.966354,3.84477,-4.95764,NA,NA,NA,-47.864,NA,NA
45875,-2.64228,3.89567,-4.89941,NA,NA,-61.515,NA,NA,NA
46172,-1.76825,3.72151,-4.52188,NA,NA,NA,NA,-34.227,NA
46216,-1.23204,4.02608,-4.88099,NA,NA,-34.161,NA,NA,NA
46439,-0.798324,4.39666,-4.88713,NA,NA,NA,-67.232,NA,NA
46777,-1.47397,3.8048,-4.27664,NA,NA,NA,-27.782,NA,NA
46864,-0.974011,4.14666,-4.52232,NA,NA,-71.398,NA,NA,NA
47029,-2.06738,4.23303,-4.44815,NA,NA,-59.537,NA,NA,NA
47333,-1.55519,4.16564,-4.83135,NA,NA,NA,NA,-45.015,NA
47445,-1.7829,4.60354,-4.25657,NA,NA,NA,-68.359,NA,NA
47722,-1.32317,3.79961,-4.92934,NA,NA,NA,-13.919,NA,NA
47816,-2.41797,3.88417,-4.58776,NA,NA,NA,-51.974,NA,NA
48102,-1.96771,3.62916,-4.99011,NA,NA,-27.705,NA,NA,NA
48359,-1.98607,3.18274,-4.85494,NA,NA,-53.987,NA,NA,NA
48435,-1.50392,3.55759,-4.80358,NA,NA,-7.514,NA,NA,NA
48714,-1.90781,3.6467,-4.91985,NA,NA,NA,-24.753,NA,NA
48813,-1.55878,4.20427,-4.44119,NA,NA,NA,NA,-54.409,NA
49077,-1.46092,4.36584,-4.87362,NA,NA,NA,-35.798,NA,NA
49398,-1.11892,4.02808,-4.55644,NA,NA,NA,-47.484,NA,NA
49494,-2.10957,4.77554,-4.51218,NA,NA,NA,-64.68,NA,NA
49716,-1.7433,3.74694,-4.78229,NA,NA,-7.836,NA,NA,NA
49944,-1.45154,3.53919,-4.57169,NA,NA,NA,-15.367,NA,NA
50171,-1.51354,3.38041,-4.05887,NA,NA,NA,-83.166,NA,NA
50283,-2.54876,3.27419,-4.36362,NA,NA,NA,NA,-70.792,NA
50589,-2.28913,3.83168,-4.87089,NA,NA,NA,-30.783,NA,NA
50603,-2.73432,4.67348,-4.14086,NA,NA,NA,-88.576,NA,NA
50820,-1.45769,4.84974,-4.89768,NA,NA,NA,NA,-66.701,NA
51084,-1.53229,3.8798,-4.7506,NA,NA,NA,NA,-33.784,NA
51351,-1.23144,3.63494,-4.65763,NA,NA,NA,-36.498,NA,NA
51421,-2.40221,3.75279,-4.67973,NA,NA,NA,NA,-62.654,NA
51719,-1.54929,4.79687,-4.63188,NA,NA,NA,-70.735,NA,NA
51878,-1.55275,3.79954,-4.67468,NA,NA,NA,-8.036,NA,NA
52003,-1.85229,3.7263,-4.91424,NA,NA,NA,-14.922,NA,NA
52201,-1.36424,3.52095,-4.89164,NA,NA,-6.727,NA,NA,NA
52512,-2.10987,3.4914,-4.991,NA,NA,NA,NA,-55.614,NA
52642,-1.50404,3.20453,-4.96644,NA,NA,NA,-35.677,NA,NA
53000,-1.51379,4.02499,-4.58641,NA,NA,-39.305,NA,NA,NA
53153,-1.78825,3.8445,-4.67535,NA,NA,NA,-14.067,NA,NA
53312,-2.27828,3.38719,-4.69433,NA,NA,NA,NA,-49.27,NA
53422,-1.24155,3.57928,-4.48969,NA,NA,NA,NA,-54.075,NA
53698,-1.39212,4.87043,-4.77189,NA,NA,NA,NA,-70.818,NA
53979,-1.35397,3.93209,-4.45792,NA,NA,NA,-23.237,NA,NA
54104,-1.01792,4.13884,-4.44974,NA,NA,NA,-53.712,NA,NA
54336,-2.03687,3.89783,-4.92866,NA,NA,NA,-37.344,NA,NA
54540,-1.52355,4.1647,-4.66589,NA,NA,-48.215,NA,NA,NA
54672,-1.43425,3.48823,-4.60135,NA,NA,NA,-15.126,NA,NA
54918,-2.14763,4.50346,-4.51,NA,NA,-75.218,NA,NA,NA
55104,-1.61852,4.18753,-4.54607,NA,NA,NA,NA,-43.981,NA
55263,-2.31783,4.0385,-4.56445,NA,NA,NA,-49.776,NA,NA
55450,-1.69229,4.19064,-4.86862,NA,NA,-38.535,NA,NA,NA
55613,-2.0469,4.0017,-4.79996,NA,NA,-45.543,NA,NA,NA
55856,-2.32758,3.662,-4.587,NA,NA,NA,-49.741,NA,NA
56180,-1.30445,4.04853,-4.67937,NA,NA,-28.787,NA,NA,NA
56291,-1.52064,4.53394,-4.55476,NA,NA,-65.077,NA,NA,NA
56486,-1.71371,4.72323,-4.85663,NA,NA,NA,NA,-80.697,NA
56765,-1.87787,4.06914,-4.61442,NA,NA,NA,-32.499,NA,NA
56861,-1.06971,3.22562,-4.68898,NA,NA,NA,-80.151,NA,NA
57142,-2.02196,3.7064,-4.62138,NA,NA,NA,-33.162,NA,NA
57326,-2.30146,3.34199,-4.87466,NA,NA,NA,NA,-44.81,NA
57458,-1.08333,3.80955,-4.45569,NA,NA,NA,NA,-48.392,NA
57615,-1.76438,4.04937,-4.87202,NA,NA,NA,-21.527,NA,NA
57906,-1.7984,3.71282,-4.99356,NA,NA,NA,-14.32,NA,NA
58136,-1.53945,4.44002,-4.75205,NA,NA,-47.906,NA,NA,NA
58323,-2.05278,4.55307,-4.47222,NA,NA,NA,NA,-64.307,NA
58564,-2.22638,4.40987,-4.5357,NA,NA,NA,NA,-59.455,NA
58733,-1.73663,4.17214,-4.69611,NA,NA,-37.089,NA,NA,NA
58824,-1.5807,3.78597,-4.64403,NA,NA,-11.56,NA,NA,NA
59193,-1.45334,3.98601,-4.39805,NA,NA,-55.286,NA,NA,NA
59223,-1.87614,3.69154,-3.93269,NA,NA,NA,-77.946,NA,NA
59519,-2.04897,3.80202,-4.98403,NA,NA,-33.662,NA,NA,NA
59636,-1.51551,3.62736,-4.58725,NA,NA,NA,-10.993,NA,NA
59817,-1.0473,3.94371,-4.73588,NA,NA,NA,-36.792,NA,NA
60163,-1.54273,4.07736,-4.58973,NA,NA,NA,-25.936,NA,NA
60371,-2.62801,3.58064,-4.98523,NA,NA,NA,NA,-63.549,NA
60416,-2.26756,3.54915,-4.77861,NA,NA,NA,NA,NA,-62.71
60611,-2.34089,4.73592,-4.94539,NA,NA,NA,-63.38,NA,NA
60821,-1.80753,3.53235,-4.75459,NA,NA,NA,-17.92,NA,NA
61074,-1.09629,4.28567,-4.83833,NA,NA,NA,NA,-44.306,NA
61255,-1.68814,4.01894,-4.56142,NA,NA,-26.648,NA,NA,NA
61439,-1.94236,3.64385,-4.19186,NA,NA,NA,-57.04,NA,NA
61750,-1.79447,4.1549,-4.8587,NA,NA,NA,-33.217,NA,NA
61890,-1.42659,3.51203,-4.86444,NA,NA,NA,-3.539,NA,NA
62046,-1.64606,3.78961,-4.95633,NA,NA,-14.558,NA,NA,NA
62301,-2.00861,3.6068,-4.61284,NA,NA,NA,NA,-48.056,NA
62471,-1.6233,3.53411,-4.99417,NA,NA,NA,-8.814,NA,NA
62727,-2.58107,3.30935,-4.14931,NA,NA,NA,NA,-76.921,NA
62802,-2.12223,3.99084,-4.81281,NA,NA,NA,-37.761,NA,NA
63080,-1.86444,3.99941,-4.95298,NA,NA,NA,-23.681,NA,NA
63268,-1.82823,4.11404,-4.90953,NA,NA,NA,NA,-43.335,NA
63600,-1.9408,4.52702,-4.91787,NA,NA,NA,NA,-54.698,NA
63649,-1.70136,4.01766,-4.67148,NA,NA,-20.908,NA,NA,NA
63802,-1.44176,4.17641,-4.84071,NA,NA,-36.834,NA,NA,NA
64164,-1.36481,3.02645,-4.58069,NA,NA,NA,-74.394,NA,NA
64299,-1.45807,3.56108,-4.34888,NA,NA,NA,NA,-53.644,NA
64411,-1.76697,3.94016,-4.44522,NA,NA,-39.416,NA,NA,NA
64602,-2.03882,4.47499,-4.6467,NA,NA,NA,NA,-55.113,NA
64917,-1.49686,4.48563,-4.78421,NA,NA,NA,-50.085,NA,NA
65025,-0.966125,3.70789,-4.70648,NA,NA,-42.787,NA,NA,NA
65251,-1.20067,4.11704,-4.6159,NA,NA,NA,-40.665,NA,NA
65501,-1.26453,3.31464,-4.65177,NA,NA,NA,-33.67,NA,NA
65774,-1.2118,3.58522,-4.6988,NA,NA,NA,-26.368,NA,NA
65950,-1.46912,3.78387,-4.23773,NA,NA,-37.6,NA,NA,NA
66125,-1.80976,4.00361,-4.52363,NA,NA,NA,NA,-46.06,NA
66291,-1.3938,3.68172,-4.42501,NA,NA,NA,-22.866,NA,NA
66405,-1.52853,3.49897,-4.95678,NA,NA,-8.769,NA,NA,NA
66612,-1.58627,4.42792,-4.46064,NA,NA,NA,-53.818,NA,NA
66969,-1.31971,3.69069,-4.99158,NA,NA,-24.867,NA,NA,NA
67190,-1.2945,3.57579,-4.89704,NA,NA,NA,-28.925,NA,NA
67319,-1.92362,3.87945,-4.8308,NA,NA,NA,-29.366,NA,NA
67574,-1.97098,3.73031,-4.61695,NA,NA,NA,NA,-43.791,NA
67694,-1.75253,4.21161,-4.90517,NA,NA,NA,NA,-31.711,NA
67810,-2.20529,4.53792,-4.62653,NA,NA,NA,-58.039,NA,NA
68168,-2.50749,4.61908,-4.8629,NA,NA,NA,-69.58,NA,NA
68291,-1.70832,4.06123,-4.84542,NA,NA,NA,-23.432,NA,NA
68405,-2.38468,3.31877,-4.57299,NA,NA,NA,NA,-70.602,NA
68727,-1.7175,3.78578,-4.61573,NA,NA,NA,NA,-47.814,NA
68984,-1.62427,4.40828,-4.96474,NA,NA,NA,-45.967,NA,NA
69049,-1.67597,2.92612,-4.80703,NA,NA,NA,-32.2,NA,NA
69304,-0.728068,3.82503,-4.38901,NA,NA,NA,-51.881,NA,NA
