id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1,fitness0.5,fitness-5,fitness-4,fitness-1.5,fitness-4.5,fitness0,fitness-0.5
4222,1.17932,2.04528,-4.86963,NA,NA,NA,NA,NA,NA,NA,-81.786,NA,NA,NA,NA
4587,1.63576,2.08701,-3.67349,-43.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4632,1.90994,1.01147,-4.05683,-47.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4908,1.99862,2.46556,-3.86963,-42.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,1.02914,2.84256,-3.35112,-95.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5215,1.7816,2.47315,-3.85676,NA,-24.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5554,2.28959,1.58062,-4.54656,NA,-10.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5642,1.19551,1.69401,-3.37076,NA,NA,-42.272,NA,NA,NA,NA,NA,NA,NA,NA,NA
5995,0.872661,2.07154,-3.21868,NA,NA,-65.247,NA,NA,NA,NA,NA,NA,NA,NA,NA
6036,2.44457,1.45772,-3.70654,-48.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6218,1.36474,1.36762,-3.4585,NA,NA,NA,NA,NA,NA,NA,-81.159,NA,NA,NA,NA
6554,1.94306,1.40997,-3.91534,-44.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6623,1.7782,2.64372,-4.44282,NA,NA,NA,NA,NA,NA,-152.123,NA,NA,NA,NA,NA
6827,2.25828,2.54241,-4.64512,NA,NA,NA,NA,NA,NA,-155.294,NA,NA,NA,NA,NA
7069,2.16458,2.37083,-3.26111,-79.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7269,3.21504,2.73773,-3.58403,-124.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7492,2.0454,1.69986,-3.44826,NA,-25.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7787,1.369,0.707927,-4.21642,NA,NA,NA,NA,NA,NA,NA,NA,-99.988,NA,NA,NA
7921,1.39169,0.445494,-4.99759,NA,NA,NA,NA,NA,NA,NA,NA,-128.232,NA,NA,NA
8090,1.98748,1.53132,-4.20502,NA,NA,NA,-5.872,NA,NA,NA,NA,NA,NA,NA,NA
8208,0.901748,1.43677,-4.53037,NA,-31.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8511,1.36853,1.15707,-3.38555,NA,-50.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8602,2.76991,1.42859,-3.35123,NA,NA,NA,-65.13,NA,NA,NA,NA,NA,NA,NA,NA
8921,2.73403,0.650735,-3.31957,NA,NA,-97.401,NA,NA,NA,NA,NA,NA,NA,NA,NA
9045,2.2069,0.443811,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.367,NA,NA
9216,-0.120346,0.92304,-5,NA,NA,NA,NA,NA,NA,-249.771,NA,NA,NA,NA,NA
9439,0.374941,1.15414,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-142.858,NA,NA
9725,0.916231,1.82769,-5,-60.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9828,0.147267,0.709573,-4.83761,NA,NA,NA,-158.98,NA,NA,NA,NA,NA,NA,NA,NA
10184,-0.980625,2.83326,-3.44021,NA,NA,NA,-248.14,NA,NA,NA,NA,NA,NA,NA,NA
10273,0.0175176,1.67167,-5,NA,NA,NA,NA,NA,NA,NA,NA,-121.157,NA,NA,NA
10465,0.192871,2.14745,-5,NA,NA,NA,NA,-131.985,NA,NA,NA,NA,NA,NA,NA
10641,1.55621,2.44593,-3.40264,NA,NA,NA,NA,-94.67,NA,NA,NA,NA,NA,NA,NA
10816,3.23988,1.78982,-3.44059,NA,NA,-81.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
11150,3.93877,1.96183,-3.15923,NA,NA,-200.763,NA,NA,NA,NA,NA,NA,NA,NA,NA
11356,3.48368,3.70026,-5,NA,-159.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11464,1.72467,2.63892,-5,NA,NA,NA,NA,NA,NA,NA,-71.446,NA,NA,NA,NA
11797,2.21889,2.52536,-5,NA,NA,-37.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
11906,2.01708,2.53754,-5,NA,NA,NA,NA,NA,NA,NA,NA,-59.091,NA,NA,NA
12009,2.05477,1.44122,-5,NA,NA,NA,-29.917,NA,NA,NA,NA,NA,NA,NA,NA
12313,2.29591,1.69365,-3.67869,NA,NA,-29.806,NA,NA,NA,NA,NA,NA,NA,NA,NA
12414,1.81287,0.979556,-4.36472,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.402,NA,NA
12608,0.585422,2.33956,-4.73661,NA,NA,NA,NA,NA,NA,-172.677,NA,NA,NA,NA,NA
12804,1.5958,1.77741,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.521,NA,NA
13010,1.35424,2.15549,-3.40756,NA,NA,-35.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
13302,1.23592,2.1579,-2.67704,NA,NA,-84.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
13591,0.673437,1.86548,-4.29952,NA,NA,-44.363,NA,NA,NA,NA,NA,NA,NA,NA,NA
13704,0.385545,2.9957,-3.25281,NA,-115.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13895,1.34976,2.16384,-4.81223,NA,-19.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14051,0.44651,1.36758,-4.28926,NA,NA,NA,NA,NA,NA,NA,NA,-93.839,NA,NA,NA
14316,1.55989,1.23879,-4.01322,NA,NA,NA,NA,NA,NA,NA,NA,-56.318,NA,NA,NA
14467,0.996449,1.3073,-4.03305,NA,-32.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14785,0.138201,1.91722,-5,NA,NA,NA,-91.261,NA,NA,NA,NA,NA,NA,NA,NA
14857,0.83617,2.40869,-4.66677,NA,NA,NA,NA,NA,NA,NA,-86.604,NA,NA,NA,NA
15057,1.54914,2.34392,-4.20677,NA,NA,-27.127,NA,NA,NA,NA,NA,NA,NA,NA,NA
15308,-0.0543189,1.59333,-4.78868,-105.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15552,2.56745,2.21182,-4.57767,NA,NA,NA,-26.904,NA,NA,NA,NA,NA,NA,NA,NA
15618,1.48067,3.3187,-5,NA,NA,NA,NA,NA,NA,NA,NA,-100.72,NA,NA,NA
15940,2.30467,2.38229,-5,NA,NA,NA,NA,NA,NA,NA,NA,-45.137,NA,NA,NA
16068,0.802619,2.68152,-5,-68.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16307,0.91629,2.22561,-4.72267,NA,-32.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16502,2.13643,3.05588,-5,NA,-56.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16736,2.14571,1.6288,-5,NA,NA,NA,NA,NA,NA,NA,NA,-31.856,NA,NA,NA
16884,2.07708,1.69849,-5,NA,NA,NA,-21.91,NA,NA,NA,NA,NA,NA,NA,NA
17124,-0.306851,1.58676,-5,NA,-118.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17281,1.18062,0.678147,-3.80715,NA,-81.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17577,1.06889,1.10844,-3.68933,-60.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17757,0.456664,1.26829,-3.93633,-75.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17831,-0.90573,1.71576,-4.97272,NA,NA,NA,-189.678,NA,NA,NA,NA,NA,NA,NA,NA
18032,0.360316,1.74217,-5,NA,-65.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18203,-0.142759,2.39227,-5,NA,NA,NA,NA,NA,NA,NA,-152.139,NA,NA,NA,NA
18476,1.04935,4.6121,-5,-225.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18704,0.374139,3.40976,-4.1148,NA,NA,NA,NA,NA,NA,NA,-146.377,NA,NA,NA,NA
18985,0.943646,2.45079,-4.77124,-62.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19070,1.08342,1.96312,-5,NA,NA,NA,-37.921,NA,NA,NA,NA,NA,NA,NA,NA
19226,1.29475,1.29921,-4.22821,NA,NA,NA,-28.124,NA,NA,NA,NA,NA,NA,NA,NA
19593,1.88053,1.78268,-3.31156,NA,NA,NA,NA,NA,NA,NA,NA,-70.216,NA,NA,NA
19674,1.44019,2.35621,-5,NA,-27.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19824,1.85391,2.37543,-5,NA,NA,-33.145,NA,NA,NA,NA,NA,NA,NA,NA,NA
20070,0.744579,2.75018,-4.55152,-76.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20316,0.63556,1.13586,-4.59624,-78.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20530,0.70727,1.09008,-4.85604,NA,-65.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20773,0.378139,2.51431,-3.67536,NA,NA,NA,NA,-162.997,NA,NA,NA,NA,NA,NA,NA
20873,0.883992,2.83052,-4.91213,NA,NA,NA,NA,-99.304,NA,NA,NA,NA,NA,NA,NA
21024,2.4429,3.17525,-4.89993,NA,NA,NA,NA,NA,NA,NA,NA,-82.305,NA,NA,NA
21338,2.38144,2.41989,-4.55575,NA,NA,NA,-27.025,NA,NA,NA,NA,NA,NA,NA,NA
21578,2.75644,3.11169,-5,NA,-77.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21706,1.57802,2.35209,-4.72333,NA,NA,NA,NA,NA,NA,NA,-62.998,NA,NA,NA,NA
21977,1.62582,2.12129,-4.37324,NA,NA,-13.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
22001,2.29503,2.08506,-4.02981,NA,NA,-17.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
22247,2.58419,1.74469,-3.76895,NA,NA,NA,-29.943,NA,NA,NA,NA,NA,NA,NA,NA
22518,2.24365,2.25758,-5,NA,NA,NA,-32.715,NA,NA,NA,NA,NA,NA,NA,NA
22673,2.0536,2.31797,-5,NA,-25.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22910,1.08054,2.74079,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-201.676,NA
23090,0.729261,2.66451,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-184.865,NA
23333,1.34561,3.00557,-3.80115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.039
23576,0.701403,1.60289,-3.80398,NA,NA,NA,-55.192,NA,NA,NA,NA,NA,NA,NA,NA
23763,-0.172411,1.78492,-5,NA,NA,-107.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
23988,0.732771,1.57824,-4.52134,NA,NA,-43.797,NA,NA,NA,NA,NA,NA,NA,NA,NA
24182,2.98718,0.599771,-3.48691,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.237,NA,NA
24289,2.12344,1.71008,-4.83894,NA,NA,-17.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
24401,0.703365,2.64866,-3.89392,NA,NA,-62.636,NA,NA,NA,NA,NA,NA,NA,NA,NA
24765,0.748623,2.61033,-4.90171,NA,NA,-55.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
24997,0.51492,2.13909,-4.09897,NA,-49.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25056,1.20706,2.28102,-2.66031,-104.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25333,1.80662,1.73176,-4.05344,NA,NA,-11.392,NA,NA,NA,NA,NA,NA,NA,NA,NA
25515,0.615583,3.67096,-5,NA,-123.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25682,-0.16596,3.2365,-5,NA,NA,-142.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
25866,0.159431,3.78193,-5,NA,-158.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26188,0.145561,2.92241,-5,NA,NA,NA,-109.332,NA,NA,NA,NA,NA,NA,NA,NA
26239,0.00466061,2.88028,-5,NA,NA,NA,NA,-161.165,NA,NA,NA,NA,NA,NA,NA
26560,0.718108,2.00307,-4.04144,NA,NA,NA,NA,NA,NA,NA,NA,-76.055,NA,NA,NA
26628,2.61454,3.95703,-5,NA,-137.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26865,1.97467,3.3314,-5,NA,-72.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27042,1.36134,2.40277,-5,-41.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27376,0.00510449,2.84814,-4.45152,-117.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27523,-0.502667,1.97203,-4.07854,-133.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27723,0.660736,1.46671,-3.88214,NA,NA,NA,NA,NA,NA,NA,-84.76,NA,NA,NA,NA
27813,1.32348,0.583739,-4.6472,-86.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28187,2.04718,1.1016,-5,NA,NA,-35.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
28254,1.32175,0.348687,-4.772,NA,NA,NA,NA,NA,NA,-190.717,NA,NA,NA,NA,NA
28440,1.3375,2.97251,-5,NA,NA,NA,NA,NA,NA,-179.19,NA,NA,NA,NA,NA
28710,1.07279,2.63369,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.778,NA,NA
28944,-0.285841,2.03734,-5,NA,NA,-114.985,NA,NA,NA,NA,NA,NA,NA,NA,NA
29086,1.30914,3.14755,-5,-94.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29318,2.37971,2.64613,-4.39195,NA,NA,-35.261,NA,NA,NA,NA,NA,NA,NA,NA,NA
29584,2.88853,1.79764,-4.95004,NA,NA,NA,-43.956,NA,NA,NA,NA,NA,NA,NA,NA
29722,3.05656,1.8478,-5,-72.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29833,3.07079,1.29539,-5,NA,-55.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30154,2.71393,1.19,-4.50035,NA,NA,-33.462,NA,NA,NA,NA,NA,NA,NA,NA,NA
30280,3.69423,1.17521,-5,NA,NA,-102.234,NA,NA,NA,NA,NA,NA,NA,NA,NA
30476,2.65295,0.632726,-5,NA,NA,-74.919,NA,NA,NA,NA,NA,NA,NA,NA,NA
30698,2.32463,1.732,-5,-39.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30854,1.76073,1.45114,-5,NA,NA,NA,-21.262,NA,NA,NA,NA,NA,NA,NA,NA
31110,1.70499,2.13034,-5,NA,NA,NA,NA,NA,NA,NA,NA,-35.961,NA,NA,NA
31344,2.15192,1.01013,-5,NA,NA,NA,NA,NA,NA,NA,NA,-52.352,NA,NA,NA
31500,1.74497,1.88964,-2.98025,NA,NA,NA,-55.377,NA,NA,NA,NA,NA,NA,NA,NA
31670,1.97349,3.18956,-4.3737,NA,-55.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31917,1.00172,2.06398,-4.38365,NA,NA,NA,NA,NA,NA,NA,-79.092,NA,NA,NA,NA
32099,2.51252,2.1084,-3.76657,NA,NA,-35.366,NA,NA,NA,NA,NA,NA,NA,NA,NA
32349,1.62353,2.99924,-4.89555,-60.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32561,1.99314,2.99614,-3.97847,-75.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32706,1.03678,1.8895,-4.99679,NA,NA,-36.191,NA,NA,NA,NA,NA,NA,NA,NA,NA
32918,2.91018,1.64027,-5,NA,NA,NA,-52.384,NA,NA,NA,NA,NA,NA,NA,NA
33116,1.57368,1.28295,-4.30105,NA,-6.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33328,2.42082,0.932691,-4.99927,NA,NA,NA,NA,NA,NA,NA,NA,-72.822,NA,NA,NA
33500,0.715837,0.788422,-5,NA,NA,NA,NA,NA,NA,NA,NA,-132.358,NA,NA,NA
33645,2.20254,0.483366,-4.02116,NA,NA,NA,-73.637,NA,NA,NA,NA,NA,NA,NA,NA
33827,1.39023,1.16129,-4.06501,-41.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34195,0.977596,1.2252,-4.17162,NA,NA,NA,NA,NA,NA,NA,-80.258,NA,NA,NA,NA
34389,0.764944,1.04435,-5,NA,NA,-76.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
34402,0.761908,0.881864,-3.74149,NA,NA,NA,NA,NA,NA,NA,NA,NA,-154.868,NA,NA
34709,-0.160139,0.983156,-4.9622,NA,NA,NA,NA,NA,NA,-246.235,NA,NA,NA,NA,NA
34924,0.800903,1.85578,-5,NA,NA,NA,NA,NA,NA,-162.671,NA,NA,NA,NA,NA
35117,1.69257,1.24586,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.765,NA,NA
35398,2.4074,-0.0122755,-5,NA,NA,NA,NA,NA,NA,-239.088,NA,NA,NA,NA,NA
35598,1.83694,0.341588,-5,NA,NA,NA,NA,NA,NA,-199.82,NA,NA,NA,NA,NA
35666,1.65439,0.798974,-4.79086,NA,NA,NA,NA,NA,NA,-146.275,NA,NA,NA,NA,NA
35802,0.504871,0.994612,-4.27208,NA,NA,-81.881,NA,NA,NA,NA,NA,NA,NA,NA,NA
36114,1.07801,1.33439,-4.41038,-39.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36317,0.14951,1.36894,-3.05791,NA,-128.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36502,-0.1084,2.39366,-4.69327,NA,-95.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36768,1.47254,2.89424,-4.89849,-60.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36919,0.923093,3.50651,-5,NA,NA,NA,NA,NA,NA,-202.704,NA,NA,NA,NA,NA
37100,1.831,2.20566,-4.47267,NA,NA,NA,NA,NA,NA,NA,-46.501,NA,NA,NA,NA
37277,1.39536,3.37424,-3.41542,NA,NA,-91.588,NA,NA,NA,NA,NA,NA,NA,NA,NA
37416,-0.438238,2.2288,-3.80737,NA,NA,NA,-148.687,NA,NA,NA,NA,NA,NA,NA,NA
37652,0.466447,0.374479,-4.05721,NA,NA,NA,NA,-240.37,NA,NA,NA,NA,NA,NA,NA
37901,0.5652,1.43692,-4.88293,NA,NA,NA,-70.642,NA,NA,NA,NA,NA,NA,NA,NA
38022,0.762942,1.50241,-5,NA,-50.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38312,1.96533,1.06813,-4.48979,-31.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38503,1.69031,2.02008,-3.98249,NA,NA,-14.079,NA,NA,NA,NA,NA,NA,NA,NA,NA
38787,1.99802,2.84916,-3.98328,NA,NA,NA,-44.664,NA,NA,NA,NA,NA,NA,NA,NA
38854,1.22982,2.33934,-4.73294,NA,NA,NA,NA,NA,NA,NA,-85.426,NA,NA,NA,NA
39179,0.760307,0.903587,-5,NA,-88.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39229,1.49857,2.31779,-4.67204,NA,NA,NA,NA,-56.943,NA,NA,NA,NA,NA,NA,NA
39584,2.1549,2.00531,-5,NA,-19.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39601,2.75535,2.56367,-5,NA,NA,NA,-58.405,NA,NA,NA,NA,NA,NA,NA,NA
39903,1.43101,1.65998,-4.54451,NA,-6.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40001,1.14231,2.82065,-3.96215,NA,NA,-49.785,NA,NA,NA,NA,NA,NA,NA,NA,NA
40308,0.562653,3.0787,-3.33465,NA,NA,NA,-107.532,NA,NA,NA,NA,NA,NA,NA,NA
40424,0.985239,4.25828,-4.22988,-185.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40628,2.22644,3.227,-4.51918,NA,NA,-70.182,NA,NA,NA,NA,NA,NA,NA,NA,NA
40857,1.74753,1.91146,-4.99343,-34.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41196,1.74912,0.554039,-5,NA,NA,NA,NA,NA,NA,NA,-113.063,NA,NA,NA,NA
41245,1.3226,1.25363,-5,NA,NA,NA,NA,NA,NA,NA,-86.206,NA,NA,NA,NA
41585,3.41985,0.939711,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.418,NA,NA
41774,1.45827,1.46884,-5,-34.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41926,1.15687,1.98645,-4.54018,NA,-17.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42174,0.957185,3.31795,-5,NA,NA,NA,-93.161,NA,NA,NA,NA,NA,NA,NA,NA
42298,0.189376,3.80686,-4.36966,NA,-150.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42423,0.508012,2.61037,-4.878,NA,NA,NA,-69.139,NA,NA,NA,NA,NA,NA,NA,NA
42756,1.13994,2.4708,-5,NA,NA,NA,NA,NA,NA,NA,NA,-52.841,NA,NA,NA
42809,1.16011,4.11724,-4.59471,NA,NA,-143.913,NA,NA,NA,NA,NA,NA,NA,NA,NA
43068,-0.69986,2.71475,-4.15736,-169.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43267,0.517759,2.89467,-2.59245,NA,-148.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43506,-0.160125,2.70772,-3.26002,NA,NA,-140.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
43657,0.256325,3.27241,-3.95146,NA,NA,-119.493,NA,NA,NA,NA,NA,NA,NA,NA,NA
43831,1.45775,2.45556,-4.83723,NA,NA,-32.649,NA,NA,NA,NA,NA,NA,NA,NA,NA
44187,0.984154,2.98853,-4.78003,NA,NA,NA,NA,NA,NA,NA,NA,-77.372,NA,NA,NA
44366,0.263213,2.73983,-4.81111,NA,-81.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44424,2.20924,2.39044,-5,NA,-29.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44630,2.8795,0.665608,-4.86434,NA,NA,-79.614,NA,NA,NA,NA,NA,NA,NA,NA,NA
44981,3.56261,1.79786,-5,NA,NA,-89.236,NA,NA,NA,NA,NA,NA,NA,NA,NA
45124,4.12785,1.76105,-5,NA,-127.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45245,2.4983,2.00893,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.075,NA,NA
45526,0.968633,1.90928,-5,-47.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45798,1.60616,1.83359,-4.98968,NA,NA,-27.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
45820,2.19531,2.48683,-5,NA,NA,NA,NA,NA,NA,NA,-92.559,NA,NA,NA,NA
46070,2.82672,2.81115,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-153.31,NA,NA
46294,2.55343,2.92736,-4.568,NA,NA,NA,NA,NA,NA,-180.885,NA,NA,NA,NA,NA
46427,2.00005,2.59291,-3.71233,NA,NA,NA,NA,NA,NA,-162.848,NA,NA,NA,NA,NA
46776,1.48432,2.50013,-4.04454,NA,NA,NA,NA,NA,NA,-149.319,NA,NA,NA,NA,NA
46939,1.92101,2.47659,-4.83933,-46.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47079,1.43177,1.81881,-3.24191,NA,-38.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47226,0.690434,1.47596,-2.41628,NA,NA,-130.894,NA,NA,NA,NA,NA,NA,NA,NA,NA
47425,0.809046,1.11382,-2.01693,-198.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47712,2.03852,0.34432,-1.54613,NA,-326.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47899,1.65444,0.573075,-2.57451,NA,NA,-140.332,NA,NA,NA,NA,NA,NA,NA,NA,NA
48109,2.29234,2.22434,-5,NA,NA,NA,NA,NA,NA,NA,NA,-53.514,NA,NA,NA
48242,1.38312,3.02327,-5,NA,NA,NA,NA,-113.448,NA,NA,NA,NA,NA,NA,NA
48459,1.10193,2.89172,-4.66679,NA,NA,NA,NA,NA,NA,NA,NA,-66.838,NA,NA,NA
48764,3.2836,3.74827,-4.79046,NA,-146.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48928,3.12594,3.93541,-3.45685,NA,-182.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49165,2.36013,2.97982,-3.30838,NA,NA,-83.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
