id,x0,x1,x2,fitness7,fitness8,fitness8.5,fitness7.5,fitness6.5,fitness9
9780,7.81285,7.01791,7.6579,NA,0.895,NA,NA,NA,NA
9968,8.21455,7.53396,7.38563,NA,NA,NA,0.922,NA,NA
10103,8.67565,7.95063,7.2797,NA,NA,NA,0.789,NA,NA
10382,8.17178,7.82932,7.29506,NA,NA,NA,0.896,NA,NA
10587,7.21402,8.06165,7.62097,NA,0.918,NA,NA,NA,NA
10695,7.41974,7.83779,8.00649,0.905,NA,NA,NA,NA,NA
10801,6.73922,7.30641,7.33685,NA,NA,0.639,NA,NA,NA
11185,6.71157,7.01217,7.27863,NA,NA,NA,0.637,NA,NA
11249,7.71707,7.88058,7.49032,NA,NA,0.895,NA,NA,NA
11463,7.57341,8.0594,7.93872,NA,NA,NA,0.918,NA,NA
11611,7.67673,7.82724,7.22413,NA,NA,NA,0.945,NA,NA
11955,8.47811,8.17125,7.28463,0.657,NA,NA,NA,NA,NA
12116,7.68975,8.48079,6.76277,NA,NA,NA,0.707,NA,NA
12376,8.57292,8.10824,7.80445,NA,NA,NA,0.833,NA,NA
12515,8.22918,7.86928,7.91451,NA,NA,NA,0.924,NA,NA
12724,6.77896,7.78068,7.51637,NA,NA,NA,0.77,NA,NA
12831,7.58355,7.09069,7.48246,NA,NA,NA,0.871,NA,NA
13024,7.97856,7.59049,6.81085,NA,0.803,NA,NA,NA,NA
13263,7.53369,7.27936,7.12991,0.778,NA,NA,NA,NA,NA
13406,8.01102,7.74951,7.06891,0.846,NA,NA,NA,NA,NA
13742,8.0448,8.17916,7.94435,0.834,NA,NA,NA,NA,NA
13825,7.45564,8.08176,8.43177,NA,0.814,NA,NA,NA,NA
14151,8.20181,8.16103,7.65107,NA,NA,0.775,NA,NA,NA
14203,8.11926,7.64802,7.01629,NA,0.855,NA,NA,NA,NA
14535,7.9496,7.82315,8.24028,NA,0.91,NA,NA,NA,NA
14722,7.8481,7.53888,8.31182,0.859,NA,NA,NA,NA,NA
14809,7.18065,7.64602,8.07117,NA,NA,NA,0.886,NA,NA
15137,7.79998,6.69205,7.17424,NA,NA,NA,0.722,NA,NA
15289,7.87815,7.70451,8.01725,NA,0.972,NA,NA,NA,NA
15484,6.79174,7.96271,7.91053,NA,0.754,NA,NA,NA,NA
15645,7.00523,7.53302,7.57182,NA,0.884,NA,NA,NA,NA
15948,7.70489,7.83546,8.43782,NA,NA,NA,0.867,NA,NA
16024,7.17273,7.58621,7.70304,NA,NA,NA,NA,NA,0.725
16233,8.82878,7.79642,6.92796,NA,NA,NA,0.672,NA,NA
16408,7.67057,7.91701,7.29735,NA,0.954,NA,NA,NA,NA
16628,7.5341,7.4183,7.96676,NA,NA,NA,0.94,NA,NA
16889,7.59311,7.60372,7.38315,0.926,NA,NA,NA,NA,NA
17050,9.11557,7.73868,7.84335,NA,NA,NA,0.707,NA,NA
17215,7.92135,7.7836,7.68951,NA,0.955,NA,NA,NA,NA
17551,7.70178,8.00022,7.23504,NA,NA,0.773,NA,NA,NA
17706,7.85287,8.01791,8.10257,NA,NA,0.87,NA,NA,NA
17858,7.78636,7.36398,8.21178,NA,0.914,NA,NA,NA,NA
18130,7.68939,6.99616,7.63413,NA,NA,NA,0.89,NA,NA
18398,8.55437,7.11892,8.107,NA,NA,NA,0.754,NA,NA
18560,7.30277,7.06252,7.89159,NA,0.818,NA,NA,NA,NA
18654,8.17395,7.90115,7.42068,NA,NA,NA,0.893,NA,NA
18805,7.26154,8.59569,8.09816,NA,NA,NA,0.787,NA,NA
19185,8.13816,7.31976,7.36726,NA,NA,NA,0.901,NA,NA
19244,8.00215,7.61012,8.56881,NA,NA,0.779,NA,NA,NA
19488,7.831,7.62505,7.62556,NA,0.987,NA,NA,NA,NA
19796,6.79529,7.15209,7.89135,NA,NA,NA,0.753,NA,NA
19956,7.16863,7.15769,7.28328,NA,0.83,NA,NA,NA,NA
20012,7.47862,7.47363,7.28124,NA,NA,NA,0.919,NA,NA
20335,7.85108,7.45366,6.9146,NA,0.844,NA,NA,NA,NA
20567,8.18854,7.90197,8.16662,NA,0.881,NA,NA,NA,NA
20619,7.53663,7.78167,7.51064,NA,0.984,NA,NA,NA,NA
20890,8.64819,7.98437,7.62465,NA,0.827,NA,NA,NA,NA
21144,8.44027,7.31396,8.57215,NA,NA,NA,0.739,NA,NA
21295,7.06787,7.57396,7.51756,NA,0.877,NA,NA,NA,NA
21476,7.15764,8.0305,8.10595,NA,0.847,NA,NA,NA,NA
21608,7.56112,8.12609,7.43726,NA,NA,NA,0.945,NA,NA
21826,6.97419,7.30925,8.03565,NA,NA,NA,0.797,NA,NA
22075,7.91799,8.24652,7.74579,NA,NA,NA,0.935,NA,NA
22353,8.45233,7.96084,7.73953,NA,0.887,NA,NA,NA,NA
22466,7.92298,7.82683,6.88255,NA,0.841,NA,NA,NA,NA
22701,8.21943,8.00724,7.63079,NA,0.927,NA,NA,NA,NA
22939,8.37582,7.63315,7.95004,0.857,NA,NA,NA,NA,NA
23054,7.82066,8.54597,7.43854,NA,NA,NA,0.833,NA,NA
23333,8.85837,8.38996,7.32017,NA,NA,NA,0.673,NA,NA
23447,7.70075,8.42476,8.17653,NA,0.83,NA,NA,NA,NA
23796,7.36393,7.41413,7.65764,NA,NA,NA,0.93,NA,NA
23837,7.70578,7.44606,8.32357,NA,NA,NA,0.895,NA,NA
24174,7.46674,7.20854,8.53231,NA,0.775,NA,NA,NA,NA
24375,8.24463,6.88521,7.08196,NA,0.694,NA,NA,NA,NA
24539,7.00778,7.49421,7.89457,NA,NA,NA,0.868,NA,NA
24729,7.4787,8.06355,8.12195,NA,0.922,NA,NA,NA,NA
24854,7.79947,7.30445,8.25066,NA,0.9,NA,NA,NA,NA
25106,8.36445,7.22479,6.84701,NA,0.694,NA,NA,NA,NA
25216,6.92301,7.7046,7.82024,NA,0.86,NA,NA,NA,NA
25488,7.52564,7.24754,8.12935,NA,NA,NA,0.904,NA,NA
25655,7.57414,7.61064,7.50549,0.885,NA,NA,NA,NA,NA
25888,7.9735,8.16775,7.59707,NA,0.925,NA,NA,NA,NA
26049,7.16989,7.95271,7.24131,NA,0.863,NA,NA,NA,NA
26392,7.7254,8.28131,7.32354,NA,NA,0.849,NA,NA,NA
26490,8.41138,7.80396,8.34642,NA,0.795,NA,NA,NA,NA
26689,8.18545,8.17553,7.06446,NA,NA,NA,0.824,NA,NA
26977,7.85674,7.64584,7.385,0.849,NA,NA,NA,NA,NA
27094,8.38292,7.55196,7.12377,NA,0.822,NA,NA,NA,NA
27231,7.59323,7.11963,7.20191,NA,NA,NA,0.859,NA,NA
27458,7.57882,7.50257,7.4458,NA,0.962,NA,NA,NA,NA
27687,7.08912,7.68739,7.97184,NA,NA,NA,0.904,NA,NA
27937,8.0615,7.99923,7.15322,NA,0.877,NA,NA,NA,NA
28133,7.14785,8.85424,8.05538,NA,0.681,NA,NA,NA,NA
28363,7.17677,7.5021,7.69282,NA,NA,NA,0.93,NA,NA
28580,8.08403,8.24277,8.71172,NA,NA,NA,0.751,NA,NA
28724,7.74941,8.35137,7.44185,0.862,NA,NA,NA,NA,NA
28896,7.24576,7.3244,7.46428,NA,NA,NA,NA,0.691,NA
29140,7.18091,7.72974,7.50109,NA,NA,NA,0.911,NA,NA
29206,7.21299,7.7832,7.70136,NA,NA,NA,0.934,NA,NA
29410,7.55425,7.92359,7.78982,NA,0.948,NA,NA,NA,NA
29771,7.44952,7.9039,8.20491,NA,NA,NA,0.911,NA,NA
29942,7.55159,7.78094,8.14301,NA,0.952,NA,NA,NA,NA
30002,7.41916,8.36412,7.65986,NA,NA,NA,0.88,NA,NA
30252,7.86447,8.25734,7.44531,NA,0.883,NA,NA,NA,NA
30468,7.29139,7.71448,7.92499,NA,NA,NA,NA,NA,0.739
30659,7.86265,7.32726,7.45834,NA,0.915,NA,NA,NA,NA
30997,7.30318,7.86904,7.15927,NA,0.891,NA,NA,NA,NA
31038,7.4421,7.83715,7.55304,0.796,NA,NA,NA,NA,NA
31229,7.92271,7.88088,7.76229,0.933,NA,NA,NA,NA,NA
31567,7.42033,7.44823,7.70049,NA,0.945,NA,NA,NA,NA
31724,7.79677,7.58277,8.13625,NA,NA,NA,0.946,NA,NA
31997,7.96877,7.5621,6.9155,NA,0.819,NA,NA,NA,NA
32043,8.45865,7.42418,8.00844,NA,0.853,NA,NA,NA,NA
32297,8.08047,7.47359,7.40392,NA,0.926,NA,NA,NA,NA
32443,8.62154,7.99063,7.73184,NA,0.796,NA,NA,NA,NA
32750,8.25634,8.56166,6.85608,NA,NA,0.591,NA,NA,NA
32889,8.04802,7.7325,7.49001,NA,NA,0.839,NA,NA,NA
33017,7.78973,7.40502,7.31925,NA,0.893,NA,NA,NA,NA
33378,7.15647,8.1554,7.54574,0.82,NA,NA,NA,NA,NA
33480,7.88752,8.46094,7.76673,NA,NA,0.827,NA,NA,NA
33627,7.92332,7.29943,8.17062,NA,NA,0.794,NA,NA,NA
33954,7.66319,7.97744,7.98863,NA,NA,NA,0.956,NA,NA
34151,7.79734,7.76506,8.03934,NA,NA,NA,0.95,NA,NA
34249,7.60822,8.1379,7.60609,NA,0.919,NA,NA,NA,NA
34414,8.66694,7.689,7.10174,0.666,NA,NA,NA,NA,NA
34757,7.85626,7.82193,7.59291,NA,0.987,NA,NA,NA,NA
34981,7.69968,7.95056,7.86234,NA,NA,NA,0.98,NA,NA
35120,7.57696,8.0325,7.21205,NA,0.901,NA,NA,NA,NA
35370,7.56642,7.70172,6.87183,NA,0.839,NA,NA,NA,NA
35435,7.3611,6.78111,7.61058,NA,NA,0.625,NA,NA,NA
35665,8.68787,7.66474,7.8333,NA,NA,NA,0.837,NA,NA
35926,7.56,7.89284,7.68529,NA,NA,NA,0.987,NA,NA
36140,8.26275,8.23206,8.23527,NA,0.83,NA,NA,NA,NA
36328,8.32355,7.94932,8.84866,NA,NA,NA,0.714,NA,NA
36580,7.05508,7.29837,7.98099,NA,0.821,NA,NA,NA,NA
36669,7.354,7.55193,7.26965,NA,0.921,NA,NA,NA,NA
36933,7.36202,7.89892,7.21451,NA,NA,NA,0.914,NA,NA
37075,7.57786,7.52007,7.30881,NA,0.928,NA,NA,NA,NA
37366,7.46847,7.54469,7.78289,NA,NA,0.894,NA,NA,NA
37575,7.83189,7.43476,8.34205,NA,0.88,NA,NA,NA,NA
37778,7.19524,7.96414,7.80037,NA,0.883,NA,NA,NA,NA
37827,7.18269,8.4945,7.76398,NA,NA,NA,0.79,NA,NA
38200,8.82484,8.43818,7.48994,NA,0.69,NA,NA,NA,NA
38215,7.64153,7.70492,6.67315,NA,NA,NA,0.774,NA,NA
38490,7.57499,7.04618,7.88005,NA,NA,NA,0.884,NA,NA
38687,7.422,7.58011,7.7858,NA,NA,NA,0.976,NA,NA
38864,7.43637,7.98438,7.66555,NA,0.947,NA,NA,NA,NA
39064,7.0625,8.55315,8.16331,NA,0.719,NA,NA,NA,NA
39342,7.67687,8.76504,7.56089,NA,NA,NA,0.776,NA,NA
39514,7.41522,8.19842,7.27144,0.833,NA,NA,NA,NA,NA
39667,7.98839,8.23266,7.59977,NA,0.901,NA,NA,NA,NA
39834,7.53033,6.79307,7.18247,NA,NA,NA,0.76,NA,NA
40048,8.62329,7.16964,7.7341,NA,NA,NA,0.783,NA,NA
40374,8.45379,8.513,8.24832,NA,NA,NA,0.727,NA,NA
40585,7.90586,7.78854,8.16669,NA,NA,NA,0.949,NA,NA
40692,7.77104,7.88354,7.35154,NA,NA,NA,0.964,NA,NA
40864,6.96042,7.19459,8.02857,NA,0.77,NA,NA,NA,NA
41156,8.2457,7.20674,7.58252,NA,0.859,NA,NA,NA,NA
41333,8.75621,7.30734,7.85652,NA,NA,NA,0.765,NA,NA
41534,7.86925,8.22356,7.86213,NA,0.894,NA,NA,NA,NA
41746,7.82771,8.20681,7.71018,NA,NA,NA,NA,NA,0.705
41819,7.68872,7.19386,7.46433,NA,NA,0.872,NA,NA,NA
42057,7.82709,7.58017,7.51001,NA,NA,0.856,NA,NA,NA
42273,7.73574,7.35577,7.40088,NA,NA,NA,0.929,NA,NA
42471,8.58332,7.66445,8.05346,NA,0.825,NA,NA,NA,NA
42672,7.36669,7.38827,8.12399,NA,NA,NA,0.894,NA,NA
42861,7.4924,7.87163,7.7234,NA,0.956,NA,NA,NA,NA
43181,7.36836,8.21605,7.35098,NA,NA,NA,0.898,NA,NA
43384,7.54802,7.85939,7.87887,NA,0.979,NA,NA,NA,NA
43495,8.30765,8.1482,7.05639,NA,NA,NA,0.799,NA,NA
43620,8.18936,7.82488,7.20711,NA,0.864,NA,NA,NA,NA
43851,7.61009,7.74874,8.93747,NA,NA,0.618,NA,NA,NA
44195,7.38906,8.25669,8.53256,NA,0.792,NA,NA,NA,NA
44210,7.26322,7.63003,8.13297,NA,NA,0.824,NA,NA,NA
44597,7.56636,6.95023,7.70482,NA,NA,NA,0.854,NA,NA
44688,7.21159,7.42352,8.27694,NA,NA,NA,0.857,NA,NA
44892,7.53735,7.23688,7.49312,0.813,NA,NA,NA,NA,NA
45102,8.48438,8.05913,7.40904,NA,NA,NA,0.842,NA,NA
45374,7.5809,7.71011,8.12751,NA,NA,NA,0.92,NA,NA
45459,7.59006,7.73298,8.08128,0.912,NA,NA,NA,NA,NA
45708,8.27554,8.4021,8.02185,NA,NA,NA,0.828,NA,NA
45918,8.11112,6.58452,7.55769,NA,0.681,NA,NA,NA,NA
46125,7.6014,6.62054,8.05318,NA,0.729,NA,NA,NA,NA
46381,7.08355,7.04436,8.27081,NA,NA,0.694,NA,NA,NA
46593,8.40194,6.76471,7.85044,NA,NA,0.652,NA,NA,NA
46691,7.50273,7.40788,8.74774,NA,NA,0.741,NA,NA,NA
46809,7.20821,7.29663,7.48471,NA,0.898,NA,NA,NA,NA
47168,8.6551,7.27084,6.97793,NA,NA,NA,0.695,NA,NA
47294,7.65221,7.44867,8.28524,NA,0.91,NA,NA,NA,NA
47513,7.81353,8.23205,8.39373,NA,0.837,NA,NA,NA,NA
47794,7.62312,7.88734,7.66952,NA,NA,NA,0.966,NA,NA
47952,7.74378,7.9531,7.9541,NA,NA,NA,0.974,NA,NA
48018,8.32499,8.13789,9.01739,NA,0.642,NA,NA,NA,NA
48237,7.4413,8.25605,8.76279,NA,0.748,NA,NA,NA,NA
48496,7.0118,7.2669,8.37116,NA,NA,0.679,NA,NA,NA
48638,7.1346,8.15021,7.03282,0.716,NA,NA,NA,NA,NA
48898,7.11012,8.325,7.40693,NA,0.822,NA,NA,NA,NA
49089,7.35997,7.65647,8.50564,NA,NA,NA,0.858,NA,NA
49359,7.82612,7.95217,8.22721,NA,NA,NA,0.914,NA,NA
49548,7.96619,8.01676,6.95331,NA,0.838,NA,NA,NA,NA
49619,8.11911,8.64207,7.2648,NA,NA,NA,0.775,NA,NA
49833,7.70125,8.08785,7.41834,NA,0.95,NA,NA,NA,NA
50034,8.4406,7.16578,7.82549,NA,0.785,NA,NA,NA,NA
50363,7.3557,7.52059,7.37068,NA,NA,0.86,NA,NA,NA
50452,7.47169,8.48269,7.36365,NA,0.846,NA,NA,NA,NA
50683,7.82906,9.12168,7.7635,NA,NA,NA,0.717,NA,NA
50963,7.56272,8.4228,7.38937,NA,0.838,NA,NA,NA,NA
51197,7.32832,8.16141,7.23858,NA,0.873,NA,NA,NA,NA
51312,8.45512,7.9197,7.85626,NA,NA,NA,0.869,NA,NA
51540,8.12342,7.92062,7.23126,0.722,NA,NA,NA,NA,NA
51738,8.30083,8.21853,8.01688,0.692,NA,NA,NA,NA,NA
51929,7.22072,8.27639,7.45167,0.788,NA,NA,NA,NA,NA
52083,6.90622,7.75751,7.82747,NA,NA,NA,NA,0.664,NA
52312,7.90252,6.98041,8.16479,NA,0.832,NA,NA,NA,NA
52529,7.35561,8.42613,7.6435,NA,NA,NA,0.835,NA,NA
52623,8.47198,7.42206,7.7542,NA,0.866,NA,NA,NA,NA
52980,7.45316,7.74289,8.24216,NA,0.89,NA,NA,NA,NA
53008,8.40125,8.24904,8.28662,NA,NA,NA,0.793,NA,NA
53299,7.2874,7.80349,8.13942,NA,0.918,NA,NA,NA,NA
53518,7.38696,7.41061,7.89218,NA,NA,0.891,NA,NA,NA
53659,8.23263,7.5015,7.57763,NA,NA,0.818,NA,NA,NA
53955,7.73657,7.2841,7.6475,NA,NA,NA,0.947,NA,NA
54123,7.38407,7.32642,8.71911,NA,NA,NA,0.778,NA,NA
54228,8.04861,7.82195,6.5694,NA,NA,NA,0.718,NA,NA
54528,7.86782,7.5444,7.30656,NA,0.95,NA,NA,NA,NA
54660,7.02847,8.24459,7.70719,NA,NA,0.745,NA,NA,NA
54908,7.27935,7.87904,7.48513,NA,NA,NA,NA,NA,0.732
55143,8.07812,7.69985,8.29572,NA,NA,NA,0.906,NA,NA
55341,7.3726,7.312,8.25919,NA,0.878,NA,NA,NA,NA
55569,7.75077,8.66045,7.91292,NA,0.834,NA,NA,NA,NA
55720,7.49523,8.12727,8.56417,NA,NA,NA,0.791,NA,NA
55933,7.12291,7.87013,7.50419,NA,NA,NA,0.907,NA,NA
56180,7.22018,6.8449,7.59781,NA,NA,NA,0.782,NA,NA
56395,8.60337,7.41389,7.80599,NA,0.841,NA,NA,NA,NA
56536,8.40636,7.90693,7.66779,NA,NA,NA,0.903,NA,NA
56665,8.57457,8.09711,7.18026,NA,NA,NA,0.778,NA,NA
56982,8.65802,7.7632,7.76446,NA,NA,0.678,NA,NA,NA
57194,8.46954,7.93684,7.30077,NA,NA,NA,0.85,NA,NA
57281,7.6953,8.4696,8.28095,NA,NA,0.723,NA,NA,NA
57480,8.67097,7.52308,7.43076,NA,NA,0.656,NA,NA,NA
57796,8.12574,7.59236,8.39563,NA,NA,NA,0.876,NA,NA
57945,7.90347,7.71578,7.95746,NA,NA,NA,0.96,NA,NA
58128,7.59444,7.92751,7.21678,NA,0.919,NA,NA,NA,NA
58225,7.52245,7.82752,8.19288,NA,NA,0.862,NA,NA,NA
58586,8.60934,7.38989,7.5192,NA,NA,NA,0.832,NA,NA
58761,8.19409,7.51179,8.38407,NA,NA,NA,0.862,NA,NA
58932,7.05058,7.36969,7.39915,NA,0.853,NA,NA,NA,NA
59027,7.3934,8.46448,7.68576,NA,NA,NA,0.87,NA,NA
59397,6.95057,7.90381,8.50568,0.593,NA,NA,NA,NA,NA
59545,6.89273,7.41959,7.37588,0.769,NA,NA,NA,NA,NA
59656,7.30866,6.95423,7.10958,0.7,NA,NA,NA,NA,NA
59870,6.87396,7.39315,7.7875,NA,0.826,NA,NA,NA,NA
60099,7.51819,7.23404,9.16318,NA,NA,NA,0.654,NA,NA
60387,7.51731,7.33619,8.2651,NA,0.9,NA,NA,NA,NA
60436,7.98682,8.44858,7.89464,NA,NA,NA,0.864,NA,NA
60685,7.06589,8.24443,7.79581,0.742,NA,NA,NA,NA,NA
60809,7.19017,8.17188,8.25903,NA,0.809,NA,NA,NA,NA
61013,7.31633,7.40302,8.25401,NA,NA,NA,0.89,NA,NA
61335,8.028,7.00417,7.50171,NA,NA,0.73,NA,NA,NA
61408,8.23065,7.50684,7.582,NA,NA,0.821,NA,NA,NA
61738,8.20259,8.02065,7.37813,NA,NA,0.842,NA,NA,NA
61904,7.52629,6.97962,7.19799,NA,NA,NA,0.821,NA,NA
62019,7.59388,7.7181,7.92132,NA,0.982,NA,NA,NA,NA
62358,8.2462,7.45574,8.4402,NA,NA,0.768,NA,NA,NA
62561,7.90556,7.71717,8.42068,NA,0.891,NA,NA,NA,NA
62768,7.76685,7.63292,6.84628,NA,0.839,NA,NA,NA,NA
62963,7.71101,7.10456,7.22406,NA,0.858,NA,NA,NA,NA
63170,6.8803,7.42903,7.49379,NA,NA,NA,0.829,NA,NA
63364,7.67879,7.77546,8.46949,NA,0.889,NA,NA,NA,NA
63530,8.0581,7.79195,8.03963,NA,NA,NA,0.946,NA,NA
63763,8.73796,7.59251,7.46855,NA,0.812,NA,NA,NA,NA
63828,7.58871,7.83801,7.4854,NA,NA,0.888,NA,NA,NA
64034,7.04794,8.42065,7.36596,NA,0.751,NA,NA,NA,NA
64395,6.9177,8.0117,7.54472,NA,0.838,NA,NA,NA,NA
64433,7.73438,7.71603,8.16268,NA,NA,NA,0.96,NA,NA
64768,7.75223,7.55525,7.49155,NA,NA,0.891,NA,NA,NA
64873,7.23074,7.17044,7.41222,NA,0.841,NA,NA,NA,NA
65122,8.05754,7.85827,7.82185,0.916,NA,NA,NA,NA,NA
65247,7.15959,8.06124,7.92638,0.783,NA,NA,NA,NA,NA
65472,7.10743,7.93137,7.56314,NA,NA,NA,0.892,NA,NA
65753,8.64744,8.20057,8.07972,NA,0.776,NA,NA,NA,NA
65914,7.1566,7.76509,7.8902,NA,0.899,NA,NA,NA,NA
66024,7.83598,7.35001,8.16179,0.836,NA,NA,NA,NA,NA
66304,7.45073,7.46108,8.03691,0.831,NA,NA,NA,NA,NA
66462,8.02065,7.98436,7.12942,NA,NA,NA,0.864,NA,NA
66611,7.87048,7.11796,7.4135,NA,NA,NA,0.901,NA,NA
66957,8.26342,7.54647,7.801,NA,NA,NA,0.92,NA,NA
67005,7.58254,7.26953,7.383,NA,NA,NA,NA,0.666,NA
67223,7.48076,7.36675,8.25888,NA,0.895,NA,NA,NA,NA
67459,7.50975,4.76392,7.37194,NA,NA,0.685,NA,NA,NA
67732,7.95728,7.72825,6.97985,NA,0.822,NA,NA,NA,NA
67930,8.09962,7.98429,7.58099,NA,NA,NA,0.927,NA,NA
68082,8.10739,7.7145,7.38828,0.814,NA,NA,NA,NA,NA
68317,8.17905,7.84366,7.98191,NA,NA,NA,0.912,NA,NA
68418,7.86663,7.23975,7.99612,0.873,NA,NA,NA,NA,NA
68787,7.88638,8.02241,7.12282,NA,0.864,NA,NA,NA,NA
68899,8.09946,8.18133,7.47489,NA,0.908,NA,NA,NA,NA
69005,7.63314,7.66348,7.36138,NA,0.938,NA,NA,NA,NA
69353,7.59327,8.68498,7.586,NA,0.808,NA,NA,NA,NA
69404,7.2235,8.22165,7.12437,NA,0.81,NA,NA,NA,NA
69653,7.82103,7.75024,8.58716,NA,0.827,NA,NA,NA,NA
69858,7.93272,7.93504,7.83057,NA,NA,0.84,NA,NA,NA
70009,7.78754,7.39641,7.83056,NA,NA,0.883,NA,NA,NA
70263,8.83178,7.31223,7.55081,NA,NA,NA,0.761,NA,NA
70548,7.40218,7.7649,7.29304,0.883,NA,NA,NA,NA,NA
70794,7.47807,7.736,7.27915,NA,NA,NA,0.947,NA,NA
70887,7.80298,7.88372,7.25976,NA,NA,NA,0.945,NA,NA
71067,8.40045,8.39481,7.46525,NA,NA,0.726,NA,NA,NA
71338,7.09755,7.2624,8.6638,NA,0.681,NA,NA,NA,NA
71528,7.20524,7.35597,8.7255,NA,NA,NA,0.744,NA,NA
71672,7.51468,7.41706,7.58801,0.919,NA,NA,NA,NA,NA
71894,7.94382,7.792,7.31364,NA,NA,NA,NA,0.76,NA
72137,7.98097,6.84795,7.98661,NA,NA,NA,0.809,NA,NA
72245,8.73574,7.50331,8.06073,NA,0.776,NA,NA,NA,NA
72505,7.20279,7.90025,7.90036,NA,NA,NA,0.911,NA,NA
72675,8.27479,7.77528,7.24054,NA,0.883,NA,NA,NA,NA
72911,7.53233,7.97241,7.58038,NA,NA,NA,0.95,NA,NA
73112,7.67625,7.56271,7.69981,NA,NA,NA,0.985,NA,NA
73286,8.74798,8.12167,7.88069,NA,0.767,NA,NA,NA,NA
73529,7.91247,7.44043,7.72681,NA,0.955,NA,NA,NA,NA
73769,6.67346,7.55751,8.03889,NA,NA,NA,0.749,NA,NA
73859,6.87945,7.85745,7.77584,0.802,NA,NA,NA,NA,NA
74038,8.33126,8.02876,8.40489,NA,NA,NA,0.803,NA,NA
74369,8.25889,7.08903,7.53959,NA,0.838,NA,NA,NA,NA
74479,7.90253,7.72314,7.26605,NA,0.942,NA,NA,NA,NA
74705,8.21164,6.79284,7.53059,NA,0.736,NA,NA,NA,NA
74920,7.40182,7.27739,7.30537,NA,NA,0.763,NA,NA,NA
75176,7.42162,8.00873,7.56228,NA,0.953,NA,NA,NA,NA
