id,x0,x1,x2,fitness9,fitness9.5,fitness7.5,fitness7,fitness8,fitness8.5,fitness6.5,fitness4.5,fitness6,fitness10,fitness4
5083,7.86466,7.69586,7.01803,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA
5242,7.77237,7.37413,7.29011,NA,NA,NA,NA,NA,NA,0.627,NA,NA,NA,NA
5494,7.37649,7.46547,7.98276,NA,NA,0.933,NA,NA,NA,NA,NA,NA,NA,NA
5712,7.75069,7.51119,7.94031,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA
5805,8.83251,7.91471,7.5319,NA,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA
6061,7.94529,8.51745,7.09889,NA,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA
6397,8.48815,7.95097,7.36802,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6474,9.10877,7.67085,8.21963,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6610,9.22052,7.76403,8.54115,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA
6841,8.35565,8.04098,7.80368,NA,NA,0.898,NA,NA,NA,NA,NA,NA,NA,NA
7126,8.17164,8.31817,7.84821,NA,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA
7301,8.60935,7.59145,7.18971,NA,NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA
7467,8.76469,7.92636,7.49385,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA
7726,8.41527,7.64235,7.57206,NA,NA,0.904,NA,NA,NA,NA,NA,NA,NA,NA
7956,7.66632,7.34146,7.47293,NA,NA,0.953,NA,NA,NA,NA,NA,NA,NA,NA
8165,7.84765,8.21749,6.73258,NA,NA,0.751,NA,NA,NA,NA,NA,NA,NA,NA
8299,8.05445,7.90114,7.32603,NA,NA,NA,NA,0.882,NA,NA,NA,NA,NA,NA
8564,8.25246,7.94363,7.48087,NA,NA,NA,NA,NA,0.759,NA,NA,NA,NA,NA
8683,8.21425,7.41222,7.92589,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA
8939,8.29723,7.55937,8.06779,NA,NA,NA,0.829,NA,NA,NA,NA,NA,NA,NA
9002,8.05278,7.74405,6.82939,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA
9269,7.33389,7.9154,7.05999,NA,NA,NA,0.757,NA,NA,NA,NA,NA,NA,NA
9522,7.94166,8.22891,7.71496,NA,NA,0.919,NA,NA,NA,NA,NA,NA,NA,NA
9612,7.29526,9.41174,7.5803,NA,NA,NA,NA,NA,0.501,NA,NA,NA,NA,NA
9945,8.17115,7.63015,7.99564,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA
10108,7.54703,7.41976,7.30455,NA,NA,NA,NA,NA,0.834,NA,NA,NA,NA,NA
10265,7.87859,7.05394,7.66932,NA,NA,0.876,NA,NA,NA,NA,NA,NA,NA,NA
10544,7.59645,8.98871,7.31593,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA
10768,8.23395,8.49624,7.42327,NA,NA,NA,NA,NA,0.758,NA,NA,NA,NA,NA
10803,9.08575,7.61303,8.23634,NA,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA
11169,8.42857,7.89187,8.5861,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA
11271,7.83981,8.31786,7.41672,NA,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA
11408,7.70766,8.8779,8.64052,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA
11670,7.3048,8.2785,8.56054,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA
11915,7.59696,8.43542,7.96439,NA,NA,NA,0.811,NA,NA,NA,NA,NA,NA,NA
12157,7.32142,7.23834,6.85491,NA,NA,NA,NA,NA,NA,0.516,NA,NA,NA,NA
12207,7.5144,7.13523,7.42266,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12458,8.19974,9.30733,7.87996,NA,NA,NA,NA,0.598,NA,NA,NA,NA,NA,NA
12774,8.10277,9.06725,8.15702,NA,NA,NA,NA,0.664,NA,NA,NA,NA,NA,NA
12838,7.7769,8.7394,8.25322,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA,NA
13067,8.16493,7.75973,8.44416,NA,NA,NA,NA,0.855,NA,NA,NA,NA,NA,NA
13242,7.71095,7.36137,9.20109,NA,NA,NA,NA,NA,0.562,NA,NA,NA,NA,NA
13423,7.61479,7.18363,9.58973,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA
13776,6.14714,7.04914,8.58793,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA
13893,7.85448,7.39538,8.38709,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA
14130,7.11867,6.8887,7.59577,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA
14358,7.20417,8.31195,7.67213,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
14475,8.0805,7.90204,7.61875,NA,NA,NA,NA,0.956,NA,NA,NA,NA,NA,NA
14643,8.04505,7.25628,7.1056,NA,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA
14832,8.50219,7.22522,7.87522,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA
15196,8.32666,8.09466,7.37331,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA,NA
15215,8.09944,7.87827,7.37442,NA,NA,NA,NA,NA,0.876,NA,NA,NA,NA,NA
15586,8.14093,7.83183,8.13958,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA
15681,8.53331,7.55931,7.80039,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA
15820,7.83363,7.43209,8.67163,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA
16097,7.94859,8.31823,8.83866,NA,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA
16300,8.33568,8.69135,8.32722,NA,NA,NA,NA,0.663,NA,NA,NA,NA,NA,NA
16405,8.19596,8.29804,8.97658,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA
16770,7.14213,8.89911,8.12599,NA,NA,NA,NA,0.644,NA,NA,NA,NA,NA,NA
16871,8.15506,9.17294,8.37856,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA
17057,7.71467,7.8493,8.13852,NA,NA,0.959,NA,NA,NA,NA,NA,NA,NA,NA
17357,8.10747,8.8518,7.08694,NA,NA,NA,NA,NA,0.588,NA,NA,NA,NA,NA
17600,7.95115,7.1802,7.15231,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA
17627,8.39895,7.51736,6.99818,NA,NA,0.764,NA,NA,NA,NA,NA,NA,NA,NA
17994,8.05126,7.93968,8.651,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA,NA
18164,7.40709,7.9199,7.50985,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA
18263,7.64078,7.07613,8.06906,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA
18469,8.00274,6.81907,7.11298,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA
18643,8.0798,7.75235,7.44213,NA,NA,NA,NA,NA,0.876,NA,NA,NA,NA,NA
18916,8.03779,8.22068,7.60814,NA,NA,0.915,NA,NA,NA,NA,NA,NA,NA,NA
19138,8.05962,8.23486,8.47948,NA,NA,0.816,NA,NA,NA,NA,NA,NA,NA,NA
19377,7.59022,8.04294,8.51456,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA
19461,7.30111,7.21532,8.42628,NA,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA
19673,6.38409,7.66919,7.93966,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA
19836,7.01175,7.86733,7.58964,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA,NA
20125,7.71011,7.52194,7.97251,NA,NA,NA,NA,NA,0.918,NA,NA,NA,NA,NA
20361,7.17771,8.54313,8.54157,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20563,7.93705,7.97559,8.52735,NA,NA,NA,NA,NA,0.684,NA,NA,NA,NA,NA
20628,8.17779,7.34657,8.08211,NA,NA,0.863,NA,NA,NA,NA,NA,NA,NA,NA
20928,8.02168,7.42275,6.97094,NA,NA,NA,NA,0.842,NA,NA,NA,NA,NA,NA
21039,7.66094,7.99736,8.49789,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21328,7.6807,7.45761,8.37826,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21407,8.66424,7.04224,7.16564,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA
21618,8.74877,7.24098,7.04291,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA,NA
21860,7.96903,7.6823,6.98087,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA
22050,7.88675,7.37716,6.87623,NA,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA
22385,6.65792,7.95978,8.42822,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA
22529,7.18482,6.77398,7.8108,NA,NA,0.752,NA,NA,NA,NA,NA,NA,NA,NA
22707,8.60557,7.68201,7.47392,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA
22942,7.22491,8.06826,7.5978,NA,NA,NA,0.792,NA,NA,NA,NA,NA,NA,NA
23062,8.83173,7.98027,7.20703,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA
23264,8.53296,8.08392,7.67439,NA,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA
23431,8.75732,7.43022,7.71442,NA,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA
23800,8.38338,7.81075,8.10812,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA
23944,7.68732,7.39441,7.8705,NA,NA,0.961,NA,NA,NA,NA,NA,NA,NA,NA
24121,7.58438,7.28426,8.28899,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA
24400,8.34934,7.99023,7.76459,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA
24468,8.37318,8.16975,8.21926,NA,NA,0.793,NA,NA,NA,NA,NA,NA,NA,NA
24633,7.55973,7.80443,7.30194,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA
24963,8.18636,7.64707,7.39061,NA,NA,NA,0.876,NA,NA,NA,NA,NA,NA,NA
25120,7.58801,8.70399,6.3864,NA,NA,0.506,NA,NA,NA,NA,NA,NA,NA,NA
25395,8.45657,6.87178,7.56805,NA,NA,NA,NA,0.694,NA,NA,NA,NA,NA,NA
25434,7.30079,8.12321,7.12609,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA
25742,7.95023,7.0577,7.61831,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA
25802,8.09352,7.06186,6.67592,NA,NA,NA,NA,0.644,NA,NA,NA,NA,NA,NA
26069,8.46749,8.3296,7.54039,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA
26341,7.84578,7.33491,8.0479,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26418,7.8973,6.65048,8.14191,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA
26641,7.51935,7.32445,7.59967,NA,NA,0.934,NA,NA,NA,NA,NA,NA,NA,NA
26900,7.6047,8.18813,8.1746,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA
27042,8.02583,7.20893,7.97309,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA
27267,7.30088,7.77738,6.96719,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA
27471,8.39866,8.60676,8.22442,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA
27765,8.41477,9.08219,7.2286,NA,NA,NA,NA,0.553,NA,NA,NA,NA,NA,NA
27977,8.05785,7.78501,8.05512,NA,NA,0.913,NA,NA,NA,NA,NA,NA,NA,NA
28160,7.75831,6.88292,8.92653,NA,NA,NA,NA,0.605,NA,NA,NA,NA,NA,NA
28202,8.0106,7.3949,8.26194,NA,NA,NA,NA,NA,0.803,NA,NA,NA,NA,NA
28492,8.48822,7.14336,7.00953,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28791,7.88465,6.63457,7.82026,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA
28956,8.47128,6.49364,7.93312,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
29191,7.66436,7.61697,6.79893,NA,NA,0.826,NA,NA,NA,NA,NA,NA,NA,NA
29300,6.7977,7.15658,7.13311,NA,NA,NA,NA,0.689,NA,NA,NA,NA,NA,NA
29429,7.71391,7.8223,7.13845,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA
29773,7.25995,6.95094,7.74078,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA,NA
29806,7.15138,6.8534,7.82635,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA
30005,7.72101,7.6593,8.51868,NA,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA
30230,6.80869,7.8354,8.19918,NA,NA,NA,NA,0.735,NA,NA,NA,NA,NA,NA
30468,7.90555,8.32579,7.81029,NA,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA
30621,8.63703,7.99695,7.52841,NA,NA,NA,NA,NA,0.757,NA,NA,NA,NA,NA
30805,7.56931,8.1646,7.93013,NA,NA,NA,NA,0.899,NA,NA,NA,NA,NA,NA
31064,8.24202,7.65383,7.31917,NA,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA
31366,7.62288,8.21907,7.28236,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA
31457,7.40862,7.60452,7.17552,NA,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA
31658,7.53258,8.16234,7.13368,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA
31850,6.72981,6.8808,7.52281,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA
32086,6.33726,8.21134,7.78491,NA,NA,0.562,NA,NA,NA,NA,NA,NA,NA,NA
32392,7.18672,7.84367,8.55838,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA
32574,8.10648,7.36083,7.77727,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA
32645,8.26974,7.49234,7.90036,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA,NA
32922,8.21003,7.89987,7.68813,NA,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA
33020,8.34395,7.96385,7.26041,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA
33230,8.32886,7.36102,7.34989,NA,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA
33446,8.66587,7.60241,7.60512,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA
33653,7.3313,7.59722,7.8355,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA
33883,7.49957,7.34156,8.19181,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA
34100,7.74535,7.11423,8.00543,NA,NA,0.902,NA,NA,NA,NA,NA,NA,NA,NA
34201,8.43309,6.98995,8.42019,NA,NA,NA,0.614,NA,NA,NA,NA,NA,NA,NA
34424,8.22108,7.76331,8.24828,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA
34682,8.12353,7.21999,6.86333,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA
34964,7.68036,6.49798,7.61545,NA,NA,NA,NA,NA,0.641,NA,NA,NA,NA,NA
35043,7.65037,7.94347,7.65304,NA,NA,0.961,NA,NA,NA,NA,NA,NA,NA,NA
35398,6.91069,6.62595,6.98582,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA
35590,6.42614,7.84027,7.24001,NA,NA,0.638,NA,NA,NA,NA,NA,NA,NA,NA
35650,7.24565,7.23326,7.92658,NA,NA,0.876,NA,NA,NA,NA,NA,NA,NA,NA
35980,8.4556,8.1165,7.64686,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA
36028,8.40352,6.9368,7.1827,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA
36309,7.81815,8.32569,7.73239,NA,NA,NA,NA,NA,0.835,NA,NA,NA,NA,NA
36534,8.24748,7.38952,6.78256,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA
36640,8.58392,7.57879,6.71618,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA,NA
36833,8.97618,7.8429,8.16683,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA
37073,7.73145,7.68285,8.70934,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA
37363,8.35186,7.08739,7.81975,NA,NA,0.831,NA,NA,NA,NA,NA,NA,NA,NA
37429,8.53138,7.31297,8.01782,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA
37755,7.38279,7.66465,7.57717,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37859,7.06059,7.37463,7.70869,NA,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA
38194,8.21883,7.17839,7.83871,NA,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA
38213,7.68877,8.49746,7.2782,NA,NA,NA,NA,0.849,NA,NA,NA,NA,NA,NA
38454,8.12956,8.67283,7.63665,NA,NA,NA,NA,0.785,NA,NA,NA,NA,NA,NA
38795,7.7294,7.95512,8.76657,NA,NA,NA,NA,NA,0.725,NA,NA,NA,NA,NA
38878,7.92717,8.39462,7.84213,NA,NA,NA,NA,NA,NA,0.588,NA,NA,NA,NA
39036,8.49304,7.24915,7.80575,NA,NA,0.841,NA,NA,NA,NA,NA,NA,NA,NA
39322,7.27895,8.43714,7.33711,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA
39424,7.86274,7.22209,8.00985,NA,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA
39636,8.05305,8.03658,8.1393,NA,NA,NA,NA,0.915,NA,NA,NA,NA,NA,NA
39818,8.43055,8.09519,7.35575,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA,NA
40050,8.35637,7.96545,7.5624,NA,NA,NA,NA,0.901,NA,NA,NA,NA,NA,NA
40260,8.09779,7.43694,7.26032,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA
40561,7.57625,9.06994,7.98202,NA,NA,NA,NA,0.669,NA,NA,NA,NA,NA,NA
40680,8.02344,7.8351,8.16547,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA,NA
40854,7.08778,8.87206,6.7055,NA,NA,NA,NA,0.474,NA,NA,NA,NA,NA,NA
41161,8.3003,7.69513,8.09983,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA
41315,8.12915,6.64201,7.97585,0.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41567,7.48517,7.37345,8.02553,NA,NA,NA,NA,NA,0.864,NA,NA,NA,NA,NA
41608,7.63707,7.32379,7.96479,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA,NA
41970,8.65502,8.88012,7.54309,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA
42026,8.69245,8.15327,7.49561,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA
42322,7.15748,7.82809,7.87984,NA,NA,NA,NA,NA,0.864,NA,NA,NA,NA,NA
42448,7.74987,7.49812,7.04644,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA
42646,7.16589,8.0634,9.30906,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA
42906,7.3724,7.21802,8.15533,NA,NA,NA,NA,0.879,NA,NA,NA,NA,NA,NA
43017,7.60914,7.03482,7.71753,NA,NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA
43266,8.11376,8.73625,7.49406,NA,NA,NA,NA,NA,0.641,NA,NA,NA,NA,NA
43457,7.63999,6.89948,7.40618,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA
43626,7.42122,7.69286,8.44818,NA,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA
43967,7.34159,7.63233,8.44356,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA
44153,8.47447,7.72563,7.88984,NA,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA
44335,8.26309,7.7589,7.78565,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA,NA
44497,7.97211,7.9033,7.40057,NA,NA,NA,NA,NA,0.894,NA,NA,NA,NA,NA
44618,8.67616,7.44327,8.32217,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44989,8.11674,7.77518,7.3744,NA,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA
45161,7.97187,7.35471,8.59276,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA
45339,7.10722,7.39851,9.02536,NA,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA
45443,7.6143,6.86491,8.42324,NA,NA,NA,NA,NA,0.619,NA,NA,NA,NA,NA
45682,8.22824,7.02022,7.64716,NA,NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA
45816,7.55235,7.63053,8.06455,NA,NA,0.953,NA,NA,NA,NA,NA,NA,NA,NA
46091,8.37537,8.08822,7.13425,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA
46365,7.58278,8.19635,7.49637,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA
46451,8.11844,7.28033,8.10307,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA
46780,7.96162,7.71239,7.8345,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46887,8.12466,9.00113,7.20645,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA
47123,8.6142,7.64982,6.74085,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA
47213,8.60586,8.18725,7.23282,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA
47402,8.27147,7.81518,7.81389,NA,NA,0.915,NA,NA,NA,NA,NA,NA,NA,NA
47768,8.64991,8.39675,7.81376,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA
47972,6.88252,7.78187,9.01026,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA
48130,8.19447,8.01194,7.92792,NA,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA
48328,8.23289,8.25174,8.23198,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA
48424,7.93666,8.13382,8.51243,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA
48741,7.65389,8.51824,9.42009,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA
48811,7.82338,7.82901,8.55228,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA
49185,7.02818,8.0196,8.64944,NA,NA,NA,NA,0.688,NA,NA,NA,NA,NA,NA
49209,6.96275,7.28213,7.38928,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA
49448,6.64821,7.78643,7.36591,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA
49765,7.84139,8.74274,6.97928,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA
49858,7.73993,8.94414,8.08666,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA
50187,7.45626,8.0083,8.85817,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA
50259,7.68151,7.95033,8.24344,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA
50420,9.03453,7.07017,8.26964,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA
50711,8.08612,7.64649,7.61127,NA,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA
50943,7.36973,8.12732,7.67978,NA,NA,0.929,NA,NA,NA,NA,NA,NA,NA,NA
51020,7.40165,7.87875,8.04811,NA,NA,0.951,NA,NA,NA,NA,NA,NA,NA,NA
51362,7.72108,7.1857,8.21216,NA,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA
51423,8.30875,8.69223,8.29108,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA,NA
51754,8.31036,7.92533,8.72346,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA
51967,7.90042,8.0761,7.36429,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA,NA
52034,8.07312,7.4375,7.68487,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA,NA
52383,8.26012,7.43314,8.45707,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
52542,8.21441,7.05756,7.92309,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA
52609,8.27879,7.67757,7.30501,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA
52993,8.14972,8.31056,8.60379,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA
53098,7.79621,7.5369,8.07776,NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA
