id,x0,x1,x2,fitness5.5,fitness4.5,fitness4,fitness5,fitness7,fitness8.5,fitness8,fitness9,fitness7.5,fitness6.5,fitness6,fitness9.5,fitness10
3210,7.83355,7.9516,7.37295,NA,NA,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA,NA
3552,6.52128,7.5963,7.29649,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA
3673,8.24345,7.02216,8.6912,NA,NA,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA,NA
3847,7.88759,8.76295,8.26898,NA,NA,NA,NA,NA,NA,NA,NA,0.751,NA,NA,NA,NA
4165,7.47279,7.9953,7.96874,NA,NA,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA
4237,8.57613,7.85107,8.28641,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA
4532,8.43205,8.18067,8.70244,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA
4611,7.44326,8.44563,8.45913,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA,NA,NA,NA
4999,7.45037,7.51928,8.93488,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA
5148,7.95765,7.42995,8.56881,NA,NA,NA,NA,NA,NA,NA,NA,0.843,NA,NA,NA,NA
5280,7.74376,8.63766,8.10894,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA
5471,6.27445,8.34447,8.07061,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201,NA,NA,NA
5655,7.28525,7.69767,8.20641,NA,NA,NA,NA,NA,NA,NA,NA,0.897,NA,NA,NA,NA
5801,7.14068,7.74481,6.90058,NA,NA,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA
6189,7.74989,6.4754,6.86981,NA,NA,NA,NA,0.505,NA,NA,NA,NA,NA,NA,NA,NA
6228,7.89918,8.33663,6.9498,NA,NA,NA,NA,NA,NA,NA,NA,0.784,NA,NA,NA,NA
6521,7.29514,8.49092,7.3217,NA,NA,NA,NA,NA,NA,NA,NA,0.815,NA,NA,NA,NA
6767,8.06813,8.34669,8.4887,NA,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA
6918,8.5922,7.71436,8.1052,NA,NA,NA,NA,NA,NA,NA,NA,0.805,NA,NA,NA,NA
7042,8.59753,8.62512,7.73572,NA,NA,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA
7364,8.13595,7.82418,8.18524,NA,NA,NA,NA,0.729,NA,NA,NA,NA,NA,NA,NA,NA
7464,8.76913,8.54867,7.5437,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA
7798,8.28777,8.61574,7.27131,NA,NA,NA,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA
7976,8.54444,7.01127,6.30707,NA,NA,NA,NA,0.303,NA,NA,NA,NA,NA,NA,NA,NA
8074,7.98405,8.72737,7.64133,NA,NA,NA,NA,NA,NA,NA,NA,0.777,NA,NA,NA,NA
8267,7.65985,7.58319,8.38717,NA,NA,NA,NA,NA,NA,NA,NA,0.911,NA,NA,NA,NA
8499,8.01456,7.37954,7.4388,NA,NA,NA,NA,NA,NA,0.923,NA,NA,NA,NA,NA,NA
8719,8.49044,6.56244,7.52773,NA,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA
8987,7.33296,9.1757,7.03901,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA
9057,7.86343,7.82658,7.65983,NA,NA,NA,NA,NA,NA,NA,NA,0.991,NA,NA,NA,NA
9338,7.56752,8.71238,8.86179,NA,NA,NA,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA
9549,7.96938,8.8374,7.75255,NA,NA,NA,NA,NA,NA,NA,NA,0.785,NA,NA,NA,NA
9622,8.48874,9.42858,7.53861,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
9867,8.34555,8.84241,6.72333,NA,NA,NA,NA,NA,0.464,NA,NA,NA,NA,NA,NA,NA
10120,7.90372,9.05329,7.71903,NA,NA,NA,NA,NA,0.664,NA,NA,NA,NA,NA,NA,NA
10239,9.32777,8.802,7.98102,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA
10582,9.2649,7.34771,7.25038,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA
10716,7.99498,8.26841,8.30214,NA,NA,NA,NA,NA,NA,NA,NA,0.853,NA,NA,NA,NA
10956,7.77559,7.41716,7.18617,NA,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA
11001,6.89688,7.30413,7.18383,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA
11303,7.05311,7.36784,8.67547,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA
11435,7.38399,7.49815,9.08048,NA,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA
11692,7.2668,7.7267,8.87267,NA,NA,NA,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA
11909,6.8653,7.58715,7.75779,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622,NA,NA,NA
12024,7.39322,8.27707,7.5763,NA,NA,NA,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA
12262,7.3151,7.79834,7.63917,NA,NA,NA,NA,NA,NA,0.912,NA,NA,NA,NA,NA,NA
12581,7.99733,7.91475,8.85536,NA,NA,NA,NA,NA,NA,NA,NA,0.729,NA,NA,NA,NA
12706,7.16819,7.73351,9.22752,NA,NA,NA,NA,NA,NA,0.604,NA,NA,NA,NA,NA,NA
12960,8.3495,6.86681,7.74687,NA,NA,NA,NA,NA,NA,NA,0.592,NA,NA,NA,NA,NA
13032,9.34937,7.71061,7.53644,NA,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA,NA,NA
13203,8.70999,8.09798,8.03145,NA,NA,NA,NA,0.618,NA,NA,NA,NA,NA,NA,NA,NA
13596,8.51605,8.46729,8.19846,NA,NA,NA,NA,NA,NA,NA,0.548,NA,NA,NA,NA,NA
13633,7.87481,8.06355,7.66867,NA,NA,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA
13866,7.48366,8.38457,7.41431,NA,NA,NA,NA,NA,NA,NA,NA,0.887,NA,NA,NA,NA
14046,7.63323,7.79682,6.86641,NA,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA
14382,8.215,7.35812,6.0834,NA,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA
14481,7.89052,6.94325,6.52341,NA,NA,NA,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA
14742,7.87264,6.84498,7.04427,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA
14988,8.34084,7.89517,7.72728,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA
15005,7.50289,7.12729,8.19064,NA,NA,NA,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA
15333,7.75781,7.66155,8.64632,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA
15469,7.87321,8.6436,8.05268,NA,NA,NA,NA,NA,NA,NA,NA,0.807,NA,NA,NA,NA
15788,8.19052,8.29168,7.63735,NA,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA
15903,8.52977,7.61916,8.23726,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
16174,8.04305,7.01564,8.23198,NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA
16272,8.29075,8.01612,7.99941,NA,NA,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA
16495,6.85337,6.89204,8.28168,NA,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA
16794,8.60223,8.21641,7.86398,NA,NA,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA
16824,8.05066,7.20656,7.58903,NA,NA,NA,NA,NA,0.841,NA,NA,NA,NA,NA,NA,NA
17155,7.99739,7.35131,7.45834,NA,NA,NA,NA,NA,NA,NA,NA,0.941,NA,NA,NA,NA
17217,6.64586,7.43558,7.11274,NA,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA
17456,6.99339,8.01417,7.63464,NA,NA,NA,NA,NA,NA,0.842,NA,NA,NA,NA,NA,NA
17694,7.17078,7.99058,7.63006,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA,NA
17925,7.91337,7.0865,7.50181,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA,NA,NA
18059,9.04236,7.66558,7.34715,NA,NA,NA,NA,NA,NA,NA,NA,0.712,NA,NA,NA,NA
18320,8.37902,7.1251,7.31031,NA,NA,NA,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA
18569,8.69971,7.05759,7.60331,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA
18648,9.50659,7.42501,7.31688,NA,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
18823,7.98069,7.74999,7.62996,NA,NA,NA,NA,NA,NA,NA,NA,0.972,NA,NA,NA,NA
19154,7.43594,7.04506,7.70679,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA
19317,7.47034,8.3526,6.93992,NA,NA,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA
19548,6.9744,8.22553,7.38336,NA,NA,NA,NA,0.738,NA,NA,NA,NA,NA,NA,NA,NA
19706,9.52881,8.20353,7.48237,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA
19829,8.60214,7.94116,7.9708,NA,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA
20091,7.35534,8.29746,8.79888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA,NA
20334,8.07223,9.37113,7.50758,NA,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA
20497,8.4871,7.97964,7.32567,NA,NA,NA,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA
20606,7.34368,6.75326,6.90544,NA,NA,NA,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA
20947,6.64932,7.04537,7.42539,NA,NA,NA,NA,NA,0.599,NA,NA,NA,NA,NA,NA,NA
21070,8.17571,6.52301,7.64239,NA,NA,NA,NA,NA,NA,NA,NA,0.683,NA,NA,NA,NA
21292,8.23761,6.83322,8.3703,NA,NA,NA,NA,NA,NA,NA,NA,0.697,NA,NA,NA,NA
21558,9.13275,7.1119,8.57014,NA,NA,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA
21654,7.57306,6.65354,7.97027,NA,NA,NA,NA,NA,NA,NA,0.577,NA,NA,NA,NA,NA
21871,7.20909,7.52356,8.41309,NA,NA,NA,NA,NA,NA,NA,0.614,NA,NA,NA,NA,NA
22187,7.10769,8.26682,8.24474,NA,NA,NA,NA,NA,NA,NA,NA,0.808,NA,NA,NA,NA
22202,8.03311,8.25972,8.37088,NA,NA,NA,NA,NA,NA,0.821,NA,NA,NA,NA,NA,NA
22452,7.41341,7.20524,8.45335,NA,NA,NA,NA,NA,NA,NA,NA,0.821,NA,NA,NA,NA
22691,8.7968,6.2793,7.36988,NA,NA,NA,NA,NA,0.324,NA,NA,NA,NA,NA,NA,NA
22889,9.02983,7.28729,7.07883,NA,NA,NA,NA,NA,NA,NA,NA,0.621,NA,NA,NA,NA
23018,8.73796,7.86011,6.74253,NA,NA,NA,NA,NA,NA,0.613,NA,NA,NA,NA,NA,NA
23389,8.1474,7.09902,6.64316,NA,NA,NA,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA
23429,7.90346,6.9531,7.57186,NA,NA,NA,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA
23706,9.37834,6.96992,8.50047,NA,NA,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA
23964,8.9924,6.69884,6.65745,NA,NA,NA,NA,NA,NA,NA,NA,0.308,NA,NA,NA,NA
24081,8.66775,7.48171,7.12327,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA
24384,7.46526,7.64179,7.65858,NA,NA,NA,NA,NA,NA,NA,NA,0.979,NA,NA,NA,NA
24476,8.30286,7.21709,8.42462,NA,NA,NA,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA
24611,8.79332,7.49627,8.47856,NA,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA
24870,9.61483,7.41904,8.60043,NA,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA
25148,10.0046,6.03418,7.92263,NA,NA,NA,NA,NA,-0.016,NA,NA,NA,NA,NA,NA,NA
25357,10.3349,7.84588,8.00135,NA,NA,NA,NA,NA,0.403,NA,NA,NA,NA,NA,NA,NA
25411,8.64981,8.59536,8.59431,NA,NA,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA
25752,8.97025,8.20698,7.75598,NA,NA,NA,NA,NA,NA,NA,NA,0.714,NA,NA,NA,NA
25838,9.58531,7.60724,7.41822,NA,NA,NA,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA
26013,9.0028,7.7854,7.48678,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA
26243,8.04893,8.97483,7.91568,NA,NA,NA,NA,NA,NA,NA,NA,0.727,NA,NA,NA,NA
26556,6.706,8.02154,7.71455,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA
26693,7.84,7.25196,8.08034,NA,NA,NA,NA,NA,NA,NA,0.695,NA,NA,NA,NA,NA
26830,7.53413,7.80937,8.36762,NA,NA,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA
27018,8.01848,7.86216,8.85915,NA,NA,NA,NA,NA,NA,NA,NA,0.761,NA,NA,NA,NA
27326,7.72468,8.11345,6.55194,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA
27452,7.83904,6.25296,6.67202,NA,NA,NA,NA,NA,NA,0.404,NA,NA,NA,NA,NA,NA
27710,7.72253,7.72188,8.22704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA
27886,8.35909,7.70456,9.41827,NA,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA
28076,8.59733,7.76381,8.56167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA
28242,8.03265,7.77918,7.24001,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA,NA,NA
28458,8.725,7.92103,6.94963,NA,NA,NA,NA,NA,NA,NA,NA,0.699,NA,NA,NA,NA
28701,8.64706,7.75965,6.29103,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA
28988,8.12393,8.42506,6.70118,NA,NA,NA,NA,NA,NA,NA,0.374,NA,NA,NA,NA,NA
29176,7.8094,8.11667,7.40879,NA,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA
29329,8.07494,7.84757,7.88341,NA,NA,NA,NA,NA,0.792,NA,NA,NA,NA,NA,NA,NA
29512,7.64734,7.90084,7.18016,NA,NA,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA
29743,8.06726,8.04636,7.69361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,NA
29923,7.81942,8.30822,8.5182,NA,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA
30031,8.34592,8.33552,8.51293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,NA
30363,8.39591,8.08938,7.83306,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA
30531,7.58454,7.83999,6.7585,NA,NA,NA,NA,NA,NA,NA,0.507,NA,NA,NA,NA,NA
30682,7.02378,7.55636,7.76509,NA,NA,NA,NA,NA,NA,NA,NA,0.885,NA,NA,NA,NA
30853,8.48427,8.41403,6.51491,NA,NA,NA,NA,NA,0.459,NA,NA,NA,NA,NA,NA,NA
31110,7.83288,7.77658,6.06536,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA
31291,7.597,7.91124,6.78801,NA,NA,NA,NA,NA,NA,NA,0.541,NA,NA,NA,NA,NA
31448,6.8998,7.85624,6.80108,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA
31669,7.10842,7.15956,6.76836,NA,NA,NA,NA,NA,NA,0.665,NA,NA,NA,NA,NA,NA
31894,7.10485,7.2546,8.09383,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA
32041,8.4607,9.06009,7.21299,NA,NA,NA,NA,NA,0.422,NA,NA,NA,NA,NA,NA,NA
32272,9.80642,7.99439,6.63043,NA,NA,NA,NA,NA,0.228,NA,NA,NA,NA,NA,NA,NA
32522,10.5,7.15664,7.31579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,NA
32763,9.85201,7.16091,7.56798,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA
32980,6.69715,7.92,7.95482,NA,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA
33079,7.17815,8.63959,8.55138,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA
33209,8.50631,8.38307,8.75779,NA,NA,NA,NA,NA,NA,0.617,NA,NA,NA,NA,NA,NA
33462,8.31113,7.55916,7.77446,NA,NA,NA,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA
33694,7.43007,7.60651,7.41937,NA,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA
34000,8.21641,7.79428,9.00347,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA
34040,6.86629,7.50545,8.3168,NA,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA
34295,7.14039,7.35837,7.66747,NA,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA
34516,7.56982,8.26909,8.12458,NA,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA
34741,7.51394,8.50844,8.02349,NA,NA,NA,NA,NA,NA,NA,NA,0.859,NA,NA,NA,NA
34813,8.79207,7.70087,6.90807,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA
35143,8.54518,7.55841,7.85169,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA
35322,7.67156,7.67264,7.68509,NA,NA,NA,NA,NA,NA,0.992,NA,NA,NA,NA,NA,NA
35401,7.77926,8.78956,7.57581,NA,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA
35627,8.20609,6.83562,7.17044,NA,NA,NA,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA
35895,7.93896,7.9324,7.04534,NA,NA,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA
36125,7.9907,8.09246,8.01119,NA,NA,NA,NA,NA,NA,NA,NA,0.936,NA,NA,NA,NA
36360,8.09056,9.04301,7.98549,NA,NA,NA,NA,NA,NA,NA,0.433,NA,NA,NA,NA,NA
36449,7.06004,7.49748,8.87122,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA
36791,6.82334,8.48405,8.49913,NA,NA,NA,NA,NA,NA,0.565,NA,NA,NA,NA,NA,NA
36836,7.22832,7.45988,7.63265,NA,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA
37024,8.01321,8.01258,9.03783,NA,NA,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA
37234,7.1797,8.87968,8.59408,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA
37561,7.20236,7.65576,8.43546,NA,NA,NA,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA
37686,6.99579,7.12482,8.87372,NA,NA,NA,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA
37948,8.34406,8.19192,8.25681,NA,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA,NA,NA
38039,7.89126,8.00966,8.31648,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38366,6.47636,7.45547,7.47044,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411,NA,NA,NA
38498,6.91783,8.18687,5.886,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA,NA,NA
38603,6.76265,8.71912,6.97997,NA,NA,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA
38995,7.38582,7.39864,8.16679,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA,NA
39176,7.37233,7.89704,7.98722,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA
39285,8.05518,7.71262,7.92455,NA,NA,NA,NA,NA,NA,NA,NA,0.966,NA,NA,NA,NA
39416,7.46018,7.95645,8.06456,NA,NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA
39791,7.60083,8.61138,7.86097,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA
39854,6.89507,7.43927,7.8866,NA,NA,NA,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA
40130,6.82515,7.5247,7.4797,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA
40251,7.7392,7.89242,7.93006,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA
40505,7.04652,7.75556,7.95288,NA,NA,NA,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA
40660,7.52747,7.57289,8.23816,NA,NA,NA,NA,0.779,NA,NA,NA,NA,NA,NA,NA,NA
40999,7.21797,7.30713,8.51773,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523,NA,NA,NA
41009,8.18264,7.60373,9.78454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA
41370,7.81809,6.58873,8.50212,NA,NA,NA,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA
41544,7.53057,7.71631,8.10676,NA,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA
41712,6.78439,6.68297,8.50369,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA
41986,6.84301,6.23046,7.8688,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA
42006,8.58798,6.20286,7.67722,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA
42292,7.93166,8.09816,8.82605,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA
42525,8.33665,9.56856,7.34719,NA,NA,NA,NA,NA,NA,0.507,NA,NA,NA,NA,NA,NA
42732,9.00582,9.00882,7.24508,NA,NA,NA,NA,0.366,NA,NA,NA,NA,NA,NA,NA,NA
42824,8.66664,8.67343,7.20461,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA
43125,8.50504,8.42095,6.66924,NA,NA,NA,NA,NA,NA,NA,NA,0.577,NA,NA,NA,NA
43214,8.24928,8.77607,8.40848,NA,NA,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA
43448,7.9181,8.8498,8.36395,NA,NA,NA,NA,NA,NA,0.666,NA,NA,NA,NA,NA,NA
43777,8.16418,8.40278,7.74678,NA,NA,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA
43999,6.92423,7.82717,8.62148,NA,NA,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA
44032,7.65323,7.59991,8.58482,NA,NA,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA
44237,7.77757,7.3031,9.06262,NA,NA,NA,NA,NA,NA,NA,NA,0.697,NA,NA,NA,NA
44416,8.11304,7.5888,8.34904,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA,NA
44794,6.83378,7.43076,7.91652,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA
44969,7.65473,7.49676,7.55128,NA,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA
45082,7.47887,6.97016,8.41857,NA,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA
45234,6.1192,7.53616,7.95101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249,NA,NA,NA
45451,8.09115,7.06873,7.02127,NA,NA,0.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45777,7.882,7.50362,7.39955,NA,NA,0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45907,8.26641,7.56551,7.84927,NA,NA,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46055,8.14077,6.84052,8.17048,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46375,9.07769,7.98893,7.65406,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46526,9.65952,8.20054,8.05497,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA
46741,8.1475,8.02555,7.67915,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA,NA
46876,6.73702,7.64713,7.70408,NA,NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA
47030,7.6356,7.04395,8.92071,NA,NA,NA,NA,NA,NA,NA,NA,0.681,NA,NA,NA,NA
47361,7.61399,7.93172,8.6368,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA
47577,7.33984,7.43534,9.12951,NA,NA,NA,NA,NA,0.535,NA,NA,NA,NA,NA,NA,NA
