id,x0,x1,x2,fitness5,fitness4.5,fitness4,fitness3.5,fitness2.5,fitness3,fitness2,fitness1,fitness-0.5,fitness-1,fitness-1.5,fitness0,fitness-2,fitness-3,fitness0.5
5259,5,4.11739,4.98605,3580.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5525,4.89641,4.79874,4.18929,8079.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5741,5,3.22057,5,3043.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5906,4.25838,3.91059,4.79301,1479.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6167,5,4.33595,5,5176.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6231,4.79444,5,4.90955,NA,NA,7602.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6439,5,5,5,NA,NA,2981.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6641,4.28164,5,4.8475,NA,NA,2745.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6942,5,4.41537,5,3515.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7118,5,4.34507,5,5052.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7338,4.99804,4.54712,5,NA,982.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7583,5,5,4.27728,5552.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7664,5,5,4.25173,5494.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7894,4.24324,5,5,5446.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8040,4.71054,5,4.16471,4430.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8394,5,5,4.04813,1561.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8489,4.73703,5,3.37383,NA,3333.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8774,5,5,4.2408,5429.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8953,5,5,4.31807,5368.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9184,5,5,4.88825,NA,NA,4581.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9260,5,4.75785,5,NA,3749.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9455,5,5,5,NA,NA,5216.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9736,3.81427,4.35831,4.60478,844.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9806,4.45379,3.93401,5,356.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10159,4.83102,4.79648,4.40464,6407.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10273,5,4.37657,4.25142,NA,1396.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10416,4.72663,4.77745,5,NA,NA,NA,4129.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10686,5,5,4.66149,NA,NA,NA,801.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10992,4.99912,5,4.73356,NA,NA,1951.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11017,5,4.87599,4.84975,NA,NA,4289.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11309,5,4.32194,5,5332.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11521,5,4.34549,5,NA,4029.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11755,4.64921,4.98212,4.97521,NA,4287.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11813,4.68633,4.15547,5,3803.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12099,5,4.87071,4.64709,NA,5195.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12307,5,4.20663,4.64205,3484.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,4.82945,3.20669,5,3875.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12690,5,3.4652,5,1335.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12990,5,3.31264,5,NA,3072.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13145,5,4.6638,5,NA,NA,NA,1570.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13394,5,5,5,NA,NA,NA,2991.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13561,3.47478,5,5,1500.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13678,4.19817,5,5,NA,3659.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13908,4.07377,2.67566,4.69653,560.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14009,5,4.26665,4.66034,4305.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14364,5,3.80102,4.40517,1385.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14454,5,4.40854,4.60724,1863.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14688,5,4.84819,4.06349,2635.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14805,5,4.31406,3.8616,1640.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15131,5,5,4.26139,5531.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15328,3.72929,4.34616,5,1794.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15456,5,4.24314,5,5445.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15603,4.73355,3.34712,5,3260.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15963,5,4.8183,5,NA,NA,NA,3379.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16044,4.89377,5,4.88869,NA,NA,NA,NA,4291.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16272,5,4.06435,4.84635,NA,1272.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16423,4.80233,4.42714,5,4057.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16665,5,4.33114,5,NA,NA,1705.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16822,4.40091,5,4.7869,NA,2134.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17106,4.83831,5,4.0456,1979.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17360,4.06595,4.07183,4.03714,100.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17553,4.25099,4.95262,4.79496,8242.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17736,4.33459,5,5,6222.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17900,3.64561,4.07383,5,NA,611.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18200,5,5,4.3267,NA,4381.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18235,5,5,4.47143,1628.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18470,4.41401,5,4.66457,2833.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18635,5,5,4.28661,5541.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18969,5,4.71026,4.2835,5567.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19025,5,5,4.16547,4424.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19296,4.92314,4.58077,3.20018,1311.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19560,5,5,3.13482,2379.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19743,5,4.98057,4.31048,5881.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850,5,4.33515,4.90214,6745.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20051,4.75409,4.96258,4.31354,7235.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20312,4.80683,5,5,NA,NA,NA,3515.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20476,5,4.7179,5,NA,5676.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20731,5,5,4.17425,4586.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20990,3.8872,4.92488,4.44384,857.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21156,5,3.87402,5,NA,NA,NA,NA,NA,561.959,NA,NA,NA,NA,NA,NA,NA,NA,NA
21370,4.88429,3.16758,5,NA,NA,1097.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21583,4.77357,4.62638,4.59264,NA,473.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21739,5,5,4.05981,1879.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21992,5,5,4.12116,3465.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22149,5,4.32242,4.684,4737.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22366,5,4.45211,5,2336.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22451,5,4.09734,3.66729,NA,257.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22796,5,5,5,NA,NA,4764.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22990,5,4.49033,5,1078.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23009,5,4.16355,4.74176,4926.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23362,4.82551,2.70888,4.38389,1353.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23581,4.08733,5,5,2615.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23637,4.34886,3.86509,5,1490.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23946,5,1.25635,5,2409.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24165,5,-0.316461,5,NA,NA,NA,NA,NA,1931.319,NA,NA,NA,NA,NA,NA,NA,NA,NA
24319,5,-0.650571,5,9843.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24500,4.83498,-2.0962,5,6359.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24604,4.25345,-1.17842,5,NA,2450.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24881,4.94819,-1.38427,5,NA,7839.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25118,5,-1.22833,4.81527,NA,5060.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25341,5,0.261796,4.66477,NA,NA,NA,NA,636.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25411,3.92662,0.573909,4.3704,NA,NA,NA,NA,-0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25657,5,1.31433,5,3355.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25839,4.79343,1.4039,5,2856.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26074,5,2.15546,5,1642.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26251,5,0.365797,5,3383.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26503,5,-0.930406,3.75522,3875.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26635,5,-1.41269,4.42901,4131.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26812,5,-1.58899,4.26703,5184.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27043,5,-1.32715,5,NA,5330.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27361,5,-1.62575,5,NA,NA,4030.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27490,5,-1.9759,5,5451.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27638,5,-0.91848,5,10935.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27956,5,-0.57384,4.76807,7556.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28162,5,-0.832566,5,12896.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28334,5,-0.639431,4.73892,11765.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28442,5,-0.555006,5,5289.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28655,5,1.20704,5,1938.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28833,4.89756,-0.720955,4.90717,20456.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29144,5,-0.94473,5,9927.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29376,5,-1.94403,5,5134.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29406,5,-0.993712,5,7624.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29617,5,-1.43923,5,NA,7377.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29879,5,-1.93837,5,5056.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30119,4.74687,-1.30553,4.40133,4869.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30220,5,-1.98001,5,5476.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30496,5,-2.10719,4.86398,6152.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30769,5,-4.15574,4.81366,2088.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30809,5,-3.21771,4.5819,392.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31023,5,-2.04531,5,5408.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31257,5,-2.17104,5,3247.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31464,5,-1.93866,5,5060.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31637,4.8183,-2.38311,5,NA,NA,NA,881.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31860,5,-1.5045,4.9177,NA,NA,4226.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32160,5,-0.695602,4.71156,NA,5875.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32282,5,0.500479,4.92353,2607.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32455,5,0.735733,4.28985,2383.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32660,5,-1.05167,4.93492,5381.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32912,5,-0.966615,4.85714,11945.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33097,5,-0.825818,5,12957.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33220,4.68592,0.830094,4.24822,1907.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33537,4.20092,-0.173672,5,4389.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33788,5,-1.33505,4.14951,4912.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33892,3.86585,-1.57077,4.40624,1134.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34054,5,-1.82134,4.69436,1858.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34367,3.77153,-2.12845,4.98503,1667.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34478,5,-2.0887,5,4918.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34613,4.76474,-1.92056,5,NA,5529.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34951,5,-1.06664,5,3455.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35055,5,-1.50715,4.2327,6578.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35220,5,-0.960677,4.94009,13514.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35395,5,-1.82185,3.891,573.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35696,5,-0.632799,4.62833,7382.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35835,4.22363,-0.92963,4.47413,1123.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36086,5,-2.1223,5,4335.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36233,5,-1.88809,5,5401.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36482,5,-0.656259,5,10068.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36642,4.76081,-1.31926,4.0125,801.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36977,5,-1.83732,5,2553.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116,5,-0.872886,5,12246.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37202,4.35198,-0.926026,5,NA,2845.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37514,4.12077,-2.36157,5,644.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37716,4.64083,-4.21329,5,254.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37868,5,-5,5,3172.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38166,4.32242,-4.36027,5,1089.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38197,4.97898,-4.84248,5,2045.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38543,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38796,4.91306,-5,4.56027,824.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39067,5,-5,5,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39343,5,-5,5,3395.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39541,5,-4.58909,5,NA,997.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39783,5,-2.91977,5,2834.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39876,5,-2.72668,4.24511,314.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134,5,-3.85864,4.63361,1197.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40204,5,-3.8537,5,1809.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40556,4.69987,-2.4015,5,NA,NA,1269.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40716,5,-2.94988,5,NA,NA,1118.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40901,5,-3.07987,5,3518.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41004,5,-4.00739,4.89523,3412.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41347,5,-4.02473,5,2548.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41456,5,-4.01789,5,2574.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41776,4.96987,-1.95691,5,5946.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41828,5,-1.05411,5,4214.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42153,5,-0.834067,5,12881.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42282,5,-0.585825,4.99944,6901.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42423,5,-0.987275,3.67183,2321.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42753,5,-0.359165,4.35286,2533.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42918,4.06718,-1.3245,4.65032,1758.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43059,4.72728,-1.35879,5,NA,4915.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43350,5,-0.638729,4.79666,11898.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43538,5,-0.803519,5,17179.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43585,5,0.486006,5,NA,2064.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43948,5,0.487393,4.72035,1893.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44002,5,-1.14987,5,NA,1088.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44364,5,-0.778113,5,12982.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44442,4.27626,-1.36299,5,7042.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44633,4.8726,-1.96386,5,NA,3857.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44807,4.5472,-0.869158,5,NA,2009.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,5,-1.35845,4.08397,3180.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
