id,x0,x1,x2,fitness-5,fitness-3.5,fitness-2.5,fitness-1,fitness-2,fitness-1.5,fitness-3,fitness-4,fitness-0.5,fitness-4.5
7851,1.60463,2.57698,-5,NA,NA,NA,-90.078,NA,NA,NA,NA,NA,NA
8184,2.00764,0.817697,-5,NA,NA,-46.517,NA,NA,NA,NA,NA,NA,NA
8278,1.39778,1.59596,-5,NA,NA,NA,NA,NA,NA,NA,-65.831,NA,NA
8515,0.444805,1.77239,-5,NA,NA,-60.41,NA,NA,NA,NA,NA,NA,NA
8794,1.72989,0.546938,-4.78594,NA,NA,NA,NA,NA,NA,-74.5,NA,NA,NA
8862,1.63997,0.702544,-4.22237,NA,NA,NA,NA,-61.767,NA,NA,NA,NA,NA
9158,1.86247,1.45467,-4.16513,NA,NA,NA,NA,-6.834,NA,NA,NA,NA,NA
9226,0.476409,1.39833,-5,NA,NA,NA,NA,-71.95,NA,NA,NA,NA,NA
9472,1.16335,2.13852,-4.04592,NA,NA,NA,NA,-32.13,NA,NA,NA,NA,NA
9646,1.71616,1.77634,-3.39185,NA,NA,NA,NA,NA,-58.747,NA,NA,NA,NA
9968,1.95672,1.67003,-4.26649,NA,NA,-2.758,NA,NA,NA,NA,NA,NA,NA
10005,1.62006,2.30497,-3.54127,NA,NA,NA,NA,NA,-47.262,NA,NA,NA,NA
10260,1.78496,3.08713,-4.16772,NA,NA,NA,NA,NA,-77.395,NA,NA,NA,NA
10449,1.2023,1.93784,-4.64255,NA,NA,NA,NA,-19.961,NA,NA,NA,NA,NA
10665,0.621272,2.28636,-4.69974,NA,NA,-46.952,NA,NA,NA,NA,NA,NA,NA
10947,0.707069,1.72905,-5,NA,NA,NA,-87.949,NA,NA,NA,NA,NA,NA
11161,1.74423,2.67039,-3.97957,NA,NA,NA,NA,-36.799,NA,NA,NA,NA,NA
11285,2.56372,2.46458,-4.22294,NA,NA,NA,NA,-34.329,NA,NA,NA,NA,NA
11404,2.31351,1.98467,-5,NA,NA,NA,NA,NA,-35.134,NA,NA,NA,NA
11792,2.12554,2.35708,-4.4407,NA,NA,NA,NA,-19.048,NA,NA,NA,NA,NA
11827,2.71162,1.40867,-5,NA,NA,NA,NA,-39.771,NA,NA,NA,NA,NA
12041,1.64724,2.05769,-5,NA,NA,-18.781,NA,NA,NA,NA,NA,NA,NA
12346,1.91713,3.17578,-4.86616,NA,NA,NA,NA,-68.242,NA,NA,NA,NA,NA
12491,2.3763,3.55425,-5,NA,NA,NA,NA,-98.693,NA,NA,NA,NA,NA
12708,2.42849,2.73333,-5,NA,NA,-47.553,NA,NA,NA,NA,NA,NA,NA
12980,3.41777,1.99796,-5,NA,NA,NA,NA,NA,NA,-79.126,NA,NA,NA
13118,2.53066,2.02514,-5,NA,-47.886,NA,NA,NA,NA,NA,NA,NA,NA
13265,2.41735,1.80766,-3.38705,NA,NA,NA,NA,NA,NA,NA,-80.895,NA,NA
13574,1.93578,0.873161,-3.90113,NA,-53.118,NA,NA,NA,NA,NA,NA,NA,NA
13757,1.43412,2.05728,-3.54512,NA,NA,NA,NA,NA,NA,-32.124,NA,NA,NA
13907,1.45752,2.69837,-2.61692,NA,NA,NA,NA,NA,NA,-102.892,NA,NA,NA
14042,2.63983,2.22468,-4.10259,NA,NA,-29.507,NA,NA,NA,NA,NA,NA,NA
14252,2.44098,1.05212,-3.96758,NA,NA,NA,NA,NA,-56.919,NA,NA,NA,NA
14449,1.46127,1.26434,-4.96016,NA,NA,NA,-80.514,NA,NA,NA,NA,NA,NA
14614,1.17275,2.48557,-4.68196,NA,NA,NA,NA,-35.52,NA,NA,NA,NA,NA
14886,0.848429,2.14488,-5,NA,NA,NA,NA,NA,NA,-41.558,NA,NA,NA
15017,2.06192,1.55444,-5,NA,NA,-17.023,NA,NA,NA,NA,NA,NA,NA
15394,2.12018,1.93494,-4.45368,NA,NA,NA,NA,-13.803,NA,NA,NA,NA,NA
15560,3.22746,0.565393,-4.12608,NA,NA,NA,NA,-97.967,NA,NA,NA,NA,NA
15696,2.71254,0.971604,-3.39442,NA,NA,NA,NA,NA,-94.665,NA,NA,NA,NA
15820,2.35081,2.36509,-3.07945,NA,NA,NA,NA,NA,NA,-77.106,NA,NA,NA
16185,1.70339,3.18644,-3.1098,NA,NA,-91.272,NA,NA,NA,NA,NA,NA,NA
16214,2.61974,3.14058,-3.77279,NA,NA,-75.511,NA,NA,NA,NA,NA,NA,NA
16422,1.05128,1.98604,-2.65955,NA,NA,NA,NA,NA,-122.824,NA,NA,NA,NA
16604,0.742373,3.15641,-4.21753,NA,NA,NA,NA,-77.406,NA,NA,NA,NA,NA
16927,1.47807,3.20992,-4.37404,NA,NA,-56.536,NA,NA,NA,NA,NA,NA,NA
17013,2.41137,2.15136,-4.07818,NA,NA,-20.617,NA,NA,NA,NA,NA,NA,NA
17392,1.95774,2.34586,-4.02366,NA,NA,NA,NA,-20.33,NA,NA,NA,NA,NA
17418,3.18202,1.80214,-4.25619,NA,NA,-48.782,NA,NA,NA,NA,NA,NA,NA
17682,1.69524,2.65885,-4.55143,NA,NA,NA,-66.559,NA,NA,NA,NA,NA,NA
17886,1.7224,2.49598,-5,NA,NA,NA,NA,NA,-59.794,NA,NA,NA,NA
18077,1.24226,2.00997,-4.78669,NA,NA,-17.895,NA,NA,NA,NA,NA,NA,NA
18395,2.7525,3.00822,-5,NA,NA,-70.877,NA,NA,NA,NA,NA,NA,NA
18516,2.2393,2.84198,-5,NA,NA,-47.359,NA,NA,NA,NA,NA,NA,NA
18749,2.03362,1.63131,-4.51588,NA,NA,NA,NA,NA,NA,-7.438,NA,NA,NA
18892,1.11267,2.09908,-4.30012,NA,NA,NA,NA,NA,NA,-23.898,NA,NA,NA
19037,0.386849,2.08156,-4.67961,NA,NA,-55.786,NA,NA,NA,NA,NA,NA,NA
19245,1.6245,0.505887,-5,NA,NA,NA,NA,NA,NA,-84.964,NA,NA,NA
19508,1.5288,1.33449,-4.25002,NA,-28.189,NA,NA,NA,NA,NA,NA,NA,NA
19708,1.66617,0.833694,-5,NA,NA,-52.956,NA,NA,NA,NA,NA,NA,NA
19812,1.61509,1.2986,-4.66035,NA,NA,-9.498,NA,NA,NA,NA,NA,NA,NA
20033,2.18452,1.21345,-3.88827,NA,NA,-18.574,NA,NA,NA,NA,NA,NA,NA
20367,1.84913,1.90716,-3.80409,NA,NA,-12.183,NA,NA,NA,NA,NA,NA,NA
20502,1.16321,1.87909,-4.75508,NA,NA,NA,NA,NA,NA,-22.947,NA,NA,NA
20798,1.23673,2.0866,-5,NA,-41.237,NA,NA,NA,NA,NA,NA,NA,NA
20864,0.735546,2.29292,-4.71978,NA,NA,-41.684,NA,NA,NA,NA,NA,NA,NA
21176,0.978165,2.33235,-5,NA,NA,NA,-88.475,NA,NA,NA,NA,NA,NA
21379,1.27696,0.890563,-5,NA,NA,-59.833,NA,NA,NA,NA,NA,NA,NA
21462,2.11936,1.21939,-4.68875,NA,NA,NA,NA,NA,NA,-28.118,NA,NA,NA
21621,2.43664,1.14066,-5,NA,NA,-34.804,NA,NA,NA,NA,NA,NA,NA
21974,1.60679,1.99471,-5,NA,NA,NA,NA,NA,NA,-24.414,NA,NA,NA
22055,1.46499,2.07698,-5,NA,NA,NA,NA,NA,NA,-22.726,NA,NA,NA
22215,2.17349,2.98643,-5,NA,NA,NA,NA,-54.711,NA,NA,NA,NA,NA
22502,1.43273,2.09301,-5,NA,NA,NA,NA,NA,-35.751,NA,NA,NA,NA
22783,1.04732,1.88654,-5,NA,-43.024,NA,NA,NA,NA,NA,NA,NA,NA
22943,1.1163,2.51221,-5,NA,-53.215,NA,NA,NA,NA,NA,NA,NA,NA
23015,0.671541,2.57494,-4.65593,NA,NA,NA,NA,NA,NA,-52.829,NA,NA,NA
23268,1.73785,2.83022,-4.70659,NA,NA,-36.763,NA,NA,NA,NA,NA,NA,NA
23505,2.12236,2.25374,-4.23557,NA,NA,NA,NA,NA,-36.145,NA,NA,NA,NA
23663,1.83623,1.61019,-4.1053,NA,NA,NA,NA,NA,NA,NA,NA,-117.468,NA
23995,2.16953,2.64224,-4.8176,NA,NA,NA,NA,-42.495,NA,NA,NA,NA,NA
24142,2.35066,2.00694,-4.41195,NA,NA,NA,NA,-15.411,NA,NA,NA,NA,NA
24208,1.89811,1.43706,-5,NA,NA,-16.682,NA,NA,NA,NA,NA,NA,NA
24549,1.53483,1.95717,-4.06984,NA,NA,NA,NA,-17.712,NA,NA,NA,NA,NA
24681,2.51006,2.1668,-4.47442,NA,NA,NA,NA,-23.491,NA,NA,NA,NA,NA
24971,1.16078,2.78147,-5,NA,NA,NA,NA,NA,-66.122,NA,NA,NA,NA
25003,1.62469,1.76907,-4.88941,NA,NA,NA,NA,NA,NA,-14.553,NA,NA,NA
25300,1.41336,2.07785,-5,NA,NA,NA,NA,NA,NA,-24.722,NA,NA,NA
25564,1.43176,1.82172,-5,NA,NA,-18.284,NA,NA,NA,NA,NA,NA,NA
25787,2.27794,1.49092,-5,NA,-52.599,NA,NA,NA,NA,NA,NA,NA,NA
25950,2.20754,1.95538,-5,NA,NA,NA,NA,NA,NA,-24.729,NA,NA,NA
26122,2.27227,1.2891,-3.43139,NA,NA,NA,NA,-38.508,NA,NA,NA,NA,NA
26348,1.36563,1.66441,-5,NA,NA,NA,NA,NA,NA,-20.784,NA,NA,NA
26477,1.51196,2.4508,-5,NA,NA,NA,NA,NA,NA,-30.803,NA,NA,NA
26792,2.81138,2.47982,-5,NA,-66.573,NA,NA,NA,NA,NA,NA,NA,NA
26925,2.39785,2.6859,-4.51469,NA,-48.905,NA,NA,NA,NA,NA,NA,NA,NA
27166,0.338054,2.30457,-4.59332,NA,NA,NA,NA,-65.924,NA,NA,NA,NA,NA
27286,1.56449,0.910068,-4.1608,NA,NA,NA,NA,-32.885,NA,NA,NA,NA,NA
27565,1.65489,0.629835,-4.18501,NA,NA,NA,NA,-66.768,NA,NA,NA,NA,NA
27647,2.45702,1.89805,-5,NA,-54.773,NA,NA,NA,NA,NA,NA,NA,NA
27818,1.85529,1.84473,-5,NA,NA,-15.486,NA,NA,NA,NA,NA,NA,NA
28044,1.09945,1.39012,-5,NA,NA,NA,NA,NA,NA,NA,-80.035,NA,NA
28228,1.0481,0.857242,-5,NA,NA,-73.856,NA,NA,NA,NA,NA,NA,NA
28468,3.07937,0.876689,-4.25073,NA,-79.235,NA,NA,NA,NA,NA,NA,NA,NA
28747,2.76692,2.20922,-3.99196,NA,NA,NA,NA,NA,NA,NA,-84.824,NA,NA
28994,2.42214,2.81688,-3.88485,NA,NA,NA,NA,NA,-60.268,NA,NA,NA,NA
29026,2.42674,1.60651,-4.09648,NA,NA,NA,NA,-25.095,NA,NA,NA,NA,NA
29227,1.63986,2.14771,-5,NA,NA,NA,NA,NA,-42.089,NA,NA,NA,NA
29574,1.82561,2.5197,-4.2602,NA,NA,NA,NA,NA,NA,-23.222,NA,NA,NA
29689,1.66427,1.25855,-4.3108,NA,NA,NA,NA,-15.706,NA,NA,NA,NA,NA
29877,1.16729,1.05854,-5,NA,NA,NA,NA,NA,NA,NA,-73.323,NA,NA
30030,1.23296,1.27105,-4.32196,NA,NA,-17.915,NA,NA,NA,NA,NA,NA,NA
30205,0.864834,2.1447,-5,NA,NA,NA,NA,NA,NA,-47.964,NA,NA,NA
30532,2.14979,1.85483,-4.94713,NA,NA,NA,NA,-23.704,NA,NA,NA,NA,NA
30603,0.930512,2.12197,-4.70645,NA,NA,NA,NA,-38.109,NA,NA,NA,NA,NA
30885,1.99828,1.79775,-4.41961,NA,NA,-4.857,NA,NA,NA,NA,NA,NA,NA
31065,2.37777,1.09572,-4.36326,NA,NA,-22.515,NA,NA,NA,NA,NA,NA,NA
31257,2.03668,1.85812,-4.80265,NA,NA,NA,NA,NA,NA,-14.477,NA,NA,NA
31596,2.02732,1.5693,-5,NA,NA,-17.2,NA,NA,NA,NA,NA,NA,NA
31673,1.86975,1.85928,-4.41627,NA,NA,NA,NA,NA,-35.537,NA,NA,NA,NA
31806,1.80165,2.08041,-4.77912,NA,-26.742,NA,NA,NA,NA,NA,NA,NA,NA
32156,2.26863,2.32614,-4.89108,NA,-39.191,NA,NA,NA,NA,NA,NA,NA,NA
32281,1.3825,3.05203,-5,NA,NA,-56.892,NA,NA,NA,NA,NA,NA,NA
32470,1.14724,1.06381,-5,NA,NA,NA,NA,-54.73,NA,NA,NA,NA,NA
32716,1.00798,1.16455,-4.87639,NA,NA,NA,NA,NA,NA,-42.873,NA,NA,NA
32964,1.61738,1.08756,-4.46317,NA,-32.469,NA,NA,NA,NA,NA,NA,NA,NA
33004,0.55767,1.75132,-4.89777,NA,NA,NA,NA,NA,NA,NA,-105.956,NA,NA
33272,1.48046,1.8658,-4.79976,NA,NA,-11.604,NA,NA,NA,NA,NA,NA,NA
33451,2.75562,2.27569,-4.97747,NA,NA,NA,NA,NA,NA,NA,-102.078,NA,NA
33666,2.68311,1.83922,-5,NA,-46.658,NA,NA,NA,NA,NA,NA,NA,NA
33854,2.13226,1.67891,-5,NA,-38.387,NA,NA,NA,NA,NA,NA,NA,NA
34160,1.43637,2.18164,-5,NA,NA,NA,NA,NA,NA,-26.325,NA,NA,NA
34242,1.15021,1.26701,-5,NA,NA,NA,NA,NA,NA,NA,-64.937,NA,NA
34540,1.03559,1.58524,-3.83127,NA,NA,NA,NA,NA,NA,-34.79,NA,NA,NA
34750,1.91073,1.46828,-4.59213,NA,-28.682,NA,NA,NA,NA,NA,NA,NA,NA
34875,2.42146,1.33677,-4.51328,NA,-45.29,NA,NA,NA,NA,NA,NA,NA,NA
35146,0.741815,2.36322,-5,NA,-62.84,NA,NA,NA,NA,NA,NA,NA,NA
35355,0.866505,1.69237,-4.77149,NA,NA,NA,NA,NA,NA,NA,-78.322,NA,NA
35584,1.23575,0.515825,-5,NA,NA,-100.089,NA,NA,NA,NA,NA,NA,NA
35650,2.29825,0.823907,-4.18612,NA,NA,-36.386,NA,NA,NA,NA,NA,NA,NA
35848,1.50039,2.15963,-4.21401,NA,NA,-10.65,NA,NA,NA,NA,NA,NA,NA
36168,2.65187,1.82536,-5,NA,NA,NA,-64.673,NA,NA,NA,NA,NA,NA
36203,2.65733,2.29898,-5,NA,NA,-38.695,NA,NA,NA,NA,NA,NA,NA
36596,2.02945,0.40555,-5,NA,NA,NA,NA,NA,NA,-86.235,NA,NA,NA
36793,1.36961,0.656502,-4.6986,NA,NA,NA,NA,NA,NA,-67.796,NA,NA,NA
36837,1.51021,1.22284,-5,NA,NA,NA,NA,NA,NA,-26.542,NA,NA,NA
37177,2.63346,0.386208,-5,NA,NA,NA,NA,NA,NA,-94.044,NA,NA,NA
37346,1.63453,1.48634,-5,NA,NA,-17.411,NA,NA,NA,NA,NA,NA,NA
37499,1.50806,2.66824,-5,NA,-49.667,NA,NA,NA,NA,NA,NA,NA,NA
37638,1.61772,0.599351,-4.75649,NA,-79.589,NA,NA,NA,NA,NA,NA,NA,NA
37997,1.54679,1.1151,-5,NA,-56.559,NA,NA,NA,NA,NA,NA,NA,NA
38164,1.73739,0.89749,-5,NA,NA,NA,NA,NA,NA,-48.947,NA,NA,NA
38256,1.04622,2.26667,-4.87205,NA,NA,NA,NA,NA,NA,-35.464,NA,NA,NA
38448,1.56456,1.5322,-5,NA,NA,NA,NA,NA,NA,NA,-73.513,NA,NA
38662,1.81505,1.62447,-4.47174,NA,NA,NA,NA,NA,NA,-4.577,NA,NA,NA
38876,2.23524,1.85534,-5,NA,NA,NA,-82.706,NA,NA,NA,NA,NA,NA
39051,2.42326,2.64042,-4.36086,NA,NA,NA,NA,-38.217,NA,NA,NA,NA,NA
39233,2.64182,1.5261,-4.3191,NA,NA,-22.988,NA,NA,NA,NA,NA,NA,NA
39543,2.1963,2.23453,-4.21842,NA,NA,-15.171,NA,NA,NA,NA,NA,NA,NA
39769,1.64581,2.17582,-4.68975,NA,NA,NA,NA,-14.759,NA,NA,NA,NA,NA
39858,2.54213,2.30888,-4.40021,NA,NA,-26.137,NA,NA,NA,NA,NA,NA,NA
40190,1.90641,4.00954,-5,NA,NA,NA,NA,NA,NA,-130.751,NA,NA,NA
40398,2.53211,1.83667,-4.57681,NA,NA,NA,NA,-26.753,NA,NA,NA,NA,NA
40553,2.9477,2.08168,-4.40603,NA,NA,NA,NA,-49.033,NA,NA,NA,NA,NA
40744,2.39009,1.18388,-4.72195,NA,NA,NA,NA,-29.698,NA,NA,NA,NA,NA
40978,1.65214,2.24068,-5,NA,NA,NA,-67.314,NA,NA,NA,NA,NA,NA
41146,0.838044,2.72314,-4.47407,NA,NA,NA,-88.516,NA,NA,NA,NA,NA,NA
41351,1.47108,1.88049,-4.24393,NA,NA,-5.38,NA,NA,NA,NA,NA,NA,NA
41401,1.93858,2.4934,-4.91252,NA,NA,-26.918,NA,NA,NA,NA,NA,NA,NA
41603,2.36532,1.6336,-4.56607,NA,-27.457,NA,NA,NA,NA,NA,NA,NA,NA
41933,2.01943,1.90694,-5,NA,NA,NA,NA,NA,NA,-27.356,NA,NA,NA
42121,1.76302,2.0135,-4.72034,NA,-31.7,NA,NA,NA,NA,NA,NA,NA,NA
42329,1.75987,1.15351,-5,NA,NA,-25.946,NA,NA,NA,NA,NA,NA,NA
42446,1.32649,2.07579,-5,NA,NA,NA,NA,-29.668,NA,NA,NA,NA,NA
42696,1.19303,2.19937,-4.23671,NA,NA,-19.189,NA,NA,NA,NA,NA,NA,NA
42892,2.33941,1.02511,-5,NA,NA,-37.755,NA,NA,NA,NA,NA,NA,NA
43039,1.56072,0.790463,-4.87481,NA,NA,NA,NA,-58.702,NA,NA,NA,NA,NA
43308,2.76814,2.41276,-4.85832,NA,NA,NA,-86.521,NA,NA,NA,NA,NA,NA
43501,1.1547,1.94197,-4.80931,NA,NA,NA,-66.135,NA,NA,NA,NA,NA,NA
43710,1.4428,1.73284,-3.79337,NA,NA,NA,NA,-24.149,NA,NA,NA,NA,NA
43904,2.17776,1.29634,-3.62206,NA,NA,NA,NA,NA,NA,-27.955,NA,NA,NA
44048,3.11773,3.40423,-3.42763,NA,NA,-139.918,NA,NA,NA,NA,NA,NA,NA
44287,2.37471,2.73167,-5,NA,NA,-46.132,NA,NA,NA,NA,NA,NA,NA
44490,2.81443,1.25647,-4.24007,NA,NA,NA,NA,-37.216,NA,NA,NA,NA,NA
44615,2.77187,1.07601,-4.75366,NA,NA,NA,NA,-51.724,NA,NA,NA,NA,NA
44934,2.32261,2.24847,-4.55438,NA,-32.769,NA,NA,NA,NA,NA,NA,NA,NA
45155,2.78305,1.50178,-4.05467,NA,NA,NA,NA,NA,NA,-32.71,NA,NA,NA
45301,2.01158,1.63381,-4.53367,NA,NA,-4.895,NA,NA,NA,NA,NA,NA,NA
45527,0.456803,1.51313,-4.99413,NA,NA,-67.111,NA,NA,NA,NA,NA,NA,NA
45793,1.42332,1.31742,-5,NA,NA,NA,NA,NA,-57.224,NA,NA,NA,NA
45807,1.84376,0.887741,-4.70264,NA,NA,NA,NA,NA,NA,NA,-92.187,NA,NA
46173,2.83344,2.18893,-4.55204,NA,-52.661,NA,NA,NA,NA,NA,NA,NA,NA
46280,2.47098,1.79609,-4.62008,NA,NA,NA,NA,NA,NA,-19.038,NA,NA,NA
46517,1.69329,1.21526,-3.96434,NA,NA,NA,NA,NA,NA,-18.728,NA,NA,NA
46671,1.89738,1.51246,-4.47926,NA,NA,-2.283,NA,NA,NA,NA,NA,NA,NA
46878,1.70301,2.40087,-5,NA,NA,NA,NA,-29.437,NA,NA,NA,NA,NA
47128,1.07961,2.0681,-4.3575,NA,NA,NA,-81.937,NA,NA,NA,NA,NA,NA
47241,1.83203,3.08451,-4.75395,NA,NA,-51.329,NA,NA,NA,NA,NA,NA,NA
47448,1.82591,2.14896,-4.59965,NA,NA,-10.727,NA,NA,NA,NA,NA,NA,NA
47601,2.22988,2.4878,-4.54703,NA,NA,NA,NA,NA,NA,-25.685,NA,NA,NA
47860,3.08397,2.43594,-5,NA,NA,NA,NA,NA,NA,-68.55,NA,NA,NA
48093,2.65628,2.67495,-3.80299,NA,NA,NA,NA,NA,NA,-65.043,NA,NA,NA
48226,1.57392,1.22423,-4.10132,NA,NA,NA,NA,NA,NA,-22.751,NA,NA,NA
48475,0.812931,1.82493,-4.38657,NA,NA,-30.81,NA,NA,NA,NA,NA,NA,NA
48632,1.98023,1.5746,-5,NA,NA,NA,NA,NA,NA,-18.033,NA,NA,NA
48930,2.33883,2.12412,-5,NA,NA,NA,NA,NA,NA,-33.166,NA,NA,NA
49094,1.93296,2.47527,-4.22578,NA,NA,-20.063,NA,NA,NA,NA,NA,NA,NA
49238,1.80177,2.49122,-5,NA,NA,NA,NA,-33.633,NA,NA,NA,NA,NA
49579,2.12421,2.75652,-5,NA,NA,-42.143,NA,NA,NA,NA,NA,NA,NA
49732,1.71006,2.22158,-4.19784,NA,NA,NA,NA,NA,NA,-13.164,NA,NA,NA
49949,2.12393,0.522687,-4.4723,NA,NA,-61.797,NA,NA,NA,NA,NA,NA,NA
50044,3.0284,1.57251,-4.1541,NA,NA,-40.838,NA,NA,NA,NA,NA,NA,NA
50368,2.30887,0.886133,-5,NA,NA,-48.992,NA,NA,NA,NA,NA,NA,NA
50548,2.26806,2.14407,-5,NA,NA,NA,NA,-29.221,NA,NA,NA,NA,NA
50659,1.8565,2.31983,-5,NA,NA,NA,NA,NA,-52.454,NA,NA,NA,NA
50895,1.98798,3.02996,-5,NA,NA,-53.474,NA,NA,NA,NA,NA,NA,NA
51192,1.41141,2.52736,-4.91689,NA,NA,-31.063,NA,NA,NA,NA,NA,NA,NA
51242,1.30639,2.31219,-5,NA,NA,NA,NA,NA,NA,-29.816,NA,NA,NA
51421,1.35329,2.20713,-3.8011,NA,NA,NA,NA,-25.068,NA,NA,NA,NA,NA
51771,2.48798,2.22731,-3.95819,NA,NA,NA,NA,NA,NA,-32.812,NA,NA,NA
51902,1.88955,1.17499,-4.38184,NA,NA,NA,-65.202,NA,NA,NA,NA,NA,NA
52043,1.69987,1.56157,-3.78873,NA,NA,NA,NA,NA,-50.475,NA,NA,NA,NA
52339,2.51422,1.13021,-5,NA,NA,NA,NA,NA,NA,-38.652,NA,NA,NA
52425,1.31548,2.16977,-5,NA,NA,NA,NA,NA,-42.312,NA,NA,NA,NA
52605,0.892758,2.26665,-5,NA,NA,NA,NA,-47.272,NA,NA,NA,NA,NA
52843,1.45584,2.27111,-5,NA,NA,-24.739,NA,NA,NA,NA,NA,NA,NA
53025,1.12467,1.06106,-5,NA,-61.091,NA,NA,NA,NA,NA,NA,NA,NA
53292,1.71088,0.991289,-4.69475,NA,NA,NA,NA,NA,NA,NA,-59.141,NA,NA
53422,2.60269,1.83771,-4.89958,NA,-50.299,NA,NA,NA,NA,NA,NA,NA,NA
53617,2.19893,2.35394,-4.58114,NA,-34.287,NA,NA,NA,NA,NA,NA,NA,NA
53820,2.35134,2.82776,-4.56298,NA,-66.12,NA,NA,NA,NA,NA,NA,NA,NA
54195,2.21195,1.94885,-4.58502,NA,NA,NA,NA,NA,NA,-21.603,NA,NA,NA
54291,1.51366,1.15055,-4.97553,NA,-56.845,NA,NA,NA,NA,NA,NA,NA,NA
54416,1.80685,1.15061,-4.78981,NA,-51.388,NA,NA,NA,NA,NA,NA,NA,NA
54669,2.08261,2.98574,-4.73884,NA,NA,NA,NA,NA,NA,-49.723,NA,NA,NA
54925,2.91953,2.32328,-4.89476,NA,NA,NA,NA,NA,NA,-57.893,NA,NA,NA
55084,2.98141,1.71824,-5,NA,-71.909,NA,NA,NA,NA,NA,NA,NA,NA
55275,1.95082,1.74722,-5,NA,-38.853,NA,NA,NA,NA,NA,NA,NA,NA
