id,x0,x1,x2,fitness-2,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness-1,fitness-4
30117,2.19927,1.1218,-4.22208,NA,-15.614,NA,NA,NA,NA,NA
30257,2.05917,0.837446,-3.90008,NA,-36.258,NA,NA,NA,NA,NA
30536,0.961392,2.13231,-3.92921,NA,NA,-43.826,NA,NA,NA,NA
30721,1.88718,1.48731,-5,NA,NA,-34.524,NA,NA,NA,NA
30989,1.40965,1.07371,-4.9435,NA,-33.707,NA,NA,NA,NA,NA
31011,0.969401,1.65647,-4.76832,-36.431,NA,NA,NA,NA,NA,NA
31302,1.70101,1.18655,-4.17251,NA,-10.112,NA,NA,NA,NA,NA
31591,1.23387,1.4318,-5,NA,-26.542,NA,NA,NA,NA,NA
31723,1.12513,1.67302,-5,NA,-27.866,NA,NA,NA,NA,NA
31827,1.50818,1.21561,-3.85555,-29.759,NA,NA,NA,NA,NA,NA
32045,2.28232,1.66679,-4.74388,NA,NA,NA,-19.179,NA,NA,NA
32368,2.81772,1.65145,-4.15589,-33.669,NA,NA,NA,NA,NA,NA
32547,2.13368,1.60616,-3.62679,NA,-20.264,NA,NA,NA,NA,NA
32709,1.1293,1.76243,-3.48261,NA,NA,NA,-45.384,NA,NA,NA
32897,1.61528,1.58181,-3.82387,NA,-9.43,NA,NA,NA,NA,NA
33114,2.25602,2.46177,-3.6679,NA,-34.815,NA,NA,NA,NA,NA
33322,2.62649,1.86357,-4.34993,NA,NA,NA,NA,-33.887,NA,NA
33598,2.20909,0.684365,-3.72834,NA,-56.455,NA,NA,NA,NA,NA
33761,1.11383,1.62548,-4.33269,NA,NA,NA,-16.307,NA,NA,NA
33923,0.841808,2.0251,-4.36385,NA,NA,-57.398,NA,NA,NA,NA
34104,1.52806,2.12916,-3.89651,NA,-14.69,NA,NA,NA,NA,NA
34367,1.93794,1.073,-5,-35.507,NA,NA,NA,NA,NA,NA
34434,2.65957,2.42376,-4.35893,NA,NA,NA,-35.818,NA,NA,NA
34701,1.49435,2.04837,-4.23437,NA,NA,NA,-12.7,NA,NA,NA
34949,2.44822,2.21935,-3.64168,NA,-33.64,NA,NA,NA,NA,NA
35050,1.98147,1.91294,-5,NA,NA,-34.047,NA,NA,NA,NA
35337,2.16066,2.06465,-5,NA,NA,NA,-30.396,NA,NA,NA
35538,2.00402,1.41598,-5,NA,NA,NA,-19.282,NA,NA,NA
35733,1.4971,2.70109,-5,NA,-38.81,NA,NA,NA,NA,NA
35859,2.08177,2.15343,-4.32588,NA,-10.725,NA,NA,NA,NA,NA
36074,2.0327,2.29629,-4.49937,NA,-15.095,NA,NA,NA,NA,NA
36256,3.41767,1.8017,-4.48227,NA,-62.945,NA,NA,NA,NA,NA
36448,1.81194,2.23896,-4.70778,NA,-14.741,NA,NA,NA,NA,NA
36780,1.74097,2.58173,-5,-36.054,NA,NA,NA,NA,NA,NA
36844,1.7456,2.3708,-5,NA,NA,NA,-29.624,NA,NA,NA
37070,1.77198,1.60571,-4.45584,NA,NA,-22.01,NA,NA,NA,NA
37384,1.78088,1.21258,-5,NA,NA,NA,-23.581,NA,NA,NA
37495,1.70548,2.1267,-4.31468,NA,-8.668,NA,NA,NA,NA,NA
37698,1.74752,2.08288,-5,-23.722,NA,NA,NA,NA,NA,NA
37813,0.395973,2.64142,-4.72401,NA,NA,NA,-70.173,NA,NA,NA
38009,2.7173,2.01281,-4.26939,NA,NA,NA,-28.215,NA,NA,NA
38306,2.15669,2.15512,-4.32887,NA,-13.001,NA,NA,NA,NA,NA
38429,1.27953,1.10689,-4.12766,NA,-23.805,NA,NA,NA,NA,NA
38653,1.30678,1.29613,-5,-35.084,NA,NA,NA,NA,NA,NA
38804,1.97087,1.31265,-4.49964,NA,-7.339,NA,NA,NA,NA,NA
39098,2.05209,1.15509,-5,NA,NA,NA,-30.013,NA,NA,NA
39377,1.69123,1.07961,-5,NA,NA,-44.819,NA,NA,NA,NA
39524,2.03971,0.942638,-5,NA,-39.723,NA,NA,NA,NA,NA
39619,2.37584,1.60045,-5,NA,NA,NA,-27.273,NA,NA,NA
39843,1.72682,1.45322,-5,NA,-16.635,NA,NA,NA,NA,NA
40155,1.72531,1.8125,-4.61129,NA,NA,NA,-14.229,NA,NA,NA
40258,1.23036,2.63634,-3.18264,NA,-62.945,NA,NA,NA,NA,NA
40494,0.486098,1.51465,-3.81361,NA,-59.138,NA,NA,NA,NA,NA
40648,1.84793,1.15948,-4.7278,NA,-16.199,NA,NA,NA,NA,NA
40921,1.63901,2.06076,-4.18514,NA,NA,NA,-14.701,NA,NA,NA
41037,1.34514,2.19604,-5,NA,NA,-38.196,NA,NA,NA,NA
41395,1.9121,2.55688,-5,NA,NA,-56.985,NA,NA,NA,NA
41572,2.56936,2.05002,-4.67901,NA,NA,NA,-25.621,NA,NA,NA
41717,2.1913,2.57317,-4.75065,NA,-29.278,NA,NA,NA,NA,NA
41912,2.73112,2.47113,-5,NA,-47.181,NA,NA,NA,NA,NA
42158,2.95253,2.31591,-4.15089,NA,NA,NA,NA,-66.163,NA,NA
42335,1.78916,1.16915,-4.57847,-15.695,NA,NA,NA,NA,NA,NA
42544,1.99426,1.42522,-4.90586,NA,NA,NA,NA,-37.597,NA,NA
42757,1.65979,1.45539,-5,NA,NA,NA,NA,-36.616,NA,NA
42989,1.86619,1.72973,-4.86865,NA,NA,NA,-21.223,NA,NA,NA
43054,0.930836,1.47618,-4.68357,NA,-31.251,NA,NA,NA,NA,NA
43396,0.770474,1.5484,-5,NA,NA,NA,-53.426,NA,NA,NA
43475,0.935565,1.07533,-5,NA,NA,-67.891,NA,NA,NA,NA
43713,1.90758,1.21071,-4.40817,NA,-7.989,NA,NA,NA,NA,NA
43801,1.31214,1.21339,-4.12723,NA,-16.653,NA,NA,NA,NA,NA
44197,2.29078,1.0722,-4.53256,NA,NA,NA,-26.459,NA,NA,NA
44271,2.61976,1.88277,-4.11605,-26.852,NA,NA,NA,NA,NA,NA
44592,1.92831,1.06372,-3.43058,NA,NA,NA,-46.292,NA,NA,NA
44799,1.80325,1.13985,-3.91805,NA,NA,NA,-24.897,NA,NA,NA
44837,1.82567,1.53306,-3.31964,-39.177,NA,NA,NA,NA,NA,NA
45021,1.44613,2.21241,-3.46653,NA,-33.762,NA,NA,NA,NA,NA
45350,2.51928,1.70739,-3.73283,-29.372,NA,NA,NA,NA,NA,NA
45544,1.74291,2.12515,-5,-22.583,NA,NA,NA,NA,NA,NA
45613,2.08551,0.812372,-4.9648,-49.046,NA,NA,NA,NA,NA,NA
45822,2.17707,1.11035,-5,-32.932,NA,NA,NA,NA,NA,NA
46182,2.14274,2.0323,-4.02037,-14.38,NA,NA,NA,NA,NA,NA
46324,1.05725,2.19076,-4.45331,NA,-22.722,NA,NA,NA,NA,NA
46571,1.95705,2.45363,-5,-37.362,NA,NA,NA,NA,NA,NA
46717,1.3933,1.88885,-5,-23.564,NA,NA,NA,NA,NA,NA
46932,2.38104,1.47728,-4.87374,NA,NA,NA,-21.326,NA,NA,NA
47189,1.87544,2.15303,-5,NA,NA,NA,-29.909,NA,NA,NA
47235,1.81388,2.12871,-4.21648,NA,-8.411,NA,NA,NA,NA,NA
47539,2.07874,0.719201,-4.16797,NA,-44.052,NA,NA,NA,NA,NA
47771,2.22543,2.04921,-3.92868,NA,-16.087,NA,NA,NA,NA,NA
47820,2.07714,1.90307,-4.48021,NA,-6.947,NA,NA,NA,NA,NA
48173,2.32213,1.70658,-3.80345,NA,NA,NA,NA,-44.881,NA,NA
48283,3.12077,1.60035,-4.04382,NA,-48.511,NA,NA,NA,NA,NA
48497,2.72611,1.3612,-3.55345,NA,NA,NA,NA,-58.947,NA,NA
48661,3.121,1.37879,-4.44306,-49.567,NA,NA,NA,NA,NA,NA
48978,2.06442,1.719,-5,NA,NA,NA,NA,NA,-57.501,NA
49032,1.78902,1.93328,-4.78902,NA,NA,NA,NA,-34.995,NA,NA
49381,0.459189,2.59363,-4.16248,NA,NA,NA,-61.908,NA,NA,NA
49402,2.70813,1.94334,-3.70966,NA,-36.263,NA,NA,NA,NA,NA
49638,2.48892,2.60883,-4.45132,NA,NA,NA,-42.269,NA,NA,NA
49858,1.91829,1.95476,-5,NA,NA,NA,-24.59,NA,NA,NA
50041,2.56983,2.03604,-4.18265,NA,-22.13,NA,NA,NA,NA,NA
50250,1.3341,2.17135,-4.70681,NA,NA,NA,-18.413,NA,NA,NA
50444,1.04979,2.41428,-5,NA,-38.079,NA,NA,NA,NA,NA
50783,1.04768,2.06086,-4.05019,NA,NA,NA,-23.292,NA,NA,NA
50824,1.01251,1.56409,-5,NA,-35.637,NA,NA,NA,NA,NA
51114,0.631413,2.35766,-5,-60.885,NA,NA,NA,NA,NA,NA
51210,1.0992,1.98127,-5,NA,-28.347,NA,NA,NA,NA,NA
51548,1.10152,2.09584,-5,-37.196,NA,NA,NA,NA,NA,NA
51773,1.47855,1.7643,-5,-19.613,NA,NA,NA,NA,NA,NA
51920,2.63934,1.26429,-4.82255,NA,-31.972,NA,NA,NA,NA,NA
52068,2.70695,1.81124,-3.92963,NA,NA,NA,-31.908,NA,NA,NA
52226,1.68541,1.5427,-3.33757,NA,-34.125,NA,NA,NA,NA,NA
52551,1.30794,1.47942,-4.87268,NA,-18.749,NA,NA,NA,NA,NA
52766,2.21432,1.88208,-5,NA,NA,NA,-25.218,NA,NA,NA
52935,3.04465,2.38446,-4.49478,NA,NA,-64.379,NA,NA,NA,NA
53033,2.58848,1.82378,-5,NA,-29.884,NA,NA,NA,NA,NA
53344,2.28517,1.86002,-5,NA,NA,NA,NA,NA,NA,-63.71
53562,2.09973,2.01583,-5,NA,NA,NA,-26.606,NA,NA,NA
53734,3.06699,2.08675,-5,NA,NA,NA,-56.815,NA,NA,NA
53859,1.8335,1.13584,-5,-34.296,NA,NA,NA,NA,NA,NA
54167,1.80561,1.13074,-4.26093,NA,-9.844,NA,NA,NA,NA,NA
54252,2.34285,1.34535,-4.41256,NA,NA,NA,-15.58,NA,NA,NA
54533,1.86408,1.39624,-3.84689,NA,NA,NA,NA,NA,NA,-55.315
54757,2.04217,2.7618,-3.7635,NA,-40.592,NA,NA,NA,NA,NA
54985,1.87018,2.93329,-3.97243,NA,-42.367,NA,NA,NA,NA,NA
55099,2.27114,1.8302,-5,-26.745,NA,NA,NA,NA,NA,NA
55298,1.8908,1.72312,-4.2347,NA,NA,NA,NA,-18.216,NA,NA
55559,1.67524,1.43158,-4.13437,NA,NA,NA,NA,-30.647,NA,NA
55680,1.94478,1.12431,-4.55309,-22.013,NA,NA,NA,NA,NA,NA
55928,1.48862,2.02371,-4.95338,NA,-17.808,NA,NA,NA,NA,NA
56117,1.20728,1.85203,-4.03909,NA,-14.644,NA,NA,NA,NA,NA
56364,1.47627,1.76593,-5,-26.552,NA,NA,NA,NA,NA,NA
56550,1.35764,1.3635,-4.3112,NA,NA,NA,-18.503,NA,NA,NA
56723,1.68326,2.27511,-4.96606,NA,-22.732,NA,NA,NA,NA,NA
56931,1.37468,2.2056,-3.27731,NA,-41.316,NA,NA,NA,NA,NA
57148,1.86911,2.1552,-4.74373,NA,-12.689,NA,NA,NA,NA,NA
57247,2.65131,1.81784,-4.93358,NA,NA,NA,NA,NA,NA,-66.59
57407,2.5077,1.77948,-4.84869,NA,-22.814,NA,NA,NA,NA,NA
57738,2.29706,2.07212,-5,NA,NA,NA,-30.66,NA,NA,NA
57949,1.79487,1.91405,-4.26407,NA,-3.334,NA,NA,NA,NA,NA
58065,1.94894,1.21038,-5,NA,-23.282,NA,NA,NA,NA,NA
58226,1.34849,1.21463,-4.52929,NA,-16.282,NA,NA,NA,NA,NA
58486,1.20876,1.61663,-5,NA,NA,NA,-29.331,NA,NA,NA
58628,1.83646,1.52579,-5,NA,-16.58,NA,NA,NA,NA,NA
58933,2.04097,1.49614,-5,NA,NA,NA,NA,NA,NA,-51.215
59124,1.48879,1.38662,-5,-23.854,NA,NA,NA,NA,NA,NA
59322,1.69685,1.26684,-5,NA,NA,-38.476,NA,NA,NA,NA
59453,2.50052,1.795,-5,NA,NA,NA,-31.639,NA,NA,NA
59766,2.53201,1.34031,-5,NA,NA,NA,-32.618,NA,NA,NA
59846,2.20699,1.41674,-5,NA,-21.351,NA,NA,NA,NA,NA
60057,2.20537,1.68725,-4.38023,NA,-7.695,NA,NA,NA,NA,NA
60354,2.08265,0.811241,-4.99035,NA,-46.807,NA,NA,NA,NA,NA
60521,1.98642,1.63003,-4.21386,NA,-2.189,NA,NA,NA,NA,NA
60640,2.72536,1.86618,-5,-44.199,NA,NA,NA,NA,NA,NA
60933,1.83259,1.77906,-5,-20.183,NA,NA,NA,NA,NA,NA
61045,2.14831,1.5398,-4.61289,NA,-7.665,NA,NA,NA,NA,NA
61208,2.14093,1.88913,-3.87634,NA,-13.611,NA,NA,NA,NA,NA
61522,2.10488,1.21455,-3.64394,-33.859,NA,NA,NA,NA,NA,NA
61795,2.82,1.82797,-4.57664,NA,-30.031,NA,NA,NA,NA,NA
61986,2.96957,1.22219,-4.97487,NA,NA,NA,-54.922,NA,NA,NA
62101,2.17488,1.58001,-5,NA,NA,NA,-25.699,NA,NA,NA
62354,1.80291,1.69804,-5,NA,NA,NA,-17.859,NA,NA,NA
62488,1.88914,1.59827,-5,NA,NA,-30.271,NA,NA,NA,NA
62708,1.98316,2.12659,-4.28394,NA,-8.677,NA,NA,NA,NA,NA
62911,2.08673,2.0577,-4.56936,NA,-10.094,NA,NA,NA,NA,NA
63152,1.60421,1.83174,-5,NA,NA,NA,NA,-35.408,NA,NA
63291,1.21255,2.12513,-5,NA,NA,NA,-36.92,NA,NA,NA
63411,1.42093,2.22622,-4.76219,NA,-19.278,NA,NA,NA,NA,NA
63684,1.90619,2.47834,-5,NA,NA,NA,-34.816,NA,NA,NA
63907,1.99221,1.2809,-5,NA,NA,NA,-33.118,NA,NA,NA
64102,2.23949,2.27048,-4.9832,NA,NA,NA,-34.814,NA,NA,NA
64274,1.94733,1.42793,-5,NA,NA,NA,-22.584,NA,NA,NA
64599,2.00113,1.63921,-4.22674,-9.881,NA,NA,NA,NA,NA,NA
64662,2.13233,2.43107,-4.08564,NA,-22.341,NA,NA,NA,NA,NA
64914,2.11053,1.62091,-3.80565,NA,-11.986,NA,NA,NA,NA,NA
65154,2.16386,2.11176,-4.3622,NA,NA,NA,-12.485,NA,NA,NA
65201,2.03425,1.88693,-4.80584,NA,-10.834,NA,NA,NA,NA,NA
65583,1.03212,2.49732,-5,-51.875,NA,NA,NA,NA,NA,NA
65639,2.07034,1.67025,-4.1389,NA,NA,NA,NA,-25.085,NA,NA
65888,1.80467,2.04563,-4.75352,NA,-10.577,NA,NA,NA,NA,NA
66007,2.28406,1.60601,-4.62793,NA,-10.913,NA,NA,NA,NA,NA
66211,2.09145,1.95698,-5,NA,-18.088,NA,NA,NA,NA,NA
66547,1.07856,2.37187,-5,-40.279,NA,NA,NA,NA,NA,NA
66621,1.92546,1.76112,-5,NA,-15.074,NA,NA,NA,NA,NA
66903,1.25347,2.11477,-5,NA,NA,NA,-26.105,NA,NA,NA
67032,1.50016,1.32022,-5,-34.6,NA,NA,NA,NA,NA,NA
67265,1.47435,1.46837,-5,NA,NA,-38.388,NA,NA,NA,NA
67459,1.50059,2.94764,-5,NA,NA,-64.439,NA,NA,NA,NA
67660,2.17539,1.74168,-4.4303,-13.682,NA,NA,NA,NA,NA,NA
67871,1.91932,2.07462,-4.94848,-19.405,NA,NA,NA,NA,NA,NA
