id,x0,x1,x2,fitness-1,fitness-2.5,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-2
7224,-1.81852,2.97871,-4.40372,NA,NA,NA,-95.469,NA,NA,NA,NA
7571,-2.23296,3.57598,-4.27994,NA,NA,NA,-62.04,NA,NA,NA,NA
7719,-0.631118,2.99722,-4.08062,NA,NA,NA,NA,-205.559,NA,NA,NA
7803,-1.27767,2.35062,-4.58049,NA,NA,NA,-201.388,NA,NA,NA,NA
8181,-1.55116,4.47966,-3.97754,NA,NA,NA,-101.795,NA,NA,NA,NA
8376,-1.58466,4.10682,-4.18874,NA,NA,NA,NA,-54.136,NA,NA,NA
8423,-2.48697,4.42928,-3.78901,NA,NA,NA,-107.139,NA,NA,NA,NA
8632,-4.12872,2.86556,-3.69914,NA,NA,NA,NA,-200.008,NA,NA,NA
8980,-4.92077,2.66743,-4.54483,NA,NA,NA,-274.883,NA,NA,NA,NA
9182,-2.77335,2.9311,-4.20509,NA,NA,NA,-121.34,NA,NA,NA,NA
9281,-4.11602,3.22228,-4.1834,NA,NA,NA,NA,NA,-178.818,NA,NA
9428,-3.01014,3.79022,-4.29057,NA,NA,NA,-79.782,NA,NA,NA,NA
9790,-1.4249,3.58483,-4.76685,NA,NA,NA,NA,-16.928,NA,NA,NA
9893,-2.85861,4.85241,-4.33827,NA,NA,NA,NA,NA,-93.785,NA,NA
10067,-2.55932,3.92756,-4.39134,NA,NA,NA,-64.715,NA,NA,NA,NA
10264,-3.03988,3.4193,-4.44835,NA,NA,NA,NA,-85.543,NA,NA,NA
10579,-2.25294,4.82834,-4.68285,NA,NA,NA,-69.344,NA,NA,NA,NA
10706,-1.11352,4.412,-4.17694,NA,NA,NA,NA,-78.963,NA,NA,NA
10975,-1.49005,4.11902,-4.06577,NA,NA,NA,-86.173,NA,NA,NA,NA
11008,-1.58548,3.80988,-3.75961,NA,NA,NA,NA,-89.645,NA,NA,NA
11332,-1.75899,4.66285,-3.56522,NA,NA,NA,NA,-109.12,NA,NA,NA
11512,-1.99849,3.74415,-4.07466,NA,NA,NA,NA,-66.672,NA,NA,NA
11714,-2.56814,3.68031,-4.93181,NA,NA,NA,NA,NA,-55.254,NA,NA
11850,-1.62589,4.45837,-4.06865,NA,NA,NA,-102.039,NA,NA,NA,NA
12148,-3.48831,4.46129,-3.22607,NA,NA,NA,-184.109,NA,NA,NA,NA
12350,-2.19014,3.67988,-2.87314,NA,NA,NA,NA,NA,NA,NA,-353.634
12403,-1.81326,3.42604,-4.61263,NA,NA,NA,NA,-27.936,NA,NA,NA
12740,-1.90648,4.72148,-3.95608,NA,NA,NA,NA,NA,-83.617,NA,NA
12802,-1.06258,4.00044,-4.29624,NA,NA,NA,-84.836,NA,NA,NA,NA
13012,-1.19587,4.12564,-3.49166,NA,NA,NA,-168.473,NA,NA,NA,NA
13294,-0.403359,4.82713,-4.15149,NA,NA,NA,NA,-205.829,NA,NA,NA
13537,-1.54709,3.55759,-4.51169,NA,NA,NA,-19.796,NA,NA,NA,NA
13677,-1.04884,4.81907,-4.50378,NA,NA,NA,NA,NA,NA,-149.772,NA
13926,-0.970034,4.40836,-4.61789,NA,-262.124,NA,NA,NA,NA,NA,NA
14136,-1.96551,4.39006,-4.7726,NA,-163.122,NA,NA,NA,NA,NA,NA
14252,-1.97967,3.80867,-4.99684,NA,NA,NA,NA,-32.589,NA,NA,NA
14401,-1.97688,3.42099,-4.98373,NA,NA,NA,NA,-21.243,NA,NA,NA
14601,-1.21945,3.6933,-4.87267,NA,NA,NA,-14.432,NA,NA,NA,NA
14801,-1.57805,4.04206,-4.26864,NA,NA,NA,NA,-50.238,NA,NA,NA
15181,-2.79554,4.0341,-4.80433,NA,NA,NA,NA,-66.129,NA,NA,NA
15388,-3.07597,4.76321,-4.64103,NA,NA,NA,-102.259,NA,NA,NA,NA
15589,-1.94861,4.6582,-3.97361,NA,NA,NA,-91.671,NA,NA,NA,NA
15684,-2.48326,4.18157,-4.13715,NA,NA,NA,-82.931,NA,NA,NA,NA
15850,-3.64486,4.17903,-3.55789,NA,NA,NA,-162.546,NA,NA,NA,NA
16093,-2.45032,4.06849,-2.50449,NA,NA,NA,NA,NA,-198.374,NA,NA
16387,-2.79765,4.53608,-3.4811,NA,NA,NA,-130.137,NA,NA,NA,NA
16590,-3.53546,4.56307,-4.57921,NA,NA,NA,NA,NA,NA,-137.868,NA
16624,-3.46022,4.59204,-4.91591,NA,NA,NA,NA,NA,NA,-128.909,NA
16818,-3.21355,4.47683,-4.61583,NA,NA,NA,NA,NA,NA,-107.549,NA
17171,-1.91777,4.54631,-3.26124,NA,NA,NA,NA,-124.759,NA,NA,NA
17257,-0.878342,4.84118,-4.55293,NA,NA,NA,-124.377,NA,NA,NA,NA
17408,-1.65657,4.76789,-4.59328,NA,NA,NA,NA,-66.987,NA,NA,NA
17705,-1.36415,2.88945,-4.07568,NA,NA,NA,-169.996,NA,NA,NA,NA
17843,-1.37584,2.64541,-4.63854,NA,NA,NA,NA,-131.799,NA,NA,NA
18062,-1.22851,2.64737,-4.70324,NA,NA,NA,NA,NA,-143.925,NA,NA
18212,-0.615244,3.25121,-4.61848,NA,NA,NA,NA,NA,-154.461,NA,NA
18554,-0.868116,4.83371,-4.79435,NA,NA,NA,NA,NA,NA,-118.236,NA
18642,-0.976322,4.56671,-4.33969,NA,NA,NA,-115.648,NA,NA,NA,NA
18951,-0.606183,3.87284,-4.35592,NA,NA,NA,NA,NA,NA,-207.146,NA
19186,-0.0990705,4.82872,-3.64571,NA,NA,NA,NA,-294.262,NA,NA,NA
19226,-0.968502,4.25239,-3.30618,NA,NA,NA,-215.428,NA,NA,NA,NA
19454,-0.810741,3.82571,-3.52249,NA,NA,NA,NA,-198.352,NA,NA,NA
19643,-1.66946,4.5302,-4.26768,NA,NA,NA,NA,-75.569,NA,NA,NA
19875,-2.08045,2.5882,-4.10739,NA,NA,NA,-148.016,NA,NA,NA,NA
20194,-2.49619,3.50012,-3.48315,NA,NA,NA,NA,-116.303,NA,NA,NA
20229,-2.53373,1.85815,-4.09898,NA,NA,NA,-216.26,NA,NA,NA,NA
20504,-1.9559,2.6788,-4.12515,NA,NA,NA,-150.855,NA,NA,NA,NA
20646,-1.82291,3.71619,-4.07056,NA,NA,NA,NA,-63.654,NA,NA,NA
20964,-3.47121,4.28013,-3.83553,NA,NA,NA,NA,NA,-128.869,NA,NA
21092,-2.99662,4.11888,-4.98072,NA,NA,NA,NA,NA,-74.295,NA,NA
21274,-2.44915,4.52857,-4.8257,NA,NA,NA,-66.529,NA,NA,NA,NA
21597,-2.33054,3.95178,-3.4928,NA,NA,NA,NA,NA,-104.09,NA,NA
21638,-2.53707,4.93552,-3.1264,NA,NA,NA,-163.046,NA,NA,NA,NA
21979,-1.99419,4.97573,-3.43916,NA,NA,NA,-132.355,NA,NA,NA,NA
22112,-1.89506,4.6729,-4.72952,NA,NA,NA,NA,NA,-57.592,NA,NA
22310,-0.62459,4.96997,-3.43213,NA,NA,NA,-210.477,NA,NA,NA,NA
22451,-0.39701,4.97692,-3.67738,NA,NA,NA,NA,-223.95,NA,NA,NA
22768,-0.491689,3.86242,-2.63125,NA,NA,NA,NA,-216.38,NA,NA,NA
22821,-1.65767,4.76352,-2.87777,NA,NA,NA,NA,-164.47,NA,NA,NA
23188,-1.96841,3.61899,-3.26331,NA,NA,NA,NA,NA,-135.424,NA,NA
23312,-3.67731,3.91741,-3.72262,NA,NA,NA,NA,NA,-151.114,NA,NA
23535,-4.32964,4.29428,-4.65841,NA,NA,NA,NA,NA,-184.802,NA,NA
23646,-4.38782,3.66534,-4.05823,NA,NA,NA,NA,-196.357,NA,NA,NA
23977,-3.97643,3.914,-4.41098,NA,NA,NA,NA,-144.02,NA,NA,NA
24025,-3.75693,4.07352,-4.84195,NA,NA,NA,-124.16,NA,NA,NA,NA
24314,-2.71396,4.19544,-4.83987,NA,NA,NA,-80.593,NA,NA,NA,NA
24579,-1.50228,4.70472,-4.98566,NA,NA,NA,NA,-68.954,NA,NA,NA
24789,-1.16112,3.3042,-4.57696,NA,NA,NA,NA,-66.098,NA,NA,NA
24851,-3.79495,3.20345,-3.42571,NA,NA,NA,NA,-182.518,NA,NA,NA
25199,-3.94587,3.59738,-4.89673,NA,NA,-189.831,NA,NA,NA,NA,NA
25237,-4.80725,4.39568,-4.43068,NA,NA,NA,NA,NA,NA,NA,-352.588
25538,-4.83352,2.77493,-4.05743,NA,NA,-313.734,NA,NA,NA,NA,NA
25668,-3.30323,2.76399,-3.94837,NA,NA,-205.957,NA,NA,NA,NA,NA
25876,-2.10199,3.50103,-4.25362,NA,NA,NA,-68.277,NA,NA,NA,NA
26140,-2.41678,3.33825,-4.97118,NA,NA,NA,NA,-71.728,NA,NA,NA
26285,-1.13118,4.39622,-4.48674,NA,NA,NA,NA,-62.129,NA,NA,NA
26460,-1.12544,4.48534,-4.87997,NA,NA,NA,NA,-66.401,NA,NA,NA
26786,-1.75664,3.89954,-4.18519,NA,NA,NA,NA,NA,-48.941,NA,NA
26967,-1.93642,2.79593,-4.94886,NA,NA,NA,-92.994,NA,NA,NA,NA
27075,-1.5015,2.66147,-4.82954,NA,NA,NA,NA,-113.317,NA,NA,NA
27246,-1.55474,4.82178,-4.46455,NA,NA,NA,NA,-78.031,NA,NA,NA
27457,-1.99186,3.28062,-4.63651,NA,NA,NA,-55.699,NA,NA,NA,NA
27795,-1.6475,4.07808,-4.50836,NA,NA,NA,-35.69,NA,NA,NA,NA
27976,-1.44046,2.43652,-4.94479,NA,NA,NA,-107.422,NA,NA,NA,NA
28083,-2.30281,2.69563,-4.51304,NA,NA,NA,NA,NA,-106.514,NA,NA
28233,-2.17815,2.42816,-4.3903,NA,NA,NA,NA,NA,-135.156,NA,NA
28533,-2.84703,2.95292,-3.08288,NA,NA,NA,NA,NA,-162.818,NA,NA
28758,-2.69357,3.67784,-3.19421,NA,NA,NA,NA,NA,-142.232,NA,NA
28813,-3.22175,4.32828,-2.94194,NA,NA,NA,NA,-179.205,NA,NA,NA
29018,-2.46783,4.89164,-4.53122,NA,NA,NA,NA,NA,-80.962,NA,NA
29355,-3.69948,4.10546,-2.7587,NA,NA,NA,-226.104,NA,NA,NA,NA
29543,-1.8563,4.32137,-4.34009,NA,NA,NA,-55.754,NA,NA,NA,NA
29765,-3.02932,3.00464,-4.01486,NA,NA,NA,NA,-117.066,NA,NA,NA
29983,-3.24384,2.4193,-4.60044,NA,NA,NA,NA,-141.045,NA,NA,NA
30086,-2.94825,1.78619,-4.8792,NA,NA,NA,NA,-197.274,NA,NA,NA
30294,-3.96416,2.45794,-4.9455,NA,NA,NA,NA,NA,-189.847,NA,NA
30524,-3.88789,2.85015,-4.26019,NA,NA,NA,NA,NA,-174.607,NA,NA
30621,-3.70724,3.94554,-4.29774,NA,NA,NA,NA,NA,-127.107,NA,NA
30997,-1.87049,4.01506,-4.75698,NA,NA,NA,NA,NA,NA,-75.826,NA
31056,-1.58222,2.76639,-4.89679,NA,NA,NA,NA,-95.099,NA,NA,NA
31243,-1.21089,3.44958,-4.91661,NA,NA,NA,-26.437,NA,NA,NA,NA
31547,-2.27547,4.36159,-4.15244,NA,NA,NA,NA,NA,-72.412,NA,NA
31743,-2.59668,4.39244,-4.87856,NA,NA,NA,-86.305,NA,NA,NA,NA
31972,-2.07251,3.46837,-4.72999,NA,NA,NA,NA,-27.735,NA,NA,NA
32001,-2.39721,4.7063,-4.63121,NA,NA,NA,NA,NA,NA,-100.659,NA
32324,-2.83824,4.70054,-4.46649,NA,NA,NA,NA,NA,NA,-104.401,NA
32589,-1.55761,3.88577,-4.83869,NA,NA,NA,NA,NA,NA,-49.476,NA
32756,-1.7348,3.36775,-3.51791,NA,NA,-251.519,NA,NA,NA,NA,NA
32871,-1.49864,4.0416,-4.1969,NA,NA,-157.829,NA,NA,NA,NA,NA
33163,-1.40348,4.07031,-3.24728,NA,NA,NA,NA,NA,NA,-179.578,NA
33279,-2.32536,3.75695,-4.39195,NA,NA,NA,NA,NA,NA,-114.599,NA
33455,-0.692066,3.29667,-3.93018,NA,NA,-293.101,NA,NA,NA,NA,NA
33728,-1.72336,2.88174,-4.61817,NA,NA,NA,-131.861,NA,NA,NA,NA
33892,-0.685093,3.57068,-4.5992,NA,NA,NA,NA,NA,-120.443,NA,NA
34137,-2.1396,4.76467,-4.2212,NA,NA,NA,NA,-75.718,NA,NA,NA
34316,-2.73901,3.27273,-3.65446,NA,NA,NA,NA,NA,NA,-156.941,NA
34598,-1.91316,3.73362,-4.42915,NA,NA,NA,NA,-43.568,NA,NA,NA
34665,-2.08677,3.52999,-4.62464,NA,NA,-120.847,NA,NA,NA,NA,NA
34837,-2.11219,4.64194,-4.63608,NA,NA,NA,NA,-61.481,NA,NA,NA
35122,-3.19659,4.78652,-4.18869,NA,NA,NA,-109.557,NA,NA,NA,NA
35313,-1.25329,4.80564,-3.89788,NA,NA,NA,NA,NA,NA,-155.353,NA
35547,-1.59664,4.61646,-3.9648,NA,NA,NA,NA,NA,-89.969,NA,NA
35608,-2.16932,4.13253,-4.71144,NA,NA,NA,NA,-44.253,NA,NA,NA
35862,-2.95693,3.58281,-4.65108,NA,NA,NA,-89.89,NA,NA,NA,NA
36146,-2.59554,2.41482,-3.97337,NA,NA,NA,-165.554,NA,NA,NA,NA
36354,-2.1045,2.98958,-4.62375,NA,NA,NA,-82.762,NA,NA,NA,NA
36578,-1.27784,3.84412,-4.73365,NA,NA,NA,-24.003,NA,NA,NA,NA
36678,-1.92106,4.39838,-4.46302,NA,NA,NA,NA,-56.293,NA,NA,NA
36926,-2.73361,4.86989,-4.96144,NA,NA,NA,NA,NA,-82.528,NA,NA
37136,-3.18428,3.98245,-3.59964,NA,NA,NA,-127.172,NA,NA,NA,NA
37284,-3.78106,3.12099,-4.40795,NA,NA,NA,NA,NA,NA,-162.486,NA
37425,-4.05511,4.02514,-3.57509,NA,NA,NA,-195.923,NA,NA,NA,NA
37623,-4.377,4.87483,-3.48572,NA,NA,NA,NA,-246.901,NA,NA,NA
37911,-4.1499,4.63828,-3.12462,NA,NA,NA,NA,-240.104,NA,NA,NA
38137,-4.70886,2.29908,-2.43281,NA,NA,NA,NA,-402.76,NA,NA,NA
38278,-4.97585,2.49383,-2.37721,NA,NA,NA,NA,NA,NA,-457.764,NA
38532,-2.44417,2.65212,-2.93159,NA,NA,NA,NA,-207.132,NA,NA,NA
38751,-0.325782,3.71625,-3.18007,NA,NA,NA,NA,NA,-228.557,NA,NA
38922,-1.37899,3.35857,-4.6017,NA,NA,-147.046,NA,NA,NA,NA,NA
39055,-2.2406,4.08643,-3.76891,NA,NA,-176.168,NA,NA,NA,NA,NA
39329,-2.41096,4.19465,-4.33922,NA,-160.861,NA,NA,NA,NA,NA,NA
39408,-2.58339,4.24505,-4.50082,NA,NA,-140.94,NA,NA,NA,NA,NA
39609,-3.45066,4.26971,-4.8332,NA,NA,NA,NA,-105.445,NA,NA,NA
39972,-2.9983,4.5064,-4.53671,NA,NA,NA,NA,NA,-85.958,NA,NA
40092,-1.97776,4.78303,-4.08195,NA,NA,NA,NA,NA,NA,-113.542,NA
40388,-2.91588,4.95624,-4.10869,NA,NA,-147.026,NA,NA,NA,NA,NA
40436,-3.62078,3.32999,-3.67019,NA,NA,NA,NA,NA,NA,-190.97,NA
40764,-2.99398,3.37838,-2.75051,NA,NA,NA,NA,NA,NA,-197.846,NA
40959,-3.18895,3.53818,-3.27373,NA,NA,NA,-154.019,NA,NA,NA,NA
41027,-3.5346,4.16864,-3.34179,NA,NA,NA,NA,-156.85,NA,NA,NA
41328,-4.57162,3.72531,-3.39129,NA,NA,NA,-253.972,NA,NA,NA,NA
41457,-4.78948,4.18911,-4.76977,NA,NA,NA,NA,NA,NA,-250.071,NA
41750,-3.97948,3.05743,-4.31727,NA,NA,-199.89,NA,NA,NA,NA,NA
41884,-3.33355,4.2333,-3.59854,NA,NA,NA,NA,NA,-139.038,NA,NA
42087,-3.4562,3.48858,-3.8288,NA,NA,NA,NA,-132.514,NA,NA,NA
42348,-2.7874,3.11309,-3.51647,NA,NA,NA,-149.738,NA,NA,NA,NA
42415,-2.09166,3.10887,-4.8984,NA,NA,NA,NA,NA,-61.074,NA,NA
42689,-1.01967,3.75253,-4.69171,NA,NA,NA,NA,NA,-85.276,NA,NA
42819,-1.36615,4.48547,-4.78621,NA,NA,NA,-66.896,NA,NA,NA,NA
43048,-0.845901,4.87627,-4.01628,NA,NA,NA,-147.171,NA,NA,NA,NA
43353,-2.30464,4.83353,-4.91811,NA,NA,NA,NA,NA,-72.897,NA,NA
43403,-3.08492,4.7294,-4.58269,NA,NA,-142.225,NA,NA,NA,NA,NA
43620,-3.79839,4.43326,-4.88763,NA,NA,NA,NA,NA,NA,-157.122,NA
43844,-3.53296,4.97751,-4.69927,NA,NA,NA,NA,-132.547,NA,NA,NA
44065,-3.18569,4.50393,-4.91125,NA,NA,NA,NA,-91.613,NA,NA,NA
44301,-3.90243,4.90361,-4.90225,NA,NA,NA,-161.896,NA,NA,NA,NA
44515,-3.46691,4.07068,-4.42962,NA,NA,NA,-117.641,NA,NA,NA,NA
44722,-1.89463,4.37058,-4.70267,NA,NA,NA,NA,NA,-57.32,NA,NA
44940,-2.03932,4.9251,-4.57191,NA,NA,NA,NA,-72.918,NA,NA,NA
45118,-1.31061,4.19988,-3.85936,NA,NA,NA,NA,-86.095,NA,NA,NA
45274,-1.13959,4.83368,-3.30067,NA,NA,NA,NA,-150.636,NA,NA,NA
45569,-1.77497,3.26908,-3.50434,NA,NA,NA,NA,-138.326,NA,NA,NA
45649,-1.37167,3.85455,-3.70708,NA,NA,NA,-98.017,NA,NA,NA,NA
45945,-2.58408,3.38089,-4.27069,NA,NA,NA,NA,-76.008,NA,NA,NA
46032,-2.58159,3.02783,-4.31979,NA,NA,NA,NA,NA,-111.277,NA,NA
46249,-3.58424,2.32717,-4.86131,NA,NA,-220.7,NA,NA,NA,NA,NA
46465,-3.93452,2.75269,-3.94269,NA,NA,NA,NA,NA,NA,-219.148,NA
46792,-2.51026,3.06022,-3.84387,NA,NA,NA,-128.282,NA,NA,NA,NA
46960,-2.63906,2.63461,-4.66738,NA,NA,-171.826,NA,NA,NA,NA,NA
47152,-2.34595,3.79617,-4.54127,NA,NA,NA,-61.326,NA,NA,NA,NA
47259,-1.23084,4.48296,-4.65752,NA,-228.108,NA,NA,NA,NA,NA,NA
47468,-2.02369,3.75177,-3.21602,NA,NA,-138.115,NA,NA,NA,NA,NA
47626,-2.51009,3.99778,-3.35215,NA,NA,-173.819,NA,NA,NA,NA,NA
47953,-2.59392,3.85925,-3.98905,NA,NA,NA,NA,-87.932,NA,NA,NA
48183,-1.9575,4.53335,-3.56947,NA,NA,NA,NA,NA,-101.458,NA,NA
48237,-1.18963,4.94617,-3.95733,NA,NA,NA,NA,NA,-113.831,NA,NA
48485,-0.812539,4.10699,-3.55761,NA,NA,NA,NA,-156.677,NA,NA,NA
48737,-1.78796,3.4267,-4.48106,NA,NA,NA,-62.553,NA,NA,NA,NA
48881,-1.19473,4.02141,-4.66396,NA,NA,NA,NA,-34.746,NA,NA,NA
49126,-1.84943,2.8939,-4.07806,NA,NA,NA,NA,-111.646,NA,NA,NA
49397,-2.74211,3.47935,-4.48895,NA,NA,NA,NA,-77.539,NA,NA,NA
49502,-4.09124,4.97143,-3.97928,NA,NA,NA,NA,NA,-200.358,NA,NA
49647,-3.70957,4.3621,-4.61444,NA,NA,NA,NA,-126.125,NA,NA,NA
49935,-2.73226,3.72749,-4.42428,NA,NA,NA,-87.222,NA,NA,NA,NA
50140,-2.55847,3.6874,-4.87451,NA,NA,NA,NA,NA,NA,-64.617,NA
50378,-2.34015,3.74691,-4.29721,NA,NA,NA,NA,-77.56,NA,NA,NA
50516,-3.27016,2.10004,-4.12158,NA,NA,NA,NA,-177.889,NA,NA,NA
50625,-3.57663,2.02916,-4.47577,NA,NA,NA,NA,NA,-180.954,NA,NA
50841,-3.04207,4.26837,-2.6065,NA,NA,NA,-218.233,NA,NA,NA,NA
51159,-2.42778,4.05221,-3.61696,NA,NA,NA,NA,-100.804,NA,NA,NA
51306,-2.36587,4.28279,-4.67406,NA,NA,NA,NA,NA,-51.73,NA,NA
51451,-2.85256,3.68154,-4.78418,NA,NA,NA,NA,NA,-77.176,NA,NA
51645,-2.73084,3.8624,-4.69861,NA,NA,NA,NA,NA,NA,-84.602,NA
51994,-1.49545,3.97326,-4.64995,NA,NA,-174.413,NA,NA,NA,NA,NA
52018,-1.38908,4.55652,-4.48208,NA,NA,NA,-64.962,NA,NA,NA,NA
52377,-1.23814,3.66005,-4.90011,NA,NA,NA,-21.139,NA,NA,NA,NA
52485,-1.97146,3.49686,-4.71408,NA,NA,NA,-45.393,NA,NA,NA,NA
52696,-2.27195,3.24381,-4.64017,NA,NA,NA,NA,-64.614,NA,NA,NA
52959,-2.40275,4.72898,-4.93501,NA,NA,-104.366,NA,NA,NA,NA,NA
53173,-2.57515,4.7772,-3.96329,NA,-186.768,NA,NA,NA,NA,NA,NA
53280,-2.20729,3.4838,-3.57424,NA,NA,NA,NA,-118.411,NA,NA,NA
53465,-3.30576,4.61329,-4.72854,NA,NA,NA,NA,NA,-103.768,NA,NA
53654,-2.88312,4.44772,-4.26771,NA,NA,NA,NA,-82.219,NA,NA,NA
53907,-3.22902,3.41545,-4.89752,NA,NA,NA,NA,NA,-99.606,NA,NA
54144,-2.10126,4.50222,-3.44193,NA,NA,NA,NA,NA,-111.751,NA,NA
54317,-2.53869,4.85956,-3.06867,NA,NA,NA,NA,-149.671,NA,NA,NA
54444,-3.14054,3.95371,-4.77405,NA,NA,NA,NA,-83.606,NA,NA,NA
54753,-2.77531,4.52631,-4.22593,NA,NA,NA,NA,-83.6,NA,NA,NA
54862,-2.7837,4.25157,-4.79478,NA,NA,NA,-72.529,NA,NA,NA,NA
55021,-4.82067,3.56962,-4.50621,NA,NA,NA,-238.908,NA,NA,NA,NA
55347,-3.67231,3.95277,-3.56011,NA,NA,NA,NA,-154.347,NA,NA,NA
55407,-3.61216,3.4452,-3.30869,NA,NA,NA,NA,NA,NA,-202.718,NA
55769,-4.18549,4.22289,-4.13392,NA,NA,NA,-173.603,NA,NA,NA,NA
55867,-3.6933,4.63559,-4.87513,NA,NA,NA,NA,-127.4,NA,NA,NA
56037,-3.96023,3.76846,-4.98606,NA,NA,NA,NA,NA,-139.618,NA,NA
56341,-2.85599,4.44448,-4.7069,NA,NA,NA,-84.46,NA,NA,NA,NA
56569,-3.47879,4.06745,-3.42415,NA,NA,NA,NA,NA,NA,-167.307,NA
56740,-3.23025,3.98471,-4.12843,NA,-196.687,NA,NA,NA,NA,NA,NA
56984,-2.75753,4.54392,-4.56195,NA,NA,NA,NA,NA,NA,-97.731,NA
57182,-2.44801,3.83783,-4.4436,NA,NA,NA,-65.564,NA,NA,NA,NA
57354,-3.30202,4.05375,-3.81416,NA,NA,NA,-119.547,NA,NA,NA,NA
57404,-3.00464,4.75278,-3.82758,NA,NA,NA,NA,-105.73,NA,NA,NA
57623,-3.35878,4.51023,-4.57225,NA,NA,NA,-107.065,NA,NA,NA,NA
57908,-3.72361,4.22884,-4.73632,NA,NA,NA,NA,NA,NA,-151.919,NA
58106,-3.16844,4.61718,-3.14546,NA,-288.055,NA,NA,NA,NA,NA,NA
58226,-1.19865,4.42478,-4.14565,NA,NA,NA,NA,NA,NA,-145.301,NA
58591,-1.78446,4.78455,-3.62883,NA,NA,NA,NA,-106.591,NA,NA,NA
58737,-1.92196,4.87121,-3.3016,NA,NA,NA,NA,NA,-136.293,NA,NA
58903,-2.00147,4.54302,-4.82476,NA,NA,NA,-60.717,NA,NA,NA,NA
59068,-1.61644,4.78861,-4.7686,NA,NA,NA,-62.854,NA,NA,NA,NA
59345,-2.85903,3.7305,-4.92534,NA,NA,NA,NA,-63.41,NA,NA,NA
59519,-2.09947,3.79954,-3.66827,NA,NA,NA,NA,NA,-82.825,NA,NA
59701,-2.35909,2.05467,-4.19924,NA,NA,NA,NA,NA,-130.631,NA,NA
59905,-3.1912,2.55669,-4.08261,NA,NA,NA,NA,-146.362,NA,NA,NA
60161,-3.88135,2.73143,-3.45962,NA,NA,NA,-217.378,NA,NA,NA,NA
