id,x0,x1,x2,fitness6,fitness5.5,fitness6.5,fitness8,fitness8.5,fitness7.5,fitness7,fitness9,fitness9.5,fitness4.5,fitness3.5,fitness4,fitness5
6669,7.65568,6.86793,8.73446,NA,NA,NA,NA,NA,0.669,NA,NA,NA,NA,NA,NA,NA
6940,8.0646,7.61102,7.55781,NA,NA,NA,NA,NA,NA,0.918,NA,NA,NA,NA,NA,NA
7196,7.75484,7.72896,8.36237,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA
7295,8.45376,7.60194,8.57711,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA
7596,7.88417,7.10382,8.26062,NA,NA,NA,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA
7731,7.33653,7.10155,6.93011,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA
7908,7.92976,6.98368,7.3284,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA,NA
8118,7.66128,8.1977,7.99163,NA,NA,NA,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA
8322,8.5384,8.52945,8.49082,NA,NA,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA
8575,8.77371,7.55457,8.1351,NA,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA
8690,8.62078,7.4827,9.26476,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
8905,8.77844,6.93484,8.38768,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA,NA,NA,NA
9048,10.0774,7.85238,8.25502,NA,NA,NA,NA,NA,NA,0.366,NA,NA,NA,NA,NA,NA
9386,8.98277,7.80663,8.48626,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA
9432,7.92083,8.07216,7.89259,NA,NA,NA,NA,NA,0.957,NA,NA,NA,NA,NA,NA,NA
9685,8.19399,7.91294,8.45034,NA,NA,NA,NA,NA,0.845,NA,NA,NA,NA,NA,NA,NA
9947,8.25694,7.31241,8.12059,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA
10082,7.60566,8.15327,7.69258,NA,NA,NA,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA
10231,8.17762,8.52811,8.36163,NA,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
10542,7.7483,7.35289,7.90641,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA
10663,7.39506,7.26918,8.78193,NA,NA,NA,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA
10913,6.78834,7.99772,8.16886,NA,NA,NA,0.757,NA,NA,NA,NA,NA,NA,NA,NA,NA
11167,7.10411,7.9221,7.46704,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
11256,7.17168,8.31663,8.20318,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA,NA,NA
11487,6.71834,7.31224,8.53481,NA,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA
11678,7.89857,7.45139,7.15632,NA,NA,NA,NA,0.813,NA,NA,NA,NA,NA,NA,NA,NA
11909,8.5206,7.57846,7.18524,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA,NA,NA
12067,8.38738,7.69206,8.30384,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA,NA
12316,8.75115,8.09937,7.52515,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA
12499,8.14045,6.70361,7.9035,NA,NA,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA
12614,6.79324,6.86157,7.10538,NA,NA,NA,NA,NA,0.597,NA,NA,NA,NA,NA,NA,NA
12808,6.8154,6.73793,7.47607,NA,NA,NA,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA
13012,7.51037,7.70143,7.20664,NA,NA,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13208,7.93353,8.44524,7.77349,NA,NA,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13483,8.0182,7.71093,7.97354,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA
13659,7.54175,8.15454,8.60791,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA
13908,9.23551,7.08298,7.20362,NA,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA
14193,7.72344,6.78538,7.07388,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14355,7.34041,8.33186,7.66459,NA,NA,NA,NA,NA,0.891,NA,NA,NA,NA,NA,NA,NA
14495,7.1179,8.27276,7.35648,NA,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA
14791,7.32885,8.47769,8.44253,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA
14892,7.83337,8.53179,7.11993,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
15151,7.07294,8.81263,7.63878,NA,NA,NA,NA,0.597,NA,NA,NA,NA,NA,NA,NA,NA
15220,7.23791,8.34223,7.85934,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA
15512,7.29917,7.79703,7.31093,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
15707,7.98395,7.76711,8.23201,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA
15933,7.92842,7.78692,8.64061,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA
16155,8.27674,8.52446,7.43834,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
16338,8.33547,7.83569,7.96035,NA,NA,NA,NA,NA,0.902,NA,NA,NA,NA,NA,NA,NA
16501,7.46067,8.3639,7.462,NA,NA,NA,NA,NA,0.892,NA,NA,NA,NA,NA,NA,NA
16637,7.67837,7.16218,6.75849,NA,NA,NA,NA,NA,0.729,NA,NA,NA,NA,NA,NA,NA
16880,7.38002,8.08834,7.7861,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA
17174,8.03351,8.75395,8.48577,NA,NA,NA,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA
17246,6.67003,8.32271,8.52107,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA
17597,7.57274,7.52896,7.62741,NA,NA,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA
17740,8.16793,8.21404,7.49599,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
17908,7.5759,8.31306,7.37792,NA,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA
18042,8.0071,8.67563,6.89025,NA,NA,NA,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA
18261,8.46518,7.77148,6.90022,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
18455,7.56389,8.47376,7.21879,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA
18690,7.48472,7.82096,7.75681,NA,NA,NA,NA,NA,0.986,NA,NA,NA,NA,NA,NA,NA
18974,8.08386,7.86061,8.37152,NA,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA
19172,9.01726,7.72468,8.37118,NA,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA,NA
19338,7.67428,8.43657,7.92475,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA
19451,6.64498,7.49871,7.76155,NA,NA,NA,NA,NA,NA,0.709,NA,NA,NA,NA,NA,NA
19747,7.65472,7.36139,7.92893,NA,NA,NA,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA
19874,7.65084,8.64263,6.95349,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA
20107,8.05462,6.79036,7.13012,NA,NA,NA,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA
20352,7.47476,7.52136,7.024,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
20539,7.29972,7.39162,7.55023,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA
20614,9.09634,8.41025,7.39487,NA,NA,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA
20939,8.11078,8.05825,7.34107,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA
21159,8.39278,8.50605,7.46845,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA
21209,8.72302,8.69649,7.80093,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA
21519,7.90355,7.59869,8.18003,NA,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA,NA
21792,8.66846,7.86697,8.53581,NA,NA,NA,NA,NA,NA,0.617,NA,NA,NA,NA,NA,NA
21974,8.23392,7.332,7.50074,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22117,8.14516,7.91187,7.84478,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22399,8.15292,8.09913,7.57038,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
22477,6.90437,7.3033,7.0261,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA
22612,7.66733,7.63918,7.71348,NA,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA
22941,8.12318,7.57712,7.89179,NA,NA,NA,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA
23168,7.90479,7.33976,7.60358,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23303,8.22499,7.36467,8.11032,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
23468,6.96208,8.5874,7.71251,NA,NA,NA,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA
23619,7.57772,8.04837,7.3839,NA,NA,NA,NA,NA,0.922,NA,NA,NA,NA,NA,NA,NA
23951,7.93141,8.46692,7.85202,NA,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA
24113,7.89594,7.69284,8.27175,NA,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24369,7.1706,6.93881,7.59349,NA,NA,NA,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA
24483,8.36542,7.06407,7.37344,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
24711,7.64926,8.33338,8.77989,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA
24865,7.43078,8.38458,8.15873,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA
25023,7.59342,8.31988,8.34708,NA,NA,NA,NA,0.701,NA,NA,NA,NA,NA,NA,NA,NA
25303,8.2544,7.3724,8.25255,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
25498,8.67532,7.53949,7.79645,NA,NA,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA
25676,8.90073,8.56401,7.72027,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
25980,8.21823,7.8262,7.55407,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA
26115,8.26023,7.61363,8.47365,NA,NA,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
26276,6.8148,7.85732,7.68672,NA,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA
26467,7.60515,7.28937,6.81069,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
26735,8.01318,7.52603,7.12409,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA,NA,NA,NA
26806,8.19358,8.45345,7.51214,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA
27159,7.00842,7.34086,8.27756,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA
27371,7.90525,7.53548,8.25313,NA,NA,NA,NA,0.868,NA,NA,NA,NA,NA,NA,NA,NA
27486,7.16954,8.42583,7.60646,NA,NA,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA
27691,6.65276,7.32493,7.90785,NA,NA,NA,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA
27997,7.86745,6.73813,7.71129,NA,NA,NA,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA
28098,7.1301,6.84049,8.40518,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA
28300,6.98445,7.58535,7.54908,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
28544,8.02245,7.83607,6.92691,NA,NA,NA,NA,NA,NA,NA,0.634,NA,NA,NA,NA,NA
28762,7.46599,6.76084,6.66291,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA
28938,8.19272,8.35839,7.46066,NA,NA,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA
29118,8.10641,8.58631,7.81594,NA,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA,NA,NA
29395,9.52137,8.33793,7.36522,NA,NA,NA,NA,NA,0.519,NA,NA,NA,NA,NA,NA,NA
29417,9.6634,8.45927,6.93683,NA,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA
29756,8.61787,8.16896,8.1959,NA,NA,NA,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA
29836,7.81433,8.45892,7.79409,NA,NA,NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA
30153,7.8301,7.29009,7.85824,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA
30283,7.60001,7.26133,7.45908,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA,NA,NA
30537,7.5932,7.78565,7.27215,NA,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA
30614,7.63074,7.96981,8.05166,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA,NA
30815,6.76952,7.87996,7.55307,NA,NA,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA,NA
31112,8.22541,6.82002,7.59176,NA,NA,NA,NA,NA,NA,NA,0.592,NA,NA,NA,NA,NA
31296,7.11893,8.3836,7.9241,NA,NA,NA,NA,NA,NA,NA,0.613,NA,NA,NA,NA,NA
31483,7.53555,8.30312,8.93252,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA,NA
31640,7.9465,7.55623,8.1794,NA,NA,NA,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
31949,7.74172,8.14769,8.6117,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
32012,7.00432,8.55297,7.558,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA
32318,7.4978,8.50121,7.64418,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA
32426,7.75855,8.4186,7.7237,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA,NA
32666,7.69518,8.60343,7.48134,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
32913,7.65924,7.30112,7.49512,NA,NA,NA,NA,NA,0.949,NA,NA,NA,NA,NA,NA,NA
33150,7.74512,7.27736,7.7955,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA,NA,NA
33361,7.83268,7.64287,8.20174,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA
33481,7.11691,8.10367,8.49014,NA,NA,NA,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA
33714,7.13429,8.25328,7.79385,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA
33985,8.05172,7.32672,8.60703,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA
34167,8.33487,8.10564,7.7602,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA
34272,7.97752,7.56536,8.04062,NA,NA,NA,NA,NA,0.959,NA,NA,NA,NA,NA,NA,NA
34504,7.21206,8.15255,7.34223,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA
34722,8.68052,7.36561,7.50578,NA,NA,NA,NA,0.734,NA,NA,NA,NA,NA,NA,NA,NA
34838,7.78484,7.05521,8.11479,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA
35051,8.33383,7.77324,7.53927,NA,NA,NA,NA,NA,0.906,NA,NA,NA,NA,NA,NA,NA
35296,8.22758,6.86482,7.30815,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA
35560,8.51674,6.87983,7.27668,NA,NA,NA,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA
35762,8.53317,7.24702,8.03037,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA
35981,8.61468,6.78967,8.36855,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA
36078,7.73109,8.25006,7.33407,NA,NA,NA,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA
36231,7.18611,7.68899,8.21734,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA
36598,7.3269,8.85704,7.99484,NA,NA,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA
36787,8.54146,8.71947,7.12394,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
36850,8.62373,8.8307,7.75947,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA
37059,8.37729,8.29104,7.89495,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
37245,7.23194,9.49773,7.80146,NA,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA
37501,8.27337,8.39324,7.4938,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA
37616,8.14476,7.73272,8.50722,NA,NA,NA,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA
37836,8.77543,7.84988,7.59972,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA
38131,8.16452,7.81438,7.56547,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
38275,8.71435,7.95631,7.65978,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA
38435,7.82635,8.58668,7.7093,NA,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA,NA
38618,7.05942,8.28314,7.51425,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA,NA,NA
38937,7.18448,6.98288,7.32963,NA,NA,NA,NA,NA,0.798,NA,NA,NA,NA,NA,NA,NA
39149,7.65681,8.18103,9.23107,NA,NA,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA
39252,8.13853,7.19131,7.3742,NA,NA,NA,NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA
39592,7.1878,7.00269,7.76022,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA
39683,7.95346,7.06006,8.03554,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA
39903,7.32008,8.43398,8.50523,NA,NA,NA,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA
40180,7.48648,7.60674,8.24586,NA,NA,NA,NA,NA,0.921,NA,NA,NA,NA,NA,NA,NA
40252,7.81274,7.53437,8.41205,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA
40545,7.84411,8.40917,8.01102,NA,NA,NA,NA,NA,NA,NA,0.671,NA,NA,NA,NA,NA
40674,8.81813,8.16783,8.59813,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA
40884,8.09557,8.54222,8.78061,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA
41155,8.26322,7.3191,7.83123,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
41287,8.60367,7.34447,7.80523,NA,NA,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA
41422,8.02041,7.53831,8.40171,NA,NA,NA,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA
41762,7.90534,8.30653,8.40062,NA,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA,NA,NA
41848,7.16396,6.93721,8.20209,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA
42170,8.3733,7.23788,7.18752,NA,NA,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42324,7.73,7.99922,8.01936,NA,NA,NA,NA,NA,0.963,NA,NA,NA,NA,NA,NA,NA
42585,8.7646,8.85394,8.79878,NA,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA
42608,8.28068,8.1115,8.54765,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA
42993,7.7604,7.91999,8.02995,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA
43057,8.34144,7.18693,7.86875,NA,NA,NA,NA,0.785,NA,NA,NA,NA,NA,NA,NA,NA
43289,7.57708,8.3197,7.47412,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
43537,7.24904,7.94391,7.54368,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA
43800,7.36659,7.80242,7.87073,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA,NA
43946,8.3876,8.96767,7.6402,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA
44171,8.09119,7.90837,7.80754,NA,NA,NA,NA,NA,0.957,NA,NA,NA,NA,NA,NA,NA
44207,8.47235,7.68702,7.22817,NA,NA,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA
44440,7.95987,7.62489,7.17383,NA,NA,NA,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA
44794,8.31969,8.07134,7.86366,NA,NA,NA,NA,NA,NA,NA,0.684,NA,NA,NA,NA,NA
44875,7.44539,7.62611,7.7764,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA,NA,NA,NA
45117,8.01516,7.94993,7.63394,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA
45331,7.67525,8.67148,7.014,NA,NA,NA,NA,NA,0.738,NA,NA,NA,NA,NA,NA,NA
45585,8.18652,7.43812,8.09611,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA
45632,8.04242,8.20231,7.57044,NA,NA,NA,NA,NA,NA,0.771,NA,NA,NA,NA,NA,NA
45847,8.72253,7.19252,7.82589,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA
46099,8.33058,7.9826,8.50327,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA
46320,8.45727,7.7257,6.77235,NA,NA,NA,NA,NA,0.696,NA,NA,NA,NA,NA,NA,NA
46561,7.10761,7.38514,7.8354,NA,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA
46730,7.16828,7.56255,8.30857,NA,NA,NA,NA,NA,0.853,NA,NA,NA,NA,NA,NA,NA
46816,8.26788,7.63639,8.43547,NA,NA,NA,NA,NA,NA,NA,0.663,NA,NA,NA,NA,NA
47196,6.97508,7.70064,6.32569,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA
47285,7.9422,7.26711,8.46974,NA,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA
47506,8.28597,6.90698,7.33558,NA,NA,NA,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA
