id,x0,x1,x2,fitness1.5,fitness0.5,fitness1,fitness-0.5,fitness-1,fitness0,fitness-1.5,fitness-3,fitness-4.5,fitness-2.5,fitness-2,fitness2.5,fitness-3.5,fitness-4,fitness-5,fitness3,fitness3.5,fitness5,fitness4,fitness2,fitness4.5
4767,-2.35735,0.537277,1.59739,NA,-1.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4852,-0.880131,-0.593853,1.29611,NA,354.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5144,-1.99827,-0.768639,-0.947712,NA,NA,NA,NA,NA,4600.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5205,-2.36706,-0.260328,-1.72194,NA,NA,NA,96.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5535,-2.60099,-1.01326,-2.22377,NA,NA,NA,NA,621.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5697,-3.40412,-1.41865,-0.219911,NA,680.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5833,-2.63558,-0.756157,-0.506658,247.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6013,-2.13461,-2.20469,-0.0712483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
6301,0.288599,-3.44127,-0.410804,51.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6501,0.0680147,-4.90096,0.386111,NA,69.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6673,1.73531,-4.92188,1.20871,NA,NA,NA,165.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6822,1.34308,-4.00979,-0.190438,NA,NA,NA,NA,955.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7134,0.718818,-4.3564,1.45152,NA,NA,NA,NA,NA,NA,34.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7307,2.08263,-4.53134,1.70001,NA,NA,NA,NA,NA,NA,26.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7459,0.752915,-4.62233,2.8015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7770,-0.195525,-4.7756,0.612759,NA,NA,NA,NA,NA,NA,84.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7851,-1.42134,-4.37849,1.27833,NA,NA,NA,NA,NA,NA,902.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8193,-1.09524,-4.99243,0.992202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8327,-1.51134,-4.83922,1.36382,NA,NA,NA,395.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8517,-2.48517,-4.5662,-0.251143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8627,-3.28802,-4.85687,-0.524769,NA,NA,NA,NA,37.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8968,-2.91661,-3.94993,-0.754297,NA,NA,NA,NA,NA,NA,1102.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9148,-2.3111,-3.02424,-1.01293,NA,NA,NA,53.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9364,-2.12082,-1.88628,-1.07274,NA,NA,NA,NA,NA,NA,871.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9474,-1.3308,-1.65991,-1.30304,NA,NA,NA,NA,4921.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9715,-1.93549,-2.98082,-1.0061,NA,NA,NA,NA,NA,NA,956.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9879,-1.34779,-3.34624,-1.20032,NA,NA,NA,NA,363.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10199,-1.29033,-3.49086,-1.8815,NA,NA,NA,NA,NA,NA,1114.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10371,-0.672166,-2.2225,-2.80739,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10540,-0.241455,-2.37513,-1.86053,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10774,0.698576,-2.00091,-1.60649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.578,NA,NA,NA,NA,NA,NA,NA,NA
10846,-0.56806,-1.00306,-1.28669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11011,-1.27475,-0.624709,-1.81771,NA,NA,NA,1931.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11248,-1.37013,-1.69322,-1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2764.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11564,0.0893818,-1.82371,-0.24119,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11773,0.905448,-1.28767,-0.300327,NA,NA,NA,NA,NA,NA,NA,482.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11978,0.774679,-0.677145,-0.00891886,NA,NA,NA,NA,NA,NA,NA,NA,NA,739.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,0.231692,-1.59003,-1.13581,NA,NA,NA,NA,NA,NA,NA,-6.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12352,1.46465,-1.38182,0.349135,NA,NA,NA,150.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12439,1.74399,-1.30574,1.11851,NA,NA,NA,108.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12638,0.351267,0.363574,1.28522,NA,NA,53.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12838,0.803612,0.696758,0.499227,34.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13182,0.998101,0.605904,0.984225,NA,10.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13355,0.714273,1.01021,0.458059,NA,NA,NA,NA,NA,96.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13449,0.662242,0.158232,-1.29884,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13662,1.8992,-0.316867,-1.19251,NA,NA,NA,NA,409.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13989,1.34792,-0.677167,-1.41475,NA,NA,NA,5121.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14001,-0.0335608,-1.60878,1.8415,NA,244.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14333,-0.220375,-1.95463,1.35074,NA,501.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14574,0.648043,-2.8205,0.560789,NA,NA,NA,10.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14696,-0.178539,-2.93024,1.55337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14930,0.828075,-2.73011,-1.52728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15028,0.144589,-2.13008,-0.651532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15261,1.79509,-1.67004,-1.86155,NA,NA,NA,NA,261.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15586,1.41754,-0.697884,-3.07996,NA,NA,NA,NA,NA,NA,984.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15628,2.49406,-0.133974,-2.13042,NA,NA,NA,NA,445.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15855,3.54043,-0.0447197,-2.97264,NA,NA,NA,NA,NA,31.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16103,4.6616,-0.0624394,-3.09863,86.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16218,4.46391,-0.297491,-3.10771,114.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16525,4.56258,-0.110007,-1.08278,NA,NA,198.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16606,4.88432,-1.51576,-0.991713,NA,NA,NA,938.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16928,3.90888,-0.496358,-0.993862,NA,NA,NA,437.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17011,4.97218,-0.631432,-2.32832,NA,NA,NA,NA,765.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17347,4.41163,-0.773137,-1.47393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4415.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17431,4.31509,-0.211877,-1.3897,NA,NA,NA,NA,NA,NA,6434.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17702,3.80045,-0.164015,-1.56132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1462.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17855,3.74362,-0.732693,-0.82994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18138,2.95432,-0.884206,-1.6721,NA,NA,NA,NA,NA,NA,916.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18244,2.71562,-0.304851,-0.973744,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18452,4.8037,-2.12803,-1.36225,NA,NA,NA,NA,NA,NA,8193.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18800,2.83615,-1.45979,-1.41289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.833,NA,NA,NA,NA,NA,NA,NA,NA
18913,4.84127,-1.44471,-2.63816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19169,4.57718,-0.752142,-0.508633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19345,3.54947,-0.212069,-1.70794,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19489,3.71719,-1.08323,-2.10887,NA,NA,NA,NA,NA,NA,NA,84.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19698,4.34653,-0.313792,-2.86706,NA,NA,NA,NA,NA,NA,NA,296.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19874,4.62508,0.492722,-4.35507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.772,NA,NA,NA,NA,NA,NA,NA,NA
20118,4.9712,0.157014,-4.89271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.317,NA,NA,NA,NA,NA,NA,NA
20387,4.25751,0.20076,-4.31608,NA,NA,NA,NA,NA,NA,NA,66.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20447,4.10796,-1.35954,-4.63033,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20628,2.93467,-1.3695,-4.66552,NA,NA,NA,NA,NA,NA,NA,47.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20912,4.1835,-0.943541,-4.47181,NA,NA,NA,NA,NA,NA,NA,255.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21079,4.20396,-0.638282,-4.0447,NA,NA,NA,NA,NA,NA,NA,NA,NA,535.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21231,4.95789,-0.0977056,-3.61752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.277,NA,NA,NA,NA,NA,NA
21458,4.50803,-0.335136,-2.51189,NA,NA,NA,NA,NA,NA,NA,NA,7.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21745,3.64372,-0.228704,-2.90204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.235,NA,NA,NA,NA,NA,NA,NA,NA
21847,3.91453,-0.673445,-3.12118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.832,NA,NA,NA,NA,NA,NA,NA
22037,4.68819,-1.5493,-2.48081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22308,3.80191,-0.631934,-2.8907,NA,NA,NA,248.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22524,0.900828,-0.91502,-2.40905,NA,NA,NA,NA,NA,755.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22630,-1.15883,0.847895,-1.43974,NA,NA,NA,NA,1705.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22833,-0.706885,0.0277954,-1.95797,NA,NA,NA,NA,506.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23193,0.190595,-0.379215,-1.67178,NA,NA,NA,NA,NA,NA,492.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23280,-0.694658,-0.811238,-2.07702,NA,NA,NA,8389.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23401,-0.0786934,-0.86018,-1.4151,NA,NA,NA,NA,NA,NA,14828.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23679,-0.398829,-1.76644,-1.64955,NA,NA,NA,24.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23906,-1.1374,-2.72309,-2.54247,NA,NA,NA,NA,NA,-6.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24180,-1.53368,-2.19454,-3.03957,NA,432.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24306,-3.25801,-1.17029,-3.01501,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24542,-2.71186,-0.532137,-1.52888,NA,142.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24645,-2.20034,-0.780506,-3.16792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.755,NA,NA,NA,NA,NA
24983,-4.1214,-1.76847,-3.00187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.507,NA,NA,NA,NA
25181,-4.50491,-1.60115,-2.87008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.185,NA,NA,NA
25258,-3.46224,-0.597666,-1.34179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.821,NA,NA,NA,NA
25477,-4.16336,-0.0183109,-0.960021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.737,NA,NA,NA,NA,NA
25793,-4.49065,0.477632,-0.800473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.944,NA,NA,NA,NA,NA
25974,-2.69996,1.67007,-1.72389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.363,NA,NA,NA,NA
26131,-0.765462,1.21752,-1.19978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.064,NA,NA,NA,NA
26223,-1.36832,1.57495,-1.31426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.301,NA,NA
26524,-4.19852,1.43906,0.329846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163,NA,NA,NA,NA
26787,-3.64809,0.901813,0.919415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.203,NA,NA,NA,NA
26984,-3.14545,0.65114,-0.155892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.891,NA,NA,NA,NA
27038,-1.60043,-1.14334,0.866064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.873,NA,NA,NA,NA,NA
27255,-0.918066,-2.18802,-0.0346044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.217,NA
27520,-0.191778,-2.02957,-0.602823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1480.078,NA,NA,NA,NA,NA
27706,1.31166,-1.52234,-0.616171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.315
27912,0.987402,-1.13331,-2.10581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.174
28187,0.886515,-1.39156,-2.99764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.084,NA,NA,NA,NA,NA
28317,0.510652,-1.47378,-2.88051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.565,NA,NA,NA,NA,NA,NA,NA,NA,NA
28554,1.20014,-0.761954,-2.63317,188.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28690,-0.207396,-0.463875,-1.43157,NA,130.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28928,-0.205638,-1.61344,-1.52379,2218.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29120,-0.290782,-1.59556,-1.75866,50.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29321,0.155839,-2.03724,-1.44676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.567,NA,NA,NA,NA,NA,NA,NA,NA,NA
29525,0.704667,-1.41298,-0.588661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760.122,NA
29762,0.774099,-0.459261,0.0621857,NA,NA,NA,NA,NA,10.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29955,-0.728431,-1.8354,-1.23231,NA,NA,NA,NA,3101.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30094,-0.11173,-3.66635,-1.37799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30253,1.27537,-3.87229,-0.757625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.957,NA,NA,NA,NA,NA,NA,NA,NA
30414,-0.224412,-3.85965,-0.651863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.815,NA,NA,NA,NA,NA,NA,NA
30610,-0.441189,-2.68813,-2.35686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA
30975,0.50492,-3.94799,-2.58678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31192,-0.653737,-3.05122,-0.807684,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31308,-0.676888,-1.73029,-0.685297,NA,NA,NA,4186.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31506,-0.712235,-1.35737,-0.145554,NA,1852.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31743,-0.593726,-1.57802,-1.05725,NA,NA,NA,NA,NA,1032.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31906,-0.925473,-2.77347,-0.24471,NA,NA,111.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32104,-0.283227,-1.81727,-0.00210964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.759,NA
32296,0.825273,-1.93693,-0.627455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
