id,x0,x1,x2,fitness7.5,fitness8,fitness7,fitness6.5,fitness8.5,fitness6,fitness5.5,fitness9,fitness4.5,fitness4,fitness3.5,fitness1,fitness1.5,fitness0.5,fitness2,fitness3,fitness10,fitness9.5,fitness10.5,fitness5,fitness2.5
11762,6.91741,8.93698,8.21266,NA,NA,NA,NA,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11883,7.27049,7.3713,7.91112,NA,NA,NA,NA,NA,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12153,8.48766,8.45447,7.6407,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12398,9.53269,8.09309,7.88644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12494,7.99348,7.52046,6.88201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12638,8.42114,7.45778,6.85265,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12829,8.75883,8.24829,8.38121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13030,8.31745,8.4508,8.99413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
13391,7.93015,8.55847,8.25503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA
13592,6.58261,7.75015,8.21051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA
13784,6.27429,7.81762,7.98002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,NA,NA,NA,NA,NA,NA,NA
13940,6.71176,7.75478,10.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA
14069,6.50524,8.23207,9.77134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.057,NA,NA,NA,NA,NA,NA,NA,NA
14340,7.045,7.28555,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.085,NA,NA,NA,NA,NA,NA,NA,NA
14478,7.13389,7.42843,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA
14661,6.62012,7.86985,10.3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.088,NA,NA,NA,NA,NA,NA
14830,8.04595,8.65509,9.67087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15038,8.36425,8.66712,8.78141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096,NA,NA,NA,NA,NA
15273,9.82892,8.85082,8.23446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15460,10.5,8.16472,7.89621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15723,9.49689,7.00356,8.27784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.041,NA,NA,NA,NA,NA
15889,8.56263,7.14997,7.7675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA
16167,9.00609,7.87109,7.57904,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16376,8.57796,6.26486,7.22669,NA,NA,NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16440,8.04187,7.58814,7.51721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16693,9.37519,8.44702,7.81785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16950,7.25108,9.79853,9.05656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17070,6.87092,7.96745,8.71709,NA,NA,NA,NA,NA,NA,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17214,7.10305,6.97926,7.00632,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17452,8.15051,7.87124,7.14727,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17601,7.03773,7.86699,7.6366,NA,NA,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17891,9.91786,8.13459,7.77415,NA,NA,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18187,7.81154,7.85945,8.58424,NA,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18237,7.92971,7.75189,10.5,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18526,8.69693,7.79319,9.121,NA,NA,NA,NA,NA,NA,NA,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18722,8.20133,7.96758,9.95671,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18849,7.52219,7.89544,9.47163,NA,NA,NA,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19147,8.09453,7.16782,10.1197,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19338,8.20996,6.02138,8.98812,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19491,7.84324,7.56015,8.38952,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19735,7.49677,7.55422,9.44913,NA,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19890,6.42492,7.65865,9.0256,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20150,6.34415,7.9748,7.69877,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20239,5.94953,7.79957,8.85065,NA,NA,NA,NA,NA,-0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20512,6.52426,7.45869,8.07202,NA,NA,NA,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20651,7.21366,7.39759,8.91619,NA,NA,NA,NA,NA,NA,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20823,4.32645,10.5,8.63857,NA,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21029,6.51036,10.5,7.49894,NA,NA,NA,-0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21387,6.38163,10.1308,7.86699,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21439,7.34645,8.36943,7.35068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA
21682,8.30518,7.95339,5.78957,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21926,8.39141,7.93267,5.74012,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22081,7.36537,7.47178,4.29262,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22201,7.42981,6.19657,6.33579,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22523,6.8575,8.06875,7.25799,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22670,6.53865,7.69447,8.9051,NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22948,7.49243,7.78432,10.0689,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23120,7.05808,7.80348,9.02212,NA,NA,0.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23234,7.60862,6.59071,8.45634,NA,NA,NA,0.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23448,8.8526,6.29062,8.50203,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23726,8.76489,6.36165,8.35215,NA,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23888,8.86971,5.93538,7.8477,NA,NA,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24051,7.44601,6.27256,8.97082,NA,NA,NA,NA,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24276,7.20065,7.48758,8.88252,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24509,7.21293,8.22296,7.86446,NA,NA,NA,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24662,7.57273,7.35269,8.20056,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24867,7.53007,7.80767,7.51134,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25001,8.41118,7.57726,8.16018,NA,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25392,8.49227,7.64576,7.36461,NA,NA,NA,NA,NA,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25550,10.2412,6.65884,7.15181,NA,NA,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25708,9.61698,7.26281,6.86154,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25922,7.46358,6.05781,7.87964,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26095,8.00957,7.4626,7.05725,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26242,6.10956,8.11069,5.67854,NA,NA,NA,NA,NA,-0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26541,8.11402,7.51557,6.8663,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26759,8.93989,7.50292,8.70792,NA,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26970,7.95213,8.11043,9.347,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27160,6.87333,7.87878,10.5,NA,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27246,6.80082,7.48714,9.20596,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27543,7.09398,7.79423,7.91427,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27623,6.93563,8.2196,6.27954,NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27813,6.30201,7.81441,6.46607,NA,NA,NA,NA,NA,NA,NA,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28165,5.38311,8.1149,6.28225,NA,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28309,3.91152,7.74443,9.35913,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28445,5.07327,7.2594,8.70812,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28694,4.96021,8.86782,7.99018,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28808,6.07319,7.65464,7.52498,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29050,6.62832,6.24703,7.39053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA
29357,7.61564,6.53417,6.62133,NA,NA,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29420,8.25633,4.18116,4.25873,NA,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29637,7.82541,4.28463,4.45541,NA,0.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29815,7.51211,4.6097,4.92019,NA,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30002,7.46047,4.85466,6.03304,NA,NA,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30225,7.04104,3.93372,5.34891,NA,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30435,7.6056,1.81129,5.41233,NA,NA,NA,NA,NA,NA,NA,-0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30604,7.15121,0.5,5.01465,NA,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30898,7.5274,1.15074,6.37236,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31181,7.86064,1.2933,6.4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182,NA,NA,NA
31250,6.56697,2.68523,7.73223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015,NA,NA,NA
31481,7.0829,3.8079,5.84419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.104,NA,NA,NA,NA
31640,6.64617,4.05258,4.94709,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31978,5.59425,4.57084,4.35207,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32200,6.64437,4.59243,6.81345,NA,NA,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32277,5.769,5.7222,7.94243,NA,NA,NA,NA,NA,NA,NA,-0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32489,6.24258,7.18483,7.55705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,NA,NA,NA,NA
32612,7.29211,6.89738,7.13127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA
32958,8.20479,7.521,8.89178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA
33184,6.93629,6.99981,7.63154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,NA,NA
33229,7.0038,5.88292,6.95664,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
