id,x0,x1,x2,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness-4,fitness-2,fitness-5,fitness-1,fitness0.5,fitness0,fitness1.5,fitness1,fitness3,fitness3.5,fitness4,fitness5,fitness4.5,fitness2.5,fitness-4.5,fitness-0.5,fitness2
11538,-3.00041,2.48741,-4.92801,NA,30.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11789,-3.71112,2.57323,-3.40918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.145,NA,NA
11918,-4.4971,2.8978,-4.62624,NA,NA,NA,NA,NA,NA,22.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12009,-4.14808,3.31653,-3.78093,NA,9.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12330,-4.97646,3.26303,-2.70836,NA,NA,NA,NA,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12554,-3.35677,4.05188,-1.63351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.755,NA,NA
12730,-3.6708,2.86976,-2.023,NA,NA,NA,NA,NA,NA,-40.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12803,-3.30041,3.70702,-1.86169,NA,NA,NA,NA,-15.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13020,-3.37937,4.71424,-2.42169,NA,NA,NA,NA,130.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13356,-2.26964,3.99873,-1.83371,NA,NA,NA,NA,-0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13552,-1.88367,5,-1.10199,NA,NA,35.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13672,-4.03918,3.94107,-0.966052,NA,NA,26.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13816,-3.62336,4.30077,-2.37756,NA,NA,NA,NA,-59.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14081,-0.874249,4.43207,-2.34823,NA,NA,209.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14284,-1.38175,5,-3.61688,NA,NA,803.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14466,-1.35149,5,-4.83016,NA,NA,NA,NA,-435.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14640,-1.2633,5,-4.18935,NA,NA,-65.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14820,-0.356753,5,-5,NA,NA,-384.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15006,0.77762,2.83636,-5,NA,NA,-5.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15270,-1.88225,1.74163,-5,NA,-70.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15591,-3.12305,1.93385,-4.61657,NA,12.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15756,-3.8324,3.3094,-5,NA,NA,NA,NA,NA,NA,-49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15826,-4.33136,3.13204,-3.42955,NA,NA,NA,NA,NA,NA,-24.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16081,-4.21758,2.34606,-1.7808,NA,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16228,-5,1.99845,-2.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.899,NA,NA
16563,-5,2.14527,-2.01521,NA,29.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16716,-5,4.2696,-3.91524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.313,NA,NA
16982,-4.94099,3.99695,-5,NA,NA,NA,NA,NA,NA,-4.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17029,-5,4.34393,-5,NA,NA,NA,NA,NA,NA,-129.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17332,-4.05358,3.99247,-5,NA,NA,NA,NA,NA,NA,-0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17472,-3.22443,4.91506,-2.81355,NA,-12.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17703,-4.38384,2.62875,-2.08249,NA,NA,-58.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17874,-5,2.58552,-2.37732,NA,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18100,-5,0.62792,-2.58818,NA,NA,-30.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18338,-3.56132,1.2187,-2.35207,18.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18513,-4.05744,0.766442,-2.33512,NA,NA,NA,131.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18786,-3.21195,0.48031,-2.26082,NA,NA,NA,31.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18893,-3.08137,-0.0698547,-1.68961,NA,NA,NA,636.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19117,-3.37938,0.407273,-0.00802751,NA,NA,NA,312.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19319,-2.09513,1.11813,-0.104085,NA,NA,65.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19568,-3.81123,1.98914,0.130689,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19721,-3.74844,0.944224,-1.45165,NA,NA,NA,NA,NA,6.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19825,-5,0.609408,-2.35358,NA,NA,NA,31.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20057,-3.62447,0.49504,-0.180786,NA,NA,NA,268.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20211,-4.08516,1.29047,-0.435437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.816,NA
20431,-4.38578,1.63249,-2.02917,NA,NA,NA,55.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20653,-4.89881,2.51209,-3.47857,NA,NA,NA,-6.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20951,-5,3.67048,-2.93256,NA,NA,NA,NA,NA,NA,NA,326.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21029,-2.81609,3.86672,-4.07219,NA,NA,NA,-126.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21387,-2.94482,3.49752,-3.70414,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21439,-1.98001,1.73615,-4.22045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.588
21682,-1.02127,1.32011,-5,NA,NA,NA,NA,NA,NA,NA,NA,-216.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21926,-0.935048,1.29939,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.141,NA,NA,NA,NA,NA,NA,NA,NA,NA
22057,-0.828609,0.916396,-4.73204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.706,NA,NA,NA
22312,-2.5954,0.953364,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.018
22593,-2.81817,1.08036,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22752,-1.49934,-0.197598,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760.593,NA,NA,NA,NA,NA,NA,NA,NA
22913,-1.47328,-1.05416,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.767,NA,NA,NA,NA,NA,NA,NA,NA
23053,-2.38529,-1.15967,-3.86824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.744,NA,NA,NA,NA
23395,-2.06627,-1.91654,-3.4128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.487,NA,NA,NA,NA,NA,NA
23417,-2.91984,-1.53086,-1.83684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.322,NA,NA,NA,NA,NA,NA,NA
23618,-3.49443,-3.41478,-2.83885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.967,NA,NA,NA
23984,-3.99695,-3.92022,-4.45848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.481,NA,NA,NA,NA,NA,NA,NA
24159,-5,-5,-4.07962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.57,NA,NA,NA,NA,NA
24246,-5,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.07,NA,NA,NA,NA,NA,NA,NA
24540,-5,-5,-2.73028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.679,NA,NA,NA,NA,NA,NA
24699,-5,-4.92904,-2.54742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.984,NA,NA,NA,NA
24958,-4.82514,-5,-3.6915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35.51,NA,NA,NA,NA,NA
25019,-4.67868,-4.23201,-4.21561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,NA
25317,-5,-3.73335,-3.60277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.029,NA,NA,NA,NA,NA
25459,-3.28798,-4.79381,-3.12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.552,NA,NA,NA,NA
25687,-2.64538,-5,-1.90838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.541,NA,NA,NA,NA,NA,NA,NA
25908,-3.16865,-5,-3.39954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.634,NA,NA,NA,NA,NA,NA,NA
26024,-4.47941,-5,-2.44987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.975,NA,NA,NA
26371,-4.38278,-4.24154,-4.34453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604,NA,NA,NA,NA,NA,NA,NA,NA
26573,-5,-4.70188,-3.43036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.479,NA,NA,NA
26677,-5,-4.98372,-3.52515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.26,NA,NA,NA
26847,-4.76804,-5,-2.91713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27197,-3.38519,-4.4709,-2.8388,NA,NA,NA,NA,NA,NA,NA,NA,19.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27276,-3.74805,-4.2257,-0.698068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.493,NA
27568,-2.89347,-3.58682,-0.843974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.034,NA
27674,-3.01182,-4.26391,-0.557241,NA,NA,NA,NA,NA,NA,NA,NA,39.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27894,-2.19659,-2.41393,-1.75593,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28009,-1.83471,-1.58077,-1.66821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
28290,-2.84584,-2.16148,-0.0222914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.298,NA,NA,NA,NA,NA,NA,NA,NA,NA
28585,-3.3394,-1.77788,-1.72136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.928,NA,NA,NA,NA,NA,NA,NA,NA,NA
28739,-2.7416,-1.79908,-2.72852,NA,NA,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28891,-3.28861,-2.57851,-3.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29167,-3.32131,-2.51587,-2.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.926,NA,NA,NA
29223,-3.73296,-1.82823,-1.67872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.922,NA,NA,NA,NA,NA,NA,NA,NA
29402,-4.09749,0.0267496,-3.14838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.27,NA,NA,NA,NA,NA,NA,NA,NA
29784,-4.34952,-0.152137,-3.24063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.149,NA,NA,NA,NA,NA,NA
29921,-5,0.493724,-2.52031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.808,NA,NA,NA,NA
30002,-5,0.738682,-1.40745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125.853,NA,NA,NA,NA
30363,-5,1.31293,0.340207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-141.43,NA,NA,NA,NA,NA,NA
30590,-4.97237,-0.730148,-0.120465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.02,NA,NA,NA,NA,NA,NA
30628,-5,2.18779,-1.95812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.099,NA,NA,NA,NA,NA
30884,-5,3.12335,-1.78503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.701,NA,NA,NA,NA,NA
31151,-5,3.47833,-1.71201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.925,NA,NA,NA
31292,-5,1.96866,-2.37565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.727
31410,-4.11989,2.67623,-1.63955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.02,NA,NA,NA,NA,NA,NA,NA,NA
31763,-4.15109,2.11578,-1.31918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31998,-4.85374,1.11525,-0.803935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.504
32055,-4.73684,2.83581,-1.46224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.352
32246,-4.2482,2.912,-1.09391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.646,NA,NA,NA,NA,NA,NA,NA,NA
32429,-4.85088,3.73152,0.830831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.239
32754,-5,3.63754,1.26935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA
