id,x0,x1,x2,fitness7,fitness6.5,fitness7.5,fitness8.5,fitness8,fitness9,fitness9.5,fitness5.5,fitness5,fitness4.5,fitness3,fitness4,fitness6,fitness10,fitness3.5
4174,7.7327,8.93763,8.48346,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4358,7.28713,7.5484,8.01094,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4439,6.79862,7.69053,7.89881,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4681,6.68829,8.57499,8.39621,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4863,7.60874,8.01011,8.03368,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,7.67509,7.51366,8.8996,NA,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5306,9.77933,7.57608,7.45726,NA,NA,NA,NA,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5425,7.68193,7.25546,7.39224,NA,NA,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5727,8.24769,7.57343,7.2425,NA,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA
5884,7.62912,7.27953,6.85908,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA
6057,7.77056,6.89231,5.59918,NA,NA,NA,NA,NA,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
6359,7.14912,7.71448,6.6069,NA,NA,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6469,7.80566,6.82962,7.05946,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6694,7.45498,6.94023,7.53267,NA,NA,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6951,7.04615,7.13697,7.51512,NA,NA,NA,NA,NA,NA,NA,0.329,NA,NA,NA,NA,NA,NA,NA
7168,8.05957,9.358,7.31766,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7235,7.55688,8.25834,7.8981,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7536,7.20542,8.34369,8.28612,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
7606,8.06318,7.88274,7.2459,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7805,6.36668,7.65357,7.79619,0.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8162,7.4394,8.45469,8.44753,NA,NA,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8256,7.56945,8.98728,8.44885,NA,NA,NA,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8462,8.30323,8.38459,8.48226,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8687,8.00131,7.14287,8.20635,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8887,6.66414,7.54049,7.93633,NA,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9168,7.56848,7.33361,7.93895,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9314,8.43646,7.8583,6.99286,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9512,7.45785,6.61167,6.71991,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9648,7.68136,7.76472,7.33439,NA,NA,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9994,8.61071,8.4093,6.854,NA,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012,7.55747,8.68879,7.34845,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10361,6.98497,8.56662,7.37864,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10483,7.3615,8.96038,6.85789,NA,NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10759,7.83269,8.29224,7.56183,NA,NA,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10841,8.19383,7.55928,7.14406,NA,NA,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11111,7.40837,7.43611,8.47919,NA,NA,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11288,6.8843,8.18764,8.36487,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11538,7.05033,7.23423,8.56551,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11610,7.82222,6.8055,9.08847,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11827,7.78381,7.37077,6.96042,NA,NA,NA,NA,NA,NA,NA,NA,0.614,NA,NA,NA,NA,NA,NA
12065,7.81151,7.36669,7.13443,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888,NA,NA,NA,NA,NA
12246,7.48695,6.52684,7.71366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,NA,NA,NA,NA
12527,7.53145,6.6433,8.30698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,NA,NA,NA
12663,8.27139,7.8121,7.49855,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903,NA,NA,NA,NA,NA
12923,8.21858,7.58813,7.08347,NA,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13083,9.03372,7.09274,8.05844,NA,NA,NA,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13360,8.99485,6.77645,7.41479,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13582,9.01272,7.10104,7.4718,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13724,9.56033,7.3506,7.33634,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13897,8.95741,7.59399,7.9624,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14160,7.78827,8.37242,8.17964,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14296,7.70783,8.0218,8.15484,NA,NA,NA,NA,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14416,7.89086,9.99836,8.6699,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14737,9.054,8.03788,7.42189,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14879,9.62043,7.95891,7.6196,NA,NA,NA,NA,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15014,9.51038,9.05481,6.51722,NA,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15347,9.09058,7.31055,7.38584,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15599,8.53274,8.79188,6.47467,NA,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15759,8.57029,8.52236,6.46725,NA,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15981,8.01771,8.73047,7.60845,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16030,8.26195,8.17984,8.51745,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16287,8.42886,8.89045,7.65234,NA,NA,NA,NA,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16459,8.87914,8.80678,8.62003,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16690,8.75512,8.17403,8.31631,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16926,8.1898,7.64021,7.53498,NA,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17160,8.95078,7.1867,7.21994,NA,NA,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17329,8.64099,7.61875,8.06513,NA,NA,NA,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17523,8.6988,7.31263,8.07264,NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17669,7.92502,7.20486,8.06469,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17993,7.48903,7.13129,7.97695,NA,NA,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18114,7.37793,6.754,6.8546,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18270,7.84426,8.27558,7.51305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,NA,NA
18561,8.77058,9.38543,7.85498,NA,NA,0.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18719,8.51372,9.15293,7.02866,NA,NA,NA,0.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18859,7.56597,7.71259,7.15004,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19104,7.91279,7.61733,6.57573,NA,NA,NA,NA,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19350,8.18748,7.35818,6.59313,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19457,8.85032,7.48564,8.01885,NA,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19676,8.69327,8.31492,7.48879,NA,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19855,7.99471,7.25439,7.51153,NA,NA,NA,NA,NA,NA,0.584,NA,NA,NA,NA,NA,NA,NA,NA
20080,7.73589,7.21507,7.87074,NA,NA,NA,NA,NA,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA
20285,7.93798,6.55551,8.42585,NA,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20595,7.64118,7.078,7.94713,NA,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20687,7.88703,6.87438,7.74844,NA,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20850,7.42306,6.90324,7.42105,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21059,7.75346,7.25424,8.16575,NA,NA,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21227,7.46368,6.92787,6.84324,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21462,7.39706,6.27574,7.37588,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21771,7.84967,7.09936,7.65418,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21926,8.195,6.52559,7.48798,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22156,9.09803,7.14532,7.55028,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22392,9.0875,8.39822,7.51988,NA,NA,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22542,9.21735,8.21006,8.02206,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22625,7.08481,7.9721,8.13135,NA,NA,NA,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22988,7.28299,8.29262,8.51922,NA,NA,NA,NA,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA,NA
23124,7.27527,9.21663,8.75329,NA,NA,NA,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23203,8.03446,8.58782,8.78758,NA,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23555,9.39915,8.24232,7.85765,NA,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23787,7.69739,8.41037,7.20903,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23818,6.38869,8.41707,7.77871,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24167,7.70127,7.77452,8.33652,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24209,7.32635,8.99554,8.0335,NA,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24439,8.02992,8.13086,6.94479,NA,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24769,8.37385,8.00488,8.3344,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24904,7.86244,7.73144,8.99201,NA,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25049,6.96896,6.82609,8.63592,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25253,7.39797,6.44856,8.37945,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25547,7.17197,6.62118,7.85237,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25654,7.93375,6.96335,8.2949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422,NA,NA
25982,8.20624,7.38407,7.53958,NA,NA,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26044,7.72474,7.75519,7.28405,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26384,7.3531,7.91955,7.8218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533,NA,NA
26424,7.01755,8.39027,8.22755,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26618,8.85794,8.23706,7.41111,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26937,8.59973,7.90829,8.01487,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27055,8.9449,7.74823,8.04067,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27392,8.8789,7.53299,8.89505,NA,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27450,7.81845,7.54977,8.2895,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27636,8.21599,7.39451,9.02925,NA,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27916,7.81104,6.84964,9.05644,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28010,7.75699,7.99486,7.78772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA
28267,7.25783,6.78738,7.67099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,NA,NA,NA,NA,NA
28578,7.95947,6.77529,8.03706,NA,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28676,7.45696,7.44433,6.92698,NA,NA,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28858,7.1382,6.14491,7.3415,NA,NA,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29065,6.50132,7.48382,8.04176,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29249,7.19124,7.18855,7.89153,NA,NA,NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29460,7.603,7.26039,9.56635,NA,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29642,7.85109,6.9614,9.08415,NA,NA,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29897,8.29443,7.10261,7.81223,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30186,9.7193,7.90009,8.13532,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA
30257,9.19902,8.51439,7.52619,NA,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30443,8.18457,7.94044,8.21873,NA,NA,NA,NA,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30650,8.42798,8.38713,7.51597,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30858,8.69823,7.86938,6.98773,NA,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31065,9.50674,7.7304,6.67846,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31317,9.28469,7.47077,7.26338,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31534,8.32161,7.59721,7.33185,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31786,9.19535,7.89774,7.12656,NA,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31810,8.52916,7.44328,7.41435,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32093,7.46959,7.59294,7.60464,NA,NA,NA,NA,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32316,6.37198,7.43096,8.27904,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32569,5.80555,7.5531,7.64564,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32629,7.15114,7.63073,8.48214,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32964,7.47253,7.82058,7.41969,NA,NA,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33023,9.11752,8.65334,7.45483,NA,NA,NA,0.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33238,7.71804,7.44002,8.33402,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33490,8.27399,6.97687,7.19344,NA,NA,NA,NA,NA,NA,0.348,NA,NA,NA,NA,NA,NA,NA,NA
33744,6.94789,7.07514,8.77942,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
33874,8.15065,7.73009,7.73942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501,NA
34123,6.918,7.76607,9.41323,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34231,7.52571,7.50937,9.5392,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34591,8.13142,8.07047,7.98796,NA,NA,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34757,7.89243,7.65129,7.50456,NA,NA,0.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34808,8.03196,7.39886,7.80165,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35184,8.56214,6.76586,7.88094,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35246,9.04795,6.87437,7.80849,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35408,8.80424,7.72485,8.80997,NA,NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35660,7.89291,7.40196,10.5,NA,NA,NA,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35816,7.26197,8.39665,8.68354,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36097,7.08339,7.98355,8.34608,NA,NA,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA
36206,8.76169,7.88585,6.90873,NA,NA,NA,NA,NA,0.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
36517,8.20355,8.67571,6.73266,NA,NA,NA,NA,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36698,6.94622,7.25648,7.47848,NA,NA,NA,NA,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36879,8.05319,8.33285,7.67129,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37101,7.85471,7.91123,7.6653,NA,NA,NA,NA,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37269,9.88021,7.58484,7.2837,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37474,8.79768,6.91491,7.82851,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37715,8.06219,6.50228,8.37736,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37821,7.99299,4.68719,7.82785,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38187,7.01061,4.34594,8.35947,NA,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38227,7.37362,4.84974,8.92559,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38560,8.62766,5.01749,8.46956,NA,NA,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38724,7.60768,6.16655,8.13293,NA,NA,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38845,7.77692,6.49651,8.45505,NA,NA,NA,NA,0.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39094,8.64377,7.79975,7.98626,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39274,8.58197,6.53285,6.79001,NA,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39440,8.4179,7.26921,6.70763,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717,7.99627,7.47594,7.12797,NA,NA,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39995,8.66207,8.17038,7.79548,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40031,8.10899,8.2522,7.62949,NA,NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40336,9.58229,8.57765,8.28829,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40594,8.52613,6.42659,7.79306,0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40795,8.82107,7.95474,7.55575,NA,NA,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40989,7.12185,7.43794,7.33283,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41118,8.15398,7.75925,6.80505,NA,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA
41296,8.32477,7.34315,7.55648,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA
41446,7.94536,7.54251,6.98481,NA,NA,NA,NA,NA,NA,NA,0.373,NA,NA,NA,NA,NA,NA,NA
41617,7.30482,7.62024,7.25923,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41834,6.56894,7.95577,9.08343,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42047,7.00929,7.92495,7.3375,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42315,9.25215,6.69449,7.58412,NA,NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42452,8.96842,7.17202,7.51662,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42790,7.93677,7.92519,8.22229,NA,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42925,8.69592,7.33166,7.65984,NA,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
