id,x0,x1,x2,fitness-4,fitness-4.5,fitness-3,fitness-2,fitness-1,fitness-5,fitness-3.5,fitness-2.5,fitness-1.5,fitness-0.5,fitness0,fitness0.5,fitness1.5
10459,1.23944,1.77164,-3.6942,NA,NA,NA,NA,NA,NA,NA,NA,-45.693,NA,NA,NA,NA
10755,1.85461,0.896916,-4.06552,NA,NA,NA,-31.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
10844,2.75409,1.5665,-4.86215,NA,NA,NA,NA,NA,NA,NA,NA,-44.839,NA,NA,NA,NA
11078,2.56986,1.12815,-4.25534,NA,NA,NA,NA,NA,NA,NA,NA,-66.96,NA,NA,NA,NA
11377,3.03317,0.568458,-3.63472,NA,NA,NA,NA,NA,NA,NA,-96.982,NA,NA,NA,NA,NA
11470,2.40403,1.8264,-4.81428,NA,NA,-21.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11621,1.85068,2.55152,-3.45688,NA,NA,NA,NA,NA,-154.895,NA,NA,NA,NA,NA,NA,NA
11981,2.1901,2.89877,-4.13739,NA,-118.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12158,0.663201,2.40057,-4.47332,NA,NA,NA,NA,NA,-165.508,NA,NA,NA,NA,NA,NA,NA
12384,-0.156883,1.83251,-4.65795,NA,NA,NA,NA,NA,-202.174,NA,NA,NA,NA,NA,NA,NA
12484,0.730187,2.81863,-4.50928,NA,NA,NA,NA,NA,-168.05,NA,NA,NA,NA,NA,NA,NA
12751,0.87436,3.05232,-3.88224,NA,-128.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12883,1.51098,2.1191,-3.55947,-67.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13092,1.15525,2.49117,-3.93324,NA,NA,-39.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13400,1.48578,4.80465,-3.2194,NA,NA,NA,NA,NA,NA,NA,-249.062,NA,NA,NA,NA,NA
13600,0.985395,4.4137,-3.61668,NA,NA,NA,-192.444,NA,NA,NA,NA,NA,NA,NA,NA,NA
13707,2.1656,3.10147,-4.66956,NA,NA,NA,NA,NA,NA,NA,-53.685,NA,NA,NA,NA,NA
13844,1.49818,3.51341,-4.12474,NA,NA,NA,NA,NA,NA,NA,-79.561,NA,NA,NA,NA,NA
14133,2.20348,1.75634,-4.5962,NA,NA,NA,NA,NA,NA,NA,-8.721,NA,NA,NA,NA,NA
14265,2.19479,2.31412,-2.79952,NA,NA,NA,NA,NA,NA,NA,-80.947,NA,NA,NA,NA,NA
14534,2.29604,3.1212,-4.96877,NA,NA,-66.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14715,3.17251,2.17609,-4.93301,NA,-140.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14986,2.464,2.26415,-4.13088,NA,NA,-28.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15122,2.25602,2.70316,-4.64351,-67.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15232,2.10683,1.96284,-4.26514,-45.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15534,2.48542,1.80602,-4.36986,NA,-118.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15799,3.18062,1.33992,-3.50619,NA,NA,-79.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15999,1.10815,1.63312,-3.76386,NA,NA,NA,-38.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
16179,0.651625,1.07349,-4.76125,NA,NA,NA,NA,NA,NA,NA,NA,-106.134,NA,NA,NA,NA
16308,0.153798,-0.0369705,-4.52833,NA,NA,NA,NA,NA,NA,NA,-367.178,NA,NA,NA,NA,NA
16590,-0.381793,1.30021,-4.36409,NA,NA,NA,NA,NA,NA,NA,-138.224,NA,NA,NA,NA,NA
16647,0.690696,1.83331,-4.71584,NA,NA,NA,NA,NA,NA,NA,-39.246,NA,NA,NA,NA,NA
16857,0.406392,0.462775,-3.52227,NA,NA,NA,NA,-267.908,NA,NA,NA,NA,NA,NA,NA,NA
17072,-0.120034,1.65345,-4.08272,NA,NA,NA,NA,NA,NA,NA,NA,-132.22,NA,NA,NA,NA
17263,0.828827,2.09291,-2.96724,NA,NA,NA,-81.132,NA,NA,NA,NA,NA,NA,NA,NA,NA
17433,0.841164,2.23459,-4.71853,NA,NA,NA,NA,NA,NA,NA,NA,-67.201,NA,NA,NA,NA
17728,2.86287,1.4469,-3.09405,NA,NA,NA,NA,NA,NA,NA,NA,-96.874,NA,NA,NA,NA
17872,2.10707,1.64295,-3.91073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.911,NA,NA
18097,2.00082,1.3771,-4.06624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-192.67,NA,NA
18262,2.21866,1.12773,-4.97865,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135.372,NA,NA,NA
18450,1.89684,1.9478,-4.13765,NA,NA,NA,NA,NA,NA,NA,NA,-22.884,NA,NA,NA,NA
18678,0.736884,1.98461,-3.48055,NA,NA,NA,NA,NA,NA,NA,-54.943,NA,NA,NA,NA,NA
18956,0.757194,0.620031,-2.12956,NA,NA,-218.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19082,1.73412,1.1366,-1.93575,NA,NA,-185.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19312,1.49378,0.800984,-3.80993,NA,NA,NA,NA,NA,NA,-67.612,NA,NA,NA,NA,NA,NA
19449,2.21863,0.629946,-3.61847,NA,NA,NA,NA,NA,NA,-74.759,NA,NA,NA,NA,NA,NA
19603,2.12153,0.870788,-4.67362,NA,NA,NA,NA,NA,NA,NA,-33.737,NA,NA,NA,NA,NA
19988,2.13711,1.45428,-4.96913,NA,NA,NA,NA,-71.553,NA,NA,NA,NA,NA,NA,NA,NA
20065,2.11218,3.54585,-4.92453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-215.306,NA,NA
20243,0.958105,3.01471,-4.7502,NA,NA,NA,NA,NA,NA,NA,NA,-76.224,NA,NA,NA,NA
20579,1.10071,3.33991,-4.60701,NA,NA,NA,NA,NA,NA,NA,NA,-97.27,NA,NA,NA,NA
20672,1.31575,2.3734,-4.07629,NA,NA,NA,NA,NA,NA,NA,NA,-57.188,NA,NA,NA,NA
20916,1.36932,2.2039,-4.5527,NA,NA,NA,NA,NA,NA,NA,NA,-30.204,NA,NA,NA,NA
21033,0.375464,2.79303,-4.19042,NA,NA,NA,NA,NA,NA,NA,-73.834,NA,NA,NA,NA,NA
21331,1.68982,2.39086,-4.06002,NA,NA,NA,NA,NA,NA,NA,NA,-42.225,NA,NA,NA,NA
21444,1.95971,2.63842,-3.71762,NA,NA,NA,NA,NA,NA,NA,-35.594,NA,NA,NA,NA,NA
21724,1.61622,2.09445,-4.15195,NA,NA,NA,NA,NA,NA,NA,-8.728,NA,NA,NA,NA,NA
21934,1.40257,0.0808436,-4.66416,NA,NA,NA,NA,NA,NA,NA,-165.61,NA,NA,NA,NA,NA
22132,1.07666,0.5432,-4.81392,NA,NA,NA,NA,NA,NA,NA,-108.479,NA,NA,NA,NA,NA
22240,0.351294,1.8175,-4.33554,NA,NA,NA,-59.777,NA,NA,NA,NA,NA,NA,NA,NA,NA
22512,2.97891,3.18308,-4.4754,NA,NA,NA,-92.548,NA,NA,NA,NA,NA,NA,NA,NA,NA
22746,3.95442,1.9845,-4.0782,NA,NA,NA,NA,NA,NA,-126.936,NA,NA,NA,NA,NA,NA
22932,3.88362,1.79529,-4.53981,NA,NA,NA,NA,NA,NA,-120.095,NA,NA,NA,NA,NA,NA
23098,3.00194,1.88459,-4.27662,NA,NA,NA,-44.198,NA,NA,NA,NA,NA,NA,NA,NA,NA
23265,2.55894,1.5629,-4.57574,NA,NA,NA,-29.256,NA,NA,NA,NA,NA,NA,NA,NA,NA
23539,2.44783,2.42415,-4.43962,NA,NA,NA,NA,NA,NA,-46.407,NA,NA,NA,NA,NA,NA
23656,2.73187,3.4091,-3.98678,NA,NA,NA,-94.287,NA,NA,NA,NA,NA,NA,NA,NA,NA
23803,2.23911,1.91233,-4.83859,NA,NA,NA,-19.726,NA,NA,NA,NA,NA,NA,NA,NA,NA
24150,2.36445,3.61572,-3.42385,NA,NA,-119.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24248,2.69982,3.69349,-3.33317,NA,NA,NA,NA,NA,NA,NA,-140.835,NA,NA,NA,NA,NA
24418,2.5389,3.34631,-4.21985,-137.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24671,3.1466,2.47071,-3.66317,NA,NA,NA,NA,NA,NA,NA,-74.047,NA,NA,NA,NA,NA
24958,3.07981,1.75938,-4.99812,NA,NA,NA,NA,NA,NA,NA,NA,-69.86,NA,NA,NA,NA
25011,2.4277,1.69666,-4.47292,NA,NA,-16.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25205,2.5542,1.38734,-4.53705,NA,NA,-28.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25485,2.07287,1.13845,-4.68603,NA,NA,NA,NA,NA,NA,NA,-17.444,NA,NA,NA,NA,NA
25792,1.45514,0.667144,-3.99397,-109.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25984,0.516028,1.34605,-3.83829,NA,-147.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26075,1.11003,0.855865,-4.03621,NA,NA,NA,NA,NA,-153.815,NA,NA,NA,NA,NA,NA,NA
26219,1.22157,1.45786,-4.01878,NA,-95.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26552,1.30102,1.57148,-4.2865,-69.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26691,1.34588,1.81808,-4.78924,NA,NA,NA,NA,NA,NA,-46.448,NA,NA,NA,NA,NA,NA
26912,2.82311,-0.0188946,-4.97522,-177.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27024,3.87509,2.02877,-4.4349,-157.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27379,2.28998,1.38258,-4.0938,NA,NA,NA,NA,NA,NA,-29.624,NA,NA,NA,NA,NA,NA
27406,1.42067,1.32991,-4.15069,NA,NA,NA,-13.201,NA,NA,NA,NA,NA,NA,NA,NA,NA
27629,3.34187,0.970281,-4.30184,NA,NA,NA,NA,-128.082,NA,NA,NA,NA,NA,NA,NA,NA
27913,3.42473,1.85538,-3.86049,NA,NA,NA,NA,NA,NA,NA,NA,-89.287,NA,NA,NA,NA
28013,1.95094,1.60754,-3.57046,NA,NA,NA,NA,NA,NA,NA,NA,-37.898,NA,NA,NA,NA
28316,3.05991,2.17395,-2.42613,NA,NA,NA,NA,NA,NA,NA,-180.12,NA,NA,NA,NA,NA
28599,1.74037,1.71795,-2.63718,NA,NA,NA,-89.114,NA,NA,NA,NA,NA,NA,NA,NA,NA
28682,1.62549,1.77927,-3.37025,NA,NA,NA,NA,NA,NA,NA,-28.72,NA,NA,NA,NA,NA
28922,0.0653576,2.66692,-3.30658,NA,NA,NA,NA,NA,NA,NA,NA,-180.388,NA,NA,NA,NA
29166,-0.640958,2.62771,-3.5754,NA,NA,NA,NA,NA,NA,NA,-172.032,NA,NA,NA,NA,NA
29398,1.34616,1.73075,-2.51887,NA,NA,NA,-109.741,NA,NA,NA,NA,NA,NA,NA,NA,NA
29486,1.39118,1.22865,-3.62243,NA,NA,NA,-39.615,NA,NA,NA,NA,NA,NA,NA,NA,NA
29664,1.71508,1.33873,-4.53587,NA,NA,-8.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29801,1.11217,0.458184,-4.55282,NA,NA,NA,-122.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
30163,2.0746,0.825116,-3.98032,-96.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30379,2.64658,1.96758,-4.64523,NA,NA,NA,NA,NA,NA,NA,-24.933,NA,NA,NA,NA,NA
30437,2.50139,1.69899,-4.76237,NA,NA,NA,NA,NA,NA,NA,NA,-43.807,NA,NA,NA,NA
30607,2.6387,2.07082,-4.49005,NA,NA,NA,-32.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
30938,3.28591,0.87485,-4.25493,NA,NA,NA,NA,NA,NA,NA,NA,-94.999,NA,NA,NA,NA
31056,2.83504,1.28003,-4.2111,NA,NA,NA,-41.804,NA,NA,NA,NA,NA,NA,NA,NA,NA
31347,3.54551,2.05021,-4.24036,NA,NA,-81.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31558,4.11025,2.47156,-4.33909,NA,NA,-146.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31707,3.3157,1.22546,-4.69555,NA,NA,NA,NA,NA,NA,-76.546,NA,NA,NA,NA,NA,NA
31958,3.77275,0.319582,-4.88149,NA,NA,NA,NA,NA,NA,-154.461,NA,NA,NA,NA,NA,NA
32081,1.61709,1.15639,-4.997,NA,NA,-29.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32236,2.10398,2.19733,-4.32916,NA,NA,-15.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32438,2.97402,2.3739,-4.47928,NA,NA,-55.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32650,1.73265,3.02844,-4.54876,NA,NA,NA,-51.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
32857,2.73194,2.59173,-4.38273,NA,NA,NA,-44.678,NA,NA,NA,NA,NA,NA,NA,NA,NA
33078,4.29786,2.76337,-4.15783,NA,-274.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33376,2.70645,2.71325,-4.81742,NA,NA,NA,NA,NA,NA,-81.786,NA,NA,NA,NA,NA,NA
33430,2.79589,1.80067,-3.79193,NA,NA,NA,NA,NA,NA,NA,-36.707,NA,NA,NA,NA,NA
33645,2.87503,1.44336,-3.37644,NA,NA,-62.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33850,2.60073,1.63368,-3.60239,NA,NA,NA,NA,NA,NA,NA,NA,-52.203,NA,NA,NA,NA
34074,3.02622,2.36654,-3.73914,NA,NA,NA,NA,NA,NA,NA,-61.822,NA,NA,NA,NA,NA
34240,2.00461,4.82468,-4.68476,NA,NA,NA,NA,NA,NA,NA,-214.285,NA,NA,NA,NA,NA
34418,3.61533,3.19089,-4.65673,-170.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34763,2.89567,3.82979,-3.75576,-190.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34891,1.1628,1.83599,-4.29213,NA,-112.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35058,0.500004,2.95688,-3.78219,NA,NA,NA,NA,NA,NA,-102.112,NA,NA,NA,NA,NA,NA
35307,0.753107,2.56308,-2.04824,NA,NA,-180.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35477,1.07263,2.4261,-2.54443,NA,NA,NA,NA,NA,NA,NA,-106.804,NA,NA,NA,NA,NA
35751,1.27837,1.57586,-1.93863,NA,NA,NA,NA,NA,NA,-180.048,NA,NA,NA,NA,NA,NA
35922,1.93334,2.20475,-4.13285,NA,NA,NA,NA,NA,NA,NA,-11.874,NA,NA,NA,NA,NA
36001,1.06019,3.09551,-4.04902,NA,NA,-62.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36364,0.684007,1.48713,-4.79611,NA,NA,NA,NA,NA,NA,NA,-48.283,NA,NA,NA,NA,NA
36538,1.05073,1.91512,-4.82251,NA,NA,NA,-33.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
36684,0.950349,1.60982,-4.11835,NA,NA,NA,NA,-73.193,NA,NA,NA,NA,NA,NA,NA,NA
36894,1.17143,0.653169,-3.2892,NA,NA,-100.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37114,2.36304,-0.277465,-3.21086,NA,NA,NA,NA,NA,NA,-205.669,NA,NA,NA,NA,NA,NA
37227,1.95885,0.322965,-4.62807,NA,NA,NA,NA,NA,NA,NA,-86.987,NA,NA,NA,NA,NA
37512,1.39021,0.823753,-3.12261,-108.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37663,2.22598,1.23899,-3.09079,NA,NA,NA,NA,NA,NA,NA,-58.288,NA,NA,NA,NA,NA
37877,2.7709,1.28968,-4.53656,NA,NA,NA,NA,NA,NA,NA,NA,-60.393,NA,NA,NA,NA
38127,2.83085,1.61796,-4.16232,NA,NA,NA,NA,-66.389,NA,NA,NA,NA,NA,NA,NA,NA
38239,3.29583,2.17864,-4.75215,NA,NA,NA,NA,NA,NA,NA,-62.654,NA,NA,NA,NA,NA
38529,2.54068,1.75638,-4.46341,NA,NA,NA,-25.071,NA,NA,NA,NA,NA,NA,NA,NA,NA
38762,2.40134,0.959444,-4.68892,NA,NA,NA,NA,NA,NA,NA,NA,-70.216,NA,NA,NA,NA
38822,1.62848,0.248597,-3.73897,NA,NA,NA,-153.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
39177,2.49345,-0.694931,-3.97879,NA,NA,NA,NA,NA,NA,-256.168,NA,NA,NA,NA,NA,NA
39236,1.56738,0.354756,-4.56869,NA,NA,NA,NA,NA,-187.194,NA,NA,NA,NA,NA,NA,NA
39514,1.41574,1.10312,-3.49003,NA,NA,NA,NA,NA,NA,-69.45,NA,NA,NA,NA,NA,NA
39779,-0.0630593,1.67842,-4.88604,-123.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39811,0.439746,2.6097,-3.96435,-121.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40164,0.829157,4.01065,-4.84002,-180.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40387,0.904735,3.32625,-3.60724,NA,NA,-93.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40583,-0.0429397,3.16085,-3.56561,NA,NA,NA,NA,NA,NA,NA,-139.392,NA,NA,NA,NA,NA
40705,1.00989,2.41737,-2.63665,NA,NA,NA,NA,NA,NA,NA,-101.228,NA,NA,NA,NA,NA
40949,2.08806,3.19608,-3.24289,NA,NA,NA,-94.299,NA,NA,NA,NA,NA,NA,NA,NA,NA
41038,0.979343,3.05066,-4.6491,NA,NA,NA,-61.468,NA,NA,NA,NA,NA,NA,NA,NA,NA
41297,2.1313,2.54579,-4.93493,NA,NA,NA,-37.139,NA,NA,NA,NA,NA,NA,NA,NA,NA
41402,1.42202,2.69599,-4.01846,NA,NA,NA,-35.778,NA,NA,NA,NA,NA,NA,NA,NA,NA
41702,1.7622,2.09342,-4.99257,NA,NA,NA,NA,NA,NA,NA,-17.915,NA,NA,NA,NA,NA
41943,2.66774,1.05186,-4.00328,NA,NA,NA,-47.882,NA,NA,NA,NA,NA,NA,NA,NA,NA
42196,2.14812,1.91895,-4.85039,NA,NA,NA,NA,NA,NA,NA,NA,-28.669,NA,NA,NA,NA
42205,2.0797,2.96885,-2.9467,NA,NA,NA,-101.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
42531,1.55146,2.20669,-4.01726,NA,NA,NA,-15.437,NA,NA,NA,NA,NA,NA,NA,NA,NA
42664,1.63754,3.35952,-4.95615,NA,NA,NA,NA,NA,NA,NA,NA,-97.303,NA,NA,NA,NA
42950,0.972559,3.65899,-4.54015,NA,NA,-110.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43107,1.14718,3.71109,-4.07488,NA,-165.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43273,0.575661,4.15626,-4.89768,NA,NA,NA,NA,NA,NA,-179.714,NA,NA,NA,NA,NA,NA
43403,1.00642,4.87408,-4.92861,NA,NA,NA,-242.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
43669,-0.00116296,2.79258,-3.89632,NA,NA,-104.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43911,0.274711,2.75683,-3.74308,NA,NA,-93.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44017,1.8244,2.98398,-2.59671,-156.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44282,1.67194,2.3714,-3.17993,NA,NA,NA,NA,NA,NA,NA,-48.244,NA,NA,NA,NA,NA
44586,2.06493,1.87284,-2.91159,NA,NA,NA,NA,NA,NA,NA,-60.07,NA,NA,NA,NA,NA
44717,1.52783,2.84377,-3.695,NA,NA,NA,NA,NA,NA,-62.629,NA,NA,NA,NA,NA,NA
44850,2.44471,2.37898,-3.87266,NA,NA,NA,NA,NA,NA,NA,-30.989,NA,NA,NA,NA,NA
45013,3.44638,3.65832,-4.38231,NA,NA,NA,NA,NA,NA,-175.053,NA,NA,NA,NA,NA,NA
45209,2.34376,4.22804,-3.72412,-210.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45402,1.83321,4.69461,-3.71358,NA,-284.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45604,1.2472,4.48495,-4.2863,NA,NA,NA,NA,NA,-280.172,NA,NA,NA,NA,NA,NA,NA
