id,x0,x1,x2,fitness-4,fitness-2.5,fitness-3,fitness-1.5,fitness-3.5,fitness-1,fitness-2,fitness-4.5,fitness-5,fitness-0.5
4035,2.05497,1.56585,-4.65537,NA,-6.839,NA,NA,NA,NA,NA,NA,NA,NA
4365,2.78522,2.65583,-4.04064,NA,NA,NA,NA,-69.582,NA,NA,NA,NA,NA
4571,2.07873,1.3234,-5,NA,NA,-22.179,NA,NA,NA,NA,NA,NA,NA
4788,1.19793,2.08879,-4.02771,NA,NA,NA,NA,-38.473,NA,NA,NA,NA,NA
4887,1.33471,2.31628,-4.27467,NA,NA,NA,NA,-31.612,NA,NA,NA,NA,NA
5014,0.871137,3.62071,-4.72424,NA,NA,NA,NA,-115.074,NA,NA,NA,NA,NA
5374,0.981134,2.84461,-5,NA,NA,-65.803,NA,NA,NA,NA,NA,NA,NA
5503,0.945671,2.45896,-5,NA,-43.087,NA,NA,NA,NA,NA,NA,NA,NA
5776,1.16835,2.89448,-5,NA,-53.055,NA,NA,NA,NA,NA,NA,NA,NA
5818,1.92631,2.09096,-5,NA,NA,NA,NA,NA,-61.531,NA,NA,NA,NA
6049,2.67598,1.66199,-5,NA,NA,NA,-47.851,NA,NA,NA,NA,NA,NA
6255,2.54242,1.29929,-5,NA,-34.5,NA,NA,NA,NA,NA,NA,NA,NA
6513,2.39,0.557599,-4.6483,NA,-65.902,NA,NA,NA,NA,NA,NA,NA,NA
6748,2.37008,0.935685,-4.02273,NA,NA,NA,NA,NA,NA,-41.045,NA,NA,NA
6956,1.51483,1.12995,-4.33487,NA,NA,NA,NA,NA,NA,-34.195,NA,NA,NA
7032,1.64654,1.56933,-4.11377,NA,NA,NA,NA,NA,-69.247,NA,NA,NA,NA
7329,1.62113,1.61207,-5,NA,NA,NA,NA,NA,NA,-21.546,NA,NA,NA
7434,0.669581,2.77173,-5,NA,NA,NA,NA,NA,NA,-68.682,NA,NA,NA
7628,1.07519,2.34187,-5,NA,NA,NA,NA,NA,NA,-40.808,NA,NA,NA
7957,1.23164,2.193,-4.74145,NA,NA,NA,NA,-33.573,NA,NA,NA,NA,NA
8045,0.335914,1.99799,-3.60374,NA,NA,-77.992,NA,NA,NA,NA,NA,NA,NA
8368,2.21044,1.73982,-4.10296,NA,NA,-9.881,NA,NA,NA,NA,NA,NA,NA
8452,1.91909,1.82657,-5,NA,NA,NA,NA,NA,-55.603,NA,NA,NA,NA
8776,2.31331,2.29704,-5,NA,-29.56,NA,NA,NA,NA,NA,NA,NA,NA
8956,1.72715,1.8322,-4.60994,NA,NA,NA,NA,-25.653,NA,NA,NA,NA,NA
9022,1.65753,2.02488,-4.15835,NA,NA,NA,NA,-20.518,NA,NA,NA,NA,NA
9320,1.70664,2.00143,-5,NA,NA,NA,NA,NA,NA,NA,-104.253,NA,NA
9516,1.90718,2.07612,-5,-70.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
9655,2.17678,0.908003,-5,NA,NA,NA,NA,NA,NA,-46.407,NA,NA,NA
9819,1.19974,3.39063,-4.13374,NA,-75.414,NA,NA,NA,NA,NA,NA,NA,NA
10164,1.91538,3.25116,-4.64435,NA,-59.493,NA,NA,NA,NA,NA,NA,NA,NA
10371,2.1521,2.52927,-4.35289,NA,NA,NA,NA,-39.213,NA,NA,NA,NA,NA
10526,0.907843,2.28005,-4.56649,NA,NA,NA,-47.396,NA,NA,NA,NA,NA,NA
10799,0.131091,1.58937,-4.43096,NA,NA,NA,NA,NA,NA,-92.571,NA,NA,NA
10918,1.87214,2.3474,-4.94999,NA,NA,NA,NA,NA,NA,-26.118,NA,NA,NA
11058,1.5568,1.88739,-4.90493,NA,NA,-16.093,NA,NA,NA,NA,NA,NA,NA
11397,1.91543,1.04787,-4.35736,NA,NA,NA,NA,-37.391,NA,NA,NA,NA,NA
11451,3.01487,2.37141,-3.84669,NA,NA,-67.619,NA,NA,NA,NA,NA,NA,NA
11662,2.3157,3.06348,-4.42663,NA,NA,NA,NA,NA,-98.039,NA,NA,NA,NA
11984,1.64922,2.54927,-5,NA,NA,NA,-50.388,NA,NA,NA,NA,NA,NA
12029,1.16385,2.45436,-5,NA,-36.265,NA,NA,NA,NA,NA,NA,NA,NA
12240,1.17008,1.4312,-5,NA,NA,NA,NA,NA,NA,-32.913,NA,NA,NA
12503,1.1393,2.1007,-5,NA,NA,NA,NA,NA,NA,-30.576,NA,NA,NA
12627,0.948255,2.62191,-4.68197,NA,NA,NA,NA,NA,NA,-44.185,NA,NA,NA
12855,1.69262,2.43194,-5,NA,NA,NA,NA,-45.441,NA,NA,NA,NA,NA
13168,-0.0728982,1.14499,-4.56207,NA,NA,NA,NA,-121.072,NA,NA,NA,NA,NA
13237,1.85319,1.23796,-3.73354,NA,-18.556,NA,NA,NA,NA,NA,NA,NA,NA
13410,3.01544,2.226,-4.35921,NA,NA,NA,-61.656,NA,NA,NA,NA,NA,NA
13687,2.76887,0.754513,-5,NA,NA,NA,-100.783,NA,NA,NA,NA,NA,NA
13889,0.844665,1.02977,-4.32416,NA,-59.071,NA,NA,NA,NA,NA,NA,NA,NA
14133,0.333918,1.14582,-3.93637,NA,NA,-84.984,NA,NA,NA,NA,NA,NA,NA
14291,0.856554,1.57961,-5,NA,-40.89,NA,NA,NA,NA,NA,NA,NA,NA
14431,0.626086,3.23863,-5,NA,NA,-92.751,NA,NA,NA,NA,NA,NA,NA
14631,1.00366,2.68709,-5,NA,NA,NA,-67.77,NA,NA,NA,NA,NA,NA
14951,0.91541,1.66864,-4.0431,NA,NA,NA,NA,NA,NA,-43.56,NA,NA,NA
15166,1.17674,2.91545,-3.99744,NA,NA,-52.842,NA,NA,NA,NA,NA,NA,NA
15292,1.19058,2.41937,-3.27075,NA,NA,NA,NA,-66.778,NA,NA,NA,NA,NA
15532,2.76133,2.22676,-3.46751,NA,-54.411,NA,NA,NA,NA,NA,NA,NA,NA
15612,2.225,1.88052,-5,NA,-19.537,NA,NA,NA,NA,NA,NA,NA,NA
15996,1.66189,1.23782,-3.65308,NA,-24.131,NA,NA,NA,NA,NA,NA,NA,NA
16099,2.34492,2.23468,-4.89099,NA,-24.548,NA,NA,NA,NA,NA,NA,NA,NA
16244,2.50496,1.58591,-5,NA,NA,-29.1,NA,NA,NA,NA,NA,NA,NA
16510,2.1571,1.33687,-5,NA,NA,NA,NA,-36.276,NA,NA,NA,NA,NA
16681,2.29123,1.7577,-4.85866,NA,NA,-24.989,NA,NA,NA,NA,NA,NA,NA
16883,2.11632,1.53419,-5,NA,NA,NA,NA,-31.815,NA,NA,NA,NA,NA
17054,1.82894,2.18066,-5,NA,-19.744,NA,NA,NA,NA,NA,NA,NA,NA
17314,2.38349,2.09038,-4.88568,NA,NA,NA,NA,NA,NA,-33.297,NA,NA,NA
17549,1.97796,1.67983,-4.2541,NA,NA,NA,NA,-33.448,NA,NA,NA,NA,NA
17648,1.64491,1.44441,-5,NA,NA,NA,NA,-41.153,NA,NA,NA,NA,NA
17864,1.69933,1.4341,-4.64536,NA,NA,NA,-25.354,NA,NA,NA,NA,NA,NA
18083,3.04672,1.05908,-4.34941,NA,NA,NA,-70.743,NA,NA,NA,NA,NA,NA
18304,1.36024,1.6171,-3.50926,NA,NA,NA,NA,NA,NA,-33.457,NA,NA,NA
18428,1.95985,1.8184,-4.78041,NA,NA,-20.624,NA,NA,NA,NA,NA,NA,NA
18642,1.44763,1.5732,-5,NA,NA,NA,NA,NA,NA,-21.188,NA,NA,NA
18941,1.7071,1.39311,-5,NA,NA,-22.101,NA,NA,NA,NA,NA,NA,NA
19130,1.616,1.3376,-5,NA,NA,NA,NA,-33.603,NA,NA,NA,NA,NA
19300,2.58899,0.98418,-4.82793,NA,-44.12,NA,NA,NA,NA,NA,NA,NA,NA
19508,2.40722,1.88273,-4.71709,NA,-17.093,NA,NA,NA,NA,NA,NA,NA,NA
19725,2.98843,1.71145,-4.73039,NA,NA,NA,NA,NA,NA,-45.518,NA,NA,NA
19806,2.61107,1.98456,-5,NA,-31.739,NA,NA,NA,NA,NA,NA,NA,NA
20140,2.53823,1.2513,-5,NA,-34.034,NA,NA,NA,NA,NA,NA,NA,NA
20287,2.59066,1.30158,-4.79791,NA,-28.866,NA,NA,NA,NA,NA,NA,NA,NA
20463,1.13085,1.52098,-4.76236,NA,NA,NA,NA,-35.712,NA,NA,NA,NA,NA
20796,1.93025,2.36064,-5,NA,NA,-33.551,NA,NA,NA,NA,NA,NA,NA
20993,1.8499,0.96977,-5,NA,NA,NA,NA,-59.802,NA,NA,NA,NA,NA
21113,2.93881,1.74604,-5,-86.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
21231,1.71581,2.70177,-4.57489,-85.479,NA,NA,NA,NA,NA,NA,NA,NA,NA
21539,3.13447,1.69228,-4.35847,NA,NA,-48.057,NA,NA,NA,NA,NA,NA,NA
21659,2.98721,1.38218,-4.91705,NA,NA,NA,NA,-71.555,NA,NA,NA,NA,NA
21874,2.8199,0.554388,-4.92559,NA,NA,NA,NA,-89.353,NA,NA,NA,NA,NA
22198,1.53981,0.500869,-5,-112.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
22356,1.52676,0.740602,-4.79837,NA,NA,-52.784,NA,NA,NA,NA,NA,NA,NA
22600,2.00654,1.01538,-4.98763,NA,NA,NA,NA,-51.912,NA,NA,NA,NA,NA
22770,1.54888,1.87646,-5,NA,-17.753,NA,NA,NA,NA,NA,NA,NA,NA
22849,0.809873,2.75643,-4.97207,NA,-58.085,NA,NA,NA,NA,NA,NA,NA,NA
23181,0.968064,1.47876,-4.81497,NA,NA,NA,NA,-56.48,NA,NA,NA,NA,NA
23353,1.87461,2.85406,-5,NA,-44.419,NA,NA,NA,NA,NA,NA,NA,NA
23544,1.4871,1.54763,-4.98523,NA,NA,NA,NA,NA,NA,-28.817,NA,NA,NA
23795,0.822513,1.52016,-5,NA,NA,NA,NA,NA,NA,-50.417,NA,NA,NA
23972,0.896025,2.30134,-5,NA,NA,-42.523,NA,NA,NA,NA,NA,NA,NA
24180,1.56126,1.58256,-5,NA,NA,-19.29,NA,NA,NA,NA,NA,NA,NA
24365,2.28552,3.11745,-5,NA,NA,NA,-75.149,NA,NA,NA,NA,NA,NA
24422,2.5057,2.46023,-4.3631,NA,NA,NA,-44.579,NA,NA,NA,NA,NA,NA
24738,2.12696,2.7347,-4.96108,NA,NA,NA,-51.103,NA,NA,NA,NA,NA,NA
24818,2.62631,1.94236,-4.95892,NA,-30.836,NA,NA,NA,NA,NA,NA,NA,NA
25050,1.5505,2.15275,-4.93665,NA,NA,NA,NA,NA,NA,-20.507,NA,NA,NA
25396,2.02805,1.1166,-5,NA,NA,NA,NA,-53.539,NA,NA,NA,NA,NA
25483,2.486,1.39573,-4.43549,NA,NA,NA,NA,-37.989,NA,NA,NA,NA,NA
25685,2.97061,2.43296,-4.54751,NA,NA,-53.635,NA,NA,NA,NA,NA,NA,NA
25839,1.50426,1.65901,-5,NA,NA,NA,NA,NA,NA,-19.6,NA,NA,NA
26061,1.33911,1.65589,-5,NA,-20.397,NA,NA,NA,NA,NA,NA,NA,NA
26228,1.76656,2.07551,-3.90959,NA,NA,NA,-38.894,NA,NA,NA,NA,NA,NA
26528,1.97576,2.3682,-3.74653,NA,NA,NA,-41.009,NA,NA,NA,NA,NA,NA
26625,2.53227,1.81946,-5,NA,-28.775,NA,NA,NA,NA,NA,NA,NA,NA
26933,1.73814,0.335461,-5,NA,NA,-104.311,NA,NA,NA,NA,NA,NA,NA
27043,0.704646,1.22241,-5,NA,NA,NA,-83.991,NA,NA,NA,NA,NA,NA
27351,1.82661,1.50162,-5,NA,-15.528,NA,NA,NA,NA,NA,NA,NA,NA
27546,2.07743,1.39964,-3.77142,NA,NA,NA,NA,NA,NA,-22.884,NA,NA,NA
27676,1.18708,1.29644,-3.26701,NA,-52.045,NA,NA,NA,NA,NA,NA,NA,NA
27841,1.95405,1.06432,-2.54298,NA,-106.281,NA,NA,NA,NA,NA,NA,NA,NA
28111,1.81628,1.28311,-2.60943,NA,NA,NA,NA,NA,NA,-99.726,NA,NA,NA
28247,1.41916,2.80732,-2.43028,NA,-130.456,NA,NA,NA,NA,NA,NA,NA,NA
28495,1.92243,2.2551,-4.30374,NA,NA,NA,NA,-24.878,NA,NA,NA,NA,NA
28798,1.45773,3.13973,-4.40141,NA,NA,NA,NA,-68.143,NA,NA,NA,NA,NA
28827,2.17089,1.87164,-5,NA,NA,NA,NA,-30.301,NA,NA,NA,NA,NA
29005,1.86972,0.74252,-5,NA,NA,NA,NA,NA,NA,NA,-126.224,NA,NA
29359,1.654,1.36783,-3.12385,-95.197,NA,NA,NA,NA,NA,NA,NA,NA,NA
29520,1.65169,2.27785,-3.70356,NA,NA,NA,NA,-49.206,NA,NA,NA,NA,NA
29651,2.35329,1.30105,-4.38463,NA,NA,NA,NA,-31.377,NA,NA,NA,NA,NA
29929,1.29769,0.747999,-5,NA,-67.607,NA,NA,NA,NA,NA,NA,NA,NA
30185,2.00376,0.498552,-5,NA,NA,NA,NA,NA,NA,-84.789,NA,NA,NA
30294,3.00954,1.09718,-4.74472,NA,NA,-54.386,NA,NA,NA,NA,NA,NA,NA
30550,0.839198,1.99722,-4.22929,NA,NA,NA,NA,-53.046,NA,NA,NA,NA,NA
30640,2.20116,1.89701,-4.76693,NA,NA,-25.195,NA,NA,NA,NA,NA,NA,NA
30955,3.33274,1.95872,-5,NA,-66.852,NA,NA,NA,NA,NA,NA,NA,NA
31025,1.65941,2.41368,-5,NA,NA,-29.295,NA,NA,NA,NA,NA,NA,NA
31236,0.507587,2.53882,-4.38217,NA,-56.595,NA,NA,NA,NA,NA,NA,NA,NA
31445,1.44855,2.46863,-4.89236,NA,-27.652,NA,NA,NA,NA,NA,NA,NA,NA
31751,1.51067,1.57482,-5,NA,NA,NA,NA,NA,NA,-24.847,NA,NA,NA
31859,2.57736,1.73545,-5,NA,NA,NA,NA,-46.11,NA,NA,NA,NA,NA
32088,1.8948,2.31986,-4.24706,NA,-14.26,NA,NA,NA,NA,NA,NA,NA,NA
32305,2.95499,1.21766,-4.66088,NA,NA,NA,-57.116,NA,NA,NA,NA,NA,NA
32465,2.00672,0.900652,-4.54875,NA,NA,NA,-51.767,NA,NA,NA,NA,NA,NA
32742,1.55776,1.48911,-4.34588,NA,NA,NA,-29.75,NA,NA,NA,NA,NA,NA
32922,2.42225,1.23747,-4.50685,NA,-19.943,NA,NA,NA,NA,NA,NA,NA,NA
33015,3.04859,1.02799,-5,NA,-64.352,NA,NA,NA,NA,NA,NA,NA,NA
33280,2.42539,0.990313,-5,NA,NA,NA,NA,NA,NA,-53.519,NA,NA,NA
33453,3.32789,1.00273,-5,NA,NA,NA,NA,-89.948,NA,NA,NA,NA,NA
33687,2.68446,1.61325,-3.50488,NA,NA,-47.152,NA,NA,NA,NA,NA,NA,NA
34000,2.30441,3.00039,-4.02517,NA,NA,-54.898,NA,NA,NA,NA,NA,NA,NA
34029,2.45762,2.68646,-4.52072,NA,NA,-42.456,NA,NA,NA,NA,NA,NA,NA
34366,3.11612,1.743,-5,NA,-53.166,NA,NA,NA,NA,NA,NA,NA,NA
34530,2.14022,1.66557,-4.95402,NA,NA,-23.618,NA,NA,NA,NA,NA,NA,NA
34737,2.15242,2.36779,-4.92698,NA,-25.371,NA,NA,NA,NA,NA,NA,NA,NA
34965,1.13837,2.62004,-5,NA,-42.628,NA,NA,NA,NA,NA,NA,NA,NA
35154,1.52773,3.29027,-4.67859,NA,-63.953,NA,NA,NA,NA,NA,NA,NA,NA
35241,2.55147,2.56631,-4.64846,NA,NA,-38.011,NA,NA,NA,NA,NA,NA,NA
35576,2.67562,1.17785,-3.92243,NA,-36.307,NA,NA,NA,NA,NA,NA,NA,NA
35647,2.26935,1.41445,-4.49107,NA,-10.694,NA,NA,NA,NA,NA,NA,NA,NA
35914,1.98093,1.97303,-4.48335,NA,-6.312,NA,NA,NA,NA,NA,NA,NA,NA
36001,1.53171,2.8418,-3.40257,NA,-56.239,NA,NA,NA,NA,NA,NA,NA,NA
36294,1.54691,2.39249,-3.7794,NA,NA,NA,NA,-50.374,NA,NA,NA,NA,NA
36469,1.92844,2.16642,-4.08821,NA,-11.524,NA,NA,NA,NA,NA,NA,NA,NA
36750,2.28575,2.81603,-4.75426,NA,-41.527,NA,NA,NA,NA,NA,NA,NA,NA
36847,1.35991,2.84852,-4.70688,NA,NA,-47.697,NA,NA,NA,NA,NA,NA,NA
37040,1.73567,2.06979,-4.92294,NA,NA,NA,NA,-30.271,NA,NA,NA,NA,NA
37220,1.65585,1.83959,-4.186,NA,NA,NA,NA,NA,NA,-19.07,NA,NA,NA
37562,1.47918,1.85478,-2.72651,NA,NA,-72.45,NA,NA,NA,NA,NA,NA,NA
37743,1.9558,1.48964,-4.49842,NA,NA,NA,-25.367,NA,NA,NA,NA,NA,NA
37817,1.01392,2.05434,-4.39446,NA,-22.85,NA,NA,NA,NA,NA,NA,NA,NA
38087,1.41923,2.01239,-3.1654,NA,-46.168,NA,NA,NA,NA,NA,NA,NA,NA
38328,1.92673,2.30866,-4.13849,NA,-14.619,NA,NA,NA,NA,NA,NA,NA,NA
38409,2.00012,2.20976,-5,NA,NA,NA,NA,-33.451,NA,NA,NA,NA,NA
38761,2.14575,1.60061,-4.4409,NA,NA,NA,NA,NA,NA,-16.566,NA,NA,NA
38964,1.8071,1.36981,-4.70366,NA,NA,NA,NA,NA,NA,-10.145,NA,NA,NA
39154,2.1122,2.5863,-5,NA,NA,-36.871,NA,NA,NA,NA,NA,NA,NA
39275,1.95856,3.12216,-5,NA,NA,NA,NA,NA,NA,-66.55,NA,NA,NA
39503,2.18706,2.60823,-4.36172,NA,-27.779,NA,NA,NA,NA,NA,NA,NA,NA
39755,1.93097,1.45617,-4.94925,NA,-14.733,NA,NA,NA,NA,NA,NA,NA,NA
39804,1.64289,1.27811,-4.1834,-55.253,NA,NA,NA,NA,NA,NA,NA,NA,NA
40031,2.42564,1.02546,-5,NA,-40.108,NA,NA,NA,NA,NA,NA,NA,NA
40305,1.70247,1.39024,-5,NA,NA,NA,NA,NA,NA,-32.87,NA,NA,NA
40433,2.27172,2.25216,-4.1589,NA,NA,NA,-43.468,NA,NA,NA,NA,NA,NA
40708,2.79733,1.8854,-3.31251,NA,NA,NA,NA,NA,NA,-63.829,NA,NA,NA
40873,1.7849,1.76087,-4.06379,NA,NA,NA,-27.497,NA,NA,NA,NA,NA,NA
41150,1.31721,2.97047,-2.92505,NA,NA,-97.405,NA,NA,NA,NA,NA,NA,NA
41353,0.784934,2.05658,-4.08555,NA,NA,-35.21,NA,NA,NA,NA,NA,NA,NA
41457,0.810812,2.51042,-4.89221,NA,-46.698,NA,NA,NA,NA,NA,NA,NA,NA
41660,1.61775,2.1896,-4.5925,NA,-11.629,NA,NA,NA,NA,NA,NA,NA,NA
41865,1.69812,2.4879,-4.11042,NA,-21.047,NA,NA,NA,NA,NA,NA,NA,NA
42125,1.84492,2.56778,-4.62577,NA,NA,NA,NA,NA,NA,-33.327,NA,NA,NA
42254,2.29301,3.46988,-3.7771,NA,NA,NA,NA,NA,NA,-88.712,NA,NA,NA
42541,3.09153,1.35377,-4.41834,NA,NA,NA,NA,-60.097,NA,NA,NA,NA,NA
42645,2.78911,1.4997,-5,NA,NA,NA,NA,-61.69,NA,NA,NA,NA,NA
42937,1.39073,1.53061,-5,NA,NA,NA,NA,NA,NA,-33.417,NA,NA,NA
43039,1.73331,2.02538,-4.49584,NA,NA,-9.544,NA,NA,NA,NA,NA,NA,NA
43211,2.05018,2.61951,-4.54516,NA,-26.563,NA,NA,NA,NA,NA,NA,NA,NA
43588,2.77344,2.62824,-5,NA,NA,NA,NA,NA,NA,-56.662,NA,NA,NA
43700,2.64205,1.42471,-5,NA,NA,NA,NA,NA,NA,-36.462,NA,NA,NA
43965,2.69338,1.47197,-4.2818,NA,NA,NA,NA,NA,NA,-37.412,NA,NA,NA
44004,1.86917,1.55367,-4.76371,NA,NA,-10.303,NA,NA,NA,NA,NA,NA,NA
44211,0.896355,1.66605,-4.41785,NA,NA,NA,NA,NA,NA,-31.555,NA,NA,NA
44558,1.25993,2.93364,-4.39326,NA,-44.37,NA,NA,NA,NA,NA,NA,NA,NA
44610,2.63051,1.9661,-4.45861,NA,-22.647,NA,NA,NA,NA,NA,NA,NA,NA
44829,1.50731,1.7315,-4.28161,NA,-2.837,NA,NA,NA,NA,NA,NA,NA,NA
45133,1.86452,2.1041,-3.62431,NA,-20.274,NA,NA,NA,NA,NA,NA,NA,NA
45283,2.16373,1.17015,-5,NA,-28.562,NA,NA,NA,NA,NA,NA,NA,NA
45546,2.07984,1.56403,-4.81033,NA,NA,NA,NA,NA,NA,-16.598,NA,NA,NA
45742,2.21742,0.803412,-5,NA,NA,NA,NA,NA,NA,-57.031,NA,NA,NA
45872,0.554984,1.43604,-5,NA,NA,-63.013,NA,NA,NA,NA,NA,NA,NA
46094,1.86695,0.692261,-4.38061,-87.088,NA,NA,NA,NA,NA,NA,NA,NA,NA
46397,1.48064,1.688,-4.76447,NA,NA,NA,NA,-36.423,NA,NA,NA,NA,NA
46549,1.06822,1.15586,-3.97244,-67.971,NA,NA,NA,NA,NA,NA,NA,NA,NA
46606,1.71039,0.892001,-3.91337,NA,NA,NA,NA,-55.119,NA,NA,NA,NA,NA
46864,0.190267,1.96564,-4.05624,NA,NA,-73.13,NA,NA,NA,NA,NA,NA,NA
47179,1.16475,1.1495,-4.20205,NA,NA,-29.23,NA,NA,NA,NA,NA,NA,NA
47276,1.93065,1.51893,-5,NA,NA,NA,NA,NA,NA,-25.714,NA,NA,NA
47590,2.25204,1.24894,-4.92927,NA,-24.457,NA,NA,NA,NA,NA,NA,NA,NA
47744,2.36612,1.83748,-4.29817,NA,NA,NA,-26.24,NA,NA,NA,NA,NA,NA
47835,2.13099,1.71385,-4.9642,NA,-15.824,NA,NA,NA,NA,NA,NA,NA,NA
48149,2.04846,1.34923,-4.6937,NA,NA,NA,NA,NA,NA,-23.435,NA,NA,NA
48344,2.19553,0.98275,-4.21918,NA,NA,NA,NA,NA,NA,-35.133,NA,NA,NA
48494,2.70908,2.0695,-4.92165,NA,-34.273,NA,NA,NA,NA,NA,NA,NA,NA
48696,2.19232,1.602,-4.35392,NA,NA,NA,NA,NA,NA,-8.647,NA,NA,NA
48963,1.26115,0.409773,-4.80451,NA,NA,-100.322,NA,NA,NA,NA,NA,NA,NA
49079,2.80276,1.55592,-3.88337,NA,NA,NA,NA,NA,-75.67,NA,NA,NA,NA
49359,2.32134,1.41389,-3.41713,NA,NA,NA,NA,NA,-74.582,NA,NA,NA,NA
49462,2.62344,1.33148,-4.27728,NA,NA,NA,NA,NA,NA,-37.318,NA,NA,NA
49609,3.71516,1.10598,-5,NA,NA,NA,NA,NA,NA,-108.026,NA,NA,NA
49805,2.10486,2.18136,-5,NA,-21.665,NA,NA,NA,NA,NA,NA,NA,NA
50171,2.23012,2.23964,-4.56977,NA,NA,-18.128,NA,NA,NA,NA,NA,NA,NA
50333,2.41795,2.92483,-5,NA,-55.362,NA,NA,NA,NA,NA,NA,NA,NA
50548,1.7692,3.53717,-5,NA,-86.455,NA,NA,NA,NA,NA,NA,NA,NA
50731,2.19529,1.97314,-4.93102,NA,-18.814,NA,NA,NA,NA,NA,NA,NA,NA
50930,2.20775,2.09857,-5,NA,NA,-27.871,NA,NA,NA,NA,NA,NA,NA
51171,1.8189,1.51871,-5,NA,-15.858,NA,NA,NA,NA,NA,NA,NA,NA
51340,2.621,1.50127,-5,NA,NA,NA,NA,NA,NA,-33.874,NA,NA,NA
51576,1.44622,1.31856,-5,NA,NA,NA,NA,-36.401,NA,NA,NA,NA,NA
51687,2.23706,1.18398,-5,NA,NA,-36.769,NA,NA,NA,NA,NA,NA,NA
51978,1.97553,1.62544,-4.84175,NA,NA,-12.444,NA,NA,NA,NA,NA,NA,NA
52197,1.61646,1.11985,-4.57311,NA,NA,NA,-38.57,NA,NA,NA,NA,NA,NA
52298,2.72537,2.50263,-5,NA,-47.626,NA,NA,NA,NA,NA,NA,NA,NA
52460,1.83189,1.91678,-4.70205,NA,NA,NA,-41.205,NA,NA,NA,NA,NA,NA
52750,1.3883,2.18084,-4.30371,NA,-13.224,NA,NA,NA,NA,NA,NA,NA,NA
52920,2.09801,2.49493,-4.26002,NA,NA,-27.15,NA,NA,NA,NA,NA,NA,NA
53173,1.07763,2.48214,-4.76457,NA,NA,-36.922,NA,NA,NA,NA,NA,NA,NA
53225,2.14862,2.27547,-4.94493,NA,NA,-27.548,NA,NA,NA,NA,NA,NA,NA
53455,1.38339,2.12633,-4.94222,NA,-21.112,NA,NA,NA,NA,NA,NA,NA,NA
53670,1.27336,1.67146,-5,NA,NA,-29.589,NA,NA,NA,NA,NA,NA,NA
53821,1.2395,2.42294,-5,NA,NA,-43.571,NA,NA,NA,NA,NA,NA,NA
54033,3.61511,1.93808,-5,NA,NA,-86.525,NA,NA,NA,NA,NA,NA,NA
54253,1.51168,2.25113,-5,NA,NA,NA,NA,-52.334,NA,NA,NA,NA,NA
54571,0.554621,2.63359,-5,NA,-65.98,NA,NA,NA,NA,NA,NA,NA,NA
54794,2.32838,2.37745,-4.14055,NA,NA,NA,NA,NA,NA,-34.835,NA,NA,NA
54938,2.25168,1.35862,-5,NA,-22.437,NA,NA,NA,NA,NA,NA,NA,NA
55128,3.10958,0.819626,-5,NA,-76.317,NA,NA,NA,NA,NA,NA,NA,NA
55388,2.26004,0.996259,-5,NA,NA,NA,NA,-60.821,NA,NA,NA,NA,NA
