id,x0,x1,x2,fitness-1.5,fitness-0.5,fitness-1,fitness-3.5,fitness-3,fitness-4,fitness-5,fitness-2.5,fitness-4.5,fitness-2,fitness0,fitness0.5
6401,0.738261,1.47143,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-58.267,NA,NA
6735,0.7317,0.670092,-4.39849,NA,NA,NA,NA,NA,NA,NA,-104.415,NA,NA,NA,NA
6859,1.46333,1.64617,-3.21036,NA,NA,NA,-62.975,NA,NA,NA,NA,NA,NA,NA,NA
7107,1.2147,2.54589,-3.12984,NA,NA,NA,NA,NA,NA,NA,NA,-128.284,NA,NA,NA
7260,1.80955,2.63914,-3.44399,NA,NA,NA,NA,NA,-92.946,NA,NA,NA,NA,NA,NA
7440,2.55117,3.06643,-4.54496,NA,NA,NA,NA,NA,-100.393,NA,NA,NA,NA,NA,NA
7615,2.10966,2.21907,-4.87609,NA,NA,NA,NA,-24.604,NA,NA,NA,NA,NA,NA,NA
7918,1.08776,2.71418,-4.24234,NA,NA,NA,-50.08,NA,NA,NA,NA,NA,NA,NA,NA
8056,2.47898,2.00559,-4.6399,NA,NA,NA,-36.489,NA,NA,NA,NA,NA,NA,NA,NA
8388,2.36319,1.74846,-4.08146,NA,NA,NA,-27.321,NA,NA,NA,NA,NA,NA,NA,NA
8500,2.05691,0.734466,-3.05651,NA,NA,NA,-93.925,NA,NA,NA,NA,NA,NA,NA,NA
8692,1.55159,2.14629,-5,NA,NA,NA,NA,NA,NA,NA,-20.276,NA,NA,NA,NA
8870,1.06032,2.53839,-5,NA,NA,NA,-52.633,NA,NA,NA,NA,NA,NA,NA,NA
9078,1.68594,2.36136,-5,NA,NA,NA,-42.859,NA,NA,NA,NA,NA,NA,NA,NA
9299,2.79879,2.23944,-5,NA,NA,NA,NA,-45.47,NA,NA,NA,NA,NA,NA,NA
9509,1.24027,2.07749,-5,NA,NA,NA,NA,NA,NA,NA,-24.937,NA,NA,NA,NA
9684,0.428545,1.69395,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.329,NA,NA
9830,0.862571,2.7645,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.116,NA,NA
10144,2.55519,1.82065,-4.92817,NA,NA,NA,NA,NA,NA,NA,-27.02,NA,NA,NA,NA
10269,1.98034,2.84824,-4.47396,NA,NA,NA,-50.07,NA,NA,NA,NA,NA,NA,NA,NA
10570,2.56966,2.25559,-3.29296,NA,NA,NA,-80.448,NA,NA,NA,NA,NA,NA,NA,NA
10783,1.67057,3.35941,-4.08372,-79.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10932,2.4451,2.95496,-3.20691,NA,NA,NA,NA,NA,NA,NA,-85.562,NA,NA,NA,NA
11161,1.99664,3.44152,-3.65479,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.052,NA,NA
11326,3.24223,1.81567,-3.40426,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.876,NA,NA
11508,1.74131,0.993379,-5,-56.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11641,1.47527,2.39643,-4.59855,NA,NA,-80.671,NA,NA,NA,NA,NA,NA,NA,NA,NA
11828,0.480146,2.20895,-5,NA,NA,NA,NA,NA,NA,NA,-57.95,NA,NA,NA,NA
12037,1.7944,1.9729,-3.60699,NA,NA,NA,NA,NA,NA,NA,-18.591,NA,NA,NA,NA
12302,1.53569,2.19709,-4.11255,NA,NA,NA,NA,NA,NA,NA,-12.851,NA,NA,NA,NA
12517,1.23101,2.06187,-5,NA,NA,NA,NA,NA,NA,NA,-25.543,NA,NA,NA,NA
12723,1.0551,2.5689,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.229,NA,NA
12949,0.70516,3.22794,-5,NA,NA,-147.639,NA,NA,NA,NA,NA,NA,NA,NA,NA
13007,1.41534,2.6355,-4.11959,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.929,NA,NA
13235,-0.305207,1.13543,-3.29713,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.842,NA,NA
13445,1.08562,2.07374,-2.41725,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.807,NA,NA
13751,1.81358,0.542847,-2.88324,NA,NA,NA,NA,NA,NA,NA,-115.571,NA,NA,NA,NA
13923,2.69747,1.36926,-2.41909,NA,NA,NA,NA,NA,-215.273,NA,NA,NA,NA,NA,NA
14113,2.01721,1.79268,-3.85713,NA,NA,NA,NA,NA,-47.122,NA,NA,NA,NA,NA,NA
14274,2.99083,2.30457,-4.47211,NA,NA,NA,-61.624,NA,NA,NA,NA,NA,NA,NA,NA
14554,3.70687,2.15827,-5,NA,NA,NA,NA,-102.72,NA,NA,NA,NA,NA,NA,NA
14635,2.55482,1.70667,-5,NA,NA,NA,-40.592,NA,NA,NA,NA,NA,NA,NA,NA
14917,2.96065,1.25347,-4.41113,NA,NA,NA,-56.202,NA,NA,NA,NA,NA,NA,NA,NA
15129,3.19391,2.87877,-4.65169,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.872,NA,NA
15246,1.79217,1.37889,-4.39396,-31.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15457,0.963519,2.76503,-4.69972,-64.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15654,1.86549,2.21478,-5,NA,NA,NA,-32.622,NA,NA,NA,NA,NA,NA,NA,NA
15973,2.22571,1.63075,-5,NA,NA,NA,-50.686,NA,NA,NA,NA,NA,NA,NA,NA
16150,3.30134,1.69443,-5,NA,NA,NA,NA,NA,NA,NA,-63.725,NA,NA,NA,NA
16243,1.9139,1.99535,-5,NA,NA,NA,NA,NA,NA,NA,-17.269,NA,NA,NA,NA
16439,0.714979,1.30616,-5,NA,NA,NA,-76.894,NA,NA,NA,NA,NA,NA,NA,NA
16695,1.56985,1.58097,-5,NA,NA,NA,-38.633,NA,NA,NA,NA,NA,NA,NA,NA
16918,3.27264,1.54063,-4.50694,NA,NA,NA,NA,NA,NA,NA,-54.946,NA,NA,NA,NA
17179,2.76571,2.07522,-4.31301,NA,NA,NA,NA,NA,NA,NA,-29.551,NA,NA,NA,NA
17249,3.15264,2.00903,-4.11896,NA,NA,NA,NA,NA,NA,NA,-50.419,NA,NA,NA,NA
17482,2.1697,1.95543,-4.05241,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.85,NA,NA
17654,3.50827,3.32653,-4.78511,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.889,NA,NA
17889,3.34817,2.70003,-5,NA,NA,NA,NA,NA,NA,NA,-86.961,NA,NA,NA,NA
18135,1.51303,2.43586,-3.57966,NA,NA,NA,NA,NA,-65.743,NA,NA,NA,NA,NA,NA
18243,1.05211,2.22488,-3.6696,NA,NA,NA,-45.189,NA,NA,NA,NA,NA,NA,NA,NA
18466,3.49069,1.24824,-4.77765,NA,NA,-126.512,NA,NA,NA,NA,NA,NA,NA,NA,NA
18637,3.95186,0.87132,-4.88577,-139.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18946,1.94234,0.460375,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-254.055,NA
19167,0.486432,0.370763,-5,NA,NA,-244,NA,NA,NA,NA,NA,NA,NA,NA,NA
19226,0.99035,1.13898,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.121,NA,NA
19541,1.54202,1.49475,-4.6323,-34.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19685,1.63623,0.705147,-4.57664,-71.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19957,2.16703,1.96513,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.66,NA,NA
20168,0.463879,1.09092,-4.48656,NA,NA,-134.044,NA,NA,NA,NA,NA,NA,NA,NA,NA
20244,1.62305,2.66522,-4.49591,NA,NA,-81.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
20539,3.24248,3.58693,-4.87092,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.258,NA,NA
20790,2.11764,3.30737,-4.56536,NA,NA,NA,NA,NA,NA,NA,-64.547,NA,NA,NA,NA
20999,1.11853,3.39867,-3.43968,NA,NA,NA,NA,NA,NA,NA,-97.873,NA,NA,NA,NA
21134,2.19088,3.68159,-4.20968,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.401,NA,NA
21349,1.89121,2.6111,-3.63431,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.366,NA,NA
21442,2.21506,1.84124,-4.97334,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.531,NA,NA
21683,1.45308,2.20746,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.071,NA,NA
21927,1.83607,3.6015,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.026,NA,NA
22118,0.433623,3.11638,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-96.905,NA,NA
22399,0.316678,3.61031,-5,NA,NA,NA,NA,NA,-177.106,NA,NA,NA,NA,NA,NA
22455,1.73035,2.28299,-5,NA,NA,NA,-39.799,NA,NA,NA,NA,NA,NA,NA,NA
22679,1.03279,3.12338,-5,-80.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22902,1.05802,3.2183,-5,NA,NA,NA,NA,-76.743,NA,NA,NA,NA,NA,NA,NA
23046,0.834655,3.39008,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.49,NA,NA
23285,-0.0682981,2.67005,-3.63879,NA,NA,NA,NA,-114.891,NA,NA,NA,NA,NA,NA,NA
23567,0.293984,2.14228,-4.65617,NA,NA,NA,NA,-61.19,NA,NA,NA,NA,NA,NA,NA
23796,0.510178,2.75957,-5,-95.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23871,3.02392,4.64767,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-232.675,NA,NA
24049,2.70001,5,-4.47783,-275.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24275,2.30506,3.14551,-5,NA,NA,NA,NA,-67.215,NA,NA,NA,NA,NA,NA,NA
24571,4.28955,2.84639,-5,NA,NA,NA,NA,NA,NA,NA,-171.809,NA,NA,NA,NA
24784,3.58761,4.1259,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-207.337,NA,NA
24977,4.30684,2.90943,-5,NA,NA,NA,NA,-178.89,NA,NA,NA,NA,NA,NA,NA
25133,2.56591,2.417,-4.73576,-58.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25206,3.0138,2.96653,-4.92477,NA,NA,NA,NA,NA,NA,NA,-79.562,NA,NA,NA,NA
25561,1.68899,2.83501,-4.47832,NA,NA,NA,NA,NA,NA,NA,-34.253,NA,NA,NA,NA
25739,0.031507,3.51341,-3.82117,NA,NA,NA,NA,-151.926,NA,NA,NA,NA,NA,NA,NA
25919,-0.807025,4.23203,-3.62287,NA,NA,NA,NA,-303.776,NA,NA,NA,NA,NA,NA,NA
26102,-0.534623,2.52897,-4.13585,NA,NA,NA,NA,NA,NA,NA,-136.164,NA,NA,NA,NA
26306,0.077462,2.70827,-5,NA,NA,NA,NA,NA,NA,NA,-96.604,NA,NA,NA,NA
26453,0.761867,1.69613,-5,NA,NA,NA,NA,NA,NA,NA,-44.174,NA,NA,NA,NA
26633,-0.201942,1.04192,-5,NA,NA,-212.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
26877,-0.871454,1.73621,-4.27949,NA,NA,NA,NA,NA,NA,NA,-178.806,NA,NA,NA,NA
27174,-0.972517,1.1781,-4.1769,-261.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27327,0.290646,1.46918,-5,NA,NA,NA,NA,-82.652,NA,NA,NA,NA,NA,NA,NA
27407,2.33577,3.30964,-5,NA,NA,NA,NA,-79.628,NA,NA,NA,NA,NA,NA,NA
27606,1.32862,3.0243,-5,NA,NA,NA,-72.684,NA,NA,NA,NA,NA,NA,NA,NA
27814,2.13612,2.96669,-3.86264,NA,NA,NA,NA,NA,-96.65,NA,NA,NA,NA,NA,NA
28095,1.57712,3.83407,-3.92642,NA,NA,NA,NA,-115.423,NA,NA,NA,NA,NA,NA,NA
28248,2.60385,4.2388,-3.09515,NA,NA,NA,NA,NA,-294.598,NA,NA,NA,NA,NA,NA
28567,3.6079,3.44404,-5,NA,NA,NA,NA,NA,NA,NA,-149.469,NA,NA,NA,NA
28640,3.79942,2.53905,-5,NA,NA,NA,NA,-124.895,NA,NA,NA,NA,NA,NA,NA
28900,4.03058,2.97995,-5,NA,NA,NA,NA,NA,-189.17,NA,NA,NA,NA,NA,NA
29139,4.09176,3.75112,-5,NA,NA,NA,-240.986,NA,NA,NA,NA,NA,NA,NA,NA
29313,3.07466,3.56941,-4.47771,NA,NA,NA,NA,-127.721,NA,NA,NA,NA,NA,NA,NA
29548,0.672367,3.321,-4.11047,NA,NA,NA,NA,NA,-119.459,NA,NA,NA,NA,NA,NA
29756,1.96222,2.45646,-5,NA,NA,NA,NA,NA,NA,-131.214,NA,NA,NA,NA,NA
29996,1.66065,2.34629,-4.15734,NA,NA,NA,NA,NA,-59.906,NA,NA,NA,NA,NA,NA
30083,0.368307,1.36626,-4.70164,NA,NA,NA,NA,NA,-99.288,NA,NA,NA,NA,NA,NA
30208,0.465813,2.4414,-5,NA,NA,NA,-74.861,NA,NA,NA,NA,NA,NA,NA,NA
30462,1.14855,1.35198,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.51,NA,NA
30750,1.99976,2.86461,-4.84165,NA,NA,NA,NA,NA,NA,NA,NA,NA,-52.254,NA,NA
30907,3.21152,0.886351,-4.23486,NA,NA,NA,NA,NA,NA,NA,-70.76,NA,NA,NA,NA
31008,2.7694,1.84404,-4.81582,NA,NA,NA,NA,NA,-81.395,NA,NA,NA,NA,NA,NA
31394,4.23923,1.52173,-5,NA,NA,NA,NA,-143.674,NA,NA,NA,NA,NA,NA,NA
31458,3.75488,2.26252,-5,NA,NA,NA,NA,NA,NA,NA,-101.878,NA,NA,NA,NA
31762,2.38211,3.75767,-4.93499,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.79,NA,NA
31942,1.57674,4.43586,-5,NA,NA,NA,NA,NA,NA,NA,-172.795,NA,NA,NA,NA
32030,1.53064,4.32605,-4.40836,NA,NA,NA,NA,NA,NA,NA,-153.875,NA,NA,NA,NA
32262,2.14647,3.17677,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.038,NA,NA
32402,-0.0850348,3.12422,-4.89002,NA,NA,NA,-151.504,NA,NA,NA,NA,NA,NA,NA,NA
32746,1.00112,2.28617,-5,NA,NA,NA,-66.401,NA,NA,NA,NA,NA,NA,NA,NA
32987,1.73952,1.78651,-5,NA,NA,NA,NA,NA,NA,-141.912,NA,NA,NA,NA,NA
33090,1.58227,2.56971,-5,NA,NA,NA,NA,NA,-76.123,NA,NA,NA,NA,NA,NA
33319,1.45,2.3209,-5,NA,NA,NA,NA,NA,-61.773,NA,NA,NA,NA,NA,NA
33407,2.97207,2.71573,-3.56145,NA,NA,NA,NA,NA,-141.295,NA,NA,NA,NA,NA,NA
33710,2.87701,2.16146,-2.63279,NA,NA,NA,NA,NA,-246.177,NA,NA,NA,NA,NA,NA
33893,3.65689,0.912137,-3.59237,NA,NA,NA,NA,-122.52,NA,NA,NA,NA,NA,NA,NA
34097,2.50955,0.20995,-4.16863,NA,NA,NA,-110.008,NA,NA,NA,NA,NA,NA,NA,NA
34239,2.29116,1.67477,-4.08628,NA,NA,NA,NA,NA,-75.743,NA,NA,NA,NA,NA,NA
34521,2.21708,1.86007,-3.52621,NA,NA,NA,-39.619,NA,NA,NA,NA,NA,NA,NA,NA
34696,2.57262,2.52435,-3.61864,NA,NA,NA,NA,-50.992,NA,NA,NA,NA,NA,NA,NA
34829,2.12797,3.27293,-2.74162,NA,NA,NA,NA,NA,NA,NA,-134.055,NA,NA,NA,NA
35103,2.17155,2.48869,-2.77637,NA,NA,NA,NA,-97.218,NA,NA,NA,NA,NA,NA,NA
35372,3.81038,1.61807,-3.86846,NA,NA,NA,NA,NA,-145.386,NA,NA,NA,NA,NA,NA
35555,2.55907,1.71137,-5,NA,NA,NA,-43.686,NA,NA,NA,NA,NA,NA,NA,NA
35701,2.58693,3.10477,-5,NA,NA,NA,NA,NA,NA,NA,-71.228,NA,NA,NA,NA
35974,1.68368,3.50953,-5,NA,NA,NA,NA,NA,NA,NA,-84.66,NA,NA,NA,NA
36023,1.5278,4.59103,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-199.349,NA,NA
36229,1.13552,3.27091,-5,NA,NA,NA,NA,NA,NA,NA,-75.409,NA,NA,NA,NA
36549,1.18562,2.27062,-5,NA,NA,NA,NA,NA,NA,NA,-30.879,NA,NA,NA,NA
36681,1.41492,1.91457,-3.72736,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.291,NA,NA
36893,0.622964,1.17832,-3.80882,NA,NA,-134.147,NA,NA,NA,NA,NA,NA,NA,NA,NA
37079,1.84054,0.515877,-4.53072,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.957,NA,NA
37233,2.60556,1.01384,-4.29916,NA,NA,NA,NA,NA,NA,NA,-35.222,NA,NA,NA,NA
37461,3.39294,1.05622,-5,-109.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37754,3.19062,1.77577,-5,NA,NA,NA,NA,NA,NA,NA,-56.814,NA,NA,NA,NA
37837,1.85166,2.73764,-4.97169,-61.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38109,2.50177,3.27079,-4.99485,-90.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38311,3.2232,3.33784,-4.63874,NA,NA,NA,NA,NA,NA,NA,NA,-197.595,NA,NA,NA
38467,2.31695,2.90306,-5,NA,NA,NA,NA,NA,NA,-178.764,NA,NA,NA,NA,NA
38666,3.16789,3.16879,-5,NA,NA,NA,-112.807,NA,NA,NA,NA,NA,NA,NA,NA
38955,0.987119,3.15968,-3.92307,NA,NA,NA,NA,-70.968,NA,NA,NA,NA,NA,NA,NA
39117,2.121,3.46379,-3.77794,NA,NA,NA,NA,NA,NA,NA,-84.797,NA,NA,NA,NA
39328,2.56708,2.61951,-4.19078,NA,NA,NA,-57.324,NA,NA,NA,NA,NA,NA,NA,NA
39550,2.32003,2.60799,-5,NA,NA,NA,NA,-46.047,NA,NA,NA,NA,NA,NA,NA
39644,2.71651,2.50231,-5,NA,NA,NA,NA,NA,NA,NA,-47.033,NA,NA,NA,NA
39946,2.54147,2.12014,-4.96409,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.686,NA,NA
40161,1.99358,3.12321,-4.27772,NA,NA,NA,NA,NA,NA,NA,-50.571,NA,NA,NA,NA
40392,-0.235164,3.46348,-4.27931,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.099,NA,NA
40422,1.58311,2.63315,-4.97177,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.113,NA,NA
40763,2.44184,1.5422,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.951,NA,NA
40811,0.542511,2.40116,-4.19733,NA,NA,-92.826,NA,NA,NA,NA,NA,NA,NA,NA,NA
41050,2.1563,2.66921,-5,-62.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41266,0.74922,2.3431,-4.23055,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.157,NA,NA
41565,1.02202,1.897,-4.29792,NA,NA,-62.982,NA,NA,NA,NA,NA,NA,NA,NA,NA
41614,1.14738,1.71211,-4.59843,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.758,NA,NA
41937,2.67816,1.67087,-5,NA,NA,-69.694,NA,NA,NA,NA,NA,NA,NA,NA,NA
42086,3.37347,1.89701,-5,NA,NA,NA,NA,NA,NA,NA,-67.896,NA,NA,NA,NA
42373,3.56357,2.38187,-5,NA,NA,NA,NA,-98.403,NA,NA,NA,NA,NA,NA,NA
42572,2.26581,2.04422,-4.26367,NA,NA,NA,NA,-19.066,NA,NA,NA,NA,NA,NA,NA
42745,1.37956,1.35263,-5,NA,NA,NA,NA,NA,-82.124,NA,NA,NA,NA,NA,NA
42974,1.96162,0.888368,-3.07549,NA,NA,NA,NA,NA,NA,NA,NA,-143.875,NA,NA,NA
43180,2.23021,1.22026,-2.26352,NA,NA,NA,NA,-151.944,NA,NA,NA,NA,NA,NA,NA
43338,1.96568,1.59012,-5,NA,NA,NA,-46.581,NA,NA,NA,NA,NA,NA,NA,NA
43568,1.7836,2.53659,-5,NA,NA,NA,NA,NA,-85.162,NA,NA,NA,NA,NA,NA
43728,1.58504,1.26369,-3.16978,NA,NA,NA,NA,NA,NA,NA,NA,-125.889,NA,NA,NA
43973,0.28824,0.934132,-2.57781,NA,NA,NA,NA,NA,NA,NA,-181.198,NA,NA,NA,NA
44107,1.38716,2.46312,-3.93294,NA,NA,NA,NA,NA,NA,NA,-25.325,NA,NA,NA,NA
44312,1.35063,4.14498,-5,-155.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44523,2.10929,4.11039,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-148.524,NA,NA
44669,3.07124,2.83923,-5,NA,NA,NA,NA,NA,NA,NA,-77.229,NA,NA,NA,NA
44813,3.2132,3.23734,-4.62564,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.527,NA,NA
45172,2.72158,2.40005,-5,NA,-141.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45232,2.54233,1.86324,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-219.817
45428,3.26457,1.9761,-4.91859,NA,-123.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45747,1.95142,1.97093,-5,NA,NA,NA,-29.369,NA,NA,NA,NA,NA,NA,NA,NA
45828,1.54639,2.83717,-5,NA,NA,NA,-57.577,NA,NA,NA,NA,NA,NA,NA,NA
46163,2.3651,1.24995,-3.4016,NA,NA,NA,NA,-42.47,NA,NA,NA,NA,NA,NA,NA
46315,0.910456,2.26516,-2.86272,NA,NA,NA,-99.365,NA,NA,NA,NA,NA,NA,NA,NA
46455,0.516133,2.32911,-3.06145,NA,NA,NA,NA,NA,-134.732,NA,NA,NA,NA,NA,NA
46734,-0.691623,1.78129,-3.315,NA,NA,NA,NA,NA,-209.661,NA,NA,NA,NA,NA,NA
46955,-0.191152,2.03426,-3.81911,NA,NA,NA,NA,NA,NA,NA,NA,-159.627,NA,NA,NA
47032,-0.502273,1.46135,-3.78592,NA,NA,NA,NA,-142.478,NA,NA,NA,NA,NA,NA,NA
47375,1.35126,1.64513,-4.39317,NA,NA,NA,-33.944,NA,NA,NA,NA,NA,NA,NA,NA
47577,1.65825,2.76285,-2.81527,NA,NA,NA,NA,-91.436,NA,NA,NA,NA,NA,NA,NA
47661,2.12919,2.7375,-2.42669,NA,NA,NA,NA,NA,NA,NA,-138.402,NA,NA,NA,NA
47919,1.96958,2.65641,-3.62369,NA,NA,-91.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
48047,2.61416,1.67465,-3.84275,NA,NA,-75.958,NA,NA,NA,NA,NA,NA,NA,NA,NA
48251,1.47791,1.83465,-3.12774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-193.171,NA
48476,1.25233,2.01655,-4.13782,-31.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48694,1.16011,1.78419,-5,NA,-102.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48927,1.67157,1.19327,-4.09854,NA,NA,NA,NA,-22.648,NA,NA,NA,NA,NA,NA,NA
49197,1.86227,1.5865,-5,NA,NA,NA,NA,NA,-54.614,NA,NA,NA,NA,NA,NA
49372,2.00643,1.7398,-4.4706,NA,NA,NA,NA,NA,NA,-121.356,NA,NA,NA,NA,NA
