id,x0,x1,x2,fitness-3,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-2.5
10721,-1.52699,4.29417,-4.15504,NA,NA,NA,NA,-70.116,NA
10928,-1.04414,3.99218,-4.57254,NA,NA,-74.181,NA,NA,NA
11019,-2.58628,3.56153,-5,NA,NA,-68.144,NA,NA,NA
11214,-2.19328,2.90911,-4.30968,NA,NA,NA,-106.692,NA,NA
11493,-2.14302,3.95382,-5,NA,NA,-47.742,NA,NA,NA
11739,-2.5979,3.98794,-4.11894,NA,NA,-80.778,NA,NA,NA
11809,-1.95932,4.14042,-5,NA,NA,NA,-30.699,NA,NA
12124,-1.97964,3.87343,-5,NA,NA,NA,-32.235,NA,NA
12298,-1.89436,4.82029,-5,NA,NA,NA,-69.709,NA,NA
12570,-2.19902,4.30313,-5,NA,NA,NA,-51.865,NA,NA
12799,-1.83767,4.26749,-4.86481,NA,NA,NA,-48.106,NA,NA
12891,-1.85921,4.60252,-5,NA,NA,NA,NA,-55.194,NA
13079,-1.90257,4.33627,-5,NA,NA,-57.273,NA,NA,NA
13264,-2.82002,4.18159,-5,NA,NA,-68.182,NA,NA,NA
13454,-2.13288,4.42625,-4.96892,NA,NA,-59.178,NA,NA,NA
13790,-1.82012,3.9113,-5,NA,NA,NA,-24.646,NA,NA
13939,-2.69915,5,-5,NA,NA,NA,-102.101,NA,NA
14200,-1.75458,2.76792,-5,-166.196,NA,NA,NA,NA,NA
14242,-2.17372,4.19957,-4.20753,NA,NA,NA,NA,-62.742,NA
14503,-1.7952,3.55399,-4.31789,NA,NA,-66.794,NA,NA,NA
14637,-1.78992,4.68438,-5,NA,NA,-71.879,NA,NA,NA
14842,-0.954604,3.83492,-4.494,NA,NA,-70.796,NA,NA,NA
15059,-1.51301,4.2702,-5,NA,NA,NA,NA,-31.635,NA
15314,-1.81975,4.07737,-5,NA,NA,-34.778,NA,NA,NA
15475,-1.62822,4.16921,-4.28985,NA,NA,-79.31,NA,NA,NA
15632,-2.54347,4.94143,-4.55128,NA,NA,NA,-85.299,NA,NA
15915,-2.18398,5,-4.39822,NA,NA,NA,-85.727,NA,NA
16198,-2.16479,4.26781,-4.71435,NA,NA,-55.834,NA,NA,NA
16390,-1.62821,3.65426,-5,NA,NA,-46.823,NA,NA,NA
16523,-2.23252,3.71368,-5,NA,NA,-57.828,NA,NA,NA
16695,-2.4485,4.48145,-4.04417,NA,NA,-82.993,NA,NA,NA
16917,-2.87834,5,-5,NA,NA,-96.787,NA,NA,NA
17055,-2.02809,5,-4.95622,NA,NA,-82.988,NA,NA,NA
17285,-2.62182,5,-5,NA,NA,NA,NA,-80.77,NA
17478,-2.58487,5,-5,NA,NA,-86.233,NA,NA,NA
17607,-2.37126,5,-4.4351,NA,NA,-90.976,NA,NA,NA
17968,-1.85372,5,-5,NA,NA,-76.946,NA,NA,NA
18192,-1.48857,3.33578,-4.61217,NA,NA,-64.774,NA,NA,NA
18261,-2.12817,3.25203,-5,NA,NA,-67.738,NA,NA,NA
18420,-2.42507,4.24622,-4.67931,NA,NA,NA,NA,-55.69,NA
18610,-1.60741,4.97516,-5,NA,NA,-75.821,NA,NA,NA
18896,-1.86845,5,-5,NA,NA,NA,NA,-72.57,NA
19010,-2.32587,4.87553,-4.53212,NA,NA,NA,-78.444,NA,NA
19272,-1.40946,5,-5,NA,NA,-91.634,NA,NA,NA
19576,-0.328393,5,-5,-259.965,NA,NA,NA,NA,NA
19719,-1.51775,5,-5,NA,NA,NA,-92.283,NA,NA
19999,-1.42624,5,-5,NA,NA,-90.631,NA,NA,NA
20170,-2.06734,3.89529,-4.92256,NA,NA,-35.184,NA,NA,NA
20276,-3.00075,3.40068,-4.33426,NA,NA,NA,NA,-74.125,NA
20425,-2.96849,4.12961,-5,NA,NA,NA,-78.618,NA,NA
20686,-2.48371,4.18012,-5,NA,-71.884,NA,NA,NA,NA
20886,-1.90713,5,-5,NA,NA,-75.933,NA,NA,NA
21027,-2.44529,4.28877,-5,NA,NA,NA,-60.639,NA,NA
21270,-1.6689,4.589,-4.9735,NA,NA,NA,NA,-42.585,NA
21540,-1.8111,4.05116,-5,NA,NA,NA,-27.626,NA,NA
21767,-3.50416,4.49141,-5,NA,NA,-117.453,NA,NA,NA
21931,-2.61552,5,-5,NA,NA,NA,NA,-80.076,NA
22126,-2.00291,5,-5,NA,NA,NA,NA,-69.892,NA
22244,-2.00453,5,-4.98051,NA,NA,-82.42,NA,NA,NA
22494,-1.69023,3.96827,-5,NA,NA,NA,NA,-20.477,NA
22639,-2.80877,3.31994,-5,NA,NA,-78.138,NA,NA,NA
22863,-3.0678,2.52403,-5,NA,NA,-119.787,NA,NA,NA
23165,-2.24451,2.89239,-5,NA,NA,NA,NA,-76.535,NA
23377,-3.00242,3.2379,-5,NA,NA,NA,NA,-91.323,NA
23462,-3.21552,2.74883,-4.53987,NA,NA,-124.208,NA,NA,NA
23640,-1.81025,3.22741,-5,NA,NA,-56.39,NA,NA,NA
23921,-2.59041,5,-4.35163,NA,NA,-90.113,NA,NA,NA
24133,-1.70625,4.65937,-4.21534,NA,NA,-58.854,NA,NA,NA
24312,-1.01156,5,-5,NA,NA,-92.473,NA,NA,NA
24440,-1.51495,4.31463,-4.63628,NA,NA,-59.006,NA,NA,NA
24722,-1.54357,4.42457,-4.68418,NA,NA,NA,-50.305,NA,NA
24972,-2.7296,4.22102,-5,NA,NA,NA,NA,-58.901,NA
25096,-3.09687,4.65059,-5,NA,NA,-96.91,NA,NA,NA
25327,-2.054,4.4427,-4.63024,NA,NA,-60.487,NA,NA,NA
25443,-0.733856,5,-5,NA,NA,-132.051,NA,NA,NA
25667,-1.78793,5,-5,NA,NA,-73.859,NA,NA,NA
25992,-2.81302,4.04617,-5,NA,NA,NA,NA,-66.354,NA
26200,-3.12771,3.81042,-5,NA,NA,-84.435,NA,NA,NA
26323,-2.54093,4.46288,-4.54204,NA,NA,NA,NA,-66.402,NA
26470,-1.23189,5,-4.51479,NA,NA,NA,NA,-93.783,NA
26749,-2.92405,5,-5,NA,NA,NA,-99.053,NA,NA
26941,-3.14512,3.53731,-5,NA,NA,-90.407,NA,NA,NA
27093,-2.31013,2.901,-5,NA,NA,-106.207,NA,NA,NA
27364,-2.40872,3.80919,-4.04799,NA,NA,NA,NA,-73.424,NA
27595,-2.58653,3.67775,-5,NA,NA,NA,-65.212,NA,NA
27629,-2.27289,4.08535,-5,NA,NA,NA,-51.802,NA,NA
27855,-1.23708,3.48183,-4.04462,NA,NA,NA,NA,-93.528,NA
28110,-1.9564,4.4545,-3.91604,NA,NA,-86.189,NA,NA,NA
28368,-1.67832,5,-4.71232,NA,NA,-73.265,NA,NA,NA
28550,-2.25419,5,-4.98115,NA,NA,-74.647,NA,NA,NA
28728,-2.44772,5,-5,NA,NA,-82.5,NA,NA,NA
28819,-2.28018,4.28628,-5,NA,NA,-48.045,NA,NA,NA
29139,-1.73843,4.69252,-3.79629,NA,NA,NA,-77.946,NA,NA
29286,-2.04953,4.23967,-5,NA,NA,NA,-66.932,NA,NA
29418,-2.05744,4.18832,-5,NA,NA,NA,NA,-31.892,NA
29642,-1.8624,4.3642,-5,NA,NA,-53.878,NA,NA,NA
29957,-2.16588,2.97662,-5,NA,NA,NA,NA,-73.8,NA
30035,-2.99884,3.03308,-5,NA,NA,-105.164,NA,NA,NA
30340,-2.1753,4.61497,-4.68387,NA,NA,-65.484,NA,NA,NA
30564,-2.39772,4.9701,-5,NA,NA,-77.463,NA,NA,NA
30736,-1.95446,4.63957,-3.79766,NA,NA,-77.501,NA,NA,NA
30947,-1.86872,4.12879,-5,NA,NA,-47.96,NA,NA,NA
31062,-1.82022,3.5305,-3.84535,NA,NA,-87.817,NA,NA,NA
31205,-1.5165,3.78074,-4.37611,NA,NA,-57.112,NA,NA,NA
31552,-1.823,3.70101,-5,NA,NA,-45.838,NA,NA,NA
31712,-1.7004,4.05925,-5,NA,NA,-42.917,NA,NA,NA
31885,-1.6681,4.382,-5,NA,NA,NA,NA,-44.107,NA
32007,-1.85457,3.90972,-4.65511,NA,NA,NA,NA,-29.79,NA
32360,-1.40699,4.01095,-5,NA,NA,NA,-22.74,NA,NA
32472,-1.7105,5,-5,NA,NA,NA,NA,-72.977,NA
32604,-1.58566,3.31528,-5,NA,NA,-48.789,NA,NA,NA
32926,-2.20161,4.65451,-5,NA,NA,-68.251,NA,NA,NA
33060,-1.14443,3.39415,-5,NA,NA,-53.244,NA,NA,NA
33262,-1.16869,4.96078,-5,NA,NA,-89.298,NA,NA,NA
33529,-1.99272,5,-4.8239,NA,NA,-84.511,NA,NA,NA
33737,-2.27578,4.34452,-4.19763,NA,-97.586,NA,NA,NA,NA
33805,-2.04772,5,-4.2172,NA,NA,NA,NA,-90.079,NA
34172,-1.86188,4.43182,-5,NA,NA,-55.625,NA,NA,NA
34389,-3.66057,4.23476,-4.75262,NA,NA,-119.99,NA,NA,NA
34453,-2.68271,4.06919,-5,NA,NA,-67.956,NA,NA,NA
34605,-1.58031,3.01748,-5,NA,NA,NA,NA,-55.786,NA
34866,-1.99603,4.34334,-5,NA,NA,NA,NA,-35.951,NA
35053,-1.47286,4.96729,-4.1389,NA,NA,NA,NA,-95.786,NA
35306,-2.26817,5,-5,NA,NA,-76.557,NA,NA,NA
35423,-0.985909,5,-4.34123,NA,NA,NA,NA,-107.271,NA
35677,-2.53452,4.82207,-4.33668,NA,NA,-89.889,NA,NA,NA
35885,-2.38651,5,-4.63616,NA,NA,-81.051,NA,NA,NA
36040,-2.81451,4.261,-3.93822,NA,NA,-93.028,NA,NA,NA
36270,-1.20349,5,-4.60156,NA,NA,-94.722,NA,NA,NA
36457,-2.29433,4.13431,-4.64642,NA,NA,-53.188,NA,NA,NA
36648,-2.69904,5,-5,NA,NA,NA,-86.338,NA,NA
36802,-2.02028,5,-5,NA,NA,-77.232,NA,NA,NA
37174,-1.94989,3.42234,-5,NA,NA,-63.91,NA,NA,NA
37300,-2.56955,3.78441,-4.91425,NA,NA,-50.699,NA,NA,NA
37529,-2.657,4.08419,-5,NA,NA,-68.202,NA,NA,NA
37713,-1.93357,5,-4.96824,NA,NA,NA,NA,-71.915,NA
37853,-1.77987,5,-3.95124,NA,NA,-96.275,NA,NA,NA
38038,-1.19853,5,-5,NA,NA,-89.477,NA,NA,NA
38257,-1.87852,5,-5,NA,NA,-78.173,NA,NA,NA
38550,-0.612167,5,-5,NA,NA,-130.312,NA,NA,NA
38616,-1.55967,4.43724,-5,NA,NA,-53.053,NA,NA,NA
38868,-1.46408,4.73012,-5,NA,NA,-59.944,NA,NA,NA
39093,-2.28929,3.2108,-5,NA,NA,NA,-68.846,NA,NA
39353,-2.081,4.26091,-4.60596,NA,NA,NA,NA,-43.711,NA
39447,-1.87061,4.22839,-5,NA,NA,NA,NA,-33.741,NA
39757,-2.20864,5,-5,NA,NA,NA,NA,-74.653,NA
39862,-2.81832,5,-4.41259,NA,NA,-102.203,NA,NA,NA
40136,-1.97617,4.33817,-5,NA,NA,-62.441,NA,NA,NA
40205,-2.18544,4.94137,-4.35087,NA,NA,NA,NA,-79.352,NA
40567,-1.30411,5,-4.86799,NA,NA,NA,NA,-75.917,NA
40608,-2.68457,4.71981,-5,NA,NA,NA,NA,-76.364,NA
40872,-1.93184,4.53839,-5,NA,NA,NA,NA,-55.461,NA
41162,-1.53907,4.66452,-5,NA,-85.368,NA,NA,NA,NA
41314,-1.8645,4.16652,-5,NA,NA,-38.909,NA,NA,NA
41587,-2.22856,4.15991,-5,NA,NA,-46.973,NA,NA,NA
41694,-0.589314,5,-5,NA,NA,NA,NA,-138.794,NA
41862,-1.20161,4.2711,-4.89376,NA,NA,-55.764,NA,NA,NA
42178,-1.35578,4.53334,-5,NA,NA,-61.517,NA,NA,NA
42309,-2.20034,4.32962,-4.62028,NA,NA,-57.595,NA,NA,NA
42516,-2.13992,4.74799,-5,NA,NA,-63.37,NA,NA,NA
42714,-2.61144,3.84095,-5,NA,NA,-54.184,NA,NA,NA
42900,-1.15942,5,-5,NA,NA,-87.938,NA,NA,NA
43131,-1.67238,5,-5,NA,NA,-72.629,NA,NA,NA
43214,-0.455787,5,-5,NA,NA,-126.013,NA,NA,NA
43543,-1.1297,5,-3.9919,NA,NA,NA,NA,-115.916,NA
43787,-2.25568,4.3764,-3.49443,NA,NA,-106.759,NA,NA,NA
43910,-1.55087,4.84823,-4.90334,NA,NA,-75.356,NA,NA,NA
44006,-2.97111,3.91219,-5,NA,NA,-83.931,NA,NA,NA
44343,-2.72691,3.06139,-5,NA,NA,-80.45,NA,NA,NA
44428,-1.52575,3.31322,-4.48882,NA,NA,NA,-55.335,NA,NA
44717,-1.25659,4.83208,-4.92871,NA,NA,NA,NA,-78.826,NA
44981,-2.27962,5,-5,NA,NA,-76.276,NA,NA,NA
45044,-1.8077,5,-5,NA,NA,-74.551,NA,NA,NA
45279,-2.09261,4.2344,-5,NA,NA,-59.812,NA,NA,NA
45549,-0.832507,3.3706,-4.68543,NA,NA,NA,NA,-98.057,NA
45788,-2.5469,4.40287,-4.98978,NA,NA,-69.32,NA,NA,NA
45888,-2.36306,3.8417,-4.8134,NA,NA,NA,NA,-45.116,NA
46119,-0.950864,4.09055,-5,NA,NA,-74.775,NA,NA,NA
46381,-2.49814,5,-5,NA,NA,-85.558,NA,NA,NA
46570,-2.70857,5,-5,NA,NA,NA,NA,-84.761,NA
46614,-3.04263,5,-5,NA,NA,NA,-104.521,NA,NA
46938,-1.82371,5,-5,NA,NA,NA,NA,-76.23,NA
47111,-2.60344,4.76447,-4.82732,NA,NA,-69.526,NA,NA,NA
47371,-2.6753,5,-4.27249,NA,NA,NA,NA,-96.512,NA
47472,-1.64486,4.26299,-3.86924,NA,NA,-64.874,NA,NA,NA
47757,-1.47692,3.55791,-4.51684,NA,NA,NA,-20.476,NA,NA
47949,-1.51528,4.47316,-4.86006,NA,NA,-60.593,NA,NA,NA
48033,-1.7304,3.71886,-5,NA,NA,-51.273,NA,NA,NA
48367,-2.1106,3.78639,-4.85222,NA,NA,-38.338,NA,NA,NA
48418,-1.84543,4.15035,-4.0844,NA,NA,NA,NA,-63.533,NA
48787,-2.151,5,-4.75894,-115.79,NA,NA,NA,NA,NA
48811,-2.6997,4.36797,-5,NA,-91.637,NA,NA,NA,NA
49029,-1.71996,5,-5,NA,NA,NA,-80.096,NA,NA
49368,-2.00925,4.43787,-3.96573,NA,NA,NA,NA,-75.812,NA
49537,-2.71904,4.89455,-5,NA,NA,-86.775,NA,NA,NA
49713,-2.02146,5,-5,NA,NA,-81.879,NA,NA,NA
49843,-1.3676,3.53971,-4.72394,NA,NA,-60.222,NA,NA,NA
50121,-1.5683,4.16074,-4.1579,NA,NA,-72.241,NA,NA,NA
50263,-1.75786,3.64312,-5,NA,NA,-46.787,NA,NA,NA
50466,-1.8478,4.83888,-5,NA,NA,NA,NA,-65.379,NA
50688,-1.52949,4.17437,-5,NA,NA,-44.458,NA,NA,NA
50927,-1.95324,3.8361,-5,NA,NA,-33.817,NA,NA,NA
51126,-1.04239,3.80015,-5,NA,NA,-85.039,NA,NA,NA
51268,-1.93149,4.00289,-5,NA,NA,-43.495,NA,NA,NA
51559,-2.88916,3.94241,-5,NA,NA,-78.241,NA,NA,NA
51740,-2.82268,3.78488,-5,NA,NA,-73.915,NA,NA,NA
51961,-2.22194,3.44604,-5,NA,NA,NA,NA,-50.161,NA
52116,-1.65251,3.44649,-4.46995,NA,NA,NA,-57.327,NA,NA
52264,-1.79217,3.62369,-4.55158,NA,NA,-39.958,NA,NA,NA
52445,-2.34927,4.70486,-5,NA,NA,-78.15,NA,NA,NA
52764,-2.07931,5,-5,NA,NA,-81.084,NA,NA,NA
52837,-1.31156,4.47395,-5,NA,NA,NA,NA,-54.842,NA
53122,-2.24906,5,-5,NA,NA,-75.701,NA,NA,NA
53371,-2.16465,4.22903,-5,NA,NA,-49.022,NA,NA,NA
53531,-2.04228,4.35044,-5,NA,NA,-62.756,NA,NA,NA
53743,-2.05229,2.76796,-5,NA,NA,-84.362,NA,NA,NA
53850,-2.36885,2.64349,-5,NA,NA,NA,-114.488,NA,NA
54122,-2.30207,3.58082,-4.96013,NA,NA,NA,-49.135,NA,NA
54337,-1.07123,3.88468,-5,NA,NA,-63.8,NA,NA,NA
54496,-0.952777,4.3879,-4.37051,NA,NA,NA,NA,-92.879,NA
54761,-1.37999,5,-5,NA,NA,-92.957,NA,NA,NA
54869,-2.76768,3.41354,-5,NA,NA,-78.68,NA,NA,NA
55055,-2.55234,4.4787,-5,NA,NA,NA,NA,-63.296,NA
55205,-1.53597,3.29561,-4.24983,NA,NA,-81.034,NA,NA,NA
55456,-0.832235,3.8621,-4.20307,NA,NA,-150.679,NA,NA,NA
55738,-1.47401,3.9123,-5,NA,NA,-34.874,NA,NA,NA
55936,-1.85147,2.9196,-5,NA,NA,-84.553,NA,NA,NA
56165,-2.24687,4.04213,-4.69678,NA,NA,NA,NA,-44.996,NA
56284,-2.63831,4.18928,-5,NA,NA,-73.443,NA,NA,NA
56523,-2.19885,4.77312,-3.85013,NA,NA,-97.19,NA,NA,NA
56711,-1.81358,5,-4.40829,NA,NA,NA,NA,-78.703,NA
56874,-1.72745,4.17951,-4.47664,NA,-84.907,NA,NA,NA,NA
57069,-2.4479,2.80406,-3.64461,NA,NA,-141.986,NA,NA,NA
57221,-2.6562,3.86705,-4.72924,NA,NA,-54.769,NA,NA,NA
57493,-1.02808,2.70529,-4.19909,NA,NA,-177.502,NA,NA,NA
57793,-2.5248,2.15337,-4.6955,NA,NA,-144.117,NA,NA,NA
57919,-1.97934,2.48612,-5,NA,NA,-152.918,NA,NA,NA
58038,-2.09304,3.49415,-5,NA,NA,-45.303,NA,NA,NA
58316,-1.31821,4.02525,-5,NA,NA,-50.455,NA,NA,NA
58594,-2.35871,4.73821,-5,NA,NA,NA,-59.342,NA,NA
58751,-2.68131,4.6536,-4.3744,NA,NA,-93.046,NA,NA,NA
58953,-2.46798,4.08455,-5,NA,NA,NA,NA,-53.26,NA
59036,-2.45397,3.61641,-5,NA,NA,-60.992,NA,NA,NA
59338,-1.8752,3.54876,-5,NA,NA,NA,NA,-20.658,NA
59439,-1.68957,3.95243,-5,NA,NA,-49.864,NA,NA,NA
59626,-2.41786,5,-3.85176,NA,NA,NA,NA,-105.743,NA
59835,-2.2547,4.77154,-5,NA,NA,-68.681,NA,NA,NA
60152,-1.38291,4.77862,-4.79711,NA,NA,-55.17,NA,NA,NA
60318,-1.80965,4.25783,-5,NA,NA,-44.498,NA,NA,NA
60572,-1.63383,4.70365,-4.86622,NA,NA,NA,NA,-62.002,NA
60721,-1.93042,5,-4.35087,NA,NA,NA,-88.158,NA,NA
60997,-1.10781,4.77142,-4.86001,NA,NA,NA,-102.603,NA,NA
61054,-1.91229,3.5764,-4.73206,NA,NA,-48.795,NA,NA,NA
61327,-3.11864,4.10675,-4.59107,NA,NA,NA,NA,-83.318,NA
61455,-3.28011,4.35676,-5,NA,-115.67,NA,NA,NA,NA
61654,-1.76683,4.54953,-4.93474,NA,NA,NA,NA,-44.501,NA
61853,-2.53829,3.83909,-5,NA,NA,-55.369,NA,NA,NA
62083,-2.8193,4.92163,-3.81197,NA,NA,-118.566,NA,NA,NA
62250,-1.79502,4.14531,-4.21108,NA,NA,-71.521,NA,NA,NA
62533,-1.83099,5,-4.03868,NA,NA,-95.429,NA,NA,NA
62796,-1.24175,5,-4.67505,NA,NA,NA,NA,-89.554,NA
62825,-1.70171,5,-4.72231,NA,NA,NA,NA,-84.816,NA
63165,-2.01882,3.2158,-5,NA,NA,-71.32,NA,NA,NA
63399,-2.00695,2.34316,-5,NA,NA,-152.159,NA,NA,NA
63447,-2.42494,4.04809,-5,NA,NA,-57.257,NA,NA,NA
63668,-2.45839,5,-4.92112,NA,NA,-81.951,NA,NA,NA
63819,-1.69845,4.65759,-5,NA,NA,-76.732,NA,NA,NA
64128,-2.24022,4.14646,-4.72545,NA,NA,-49.1,NA,NA,NA
64211,-2.06624,4.20197,-5,NA,NA,NA,NA,-32.012,NA
64413,-3.17883,5,-5,NA,NA,-116.118,NA,NA,NA
64606,-2.52688,4.16543,-5,NA,NA,-64.904,NA,NA,NA
64849,-1.84272,5,-5,NA,NA,NA,NA,-74.517,NA
65152,-1.84522,4.58169,-5,NA,NA,NA,NA,-53.684,NA
65355,-2.41896,4.62882,-3.62917,NA,NA,-111.752,NA,NA,NA
65417,-3.4809,4.28185,-4.66166,NA,NA,-110.238,NA,NA,NA
65634,-1.5802,4.77736,-4.30363,NA,NA,NA,NA,-88.944,NA
65913,-1.02296,4.94265,-4.78339,NA,NA,-96.588,NA,NA,NA
66160,-2.01318,4.33953,-4.13369,NA,NA,-61.512,NA,NA,NA
66266,-2.68032,4.8509,-4.02667,NA,NA,-100.924,NA,NA,NA
66408,-1.83625,5,-4.95025,NA,NA,-74.629,NA,NA,NA
66770,-1.98227,5,-5,NA,NA,-81.663,NA,NA,NA
66803,-3.35244,4.26083,-4.14507,NA,NA,-110.395,NA,NA,NA
67023,-2.77027,3.50492,-4.33402,NA,NA,NA,-85.312,NA,NA
67282,-1.20625,3.57315,-4.64081,NA,NA,NA,NA,-39.833,NA
67414,-1.28418,3.89813,-4.74405,NA,NA,-42.213,NA,NA,NA
67768,-2.01722,4.50647,-4.58784,NA,-84.325,NA,NA,NA,NA
67914,-1.74542,5,-4.27909,NA,-124.239,NA,NA,NA,NA
68113,-1.10981,4.46251,-5,NA,NA,-73.516,NA,NA,NA
68265,-1.47813,4.16957,-4.22812,NA,NA,NA,NA,-65.367,NA
68471,-2.7479,5,-5,NA,NA,-94.844,NA,NA,NA
68788,-2.28334,4.0895,-4.18658,NA,NA,-73.521,NA,NA,NA
68968,-2.33409,3.75039,-4.66863,NA,NA,NA,NA,-42.937,NA
69034,-2.10257,3.79751,-5,NA,NA,NA,-38.231,NA,NA
69235,-2.29791,3.8782,-3.27163,NA,NA,-112.65,NA,NA,NA
69404,-1.59882,2.94688,-3.88932,NA,NA,NA,NA,-103.728,NA
69725,-0.566777,4.52692,-5,NA,NA,-126.203,NA,NA,NA
69983,-1.86788,5,-4.70502,NA,NA,-78.885,NA,NA,NA
70157,-2.44115,3.89039,-5,NA,NA,-53.935,NA,NA,NA
70331,-2.56633,4.79422,-5,NA,NA,-74.292,NA,NA,NA
70491,-3.11549,4.97625,-5,NA,NA,NA,NA,-104.601,NA
70775,-1.44308,4.76929,-5,NA,NA,NA,NA,-82.275,NA
70994,-1.14785,3.23752,-5,NA,NA,NA,NA,-62.315,NA
71125,-1.72839,3.12232,-5,NA,NA,NA,-67.019,NA,NA
71355,-1.74881,5,-5,NA,NA,NA,NA,-81.344,NA
71587,-1.93445,5,-5,NA,NA,NA,NA,-72.145,NA
71609,-1.71892,5,-5,NA,NA,-71.836,NA,NA,NA
71966,-2.3196,5,-3.80201,NA,NA,NA,-112.428,NA,NA
72042,-2.12895,5,-5,NA,NA,NA,NA,-71.848,NA
72348,-1.28775,4.33896,-4.37649,NA,NA,NA,NA,-70.845,NA
72427,-2.77127,3.66525,-4.67151,NA,NA,-71.223,NA,NA,NA
72701,-2.25068,4.0495,-4.50729,NA,NA,-58.068,NA,NA,NA
72819,-2.88587,3.10972,-4.42675,NA,NA,-91.803,NA,NA,NA
73136,-2.57881,3.47266,-5,NA,NA,-75.281,NA,NA,NA
73220,-2.21447,4.64035,-5,NA,NA,-68.871,NA,NA,NA
73474,-0.968215,5,-4.90673,NA,NA,-95.553,NA,NA,NA
73741,-1.5377,3.89261,-4.7411,NA,NA,-43.144,NA,NA,NA
73913,-2.42597,3.64774,-4.9439,NA,NA,-62.105,NA,NA,NA
