id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4,fitness-3,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5
11266,1.67831,1.24682,-4.23513,NA,NA,NA,NA,-7.925,NA,NA,NA,NA
11550,1.49575,2.28275,-4.38491,NA,NA,NA,NA,NA,-24.363,NA,NA,NA
11777,1.62877,1.93345,-4.62864,NA,NA,NA,NA,NA,NA,NA,-45.411,NA
11930,1.61857,2.48327,-4.47035,NA,NA,NA,NA,NA,-25.719,NA,NA,NA
12192,2.9903,1.51756,-4.56289,NA,NA,NA,NA,NA,NA,-56.93,NA,NA
12366,1.64068,0.937091,-4.21105,NA,NA,NA,NA,NA,-47.688,NA,NA,NA
12521,1.59666,1.49272,-4.88871,NA,NA,NA,NA,NA,-16.498,NA,NA,NA
12775,1.54747,1.90419,-4.5264,NA,NA,NA,NA,-5.69,NA,NA,NA,NA
12922,1.55881,1.44123,-4.75582,NA,NA,NA,NA,-9.999,NA,NA,NA,NA
13199,1.77743,1.97255,-4.04162,NA,NA,NA,NA,-6.452,NA,NA,NA,NA
13335,1.14974,2.26386,-4.83451,NA,NA,NA,NA,-27.33,NA,NA,NA,NA
13418,1.59081,1.89841,-4.93333,NA,NA,NA,NA,-15.097,NA,NA,NA,NA
13674,1.93079,3.05219,-4.86362,-63.357,NA,NA,NA,NA,NA,NA,NA,NA
13936,1.58138,2.12569,-4.41213,NA,NA,NA,-13.43,NA,NA,NA,NA,NA
14050,1.98249,1.6937,-4.68644,NA,NA,NA,-13.204,NA,NA,NA,NA,NA
14357,1.26373,1.35078,-4.42531,NA,NA,NA,-21.571,NA,NA,NA,NA,NA
14419,1.81172,1.7494,-4.74814,NA,NA,NA,NA,-6.659,NA,NA,NA,NA
14715,1.99336,2.33819,-4.36299,NA,NA,NA,NA,-15.234,NA,NA,NA,NA
14846,1.42672,2.60538,-3.93405,NA,NA,NA,NA,-30.189,NA,NA,NA,NA
15068,1.81712,2.76158,-4.02601,NA,NA,NA,NA,-33.943,NA,NA,NA,NA
15298,2.16566,1.96692,-3.99226,NA,NA,NA,NA,NA,-18.034,NA,NA,NA
15523,1.24105,1.19861,-4.32848,NA,NA,NA,-22.428,NA,NA,NA,NA,NA
15673,1.77312,1.09876,-4.50333,NA,NA,NA,NA,NA,-18.828,NA,NA,NA
15863,2.0048,1.24277,-3.97423,NA,NA,NA,NA,-12.032,NA,NA,NA,NA
16103,1.64877,1.84882,-4.09997,NA,NA,NA,NA,NA,-9.522,NA,NA,NA
16240,2.18039,2.29669,-4.02085,NA,NA,NA,NA,-18.587,NA,NA,NA,NA
16452,2.1981,1.20683,-4.83054,NA,NA,NA,NA,-20.471,NA,NA,NA,NA
16771,2.40563,1.28986,-3.93344,NA,NA,NA,NA,-21.039,NA,NA,NA,NA
16827,2.50809,1.5152,-4.72331,NA,NA,NA,NA,-21.131,NA,NA,NA,NA
17112,2.77796,2.13035,-4.10654,NA,NA,NA,NA,NA,-40.597,NA,NA,NA
17300,2.96034,1.27313,-3.23392,NA,NA,NA,NA,NA,-76.65,NA,NA,NA
17582,1.15713,1.85107,-4.48384,NA,NA,NA,NA,-14.617,NA,NA,NA,NA
17723,1.31529,1.7682,-4.17577,NA,NA,NA,NA,NA,-12.513,NA,NA,NA
17841,1.51138,1.5532,-4.42751,NA,NA,NA,-7.162,NA,NA,NA,NA,NA
18176,2.34435,1.67795,-4.37882,NA,NA,NA,-13.449,NA,NA,NA,NA,NA
18341,2.3836,2.4756,-3.93222,NA,NA,NA,NA,-30.908,NA,NA,NA,NA
18549,2.68721,2.0304,-4.57556,NA,NA,NA,-28.728,NA,NA,NA,NA,NA
18769,1.71048,1.52758,-4.3325,NA,NA,NA,NA,NA,-9.636,NA,NA,NA
18825,2.30287,1.50552,-4.6063,NA,NA,NA,NA,NA,-16.187,NA,NA,NA
19138,1.60395,1.02712,-4.94024,NA,NA,NA,-35.078,NA,NA,NA,NA,NA
19362,1.42595,1.58596,-4.56198,NA,NA,NA,NA,NA,-20.206,NA,NA,NA
19442,1.97535,1.46263,-4.48007,NA,NA,NA,NA,-3.81,NA,NA,NA,NA
19665,1.01101,1.37391,-4.2796,-42.738,NA,NA,NA,NA,NA,NA,NA,NA
19914,1.98177,1.29646,-4.81168,NA,NA,NA,NA,-13.143,NA,NA,NA,NA
20051,1.42367,1.50635,-4.0192,NA,NA,NA,-20.525,NA,NA,NA,NA,NA
20229,2.05047,2.19049,-4.2783,NA,NA,NA,-14.063,NA,NA,NA,NA,NA
20456,1.38774,1.96758,-4.8394,NA,NA,NA,NA,NA,NA,-30.459,NA,NA
20659,1.80378,1.10238,-4.38442,NA,NA,NA,NA,NA,NA,-50.745,NA,NA
20944,2.24886,2.28406,-4.14559,NA,NA,NA,NA,NA,-20.174,NA,NA,NA
21155,1.39848,2.2958,-4.47565,NA,NA,NA,NA,-17.302,NA,NA,NA,NA
21248,2.12034,1.7249,-4.24394,NA,NA,NA,-14.936,NA,NA,NA,NA,NA
21566,1.29261,1.80039,-4.6818,NA,NA,NA,NA,-13.265,NA,NA,NA,NA
21691,2.10102,2.29642,-4.5385,NA,NA,NA,NA,-15.647,NA,NA,NA,NA
21802,1.63597,1.61846,-4.75974,NA,NA,NA,NA,-8.484,NA,NA,NA,NA
22001,1.86105,1.36873,-4.48344,NA,NA,NA,NA,NA,NA,-23.808,NA,NA
22282,1.53927,1.5057,-4.63974,NA,NA,NA,NA,-6.32,NA,NA,NA,NA
22499,2.69577,1.37603,-3.78348,NA,NA,NA,NA,-36.451,NA,NA,NA,NA
22687,1.49621,2.21048,-4.71893,NA,NA,NA,-17.356,NA,NA,NA,NA,NA
22859,1.54845,2.165,-4.01585,-44.216,NA,NA,NA,NA,NA,NA,NA,NA
23094,1.76003,0.967788,-4.40013,NA,NA,NA,NA,-20.484,NA,NA,NA,NA
23257,1.91059,1.60145,-4.61935,NA,NA,NA,-6.981,NA,NA,NA,NA,NA
23425,1.46706,1.34907,-4.33093,NA,NA,NA,NA,NA,-11.423,NA,NA,NA
23745,1.93876,0.711884,-4.9023,NA,NA,NA,NA,NA,-54.526,NA,NA,NA
23822,1.36649,1.05446,-4.10247,NA,NA,NA,NA,-23.796,NA,NA,NA,NA
24163,1.3669,1.93626,-4.94112,NA,NA,NA,NA,NA,-21.354,NA,NA,NA
24251,1.37158,1.14963,-3.86744,NA,NA,NA,-28.105,NA,NA,NA,NA,NA
24430,2.29475,1.61722,-4.0085,NA,NA,NA,NA,-12.66,NA,NA,NA,NA
24704,2.58492,1.40176,-4.03282,NA,NA,NA,-27.945,NA,NA,NA,NA,NA
24912,2.33493,2.52953,-3.704,NA,NA,NA,NA,-38.391,NA,NA,NA,NA
25069,1.91964,1.8533,-4.04811,NA,NA,NA,-7.949,NA,NA,NA,NA,NA
25354,1.39406,1.43239,-4.05563,NA,NA,NA,NA,-10.643,NA,NA,NA,NA
25448,2.28485,1.85963,-4.2004,NA,NA,NA,NA,-10.104,NA,NA,NA,NA
25735,2.00076,1.28484,-3.69808,NA,NA,NA,-22.035,NA,NA,NA,NA,NA
25901,2.2522,2.44635,-3.9536,NA,NA,NA,NA,NA,-28.225,NA,NA,NA
26151,2.36857,1.98202,-4.42633,NA,NA,NA,NA,NA,NA,-40.458,NA,NA
26348,1.7113,2.0826,-3.77038,NA,NA,NA,NA,NA,-24.642,NA,NA,NA
26578,1.86657,1.0365,-4.48757,NA,NA,NA,NA,-16.176,NA,NA,NA,NA
26702,2.66259,1.71715,-4.68028,NA,NA,NA,NA,NA,NA,-42.975,NA,NA
26947,3.34603,1.43937,-4.51301,NA,NA,NA,NA,-60.325,NA,NA,NA,NA
27167,2.22825,1.33913,-4.18126,NA,NA,NA,-16.533,NA,NA,NA,NA,NA
27226,1.48814,2.10628,-4.41999,-32.812,NA,NA,NA,NA,NA,NA,NA,NA
27492,1.65865,1.44728,-3.93378,-31.544,NA,NA,NA,NA,NA,NA,NA,NA
27766,1.18044,1.12646,-4.45956,NA,NA,NA,-33.194,NA,NA,NA,NA,NA
27922,1.44345,1.28284,-3.42397,NA,NA,NA,NA,-36.452,NA,NA,NA,NA
28151,1.61148,3.43853,-4.03671,NA,NA,NA,NA,NA,-80.535,NA,NA,NA
28391,2.23598,2.20371,-4.25982,NA,NA,NA,-24.893,NA,NA,NA,NA,NA
28566,2.33289,0.720456,-4.77559,NA,NA,NA,NA,-49.299,NA,NA,NA,NA
28760,2.71381,1.28374,-4.25615,-48.375,NA,NA,NA,NA,NA,NA,NA,NA
28931,2.08204,1.12696,-4.62939,NA,NA,NA,NA,-16.996,NA,NA,NA,NA
29150,1.65455,1.96902,-4.56446,NA,NA,NA,-18.728,NA,NA,NA,NA,NA
29346,2.18699,2.25045,-4.39642,-29.855,NA,NA,NA,NA,NA,NA,NA,NA
29443,2.68427,2.19657,-4.95062,NA,NA,NA,NA,NA,-44.596,NA,NA,NA
29789,2.21754,1.2712,-3.4824,NA,NA,NA,NA,NA,-40.548,NA,NA,NA
29997,1.60662,1.04665,-3.93525,NA,NA,NA,NA,-21.589,NA,NA,NA,NA
30055,1.28513,2.32051,-4.76789,NA,NA,NA,NA,-24.045,NA,NA,NA,NA
30368,1.67148,1.82122,-3.59178,NA,NA,NA,NA,-17.971,NA,NA,NA,NA
30581,1.79334,2.91515,-4.38563,NA,NA,NA,NA,-38.034,NA,NA,NA,NA
30695,1.60581,0.834084,-4.60853,NA,NA,NA,NA,NA,-46.546,NA,NA,NA
30960,2.26125,1.95015,-4.22401,NA,NA,NA,NA,-10.723,NA,NA,NA,NA
31111,2.30634,2.28776,-4.82872,-42.172,NA,NA,NA,NA,NA,NA,NA,NA
31297,1.43743,1.80704,-3.98969,NA,NA,NA,NA,-9.406,NA,NA,NA,NA
31488,2.25431,2.54215,-4.19053,NA,NA,NA,NA,-27.521,NA,NA,NA,NA
31793,1.82909,1.83182,-4.16594,NA,NA,NA,-6.675,NA,NA,NA,NA,NA
31986,0.988713,2.12318,-4.0035,-40.528,NA,NA,NA,NA,NA,NA,NA,NA
32110,1.453,1.21803,-4.50116,NA,NA,NA,NA,NA,NA,-33.934,NA,NA
32342,2.18675,2.02983,-4.69388,NA,NA,NA,NA,-12.915,NA,NA,NA,NA
32465,2.15262,2.04439,-4.82995,NA,NA,NA,-26.031,NA,NA,NA,NA,NA
32798,2.43674,1.91278,-4.02582,NA,NA,NA,NA,-17.021,NA,NA,NA,NA
32840,2.57433,2.22604,-4.17649,NA,NA,NA,NA,-26.773,NA,NA,NA,NA
33101,2.43281,2.13299,-4.38425,NA,NA,NA,NA,-18.499,NA,NA,NA,NA
33246,1.80879,1.06672,-4.79229,NA,NA,NA,NA,-21.102,NA,NA,NA,NA
33406,1.50111,1.36154,-4.61549,NA,NA,NA,-14.352,NA,NA,NA,NA,NA
33740,2.76711,1.31191,-3.49577,NA,NA,NA,NA,NA,-54.462,NA,NA,NA
33891,2.03332,2.80556,-3.635,NA,NA,NA,NA,NA,-55.386,NA,NA,NA
34042,1.04976,1.63881,-4.72676,NA,NA,NA,NA,-23.274,NA,NA,NA,NA
34362,1.4439,1.38749,-4.64724,NA,NA,NA,-11.907,NA,NA,NA,NA,NA
34404,1.98092,1.49842,-4.89152,NA,NA,NA,-13.878,NA,NA,NA,NA,NA
34692,0.581403,1.47426,-4.05348,NA,NA,NA,-51.856,NA,NA,NA,NA,NA
34917,1.61982,2.17651,-3.65686,NA,NA,NA,-29.047,NA,NA,NA,NA,NA
35030,2.40204,1.82947,-4.31862,NA,NA,NA,NA,-13.763,NA,NA,NA,NA
35239,2.04928,1.57921,-3.71467,-32.334,NA,NA,NA,NA,NA,NA,NA,NA
35492,1.93837,1.24061,-4.04586,NA,NA,NA,NA,-9.123,NA,NA,NA,NA
35655,1.41481,1.78072,-4.71372,NA,NA,NA,NA,-10.603,NA,NA,NA,NA
35878,1.85989,3.31162,-4.25468,NA,NA,NA,NA,NA,-63.461,NA,NA,NA
36190,1.82973,2.39204,-4.57141,NA,NA,NA,-19.831,NA,NA,NA,NA,NA
36231,1.28475,1.83097,-3.68814,NA,NA,NA,NA,NA,-25.445,NA,NA,NA
36423,1.6137,2.81903,-4.64872,NA,NA,NA,-38.091,NA,NA,NA,NA,NA
36607,0.903751,2.46246,-4.18143,NA,NA,NA,NA,-36.703,NA,NA,NA,NA
36840,1.88837,0.836879,-4.38321,NA,NA,NA,NA,NA,-40.852,NA,NA,NA
37146,1.46243,1.48303,-4.15518,NA,NA,NA,NA,NA,-20.859,NA,NA,NA
37393,1.81179,1.95332,-3.66255,NA,NA,NA,NA,-16.081,NA,NA,NA,NA
37525,1.97837,1.59262,-4.0006,NA,NA,NA,NA,-4.694,NA,NA,NA,NA
37754,2.30954,2.38582,-3.80937,NA,NA,NA,NA,-29.67,NA,NA,NA,NA
37990,1.30249,1.47141,-4.69388,NA,NA,NA,-24.036,NA,NA,NA,NA,NA
38157,2.07007,2.49036,-4.68543,NA,NA,NA,-28.229,NA,NA,NA,NA,NA
38297,2.02959,0.391242,-4.49225,-85.675,NA,NA,NA,NA,NA,NA,NA,NA
38485,2.51793,0.869758,-4.55406,NA,NA,NA,-49.016,NA,NA,NA,NA,NA
38672,1.66726,1.78706,-4.88636,NA,NA,NA,NA,NA,-19.896,NA,NA,NA
38981,1.65469,1.81616,-4.51412,NA,NA,NA,NA,NA,NA,-30.841,NA,NA
39176,1.85684,1.21626,-4.29182,NA,NA,NA,NA,-6.748,NA,NA,NA,NA
39257,1.32887,1.55412,-3.6919,NA,NA,NA,NA,NA,-23.329,NA,NA,NA
39489,2.82983,1.79629,-3.96048,NA,NA,NA,NA,NA,-39.216,NA,NA,NA
39623,2.40069,1.64335,-4.07388,NA,NA,NA,NA,-13.759,NA,NA,NA,NA
39848,1.58341,1.58902,-4.28777,NA,NA,NA,NA,-1.126,NA,NA,NA,NA
40170,2.29517,1.9687,-4.13181,NA,NA,NA,-16.513,NA,NA,NA,NA,NA
40331,2.04085,2.44201,-4.33736,NA,NA,NA,NA,NA,-27.702,NA,NA,NA
40562,0.851809,2.50543,-4.3274,NA,NA,NA,NA,NA,-43.356,NA,NA,NA
40691,2.29234,2.68247,-4.49172,NA,NA,NA,NA,NA,NA,NA,-65.12,NA
40972,1.66836,2.26639,-3.88165,NA,NA,NA,NA,NA,-21.725,NA,NA,NA
41127,1.56333,1.56605,-4.58711,NA,NA,NA,-7.033,NA,NA,NA,NA,NA
41366,2.36905,1.69897,-4.74351,-33.665,NA,NA,NA,NA,NA,NA,NA,NA
41407,1.91844,1.89355,-4.99495,-33.47,NA,NA,NA,NA,NA,NA,NA,NA
41671,1.63377,1.88945,-3.64774,NA,NA,NA,NA,-16.695,NA,NA,NA,NA
41980,1.56339,0.878554,-3.27456,NA,NA,NA,NA,-69.864,NA,NA,NA,NA
42150,2.77145,1.88172,-4.10258,NA,NA,NA,NA,-28.793,NA,NA,NA,NA
42294,2.77704,2.23916,-3.9803,NA,NA,NA,-41.139,NA,NA,NA,NA,NA
42442,1.68702,2.15376,-4.72448,-32.906,NA,NA,NA,NA,NA,NA,NA,NA
42619,2.41738,2.24561,-3.34328,NA,NA,NA,NA,NA,-49.571,NA,NA,NA
42979,2.17976,1.79186,-4.80453,NA,NA,NA,NA,NA,-14.5,NA,NA,NA
43163,2.36651,1.22316,-4.8476,NA,NA,NA,NA,NA,-34.719,NA,NA,NA
43311,1.53262,1.67852,-4.23185,NA,NA,NA,NA,NA,-17.835,NA,NA,NA
43436,1.78174,1.90366,-4.42961,NA,NA,NA,NA,-5.055,NA,NA,NA,NA
43628,1.68561,1.7387,-3.41994,NA,NA,NA,NA,NA,NA,-45.951,NA,NA
43964,1.73808,2.81202,-4.57052,NA,NA,NA,NA,NA,-35.207,NA,NA,NA
44153,2.26758,2.02634,-4.81909,NA,NA,NA,NA,-17.038,NA,NA,NA,NA
44295,2.19898,1.70511,-4.48049,NA,NA,NA,NA,-7.023,NA,NA,NA,NA
44456,1.75455,2.29442,-4.5096,NA,NA,NA,NA,-13.198,NA,NA,NA,NA
44655,1.29293,2.18907,-4.58733,NA,NA,NA,NA,-17.456,NA,NA,NA,NA
44968,0.71122,1.79289,-3.66549,NA,NA,NA,-47.247,NA,NA,NA,NA,NA
45095,1.73602,2.43237,-4.47832,-39.364,NA,NA,NA,NA,NA,NA,NA,NA
45248,1.4566,1.64202,-4.92429,NA,NA,NA,-27.355,NA,NA,NA,NA,NA
45499,1.5217,1.29858,-4.4873,NA,NA,NA,-9.892,NA,NA,NA,NA,NA
45641,1.46363,1.28081,-3.78574,NA,NA,NA,NA,NA,-31.115,NA,NA,NA
45902,1.98959,1.17509,-4.64667,NA,NA,NA,-15.956,NA,NA,NA,NA,NA
46002,2.60841,1.0093,-4.17694,NA,NA,NA,-38.087,NA,NA,NA,NA,NA
46369,1.21196,1.48593,-4.3945,NA,NA,NA,-18.285,NA,NA,NA,NA,NA
46584,1.71107,0.621888,-4.58836,NA,NA,NA,NA,-55.865,NA,NA,NA,NA
46715,1.37779,1.6763,-4.79951,-33.737,NA,NA,NA,NA,NA,NA,NA,NA
46953,1.82062,1.61215,-4.00152,NA,NA,NA,NA,NA,-18.951,NA,NA,NA
47108,2.02878,1.23083,-4.67666,NA,NA,NA,-15.868,NA,NA,NA,NA,NA
47247,1.4033,1.13304,-4.40829,NA,NA,NA,NA,-17.425,NA,NA,NA,NA
47432,1.47443,1.02905,-4.01664,-52.185,NA,NA,NA,NA,NA,NA,NA,NA
47649,2.43167,1.24766,-4.47327,-41.7,NA,NA,NA,NA,NA,NA,NA,NA
47931,2.39669,1.81688,-4.06176,NA,NA,NA,NA,-14.316,NA,NA,NA,NA
48150,2.14269,1.37658,-4.72724,NA,NA,NA,NA,NA,NA,-28.165,NA,NA
48262,2.76758,1.35155,-4.45952,NA,NA,NA,NA,NA,-40.944,NA,NA,NA
48505,1.40249,1.54608,-4.21553,NA,NA,NA,NA,-5.573,NA,NA,NA,NA
48778,2.41541,1.88859,-4.71754,NA,NA,NA,NA,NA,NA,-34.024,NA,NA
48973,1.69894,2.02465,-3.95667,NA,NA,NA,NA,-9.066,NA,NA,NA,NA
49136,1.71956,0.999896,-3.64779,NA,NA,NA,NA,-35.923,NA,NA,NA,NA
49312,2.63733,1.34154,-3.82933,NA,NA,NA,NA,-33.356,NA,NA,NA,NA
49480,2.04733,1.7803,-4.68606,NA,NA,NA,NA,NA,NA,NA,-57.329,NA
49798,1.45093,1.08119,-4.61401,NA,NA,NA,NA,-23.226,NA,NA,NA,NA
49985,1.03475,1.73885,-3.45388,NA,NA,NA,NA,NA,-45.135,NA,NA,NA
50183,2.20985,2.15158,-4.74383,-36.134,NA,NA,NA,NA,NA,NA,NA,NA
50262,3.26571,1.82468,-4.28345,NA,NA,NA,NA,-53.424,NA,NA,NA,NA
50418,2.18916,1.07885,-4.62978,NA,NA,NA,NA,NA,-27.665,NA,NA,NA
50773,1.91178,1.93853,-3.13581,NA,NA,NA,NA,NA,-49.378,NA,NA,NA
50923,2.16083,2.221,-3.45957,NA,NA,NA,NA,NA,-44.322,NA,NA,NA
51171,1.74084,1.61741,-4.9219,NA,NA,NA,NA,-11.998,NA,NA,NA,NA
51378,3.04166,1.40657,-4.55661,NA,NA,NA,NA,NA,NA,-72.588,NA,NA
51459,2.44856,2.14541,-3.95559,NA,NA,NA,NA,NA,-24.144,NA,NA,NA
51731,0.796683,1.82458,-4.42708,NA,NA,NA,NA,-31.364,NA,NA,NA,NA
51911,1.84313,1.26253,-4.11065,NA,NA,NA,NA,NA,-10.706,NA,NA,NA
52001,2.69,2.26132,-4.88915,NA,NA,NA,NA,-36.23,NA,NA,NA,NA
52370,1.54085,0.88178,-3.83923,NA,NA,NA,NA,NA,-45.829,NA,NA,NA
52582,1.2656,1.62935,-4.93941,-37.662,NA,NA,NA,NA,NA,NA,NA,NA
52796,1.44592,1.26447,-4.92699,NA,NA,NA,NA,NA,-27.631,NA,NA,NA
52947,1.25798,2.11301,-4.34826,NA,NA,NA,-23.408,NA,NA,NA,NA,NA
53032,2.53693,1.03423,-4.98148,NA,NA,NA,-44.391,NA,NA,NA,NA,NA
53356,2.66833,1.08018,-4.90578,NA,NA,NA,-44.945,NA,NA,NA,NA,NA
53570,2.81322,1.46243,-3.6689,NA,NA,NA,NA,-44.081,NA,NA,NA,NA
53796,2.58207,1.11885,-4.05514,NA,NA,NA,-33.188,NA,NA,NA,NA,NA
53976,2.41939,1.82646,-4.73429,NA,NA,NA,NA,NA,NA,-35.057,NA,NA
54009,2.14597,1.87508,-4.95847,NA,NA,NA,-22.91,NA,NA,NA,NA,NA
54356,1.32994,1.69223,-4.74071,NA,NA,NA,NA,-13.659,NA,NA,NA,NA
54505,2.15102,1.62209,-4.8264,NA,NA,NA,-19.026,NA,NA,NA,NA,NA
54640,1.13983,3.08656,-3.55034,NA,NA,NA,-71.787,NA,NA,NA,NA,NA
54932,0.754336,3.21403,-4.31296,-90.444,NA,NA,NA,NA,NA,NA,NA,NA
55089,1.62449,1.24624,-4.16306,NA,NA,NA,-21.621,NA,NA,NA,NA,NA
55341,2.12432,1.54325,-4.98071,-39.814,NA,NA,NA,NA,NA,NA,NA,NA
55463,2.0882,1.61038,-3.66593,NA,NA,NA,NA,-17.34,NA,NA,NA,NA
55634,2.36343,2.01349,-4.00178,NA,NA,NA,NA,-16.559,NA,NA,NA,NA
55830,2.16252,1.51682,-3.88397,NA,NA,NA,NA,-11.596,NA,NA,NA,NA
56173,1.12104,1.90733,-4.38942,NA,NA,NA,NA,NA,-18.537,NA,NA,NA
56254,2.01184,2.15668,-4.80998,NA,NA,NA,NA,-16.121,NA,NA,NA,NA
56546,1.36593,1.60948,-4.62613,NA,NA,NA,NA,-9.076,NA,NA,NA,NA
56742,1.48355,2.0022,-4.13026,NA,NA,NA,NA,NA,-13.362,NA,NA,NA
56969,1.62525,1.59709,-4.56204,NA,NA,NA,-6.958,NA,NA,NA,NA,NA
57018,1.46373,2.18744,-4.61459,-33.128,NA,NA,NA,NA,NA,NA,NA,NA
57267,1.76506,2.20286,-4.91504,NA,NA,NA,-20.046,NA,NA,NA,NA,NA
57574,1.59337,1.36817,-4.03513,NA,NA,NA,NA,-6.953,NA,NA,NA,NA
